USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Dolomite HS102.3B            W1R1Bb AREF
copy of splib05a r 2464                                     
       0.205100      -1.23e34        0.702357
       0.213100      -1.23e34        0.129844
       0.221100      -1.23e34        0.033871
       0.229100       0.187456       0.015226
       0.236100       0.210537       0.012433
       0.242100       0.246730       0.006750
       0.248100       0.275818       0.003796
       0.253600       0.325529       0.003272
       0.258600       0.381089       0.002468
       0.263600       0.429295       0.004082
       0.268600       0.480940       0.002864
       0.273100       0.512597       0.003764
       0.277100       0.538567       0.004719
       0.281100       0.547542       0.003833
       0.285100       0.570696       0.004015
       0.289100       0.574838       0.003848
       0.293100       0.582768       0.003458
       0.297100       0.584352       0.003389
       0.301100       0.592055       0.001886
       0.305100       0.592266       0.003254
       0.309100       0.592346       0.001734
       0.313100       0.595794       0.001728
       0.317100       0.596867       0.003127
       0.321100       0.605585       0.003861
       0.325100       0.613759       0.001777
       0.329100       0.613413       0.003296
       0.333100       0.622315       0.002266
       0.337100       0.624418       0.002561
       0.341100       0.628183       0.003049
       0.345100       0.638673       0.001789
       0.349100       0.645921       0.003316
       0.353100       0.652469       0.000603
       0.357100       0.659246       0.000740
       0.360600       0.661640       0.000700
       0.363600       0.664590       0.001663
       0.366600       0.673126       0.000634
       0.369600       0.671334       0.001721
       0.372600       0.674540       0.000610
       0.375600       0.677658       0.001447
       0.378600       0.679204       0.000350
       0.381100       0.681359       0.000611
       0.383100       0.680339       0.001691
       0.385100       0.682312       0.001731
       0.387100       0.682474       0.001728
       0.389100       0.684333       0.000639
       0.391100       0.684624       0.000505
       0.393100       0.685178       0.000562
       0.395100       0.687678       0.000375
       0.397100       0.688233       0.001433
       0.399100       0.688741       0.000511
       0.401100       0.687605       0.001074
       0.403100       0.691221       0.000410
       0.405100       0.690438       0.000374
       0.407100       0.691419       0.000459
       0.409100       0.691294       0.000868
       0.411100       0.689368       0.001733
       0.412800       0.691330       0.000368
       0.415800       0.693030       0.000478
       0.418800       0.693094       0.000475
       0.421800       0.692345       0.001735
       0.424800       0.693677       0.000430
       0.427800       0.692002       0.001663
       0.430800       0.694970       0.000451
       0.433800       0.694208       0.000920
       0.436800       0.696009       0.000446
       0.439800       0.694620       0.001679
       0.442800       0.696558       0.000464
       0.445800       0.696323       0.000367
       0.448800       0.696292       0.000241
       0.451300       0.696215       0.000735
       0.453300       0.696362       0.000605
       0.455300       0.696319       0.000658
       0.457300       0.695895       0.000528
       0.459300       0.696728       0.001782
       0.461300       0.697953       0.001759
       0.463300       0.696655       0.000330
       0.465300       0.692263       0.001693
       0.467300       0.697593       0.000644
       0.469300       0.699156       0.000515
       0.471300       0.698521       0.000453
       0.473300       0.697630       0.000618
       0.475300       0.698744       0.000554
       0.477300       0.699346       0.000528
       0.479300       0.699345       0.000551
       0.481300       0.699103       0.000350
       0.483300       0.700007       0.000531
       0.485300       0.698151       0.001731
       0.487300       0.698534       0.000600
       0.489300       0.700950       0.001565
       0.491300       0.699260       0.000525
       0.493300       0.701173       0.000513
       0.495300       0.701664       0.000536
       0.497300       0.701782       0.001734
       0.499300       0.700922       0.000492
       0.501300       0.703117       0.001779
       0.503300       0.701274       0.000562
       0.505300       0.700943       0.000504
       0.507300       0.702476       0.000606
       0.509300       0.702158       0.000560
       0.511300       0.702883       0.000463
       0.513300       0.706467       0.000465
       0.515300       0.704037       0.001575
       0.517300       0.703887       0.000363
       0.519300       0.704704       0.000563
       0.521300       0.704538       0.000827
       0.523300       0.703798       0.001417
       0.525300       0.702772       0.000340
       0.527300       0.704584       0.000440
       0.529300       0.705832       0.001631
       0.531300       0.705354       0.000790
       0.533300       0.706392       0.000517
       0.535300       0.706373       0.000740
       0.537300       0.704516       0.000411
       0.539300       0.706881       0.000582
       0.541300       0.705695       0.001718
       0.543300       0.710280       0.000660
       0.545300       0.705793       0.000578
       0.547300       0.706797       0.000534
       0.549300       0.706140       0.000571
       0.551300       0.709112       0.000485
       0.553300       0.705243       0.000347
       0.555300       0.704177       0.001689
       0.557300       0.709220       0.000394
       0.559300       0.705743       0.000648
       0.561300       0.706007       0.001743
       0.563300       0.705710       0.000512
       0.565300       0.705909       0.001669
       0.567300       0.705813       0.000342
       0.569300       0.706290       0.000570
       0.571300       0.705833       0.000441
       0.573300       0.705862       0.001680
       0.575300       0.709764       0.000568
       0.577300       0.707162       0.000606
       0.579300       0.707470       0.000780
       0.581300       0.706946       0.000538
       0.583300       0.706958       0.000873
       0.585300       0.706265       0.000527
       0.587300       0.708221       0.000534
       0.589300       0.708279       0.000706
       0.591300       0.711507       0.000511
       0.593300       0.709264       0.000406
       0.595300       0.707229       0.000612
       0.597300       0.707830       0.000428
       0.599300       0.707432       0.000538
       0.601100       0.708688       0.001747
       0.602700       0.707321       0.000458
       0.604300       0.708479       0.001686
       0.605900       0.707569       0.000423
       0.607500       0.710450       0.000465
       0.609100       0.705032       0.000581
       0.610700       0.707835       0.000422
       0.612300       0.708120       0.000416
       0.613900       0.707003       0.001102
       0.615500       0.708036       0.000463
       0.617100       0.708899       0.000534
       0.618700       0.708755       0.000496
       0.620300       0.707382       0.000440
       0.621900       0.708717       0.001404
       0.623500       0.708851       0.000606
       0.625100       0.707041       0.000409
       0.626700       0.706880       0.001699
       0.628300       0.708327       0.001662
       0.629900       0.707920       0.000400
       0.631700       0.708893       0.000465
       0.633700       0.709281       0.001684
       0.635700       0.708740       0.000496
       0.637700       0.708503       0.001599
       0.639700       0.708606       0.000432
       0.641700       0.708879       0.000594
       0.643700       0.707772       0.001716
       0.645700       0.709691       0.000590
       0.647700       0.708574       0.001662
       0.649700       0.710182       0.000489
       0.651700       0.709860       0.000716
       0.653700       0.708110       0.001679
       0.655700       0.708893       0.000709
       0.657700       0.709330       0.000723
       0.659700       0.709233       0.000659
       0.661700       0.709214       0.000593
       0.663700       0.708885       0.001725
       0.665700       0.710551       0.001696
       0.667700       0.710484       0.001664
       0.670200       0.711537       0.000659
       0.673200       0.710892       0.001655
       0.676200       0.714808       0.000682
       0.679200       0.709115       0.001617
       0.682200       0.714449       0.000755
       0.685200       0.710541       0.001694
       0.688200       0.705647       0.001670
       0.691200       0.711417       0.000640
       0.694200       0.713005       0.000778
       0.697200       0.713260       0.001749
       0.700200       0.712435       0.001489
       0.702000       0.714681       0.000636
       0.704000       0.711020       0.001694
       0.706000       0.713423       0.000649
       0.708000       0.714782       0.000568
       0.710000       0.713126       0.000612
       0.712000       0.715455       0.000614
       0.714000       0.714504       0.000756
       0.716000       0.714675       0.000753
       0.718000       0.715142       0.000575
       0.720000       0.713724       0.001762
       0.722000       0.713112       0.001738
       0.724000       0.720118       0.000792
       0.726000       0.715646       0.001781
       0.728000       0.712629       0.001759
       0.730000       0.715017       0.001070
       0.732000       0.713639       0.000816
       0.734000       0.720149       0.001052
       0.736000       0.712167       0.001787
       0.738000       0.711868       0.001777
       0.740000       0.711688       0.000887
       0.742000       0.712349       0.001783
       0.744000       0.714996       0.000892
       0.746000       0.713625       0.001121
       0.748000       0.719492       0.000878
       0.750500       0.715186       0.001736
       0.753500       0.719278       0.000509
       0.756500       0.712749       0.001741
       0.759500       0.714530       0.001772
       0.762500       0.714865       0.001806
       0.765500       0.715166       0.000694
       0.768500       0.713927       0.000757
       0.771500       0.714881       0.001778
       0.774500       0.712289       0.000842
       0.777500       0.715983       0.000710
       0.781000       0.716555       0.000562
       0.785000       0.715090       0.000779
       0.789000       0.716737       0.000875
       0.793000       0.716164       0.001811
       0.797000       0.712542       0.000708
       0.801500       0.715374       0.000711
       0.806500       0.714687       0.001802
       0.811500       0.716548       0.001852
       0.816500       0.714917       0.000922
       0.822000       0.714314       0.000707
       0.828000       0.713376       0.001855
       0.835000       0.712133       0.001259
       0.843000       0.714330       0.001890
       0.851000       0.708856       0.003330
       0.859000       0.707884       0.001926
       0.871000       0.712484       0.001935
       0.883000       0.707269       0.001888
       0.894000       0.703719       0.001912
       0.904000       0.701288       0.001900
       0.914000       0.702296       0.001863
       0.924000       0.700186       0.001196
       0.933000       0.697236       0.001874
       0.941000       0.690401       0.001888
       0.949000       0.687701       0.001682
       0.957000       0.686863       0.001859
       0.964000       0.686415       0.001857
       0.970000       0.682875       0.001813
       0.976000       0.681664       0.001842
       0.982000       0.684789       0.001876
       0.988000       0.679825       0.001789
       0.994000       0.679008       0.001797
       1.000000       0.681104       0.001447
       1.006000       0.676724       0.001202
       1.012000       0.677751       0.001217
       1.018000       0.678338       0.001826
       1.023500       0.680142       0.001845
       1.028500       0.677161       0.001807
       1.033500       0.675560       0.001870
       1.038500       0.674653       0.001865
       1.043500       0.673905       0.001870
       1.048500       0.676012       0.001802
       1.053500       0.673393       0.001697
       1.058500       0.675118       0.001095
       1.063500       0.676934       0.001282
       1.068500       0.674423       0.001245
       1.073500       0.677164       0.001405
       1.078500       0.674902       0.001405
       1.083500       0.676504       0.001795
       1.088500       0.678354       0.001378
       1.093500       0.676942       0.001638
       1.098500       0.672879       0.001233
       1.103500       0.676653       0.001695
       1.108500       0.677730       0.001421
       1.113500       0.674965       0.001090
       1.118500       0.676408       0.000924
       1.123500       0.676410       0.001573
       1.128500       0.673268       0.001118
       1.133500       0.678217       0.001376
       1.138500       0.676619       0.001048
       1.143500       0.678241       0.001183
       1.148500       0.677792       0.001391
       1.153500       0.675252       0.001076
       1.158500       0.675007       0.001270
       1.163500       0.674688       0.001771
       1.168500       0.674518       0.001489
       1.173500       0.676169       0.001466
       1.178500       0.674941       0.001800
       1.183500       0.672791       0.001657
       1.188500       0.671437       0.001831
       1.193500       0.673675       0.001136
       1.198500       0.676671       0.001783
       1.203500       0.674166       0.001670
       1.208500       0.674727       0.001308
       1.213500       0.676594       0.001728
       1.218500       0.673970       0.001398
       1.223500       0.671309       0.001423
       1.228500       0.671662       0.001242
       1.233500       0.676761       0.001289
       1.238500       0.675502       0.001423
       1.243500       0.675944       0.001597
       1.248500       0.672190       0.001144
       1.253500       0.673007       0.001216
       1.258500       0.672447       0.001662
       1.263500       0.674170       0.001173
       1.268500       0.673686       0.001280
       1.273500       0.675896       0.001710
       1.278500       0.675598       0.001165
       1.283500       0.674433       0.001097
       1.288500       0.671396       0.000890
       1.293500       0.674020       0.001454
       1.298500       0.673631       0.000642
       1.303500       0.674610       0.001272
       1.308500       0.674307       0.001199
       1.313500       0.672388       0.001409
       1.318500       0.674617       0.001594
       1.323500       0.673341       0.001129
       1.328500       0.673080       0.000943
       1.333500       0.674099       0.001041
       1.338500       0.674931       0.001090
       1.343500       0.674878       0.001087
       1.348500       0.674343       0.001654
       1.353500       0.676941       0.001729
       1.358500       0.675457       0.001608
       1.363500       0.674729       0.001826
       1.368500       0.676748       0.001855
       1.373500       0.679268       0.001241
       1.378500       0.677546       0.001832
       1.383500       0.675818       0.001854
       1.388500       0.676043       0.001858
       1.393500       0.672592       0.001305
       1.398500       0.677858       0.001860
       1.403500       0.677241       0.001799
       1.408500       0.675225       0.001864
       1.413500       0.678875       0.001592
       1.418500       0.675486       0.001230
       1.423500       0.679676       0.000946
       1.428500       0.675633       0.001343
       1.433500       0.679647       0.001801
       1.438500       0.677654       0.001118
       1.443500       0.674725       0.001349
       1.448500       0.679044       0.001473
       1.453500       0.676920       0.001809
       1.458500       0.675904       0.001396
       1.463500       0.678568       0.001825
       1.468500       0.680381       0.001896
       1.473500       0.677676       0.001880
       1.478500       0.684723       0.001907
       1.483500       0.683603       0.001855
       1.488500       0.682890       0.001675
       1.493500       0.681211       0.001821
       1.498500       0.684056       0.001916
       1.503500       0.683781       0.001836
       1.508500       0.680977       0.001868
       1.513500       0.683085       0.001865
       1.518500       0.685849       0.001495
       1.523500       0.685106       0.001551
       1.528500       0.681732       0.001883
       1.534000       0.687859       0.001871
       1.540000       0.684586       0.001852
       1.546000       0.683570       0.001833
       1.552000       0.687241       0.001554
       1.558000       0.686990       0.001880
       1.564000       0.688033       0.001849
       1.570500       0.686866       0.001314
       1.577500       0.688037       0.001074
       1.584500       0.686941       0.001585
       1.591500       0.684699       0.001128
       1.598500       0.688583       0.001588
       1.605500       0.685558       0.001123
       1.612500       0.689014       0.001488
       1.619500       0.686672       0.001423
       1.626500       0.684874       0.001603
       1.633500       0.685643       0.001788
       1.640500       0.685409       0.001802
       1.647500       0.686776       0.001743
       1.654500       0.689816       0.001694
       1.661500       0.689515       0.001884
       1.668500       0.682973       0.001699
       1.676000       0.686292       0.001833
       1.684000       0.684013       0.001194
       1.692000       0.687117       0.001917
       1.700000       0.681150       0.001925
       1.708000       0.679895       0.001895
       1.716000       0.679259       0.001861
       1.724000       0.679055       0.001928
       1.732000       0.680757       0.001948
       1.740000       0.681510       0.001944
       1.748000       0.681582       0.001946
       1.756000       0.680548       0.001924
       1.764000       0.683945       0.001858
       1.772000       0.686155       0.001941
       1.780000       0.680294       0.001448
       1.788000       0.683218       0.001917
       1.796000       0.678523       0.001829
       1.805000       0.681799       0.001879
       1.815000       0.673686       0.001360
       1.825000       0.670080       0.001865
       1.835000       0.666904       0.001905
       1.845000       0.662008       0.001878
       1.855000       0.653263       0.001868
       1.865000       0.655167       0.001818
       1.875000       0.666624       0.001900
       1.885000       0.674870       0.001854
       1.895000       0.666074       0.001863
       1.905000       0.660296       0.001863
       1.915000       0.655504       0.001915
       1.925000       0.657531       0.001879
       1.935000       0.652482       0.001862
       1.945000       0.651348       0.001910
       1.955000       0.648637       0.001436
       1.965000       0.650596       0.001921
       1.975000       0.639548       0.001875
       1.985000       0.642129       0.001904
       1.995000       0.655513       0.001922
       2.005000       0.661998       0.001934
       2.015000       0.670962       0.001885
       2.025000       0.676013       0.001810
       2.035000       0.670162       0.001933
       2.045000       0.669915       0.001923
       2.055000       0.671559       0.001913
       2.065000       0.671480       0.001933
       2.075000       0.668511       0.001909
       2.085000       0.665546       0.001920
       2.095000       0.667148       0.001916
       2.105000       0.660810       0.001913
       2.115000       0.659032       0.001912
       2.125000       0.659260       0.001912
       2.135000       0.649967       0.001911
       2.145000       0.645309       0.001908
       2.155000       0.647976       0.001898
       2.165000       0.651134       0.001899
       2.175000       0.650805       0.001924
       2.185000       0.646770       0.001930
       2.195000       0.637099       0.001938
       2.205000       0.621928       0.001937
       2.215000       0.610927       0.001935
       2.225000       0.602146       0.001938
       2.235000       0.587068       0.001933
       2.245000       0.562708       0.001923
       2.255000       0.523884       0.002670
       2.265000       0.497551       0.002716
       2.275000       0.483810       0.003831
       2.285000       0.477162       0.004159
       2.295000       0.459317       0.007571
       2.305000       0.441043       0.005690
       2.315000       0.421257       0.004514
       2.325000       0.423550       0.001913
       2.335000       0.466643       0.001863
       2.345000       0.536692       0.001833
