USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Dumortierite HS190.3B        W1R1Bc AREF
copy of splib05a r 2495                                     
       0.205100      -1.23e34        0.284119
       0.213100      -1.23e34        0.419170
       0.221100      -1.23e34        0.172850
       0.229100      -1.23e34        0.033076
       0.236100      -1.23e34        0.014468
       0.242100      -1.23e34        0.006678
       0.248100       0.168934       0.003851
       0.253600       0.180657       0.003214
       0.258600       0.191644       0.002579
       0.263600       0.200045       0.002067
       0.268600       0.215887       0.002001
       0.273100       0.225926       0.001908
       0.277100       0.234848       0.001710
       0.281100       0.244817       0.001647
       0.285100       0.253064       0.001563
       0.289100       0.260926       0.001230
       0.293100       0.269226       0.001176
       0.297100       0.279827       0.001210
       0.301100       0.292007       0.001325
       0.305100       0.303911       0.001284
       0.309100       0.313366       0.001302
       0.313100       0.327753       0.001323
       0.317100       0.336602       0.001333
       0.321100       0.349846       0.001347
       0.325100       0.360784       0.001353
       0.329100       0.369692       0.001355
       0.333100       0.381742       0.001359
       0.337100       0.392987       0.001368
       0.341100       0.402499       0.001373
       0.345100       0.414967       0.001367
       0.349100       0.422799       0.001369
       0.353100       0.435847       0.000572
       0.357100       0.441833       0.001366
       0.360600       0.446602       0.000648
       0.363600       0.450832       0.001026
       0.366600       0.453980       0.000918
       0.369600       0.457860       0.001148
       0.372600       0.459035       0.000811
       0.375600       0.461004       0.000873
       0.378600       0.463332       0.000857
       0.381100       0.465557       0.000693
       0.383100       0.465820       0.000587
       0.385100       0.467402       0.001067
       0.387100       0.469324       0.001066
       0.389100       0.466983       0.001373
       0.391100       0.468884       0.000858
       0.393100       0.468480       0.000907
       0.395100       0.470961       0.000792
       0.397100       0.470238       0.000797
       0.399100       0.470348       0.000719
       0.401100       0.470081       0.001377
       0.403100       0.469308       0.000768
       0.405100       0.468334       0.001055
       0.407100       0.467987       0.000653
       0.409100       0.466431       0.000619
       0.411100       0.465159       0.000883
       0.412800       0.462758       0.000807
       0.415800       0.460696       0.000682
       0.418800       0.457545       0.000758
       0.421800       0.451954       0.000802
       0.424800       0.448429       0.000701
       0.427800       0.444590       0.000993
       0.430800       0.440836       0.000734
       0.433800       0.436952       0.000692
       0.436800       0.432668       0.000990
       0.439800       0.428871       0.000698
       0.442800       0.424964       0.000719
       0.445800       0.420708       0.000666
       0.448800       0.417412       0.000747
       0.451300       0.414528       0.001131
       0.453300       0.411954       0.001378
       0.455300       0.409083       0.000977
       0.457300       0.406666       0.001060
       0.459300       0.405008       0.001088
       0.461300       0.401312       0.000732
       0.463300       0.400615       0.000888
       0.465300       0.398500       0.000869
       0.467300       0.396794       0.000931
       0.469300       0.396050       0.000896
       0.471300       0.393719       0.000863
       0.473300       0.391429       0.000805
       0.475300       0.389929       0.000864
       0.477300       0.389135       0.000762
       0.479300       0.388472       0.000844
       0.481300       0.387395       0.000752
       0.483300       0.386698       0.001159
       0.485300       0.385609       0.000842
       0.487300       0.385690       0.000818
       0.489300       0.384526       0.000772
       0.491300       0.384212       0.000787
       0.493300       0.382456       0.000874
       0.495300       0.382863       0.000930
       0.497300       0.382586       0.000768
       0.499300       0.383489       0.000953
       0.501300       0.383905       0.000822
       0.503300       0.383787       0.000757
       0.505300       0.383598       0.000740
       0.507300       0.385089       0.000764
       0.509300       0.384057       0.000803
       0.511300       0.385187       0.000906
       0.513300       0.386295       0.000907
       0.515300       0.387471       0.000811
       0.517300       0.387578       0.000904
       0.519300       0.389772       0.000900
       0.521300       0.390214       0.000704
       0.523300       0.392477       0.000838
       0.525300       0.393422       0.000865
       0.527300       0.395430       0.000793
       0.529300       0.397035       0.001260
       0.531300       0.398120       0.001013
       0.533300       0.399630       0.000912
       0.535300       0.402135       0.000937
       0.537300       0.404411       0.000823
       0.539300       0.406514       0.000803
       0.541300       0.408479       0.001006
       0.543300       0.410848       0.000864
       0.545300       0.412571       0.000729
       0.547300       0.414952       0.000769
       0.549300       0.416013       0.000818
       0.551300       0.419783       0.000945
       0.553300       0.421780       0.000809
       0.555300       0.424872       0.000981
       0.557300       0.427607       0.000779
       0.559300       0.430569       0.000774
       0.561300       0.432284       0.000737
       0.563300       0.436227       0.000742
       0.565300       0.439920       0.000772
       0.567300       0.441991       0.000771
       0.569300       0.445754       0.000880
       0.571300       0.447475       0.000883
       0.573300       0.451682       0.000925
       0.575300       0.453024       0.000760
       0.577300       0.456902       0.001238
       0.579300       0.460174       0.001056
       0.581300       0.462960       0.001449
       0.583300       0.467485       0.001130
       0.585300       0.470071       0.001083
       0.587300       0.471985       0.000954
       0.589300       0.474351       0.001158
       0.591300       0.478370       0.001154
       0.593300       0.479746       0.000806
       0.595300       0.483908       0.000767
       0.597300       0.487176       0.001064
       0.599300       0.489839       0.000982
       0.601100       0.491982       0.000863
       0.602700       0.494774       0.000894
       0.604300       0.496694       0.000772
       0.605900       0.499466       0.000829
       0.607500       0.501252       0.001134
       0.609100       0.504380       0.000767
       0.610700       0.506651       0.000872
       0.612300       0.509003       0.000764
       0.613900       0.511147       0.000785
       0.615500       0.513892       0.000812
       0.617100       0.517163       0.000849
       0.618700       0.518769       0.000976
       0.620300       0.520091       0.000826
       0.621900       0.522420       0.000782
       0.623500       0.524823       0.001094
       0.625100       0.526729       0.000883
       0.626700       0.529536       0.000821
       0.628300       0.531468       0.001156
       0.629900       0.532789       0.000802
       0.631700       0.535514       0.000727
       0.633700       0.538698       0.001092
       0.635700       0.540389       0.001043
       0.637700       0.543257       0.000833
       0.639700       0.546152       0.000762
       0.641700       0.548713       0.001152
       0.643700       0.551353       0.001016
       0.645700       0.554668       0.000969
       0.647700       0.557083       0.001354
       0.649700       0.558272       0.000971
       0.651700       0.562168       0.001244
       0.653700       0.562090       0.000683
       0.655700       0.565950       0.000632
       0.657700       0.570260       0.000667
       0.659700       0.572245       0.000665
       0.661700       0.574602       0.000950
       0.663700       0.577652       0.000783
       0.665700       0.580287       0.000728
       0.667700       0.582557       0.001033
       0.670200       0.585322       0.000764
       0.673200       0.590298       0.000735
       0.676200       0.591946       0.000926
       0.679200       0.596747       0.000809
       0.682200       0.600673       0.000885
       0.685200       0.604172       0.000884
       0.688200       0.608215       0.001008
       0.691200       0.612303       0.001020
       0.694200       0.616084       0.001384
       0.697200       0.620471       0.001144
       0.700200       0.624008       0.001123
       0.702000       0.625921       0.000876
       0.704000       0.628188       0.001419
       0.706000       0.631700       0.001010
       0.708000       0.633206       0.001212
       0.710000       0.634765       0.000766
       0.712000       0.638243       0.000645
       0.714000       0.640905       0.000681
       0.716000       0.642833       0.000591
       0.718000       0.645360       0.000784
       0.720000       0.647587       0.000596
       0.722000       0.649504       0.000574
       0.724000       0.653524       0.000621
       0.726000       0.655009       0.000802
       0.728000       0.656751       0.000683
       0.730000       0.658579       0.000802
       0.732000       0.661808       0.000729
       0.734000       0.661310       0.001005
       0.736000       0.665215       0.000993
       0.738000       0.668558       0.000863
       0.740000       0.667967       0.001215
       0.742000       0.671514       0.000757
       0.744000       0.673350       0.000883
       0.746000       0.674231       0.000879
       0.748000       0.677202       0.000709
       0.750500       0.679958       0.000769
       0.753500       0.683376       0.000618
       0.756500       0.686264       0.000798
       0.759500       0.689066       0.000765
       0.762500       0.693520       0.000650
       0.765500       0.693999       0.000831
       0.768500       0.697479       0.000886
       0.771500       0.699220       0.000734
       0.774500       0.702425       0.001091
       0.777500       0.705841       0.001407
       0.781000       0.706997       0.000851
       0.785000       0.709679       0.000745
       0.789000       0.712738       0.000823
       0.793000       0.716799       0.000789
       0.797000       0.719570       0.000729
       0.801500       0.722076       0.000828
       0.806500       0.726381       0.000737
       0.811500       0.729620       0.000830
       0.816500       0.733707       0.001102
       0.822000       0.734316       0.000853
       0.828000       0.738603       0.001032
       0.835000       0.740457       0.000907
       0.843000      -1.23e34        0.000000
       0.851000       0.755089       0.001723
       0.859000       0.758312       0.001623
       0.871000       0.762687       0.001656
       0.883000       0.767504       0.001654
       0.894000       0.770300       0.001593
       0.904000       0.773119       0.001327
       0.914000       0.771910       0.001172
       0.924000       0.774640       0.000871
       0.933000       0.780646       0.001631
       0.941000       0.781626       0.000838
       0.949000       0.779284       0.001056
       0.957000       0.784713       0.001150
       0.964000       0.782739       0.001098
       0.970000       0.791483       0.001222
       0.976000       0.793445       0.000914
       0.982000       0.794509       0.000952
       0.988000       0.799087       0.000917
       0.994000       0.797045       0.001207
       1.000000       0.799118       0.001090
       1.006000       0.802543       0.000931
       1.012000       0.801337       0.000786
       1.018000       0.803780       0.000947
       1.023500       0.805335       0.000998
       1.028500       0.805527       0.000948
       1.033500       0.806850       0.000900
       1.038500       0.807046       0.000704
       1.043500       0.810695       0.000993
       1.048500       0.810570       0.000893
       1.053500       0.810278       0.000839
       1.058500       0.812653       0.000660
       1.063500       0.812160       0.000764
       1.068500       0.814771       0.000755
       1.073500       0.813541       0.000902
       1.078500       0.815996       0.000874
       1.083500       0.816492       0.000866
       1.088500       0.821110       0.000730
       1.093500       0.817551       0.000981
       1.098500       0.819679       0.000698
       1.103500       0.818248       0.000767
       1.108500       0.822086       0.000992
       1.113500       0.820549       0.000808
       1.118500       0.820618       0.000684
       1.123500       0.820842       0.000917
       1.128500       0.820646       0.000748
       1.133500       0.823202       0.000903
       1.138500       0.824419       0.000728
       1.143500       0.824960       0.000848
       1.148500       0.824523       0.000974
       1.153500       0.825680       0.000912
       1.158500       0.824313       0.000710
       1.163500       0.825699       0.000755
       1.168500       0.827290       0.000930
       1.173500       0.828825       0.001146
       1.178500       0.826304       0.001210
       1.183500       0.827891       0.001049
       1.188500       0.831979       0.001057
       1.193500       0.830803       0.000859
       1.198500       0.829583       0.000851
       1.203500       0.830323       0.000743
       1.208500       0.830811       0.000902
       1.213500       0.829791       0.000629
       1.218500       0.831133       0.000529
       1.223500       0.830329       0.000745
       1.228500       0.829603       0.000714
       1.233500       0.828500       0.000831
       1.238500       0.829063       0.000865
       1.243500       0.828642       0.000935
       1.248500       0.831077       0.000836
       1.253500       0.832290       0.000749
       1.258500       0.834116       0.000903
       1.263500       0.835560       0.000808
       1.268500       0.833061       0.000902
       1.273500       0.832080       0.000815
       1.278500       0.831979       0.000642
       1.283500       0.830987       0.000857
       1.288500       0.828285       0.000567
       1.293500       0.824479       0.000900
       1.298500       0.825336       0.000808
       1.303500       0.823407       0.000619
       1.308500       0.822543       0.000959
       1.313500       0.823891       0.000787
       1.318500       0.822202       0.000694
       1.323500       0.820266       0.000823
       1.328500       0.819203       0.000755
       1.333500       0.817541       0.000650
       1.338500       0.819839       0.000808
       1.343500       0.819849       0.000682
       1.348500       0.815669       0.001026
       1.353500       0.810610       0.000770
       1.358500       0.805001       0.001008
       1.363500       0.801791       0.000728
       1.368500       0.801658       0.001013
       1.373500       0.794578       0.001221
       1.378500       0.780107       0.000892
       1.383500       0.759935       0.000904
       1.388500       0.706525       0.001071
       1.393500       0.620071       0.000998
       1.398500       0.662909       0.000902
       1.403500       0.678336       0.001071
       1.408500       0.676136       0.001042
       1.413500       0.657184       0.001009
       1.418500       0.722016       0.000702
       1.423500       0.782242       0.001175
       1.428500       0.795865       0.000981
       1.433500       0.806667       0.000899
       1.438500       0.808415       0.000810
       1.443500       0.810400       0.000944
       1.448500       0.809216       0.000891
       1.453500       0.805670       0.000851
       1.458500       0.794997       0.000846
       1.463500       0.791709       0.000889
       1.468500       0.790613       0.001342
       1.473500       0.796925       0.001008
       1.478500       0.805402       0.001360
       1.483500       0.813817       0.001057
       1.488500       0.817164       0.001029
       1.493500       0.819232       0.001237
       1.498500       0.819559       0.000972
       1.503500       0.823460       0.001174
       1.508500       0.823800       0.001326
       1.513500       0.822292       0.001062
       1.518500       0.821574       0.001273
       1.523500       0.822714       0.001134
       1.528500       0.821956       0.001378
       1.534000       0.822852       0.001031
       1.540000       0.823377       0.000770
       1.546000       0.823324       0.000925
       1.552000       0.822341       0.001179
       1.558000       0.821817       0.001306
       1.564000       0.819960       0.000657
       1.570500       0.818237       0.000815
       1.577500       0.818957       0.000626
       1.584500       0.816452       0.000512
       1.591500       0.815765       0.000702
       1.598500       0.815748       0.000938
       1.605500       0.812348       0.000849
       1.612500       0.808643       0.000620
       1.619500       0.807531       0.000939
       1.626500       0.805489       0.000865
       1.633500       0.803252       0.000922
       1.640500       0.800469       0.001082
       1.647500       0.798679       0.000858
       1.654500       0.795656       0.001010
       1.661500       0.793771       0.000998
       1.668500       0.790183       0.001048
       1.676000       0.786847       0.001023
       1.684000       0.782131       0.001576
       1.692000       0.780695       0.001684
       1.700000       0.776531       0.001706
       1.708000       0.770851       0.001440
       1.716000       0.766533       0.001209
       1.724000       0.760703       0.001560
       1.732000       0.757938       0.001505
       1.740000       0.750504       0.001686
       1.748000       0.752826       0.001699
       1.756000       0.749621       0.001637
       1.764000       0.746779       0.001267
       1.772000       0.747131       0.001351
       1.780000       0.745697       0.001214
       1.788000       0.745359       0.001627
       1.796000       0.744726       0.001303
       1.805000       0.739506       0.000869
       1.815000       0.735857       0.000896
       1.825000       0.732689       0.001020
       1.835000       0.727840       0.001381
       1.845000       0.723748       0.001387
       1.855000       0.718543       0.001388
       1.865000       0.714681       0.001103
       1.875000       0.708158       0.001186
       1.885000       0.700149       0.001043
       1.895000       0.689917       0.001010
       1.905000       0.678936       0.001655
       1.915000       0.672414       0.001381
       1.925000       0.669316       0.001601
       1.935000       0.668258       0.001278
       1.945000       0.664468       0.000968
       1.955000       0.661443       0.001545
       1.965000       0.664230       0.001330
       1.975000       0.657583       0.001153
       1.985000       0.657208       0.001477
       1.995000       0.658101       0.001567
       2.005000       0.653399       0.001637
       2.015000       0.650853       0.001379
       2.025000       0.649847       0.001502
       2.035000       0.646904       0.001645
       2.045000       0.639210       0.001395
       2.055000       0.637432       0.001388
       2.065000       0.633741       0.001660
       2.075000       0.622601       0.001502
       2.085000       0.620115       0.001527
       2.095000       0.613798       0.001635
       2.105000       0.614412       0.001596
       2.115000       0.602431       0.001603
       2.125000       0.600475       0.001625
       2.135000       0.589223       0.001602
       2.145000       0.569685       0.001394
       2.155000       0.527493       0.001295
       2.165000       0.476218       0.001592
       2.175000       0.489079       0.001169
       2.185000       0.486977       0.001630
       2.195000       0.473798       0.001653
       2.205000       0.468311       0.001631
       2.215000       0.497793       0.001661
       2.225000       0.525183       0.001676
       2.235000       0.511770       0.001665
       2.245000       0.491371       0.001670
       2.255000       0.479753       0.001658
       2.265000       0.476817       0.001663
       2.275000       0.484106       0.001871
       2.285000       0.489078       0.002319
       2.295000       0.491221       0.003436
       2.305000       0.477652       0.002867
       2.315000       0.464342       0.001927
       2.325000       0.459893       0.001662
       2.335000       0.463636       0.001634
