USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Epidote BR93-33a             W1R1Bb AREF
copy of splib05a r 2571                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100       0.039643       0.001013
       0.305100       0.040219       0.001232
       0.309100       0.039752       0.000881
       0.313100       0.040561       0.001079
       0.317100       0.041432       0.001227
       0.321100       0.040164       0.001130
       0.325100       0.041568       0.001337
       0.329100       0.041857       0.000928
       0.333100       0.042938       0.001244
       0.337100       0.042527       0.000774
       0.341100       0.043670       0.000765
       0.345100       0.044952       0.001059
       0.349100       0.045050       0.001072
       0.353100       0.046122       0.000764
       0.357100       0.047476       0.000812
       0.360600       0.048329       0.001015
       0.363600       0.049037       0.000871
       0.366600       0.049740       0.000882
       0.369600       0.051718       0.001125
       0.372600       0.052004       0.000829
       0.375600       0.053407       0.001057
       0.378600       0.054066       0.001063
       0.381100       0.055200       0.000832
       0.383100       0.055216       0.000850
       0.385100       0.055486       0.001173
       0.387100       0.056746       0.000775
       0.389100       0.056893       0.000884
       0.391100       0.057124       0.000752
       0.393100       0.057262       0.001104
       0.395100       0.057093       0.002127
       0.397100       0.057063       0.000807
       0.399100       0.056634       0.000765
       0.401100       0.057713       0.000816
       0.403100       0.057273       0.001054
       0.405100       0.057653       0.000725
       0.407100       0.057741       0.000723
       0.409100       0.058357       0.000718
       0.411100       0.060490       0.000922
       0.412800       0.061010       0.000851
       0.415800       0.062809       0.000950
       0.418800       0.064464       0.000914
       0.421800       0.067078       0.000798
       0.424800       0.069716       0.000815
       0.427800       0.072761       0.000868
       0.430800       0.076469       0.000824
       0.433800       0.080623       0.000721
       0.436800       0.084226       0.000722
       0.439800       0.087473       0.000796
       0.442800       0.089623       0.000838
       0.445800       0.090151       0.000909
       0.448800       0.090983       0.001181
       0.451300       0.088068       0.001016
       0.453300       0.084723       0.001064
       0.455300       0.083155       0.000959
       0.457300       0.082030       0.001854
       0.459300       0.082983       0.002555
       0.461300       0.085261       0.000944
       0.463300       0.085833       0.001683
       0.465300       0.087471       0.000945
       0.467300       0.086058       0.001016
       0.469300       0.084402       0.000930
       0.471300       0.082746       0.001458
       0.473300       0.082287       0.001091
       0.475300       0.082906       0.000942
       0.477300       0.083724       0.001034
       0.479300       0.086139       0.001476
       0.481300       0.089661       0.000887
       0.483300       0.092526       0.000809
       0.485300       0.097164       0.000887
       0.487300       0.099536       0.000999
       0.489300       0.103565       0.001466
       0.491300       0.106926       0.001020
       0.493300       0.112716       0.001003
       0.495300       0.115259       0.000956
       0.497300       0.119635       0.000958
       0.499300       0.122596       0.000860
       0.501300       0.126011       0.001024
       0.503300       0.129055       0.001060
       0.505300       0.131042       0.001511
       0.507300       0.134421       0.001009
       0.509300       0.136314       0.001071
       0.511300       0.140350       0.001025
       0.513300       0.141742       0.000861
       0.515300       0.145499       0.000938
       0.517300       0.146154       0.001091
       0.519300       0.148894       0.001104
       0.521300       0.150124       0.001018
       0.523300       0.151459       0.001072
       0.525300       0.152132       0.001596
       0.527300       0.154569       0.001099
       0.529300       0.154772       0.001010
       0.531300       0.155057       0.001187
       0.533300       0.157022       0.001100
       0.535300       0.157737       0.001133
       0.537300       0.158569       0.001150
       0.539300       0.159173       0.001317
       0.541300       0.159977       0.000960
       0.543300       0.160531       0.001113
       0.545300       0.160089       0.001006
       0.547300       0.160970       0.001122
       0.549300       0.160529       0.001088
       0.551300       0.160805       0.001125
       0.553300       0.162541       0.001118
       0.555300       0.161636       0.001498
       0.557300       0.162077       0.001074
       0.559300       0.162957       0.001044
       0.561300       0.163279       0.001093
       0.563300       0.162240       0.000973
       0.565300       0.161940       0.001480
       0.567300       0.161572       0.000874
       0.569300       0.160973       0.000970
       0.571300       0.160235       0.001573
       0.573300       0.159659       0.001116
       0.575300       0.159499       0.001178
       0.577300       0.158143       0.000727
       0.579300       0.157728       0.000681
       0.581300       0.157146       0.000678
       0.583300       0.157956       0.000796
       0.585300       0.157818       0.000689
       0.587300       0.156499       0.000771
       0.589300       0.156500       0.001098
       0.591300       0.156982       0.000948
       0.593300       0.156457       0.001075
       0.595300       0.156626       0.000723
       0.597300       0.156597       0.001890
       0.599300       0.156882       0.002695
       0.601100       0.157224       0.000905
       0.602700       0.158470       0.001297
       0.604300       0.157895       0.000818
       0.605900       0.158914       0.001143
       0.607500       0.158018       0.000792
       0.609100       0.158549       0.000818
       0.610700       0.158804       0.001111
       0.612300       0.158644       0.001346
       0.613900       0.158948       0.001399
       0.615500       0.159660       0.001998
       0.617100       0.158075       0.001508
       0.618700       0.160284       0.001811
       0.620300       0.159754       0.001317
       0.621900       0.161851       0.001136
       0.623500       0.159621       0.001401
       0.625100       0.161072       0.001920
       0.626700       0.160680       0.001361
       0.628300       0.163255       0.001754
       0.629900       0.161463       0.000948
       0.631700       0.162428       0.000976
       0.633700       0.163829       0.000853
       0.635700       0.163785       0.000928
       0.637700       0.164336       0.000901
       0.639700       0.164245       0.001163
       0.641700       0.165116       0.001156
       0.643700       0.166998       0.001041
       0.645700       0.167432       0.000980
       0.647700       0.169637       0.001092
       0.649700       0.169472       0.001142
       0.651700       0.170848       0.000704
       0.653700       0.171996       0.000767
       0.655700       0.173599       0.000725
       0.657700       0.174699       0.000721
       0.659700       0.176512       0.000580
       0.661700       0.177411       0.000830
       0.663700       0.178562       0.000758
       0.665700       0.180139       0.000816
       0.667700       0.180939       0.001124
       0.670200       0.182829       0.001021
       0.673200       0.184920       0.001007
       0.676200       0.187975       0.000978
       0.679200       0.189084       0.000749
       0.682200       0.192271       0.000924
       0.685200       0.193430       0.000653
       0.688200       0.196349       0.000753
       0.691200       0.197588       0.000668
       0.694200       0.199984       0.000706
       0.697200       0.201831       0.000769
       0.700200       0.202382       0.001768
       0.702000       0.203512       0.000986
       0.704000       0.205498       0.000992
       0.706000       0.204781       0.001455
       0.708000       0.207015       0.001532
       0.710000       0.206768       0.000971
       0.712000       0.207399       0.001080
       0.714000       0.208066       0.001717
       0.716000       0.209445       0.001382
       0.718000       0.211759       0.001116
       0.720000       0.210360       0.001041
       0.722000       0.211137       0.000723
       0.724000       0.212596       0.000631
       0.726000       0.212902       0.000729
       0.728000       0.212488       0.000828
       0.730000       0.213178       0.001048
       0.732000       0.213473       0.000791
       0.734000       0.214419       0.000790
       0.736000       0.214676       0.000704
       0.738000       0.215859       0.001234
       0.740000       0.215583       0.000756
       0.742000       0.216399       0.000843
       0.744000       0.215919       0.000950
       0.746000       0.216381       0.000889
       0.748000       0.216579       0.000906
       0.750500       0.216441       0.001060
       0.753500       0.217330       0.000650
       0.756500       0.217683       0.000949
       0.759500       0.218188       0.000727
       0.762500       0.218188       0.000876
       0.765500       0.219047       0.000803
       0.768500       0.218694       0.000924
       0.771500       0.219277       0.000873
       0.774500       0.219263       0.000851
       0.777500       0.219707       0.000881
       0.781000       0.219830       0.001163
       0.785000       0.219937       0.000686
       0.789000       0.219031       0.000767
       0.793000       0.219200       0.001136
       0.797000       0.219139       0.000816
       0.801500       0.219015       0.000767
       0.806500       0.219767       0.000730
       0.811500       0.219535       0.000744
       0.816500       0.220612       0.000718
       0.822000       0.218918       0.000903
       0.828000       0.218608       0.000885
       0.835000       0.219732       0.000963
       0.843000       0.219824       0.001142
       0.851000       0.221450       0.001997
       0.859000       0.222834       0.001087
       0.871000       0.222987       0.001065
       0.883000       0.222747       0.001488
       0.894000       0.223008       0.000832
       0.904000       0.221930       0.000762
       0.914000       0.217337       0.000740
       0.924000       0.217202       0.001185
       0.933000       0.214641       0.000841
       0.941000       0.213705       0.000696
       0.949000       0.210256       0.000728
       0.957000       0.205593       0.000662
       0.964000       0.206904       0.000857
       0.970000       0.204887       0.001032
       0.976000       0.202947       0.000879
       0.982000       0.200982       0.000786
       0.988000       0.197889       0.000780
       0.994000       0.195819       0.000830
       1.000000       0.194550       0.000899
       1.006000       0.193676       0.000655
       1.012000       0.191854       0.000900
       1.018000       0.189328       0.002735
       1.023500       0.189812       0.000988
       1.028500       0.188569       0.000937
       1.033500       0.189269       0.000819
       1.038500       0.187732       0.000851
       1.043500       0.186685       0.001048
       1.048500       0.187353       0.000906
       1.053500       0.186752       0.000967
       1.058500       0.187470       0.000696
       1.063500       0.185909       0.000881
       1.068500       0.187698       0.000757
       1.073500       0.187278       0.000801
       1.078500       0.188056       0.000892
       1.083500       0.189073       0.000740
       1.088500       0.190222       0.000770
       1.093500       0.191655       0.001110
       1.098500       0.192315       0.000964
       1.103500       0.194067       0.001149
       1.108500       0.195719       0.000750
       1.113500       0.198976       0.001049
       1.118500       0.200157       0.000685
       1.123500       0.202213       0.001043
       1.128500       0.204670       0.000834
       1.133500       0.208410       0.000703
       1.138500       0.210700       0.000668
       1.143500       0.213502       0.000689
       1.148500       0.216619       0.000751
       1.153500       0.218952       0.000762
       1.158500       0.222629       0.000709
       1.163500       0.225227       0.001063
       1.168500       0.228682       0.000746
       1.173500       0.233368       0.000690
       1.178500       0.235350       0.001051
       1.183500       0.241932       0.001014
       1.188500       0.247445       0.000923
       1.193500       0.252074       0.001041
       1.198500       0.255495       0.000897
       1.203500       0.261100       0.000729
       1.208500       0.265557       0.000813
       1.213500       0.271124       0.000831
       1.218500       0.274279       0.000739
       1.223500       0.279060       0.000800
       1.228500       0.283090       0.000799
       1.233500       0.286999       0.000692
       1.238500       0.291370       0.000798
       1.243500       0.295583       0.001180
       1.248500       0.297114       0.000769
       1.253500       0.300691       0.000823
       1.258500       0.302671       0.001010
       1.263500       0.305814       0.000826
       1.268500       0.306810       0.000802
       1.273500       0.309568       0.000794
       1.278500       0.311127       0.000836
       1.283500       0.312725       0.000843
       1.288500       0.312871       0.000877
       1.293500       0.314136       0.000972
       1.298500       0.314010       0.000693
       1.303500       0.315479       0.000951
       1.308500       0.314017       0.001135
       1.313500       0.314707       0.000733
       1.318500       0.314542       0.000802
       1.323500       0.314435       0.001052
       1.328500       0.315878       0.000873
       1.333500       0.315086       0.001193
       1.338500       0.316140       0.000896
       1.343500       0.316164       0.000835
       1.348500       0.316915       0.000800
       1.353500       0.317804       0.000862
       1.358500       0.317280       0.000922
       1.363500       0.317467       0.000889
       1.368500       0.318673       0.001507
       1.373500       0.318621       0.000990
       1.378500       0.318167       0.001363
       1.383500       0.317853       0.001109
       1.388500       0.316928       0.001061
       1.393500       0.313439       0.001202
       1.398500       0.313210       0.001095
       1.403500       0.312866       0.001116
       1.408500       0.316236       0.001503
       1.413500       0.312212       0.001025
       1.418500       0.312232       0.000765
       1.423500       0.311509       0.000895
       1.428500       0.310473       0.000888
       1.433500       0.310990       0.001229
       1.438500       0.310397       0.000980
       1.443500       0.310789       0.001021
       1.448500       0.311345       0.001391
       1.453500       0.310526       0.000936
       1.458500       0.310742       0.001060
       1.463500       0.308917       0.001090
       1.468500       0.308742       0.001033
       1.473500       0.307141       0.000871
       1.478500       0.306069       0.001146
       1.483500       0.302012       0.000905
       1.488500       0.299897       0.001056
       1.493500       0.297204       0.001267
       1.498500       0.295672       0.001331
       1.503500       0.291793       0.001191
       1.508500       0.286390       0.001297
       1.513500       0.281547       0.001223
       1.518500       0.276916       0.001124
       1.523500       0.271563       0.000962
       1.528500       0.266624       0.000987
       1.534000       0.260971       0.001082
       1.540000       0.254635       0.000954
       1.546000       0.250292       0.001057
       1.552000       0.252251       0.001498
       1.558000       0.255995       0.001263
       1.564000       0.263308       0.001066
       1.570500       0.269830       0.000829
       1.577500       0.278674       0.000795
       1.584500       0.282162       0.001141
       1.591500       0.288109       0.000890
       1.598500       0.294814       0.000762
       1.605500       0.298726       0.000901
       1.612500       0.302700       0.001056
       1.619500       0.305098       0.000956
       1.626500       0.307850       0.000797
       1.633500       0.311033       0.000959
       1.640500       0.313269       0.000750
       1.647500       0.314934       0.001051
       1.654500       0.318996       0.001147
       1.661500       0.321462       0.001105
       1.668500       0.322035       0.001190
       1.676000       0.322746       0.000862
       1.684000       0.323334       0.001033
       1.692000       0.329281       0.000947
       1.700000       0.332365       0.001528
       1.708000       0.334522       0.001064
       1.716000       0.336496       0.001253
       1.724000       0.337510       0.001115
       1.732000       0.339191       0.001256
       1.740000       0.343684       0.001747
       1.748000       0.344721       0.001516
       1.756000       0.346135       0.001372
       1.764000       0.348238       0.001144
       1.772000       0.349733       0.001362
       1.780000       0.352814       0.001247
       1.788000       0.353944       0.001046
       1.796000       0.354954       0.001011
       1.805000       0.352090       0.001012
       1.815000       0.343054       0.001060
       1.825000       0.320829       0.000870
       1.835000       0.317425       0.000940
       1.845000       0.333712       0.000993
       1.855000       0.348621       0.000873
       1.865000       0.350611       0.001011
       1.875000       0.343926       0.001065
       1.885000       0.333227       0.000914
       1.895000       0.332712       0.000952
       1.905000       0.324351       0.000806
       1.915000       0.319130       0.000761
       1.925000       0.317625       0.001168
       1.935000       0.312551       0.001182
       1.945000       0.302341       0.001012
       1.955000       0.301907       0.001086
       1.965000       0.314117       0.001009
       1.975000       0.326818       0.001270
       1.985000       0.336931       0.001438
       1.995000       0.341246       0.001321
       2.005000       0.346286       0.001216
       2.015000       0.349879       0.001049
       2.025000       0.351872       0.001353
       2.035000       0.355700       0.001563
       2.045000       0.358804       0.001695
       2.055000       0.367821       0.001574
       2.065000       0.367744       0.001246
       2.075000       0.370636       0.001577
       2.085000       0.366898       0.001522
       2.095000       0.369388       0.001586
       2.105000       0.365564       0.002146
       2.115000       0.364303       0.001663
       2.125000       0.359930       0.001971
       2.135000       0.360669       0.001901
       2.145000       0.360662       0.001503
       2.155000       0.355961       0.001454
       2.165000       0.350133       0.001381
       2.175000       0.339393       0.001239
       2.185000       0.325548       0.001668
       2.195000       0.314901       0.001943
       2.205000       0.305871       0.002555
       2.215000       0.293347       0.002617
       2.225000       0.265976       0.002639
       2.235000       0.228188       0.002579
       2.245000       0.176390       0.002591
       2.255000       0.146384       0.002611
       2.265000       0.163776       0.002625
       2.275000       0.176832       0.002644
       2.285000       0.169122       0.002666
       2.295000       0.150533       0.003466
       2.305000       0.126939       0.002913
       2.315000       0.109544       0.002677
       2.325000       0.093459       0.002637
