USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Fassaite HS118.3B            W1R1Bc AREF
copy of splib05a r 2676                                     
       0.205100      -1.23e34        0.275980
       0.213100      -1.23e34        0.021355
       0.221100       0.024279       0.005643
       0.229100       0.022685       0.002259
       0.236100       0.027994       0.001527
       0.242100       0.027520       0.001142
       0.248100       0.027265       0.001089
       0.253600       0.024921       0.001058
       0.258600       0.026470       0.001043
       0.263600       0.027310       0.001050
       0.268600       0.027367       0.001068
       0.273100       0.027692       0.001087
       0.277100       0.028610       0.001111
       0.281100       0.028600       0.001135
       0.285100       0.029276       0.001178
       0.289100       0.031084       0.001222
       0.293100       0.032630       0.001242
       0.297100       0.034158       0.001292
       0.301100       0.035761       0.001367
       0.305100       0.039252       0.001396
       0.309100       0.041307       0.001347
       0.313100       0.044997       0.001457
       0.317100       0.047450       0.001468
       0.321100       0.052344       0.001476
       0.325100       0.056847       0.001362
       0.329100       0.059306       0.001511
       0.333100       0.062740       0.001471
       0.337100       0.067244       0.001498
       0.341100       0.070949       0.001510
       0.345100       0.076458       0.001311
       0.349100       0.082070       0.001516
       0.353100       0.086141       0.001501
       0.357100       0.092616       0.001506
       0.360600       0.099158       0.001491
       0.363600       0.102350       0.001510
       0.366600       0.107128       0.001508
       0.369600       0.110749       0.001511
       0.372600       0.113754       0.001162
       0.375600       0.118435       0.001529
       0.378600       0.119786       0.001540
       0.381100       0.124693       0.001487
       0.383100       0.125337       0.001491
       0.385100       0.129210       0.001551
       0.387100       0.130078       0.000925
       0.389100       0.136758       0.001522
       0.391100       0.139053       0.001530
       0.393100       0.142204       0.001232
       0.395100       0.146315       0.001542
       0.397100       0.148769       0.001554
       0.399100       0.153043       0.001049
       0.401100       0.156104       0.001563
       0.403100       0.158991       0.000904
       0.405100       0.163660       0.001505
       0.407100       0.167874       0.001047
       0.409100       0.170914       0.001451
       0.411100       0.173387       0.001141
       0.412800       0.181661       0.001557
       0.415800       0.184487       0.001509
       0.418800       0.189810       0.001523
       0.421800       0.191327       0.001029
       0.424800       0.192830       0.001526
       0.427800       0.193693       0.000838
       0.430800       0.194213       0.001550
       0.433800       0.193040       0.001411
       0.436800       0.191542       0.001434
       0.439800       0.189271       0.001386
       0.442800       0.185404       0.000621
       0.445800       0.182964       0.001509
       0.448800       0.182685       0.001289
       0.451300       0.183919       0.001570
       0.453300       0.187065       0.001603
       0.455300       0.189788       0.001576
       0.457300       0.197492       0.001552
       0.459300       0.199466       0.001572
       0.461300       0.205819       0.000911
       0.463300       0.209886       0.001527
       0.465300       0.215324       0.001610
       0.467300       0.216899       0.001599
       0.469300       0.222614       0.001610
       0.471300       0.225237       0.001583
       0.473300       0.229418       0.001564
       0.475300       0.231141       0.000801
       0.477300       0.233558       0.001131
       0.479300       0.237312       0.001081
       0.481300       0.239641       0.001590
       0.483300       0.244623       0.001578
       0.485300       0.248379       0.001617
       0.487300       0.248528       0.000737
       0.489300       0.251065       0.001624
       0.491300       0.253094       0.001481
       0.493300       0.258845       0.001431
       0.495300       0.261473       0.001629
       0.497300       0.268522       0.001611
       0.499300       0.267883       0.001604
       0.501300       0.274726       0.001587
       0.503300       0.276416       0.001628
       0.505300       0.280070       0.001592
       0.507300       0.283455       0.001591
       0.509300       0.282842       0.001479
       0.511300       0.288326       0.001631
       0.513300       0.290596       0.001627
       0.515300       0.293000       0.001603
       0.517300       0.296560       0.001657
       0.519300       0.295867       0.000973
       0.521300       0.297625       0.001595
       0.523300       0.299098       0.001628
       0.525300       0.300030       0.001352
       0.527300       0.302373       0.001604
       0.529300       0.303513       0.001610
       0.531300       0.303031       0.001662
       0.533300       0.304158       0.001660
       0.535300       0.303682       0.001043
       0.537300       0.306992       0.000929
       0.539300       0.306483       0.001634
       0.541300       0.309216       0.001656
       0.543300       0.308479       0.001629
       0.545300       0.308335       0.001616
       0.547300       0.309473       0.001606
       0.549300       0.309971       0.001649
       0.551300       0.309710       0.000896
       0.553300       0.307617       0.001612
       0.555300       0.309284       0.001535
       0.557300       0.308380       0.001356
       0.559300       0.308154       0.001455
       0.561300       0.308235       0.001641
       0.563300       0.308792       0.000961
       0.565300       0.310669       0.001301
       0.567300       0.310621       0.001631
       0.569300       0.310386       0.001611
       0.571300       0.310197       0.001597
       0.573300       0.313251       0.001603
       0.575300       0.309375       0.000735
       0.577300       0.309651       0.001174
       0.579300       0.309004       0.000953
       0.581300       0.308254       0.001098
       0.583300       0.308504       0.001312
       0.585300       0.306952       0.000909
       0.587300       0.304551       0.001464
       0.589300       0.304691       0.001632
       0.591300       0.308824       0.001665
       0.593300       0.308060       0.001648
       0.595300       0.306303       0.001622
       0.597300       0.304484       0.001640
       0.599300       0.301461       0.001446
       0.601100       0.304584       0.001590
       0.602700       0.304550       0.001648
       0.604300       0.303378       0.001633
       0.605900       0.302943       0.001628
       0.607500       0.301441       0.001056
       0.609100       0.302158       0.001639
       0.610700       0.298203       0.001632
       0.612300       0.304437       0.001607
       0.613900       0.300494       0.001609
       0.615500       0.302499       0.001372
       0.617100       0.299069       0.001580
       0.618700       0.300790       0.001386
       0.620300       0.298313       0.001229
       0.621900       0.298651       0.001638
       0.623500       0.300671       0.001613
       0.625100       0.300611       0.001618
       0.626700       0.300471       0.001580
       0.628300       0.297222       0.001651
       0.629900       0.298464       0.001652
       0.631700       0.297528       0.001583
       0.633700       0.297932       0.001637
       0.635700       0.295883       0.001590
       0.637700       0.296220       0.001322
       0.639700       0.297897       0.001646
       0.641700       0.297507       0.001612
       0.643700       0.295121       0.000967
       0.645700       0.296140       0.001378
       0.647700       0.295833       0.000808
       0.649700       0.296387       0.001181
       0.651700       0.296036       0.000864
       0.653700       0.295689       0.001426
       0.655700       0.295986       0.001398
       0.657700       0.294780       0.001347
       0.659700       0.293187       0.000896
       0.661700       0.296265       0.001048
       0.663700       0.295784       0.000932
       0.665700       0.296479       0.001301
       0.667700       0.297742       0.001625
       0.670200       0.294678       0.001351
       0.673200       0.296494       0.001602
       0.676200       0.298222       0.001640
       0.679200       0.296482       0.001379
       0.682200       0.294557       0.001456
       0.685200       0.296436       0.001080
       0.688200       0.296753       0.001039
       0.691200       0.298371       0.001317
       0.694200       0.296938       0.001352
       0.697200       0.296448       0.001098
       0.700200       0.299173       0.001342
       0.702000       0.296554       0.000817
       0.704000       0.297106       0.001197
       0.706000       0.297497       0.001116
       0.708000       0.298001       0.001176
       0.710000       0.298236       0.001155
       0.712000       0.298438       0.000807
       0.714000       0.299968       0.001472
       0.716000       0.300000       0.001051
       0.718000       0.301310       0.000687
       0.720000       0.300395       0.000842
       0.722000       0.303060       0.001488
       0.724000       0.300693       0.000704
       0.726000       0.303793       0.001595
       0.728000       0.302813       0.001358
       0.730000       0.304798       0.001665
       0.732000       0.305617       0.001430
       0.734000       0.305626       0.001668
       0.736000       0.305726       0.000858
       0.738000       0.304400       0.001155
       0.740000       0.306702       0.001354
       0.742000       0.307025       0.001424
       0.744000       0.306965       0.001553
       0.746000       0.309005       0.001659
       0.748000       0.309903       0.000969
       0.750500       0.309205       0.001129
       0.753500       0.310664       0.000784
       0.756500       0.311219       0.001160
       0.759500       0.314399       0.001346
       0.762500       0.314646       0.000993
       0.765500       0.316882       0.001171
       0.768500       0.318473       0.001621
       0.771500       0.319714       0.001686
       0.774500       0.322086       0.001692
       0.777500       0.322744       0.001240
       0.781000       0.323291       0.000873
       0.785000       0.324549       0.000902
       0.789000       0.329085       0.001068
       0.793000       0.330794       0.001207
       0.797000       0.330647       0.001149
       0.801500       0.330144       0.000923
       0.806500       0.334726       0.001130
       0.811500       0.338417       0.001293
       0.816500       0.341224       0.001646
       0.822000       0.341072       0.000906
       0.828000       0.342389       0.001009
       0.835000       0.345020       0.001775
       0.843000      -1.23e34        0.000000
       0.851000       0.344458       0.001923
       0.859000       0.344459       0.001801
       0.871000       0.349089       0.001831
       0.883000       0.347953       0.001833
       0.894000       0.350214       0.001817
       0.904000       0.349103       0.001549
       0.914000       0.347009       0.001789
       0.924000       0.348699       0.001749
       0.933000       0.350490       0.001647
       0.941000       0.349238       0.001672
       0.949000       0.348710       0.001769
       0.957000       0.349053       0.001812
       0.964000       0.355803       0.001838
       0.970000       0.354299       0.001791
       0.976000       0.354095       0.001774
       0.982000       0.360875       0.001815
       0.988000       0.359745       0.001780
       0.994000       0.361521       0.001719
       1.000000       0.361191       0.001390
       1.006000       0.366058       0.001550
       1.012000       0.364868       0.001789
       1.018000       0.366667       0.001647
       1.023500       0.370342       0.001778
       1.028500       0.371117       0.001761
       1.033500       0.371305       0.001300
       1.038500       0.372675       0.001476
       1.043500       0.376025       0.001078
       1.048500       0.376022       0.000969
       1.053500       0.375425       0.001275
       1.058500       0.380871       0.001661
       1.063500       0.381284       0.001046
       1.068500       0.380696       0.001104
       1.073500       0.380844       0.001650
       1.078500       0.384327       0.001608
       1.083500       0.383872       0.001119
       1.088500       0.384488       0.001281
       1.093500       0.387535       0.001360
       1.098500       0.390631       0.001258
       1.103500       0.392865       0.001434
       1.108500       0.391073       0.000993
       1.113500       0.394294       0.001430
       1.118500       0.395826       0.000870
       1.123500       0.397712       0.001187
       1.128500       0.398407       0.000949
       1.133500       0.401117       0.001215
       1.138500       0.401645       0.001176
       1.143500       0.404340       0.000969
       1.148500       0.408112       0.001326
       1.153500       0.406991       0.001363
       1.158500       0.410631       0.001244
       1.163500       0.411079       0.001684
       1.168500       0.412661       0.001101
       1.173500       0.413825       0.001388
       1.178500       0.418423       0.001635
       1.183500       0.416841       0.001476
       1.188500       0.419097       0.001612
       1.193500       0.423404       0.001663
       1.198500       0.423397       0.001045
       1.203500       0.427069       0.000930
       1.208500       0.429724       0.001858
       1.213500       0.430845       0.000831
       1.218500       0.435939       0.001284
       1.223500       0.434902       0.001026
       1.228500       0.436536       0.000989
       1.233500       0.440698       0.001034
       1.238500       0.440571       0.001241
       1.243500       0.445110       0.001436
       1.248500       0.448895       0.001452
       1.253500       0.449456       0.001289
       1.258500       0.450139       0.000965
       1.263500       0.453757       0.001092
       1.268500       0.457293       0.000930
       1.273500       0.458809       0.001177
       1.278500       0.459547       0.001132
       1.283500       0.463419       0.000807
       1.288500       0.464996       0.000976
       1.293500       0.466568       0.001580
       1.298500       0.468953       0.001203
       1.303500       0.473617       0.000884
       1.308500       0.475572       0.001077
       1.313500       0.477511       0.001179
       1.318500       0.477019       0.000851
       1.323500       0.480357       0.001385
       1.328500       0.481068       0.000920
       1.333500       0.484410       0.001208
       1.338500       0.486453       0.001119
       1.343500       0.489726       0.000917
       1.348500       0.490631       0.001083
       1.353500       0.493522       0.001227
       1.358500       0.492822       0.001828
       1.363500       0.493905       0.001685
       1.368500       0.494617       0.001256
       1.373500       0.487208       0.001520
       1.378500       0.487472       0.001442
       1.383500       0.486745       0.001133
       1.388500       0.489012       0.001399
       1.393500       0.489779       0.001299
       1.398500       0.492901       0.001821
       1.403500       0.498467       0.001864
       1.408500       0.498688       0.001872
       1.413500       0.500823       0.001561
       1.418500       0.502764       0.001589
       1.423500       0.508882       0.001360
       1.428500       0.509861       0.001694
       1.433500       0.512313       0.001889
       1.438500       0.511155       0.001471
       1.443500       0.512422       0.001366
       1.448500       0.514453       0.001488
       1.453500       0.518786       0.001911
       1.458500       0.522034       0.001611
       1.463500       0.521793       0.001492
       1.468500       0.525016       0.001759
       1.473500       0.526218       0.001884
       1.478500       0.525375       0.001819
       1.483500       0.527174       0.001442
       1.488500       0.526315       0.001286
       1.493500       0.528858       0.001884
       1.498500       0.530049       0.001632
       1.503500       0.530899       0.001895
       1.508500       0.530834       0.001577
       1.513500       0.532674       0.001891
       1.518500       0.531546       0.001552
       1.523500       0.535102       0.001581
       1.528500       0.534704       0.001092
       1.534000       0.534947       0.001678
       1.540000       0.540658       0.001880
       1.546000       0.535446       0.001708
       1.552000       0.537098       0.001829
       1.558000       0.540259       0.001443
       1.564000       0.540201       0.001821
       1.570500       0.543250       0.001198
       1.577500       0.542375       0.000851
       1.584500       0.542291       0.001046
       1.591500       0.543729       0.001097
       1.598500       0.542522       0.000816
       1.605500       0.547270       0.000887
       1.612500       0.544066       0.001323
       1.619500       0.546820       0.001201
       1.626500       0.546218       0.001147
       1.633500       0.549023       0.001621
       1.640500       0.547148       0.001369
       1.647500       0.551145       0.001610
       1.654500       0.548202       0.001540
       1.661500       0.549606       0.001234
       1.668500       0.551304       0.001455
       1.676000       0.549923       0.001613
       1.684000       0.548201       0.001925
       1.692000       0.544899       0.001884
       1.700000       0.553531       0.001962
       1.708000       0.551122       0.001936
       1.716000       0.551189       0.001307
       1.724000       0.554963       0.001942
       1.732000       0.546507       0.001687
       1.740000       0.548100       0.001937
       1.748000       0.553939       0.001985
       1.756000       0.553650       0.001947
       1.764000       0.552979       0.001953
       1.772000       0.552197       0.001541
       1.780000       0.557074       0.001951
       1.788000       0.552444       0.001902
       1.796000       0.550915       0.001841
       1.805000       0.552492       0.001813
       1.815000       0.551401       0.001870
       1.825000       0.550830       0.001883
       1.835000       0.550445       0.001649
       1.845000       0.549887       0.001822
       1.855000       0.548799       0.001424
       1.865000       0.548406       0.001908
       1.875000       0.547018       0.001346
       1.885000       0.546119       0.001866
       1.895000       0.542120       0.001869
       1.905000       0.532360       0.001880
       1.915000       0.521210       0.001914
       1.925000       0.527304       0.001902
       1.935000       0.526440       0.001916
       1.945000       0.529026       0.001926
       1.955000       0.529024       0.001233
       1.965000       0.528857       0.001524
       1.975000       0.528879       0.001735
       1.985000       0.530294       0.001718
       1.995000       0.537081       0.001546
       2.005000       0.534631       0.001911
       2.015000       0.533677       0.001289
       2.025000       0.538813       0.001893
       2.035000       0.543317       0.001894
       2.045000       0.542449       0.001907
       2.055000       0.544656       0.001937
       2.065000       0.543423       0.001859
       2.075000       0.547096       0.001954
       2.085000       0.543830       0.001919
       2.095000       0.543733       0.001940
       2.105000       0.545640       0.001928
       2.115000       0.541319       0.001915
       2.125000       0.541323       0.001926
       2.135000       0.547880       0.001920
       2.145000       0.539935       0.001913
       2.155000       0.543792       0.001833
       2.165000       0.541957       0.001865
       2.175000       0.537042       0.001949
       2.185000       0.532629       0.001927
       2.195000       0.530653       0.001971
       2.205000       0.526206       0.001970
       2.215000       0.519853       0.001979
       2.225000       0.510336       0.001980
       2.235000       0.492113       0.001954
       2.245000       0.471746       0.001964
       2.255000       0.468995       0.001963
       2.265000       0.482830       0.002185
       2.275000       0.493211       0.002703
       2.285000       0.499478       0.002906
       2.295000       0.486918       0.004797
       2.305000       0.472480       0.004193
       2.315000       0.456633       0.003030
       2.325000       0.457131       0.001941
       2.335000       0.453195       0.001905
       2.345000       0.460365       0.001908
