USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Galena HS37.3                W1R1Bb AREF
copy of splib05a r 2711                                     
       0.205100      -1.23e34        0.267297
       0.213100      -1.23e34        0.240306
       0.221100      -1.23e34        0.059943
       0.229100      -1.23e34        0.009786
       0.236100      -1.23e34        0.004834
       0.242100      -1.23e34        0.001960
       0.248100       0.077941       0.001236
       0.253600       0.081007       0.001254
       0.258600       0.085849       0.000922
       0.263600       0.088738       0.000799
       0.268600       0.094225       0.000775
       0.273100       0.100137       0.000729
       0.277100       0.102531       0.000698
       0.281100       0.106364       0.000597
       0.285100       0.109073       0.000608
       0.289100       0.111048       0.000598
       0.293100       0.114861       0.000611
       0.297100       0.118419       0.000628
       0.301100       0.122049       0.000653
       0.305100       0.125472       0.000666
       0.309100       0.128627       0.000676
       0.313100       0.131842       0.000685
       0.317100       0.134916       0.000695
       0.321100       0.137810       0.000698
       0.325100       0.140449       0.000704
       0.329100       0.142165       0.000704
       0.333100       0.144606       0.000707
       0.337100       0.145727       0.000707
       0.341100       0.146933       0.000710
       0.345100       0.146642       0.000710
       0.349100       0.146633       0.000714
       0.353100       0.147981       0.000705
       0.357100       0.147423       0.000693
       0.360600       0.146937       0.000511
       0.363600       0.146549       0.000709
       0.366600       0.146145       0.000691
       0.369600       0.145672       0.000694
       0.372600       0.145356       0.000681
       0.375600       0.143904       0.000693
       0.378600       0.143460       0.000697
       0.381100       0.142986       0.000706
       0.383100       0.142841       0.000691
       0.385100       0.141842       0.000702
       0.387100       0.141217       0.000702
       0.389100       0.140922       0.000591
       0.391100       0.139621       0.000590
       0.393100       0.139363       0.000687
       0.395100       0.138779       0.000586
       0.397100       0.138044       0.000590
       0.399100       0.137491       0.000589
       0.401100       0.136631       0.000613
       0.403100       0.136206       0.000500
       0.405100       0.135580       0.000508
       0.407100       0.134859       0.000589
       0.409100       0.134806       0.000591
       0.411100       0.134648       0.000695
       0.412800       0.133497       0.000616
       0.415800       0.133352       0.000710
       0.418800       0.132851       0.000716
       0.421800       0.132286       0.000677
       0.424800       0.131025       0.000655
       0.427800       0.130351       0.000593
       0.430800       0.129764       0.000546
       0.433800       0.129350       0.000553
       0.436800       0.128802       0.000512
       0.439800       0.127965       0.000524
       0.442800       0.126926       0.000705
       0.445800       0.126909       0.000474
       0.448800       0.126657       0.000562
       0.451300       0.126369       0.000653
       0.453300       0.125995       0.000718
       0.455300       0.125164       0.000720
       0.457300       0.124574       0.000731
       0.459300       0.125055       0.000729
       0.461300       0.124308       0.000720
       0.463300       0.123922       0.000597
       0.465300       0.124085       0.000730
       0.467300       0.123097       0.000669
       0.469300       0.122873       0.000728
       0.471300       0.122758       0.000720
       0.473300       0.122230       0.000636
       0.475300       0.122190       0.000621
       0.477300       0.121454       0.000603
       0.479300       0.121825       0.000629
       0.481300       0.120985       0.000677
       0.483300       0.120869       0.000632
       0.485300       0.120745       0.000579
       0.487300       0.120470       0.000613
       0.489300       0.120114       0.000616
       0.491300       0.119569       0.000730
       0.493300       0.119389       0.000534
       0.495300       0.119226       0.000627
       0.497300       0.118876       0.000588
       0.499300       0.118928       0.000724
       0.501300       0.118701       0.000628
       0.503300       0.118379       0.000721
       0.505300       0.117908       0.000528
       0.507300       0.117739       0.000634
       0.509300       0.117486       0.000552
       0.511300       0.118069       0.000581
       0.513300       0.116911       0.000543
       0.515300       0.117033       0.000644
       0.517300       0.116492       0.000723
       0.519300       0.116219       0.000607
       0.521300       0.116395       0.000721
       0.523300       0.116382       0.000564
       0.525300       0.116276       0.000721
       0.527300       0.116505       0.000582
       0.529300       0.115536       0.000602
       0.531300       0.115565       0.000632
       0.533300       0.114947       0.000655
       0.535300       0.115459       0.000657
       0.537300       0.115766       0.000734
       0.539300       0.115080       0.000734
       0.541300       0.115334       0.000725
       0.543300       0.115202       0.000606
       0.545300       0.114771       0.000605
       0.547300       0.114791       0.000717
       0.549300       0.114572       0.000584
       0.551300       0.114555       0.000698
       0.553300       0.114193       0.000572
       0.555300       0.113618       0.000664
       0.557300       0.114022       0.000604
       0.559300       0.113957       0.000527
       0.561300       0.113179       0.000544
       0.563300       0.113812       0.000713
       0.565300       0.113854       0.000534
       0.567300       0.113566       0.000598
       0.569300       0.113858       0.000599
       0.571300       0.113767       0.000598
       0.573300       0.113821       0.000639
       0.575300       0.114081       0.000658
       0.577300       0.114044       0.000750
       0.579300       0.114142       0.000754
       0.581300       0.114265       0.000756
       0.583300       0.114245       0.000754
       0.585300       0.114355       0.000755
       0.587300       0.114363       0.000751
       0.589300       0.114076       0.000751
       0.591300       0.114622       0.000709
       0.593300       0.114057       0.000720
       0.595300       0.114073       0.000734
       0.597300       0.114025       0.000640
       0.599300       0.113841       0.000725
       0.601100       0.113838       0.000737
       0.602700       0.113819       0.000727
       0.604300       0.113793       0.000730
       0.605900       0.113535       0.000604
       0.607500       0.114107       0.000726
       0.609100       0.114226       0.000739
       0.610700       0.114272       0.000585
       0.612300       0.114048       0.000630
       0.613900       0.114030       0.000646
       0.615500       0.114540       0.000724
       0.617100       0.114371       0.000562
       0.618700       0.114601       0.000563
       0.620300       0.114437       0.000646
       0.621900       0.114445       0.000602
       0.623500       0.115043       0.000610
       0.625100       0.114971       0.000650
       0.626700       0.114837       0.000633
       0.628300       0.114919       0.000685
       0.629900       0.114954       0.000650
       0.631700       0.115176       0.000465
       0.633700       0.115415       0.000517
       0.635700       0.115447       0.000519
       0.637700       0.115685       0.000587
       0.639700       0.115835       0.000596
       0.641700       0.116435       0.000625
       0.643700       0.116308       0.000571
       0.645700       0.116544       0.000725
       0.647700       0.116617       0.000716
       0.649700       0.116833       0.000749
       0.651700       0.117244       0.000692
       0.653700       0.116998       0.000748
       0.655700       0.118118       0.000734
       0.657700       0.117252       0.000752
       0.659700       0.117867       0.000759
       0.661700       0.117974       0.000750
       0.663700       0.117738       0.000744
       0.665700       0.118141       0.000750
       0.667700       0.118311       0.000749
       0.670200       0.118247       0.000592
       0.673200       0.118097       0.000619
       0.676200       0.118470       0.000684
       0.679200       0.118023       0.000718
       0.682200       0.118582       0.000747
       0.685200       0.118367       0.000727
       0.688200       0.118764       0.000736
       0.691200       0.118702       0.000742
       0.694200       0.118897       0.000756
       0.697200       0.118009       0.000765
       0.700200       0.118688       0.000758
       0.702000       0.119068       0.000710
       0.704000       0.118399       0.000738
       0.706000       0.118684       0.000741
       0.708000       0.118108       0.000730
       0.710000       0.118785       0.000748
       0.712000       0.118251       0.000448
       0.714000       0.118323       0.000520
       0.716000       0.118201       0.000632
       0.718000       0.118251       0.000460
       0.720000       0.118208       0.000690
       0.722000       0.118041       0.000614
       0.724000       0.118555       0.000706
       0.726000       0.118211       0.000530
       0.728000       0.118533       0.000488
       0.730000       0.118391       0.000648
       0.732000       0.118544       0.000550
       0.734000       0.117743       0.000740
       0.736000       0.118086       0.000627
       0.738000       0.118127       0.000746
       0.740000       0.117885       0.000615
       0.742000       0.118597       0.000739
       0.744000       0.118119       0.000690
       0.746000       0.118235       0.000702
       0.748000       0.117651       0.000763
       0.750500       0.117717       0.000766
       0.753500       0.117708       0.000773
       0.756500       0.117555       0.000660
       0.759500       0.117386       0.000479
       0.762500       0.117593       0.000758
       0.765500       0.117396       0.000762
       0.768500       0.117230       0.000759
       0.771500       0.117453       0.000459
       0.774500       0.117314       0.000632
       0.777500       0.117509       0.000749
       0.781000       0.117452       0.000575
       0.785000       0.117146       0.000582
       0.789000       0.117704       0.000516
       0.793000       0.117316       0.000608
       0.797000       0.117182       0.000774
       0.801500       0.117078       0.000683
       0.806500       0.117001       0.000679
       0.811500       0.117452       0.000618
       0.816500       0.117053       0.000646
       0.822000       0.117036       0.000524
       0.828000       0.116989       0.000766
       0.835000       0.116663       0.000709
       0.843000       0.116692       0.000807
       0.851000      -1.23e34        0.000884
       0.859000      -1.23e34        0.000838
       0.871000      -1.23e34        0.000839
       0.883000      -1.23e34        0.000837
       0.894000       0.116352       0.000838
       0.904000       0.116916       0.000823
       0.914000       0.116082       0.000830
       0.924000       0.114592       0.000820
       0.933000       0.115018       0.000836
       0.941000       0.114068       0.000754
       0.949000       0.112820       0.000818
       0.957000       0.112731       0.000833
       0.964000       0.114345       0.000822
       0.970000       0.113485       0.000835
       0.976000       0.112441       0.000839
       0.982000       0.110891       0.000774
       0.988000       0.112983       0.000753
       0.994000       0.111551       0.000597
       1.000000       0.111764       0.000678
       1.006000       0.110923       0.000696
       1.012000       0.111166       0.000824
       1.018000       0.109971       0.000824
       1.023500       0.111154       0.000843
       1.028500       0.109839       0.000753
       1.033500       0.111809       0.000845
       1.038500       0.109887       0.000843
       1.043500       0.110726       0.000828
       1.048500       0.110933       0.000766
       1.053500       0.110201       0.000712
       1.058500       0.109945       0.000825
       1.063500       0.109594       0.000829
       1.068500       0.108880       0.000839
       1.073500       0.107667       0.000710
       1.078500       0.108887       0.000792
       1.083500       0.108731       0.000809
       1.088500       0.109246       0.000785
       1.093500       0.109279       0.000684
       1.098500       0.108358       0.000797
       1.103500       0.108153       0.000752
       1.108500       0.108295       0.000676
       1.113500       0.107983       0.000732
       1.118500       0.108505       0.000709
       1.123500       0.107673       0.000812
       1.128500       0.108131       0.000624
       1.133500       0.107349       0.000697
       1.138500       0.107911       0.000701
       1.143500       0.107727       0.000649
       1.148500       0.107058       0.000816
       1.153500       0.106649       0.000553
       1.158500       0.107203       0.000655
       1.163500       0.106770       0.000708
       1.168500       0.106172       0.000735
       1.173500       0.106650       0.000783
       1.178500       0.106813       0.000692
       1.183500       0.107689       0.000705
       1.188500       0.107139       0.000825
       1.193500       0.106512       0.000811
       1.198500       0.106354       0.000699
       1.203500       0.106146       0.000698
       1.208500       0.106869       0.000696
       1.213500       0.106167       0.000644
       1.218500       0.106804       0.000639
       1.223500       0.106549       0.000592
       1.228500       0.105956       0.000734
       1.233500       0.107116       0.000672
       1.238500       0.106505       0.000624
       1.243500       0.105635       0.000644
       1.248500       0.105144       0.000794
       1.253500       0.105711       0.000828
       1.258500       0.106246       0.000734
       1.263500       0.105209       0.000646
       1.268500       0.106186       0.000691
       1.273500       0.105606       0.000570
       1.278500       0.106053       0.000758
       1.283500       0.105076       0.000728
       1.288500       0.104334       0.000777
       1.293500       0.105960       0.000617
       1.298500       0.104153       0.000627
       1.303500       0.105721       0.000825
       1.308500       0.105144       0.000665
       1.313500       0.105024       0.000559
       1.318500       0.104699       0.000677
       1.323500       0.104956       0.000727
       1.328500       0.105050       0.000700
       1.333500       0.104966       0.000497
       1.338500       0.105368       0.000704
       1.343500       0.105255       0.000648
       1.348500       0.104524       0.000679
       1.353500       0.104979       0.000820
       1.358500       0.103911       0.000784
       1.363500       0.105721       0.000835
       1.368500       0.104890       0.000834
       1.373500       0.104372       0.000840
       1.378500       0.103613       0.000850
       1.383500       0.104315       0.000850
       1.388500       0.103982       0.000847
       1.393500       0.104387       0.000842
       1.398500       0.104174       0.000846
       1.403500       0.103443       0.000805
       1.408500       0.104716       0.000853
       1.413500       0.104357       0.000839
       1.418500       0.103998       0.000845
       1.423500       0.104662       0.000828
       1.428500       0.104897       0.000839
       1.433500       0.104168       0.000841
       1.438500       0.103398       0.000843
       1.443500       0.104365       0.000691
       1.448500       0.104186       0.000722
       1.453500       0.103696       0.000736
       1.458500       0.103813       0.000846
       1.463500       0.104088       0.000822
       1.468500       0.104024       0.000854
       1.473500       0.103284       0.000855
       1.478500       0.105000       0.000851
       1.483500       0.104817       0.000859
       1.488500       0.104089       0.000851
       1.493500       0.103330       0.000801
       1.498500       0.103767       0.000849
       1.503500       0.105611       0.000816
       1.508500       0.103840       0.000853
       1.513500       0.103821       0.000840
       1.518500       0.104739       0.000852
       1.523500       0.104591       0.000848
       1.528500       0.105128       0.000819
       1.534000       0.104361       0.000758
       1.540000       0.103483       0.000824
       1.546000       0.104416       0.000847
       1.552000       0.104182       0.000843
       1.558000       0.104431       0.000679
       1.564000       0.105197       0.000709
       1.570500       0.103809       0.000562
       1.577500       0.103138       0.000727
       1.584500       0.104342       0.000626
       1.591500       0.103057       0.000574
       1.598500       0.103755       0.000469
       1.605500       0.104238       0.000623
       1.612500       0.103602       0.000628
       1.619500       0.102903       0.000645
       1.626500       0.103481       0.000775
       1.633500       0.103391       0.000608
       1.640500       0.102692       0.000616
       1.647500       0.104164       0.000740
       1.654500       0.103380       0.000733
       1.661500       0.103479       0.000830
       1.668500       0.102422       0.000844
       1.676000       0.103010       0.000819
       1.684000       0.102702       0.000852
       1.692000       0.102445       0.000853
       1.700000       0.103380       0.000855
       1.708000       0.102429       0.000856
       1.716000       0.104139       0.000841
       1.724000       0.103113       0.000841
       1.732000       0.102343       0.000856
       1.740000       0.102773       0.000855
       1.748000       0.102134       0.000858
       1.756000       0.103834       0.000856
       1.764000       0.103819       0.000845
       1.772000       0.102684       0.000859
       1.780000       0.102698       0.000856
       1.788000       0.104699       0.000861
       1.796000       0.104368       0.000831
       1.805000       0.102713       0.000725
       1.815000       0.102889       0.000823
       1.825000       0.102904       0.000847
       1.835000       0.102739       0.000847
       1.845000       0.104232       0.000837
       1.855000       0.102914       0.000857
       1.865000       0.102236       0.000786
       1.875000       0.102922       0.000651
       1.885000       0.102250       0.000848
       1.895000       0.102353       0.000770
       1.905000       0.104060       0.000855
       1.915000       0.103557       0.000787
       1.925000       0.102378       0.000841
       1.935000       0.102536       0.000826
       1.945000       0.102751       0.000859
       1.955000       0.101526       0.000857
       1.965000       0.103033       0.000851
       1.975000       0.104232       0.000856
       1.985000       0.103823       0.000858
       1.995000       0.102561       0.000851
       2.005000       0.102753       0.000853
       2.015000       0.102587       0.000769
       2.025000       0.103961       0.000845
       2.035000       0.103949       0.000849
       2.045000       0.102114       0.000848
       2.055000       0.104311       0.000847
       2.065000       0.103506       0.000846
       2.075000       0.102605       0.000847
       2.085000       0.103812       0.000848
       2.095000       0.104221       0.000842
       2.105000       0.105106       0.000844
       2.115000       0.103831       0.000839
       2.125000       0.103832       0.000839
       2.135000       0.102803       0.000838
       2.145000       0.105180       0.000840
       2.155000       0.103275       0.000835
       2.165000       0.104043       0.000838
       2.175000       0.104501       0.000844
       2.185000       0.104699       0.000848
       2.195000       0.102145       0.000854
       2.205000       0.105265       0.000855
       2.215000       0.102611       0.000852
       2.225000       0.105639       0.000856
       2.235000       0.104442       0.000855
       2.245000       0.103009       0.000855
       2.255000       0.103994       0.000854
       2.265000       0.103439       0.000854
       2.275000       0.103774       0.000853
       2.285000       0.101796       0.001132
       2.295000      -1.23e34        0.001775
       2.305000       0.105188       0.001347
       2.315000       0.104946       0.001113
       2.325000       0.103507       0.000853
       2.335000       0.105786       0.000847
