USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Glauconite HS313.3B          W1R1Bc AREF
copy of splib05a r 2816                                     
       0.205100      -1.23e34        0.351346
       0.213100      -1.23e34        0.029548
       0.221100      -1.23e34        0.006896
       0.229100       0.019044       0.002894
       0.236100       0.019923       0.001764
       0.242100       0.022612       0.001213
       0.248100       0.021764       0.001088
       0.253600       0.022820       0.001061
       0.258600       0.023323       0.001042
       0.263600       0.024059       0.001052
       0.268600       0.024081       0.001071
       0.273100       0.025377       0.001093
       0.277100       0.026537       0.001107
       0.281100       0.027441       0.001144
       0.285100       0.028365       0.001176
       0.289100       0.030511       0.001218
       0.293100       0.032979       0.001248
       0.297100       0.034835       0.001318
       0.301100       0.037327       0.001348
       0.305100       0.039953       0.001401
       0.309100       0.043417       0.001434
       0.313100       0.049025       0.001425
       0.317100       0.051278       0.001482
       0.321100       0.055149       0.001501
       0.325100       0.056233       0.001505
       0.329100       0.060708       0.001479
       0.333100       0.062891       0.001498
       0.337100       0.064740       0.001522
       0.341100       0.067525       0.001525
       0.345100       0.072099       0.001516
       0.349100       0.074937       0.001547
       0.353100       0.077620       0.000636
       0.357100       0.082622       0.001160
       0.360600       0.086722       0.000561
       0.363600       0.088609       0.001524
       0.366600       0.089302       0.001504
       0.369600       0.089036       0.000744
       0.372600       0.091488       0.001534
       0.375600       0.093433       0.001476
       0.378600       0.095398       0.001494
       0.381100       0.097853       0.001515
       0.383100       0.098195       0.001366
       0.385100       0.095810       0.001527
       0.387100       0.096924       0.001094
       0.389100       0.102543       0.001539
       0.391100       0.101698       0.001489
       0.393100       0.102761       0.001553
       0.395100       0.105919       0.000964
       0.397100       0.104945       0.000639
       0.399100       0.107130       0.000946
       0.401100       0.107528       0.001108
       0.403100       0.108380       0.001518
       0.405100       0.109154       0.001213
       0.407100       0.109358       0.000823
       0.409100       0.112061       0.001447
       0.411100       0.112558       0.001556
       0.412800       0.111021       0.001502
       0.415800       0.112351       0.001556
       0.418800       0.114911       0.001556
       0.421800       0.116802       0.001045
       0.424800       0.116335       0.001156
       0.427800       0.119409       0.001521
       0.430800       0.121066       0.001585
       0.433800       0.119573       0.001374
       0.436800       0.123489       0.001524
       0.439800       0.124344       0.001424
       0.442800       0.123904       0.001354
       0.445800       0.124498       0.001496
       0.448800       0.125351       0.001574
       0.451300       0.127709       0.000985
       0.453300       0.125193       0.001586
       0.455300       0.128003       0.001597
       0.457300       0.128845       0.001603
       0.459300       0.131681       0.001434
       0.461300       0.131774       0.001547
       0.463300       0.132780       0.001573
       0.465300       0.135149       0.001584
       0.467300       0.136115       0.001554
       0.469300       0.136465       0.001557
       0.471300       0.138277       0.001149
       0.473300       0.139767       0.001361
       0.475300       0.141082       0.000831
       0.477300       0.142923       0.001591
       0.479300       0.143932       0.001565
       0.481300       0.145089       0.001185
       0.483300       0.146642       0.001610
       0.485300       0.147037       0.001550
       0.487300       0.148390       0.001274
       0.489300       0.149394       0.001524
       0.491300       0.149587       0.001603
       0.493300       0.151246       0.001231
       0.495300       0.151057       0.000937
       0.497300       0.151881       0.001618
       0.499300       0.154924       0.001131
       0.501300       0.154602       0.001551
       0.503300       0.154609       0.001602
       0.505300       0.157515       0.001596
       0.507300       0.156330       0.001625
       0.509300       0.157459       0.001566
       0.511300       0.159252       0.001591
       0.513300       0.159517       0.001619
       0.515300       0.160500       0.001192
       0.517300       0.160967       0.001609
       0.519300       0.163408       0.001571
       0.521300       0.163888       0.001600
       0.523300       0.162859       0.001249
       0.525300       0.163610       0.001370
       0.527300       0.165677       0.001453
       0.529300       0.165358       0.001590
       0.531300       0.166412       0.001604
       0.533300       0.165038       0.001584
       0.535300       0.166150       0.001626
       0.537300       0.166053       0.001405
       0.539300       0.167141       0.001595
       0.541300       0.167938       0.001627
       0.543300       0.167558       0.001610
       0.545300       0.169407       0.001614
       0.547300       0.169493       0.001627
       0.549300       0.170352       0.000838
       0.551300       0.170368       0.001200
       0.553300       0.170520       0.001556
       0.555300       0.170070       0.001046
       0.557300       0.168732       0.001593
       0.559300       0.169120       0.000760
       0.561300       0.168469       0.001480
       0.563300       0.168065       0.000692
       0.565300       0.166466       0.001555
       0.567300       0.168471       0.001024
       0.569300       0.168285       0.001639
       0.571300       0.168883       0.001159
       0.573300       0.168625       0.001596
       0.575300       0.166336       0.001592
       0.577300       0.164442       0.000976
       0.579300       0.163116       0.001051
       0.581300       0.163435       0.001305
       0.583300       0.162388       0.000700
       0.585300       0.161641       0.001356
       0.587300       0.158688       0.001150
       0.589300       0.160657       0.001607
       0.591300       0.160681       0.001417
       0.593300       0.159493       0.001617
       0.595300       0.157474       0.001631
       0.597300       0.155729       0.001596
       0.599300       0.154196       0.001269
       0.601100       0.155521       0.001631
       0.602700       0.153863       0.001587
       0.604300       0.149324       0.001569
       0.605900       0.153255       0.001597
       0.607500       0.146867       0.001042
       0.609100       0.151297       0.001583
       0.610700       0.151611       0.001597
       0.612300       0.148097       0.001493
       0.613900       0.148928       0.001103
       0.615500       0.147286       0.001583
       0.617100       0.147981       0.001594
       0.618700       0.148314       0.001380
       0.620300       0.145629       0.001432
       0.621900       0.146752       0.001584
       0.623500       0.142648       0.001570
       0.625100       0.144430       0.000840
       0.626700       0.143188       0.001574
       0.628300       0.143496       0.001376
       0.629900       0.140028       0.001625
       0.631700       0.140796       0.000943
       0.633700       0.138940       0.001589
       0.635700       0.138944       0.001597
       0.637700       0.136694       0.001184
       0.639700       0.138099       0.001130
       0.641700       0.139351       0.001166
       0.643700       0.135131       0.001244
       0.645700       0.135552       0.001579
       0.647700       0.133702       0.001221
       0.649700       0.133934       0.001299
       0.651700       0.132373       0.000841
       0.653700       0.131456       0.000619
       0.655700       0.130428       0.000725
       0.657700       0.129639       0.000774
       0.659700       0.130495       0.001188
       0.661700       0.128535       0.001349
       0.663700       0.128650       0.001171
       0.665700       0.129233       0.001092
       0.667700       0.126324       0.001619
       0.670200       0.126748       0.000827
       0.673200       0.122521       0.000887
       0.676200       0.124076       0.001628
       0.679200       0.123455       0.001402
       0.682200       0.122202       0.001297
       0.685200       0.121925       0.001424
       0.688200       0.120300       0.000944
       0.691200       0.120609       0.001640
       0.694200       0.118175       0.001392
       0.697200       0.115586       0.000781
       0.700200       0.117317       0.001427
       0.702000       0.115311       0.000983
       0.704000       0.114781       0.001246
       0.706000       0.114582       0.000917
       0.708000       0.114355       0.001524
       0.710000       0.113725       0.000954
       0.712000       0.114237       0.001427
       0.714000       0.112546       0.001325
       0.716000       0.113072       0.001014
       0.718000       0.111942       0.001170
       0.720000       0.112684       0.000682
       0.722000       0.110927       0.000602
       0.724000       0.110526       0.001263
       0.726000       0.111440       0.001502
       0.728000       0.111200       0.001586
       0.730000       0.108739       0.001445
       0.732000       0.109643       0.001608
       0.734000       0.108819       0.001657
       0.736000       0.109666       0.001015
       0.738000       0.110345       0.001388
       0.740000       0.108999       0.001638
       0.742000       0.108698       0.001476
       0.744000       0.107933       0.001431
       0.746000       0.108538       0.001338
       0.748000       0.106736       0.001209
       0.750500       0.105476       0.001074
       0.753500       0.106179       0.001229
       0.756500       0.106501       0.001014
       0.759500       0.106795       0.001499
       0.762500       0.106530       0.001622
       0.765500       0.106321       0.001002
       0.768500       0.106222       0.001259
       0.771500       0.106443       0.001600
       0.774500       0.107496       0.001162
       0.777500       0.106275       0.001556
       0.781000       0.105318       0.001214
       0.785000       0.108197       0.001514
       0.789000       0.105480       0.001556
       0.793000       0.106958       0.001369
       0.797000       0.105493       0.000892
       0.801500       0.107110       0.001042
       0.806500       0.107598       0.001385
       0.811500       0.108448       0.001572
       0.816500       0.107272       0.000712
       0.822000       0.107126       0.001498
       0.828000       0.105510       0.000983
       0.835000       0.109335       0.001697
       0.843000      -1.23e34        0.000000
       0.851000       0.106727       0.001825
       0.859000       0.108383       0.001789
       0.871000       0.104229       0.001765
       0.883000       0.101747       0.001766
       0.894000       0.100515       0.001720
       0.904000       0.101825       0.001732
       0.914000       0.100748       0.001773
       0.924000       0.099430       0.001756
       0.933000       0.099229       0.001459
       0.941000       0.096241       0.001729
       0.949000       0.096912       0.001182
       0.957000       0.094049       0.001324
       0.964000       0.096303       0.001796
       0.970000       0.094715       0.001720
       0.976000       0.097738       0.001747
       0.982000       0.092770       0.001654
       0.988000       0.089986       0.001362
       0.994000       0.091241       0.001097
       1.000000       0.093181       0.001681
       1.006000       0.094590       0.001792
       1.012000       0.091961       0.001084
       1.018000       0.092011       0.001695
       1.023500       0.091094       0.001770
       1.028500       0.090227       0.001693
       1.033500       0.091142       0.001323
       1.038500       0.089490       0.001594
       1.043500       0.092420       0.001182
       1.048500       0.090239       0.001644
       1.053500       0.090977       0.001760
       1.058500       0.089047       0.001581
       1.063500       0.090236       0.001153
       1.068500       0.090593       0.001348
       1.073500       0.089140       0.000952
       1.078500       0.088619       0.001385
       1.083500       0.088141       0.000977
       1.088500       0.087897       0.001424
       1.093500       0.088056       0.001667
       1.098500       0.087594       0.001277
       1.103500       0.088812       0.001180
       1.108500       0.087738       0.001410
       1.113500       0.088308       0.001140
       1.118500       0.088115       0.001166
       1.123500       0.089166       0.001206
       1.128500       0.088614       0.000972
       1.133500       0.087269       0.001293
       1.138500       0.088190       0.001083
       1.143500       0.088501       0.001279
       1.148500       0.088312       0.001474
       1.153500       0.088932       0.001189
       1.158500       0.089108       0.001073
       1.163500       0.090161       0.001089
       1.168500       0.087521       0.001193
       1.173500       0.089075       0.001199
       1.178500       0.089491       0.001812
       1.183500       0.091342       0.001588
       1.188500       0.090381       0.001699
       1.193500       0.090606       0.001741
       1.198500       0.092350       0.001118
       1.203500       0.091247       0.000733
       1.208500       0.091409       0.001017
       1.213500       0.091012       0.001447
       1.218500       0.091515       0.001130
       1.223500       0.091455       0.001155
       1.228500       0.092229       0.000694
       1.233500       0.092894       0.001044
       1.238500       0.094300       0.001557
       1.243500       0.091612       0.001181
       1.248500       0.095803       0.001318
       1.253500       0.095094       0.001744
       1.258500       0.095315       0.001366
       1.263500       0.095487       0.001176
       1.268500       0.096743       0.001244
       1.273500       0.097693       0.000835
       1.278500       0.095886       0.001351
       1.283500       0.095943       0.000820
       1.288500       0.098029       0.001032
       1.293500       0.098694       0.000834
       1.298500       0.099760       0.001156
       1.303500       0.099095       0.001199
       1.308500       0.099570       0.000972
       1.313500       0.098632       0.001010
       1.318500       0.098521       0.001092
       1.323500       0.100477       0.000905
       1.328500       0.100339       0.001090
       1.333500       0.100340       0.001742
       1.338500       0.102255       0.000835
       1.343500       0.103151       0.001428
       1.348500       0.102688       0.000924
       1.353500       0.102914       0.001346
       1.358500       0.101324       0.001254
       1.363500       0.105628       0.001255
       1.368500       0.105414       0.001497
       1.373500       0.108189       0.001288
       1.378500       0.104023       0.001792
       1.383500       0.108216       0.001458
       1.388500       0.107964       0.001697
       1.393500       0.103923       0.001781
       1.398500       0.109076       0.001619
       1.403500       0.106091       0.001513
       1.408500       0.108313       0.001203
       1.413500       0.106652       0.001305
       1.418500       0.109651       0.001272
       1.423500       0.110518       0.001399
       1.428500       0.111005       0.001043
       1.433500       0.107380       0.000920
       1.438500       0.114063       0.001354
       1.443500       0.107853       0.001431
       1.448500       0.110679       0.001823
       1.453500       0.110944       0.001310
       1.458500       0.113087       0.001138
       1.463500       0.112506       0.001161
       1.468500       0.112623       0.001556
       1.473500       0.115267       0.001805
       1.478500       0.113717       0.001100
       1.483500       0.116431       0.001157
       1.488500       0.116467       0.001812
       1.493500       0.118018       0.001719
       1.498500       0.117421       0.001790
       1.503500       0.120073       0.001819
       1.508500       0.116626       0.001831
       1.513500       0.118948       0.001826
       1.518500       0.122568       0.001646
       1.523500       0.122257       0.001778
       1.528500       0.122545       0.001341
       1.534000       0.121940       0.001771
       1.540000       0.124635       0.001631
       1.546000       0.124339       0.001520
       1.552000       0.125583       0.001315
       1.558000       0.125263       0.001349
       1.564000       0.127870       0.001616
       1.570500       0.126868       0.000932
       1.577500       0.127959       0.001333
       1.584500       0.127827       0.001234
       1.591500       0.129770       0.001324
       1.598500       0.128974       0.000983
       1.605500       0.131393       0.001087
       1.612500       0.134036       0.001237
       1.619500       0.133991       0.001188
       1.626500       0.134205       0.001100
       1.633500       0.136537       0.001534
       1.640500       0.135688       0.001442
       1.647500       0.135874       0.000825
       1.654500       0.141605       0.001036
       1.661500       0.139230       0.001445
       1.668500       0.141122       0.001807
       1.676000       0.141711       0.001460
       1.684000       0.144924       0.001857
       1.692000       0.144574       0.001818
       1.700000       0.145024       0.001787
       1.708000       0.146645       0.001804
       1.716000       0.151674       0.001434
       1.724000       0.151070       0.001755
       1.732000       0.150767       0.001835
       1.740000       0.154647       0.001849
       1.748000       0.153935       0.001850
       1.756000       0.158548       0.001844
       1.764000       0.159934       0.001835
       1.772000       0.163905       0.001844
       1.780000       0.164675       0.001857
       1.788000       0.164853       0.001812
       1.796000       0.167272       0.001799
       1.805000       0.169412       0.001781
       1.815000       0.170538       0.001499
       1.825000       0.173387       0.001852
       1.835000       0.173333       0.000909
       1.845000       0.175304       0.001102
       1.855000       0.178618       0.001491
       1.865000       0.183141       0.001447
       1.875000       0.183594       0.001282
       1.885000       0.184942       0.001077
       1.895000       0.187713       0.001776
       1.905000       0.186516       0.001312
       1.915000       0.186889       0.001831
       1.925000       0.188459       0.001845
       1.935000       0.192177       0.001856
       1.945000       0.196114       0.001854
       1.955000       0.196508       0.001791
       1.965000       0.196375       0.001211
       1.975000       0.210199       0.001168
       1.985000       0.210053       0.001510
       1.995000       0.213817       0.001850
       2.005000       0.219385       0.001859
       2.015000       0.220463       0.001453
       2.025000       0.218308       0.001703
       2.035000       0.229807       0.001763
       2.045000       0.230334       0.001767
       2.055000       0.234692       0.001779
       2.065000       0.240660       0.001722
       2.075000       0.243546       0.001839
       2.085000       0.246868       0.001564
       2.095000       0.249010       0.001816
       2.105000       0.251765       0.001847
       2.115000       0.256600       0.001821
       2.125000       0.259246       0.001847
       2.135000       0.262802       0.001812
       2.145000       0.262516       0.001646
       2.155000       0.268104       0.001781
       2.165000       0.272856       0.001768
       2.175000       0.270984       0.001854
       2.185000       0.271196       0.001857
       2.195000       0.269626       0.001852
       2.205000       0.272821       0.001854
       2.215000       0.271093       0.001878
       2.225000       0.273099       0.001877
       2.235000       0.263371       0.001867
       2.245000       0.255916       0.001888
       2.255000       0.253580       0.001881
       2.265000       0.251807       0.001894
       2.275000       0.254801       0.001903
       2.285000       0.255018       0.002299
       2.295000       0.224968       0.003589
       2.305000       0.210446       0.003332
       2.315000       0.205525       0.002403
       2.325000       0.227951       0.001868
       2.335000       0.235587       0.001824
       2.345000       0.233921       0.001801
