USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Glaucophane HS426.3B         W1R1Bc AREF
copy of splib05a r 2828                                     
       0.205100      -1.23e34        0.068101
       0.213100      -1.23e34        0.011141
       0.221100       0.037876       0.002870
       0.229100       0.035381       0.001337
       0.236100       0.033396       0.001194
       0.242100       0.033080       0.001136
       0.248100       0.032170       0.001078
       0.253600       0.031568       0.001054
       0.258600       0.031694       0.001038
       0.263600       0.031866       0.001045
       0.268600       0.031639       0.001060
       0.273100       0.032557       0.001083
       0.277100       0.033732       0.001106
       0.281100       0.034352       0.001130
       0.285100       0.035302       0.001165
       0.289100       0.036854       0.001222
       0.293100       0.038807       0.001243
       0.297100       0.040303       0.001317
       0.301100       0.043468       0.001349
       0.305100       0.045150       0.001401
       0.309100       0.047612       0.001421
       0.313100       0.049655       0.001117
       0.317100       0.052083       0.001436
       0.321100       0.054551       0.001390
       0.325100       0.055570       0.001191
       0.329100       0.057689       0.001314
       0.333100       0.057918       0.001475
       0.337100       0.062599       0.001266
       0.341100       0.060571       0.001498
       0.345100       0.063066       0.001367
       0.349100       0.063211       0.001498
       0.353100       0.067030       0.000995
       0.357100       0.066639       0.001426
       0.360600       0.067990       0.000810
       0.363600       0.070358       0.001495
       0.366600       0.071009       0.001246
       0.369600       0.069939       0.001481
       0.372600       0.073100       0.001478
       0.375600       0.073281       0.001141
       0.378600       0.074064       0.001510
       0.381100       0.076502       0.000767
       0.383100       0.075648       0.000958
       0.385100       0.077695       0.001509
       0.387100       0.079779       0.001500
       0.389100       0.080723       0.001458
       0.391100       0.079568       0.001515
       0.393100       0.083638       0.001494
       0.395100       0.081483       0.000965
       0.397100       0.082188       0.001450
       0.399100       0.084212       0.001191
       0.401100       0.084044       0.000782
       0.403100       0.085175       0.000720
       0.405100       0.087052       0.000933
       0.407100       0.085763       0.001467
       0.409100       0.089667       0.000660
       0.411100       0.091469       0.000780
       0.412800       0.092047       0.001536
       0.415800       0.094152       0.001551
       0.418800       0.094386       0.001532
       0.421800       0.097388       0.001540
       0.424800       0.097976       0.001540
       0.427800       0.099344       0.001549
       0.430800       0.101176       0.001211
       0.433800       0.101271       0.001528
       0.436800       0.103267       0.001405
       0.439800       0.101969       0.001464
       0.442800       0.104601       0.000800
       0.445800       0.103437       0.001524
       0.448800       0.105610       0.001537
       0.451300       0.106896       0.001560
       0.453300       0.107279       0.001533
       0.455300       0.109795       0.001557
       0.457300       0.107997       0.001551
       0.459300       0.108245       0.001108
       0.461300       0.106624       0.001538
       0.463300       0.110192       0.001484
       0.465300       0.106829       0.001551
       0.467300       0.110370       0.001557
       0.469300       0.108365       0.001509
       0.471300       0.111289       0.001568
       0.473300       0.110174       0.001550
       0.475300       0.111520       0.001033
       0.477300       0.106809       0.001170
       0.479300       0.109727       0.000774
       0.481300       0.110240       0.001556
       0.483300       0.110141       0.001396
       0.485300       0.109440       0.000883
       0.487300       0.107220       0.001558
       0.489300       0.109998       0.001448
       0.491300       0.108675       0.001248
       0.493300       0.107361       0.001036
       0.495300       0.106296       0.001571
       0.497300       0.107474       0.001546
       0.499300       0.106630       0.001547
       0.501300       0.108209       0.001550
       0.503300       0.107447       0.001556
       0.505300       0.104829       0.001583
       0.507300       0.107462       0.001526
       0.509300       0.104541       0.001497
       0.511300       0.105739       0.001560
       0.513300       0.105930       0.000761
       0.515300       0.104826       0.001064
       0.517300       0.105175       0.001402
       0.519300       0.104460       0.000903
       0.521300       0.103753       0.001549
       0.523300       0.102216       0.001539
       0.525300       0.105012       0.001575
       0.527300       0.104130       0.001568
       0.529300       0.105065       0.001538
       0.531300       0.102958       0.001569
       0.533300       0.102155       0.001583
       0.535300       0.102679       0.001392
       0.537300       0.100790       0.001351
       0.539300       0.099528       0.001579
       0.541300       0.103266       0.001292
       0.543300       0.101816       0.000995
       0.545300       0.101862       0.001568
       0.547300       0.103277       0.001558
       0.549300       0.099785       0.001295
       0.551300       0.100797       0.001505
       0.553300       0.103736       0.001532
       0.555300       0.101394       0.000957
       0.557300       0.101614       0.001576
       0.559300       0.100310       0.000756
       0.561300       0.100819       0.001548
       0.563300       0.099921       0.001400
       0.565300       0.101562       0.001225
       0.567300       0.101012       0.001552
       0.569300       0.101588       0.001481
       0.571300       0.100798       0.001530
       0.573300       0.102515       0.001584
       0.575300       0.100579       0.001008
       0.577300       0.100398       0.001015
       0.579300       0.100426       0.001032
       0.581300       0.100140       0.001263
       0.583300       0.100340       0.000695
       0.585300       0.100174       0.001582
       0.587300       0.099448       0.001585
       0.589300       0.096271       0.001520
       0.591300       0.098257       0.001585
       0.593300       0.100046       0.001552
       0.595300       0.099160       0.001394
       0.597300       0.100271       0.001447
       0.599300       0.099042       0.001295
       0.601100       0.097720       0.001543
       0.602700       0.099532       0.001531
       0.604300       0.101041       0.001560
       0.605900       0.097771       0.000985
       0.607500       0.098695       0.001573
       0.609100       0.097779       0.001568
       0.610700       0.098660       0.001515
       0.612300       0.098235       0.001528
       0.613900       0.098081       0.001550
       0.615500       0.098808       0.000888
       0.617100       0.097443       0.001289
       0.618700       0.097968       0.001385
       0.620300       0.097897       0.001548
       0.621900       0.096915       0.001529
       0.623500       0.098863       0.001581
       0.625100       0.096092       0.001529
       0.626700       0.096555       0.001544
       0.628300       0.099085       0.001564
       0.629900       0.098780       0.001513
       0.631700       0.096383       0.001366
       0.633700       0.098842       0.001501
       0.635700       0.097762       0.001373
       0.637700       0.097902       0.001555
       0.639700       0.098565       0.001501
       0.641700       0.098774       0.001324
       0.643700       0.097550       0.001536
       0.645700       0.098629       0.001350
       0.647700       0.097407       0.001027
       0.649700       0.097770       0.001099
       0.651700       0.098874       0.001123
       0.653700       0.098698       0.001177
       0.655700       0.098593       0.001017
       0.657700       0.097056       0.001454
       0.659700       0.098172       0.000952
       0.661700       0.098824       0.001497
       0.663700       0.096541       0.000860
       0.665700       0.099812       0.001552
       0.667700       0.100641       0.001554
       0.670200       0.098883       0.001562
       0.673200       0.099761       0.001530
       0.676200       0.101003       0.001494
       0.679200       0.100657       0.001775
       0.682200       0.101284       0.001196
       0.685200       0.100054       0.000590
       0.688200       0.102179       0.001070
       0.691200       0.102928       0.001162
       0.694200       0.102750       0.001540
       0.697200       0.103577       0.000647
       0.700200       0.101815       0.001132
       0.702000       0.104693       0.001557
       0.704000       0.104530       0.000872
       0.706000       0.105362       0.000702
       0.708000       0.106774       0.001138
       0.710000       0.107608       0.000800
       0.712000       0.107416       0.001195
       0.714000       0.106180       0.000943
       0.716000       0.108867       0.001017
       0.718000       0.108639       0.001157
       0.720000       0.107179       0.001202
       0.722000       0.109755       0.001266
       0.724000       0.110184       0.001572
       0.726000       0.110242       0.001301
       0.728000       0.111240       0.001521
       0.730000       0.109750       0.000587
       0.732000       0.112397       0.000886
       0.734000       0.113959       0.001289
       0.736000       0.116027       0.001114
       0.738000       0.114541       0.001475
       0.740000       0.115532       0.001595
       0.742000       0.114273       0.000926
       0.744000       0.116747       0.001613
       0.746000       0.118220       0.001613
       0.748000       0.116446       0.001202
       0.750500       0.116885       0.000625
       0.753500       0.119878       0.000768
       0.756500       0.119850       0.001477
       0.759500       0.120055       0.000849
       0.762500       0.119133       0.001449
       0.765500       0.122285       0.001073
       0.768500       0.123113       0.001556
       0.771500       0.124034       0.001165
       0.774500       0.125962       0.001340
       0.777500       0.123692       0.001077
       0.781000       0.123193       0.001304
       0.785000       0.122700       0.001126
       0.789000       0.123450       0.001614
       0.793000       0.125364       0.001621
       0.797000       0.126144       0.001055
       0.801500       0.125482       0.000898
       0.806500       0.126801       0.001204
       0.811500       0.125996       0.001590
       0.816500       0.125672       0.000829
       0.822000       0.127251       0.001137
       0.828000       0.127961       0.001594
       0.835000       0.128804       0.001611
       0.843000      -1.23e34        0.000000
       0.851000       0.129896       0.001922
       0.859000       0.127641       0.001700
       0.871000       0.130595       0.001739
       0.883000       0.131293       0.001726
       0.894000       0.135698       0.001720
       0.904000       0.136655       0.001747
       0.914000       0.139884       0.001729
       0.924000       0.142160       0.001727
       0.933000       0.145964       0.001269
       0.941000       0.145227       0.001028
       0.949000       0.145003       0.001017
       0.957000       0.145229       0.001268
       0.964000       0.149880       0.001434
       0.970000       0.150879       0.001672
       0.976000       0.151175       0.001680
       0.982000       0.152370       0.001547
       0.988000       0.149702       0.001063
       0.994000       0.154045       0.001166
       1.000000       0.155233       0.001376
       1.006000       0.154535       0.001315
       1.012000       0.156701       0.001186
       1.018000       0.159043       0.001709
       1.023500       0.162671       0.001363
       1.028500       0.162957       0.001261
       1.033500       0.164386       0.001522
       1.038500       0.166660       0.000973
       1.043500       0.167881       0.001174
       1.048500       0.167712       0.001705
       1.053500       0.170386       0.001429
       1.058500       0.172735       0.001111
       1.063500       0.174613       0.001617
       1.068500       0.179251       0.001057
       1.073500       0.177683       0.001621
       1.078500       0.182525       0.001164
       1.083500       0.184791       0.001446
       1.088500       0.187832       0.001042
       1.093500       0.191208       0.001303
       1.098500       0.192428       0.001251
       1.103500       0.197463       0.001769
       1.108500       0.198377       0.001386
       1.113500       0.204281       0.001024
       1.118500       0.206922       0.001300
       1.123500       0.211001       0.001453
       1.128500       0.214331       0.001238
       1.133500       0.219868       0.001278
       1.138500       0.223611       0.000819
       1.143500       0.225195       0.001347
       1.148500       0.232224       0.001362
       1.153500       0.236461       0.001059
       1.158500       0.239709       0.000858
       1.163500       0.242551       0.001016
       1.168500       0.246820       0.001022
       1.173500       0.252049       0.001288
       1.178500       0.255527       0.001118
       1.183500       0.257948       0.001145
       1.188500       0.268067       0.001792
       1.193500       0.268812       0.001548
       1.198500       0.273751       0.001154
       1.203500       0.278818       0.001447
       1.208500       0.281792       0.000708
       1.213500       0.288036       0.001281
       1.218500       0.292659       0.000987
       1.223500       0.295231       0.001466
       1.228500       0.299990       0.001281
       1.233500       0.306002       0.001222
       1.238500       0.309137       0.001058
       1.243500       0.313044       0.000833
       1.248500       0.317257       0.001245
       1.253500       0.321915       0.001084
       1.258500       0.326879       0.001067
       1.263500       0.328187       0.001244
       1.268500       0.330677       0.001352
       1.273500       0.337729       0.001224
       1.278500       0.341687       0.001043
       1.283500       0.342814       0.000929
       1.288500       0.345813       0.001127
       1.293500       0.348993       0.000853
       1.298500       0.351686       0.000687
       1.303500       0.357161       0.001447
       1.308500       0.360611       0.000741
       1.313500       0.362761       0.000996
       1.318500       0.365879       0.001344
       1.323500       0.363828       0.001098
       1.328500       0.372511       0.000740
       1.333500       0.376273       0.001025
       1.338500       0.381452       0.001247
       1.343500       0.382714       0.001278
       1.348500       0.384327       0.001265
       1.353500       0.388643       0.001206
       1.358500       0.389207       0.001846
       1.363500       0.393402       0.001865
       1.368500       0.392809       0.001096
       1.373500       0.397660       0.001738
       1.378500       0.397949       0.001847
       1.383500       0.401105       0.001786
       1.388500       0.398811       0.001693
       1.393500       0.366676       0.001838
       1.398500       0.328698       0.001776
       1.403500       0.299618       0.001750
       1.408500       0.309197       0.001712
       1.413500       0.357076       0.001662
       1.418500       0.385835       0.001070
       1.423500       0.404971       0.000859
       1.428500       0.408991       0.001658
       1.433500       0.411516       0.001681
       1.438500       0.408842       0.001333
       1.443500       0.412602       0.001834
       1.448500       0.412829       0.001222
       1.453500       0.413010       0.001461
       1.458500       0.413288       0.001810
       1.463500       0.416348       0.001546
       1.468500       0.419542       0.001161
       1.473500       0.423406       0.001332
       1.478500       0.423243       0.001697
       1.483500       0.433065       0.001473
       1.488500       0.434196       0.001523
       1.493500       0.434060       0.001834
       1.498500       0.436972       0.001468
       1.503500       0.439695       0.001610
       1.508500       0.439268       0.001278
       1.513500       0.445961       0.001831
       1.518500       0.442968       0.001535
       1.523500       0.445659       0.001894
       1.528500       0.450256       0.001564
       1.534000       0.454289       0.001290
       1.540000       0.457895       0.001822
       1.546000       0.460109       0.001818
       1.552000       0.462862       0.001100
       1.558000       0.465684       0.001679
       1.564000       0.470178       0.001049
       1.570500       0.469900       0.000824
       1.577500       0.477126       0.001464
       1.584500       0.477312       0.001120
       1.591500       0.480688       0.001166
       1.598500       0.481229       0.000947
       1.605500       0.484245       0.001052
       1.612500       0.483668       0.000992
       1.619500       0.487730       0.000821
       1.626500       0.490012       0.001258
       1.633500       0.491379       0.001021
       1.640500       0.495512       0.001338
       1.647500       0.492569       0.001387
       1.654500       0.494315       0.001043
       1.661500       0.495690       0.001164
       1.668500       0.499455       0.001806
       1.676000       0.497005       0.001557
       1.684000       0.500178       0.001871
       1.692000       0.505932       0.001884
       1.700000       0.498021       0.001901
       1.708000       0.508698       0.001740
       1.716000       0.507429       0.001601
       1.724000       0.509709       0.001597
       1.732000       0.513440       0.001881
       1.740000       0.514599       0.001944
       1.748000       0.514925       0.001925
       1.756000       0.516064       0.001906
       1.764000       0.517370       0.001844
       1.772000       0.518701       0.001410
       1.780000       0.519619       0.001864
       1.788000       0.519389       0.001575
       1.796000       0.525148       0.001827
       1.805000       0.524484       0.000962
       1.815000       0.524633       0.001395
       1.825000       0.523322       0.001439
       1.835000       0.525855       0.001682
       1.845000       0.521861       0.001936
       1.855000       0.523292       0.001153
       1.865000       0.517898       0.001605
       1.875000       0.518331       0.001767
       1.885000       0.507546       0.001235
       1.895000       0.502155       0.001761
       1.905000       0.489758       0.001320
       1.915000       0.478685       0.001112
       1.925000       0.470666       0.001675
       1.935000       0.461360       0.001865
       1.945000       0.460176       0.001899
       1.955000       0.464603       0.001872
       1.965000       0.464534       0.001901
       1.975000       0.473779       0.001862
       1.985000       0.473841       0.001858
       1.995000       0.473665       0.001851
       2.005000       0.472593       0.001873
       2.015000       0.476264       0.001467
       2.025000       0.481141       0.001835
       2.035000       0.487034       0.001590
       2.045000       0.488536       0.001835
       2.055000       0.487554       0.001889
       2.065000       0.490036       0.001411
       2.075000       0.495160       0.001815
       2.085000       0.493328       0.001860
       2.095000       0.491834       0.001891
       2.105000       0.484497       0.001897
       2.115000       0.483963       0.001907
       2.125000       0.479337       0.001866
       2.135000       0.475382       0.001873
       2.145000       0.471182       0.001843
       2.155000       0.460449       0.001313
       2.165000       0.446738       0.001798
       2.175000       0.440037       0.001868
       2.185000       0.437483       0.001903
       2.195000       0.430368       0.001868
       2.205000       0.422969       0.001895
       2.215000       0.409784       0.001869
       2.225000       0.396990       0.001892
       2.235000       0.377352       0.001895
       2.245000       0.355914       0.001896
       2.255000       0.334377       0.001889
       2.265000       0.323163       0.001904
       2.275000       0.302827       0.001927
       2.285000       0.289565       0.002415
       2.295000       0.238174       0.003613
       2.305000       0.207440       0.003243
       2.315000       0.193699       0.002076
       2.325000       0.200507       0.001827
       2.335000       0.229963       0.001117
       2.345000       0.261387       0.001776
