USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Goethite MPCMA2-C M-Crsgrad2 W1R1Bb AREF
copy of splib05a r 2864                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100       0.036549       0.000000
       0.221100       0.029033       0.000000
       0.229100       0.027373       0.000000
       0.236100       0.026323       0.000000
       0.242100       0.024776       0.000000
       0.248100       0.024160       0.000000
       0.253600       0.022865       0.000000
       0.258600       0.023578       0.000000
       0.263600       0.024043       0.000000
       0.268600       0.025249       0.000000
       0.273100       0.027502       0.000000
       0.277100       0.025608       0.000000
       0.281100       0.026303       0.000000
       0.285100       0.026359       0.000000
       0.289100       0.024967       0.000000
       0.293100       0.026347       0.000000
       0.297100       0.025423       0.000000
       0.301100       0.025268       0.000000
       0.305100       0.025776       0.000000
       0.309100       0.026722       0.000000
       0.313100       0.026853       0.000000
       0.317100       0.026231       0.000000
       0.321100       0.027844       0.000000
       0.325100       0.027577       0.000000
       0.329100       0.027456       0.000000
       0.333100       0.029047       0.000000
       0.337100       0.028537       0.000000
       0.341100       0.025196       0.000000
       0.345100       0.028955       0.000000
       0.349100       0.029375       0.000000
       0.353100       0.030129       0.000000
       0.357100       0.030006       0.000000
       0.360600       0.030307       0.000000
       0.363600       0.030969       0.000000
       0.366600       0.031005       0.000000
       0.369600       0.031954       0.000000
       0.372600       0.032210       0.000000
       0.375600       0.032297       0.000000
       0.378600       0.033694       0.000000
       0.381100       0.033550       0.000000
       0.383100       0.033959       0.000000
       0.385100       0.034627       0.000000
       0.387100       0.035549       0.000000
       0.389100       0.035558       0.000000
       0.391100       0.035966       0.000000
       0.393100       0.037179       0.000000
       0.395100       0.037832       0.000000
       0.397100       0.036749       0.000000
       0.399100       0.037913       0.000000
       0.401100       0.038691       0.000000
       0.403100       0.039085       0.000000
       0.405100       0.039717       0.000000
       0.407100       0.040336       0.000000
       0.409100       0.040688       0.000000
       0.411100       0.041987       0.000000
       0.412800       0.041574       0.000000
       0.415800       0.042365       0.000000
       0.418800       0.043562       0.000000
       0.421800       0.044867       0.000000
       0.424800       0.045244       0.000000
       0.427800       0.046823       0.000000
       0.430800       0.048633       0.000000
       0.433800       0.050083       0.000000
       0.436800       0.051532       0.000000
       0.439800       0.053621       0.000000
       0.442800       0.056127       0.000000
       0.445800       0.057002       0.000000
       0.448800       0.058622       0.000000
       0.451300       0.059133       0.000000
       0.453300       0.060437       0.000000
       0.455300       0.061501       0.000000
       0.457300       0.059366       0.000000
       0.459300       0.060439       0.000000
       0.461300       0.060836       0.000000
       0.463300       0.061621       0.000000
       0.465300       0.061492       0.000000
       0.467300       0.061898       0.000000
       0.469300       0.062783       0.000000
       0.471300       0.062135       0.000000
       0.473300       0.063219       0.000000
       0.475300       0.062703       0.000000
       0.477300       0.064669       0.000000
       0.479300       0.063758       0.000000
       0.481300       0.064421       0.000000
       0.483300       0.065059       0.000000
       0.485300       0.066541       0.000000
       0.487300       0.066800       0.000000
       0.489300       0.067578       0.000000
       0.491300       0.068383       0.000000
       0.493300       0.069726       0.000000
       0.495300       0.071295       0.000000
       0.497300       0.072090       0.000000
       0.499300       0.073281       0.000000
       0.501300       0.075001       0.000000
       0.503300       0.076313       0.000000
       0.505300       0.078285       0.000000
       0.507300       0.080146       0.000000
       0.509300       0.083195       0.000000
       0.511300       0.083944       0.000000
       0.513300       0.086884       0.000000
       0.515300       0.088829       0.000000
       0.517300       0.090198       0.000000
       0.519300       0.092959       0.000000
       0.521300       0.095216       0.000000
       0.523300       0.098240       0.000000
       0.525300       0.102305       0.000000
       0.527300       0.103416       0.000000
       0.529300       0.106716       0.000000
       0.531300       0.110105       0.000000
       0.533300       0.114212       0.000000
       0.535300       0.118156       0.000000
       0.537300       0.120562       0.000000
       0.539300       0.124225       0.000000
       0.541300       0.129802       0.000000
       0.543300       0.131975       0.000000
       0.545300       0.136593       0.000000
       0.547300       0.140701       0.000000
       0.549300       0.143810       0.000000
       0.551300       0.148123       0.000000
       0.553300       0.151459       0.000000
       0.555300       0.156521       0.000000
       0.557300       0.159880       0.000000
       0.559300       0.162870       0.000000
       0.561300       0.166821       0.000000
       0.563300       0.170498       0.000000
       0.565300       0.174455       0.000000
       0.567300       0.178261       0.000000
       0.569300       0.179813       0.000000
       0.571300       0.182666       0.000000
       0.573300       0.185777       0.000000
       0.575300       0.188196       0.000000
       0.577300       0.190743       0.000000
       0.579300       0.193340       0.000000
       0.581300       0.195096       0.000000
       0.583300       0.196853       0.000000
       0.585300       0.199267       0.000000
       0.587300       0.201734       0.000000
       0.589300       0.204096       0.000000
       0.591300       0.205408       0.000000
       0.593300       0.207404       0.000000
       0.595300       0.210235       0.000000
       0.597300       0.210180       0.000000
       0.599300       0.211961       0.000000
       0.601100       0.212953       0.000000
       0.602700       0.213843       0.000000
       0.604300       0.215883       0.000000
       0.605900       0.216043       0.000000
       0.607500       0.217177       0.000000
       0.609100       0.218692       0.000000
       0.610700       0.218999       0.000000
       0.612300       0.220178       0.000000
       0.613900       0.221269       0.000000
       0.615500       0.221430       0.000000
       0.617100       0.221692       0.000000
       0.618700       0.222811       0.000000
       0.620300       0.223145       0.000000
       0.621900       0.224032       0.000000
       0.623500       0.224585       0.000000
       0.625100       0.225513       0.000000
       0.626700       0.225572       0.000000
       0.628300       0.227053       0.000000
       0.629900       0.227505       0.000000
       0.631700       0.227183       0.000000
       0.633700       0.229185       0.000000
       0.635700       0.229095       0.000000
       0.637700       0.229024       0.000000
       0.639700       0.230905       0.000000
       0.641700       0.231015       0.000000
       0.643700       0.232008       0.000000
       0.645700       0.232761       0.000000
       0.647700       0.234036       0.000000
       0.649700       0.233936       0.000000
       0.651700       0.235142       0.000000
       0.653700       0.235864       0.000000
       0.655700       0.237431       0.000000
       0.657700       0.238377       0.000000
       0.659700       0.238539       0.000000
       0.661700       0.239521       0.000000
       0.663700       0.240403       0.000000
       0.665700       0.241483       0.000000
       0.667700       0.242397       0.000000
       0.670200       0.243601       0.000000
       0.673200       0.245496       0.000000
       0.676200       0.246965       0.000000
       0.679200       0.248434       0.000000
       0.682200       0.250556       0.000000
       0.685200       0.253236       0.000000
       0.688200       0.254443       0.000000
       0.691200       0.256533       0.000000
       0.694200       0.258265       0.000000
       0.697200       0.260685       0.000000
       0.700200       0.264175       0.000000
       0.702000       0.265058       0.000000
       0.704000       0.266107       0.000000
       0.706000       0.268110       0.000000
       0.708000       0.270053       0.000000
       0.710000       0.270411       0.000000
       0.712000       0.272773       0.000000
       0.714000       0.274298       0.000000
       0.716000       0.276883       0.000000
       0.718000       0.277292       0.000000
       0.720000       0.280248       0.000000
       0.722000       0.281507       0.000000
       0.724000       0.282876       0.000000
       0.726000       0.285200       0.000000
       0.728000       0.286305       0.000000
       0.730000       0.287823       0.000000
       0.732000       0.290092       0.000000
       0.734000       0.292044       0.000000
       0.736000       0.292546       0.000000
       0.738000       0.294460       0.000000
       0.740000       0.295510       0.000000
       0.742000       0.296258       0.000000
       0.744000       0.297833       0.000000
       0.746000       0.299276       0.000000
       0.748000       0.300707       0.000000
       0.750500       0.301471       0.000000
       0.753500       0.302950       0.000000
       0.756500       0.304655       0.000000
       0.759500       0.305180       0.000000
       0.762500       0.306048       0.000000
       0.765500       0.306482       0.000000
       0.768500       0.306795       0.000000
       0.771500       0.306876       0.000000
       0.774500       0.306870       0.000000
       0.777500       0.306613       0.000000
       0.781000       0.306048       0.000000
       0.785000       0.305140       0.000000
       0.789000       0.303988       0.000000
       0.793000       0.302584       0.000000
       0.797000       0.301009       0.000000
       0.801500       0.299263       0.000000
       0.806500       0.297228       0.000000
       0.811500       0.294533       0.000000
       0.816500       0.291061       0.000000
       0.822000       0.288305       0.000000
       0.828000       0.285543       0.000000
       0.835000       0.280801       0.000000
       0.843000       0.276822       0.000000
       0.851000       0.272520       0.000000
       0.859000       0.267414       0.000000
       0.871000       0.262909       0.000000
       0.883000       0.259025       0.000000
       0.894000       0.257797       0.000000
       0.904000       0.257152       0.000000
       0.914000       0.256978       0.000000
       0.924000       0.256696       0.000000
       0.933000       0.256783       0.000000
       0.941000       0.256913       0.000000
       0.949000       0.257304       0.000000
       0.957000       0.258350       0.000000
       0.964000       0.260383       0.000000
       0.970000       0.261565       0.000000
       0.976000       0.263388       0.000000
       0.982000       0.265400       0.000000
       0.988000       0.267500       0.000000
       0.994000       0.268587       0.000000
       1.000000       0.270978       0.000000
       1.006000       0.273304       0.000000
       1.012000       0.275326       0.000000
       1.018000       0.276923       0.000000
       1.023500       0.280944       0.000000
       1.028500       0.282614       0.000000
       1.033500       0.285315       0.000000
       1.038500       0.287549       0.000000
       1.043500       0.290131       0.000000
       1.048500       0.293465       0.000000
       1.053500       0.295956       0.000000
       1.058500       0.299719       0.000000
       1.063500       0.302836       0.000000
       1.068500       0.306182       0.000000
       1.073500       0.310444       0.000000
       1.078500       0.313940       0.000000
       1.083500       0.317824       0.000000
       1.088500       0.321241       0.000000
       1.093500       0.325653       0.000000
       1.098500       0.329061       0.000000
       1.103500       0.334131       0.000000
       1.108500       0.337978       0.000000
       1.113500       0.343529       0.000000
       1.118500       0.347184       0.000000
       1.123500       0.352345       0.000000
       1.128500       0.356750       0.000000
       1.133500       0.360972       0.000000
       1.138500       0.366591       0.000000
       1.143500       0.371762       0.000000
       1.148500       0.376172       0.000000
       1.153500       0.380658       0.000000
       1.158500       0.385701       0.000000
       1.163500       0.390579       0.000000
       1.168500       0.395626       0.000000
       1.173500       0.399912       0.000000
       1.178500       0.404301       0.000000
       1.183500       0.409727       0.000000
       1.188500       0.415181       0.000000
       1.193500       0.419987       0.000000
       1.198500       0.422857       0.000000
       1.203500       0.426752       0.000000
       1.208500       0.431138       0.000000
       1.213500       0.435366       0.000000
       1.218500       0.439326       0.000000
       1.223500       0.442522       0.000000
       1.228500       0.446369       0.000000
       1.233500       0.449767       0.000000
       1.238500       0.452701       0.000000
       1.243500       0.456384       0.000000
       1.248500       0.458372       0.000000
       1.253500       0.462788       0.000000
       1.258500       0.465117       0.000000
       1.263500       0.467903       0.000000
       1.268500       0.469553       0.000000
       1.273500       0.472314       0.000000
       1.278500       0.474795       0.000000
       1.283500       0.477408       0.000000
       1.288500       0.480206       0.000000
       1.293500       0.479376       0.000000
       1.298500       0.481394       0.000000
       1.303500       0.483019       0.000000
       1.308500       0.485363       0.000000
       1.313500       0.486612       0.000000
       1.318500       0.486684       0.000000
       1.323500       0.489231       0.000000
       1.328500       0.491649       0.000000
       1.333500       0.491733       0.000000
       1.338500       0.491622       0.000000
       1.343500       0.492947       0.000000
       1.348500       0.494990       0.000000
       1.353500       0.494636       0.000000
       1.358500       0.496038       0.000000
       1.363500       0.494007       0.000000
       1.368500       0.494903       0.000000
       1.373500       0.494377       0.000000
       1.378500       0.493793       0.000000
       1.383500       0.489131       0.000000
       1.388500       0.484735       0.000000
       1.393500       0.473465       0.000000
       1.398500       0.460097       0.000000
       1.403500       0.444808       0.000000
       1.408500       0.435339       0.000000
       1.413500       0.429604       0.000000
       1.418500       0.433196       0.000000
       1.423500       0.443684       0.000000
       1.428500       0.457062       0.000000
       1.433500       0.463741       0.000000
       1.438500       0.469711       0.000000
       1.443500       0.472125       0.000000
       1.448500       0.474640       0.000000
       1.453500       0.475130       0.000000
       1.458500       0.477753       0.000000
       1.463500       0.478604       0.000000
       1.468500       0.480487       0.000000
       1.473500       0.481849       0.000000
       1.478500       0.483915       0.000000
       1.483500       0.486886       0.000000
       1.488500       0.487658       0.000000
       1.493500       0.490113       0.000000
       1.498500       0.489974       0.000000
       1.503500       0.494045       0.000000
       1.508500       0.494882       0.000000
       1.513500       0.495461       0.000000
       1.518500       0.496693       0.000000
       1.523500       0.499483       0.000000
       1.528500       0.500521       0.000000
       1.534000       0.499419       0.000000
       1.540000       0.502476       0.000000
       1.546000       0.501827       0.000000
       1.552000       0.502624       0.000000
       1.558000       0.504385       0.000000
       1.564000       0.505633       0.000000
       1.570500       0.506483       0.000000
       1.577500       0.507080       0.000000
       1.584500       0.506035       0.000000
       1.591500       0.506220       0.000000
       1.598500       0.505733       0.000000
       1.605500       0.507910       0.000000
       1.612500       0.506680       0.000000
       1.619500       0.506675       0.000000
       1.626500       0.505699       0.000000
       1.633500       0.505618       0.000000
       1.640500       0.504887       0.000000
       1.647500       0.505369       0.000000
       1.654500       0.505219       0.000000
       1.661500       0.505073       0.000000
       1.668500       0.504340       0.000000
       1.676000       0.503099       0.000000
       1.684000       0.503401       0.000000
       1.692000       0.504105       0.000000
       1.700000       0.506241       0.000000
       1.708000       0.506526       0.000000
       1.716000       0.503404       0.000000
       1.724000       0.501442       0.000000
       1.732000       0.503187       0.000000
       1.740000       0.501209       0.000000
       1.748000       0.501576       0.000000
       1.756000       0.498797       0.000000
       1.764000       0.496482       0.000000
       1.772000       0.496350       0.000000
       1.780000       0.498249       0.000000
       1.788000       0.497641       0.000000
       1.796000       0.495215       0.000000
       1.805000       0.494018       0.000000
       1.815000       0.493900       0.000000
       1.825000       0.492098       0.000000
       1.835000       0.492605       0.000000
       1.845000       0.489686       0.000000
       1.855000       0.490168       0.000000
       1.865000       0.484784       0.000000
       1.875000       0.470627       0.000000
       1.885000       0.449598       0.000000
       1.895000       0.422627       0.000000
       1.905000       0.394815       0.000000
       1.915000       0.381752       0.000000
       1.925000       0.385634       0.000000
       1.935000       0.388109       0.000000
       1.945000       0.391793       0.000000
       1.955000       0.396318       0.000000
       1.965000       0.400366       0.000000
       1.975000       0.403515       0.000000
       1.985000       0.411448       0.000000
       1.995000       0.415465       0.000000
       2.005000       0.420325       0.000000
       2.015000       0.427482       0.000000
       2.025000       0.431076       0.000000
       2.035000       0.435755       0.000000
       2.045000       0.440902       0.000000
       2.055000       0.444547       0.000000
       2.065000       0.446992       0.000000
       2.075000       0.447687       0.000000
       2.085000       0.450030       0.000000
       2.095000       0.445541       0.000000
       2.105000       0.445161       0.000000
       2.115000       0.444090       0.000000
       2.125000       0.444487       0.000000
       2.135000       0.447311       0.000000
       2.145000       0.445609       0.000000
       2.155000       0.437963       0.000000
       2.165000       0.427505       0.000000
       2.175000       0.412274       0.000000
       2.185000       0.395660       0.000000
       2.195000       0.371262       0.000000
       2.205000       0.363763       0.000000
       2.215000       0.362699       0.000000
       2.225000       0.370465       0.000000
       2.235000       0.379249       0.000000
       2.245000       0.393084       0.000000
       2.255000       0.392326       0.000000
       2.265000       0.384761       0.000000
       2.275000       0.386284       0.000000
       2.285000       0.379520       0.000000
       2.295000       0.366600       0.000000
       2.305000       0.360689       0.000000
       2.315000       0.350519       0.000000
       2.325000       0.344756       0.000000
       2.335000       0.338824       0.000000
