USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hectorite SHCa-1.Ac-B        W1R1Bb AREF
copy of splib05a r 3126                                     
       0.205100      -1.23e34        0.558282
       0.213100      -1.23e34        0.074223
       0.221100       0.110225       0.016750
       0.229100       0.126479       0.006223
       0.236100       0.119332       0.003578
       0.242100       0.116558       0.001993
       0.248100       0.116028       0.001619
       0.253600       0.112988       0.001402
       0.258600       0.117332       0.001126
       0.263600       0.122690       0.001128
       0.268600       0.125777       0.001147
       0.273100       0.136922       0.001176
       0.277100       0.141791       0.001197
       0.281100       0.150380       0.001228
       0.285100       0.162648       0.001268
       0.289100       0.171518       0.001299
       0.293100       0.184483       0.001344
       0.297100       0.201983       0.001393
       0.301100       0.215226       0.001444
       0.305100       0.234448       0.001483
       0.309100       0.252835       0.001513
       0.313100       0.268025       0.001533
       0.317100       0.286864       0.001556
       0.321100       0.299410       0.001575
       0.325100       0.317786       0.001570
       0.329100       0.328518       0.001584
       0.333100       0.338510       0.001588
       0.337100       0.350008       0.001584
       0.341100       0.360551       0.001610
       0.345100       0.370685       0.001610
       0.349100       0.376773       0.001619
       0.353100       0.380271       0.000996
       0.357100       0.385553       0.000978
       0.360600       0.391274       0.001543
       0.363600       0.395041       0.001109
       0.366600       0.398031       0.000931
       0.369600       0.401320       0.000942
       0.372600       0.407757       0.000869
       0.375600       0.411356       0.000934
       0.378600       0.416703       0.000964
       0.381100       0.421245       0.001133
       0.383100       0.423942       0.001083
       0.385100       0.426775       0.000919
       0.387100       0.428641       0.001055
       0.389100       0.431879       0.001237
       0.391100       0.434731       0.000979
       0.393100       0.438130       0.001046
       0.395100       0.439164       0.000880
       0.397100       0.441102       0.000894
       0.399100       0.442145       0.001104
       0.401100       0.444581       0.000763
       0.403100       0.446202       0.000867
       0.405100       0.448911       0.000862
       0.407100       0.449053       0.001060
       0.409100       0.451764       0.000778
       0.411100       0.455148       0.000879
       0.412800       0.455654       0.001073
       0.415800       0.458208       0.000788
       0.418800       0.461644       0.000773
       0.421800       0.463964       0.000803
       0.424800       0.466880       0.001035
       0.427800       0.469121       0.000711
       0.430800       0.473796       0.000789
       0.433800       0.477645       0.000787
       0.436800       0.480508       0.000849
       0.439800       0.483104       0.000975
       0.442800       0.486762       0.000841
       0.445800       0.490056       0.000748
       0.448800       0.493347       0.000858
       0.451300       0.496220       0.001072
       0.453300       0.498761       0.001152
       0.455300       0.500835       0.001090
       0.457300       0.501960       0.000975
       0.459300       0.503542       0.001016
       0.461300       0.506135       0.001229
       0.463300       0.507554       0.000835
       0.465300       0.508367       0.000893
       0.467300       0.509476       0.001088
       0.469300       0.511038       0.001280
       0.471300       0.512483       0.000928
       0.473300       0.514278       0.000929
       0.475300       0.514243       0.001006
       0.477300       0.516083       0.000846
       0.479300       0.517538       0.000831
       0.481300       0.519144       0.000828
       0.483300       0.520185       0.000879
       0.485300       0.521903       0.000866
       0.487300       0.522811       0.001008
       0.489300       0.523715       0.001178
       0.491300       0.526414       0.000980
       0.493300       0.527117       0.001015
       0.495300       0.529707       0.001219
       0.497300       0.530950       0.000859
       0.499300       0.531903       0.001282
       0.501300       0.534951       0.000854
       0.503300       0.537225       0.000878
       0.505300       0.539265       0.000895
       0.507300       0.541573       0.000972
       0.509300       0.542351       0.000854
       0.511300       0.544960       0.000902
       0.513300       0.546602       0.001005
       0.515300       0.547976       0.000846
       0.517300       0.549422       0.000936
       0.519300       0.551552       0.000956
       0.521300       0.553598       0.001028
       0.523300       0.555538       0.000894
       0.525300       0.558058       0.000895
       0.527300       0.558875       0.000921
       0.529300       0.561004       0.000980
       0.531300       0.562124       0.000991
       0.533300       0.564213       0.001132
       0.535300       0.567441       0.001414
       0.537300       0.570800       0.000913
       0.539300       0.573398       0.000919
       0.541300       0.573532       0.001010
       0.543300       0.577317       0.000941
       0.545300       0.579159       0.000939
       0.547300       0.580995       0.001059
       0.549300       0.582968       0.000912
       0.551300       0.587658       0.000847
       0.553300       0.589979       0.000811
       0.555300       0.592384       0.000884
       0.557300       0.594990       0.000904
       0.559300       0.599160       0.000897
       0.561300       0.601543       0.000939
       0.563300       0.604564       0.000811
       0.565300       0.607333       0.001215
       0.567300       0.610545       0.000880
       0.569300       0.614155       0.000961
       0.571300       0.617674       0.000937
       0.573300       0.620254       0.000933
       0.575300       0.621614       0.001330
       0.577300       0.625569       0.001058
       0.579300       0.629626       0.001118
       0.581300       0.631456       0.001167
       0.583300       0.632935       0.001436
       0.585300       0.635544       0.001131
       0.587300       0.638729       0.001502
       0.589300       0.641143       0.001219
       0.591300       0.642288       0.001009
       0.593300       0.646238       0.001015
       0.595300       0.647400       0.000967
       0.597300       0.649561       0.001110
       0.599300       0.650583       0.001083
       0.601100       0.652696       0.001017
       0.602700       0.653190       0.001034
       0.604300       0.655254       0.001098
       0.605900       0.655796       0.001042
       0.607500       0.657785       0.001138
       0.609100       0.658379       0.001027
       0.610700       0.660005       0.000902
       0.612300       0.660480       0.001036
       0.613900       0.661889       0.000933
       0.615500       0.662676       0.000919
       0.617100       0.662726       0.001029
       0.618700       0.663399       0.000937
       0.620300       0.664951       0.000938
       0.621900       0.665815       0.000946
       0.623500       0.666330       0.000999
       0.625100       0.666802       0.001124
       0.626700       0.666794       0.001032
       0.628300       0.668191       0.001011
       0.629900       0.668852       0.000887
       0.631700       0.669624       0.000790
       0.633700       0.670469       0.000843
       0.635700       0.670676       0.000881
       0.637700       0.671072       0.001109
       0.639700       0.672171       0.000882
       0.641700       0.673620       0.001230
       0.643700       0.674209       0.000950
       0.645700       0.675032       0.000902
       0.647700       0.675277       0.001019
       0.649700       0.674429       0.000987
       0.651700       0.677491       0.001010
       0.653700       0.678740       0.001090
       0.655700       0.679605       0.001000
       0.657700       0.679785       0.001029
       0.659700       0.681023       0.001317
       0.661700       0.681166       0.001555
       0.663700       0.682748       0.001331
       0.665700       0.684166       0.001192
       0.667700       0.685359       0.001011
       0.670200       0.684991       0.001201
       0.673200       0.685694       0.001014
       0.676200       0.689144       0.000979
       0.679200       0.689745       0.000928
       0.682200       0.691129       0.001061
       0.685200       0.692157       0.001042
       0.688200       0.693328       0.001057
       0.691200       0.695748       0.001367
       0.694200       0.696157       0.001262
       0.697200       0.695977       0.001226
       0.700200       0.697202       0.001057
       0.702000       0.697373       0.000907
       0.704000       0.699382       0.001380
       0.706000       0.701105       0.000998
       0.708000       0.700807       0.001076
       0.710000       0.701998       0.001062
       0.712000       0.702088       0.001565
       0.714000       0.702344       0.001455
       0.716000       0.702405       0.001270
       0.718000       0.703660       0.001126
       0.720000       0.704295       0.001495
       0.722000       0.705785       0.001225
       0.724000       0.705498       0.001276
       0.726000       0.705652       0.000862
       0.728000       0.706053       0.000962
       0.730000       0.707501       0.000813
       0.732000       0.707902       0.001061
       0.734000       0.709768       0.000975
       0.736000       0.708007       0.001193
       0.738000       0.709712       0.000905
       0.740000       0.710323       0.001035
       0.742000       0.709888       0.001047
       0.744000       0.711378       0.001108
       0.746000       0.711916       0.001086
       0.748000       0.713388       0.001571
       0.750500       0.713112       0.001165
       0.753500       0.712530       0.001143
       0.756500       0.714452       0.001176
       0.759500       0.714193       0.001350
       0.762500       0.714768       0.001361
       0.765500       0.716019       0.001209
       0.768500       0.716490       0.001322
       0.771500       0.718818       0.001198
       0.774500       0.715343       0.001702
       0.777500       0.715869       0.001550
       0.781000       0.717453       0.001079
       0.785000       0.717088       0.001173
       0.789000       0.717691       0.001348
       0.793000       0.718034       0.001273
       0.797000       0.716987       0.001406
       0.801500       0.717594       0.001532
       0.806500       0.718687       0.001740
       0.811500       0.718439       0.001265
       0.816500       0.716585       0.001717
       0.822000       0.716782       0.000900
       0.828000       0.717434       0.000962
       0.835000       0.718062       0.001104
       0.843000       0.717260       0.001406
       0.851000       0.722154       0.001978
       0.859000       0.723694       0.001913
       0.871000       0.720381       0.001911
       0.883000       0.720307       0.001905
       0.894000       0.718834       0.001831
       0.904000       0.718438       0.001556
       0.914000       0.715541       0.001238
       0.924000       0.714802       0.001343
       0.933000       0.715247       0.001399
       0.941000       0.713058       0.001472
       0.949000       0.707950       0.001319
       0.957000       0.708637       0.001324
       0.964000       0.709383       0.001208
       0.970000       0.710497       0.001454
       0.976000       0.711057       0.001128
       0.982000       0.710907       0.001336
       0.988000       0.710427       0.001169
       0.994000       0.712302       0.001290
       1.000000       0.712375       0.001133
       1.006000       0.712744       0.001102
       1.012000       0.711616       0.000844
       1.018000       0.715624       0.001041
       1.023500       0.712291       0.001142
       1.028500       0.714150       0.001347
       1.033500       0.715775       0.000912
       1.038500       0.714088       0.001441
       1.043500       0.713851       0.001272
       1.048500       0.714967       0.001225
       1.053500       0.715779       0.000979
       1.058500       0.715187       0.001253
       1.063500       0.715613       0.000999
       1.068500       0.716727       0.001062
       1.073500       0.715756       0.000937
       1.078500       0.713483       0.001118
       1.083500       0.714543       0.001135
       1.088500       0.715593       0.001190
       1.093500       0.714963       0.001059
       1.098500       0.714249       0.001019
       1.103500       0.713468       0.001180
       1.108500       0.716073       0.000931
       1.113500       0.715422       0.000862
       1.118500       0.714530       0.000955
       1.123500       0.714557       0.001165
       1.128500       0.714363       0.001099
       1.133500       0.714278       0.001058
       1.138500       0.710521       0.000950
       1.143500       0.707492       0.001294
       1.148500       0.702779       0.000981
       1.153500       0.701052       0.001185
       1.158500       0.700416       0.000966
       1.163500       0.703854       0.000885
       1.168500       0.706522       0.001030
       1.173500       0.707314       0.001014
       1.178500       0.708624       0.001195
       1.183500       0.707489       0.001325
       1.188500       0.709161       0.001225
       1.193500       0.708700       0.001236
       1.198500       0.709768       0.001096
       1.203500       0.709555       0.000919
       1.208500       0.711425       0.001006
       1.213500       0.710634       0.000965
       1.218500       0.711628       0.001148
       1.223500       0.711635       0.000995
       1.228500       0.712159       0.000872
       1.233500       0.711116       0.000978
       1.238500       0.712042       0.001030
       1.243500       0.712655       0.001149
       1.248500       0.712291       0.001090
       1.253500       0.711761       0.000924
       1.258500       0.712096       0.000942
       1.263500       0.711926       0.000976
       1.268500       0.710221       0.000945
       1.273500       0.711103       0.000850
       1.278500       0.710446       0.001161
       1.283500       0.711733       0.001212
       1.288500       0.709797       0.001257
       1.293500       0.709314       0.000992
       1.298500       0.708085       0.001030
       1.303500       0.708664       0.000974
       1.308500       0.706842       0.000874
       1.313500       0.705487       0.000876
       1.318500       0.702915       0.000997
       1.323500       0.699489       0.001042
       1.328500       0.698246       0.001079
       1.333500       0.693987       0.000968
       1.338500       0.691893       0.001028
       1.343500       0.689447       0.001086
       1.348500       0.686232       0.001208
       1.353500       0.683134       0.001110
       1.358500       0.682508       0.001122
       1.363500       0.675078       0.001273
       1.368500       0.672644       0.001256
       1.373500       0.655175       0.001245
       1.378500       0.629222       0.000936
       1.383500       0.573853       0.001182
       1.388500       0.537429       0.001626
       1.393500       0.542956       0.000943
       1.398500       0.557175       0.001132
       1.403500       0.532224       0.001724
       1.408500       0.510896       0.001026
       1.413500       0.504124       0.001161
       1.418500       0.508906       0.001358
       1.423500       0.522225       0.001043
       1.428500       0.538364       0.001097
       1.433500       0.551847       0.001327
       1.438500       0.564171       0.001182
       1.443500       0.572329       0.000981
       1.448500       0.577688       0.001241
       1.453500       0.579840       0.001367
       1.458500       0.577410       0.000847
       1.463500       0.579033       0.001097
       1.468500       0.581078       0.001110
       1.473500       0.594572       0.001267
       1.478500       0.603741       0.001012
       1.483500       0.610287       0.001237
       1.488500       0.617450       0.001176
       1.493500       0.623118       0.001282
       1.498500       0.628765       0.001514
       1.503500       0.633189       0.001735
       1.508500       0.637027       0.001329
       1.513500       0.640448       0.001224
       1.518500       0.643098       0.001100
       1.523500       0.645405       0.001317
       1.528500       0.649378       0.001478
       1.534000       0.651489       0.001454
       1.540000       0.656226       0.001320
       1.546000       0.657494       0.001051
       1.552000       0.662447       0.001217
       1.558000       0.664326       0.000943
       1.564000       0.667256       0.001171
       1.570500       0.666684       0.000918
       1.577500       0.669606       0.000811
       1.584500       0.671061       0.000818
       1.591500       0.672710       0.001064
       1.598500       0.674072       0.000997
       1.605500       0.674566       0.000921
       1.612500       0.676328       0.000990
       1.619500       0.678633       0.000876
       1.626500       0.678857       0.000936
       1.633500       0.680138       0.001008
       1.640500       0.680670       0.001188
       1.647500       0.680272       0.000731
       1.654500       0.678795       0.001026
       1.661500       0.679126       0.001286
       1.668500       0.677734       0.001042
       1.676000       0.676544       0.001226
       1.684000       0.677608       0.001075
       1.692000       0.677792       0.001920
       1.700000       0.678940       0.001715
       1.708000       0.673011       0.001576
       1.716000       0.670662       0.001270
       1.724000       0.668695       0.001599
       1.732000       0.667506       0.001552
       1.740000       0.663971       0.001972
       1.748000       0.660213       0.001968
       1.756000       0.658813       0.001601
       1.764000       0.654238       0.001383
       1.772000       0.651612       0.001596
       1.780000       0.651907       0.001951
       1.788000       0.647743       0.001696
       1.796000       0.642958       0.001596
       1.805000       0.642697       0.000930
       1.815000       0.639323       0.001025
       1.825000       0.633717       0.001122
       1.835000       0.630885       0.001069
       1.845000       0.622252       0.001219
       1.855000       0.611351       0.001435
       1.865000       0.585002       0.001247
       1.875000       0.528657       0.001001
       1.885000       0.438587       0.000986
       1.895000       0.324165       0.001007
       1.905000       0.271877       0.001266
       1.915000       0.294570       0.001041
       1.925000       0.342487       0.001255
       1.935000       0.374953       0.001351
       1.945000       0.394883       0.001248
       1.955000       0.405000       0.001674
       1.965000       0.416915       0.001173
       1.975000       0.431009       0.001321
       1.985000       0.445514       0.001349
       1.995000       0.465517       0.001729
       2.005000       0.480535       0.001488
       2.015000       0.494997       0.001511
       2.025000       0.510121       0.001798
       2.035000       0.522075       0.001491
       2.045000       0.531341       0.001906
       2.055000       0.534468       0.001766
       2.065000       0.539318       0.001559
       2.075000       0.542227       0.001479
       2.085000       0.549285       0.001896
       2.095000       0.549833       0.001895
       2.105000       0.556553       0.001927
       2.115000       0.558209       0.001887
       2.125000       0.564428       0.001735
       2.135000       0.568094       0.001894
       2.145000       0.568525       0.001823
       2.155000       0.566626       0.001384
       2.165000       0.564970       0.001569
       2.175000       0.563511       0.001720
       2.185000       0.560926       0.001941
       2.195000       0.553940       0.001893
       2.205000       0.548367       0.001932
       2.215000       0.540337       0.001788
       2.225000       0.537526       0.001961
       2.235000       0.535442       0.001965
       2.245000       0.531048       0.001950
       2.255000       0.523120       0.001947
       2.265000       0.511507       0.001962
       2.275000       0.493766       0.001971
       2.285000       0.461377       0.002287
       2.295000       0.426376       0.003342
       2.305000       0.371913       0.002759
       2.315000       0.394213       0.001960
       2.325000       0.458938       0.001929
       2.335000       0.460102       0.001904
       2.345000       0.449881       0.001759
