USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hedenbergite HS10.3B         W1R1Bc AREF
copy of splib05a r 3137                                     
       0.205100      -1.23e34        0.027795
       0.213100      -1.23e34        0.004389
       0.221100      -1.23e34        0.001697
       0.229100       0.028324       0.001451
       0.236100       0.029681       0.001313
       0.242100       0.028603       0.001186
       0.248100       0.029851       0.000714
       0.253600       0.029461       0.000855
       0.258600       0.029147       0.000596
       0.263600       0.029064       0.000663
       0.268600       0.029238       0.000727
       0.273100       0.029484       0.000511
       0.277100       0.029964       0.000733
       0.281100       0.030148       0.000727
       0.285100       0.030861       0.000466
       0.289100       0.031363       0.000652
       0.293100       0.032351       0.000632
       0.297100       0.032745       0.000479
       0.301100       0.034318       0.000552
       0.305100       0.035269       0.000666
       0.309100       0.036888       0.000563
       0.313100       0.038345       0.000671
       0.317100       0.039563       0.000832
       0.321100       0.040460       0.000711
       0.325100       0.042258       0.000850
       0.329100       0.044210       0.000551
       0.333100       0.045769       0.000729
       0.337100       0.046674       0.000656
       0.341100       0.047241       0.000787
       0.345100       0.048519       0.000800
       0.349100       0.049219       0.000593
       0.353100       0.050983       0.000542
       0.357100       0.051776       0.000546
       0.360600       0.052961       0.000461
       0.363600       0.053762       0.000456
       0.366600       0.054002       0.000555
       0.369600       0.054769       0.000537
       0.372600       0.055356       0.000400
       0.375600       0.055953       0.000501
       0.378600       0.056262       0.000345
       0.381100       0.056455       0.000820
       0.383100       0.056611       0.000593
       0.385100       0.056612       0.000611
       0.387100       0.058322       0.000501
       0.389100       0.057592       0.000568
       0.391100       0.058620       0.000378
       0.393100       0.059213       0.000482
       0.395100       0.058607       0.000460
       0.397100       0.059144       0.000406
       0.399100       0.059979       0.000541
       0.401100       0.060196       0.000651
       0.403100       0.060290       0.000514
       0.405100       0.060613       0.000444
       0.407100       0.060841       0.000752
       0.409100       0.061200       0.000352
       0.411100       0.060982       0.000604
       0.412800       0.062336       0.000455
       0.415800       0.062450       0.000460
       0.418800       0.063075       0.000932
       0.421800       0.063985       0.000490
       0.424800       0.064051       0.000401
       0.427800       0.064878       0.000384
       0.430800       0.065909       0.000452
       0.433800       0.065651       0.000394
       0.436800       0.066319       0.000460
       0.439800       0.066752       0.000508
       0.442800       0.068189       0.000396
       0.445800       0.067689       0.000971
       0.448800       0.068064       0.000471
       0.451300       0.068545       0.000429
       0.453300       0.069118       0.000428
       0.455300       0.069742       0.000542
       0.457300       0.071148       0.000547
       0.459300       0.070180       0.001295
       0.461300       0.071809       0.000598
       0.463300       0.071612       0.000905
       0.465300       0.072274       0.000560
       0.467300       0.072632       0.000465
       0.469300       0.072700       0.000473
       0.471300       0.073828       0.000390
       0.473300       0.073663       0.000562
       0.475300       0.075458       0.000481
       0.477300       0.074901       0.000401
       0.479300       0.075469       0.000530
       0.481300       0.075941       0.000318
       0.483300       0.076633       0.000340
       0.485300       0.076570       0.000554
       0.487300       0.077225       0.000543
       0.489300       0.076805       0.000535
       0.491300       0.077391       0.000848
       0.493300       0.077700       0.000481
       0.495300       0.079506       0.000472
       0.497300       0.078920       0.000431
       0.499300       0.079757       0.000511
       0.501300       0.079802       0.000521
       0.503300       0.080373       0.000528
       0.505300       0.080412       0.000489
       0.507300       0.081210       0.000420
       0.509300       0.081633       0.000823
       0.511300       0.082147       0.000505
       0.513300       0.082799       0.000571
       0.515300       0.084206       0.000591
       0.517300       0.083905       0.000485
       0.519300       0.084136       0.000476
       0.521300       0.084616       0.000699
       0.523300       0.085039       0.000723
       0.525300       0.085221       0.000920
       0.527300       0.085994       0.000666
       0.529300       0.086764       0.000487
       0.531300       0.087099       0.000367
       0.533300       0.087641       0.000425
       0.535300       0.087994       0.000443
       0.537300       0.088160       0.000539
       0.539300       0.088975       0.000414
       0.541300       0.089459       0.000505
       0.543300       0.090442       0.000429
       0.545300       0.090435       0.000401
       0.547300       0.090851       0.000343
       0.549300       0.091273       0.000455
       0.551300       0.091776       0.000431
       0.553300       0.092317       0.000492
       0.555300       0.091936       0.000625
       0.557300       0.092402       0.000389
       0.559300       0.093278       0.000391
       0.561300       0.093688       0.000404
       0.563300       0.094811       0.000496
       0.565300       0.095045       0.000394
       0.567300       0.094278       0.000492
       0.569300       0.094820       0.000529
       0.571300       0.095484       0.000470
       0.573300       0.094929       0.000584
       0.575300       0.095257       0.000581
       0.577300       0.095854       0.000663
       0.579300       0.095530       0.000828
       0.581300       0.095781       0.000516
       0.583300       0.097250       0.000536
       0.585300       0.096695       0.000645
       0.587300       0.096770       0.001215
       0.589300       0.096683       0.000542
       0.591300       0.097516       0.000970
       0.593300       0.097560       0.000568
       0.595300       0.096877       0.000527
       0.597300       0.097722       0.000458
       0.599300       0.097475       0.000730
       0.601100       0.097887       0.000596
       0.602700       0.097739       0.000416
       0.604300       0.097646       0.001182
       0.605900       0.097954       0.000747
       0.607500       0.097473       0.000595
       0.609100       0.097773       0.000497
       0.610700       0.098447       0.000598
       0.612300       0.098367       0.000377
       0.613900       0.098392       0.000402
       0.615500       0.098105       0.000936
       0.617100       0.098517       0.000635
       0.618700       0.098423       0.000677
       0.620300       0.098679       0.000898
       0.621900       0.098423       0.000625
       0.623500       0.098480       0.000990
       0.625100       0.098760       0.000440
       0.626700       0.099059       0.000713
       0.628300       0.098704       0.000547
       0.629900       0.099099       0.000703
       0.631700       0.099433       0.000492
       0.633700       0.099316       0.000461
       0.635700       0.099072       0.000824
       0.637700       0.099434       0.000605
       0.639700       0.099742       0.000429
       0.641700       0.099778       0.000607
       0.643700       0.099409       0.000691
       0.645700       0.100117       0.000677
       0.647700       0.099909       0.000648
       0.649700       0.100165       0.000505
       0.651700       0.100159       0.000395
       0.653700       0.100717       0.000357
       0.655700       0.100411       0.000484
       0.657700       0.100362       0.000608
       0.659700       0.100106       0.000316
       0.661700       0.100319       0.000374
       0.663700       0.100364       0.000730
       0.665700       0.100107       0.000528
       0.667700       0.100934       0.000541
       0.670200       0.100661       0.000521
       0.673200       0.101065       0.000516
       0.676200       0.100336       0.000559
       0.679200       0.100229       0.000507
       0.682200       0.101579       0.000639
       0.685200       0.100818       0.000336
       0.688200       0.100528       0.000466
       0.691200       0.100380       0.000393
       0.694200       0.100294       0.000423
       0.697200       0.100186       0.000519
       0.700200       0.099416       0.001369
       0.702000       0.100522       0.000582
       0.704000       0.100021       0.000621
       0.706000       0.100088       0.000394
       0.708000       0.099999       0.000409
       0.710000       0.100229       0.000471
       0.712000       0.100172       0.000617
       0.714000       0.099968       0.000323
       0.716000       0.100482       0.000448
       0.718000       0.100060       0.000472
       0.720000       0.100131       0.000790
       0.722000       0.099939       0.000465
       0.724000       0.100235       0.000424
       0.726000       0.100442       0.000449
       0.728000       0.099574       0.000842
       0.730000       0.099735       0.000656
       0.732000       0.099697       0.000568
       0.734000       0.099950       0.000713
       0.736000       0.099815       0.000502
       0.738000       0.100682       0.000712
       0.740000       0.100166       0.000656
       0.742000       0.100004       0.000477
       0.744000       0.100485       0.000647
       0.746000       0.099777       0.000700
       0.748000       0.100220       0.000979
       0.750500       0.100252       0.000457
       0.753500       0.100065       0.000421
       0.756500       0.100307       0.000576
       0.759500       0.100558       0.000453
       0.762500       0.100488       0.000846
       0.765500       0.100344       0.000683
       0.768500       0.100806       0.000576
       0.771500       0.099996       0.000804
       0.774500       0.100552       0.000587
       0.777500       0.101290       0.000827
       0.781000       0.101083       0.000343
       0.785000       0.101127       0.000630
       0.789000       0.101756       0.000622
       0.793000       0.102246       0.000540
       0.797000       0.101882       0.000611
       0.801500       0.102363       0.000490
       0.806500       0.102703       0.000560
       0.811500       0.102797       0.000685
       0.816500       0.103336       0.000842
       0.822000       0.104112       0.000612
       0.828000       0.103965       0.000697
       0.835000       0.104522       0.000529
       0.843000       0.103373       0.000971
       0.851000       0.104830       0.001555
       0.859000       0.108566       0.001529
       0.871000       0.110643       0.001507
       0.883000       0.106274       0.001524
       0.894000       0.105647       0.001479
       0.904000       0.102636       0.000932
       0.914000       0.102300       0.001052
       0.924000       0.104181       0.001060
       0.933000       0.101806       0.000911
       0.941000       0.100638       0.000911
       0.949000       0.099680       0.000719
       0.957000       0.099866       0.001165
       0.964000       0.100260       0.001273
       0.970000       0.100084       0.000756
       0.976000       0.100217       0.001088
       0.982000       0.101008       0.001048
       0.988000       0.098911       0.000959
       0.994000       0.099321       0.001112
       1.000000       0.099086       0.000655
       1.006000       0.100832       0.000875
       1.012000       0.099365       0.000600
       1.018000       0.099042       0.000804
       1.023500       0.100113       0.001019
       1.028500       0.100069       0.001125
       1.033500       0.101467       0.001048
       1.038500       0.100966       0.000764
       1.043500       0.102926       0.000936
       1.048500       0.101927       0.000806
       1.053500       0.102961       0.000781
       1.058500       0.103051       0.000912
       1.063500       0.102268       0.000638
       1.068500       0.103580       0.000918
       1.073500       0.102256       0.000703
       1.078500       0.103997       0.000905
       1.083500       0.103076       0.000902
       1.088500       0.103988       0.000941
       1.093500       0.104593       0.000874
       1.098500       0.103835       0.000617
       1.103500       0.104046       0.001145
       1.108500       0.104086       0.000732
       1.113500       0.104534       0.000774
       1.118500       0.104019       0.000977
       1.123500       0.103899       0.000849
       1.128500       0.103368       0.000977
       1.133500       0.104818       0.000673
       1.138500       0.104232       0.000586
       1.143500       0.105276       0.000815
       1.148500       0.104657       0.000733
       1.153500       0.104074       0.001032
       1.158500       0.106175       0.000866
       1.163500       0.104660       0.000753
       1.168500       0.105917       0.000900
       1.173500       0.104761       0.000841
       1.178500       0.105705       0.000758
       1.183500       0.104824       0.000777
       1.188500       0.105713       0.000959
       1.193500       0.107328       0.000642
       1.198500       0.106743       0.001046
       1.203500       0.107851       0.000796
       1.208500       0.107499       0.000533
       1.213500       0.107550       0.000758
       1.218500       0.108255       0.000850
       1.223500       0.108821       0.000895
       1.228500       0.109072       0.001023
       1.233500       0.110545       0.000661
       1.238500       0.110139       0.000579
       1.243500       0.111512       0.000741
       1.248500       0.112963       0.000793
       1.253500       0.112700       0.000601
       1.258500       0.113692       0.000882
       1.263500       0.115576       0.000686
       1.268500       0.114460       0.000871
       1.273500       0.117282       0.000680
       1.278500       0.117819       0.000717
       1.283500       0.116591       0.000776
       1.288500       0.119863       0.000750
       1.293500       0.119397       0.000540
       1.298500       0.120626       0.000938
       1.303500       0.121931       0.000828
       1.308500       0.121509       0.000635
       1.313500       0.121862       0.000659
       1.318500       0.124017       0.000715
       1.323500       0.124638       0.000763
       1.328500       0.126085       0.000953
       1.333500       0.127199       0.000714
       1.338500       0.127937       0.000690
       1.343500       0.129082       0.000630
       1.348500       0.130360       0.000721
       1.353500       0.132078       0.000815
       1.358500       0.132118       0.000631
       1.363500       0.133716       0.000580
       1.368500       0.134380       0.001060
       1.373500       0.134873       0.000721
       1.378500       0.135725       0.001019
       1.383500       0.138203       0.001159
       1.388500       0.137239       0.000825
       1.393500       0.139938       0.000760
       1.398500       0.139774       0.001098
       1.403500       0.140615       0.000862
       1.408500       0.141510       0.001128
       1.413500       0.140771       0.000724
       1.418500       0.142173       0.000741
       1.423500       0.144795       0.000992
       1.428500       0.145831       0.000862
       1.433500       0.145311       0.000873
       1.438500       0.146100       0.000893
       1.443500       0.146875       0.001068
       1.448500       0.150549       0.000807
       1.453500       0.150746       0.000733
       1.458500       0.151755       0.000991
       1.463500       0.151871       0.000998
       1.468500       0.153514       0.000883
       1.473500       0.157918       0.000992
       1.478500       0.155860       0.000830
       1.483500       0.158946       0.000639
       1.488500       0.159252       0.000705
       1.493500       0.159887       0.001114
       1.498500       0.161655       0.001025
       1.503500       0.163237       0.000972
       1.508500       0.163592       0.001161
       1.513500       0.164820       0.001154
       1.518500       0.167148       0.001220
       1.523500       0.170865       0.000835
       1.528500       0.169277       0.001208
       1.534000       0.170027       0.000935
       1.540000       0.170830       0.000810
       1.546000       0.172902       0.000713
       1.552000       0.174434       0.000688
       1.558000       0.175372       0.001128
       1.564000       0.176465       0.000669
       1.570500       0.178405       0.000677
       1.577500       0.179225       0.000849
       1.584500       0.180913       0.000803
       1.591500       0.183298       0.000684
       1.598500       0.182340       0.000864
       1.605500       0.185478       0.000927
       1.612500       0.187912       0.001025
       1.619500       0.188957       0.000974
       1.626500       0.190927       0.000599
       1.633500       0.190643       0.000899
       1.640500       0.193065       0.000900
       1.647500       0.196689       0.000843
       1.654500       0.198648       0.000676
       1.661500       0.198988       0.001262
       1.668500       0.199371       0.001193
       1.676000       0.200526       0.000792
       1.684000       0.203500       0.001190
       1.692000       0.206828       0.001522
       1.700000       0.208346       0.001185
       1.708000       0.210244       0.001583
       1.716000       0.210481       0.001198
       1.724000       0.214250       0.001121
       1.732000       0.213565       0.001225
       1.740000       0.217411       0.001610
       1.748000       0.219152       0.001422
       1.756000       0.220470       0.001387
       1.764000       0.223745       0.001014
       1.772000       0.225628       0.001290
       1.780000       0.225527       0.001421
       1.788000       0.229188       0.001473
       1.796000       0.231161       0.000687
       1.805000       0.232370       0.000689
       1.815000       0.233515       0.000559
       1.825000       0.234880       0.000778
       1.835000       0.238083       0.001224
       1.845000       0.239503       0.000690
       1.855000       0.243768       0.001073
       1.865000       0.243178       0.000878
       1.875000       0.244725       0.000786
       1.885000       0.242085       0.000941
       1.895000       0.235647       0.000906
       1.905000       0.222473       0.001076
       1.915000       0.220592       0.000870
       1.925000       0.226934       0.000770
       1.935000       0.230715       0.001063
       1.945000       0.234781       0.000950
       1.955000       0.241063       0.000888
       1.965000       0.244779       0.001267
       1.975000       0.248747       0.001152
       1.985000       0.254643       0.001604
       1.995000       0.259503       0.001204
       2.005000       0.263011       0.001553
       2.015000       0.269605       0.001051
       2.025000       0.268720       0.001530
       2.035000       0.274170       0.001480
       2.045000       0.277878       0.001354
       2.055000       0.280342       0.001401
       2.065000       0.285916       0.001081
       2.075000       0.287983       0.001526
       2.085000       0.290576       0.001583
       2.095000       0.292425       0.001575
       2.105000       0.293123       0.001578
       2.115000       0.298042       0.001553
       2.125000       0.300618       0.001585
       2.135000       0.304998       0.001596
       2.145000       0.307586       0.001591
       2.155000       0.308123       0.001357
       2.165000       0.309823       0.001254
       2.175000       0.309207       0.001095
       2.185000       0.308225       0.001527
       2.195000       0.309091       0.001605
       2.205000       0.310353       0.001437
       2.215000       0.308946       0.001593
       2.225000       0.313090       0.001617
       2.235000       0.308762       0.001620
       2.245000       0.310694       0.001616
       2.255000       0.309995       0.001610
       2.265000       0.310054       0.001616
       2.275000       0.305997       0.001866
       2.285000       0.300301       0.002541
       2.295000       0.289747       0.003463
       2.305000       0.284690       0.003356
       2.315000       0.289087       0.002184
       2.325000       0.300864       0.001609
       2.335000       0.300668       0.001593
       2.345000       0.301137       0.001574
