USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hematite FE2602              W1R1Bb AREF
copy of splib05a r 3158                                     
       0.205100      -1.23e34        0.007947
       0.213100       0.050723       0.001697
       0.221100       0.051578       0.000934
       0.229100       0.051899       0.000850
       0.236100       0.050821       0.000785
       0.242100       0.050461       0.000754
       0.248100       0.050524       0.000695
       0.253600       0.050040       0.000694
       0.258600       0.050578       0.000673
       0.263600       0.051034       0.000623
       0.268600       0.050683       0.000681
       0.273100      -1.23e34        0.008671
       0.277100       0.046431       0.000721
       0.281100       0.046306       0.000738
       0.285100       0.046409       0.000799
       0.289100       0.046092       0.000788
       0.293100       0.045305       0.000814
       0.297100       0.046179       0.000840
       0.301100       0.049357       0.000839
       0.305100       0.048058       0.000862
       0.309100       0.049491       0.000669
       0.313100       0.048850       0.000755
       0.317100       0.050044       0.000575
       0.321100       0.049840       0.000870
       0.325100       0.049760       0.000658
       0.329100       0.048946       0.000671
       0.333100       0.048891       0.000642
       0.337100       0.047762       0.000579
       0.341100       0.047426       0.000602
       0.345100       0.047252       0.000701
       0.349100       0.047292       0.000454
       0.353100       0.047749       0.000634
       0.357100       0.048334       0.000522
       0.360600       0.049208       0.000532
       0.363600       0.049725       0.000579
       0.366600       0.050941       0.000509
       0.369600       0.051452       0.000545
       0.372600       0.052409       0.000586
       0.375600       0.053173       0.000511
       0.378600       0.054683       0.000526
       0.381100       0.054179       0.000689
       0.383100       0.055030       0.000579
       0.385100       0.055499       0.000556
       0.387100       0.055798       0.000562
       0.389100       0.056751       0.000878
       0.391100       0.056686       0.000533
       0.393100       0.057367       0.000836
       0.395100       0.057378       0.000921
       0.397100       0.057728       0.000523
       0.399100       0.057910       0.000902
       0.401100       0.058961       0.000825
       0.403100       0.058704       0.000549
       0.405100       0.058923       0.000528
       0.407100       0.059047       0.000453
       0.409100       0.059456       0.000507
       0.411100       0.060631       0.000581
       0.412800       0.059899       0.000602
       0.415800       0.059847       0.000600
       0.418800       0.060937       0.000904
       0.421800       0.060438       0.000648
       0.424800       0.060810       0.000555
       0.427800       0.060750       0.000694
       0.430800       0.061158       0.000609
       0.433800       0.060545       0.000643
       0.436800       0.061405       0.000531
       0.439800       0.060645       0.000705
       0.442800       0.060830       0.000612
       0.445800       0.060184       0.000647
       0.448800       0.059902       0.000755
       0.451300       0.060220       0.000771
       0.453300       0.059718       0.000643
       0.455300       0.060233       0.000723
       0.457300       0.058737       0.000900
       0.459300       0.059070       0.000933
       0.461300       0.058722       0.000759
       0.463300       0.059671       0.000703
       0.465300       0.058598       0.000671
       0.467300       0.058600       0.000679
       0.469300       0.058311       0.000686
       0.471300       0.058356       0.000696
       0.473300       0.058211       0.000649
       0.475300       0.057937       0.000688
       0.477300       0.058473       0.000563
       0.479300       0.057953       0.000929
       0.481300       0.057580       0.000628
       0.483300       0.057741       0.000936
       0.485300       0.057946       0.000672
       0.487300       0.058207       0.000693
       0.489300       0.057468       0.000716
       0.491300       0.057237       0.000670
       0.493300       0.057520       0.000704
       0.495300       0.057083       0.000754
       0.497300       0.057419       0.000696
       0.499300       0.057569       0.000627
       0.501300       0.057066       0.000772
       0.503300       0.057642       0.000712
       0.505300       0.057441       0.000651
       0.507300       0.056890       0.000628
       0.509300       0.057647       0.000709
       0.511300       0.056927       0.000872
       0.513300       0.057879       0.000662
       0.515300       0.057251       0.000929
       0.517300       0.056382       0.000711
       0.519300       0.057372       0.000746
       0.521300       0.057401       0.000658
       0.523300       0.058678       0.000705
       0.525300       0.057472       0.000928
       0.527300       0.057826       0.000652
       0.529300       0.058109       0.000920
       0.531300       0.058113       0.000926
       0.533300       0.057910       0.000927
       0.535300       0.057953       0.000921
       0.537300       0.059899       0.000718
       0.539300       0.059316       0.000816
       0.541300       0.060444       0.000732
       0.543300       0.059467       0.000857
       0.545300       0.057952       0.000915
       0.547300       0.059729       0.000740
       0.549300       0.058899       0.000843
       0.551300       0.059662       0.000760
       0.553300       0.059162       0.000880
       0.555300       0.060769       0.000681
       0.557300       0.059908       0.000749
       0.559300       0.060052       0.000918
       0.561300       0.060604       0.000676
       0.563300       0.060794       0.000680
       0.565300       0.060887       0.000893
       0.567300       0.060581       0.000696
       0.569300       0.061711       0.000627
       0.571300       0.061419       0.000675
       0.573300       0.062880       0.000922
       0.575300       0.061699       0.000716
       0.577300       0.063434       0.000517
       0.579300       0.063841       0.000650
       0.581300       0.064824       0.000569
       0.583300       0.065369       0.000517
       0.585300       0.066403       0.000655
       0.587300       0.067460       0.000491
       0.589300       0.068407       0.000909
       0.591300       0.069909       0.000567
       0.593300       0.070560       0.000524
       0.595300       0.071805       0.000882
       0.597300       0.072927       0.000913
       0.599300       0.074165       0.000922
       0.601100       0.074773       0.000757
       0.602700       0.076184       0.000682
       0.604300       0.076635       0.000544
       0.605900       0.078229       0.000698
       0.607500       0.078231       0.000565
       0.609100       0.079438       0.000396
       0.610700       0.079974       0.000626
       0.612300       0.080051       0.000595
       0.613900       0.081032       0.000537
       0.615500       0.081172       0.000551
       0.617100       0.082050       0.000548
       0.618700       0.082047       0.000487
       0.620300       0.082765       0.000558
       0.621900       0.083253       0.000540
       0.623500       0.083741       0.000503
       0.625100       0.083683       0.000510
       0.626700       0.084265       0.000600
       0.628300       0.084551       0.000562
       0.629900       0.085881       0.000803
       0.631700       0.085557       0.000888
       0.633700       0.085329       0.000869
       0.635700       0.086581       0.000761
       0.637700       0.086575       0.000482
       0.639700       0.087400       0.000457
       0.641700       0.087597       0.000351
       0.643700       0.088292       0.000544
       0.645700       0.088401       0.000590
       0.647700       0.089218       0.000570
       0.649700       0.089537       0.000530
       0.651700       0.090453       0.000703
       0.653700       0.090838       0.000654
       0.655700       0.091059       0.000556
       0.657700       0.091464       0.000719
       0.659700       0.091864       0.000586
       0.661700       0.092675       0.000584
       0.663700       0.093951       0.000611
       0.665700       0.094101       0.000767
       0.667700       0.095078       0.000563
       0.670200       0.095685       0.000797
       0.673200       0.097425       0.000524
       0.676200       0.098487       0.000537
       0.679200       0.099832       0.000586
       0.682200       0.101706       0.000671
       0.685200       0.103151       0.000584
       0.688200       0.104388       0.000889
       0.691200       0.106108       0.000733
       0.694200       0.108159       0.000569
       0.697200       0.109760       0.000901
       0.700200       0.112117       0.000613
       0.702000       0.113354       0.000443
       0.704000       0.114627       0.000855
       0.706000       0.115869       0.000509
       0.708000       0.118068       0.000594
       0.710000       0.118946       0.000624
       0.712000       0.120821       0.000883
       0.714000       0.122025       0.000575
       0.716000       0.123434       0.000882
       0.718000       0.124603       0.000607
       0.720000       0.126333       0.000655
       0.722000       0.128164       0.000590
       0.724000       0.128906       0.000767
       0.726000       0.131475       0.000635
       0.728000       0.131325       0.000726
       0.730000       0.132678       0.000848
       0.732000       0.134473       0.000722
       0.734000       0.134067       0.000839
       0.736000       0.135715       0.000907
       0.738000       0.135494       0.000912
       0.740000       0.136497       0.000705
       0.742000       0.137213       0.000914
       0.744000       0.136668       0.000884
       0.746000       0.138284       0.000890
       0.748000       0.136993       0.000625
       0.750500       0.137293       0.000612
       0.753500       0.137516       0.000540
       0.756500       0.136448       0.000502
       0.759500       0.136174       0.000889
       0.762500       0.134915       0.000561
       0.765500       0.134303       0.000582
       0.768500       0.132771       0.000751
       0.771500       0.131677       0.000924
       0.774500       0.130145       0.000899
       0.777500       0.129307       0.000620
       0.781000       0.127207       0.000893
       0.785000       0.125242       0.000644
       0.789000       0.123435       0.000681
       0.793000       0.121045       0.000739
       0.797000       0.120427       0.000801
       0.801500       0.117790       0.000666
       0.806500       0.115513       0.000705
       0.811500       0.114053       0.000711
       0.816500       0.112403       0.000877
       0.822000       0.111745       0.000907
       0.828000       0.109178       0.000938
       0.835000       0.108853       0.000722
       0.843000       0.106837       0.000639
       0.851000       0.107226       0.000977
       0.859000       0.106872       0.000975
       0.871000       0.104291       0.000951
       0.883000       0.107808       0.000765
       0.894000       0.110775       0.000872
       0.904000       0.112047       0.000780
       0.914000       0.114789       0.000902
       0.924000       0.118445       0.000931
       0.933000       0.126374       0.000762
       0.941000       0.130423       0.000944
       0.949000       0.135175       0.000750
       0.957000       0.142310       0.000605
       0.964000       0.152040       0.000710
       0.970000       0.158253       0.000752
       0.976000       0.164883       0.000834
       0.982000       0.170705       0.000725
       0.988000       0.179611       0.000824
       0.994000       0.187764       0.000773
       1.000000       0.194676       0.000925
       1.006000       0.202172       0.000740
       1.012000       0.209854       0.000695
       1.018000       0.217740       0.000633
       1.023500       0.224638       0.000965
       1.028500       0.230889       0.000952
       1.033500       0.235958       0.000801
       1.038500       0.239324       0.000874
       1.043500       0.245818       0.000713
       1.048500       0.249134       0.000581
       1.053500       0.254328       0.000681
       1.058500       0.258570       0.000951
       1.063500       0.263144       0.000709
       1.068500       0.265418       0.000774
       1.073500       0.271370       0.000957
       1.078500       0.274593       0.000661
       1.083500       0.277864       0.000603
       1.088500       0.282105       0.000746
       1.093500       0.286292       0.000699
       1.098500       0.290246       0.000853
       1.103500       0.294802       0.000667
       1.108500       0.297981       0.000652
       1.113500       0.300244       0.000951
       1.118500       0.304913       0.000774
       1.123500       0.309601       0.000658
       1.128500       0.312875       0.000642
       1.133500       0.315780       0.000573
       1.138500       0.319614       0.000736
       1.143500       0.322547       0.000581
       1.148500       0.326618       0.000739
       1.153500       0.328699       0.000730
       1.158500       0.331697       0.000510
       1.163500       0.333487       0.000854
       1.168500       0.336123       0.000922
       1.173500       0.338259       0.000901
       1.178500       0.340180       0.000846
       1.183500       0.342979       0.000962
       1.188500       0.343802       0.000801
       1.193500       0.346693       0.000655
       1.198500       0.346275       0.000837
       1.203500       0.347083       0.000854
       1.208500       0.347097       0.000861
       1.213500       0.349693       0.000628
       1.218500       0.348270       0.000695
       1.223500       0.349025       0.000781
       1.228500       0.348000       0.000810
       1.233500       0.349779       0.000707
       1.238500       0.350662       0.000690
       1.243500       0.350934       0.000806
       1.248500       0.350806       0.000757
       1.253500       0.350589       0.000776
       1.258500       0.351216       0.000943
       1.263500       0.350833       0.000726
       1.268500       0.351245       0.000583
       1.273500       0.350475       0.000741
       1.278500       0.350991       0.000619
       1.283500       0.350752       0.000585
       1.288500       0.349607       0.000954
       1.293500       0.350526       0.000831
       1.298500       0.350468       0.000721
       1.303500       0.349703       0.000558
       1.308500       0.350647       0.000509
       1.313500       0.350494       0.000946
       1.318500       0.348903       0.000640
       1.323500       0.350606       0.000621
       1.328500       0.349803       0.000625
       1.333500       0.349967       0.000550
       1.338500       0.348826       0.000761
       1.343500       0.349093       0.000557
       1.348500       0.347536       0.000630
       1.353500       0.348699       0.000762
       1.358500       0.347464       0.000661
       1.363500       0.349386       0.000942
       1.368500       0.347706       0.000883
       1.373500       0.349288       0.000943
       1.378500       0.348935       0.000949
       1.383500       0.348352       0.000971
       1.388500       0.348282       0.000945
       1.393500       0.347782       0.000946
       1.398500       0.347760       0.000979
       1.403500       0.348626       0.000628
       1.408500       0.347427       0.000978
       1.413500       0.346652       0.000973
       1.418500       0.347679       0.000913
       1.423500       0.348986       0.000924
       1.428500       0.348576       0.000730
       1.433500       0.348601       0.000773
       1.438500       0.348561       0.000691
       1.443500       0.348660       0.000940
       1.448500       0.350127       0.000979
       1.453500       0.349286       0.000970
       1.458500       0.349324       0.000959
       1.463500       0.350858       0.000938
       1.468500       0.347812       0.000841
       1.473500       0.349701       0.000976
       1.478500       0.348749       0.000982
       1.483500       0.347929       0.000941
       1.488500       0.348363       0.000804
       1.493500       0.349287       0.000704
       1.498500       0.348326       0.000947
       1.503500       0.348825       0.000964
       1.508500       0.348410       0.000961
       1.513500       0.350864       0.000787
       1.518500       0.349940       0.000982
       1.523500       0.350480       0.000968
       1.528500       0.352596       0.000977
       1.534000       0.349362       0.000967
       1.540000       0.349311       0.000794
       1.546000       0.350505       0.000614
       1.552000       0.350846       0.000654
       1.558000       0.350941       0.000580
       1.564000       0.352277       0.000781
       1.570500       0.350834       0.000709
       1.577500       0.351379       0.000706
       1.584500       0.350751       0.000623
       1.591500       0.352085       0.000676
       1.598500       0.351112       0.000793
       1.605500       0.352644       0.000547
       1.612500       0.350887       0.000934
       1.619500       0.352178       0.000879
       1.626500       0.352354       0.000718
       1.633500       0.352259       0.000809
       1.640500       0.353239       0.000662
       1.647500       0.354649       0.000875
       1.654500       0.353314       0.000945
       1.661500       0.353551       0.000731
       1.668500       0.353368       0.000747
       1.676000       0.353580       0.000779
       1.684000       0.353118       0.000907
       1.692000       0.353693       0.000934
       1.700000       0.359868       0.000947
       1.708000       0.357065       0.000962
       1.716000       0.357998       0.000980
       1.724000       0.355176       0.000983
       1.732000       0.355467       0.000982
       1.740000       0.358502       0.000983
       1.748000       0.356178       0.000971
       1.756000       0.360564       0.000922
       1.764000       0.358359       0.000862
       1.772000       0.358198       0.000883
       1.780000       0.359180       0.000963
       1.788000       0.361567       0.000921
       1.796000       0.362359       0.000918
       1.805000       0.360200       0.000933
       1.815000       0.360904       0.000944
       1.825000       0.359473       0.000779
       1.835000       0.362368       0.000971
       1.845000       0.362458       0.000978
       1.855000       0.365112       0.000974
       1.865000       0.362375       0.000966
       1.875000       0.364624       0.000972
       1.885000       0.363209       0.000707
       1.895000       0.364937       0.000980
       1.905000       0.365385       0.000960
       1.915000       0.365961       0.000953
       1.925000       0.366164       0.000964
       1.935000       0.367334       0.000985
       1.945000       0.368188       0.000982
       1.955000       0.369468       0.000970
       1.965000       0.369343       0.000971
       1.975000       0.371986       0.000968
       1.985000       0.371789       0.000982
       1.995000       0.374339       0.000981
       2.005000       0.374483       0.000964
       2.015000       0.375565       0.000965
       2.025000       0.374664       0.000976
       2.035000       0.377964       0.000967
       2.045000       0.377275       0.000973
       2.055000       0.378932       0.000976
       2.065000       0.380520       0.000963
       2.075000       0.380841       0.000973
       2.085000       0.382290       0.000967
       2.095000       0.381673       0.000972
       2.105000       0.383940       0.000970
       2.115000       0.385977       0.000966
       2.125000       0.384448       0.000966
       2.135000       0.387023       0.000965
       2.145000       0.388592       0.000967
       2.155000       0.389240       0.000970
       2.165000       0.386992       0.000965
       2.175000       0.386367       0.000972
       2.185000       0.387724       0.000974
       2.195000       0.387431       0.000977
       2.205000       0.388564       0.000979
       2.215000       0.386867       0.000981
       2.225000       0.388812       0.000983
       2.235000       0.389353       0.000982
       2.245000       0.388844       0.000981
       2.255000       0.390286       0.001013
       2.265000       0.392667       0.001231
       2.275000       0.389604       0.001484
       2.285000       0.396981       0.001967
       2.295000       0.392042       0.002755
       2.305000       0.398103       0.002756
       2.315000       0.396283       0.001859
       2.325000       0.398166       0.001006
       2.335000       0.398209       0.000969
       2.345000       0.398037       0.000964
