USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hematite GDS69.d 30-45um     W1R1Bb AREF
copy of splib05a r 3221                                     
       0.205100      -1.23e34        0.252505
       0.213100      -1.23e34        0.041830
       0.221100      -1.23e34        0.007626
       0.229100       0.116139       0.005721
       0.236100       0.112272       0.001490
       0.242100       0.099774       0.001359
       0.248100       0.095751       0.001289
       0.253600       0.096015       0.001269
       0.258600       0.093310       0.001643
       0.263600       0.095027       0.001205
       0.268600       0.092669       0.001514
       0.273100       0.091207       0.001285
       0.277100       0.093841       0.001277
       0.281100       0.091541       0.001361
       0.285100       0.091170       0.001466
       0.289100       0.092380       0.001054
       0.293100       0.091710       0.001213
       0.297100       0.090419       0.000935
       0.301100       0.090503       0.001632
       0.305100       0.089175       0.000967
       0.309100       0.088570       0.001096
       0.313100       0.086653       0.001269
       0.317100       0.085751       0.001693
       0.321100       0.084544       0.001184
       0.325100       0.082862       0.001079
       0.329100       0.079992       0.001706
       0.333100       0.079662       0.001703
       0.337100       0.076072       0.001023
       0.341100       0.075694       0.001214
       0.345100       0.074343       0.000923
       0.349100       0.074494       0.001735
       0.353100       0.074639       0.000319
       0.357100       0.075327       0.000453
       0.360600       0.076128       0.000261
       0.363600       0.076940       0.000309
       0.366600       0.078984       0.000268
       0.369600       0.078435       0.000287
       0.372600       0.079454       0.000195
       0.375600       0.080430       0.000194
       0.378600       0.081136       0.000585
       0.381100       0.082366       0.000325
       0.383100       0.082683       0.001643
       0.385100       0.083511       0.000328
       0.387100       0.083941       0.000259
       0.389100       0.084203       0.001303
       0.391100       0.084748       0.000460
       0.393100       0.085682       0.000228
       0.395100       0.086303       0.000224
       0.397100       0.087339       0.001153
       0.399100       0.086543       0.000420
       0.401100       0.086811       0.000408
       0.403100       0.087510       0.000202
       0.405100       0.088390       0.000148
       0.407100       0.087891       0.000202
       0.409100       0.088155       0.000391
       0.411100       0.088562       0.000631
       0.412800       0.088526       0.000310
       0.415800       0.088740       0.000217
       0.418800       0.088750       0.000538
       0.421800       0.089218       0.000212
       0.424800       0.089674       0.001077
       0.427800       0.088988       0.000145
       0.430800       0.088705       0.001247
       0.433800       0.088899       0.000237
       0.436800       0.088672       0.000210
       0.439800       0.089049       0.000155
       0.442800       0.087835       0.000246
       0.445800       0.087601       0.000277
       0.448800       0.086832       0.001298
       0.451300       0.086790       0.000321
       0.453300       0.085652       0.000801
       0.455300       0.085825       0.000415
       0.457300       0.085446       0.000295
       0.459300       0.085387       0.000937
       0.461300       0.085164       0.001146
       0.463300       0.084512       0.000327
       0.465300       0.084154       0.001415
       0.467300       0.083685       0.000229
       0.469300       0.083543       0.000253
       0.471300       0.083659       0.000308
       0.473300       0.083128       0.000210
       0.475300       0.082415       0.000222
       0.477300       0.082473       0.000307
       0.479300       0.082272       0.001377
       0.481300       0.083258       0.000274
       0.483300       0.081849       0.000315
       0.485300       0.081189       0.000577
       0.487300       0.082623       0.001410
       0.489300       0.081268       0.000292
       0.491300       0.081590       0.000164
       0.493300       0.082388       0.000304
       0.495300       0.081134       0.000239
       0.497300       0.080905       0.000192
       0.499300       0.080873       0.000226
       0.501300       0.080576       0.000466
       0.503300       0.080258       0.000506
       0.505300       0.080595       0.000357
       0.507300       0.080296       0.000312
       0.509300       0.080047       0.000205
       0.511300       0.080187       0.000359
       0.513300       0.079566       0.000670
       0.515300       0.080076       0.000251
       0.517300       0.080283       0.000267
       0.519300       0.079964       0.000249
       0.521300       0.080292       0.000286
       0.523300       0.080317       0.000270
       0.525300       0.080341       0.000364
       0.527300       0.080385       0.000319
       0.529300       0.080531       0.001510
       0.531300       0.080470       0.000300
       0.533300       0.080537       0.001187
       0.535300       0.081046       0.000351
       0.537300       0.080733       0.000312
       0.539300       0.081112       0.000317
       0.541300       0.081186       0.000341
       0.543300       0.081177       0.000354
       0.545300       0.080141       0.000855
       0.547300       0.080957       0.000249
       0.549300       0.080543       0.000296
       0.551300       0.080825       0.000246
       0.553300       0.080231       0.000556
       0.555300       0.080591       0.000231
       0.557300       0.080505       0.000228
       0.559300       0.080239       0.001167
       0.561300       0.079672       0.000209
       0.563300       0.080049       0.000255
       0.565300       0.079482       0.000331
       0.567300       0.079465       0.000285
       0.569300       0.079182       0.000321
       0.571300       0.079834       0.000251
       0.573300       0.078486       0.000580
       0.575300       0.079525       0.000252
       0.577300       0.077901       0.000709
       0.579300       0.077987       0.000327
       0.581300       0.078117       0.000365
       0.583300       0.077690       0.001687
       0.585300       0.078163       0.000299
       0.587300       0.077494       0.001711
       0.589300       0.077719       0.000355
       0.591300       0.077292       0.001573
       0.593300       0.077215       0.000468
       0.595300       0.077126       0.000293
       0.597300       0.076904       0.000356
       0.599300       0.078205       0.000326
       0.601100       0.077032       0.000334
       0.602700       0.076926       0.000227
       0.604300       0.076644       0.000232
       0.605900       0.076903       0.000251
       0.607500       0.076579       0.000256
       0.609100       0.076188       0.000518
       0.610700       0.076447       0.000288
       0.612300       0.076530       0.000185
       0.613900       0.077324       0.000173
       0.615500       0.076308       0.000199
       0.617100       0.076476       0.000211
       0.618700       0.076267       0.000229
       0.620300       0.075870       0.001232
       0.621900       0.076027       0.000394
       0.623500       0.075812       0.000214
       0.625100       0.076780       0.000196
       0.626700       0.075628       0.000275
       0.628300       0.075517       0.001437
       0.629900       0.075791       0.000222
       0.631700       0.076592       0.000250
       0.633700       0.075195       0.000488
       0.635700       0.075521       0.000311
       0.637700       0.075513       0.000225
       0.639700       0.075012       0.000354
       0.641700       0.074656       0.000537
       0.643700       0.075123       0.001676
       0.645700       0.074917       0.000398
       0.647700       0.075023       0.000366
       0.649700       0.075265       0.000307
       0.651700       0.075062       0.000222
       0.653700       0.076382       0.000302
       0.655700       0.074877       0.000295
       0.657700       0.074814       0.000245
       0.659700       0.074920       0.000385
       0.661700       0.074613       0.000450
       0.663700       0.074923       0.000313
       0.665700       0.074862       0.000332
       0.667700       0.074914       0.000260
       0.670200       0.074953       0.000321
       0.673200       0.074538       0.000606
       0.676200       0.076093       0.000245
       0.679200       0.073954       0.000756
       0.682200       0.075312       0.000267
       0.685200       0.075287       0.000315
       0.688200       0.075358       0.000256
       0.691200       0.075806       0.000363
       0.694200       0.075800       0.000289
       0.697200       0.076079       0.000360
       0.700200       0.075373       0.000770
       0.702000       0.076454       0.000371
       0.704000       0.076003       0.000615
       0.706000       0.076823       0.000310
       0.708000       0.075944       0.000845
       0.710000       0.077224       0.000391
       0.712000       0.077563       0.000344
       0.714000       0.077505       0.000257
       0.716000       0.078038       0.000368
       0.718000       0.077948       0.000264
       0.720000       0.079373       0.000361
       0.722000       0.078592       0.000278
       0.724000       0.078476       0.000320
       0.726000       0.079250       0.000323
       0.728000       0.079163       0.000287
       0.730000       0.079101       0.000395
       0.732000       0.079529       0.000391
       0.734000       0.079581       0.000357
       0.736000       0.079887       0.000508
       0.738000       0.079013       0.001119
       0.740000       0.082356       0.000446
       0.742000       0.079932       0.001754
       0.744000       0.077370       0.001624
       0.746000       0.079441       0.000405
       0.748000       0.081215       0.000407
       0.750500       0.079864       0.000338
       0.753500       0.078779       0.000686
       0.756500       0.079176       0.000277
       0.759500       0.078715       0.001762
       0.762500       0.077943       0.000916
       0.765500       0.078155       0.000328
       0.768500       0.080060       0.000338
       0.771500       0.077541       0.000272
       0.774500       0.077283       0.000590
       0.777500       0.076856       0.001767
       0.781000       0.076494       0.000776
       0.785000       0.076158       0.000441
       0.789000       0.077863       0.000354
       0.793000       0.074012       0.001534
       0.797000       0.074912       0.000360
       0.801500       0.075276       0.000395
       0.806500       0.074709       0.000547
       0.811500       0.074195       0.001802
       0.816500       0.073753       0.000546
       0.822000       0.073536       0.000345
       0.828000       0.073431       0.000307
       0.835000       0.073024       0.000441
       0.843000       0.072505       0.000466
       0.851000       0.072669       0.002421
       0.859000       0.077548       0.001809
       0.871000       0.075959       0.001795
       0.883000       0.074814       0.001757
       0.894000       0.071819       0.001775
       0.904000       0.077616       0.001789
       0.914000       0.074287       0.001107
       0.924000       0.074221       0.001358
       0.933000       0.074125       0.001547
       0.941000       0.076495       0.000984
       0.949000       0.074985       0.001287
       0.957000       0.078918       0.001054
       0.964000       0.077024       0.001769
       0.970000       0.079739       0.001728
       0.976000       0.081632       0.001682
       0.982000       0.087014       0.001611
       0.988000       0.086685       0.001237
       0.994000       0.088542       0.001418
       1.000000       0.092554       0.001812
       1.006000       0.098853       0.001264
       1.012000       0.098349       0.000767
       1.018000       0.100498       0.001541
       1.023500       0.103082       0.001479
       1.028500       0.105967       0.001122
       1.033500       0.109409       0.001280
       1.038500       0.111863       0.001416
       1.043500       0.112348       0.001211
       1.048500       0.114527       0.001043
       1.053500       0.119426       0.001117
       1.058500       0.118520       0.001318
       1.063500       0.120633       0.000947
       1.068500       0.123961       0.001368
       1.073500       0.126522       0.001062
       1.078500       0.129511       0.001214
       1.083500       0.130759       0.001430
       1.088500       0.134298       0.000944
       1.093500       0.135737       0.000944
       1.098500       0.138052       0.001297
       1.103500       0.140622       0.001016
       1.108500       0.143032       0.001458
       1.113500       0.143609       0.000832
       1.118500       0.146627       0.001257
       1.123500       0.147993       0.001102
       1.128500       0.150581       0.001206
       1.133500       0.155608       0.001209
       1.138500       0.157572       0.000828
       1.143500       0.159931       0.001104
       1.148500       0.160655       0.000911
       1.153500       0.162808       0.001203
       1.158500       0.166827       0.000896
       1.163500       0.166954       0.001577
       1.168500       0.166935       0.000815
       1.173500       0.168836       0.001025
       1.178500       0.171553       0.000900
       1.183500       0.173996       0.001287
       1.188500       0.175719       0.001527
       1.193500       0.174541       0.001055
       1.198500       0.177300       0.000658
       1.203500       0.176467       0.001038
       1.208500       0.177381       0.001195
       1.213500       0.178244       0.001226
       1.218500       0.179762       0.000745
       1.223500       0.179230       0.001027
       1.228500       0.178174       0.000771
       1.233500       0.178627       0.001115
       1.238500       0.178189       0.000887
       1.243500       0.179456       0.000956
       1.248500       0.179930       0.001040
       1.253500       0.178244       0.000870
       1.258500       0.179662       0.000944
       1.263500       0.180066       0.000874
       1.268500       0.181144       0.000912
       1.273500       0.180741       0.000800
       1.278500       0.181097       0.000789
       1.283500       0.178980       0.000721
       1.288500       0.180442       0.000992
       1.293500       0.179064       0.000827
       1.298500       0.180320       0.000636
       1.303500       0.179528       0.000535
       1.308500       0.180802       0.000936
       1.313500       0.177655       0.000709
       1.318500       0.179549       0.001257
       1.323500       0.178718       0.000716
       1.328500       0.179035       0.000872
       1.333500       0.179827       0.000984
       1.338500       0.180129       0.000845
       1.343500       0.178644       0.001047
       1.348500       0.179868       0.000932
       1.353500       0.179071       0.000713
       1.358500       0.177471       0.001327
       1.363500       0.178880       0.001078
       1.368500       0.178526       0.001363
       1.373500       0.180862       0.001486
       1.378500       0.179992       0.001231
       1.383500       0.180212       0.001450
       1.388500       0.179666       0.001023
       1.393500       0.179523       0.001524
       1.398500       0.179609       0.000976
       1.403500       0.182242       0.001593
       1.408500       0.182804       0.001688
       1.413500       0.179767       0.001256
       1.418500       0.177750       0.000895
       1.423500       0.182667       0.001283
       1.428500       0.179511       0.001263
       1.433500       0.181787       0.001130
       1.438500       0.181426       0.001095
       1.443500       0.182114       0.001503
       1.448500       0.180427       0.000968
       1.453500       0.181662       0.000830
       1.458500       0.182727       0.001430
       1.463500       0.181388       0.000970
       1.468500       0.182228       0.001611
       1.473500       0.182547       0.001438
       1.478500       0.182076       0.001114
       1.483500       0.182534       0.001156
       1.488500       0.183816       0.000814
       1.493500       0.184089       0.001021
       1.498500       0.182983       0.001780
       1.503500       0.185146       0.001336
       1.508500       0.185847       0.001563
       1.513500       0.186086       0.001583
       1.518500       0.186906       0.001569
       1.523500       0.183016       0.001061
       1.528500       0.184227       0.001138
       1.534000       0.185549       0.001224
       1.540000       0.184840       0.001045
       1.546000       0.184448       0.001068
       1.552000       0.183425       0.001439
       1.558000       0.186052       0.001181
       1.564000       0.185604       0.001420
       1.570500       0.185564       0.000924
       1.577500       0.187335       0.000748
       1.584500       0.187837       0.000705
       1.591500       0.189039       0.000694
       1.598500       0.190091       0.000825
       1.605500       0.188684       0.001136
       1.612500       0.188943       0.000750
       1.619500       0.190634       0.001226
       1.626500       0.190093       0.000568
       1.633500       0.190709       0.000912
       1.640500       0.191744       0.000783
       1.647500       0.190503       0.001277
       1.654500       0.189820       0.001395
       1.661500       0.193131       0.001146
       1.668500       0.193145       0.001542
       1.676000       0.192924       0.001375
       1.684000       0.193550       0.001534
       1.692000       0.195099       0.001812
       1.700000       0.196191       0.001798
       1.708000       0.194878       0.001799
       1.716000       0.199826       0.001620
       1.724000       0.197687       0.001647
       1.732000       0.197364       0.001855
       1.740000       0.200067       0.001789
       1.748000       0.195905       0.001800
       1.756000       0.200298       0.001283
       1.764000       0.199678       0.001432
       1.772000       0.201942       0.001012
       1.780000       0.203251       0.001491
       1.788000       0.207839       0.001507
       1.796000       0.200451       0.001453
       1.805000       0.203107       0.000816
       1.815000       0.205059       0.002049
       1.825000       0.204026       0.000959
       1.835000       0.205337       0.001172
       1.845000       0.206222       0.001221
       1.855000       0.208788       0.001258
       1.865000       0.207046       0.001049
       1.875000       0.211622       0.001406
       1.885000       0.208174       0.001245
       1.895000       0.208977       0.000815
       1.905000       0.209385       0.001767
       1.915000       0.211546       0.001454
       1.925000       0.214533       0.001371
       1.935000       0.213747       0.001796
       1.945000       0.214885       0.001524
       1.955000       0.217480       0.001086
       1.965000       0.217609       0.001423
       1.975000       0.219351       0.000925
       1.985000       0.220593       0.001816
       1.995000       0.221530       0.001833
       2.005000       0.220820       0.001852
       2.015000       0.221123       0.001822
       2.025000       0.220758       0.001650
       2.035000       0.225263       0.001832
       2.045000       0.226614       0.001802
       2.055000       0.224557       0.001785
       2.065000       0.228805       0.001795
       2.075000       0.231651       0.001831
       2.085000       0.236602       0.001790
       2.095000       0.231217       0.001812
       2.105000       0.233910       0.001828
       2.115000       0.238554       0.001781
       2.125000       0.235691       0.001806
       2.135000       0.236980       0.001815
       2.145000       0.237400       0.001797
       2.155000       0.237749       0.001795
       2.165000       0.235294       0.001833
       2.175000       0.240637       0.001843
       2.185000       0.238448       0.001802
       2.195000       0.241262       0.001834
       2.205000       0.239686       0.001858
       2.215000       0.243499       0.001852
       2.225000       0.244717       0.001862
       2.235000       0.246112       0.001870
       2.245000       0.246567       0.001856
       2.255000       0.247883       0.001852
       2.265000       0.248498       0.002077
       2.275000       0.249449       0.002303
       2.285000       0.248106       0.003521
       2.295000       0.252201       0.004207
       2.305000       0.244962       0.004289
       2.315000       0.253248       0.002605
       2.325000       0.253307       0.001838
       2.335000       0.257386       0.001818
       2.345000       0.257717       0.001812
