USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Heulandite NMNH84534         W1R1Ba AREF
copy of splib05a r 3307                                     
       0.205100      -1.23e34        0.007181
       0.213100       0.533569       0.001527
       0.221100       0.552643       0.001065
       0.229100       0.556647       0.000960
       0.236100       0.569211       0.000886
       0.242100       0.591076       0.000689
       0.248100       0.619709       0.000592
       0.253600       0.646519       0.000516
       0.258600       0.668618       0.000765
       0.263600       0.689111       0.000704
       0.268600       0.705551       0.000713
       0.273100       0.719041       0.000792
       0.277100       0.733297       0.000739
       0.281100       0.745576       0.000756
       0.285100       0.759923       0.000849
       0.289100       0.778764       0.000664
       0.293100       0.796156       0.000686
       0.297100       0.807317       0.001654
       0.301100       0.803582       0.000638
       0.305100       0.809458       0.000585
       0.309100       0.812022       0.000532
       0.313100       0.818522       0.000673
       0.317100       0.821010       0.000754
       0.321100       0.823937       0.000839
       0.325100       0.828672       0.000621
       0.329100       0.829901       0.000559
       0.333100       0.833457       0.000560
       0.337100       0.836810       0.000566
       0.341100       0.837602       0.000566
       0.345100       0.841801       0.000636
       0.349100       0.842497       0.000616
       0.353100       0.844262       0.000637
       0.357100       0.846991       0.000708
       0.360600       0.848580       0.000710
       0.363600       0.849809       0.000712
       0.366600       0.850077       0.000573
       0.369600       0.852188       0.000640
       0.372600       0.854577       0.000639
       0.375600       0.855001       0.000713
       0.378600       0.856123       0.000641
       0.381100       0.857468       0.000575
       0.383100       0.858270       0.000642
       0.385100       0.859510       0.000578
       0.387100       0.859823       0.000576
       0.389100       0.861142       0.000643
       0.391100       0.862705       0.000577
       0.393100       0.863579       0.000521
       0.395100       0.864788       0.000646
       0.397100       0.866916       0.000581
       0.399100       0.866779       0.000580
       0.401100       0.867644       0.000524
       0.403100       0.868790       0.000582
       0.405100       0.870130       0.000580
       0.407100       0.870108       0.000524
       0.409100       0.870501       0.000636
       0.411100       0.872773       0.000584
       0.412800       0.872140       0.000582
       0.415800       0.871530       0.000718
       0.418800       0.872703       0.000580
       0.421800       0.873631       0.000580
       0.424800       0.875777       0.000584
       0.427800       0.875644       0.000719
       0.430800       0.876734       0.000646
       0.433800       0.877460       0.000578
       0.436800       0.879116       0.000581
       0.439800       0.879977       0.000582
       0.442800       0.881081       0.000583
       0.445800       0.881245       0.000583
       0.448800       0.883100       0.000581
       0.451300       0.884508       0.000796
       0.453300       0.884310       0.000875
       0.455300       0.885848       0.000648
       0.457300       0.885469       0.000874
       0.459300       0.887019       0.000719
       0.461300       0.886275       0.000582
       0.463300       0.888286       0.000647
       0.465300       0.887821       0.000581
       0.467300       0.888279       0.000717
       0.469300       0.889536       0.000647
       0.471300       0.889770       0.000581
       0.473300       0.889917       0.000647
       0.475300       0.890058       0.000645
       0.477300       0.890577       0.000646
       0.479300       0.890931       0.000646
       0.481300       0.891353       0.000716
       0.483300       0.892449       0.000579
       0.485300       0.892492       0.000645
       0.487300       0.892171       0.000717
       0.489300       0.893735       0.000580
       0.491300       0.895004       0.000647
       0.493300       0.895235       0.000646
       0.495300       0.894347       0.000792
       0.497300       0.895606       0.000644
       0.499300       0.896964       0.000791
       0.501300       0.897364       0.000647
       0.503300       0.898044       0.000647
       0.505300       0.897886       0.000646
       0.507300       0.898744       0.000646
       0.509300       0.899319       0.000645
       0.511300       0.899252       0.000792
       0.513300       0.899629       0.000644
       0.515300       0.899443       0.000644
       0.517300       0.901132       0.000580
       0.519300       0.900951       0.000645
       0.521300       0.901253       0.000789
       0.523300       0.902620       0.000644
       0.525300       0.902900       0.000644
       0.527300       0.902710       0.000790
       0.529300       0.903159       0.000715
       0.531300       0.904360       0.000645
       0.533300       0.904152       0.000714
       0.535300       0.903958       0.000868
       0.537300       0.905645       0.000714
       0.539300       0.904869       0.000948
       0.541300       0.904482       0.000713
       0.543300       0.906516       0.000642
       0.545300       0.906116       0.000788
       0.547300       0.907418       0.000714
       0.549300       0.907209       0.000641
       0.551300       0.908208       0.000641
       0.553300       0.907825       0.000786
       0.555300       0.909109       0.000642
       0.557300       0.909169       0.000641
       0.559300       0.909354       0.000711
       0.561300       0.910733       0.000645
       0.563300       0.911455       0.000643
       0.565300       0.911436       0.000713
       0.567300       0.912738       0.000579
       0.569300       0.912082       0.000788
       0.571300       0.912246       0.000641
       0.573300       0.913351       0.000643
       0.575300       0.913166       0.000642
       0.577300       0.912974       0.000945
       0.579300       0.913265       0.000786
       0.581300       0.912147       0.001027
       0.583300       0.913266       0.000786
       0.585300       0.914484       0.000712
       0.587300       0.914202       0.001027
       0.589300       0.913902       0.000786
       0.591300       0.912978       0.001026
       0.593300       0.913887       0.000943
       0.595300       0.915923       0.000711
       0.597300       0.914693       0.001025
       0.599300       0.914665       0.001024
       0.601100       0.914757       0.000640
       0.602700       0.915663       0.000577
       0.604300       0.915754       0.001022
       0.605900       0.915756       0.001022
       0.607500       0.915810       0.000782
       0.609100       0.915823       0.000938
       0.610700       0.916805       0.000858
       0.612300       0.915960       0.000707
       0.613900       0.916933       0.000706
       0.615500       0.916036       0.000636
       0.617100       0.916946       0.000706
       0.618700       0.917034       0.000637
       0.620300       0.917084       0.000704
       0.621900       0.916261       0.000854
       0.623500       0.917164       0.000703
       0.625100       0.917240       0.000703
       0.626700       0.918163       0.000854
       0.628300       0.918221       0.000703
       0.629900       0.917307       0.000635
       0.631700       0.917372       0.000633
       0.633700       0.918364       0.000570
       0.635700       0.917461       0.000774
       0.637700       0.918438       0.000773
       0.639700       0.917584       0.000570
       0.641700       0.919416       0.000631
       0.643700       0.917660       0.000849
       0.645700       0.918566       0.000699
       0.647700       0.918637       0.000772
       0.649700       0.918639       0.000772
       0.651700       0.917806       0.000847
       0.653700       0.917807       0.000848
       0.655700       0.919613       0.000699
       0.657700       0.918765       0.000567
       0.659700       0.919679       0.000513
       0.661700       0.919686       0.000566
       0.663700       0.919675       0.000515
       0.665700       0.919675       0.000770
       0.667700       0.918832       0.000697
       0.670200       0.918844       0.000630
       0.673200       0.917950       0.000697
       0.676200       0.918838       0.000697
       0.679200       0.918852       0.000770
       0.682200       0.918846       0.000770
       0.685200       0.918842       0.000567
       0.688200       0.921504       0.000570
       0.691200       0.921415       0.000570
       0.694200       0.920519       0.000772
       0.697200       0.920483       0.000570
       0.700200       0.920036       0.000695
       0.702000       0.919119       0.000627
       0.704000       0.920858       0.000628
       0.706000       0.919888       0.000845
       0.708000       0.918980       0.000844
       0.710000       0.918153       0.000628
       0.712000       0.919822       0.000697
       0.714000       0.920661       0.000846
       0.716000       0.919757       0.000770
       0.718000       0.918844       0.000770
       0.720000       0.919688       0.000630
       0.722000       0.918702       0.000629
       0.724000       0.918706       0.000516
       0.726000       0.919550       0.000569
       0.728000       0.917801       0.000567
       0.730000       0.917655       0.000700
       0.732000       0.916753       0.000570
       0.734000       0.916675       0.000570
       0.736000       0.915764       0.000632
       0.738000       0.915690       0.000570
       0.740000       0.914791       0.000701
       0.742000       0.915629       0.000571
       0.744000       0.914645       0.000571
       0.746000       0.914640       0.000702
       0.748000       0.914568       0.000701
       0.750500       0.914560       0.000570
       0.753500       0.915410       0.000633
       0.756500       0.916323       0.000572
       0.759500       0.917101       0.000572
       0.762500       0.918007       0.000574
       0.765500       0.917940       0.000705
       0.768500       0.918780       0.000637
       0.771500       0.918719       0.000638
       0.774500       0.919558       0.000639
       0.777500       0.919553       0.000638
       0.781000       0.919493       0.000576
       0.785000       0.920333       0.000524
       0.789000       0.921127       0.000579
       0.793000       0.921052       0.000580
       0.797000       0.921851       0.000945
       0.801500       0.921709       0.000788
       0.806500       0.922563       0.000582
       0.811500       0.922249       0.000646
       0.816500       0.921645       0.000718
       0.822000       0.922083       0.000587
       0.828000       0.920211       0.000588
       0.835000       0.919176       0.000880
       0.843000       0.917369       0.000592
       0.851000       0.915840       0.001093
       0.859000       0.917172       0.001069
       0.871000       0.914668       0.001068
       0.883000       0.916579       0.001069
       0.894000       0.916442       0.000983
       0.904000       0.915121       0.000898
       0.914000       0.911637       0.000667
       0.924000       0.905214       0.000737
       0.933000       0.900339       0.000662
       0.941000       0.890214       0.000733
       0.949000       0.877155       0.000809
       0.957000       0.863674       0.000807
       0.964000       0.848483       0.000885
       0.970000       0.842636       0.000650
       0.976000       0.845312       0.000652
       0.982000       0.848608       0.000726
       0.988000       0.855743       0.000653
       0.994000       0.862696       0.000655
       1.000000       0.870917       0.000656
       1.006000       0.878961       0.000591
       1.012000       0.883031       0.000659
       1.018000       0.888534       0.000660
       1.023500       0.894044       0.000892
       1.028500       0.895826       0.000892
       1.033500       0.899814       0.000735
       1.038500       0.901595       0.000735
       1.043500       0.902656       0.000663
       1.048500       0.905462       0.000736
       1.053500       0.907507       0.000736
       1.058500       0.907658       0.000736
       1.063500       0.907474       0.000664
       1.068500       0.907664       0.000736
       1.073500       0.906976       0.000663
       1.078500       0.907960       0.000664
       1.083500       0.907677       0.000665
       1.088500       0.906630       0.000664
       1.093500       0.905111       0.000735
       1.098500       0.903091       0.000735
       1.103500       0.900328       0.000662
       1.108500       0.898811       0.000662
       1.113500       0.895705       0.000661
       1.118500       0.893209       0.000660
       1.123500       0.890065       0.000661
       1.128500       0.885607       0.000659
       1.133500       0.877605       0.000730
       1.138500       0.867269       0.000655
       1.143500       0.850926       0.000652
       1.148500       0.829017       0.000647
       1.153500       0.810072       0.000643
       1.158500       0.792450       0.000793
       1.163500       0.784466       0.000637
       1.168500       0.785228       0.000713
       1.173500       0.793122       0.000713
       1.178500       0.802672       0.000640
       1.183500       0.810314       0.000717
       1.188500       0.815859       0.000877
       1.193500       0.819784       0.000795
       1.198500       0.820603       0.000646
       1.203500       0.822026       0.000644
       1.208500       0.826361       0.000798
       1.213500       0.827792       0.000646
       1.218500       0.832117       0.000580
       1.223500       0.833852       0.000721
       1.228500       0.833936       0.000721
       1.233500       0.835930       0.000647
       1.238500       0.838430       0.000582
       1.243500       0.837725       0.000648
       1.248500       0.837876       0.000648
       1.253500       0.837752       0.000582
       1.258500       0.839887       0.000583
       1.263500       0.838624       0.000649
       1.268500       0.838410       0.000648
       1.273500       0.838497       0.000582
       1.278500       0.835682       0.000648
       1.283500       0.833765       0.000646
       1.288500       0.829499       0.000579
       1.293500       0.825714       0.000646
       1.298500       0.819219       0.000645
       1.303500       0.814288       0.000644
       1.308500       0.804852       0.000573
       1.313500       0.796891       0.000640
       1.318500       0.786784       0.000637
       1.323500       0.776908       0.000636
       1.328500       0.763815       0.000631
       1.333500       0.753662       0.000631
       1.338500       0.744306       0.000631
       1.343500       0.734577       0.000558
       1.348500       0.726071       0.000625
       1.353500       0.716448       0.000781
       1.358500       0.708607       0.000621
       1.363500       0.700702       0.000698
       1.368500       0.690771       0.000696
       1.373500       0.682207       0.000859
       1.378500       0.666840       0.000858
       1.383500       0.649804       0.000855
       1.388500       0.621536       0.000767
       1.393500       0.589897       0.000763
       1.398500       0.552318       0.000844
       1.403500       0.514191       0.000840
       1.408500       0.480548       0.000667
       1.413500       0.453375       0.000749
       1.418500       0.434454       0.000834
       1.423500       0.424471       0.000747
       1.428500       0.423280       0.000662
       1.433500       0.430645       0.000662
       1.438500       0.443881       0.000664
       1.443500       0.459866       0.000751
       1.448500       0.474382       0.000668
       1.453500       0.487527       0.000669
       1.458500       0.498074       0.000841
       1.463500       0.501892       0.000842
       1.468500       0.503351       0.000755
       1.473500       0.508646       0.000672
       1.478500       0.519063       0.000843
       1.483500       0.532925       0.000845
       1.488500       0.546935       0.000761
       1.493500       0.561201       0.000936
       1.498500       0.574642       0.000938
       1.503500       0.582257       0.000938
       1.508500       0.591749       0.000684
       1.513500       0.601725       0.000940
       1.518500       0.607436       0.000768
       1.523500       0.615978       0.000942
       1.528500       0.619802       0.001031
       1.534000       0.626073       0.000770
       1.540000       0.632042       0.000689
       1.546000       0.636779       0.000772
       1.552000       0.640829       0.000858
       1.558000       0.646570       0.000774
       1.564000       0.649859       0.000692
       1.570500       0.651917       0.000614
       1.577500       0.654750       0.000481
       1.584500       0.658565       0.000616
       1.591500       0.661517       0.000546
       1.598500       0.663720       0.000618
       1.605500       0.666294       0.000618
       1.612500       0.667800       0.000483
       1.619500       0.670140       0.000548
       1.626500       0.671275       0.000618
       1.633500       0.674033       0.000697
       1.640500       0.677076       0.000620
       1.647500       0.676892       0.000861
       1.654500       0.678883       0.000621
       1.661500       0.680625       0.000697
       1.668500       0.679711       0.000861
       1.676000       0.679628       0.000619
       1.684000       0.680152       0.000778
       1.692000       0.679060       0.001034
       1.700000       0.679395       0.001035
       1.708000       0.675578       0.000946
       1.716000       0.670221       0.000947
       1.724000       0.661812       0.000860
       1.732000       0.655873       0.000945
       1.740000       0.652217       0.001032
       1.748000       0.645751       0.001031
       1.756000       0.639471       0.001032
       1.764000       0.633467       0.001033
       1.772000       0.624907       0.000857
       1.780000       0.620054       0.000944
       1.788000       0.617040       0.000770
       1.796000       0.608300       0.000687
       1.805000       0.602398       0.000769
       1.815000       0.597292       0.000684
       1.825000       0.592503       0.000606
       1.835000       0.589083       0.000852
       1.845000       0.580237       0.000764
       1.855000       0.563611       0.000934
       1.865000       0.536340       0.000759
       1.875000       0.490319       0.000840
       1.885000       0.419145       0.000747
       1.895000       0.324936       0.000653
       1.905000       0.233779       0.000912
       1.915000       0.186930       0.000911
       1.925000       0.188441       0.000821
       1.935000       0.212680       0.000911
       1.945000       0.237420       0.000912
       1.955000       0.257728       0.000735
       1.965000       0.276422       0.001006
       1.975000       0.289466       0.000825
       1.985000       0.302727       0.001005
       1.995000       0.318661       0.001006
       2.005000       0.336321       0.000914
       2.015000       0.354822       0.000913
       2.025000       0.371795       0.001003
       2.035000       0.391448       0.001003
       2.045000       0.403519       0.001001
       2.055000       0.415769       0.001001
       2.065000       0.427741       0.001001
       2.075000       0.432592       0.000912
       2.085000       0.439898       0.001000
       2.095000       0.446958       0.001000
       2.105000       0.452697       0.000999
       2.115000       0.457927       0.000999
       2.125000       0.465643       0.000997
       2.135000       0.473826       0.000996
       2.145000       0.480295       0.000998
       2.155000       0.484319       0.000912
       2.165000       0.486702       0.001003
       2.175000       0.489273       0.001007
       2.185000       0.493107       0.001010
       2.195000       0.495010       0.001012
       2.205000       0.493333       0.001012
       2.215000       0.494646       0.001013
       2.225000       0.495192       0.001014
       2.235000       0.492033       0.001018
       2.245000       0.489620       0.001018
       2.255000       0.485940       0.001031
       2.265000       0.480350       0.001107
       2.275000       0.471337       0.001113
       2.285000       0.463366       0.001543
       2.295000       0.453585       0.002238
       2.305000       0.440512       0.002210
       2.315000       0.426060       0.001536
       2.325000       0.412506       0.001026
       2.335000       0.395225       0.000997
       2.345000       0.378049       0.000993
