USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hornblende_Mg NMNH117329     W1R1Bb AREF
copy of splib05a r 3368                                     
       0.205100      -1.23e34        0.027390
       0.213100      -1.23e34        0.005613
       0.221100       0.020278       0.001928
       0.229100       0.021355       0.001711
       0.236100       0.021645       0.001431
       0.242100       0.021324       0.001359
       0.248100       0.020627       0.001216
       0.253600       0.021273       0.001361
       0.258600       0.021680       0.000800
       0.263600       0.020764       0.000937
       0.268600       0.021986       0.000929
       0.273100       0.022169       0.001088
       0.277100       0.024395       0.001162
       0.281100       0.025240       0.000705
       0.285100       0.025786       0.000981
       0.289100       0.028381       0.001388
       0.293100       0.031130       0.000956
       0.297100       0.034665       0.000727
       0.301100       0.037810       0.000752
       0.305100       0.042607       0.000839
       0.309100       0.047395       0.000788
       0.313100       0.054273       0.000553
       0.317100       0.059626       0.000624
       0.321100       0.065176       0.001575
       0.325100       0.070966       0.000933
       0.329100       0.076787       0.001211
       0.333100       0.081341       0.000667
       0.337100       0.084806       0.001014
       0.341100       0.087098       0.000706
       0.345100       0.090523       0.000705
       0.349100       0.093267       0.000542
       0.353100       0.095478       0.000645
       0.357100       0.098776       0.000667
       0.360600       0.102836       0.001009
       0.363600       0.104789       0.000664
       0.366600       0.107916       0.000642
       0.369600       0.109391       0.000605
       0.372600       0.110903       0.000560
       0.375600       0.111961       0.000597
       0.378600       0.113329       0.000544
       0.381100       0.115201       0.000664
       0.383100       0.115886       0.000731
       0.385100       0.116944       0.000721
       0.387100       0.116952       0.000765
       0.389100       0.118163       0.001023
       0.391100       0.119245       0.000597
       0.393100       0.120647       0.000734
       0.395100       0.121859       0.000632
       0.397100       0.122333       0.000638
       0.399100       0.122997       0.001310
       0.401100       0.124385       0.000706
       0.403100       0.124275       0.000697
       0.405100       0.125664       0.001009
       0.407100       0.126145       0.000576
       0.409100       0.126888       0.000568
       0.411100       0.129032       0.000687
       0.412800       0.128559       0.000675
       0.415800       0.130968       0.000692
       0.418800       0.132652       0.000767
       0.421800       0.135692       0.000615
       0.424800       0.136973       0.000726
       0.427800       0.139731       0.000678
       0.430800       0.141179       0.000621
       0.433800       0.144427       0.000652
       0.436800       0.145548       0.000614
       0.439800       0.146534       0.000661
       0.442800       0.146248       0.000630
       0.445800       0.146936       0.000615
       0.448800       0.149450       0.000842
       0.451300       0.150376       0.000974
       0.453300       0.151791       0.000808
       0.455300       0.153982       0.001676
       0.457300       0.153366       0.001366
       0.459300       0.156213       0.000915
       0.461300       0.157495       0.000802
       0.463300       0.158593       0.000826
       0.465300       0.159891       0.000890
       0.467300       0.161332       0.000797
       0.469300       0.161930       0.000634
       0.471300       0.163287       0.000821
       0.473300       0.164925       0.000987
       0.475300       0.166534       0.000883
       0.477300       0.167230       0.000854
       0.479300       0.169317       0.000994
       0.481300       0.171196       0.000788
       0.483300       0.172065       0.000851
       0.485300       0.173160       0.000535
       0.487300       0.174262       0.000889
       0.489300       0.175109       0.000486
       0.491300       0.176475       0.000539
       0.493300       0.177229       0.000526
       0.495300       0.177728       0.000534
       0.497300       0.178840       0.000570
       0.499300       0.180115       0.000486
       0.501300       0.181545       0.000515
       0.503300       0.182012       0.000630
       0.505300       0.183401       0.000567
       0.507300       0.184705       0.000482
       0.509300       0.185062       0.000578
       0.511300       0.185608       0.000551
       0.513300       0.186483       0.000572
       0.515300       0.188003       0.000499
       0.517300       0.188542       0.000524
       0.519300       0.190083       0.000574
       0.521300       0.191071       0.000572
       0.523300       0.190814       0.000583
       0.525300       0.191524       0.000702
       0.527300       0.192315       0.000883
       0.529300       0.192710       0.000623
       0.531300       0.193362       0.000520
       0.533300       0.193671       0.000523
       0.535300       0.194612       0.000678
       0.537300       0.195385       0.000662
       0.539300       0.195015       0.000563
       0.541300       0.196687       0.000861
       0.543300       0.196476       0.000633
       0.545300       0.196964       0.000531
       0.547300       0.197710       0.000478
       0.549300       0.197869       0.000654
       0.551300       0.198475       0.000549
       0.553300       0.199278       0.000395
       0.555300       0.198805       0.000640
       0.557300       0.200021       0.000684
       0.559300       0.199870       0.000633
       0.561300       0.203518       0.000891
       0.563300       0.203317       0.000569
       0.565300       0.203921       0.000707
       0.567300       0.205001       0.000645
       0.569300       0.204478       0.000564
       0.571300       0.205112       0.000523
       0.573300       0.205356       0.000599
       0.575300       0.206282       0.000468
       0.577300       0.205463       0.000739
       0.579300       0.205796       0.000704
       0.581300       0.205965       0.000843
       0.583300       0.206910       0.001098
       0.585300       0.205564       0.000943
       0.587300       0.206701       0.000839
       0.589300       0.206634       0.000757
       0.591300       0.207318       0.000536
       0.593300       0.207313       0.000651
       0.595300       0.207889       0.000666
       0.597300       0.207376       0.000684
       0.599300       0.207678       0.000575
       0.601100       0.207820       0.000766
       0.602700       0.207858       0.001151
       0.604300       0.207845       0.000568
       0.605900       0.207649       0.000981
       0.607500       0.207762       0.000651
       0.609100       0.207935       0.000527
       0.610700       0.208273       0.000583
       0.612300       0.207908       0.000698
       0.613900       0.207870       0.000617
       0.615500       0.208400       0.000809
       0.617100       0.208358       0.000495
       0.618700       0.208510       0.000514
       0.620300       0.208657       0.000511
       0.621900       0.208029       0.000586
       0.623500       0.208424       0.000571
       0.625100       0.208259       0.000665
       0.626700       0.208752       0.000529
       0.628300       0.208223       0.000649
       0.629900       0.208464       0.000562
       0.631700       0.208569       0.000695
       0.633700       0.207899       0.000897
       0.635700       0.208158       0.000654
       0.637700       0.208262       0.000482
       0.639700       0.208498       0.000527
       0.641700       0.208347       0.000552
       0.643700       0.208676       0.000502
       0.645700       0.209344       0.000554
       0.647700       0.208437       0.000707
       0.649700       0.208541       0.000712
       0.651700       0.208810       0.000932
       0.653700       0.208913       0.000721
       0.655700       0.209738       0.000697
       0.657700       0.209390       0.000867
       0.659700       0.210068       0.000950
       0.661700       0.210421       0.000665
       0.663700       0.210112       0.000742
       0.665700       0.210648       0.000834
       0.667700       0.210131       0.000617
       0.670200       0.210803       0.000726
       0.673200       0.211901       0.000626
       0.676200       0.210571       0.000604
       0.679200       0.212083       0.001016
       0.682200       0.213240       0.000527
       0.685200       0.212456       0.000791
       0.688200       0.213100       0.001268
       0.691200       0.213474       0.000692
       0.694200       0.214593       0.001167
       0.697200       0.215851       0.000698
       0.700200       0.214870       0.000618
       0.702000       0.214414       0.000545
       0.704000       0.214985       0.000674
       0.706000       0.215652       0.000563
       0.708000       0.217097       0.000562
       0.710000       0.216101       0.000635
       0.712000       0.217183       0.000685
       0.714000       0.218572       0.001113
       0.716000       0.218163       0.000768
       0.718000       0.219210       0.001000
       0.720000       0.220638       0.000788
       0.722000       0.220009       0.000723
       0.724000       0.221134       0.000831
       0.726000       0.221610       0.000715
       0.728000       0.222829       0.000706
       0.730000       0.223843       0.000864
       0.732000       0.223700       0.000757
       0.734000       0.223835       0.001101
       0.736000       0.225487       0.000976
       0.738000       0.225957       0.000887
       0.740000       0.226175       0.001128
       0.742000       0.227734       0.000705
       0.744000       0.228305       0.000469
       0.746000       0.229893       0.000583
       0.748000       0.232025       0.000687
       0.750500       0.231488       0.000625
       0.753500       0.233363       0.000874
       0.756500       0.235604       0.000570
       0.759500       0.235983       0.000817
       0.762500       0.238468       0.000867
       0.765500       0.239598       0.000855
       0.768500       0.241607       0.000868
       0.771500       0.243552       0.001460
       0.774500       0.245346       0.001250
       0.777500       0.246766       0.000722
       0.781000       0.248890       0.000741
       0.785000       0.251275       0.000860
       0.789000       0.253857       0.000807
       0.793000       0.254856       0.000888
       0.797000       0.257281       0.000695
       0.801500       0.259468       0.000589
       0.806500       0.261194       0.000902
       0.811500       0.261873       0.001350
       0.816500       0.264627       0.000800
       0.822000       0.266698       0.001507
       0.828000       0.265996       0.000859
       0.835000       0.267902       0.001198
       0.843000       0.268198       0.000814
       0.851000       0.265494       0.001926
       0.859000       0.265063       0.001160
       0.871000       0.263169       0.001898
       0.883000       0.258697       0.000983
       0.894000       0.263127       0.001635
       0.904000       0.260312       0.001050
       0.914000       0.257517       0.001183
       0.924000       0.256550       0.000837
       0.933000       0.256981       0.001309
       0.941000       0.252911       0.001040
       0.949000       0.251299       0.000913
       0.957000       0.250037       0.000683
       0.964000       0.248282       0.001007
       0.970000       0.245437       0.001034
       0.976000       0.245679       0.000833
       0.982000       0.241927       0.000822
       0.988000       0.241858       0.000766
       0.994000       0.238966       0.000966
       1.000000       0.238453       0.000949
       1.006000       0.236979       0.000633
       1.012000       0.234076       0.000940
       1.018000       0.235061       0.000929
       1.023500       0.236295       0.001238
       1.028500       0.237296       0.000869
       1.033500       0.238387       0.000974
       1.038500       0.240412       0.000881
       1.043500       0.244133       0.000989
       1.048500       0.248590       0.000700
       1.053500       0.252280       0.000744
       1.058500       0.257240       0.001003
       1.063500       0.261728       0.000628
       1.068500       0.267783       0.000831
       1.073500       0.273239       0.000766
       1.078500       0.279541       0.000730
       1.083500       0.284652       0.000828
       1.088500       0.291646       0.000679
       1.093500       0.297062       0.000638
       1.098500       0.302728       0.000743
       1.103500       0.307838       0.000866
       1.108500       0.312252       0.000714
       1.113500       0.316931       0.000643
       1.118500       0.320861       0.000874
       1.123500       0.326244       0.000639
       1.128500       0.330171       0.000616
       1.133500       0.333907       0.000798
       1.138500       0.337036       0.000720
       1.143500       0.339913       0.000871
       1.148500       0.344075       0.000618
       1.153500       0.346686       0.000753
       1.158500       0.350858       0.000730
       1.163500       0.352989       0.000660
       1.168500       0.356341       0.001063
       1.173500       0.358781       0.001133
       1.178500       0.362215       0.000881
       1.183500       0.365421       0.000922
       1.188500       0.371437       0.001221
       1.193500       0.372061       0.000894
       1.198500       0.375608       0.000498
       1.203500       0.378228       0.000783
       1.208500       0.380839       0.000867
       1.213500       0.383965       0.000906
       1.218500       0.387684       0.000847
       1.223500       0.390422       0.000695
       1.228500       0.395060       0.000717
       1.233500       0.397379       0.000806
       1.238500       0.400392       0.000717
       1.243500       0.404486       0.000579
       1.248500       0.407682       0.000775
       1.253500       0.411023       0.000776
       1.258500       0.413627       0.000779
       1.263500       0.417883       0.000822
       1.268500       0.421029       0.000689
       1.273500       0.423972       0.000674
       1.278500       0.427990       0.000696
       1.283500       0.430687       0.000751
       1.288500       0.434583       0.000641
       1.293500       0.438757       0.000666
       1.298500       0.441947       0.000627
       1.303500       0.445456       0.000754
       1.308500       0.448889       0.000854
       1.313500       0.451080       0.000752
       1.318500       0.454975       0.000676
       1.323500       0.458160       0.000793
       1.328500       0.461958       0.000852
       1.333500       0.464988       0.000628
       1.338500       0.467747       0.000864
       1.343500       0.470421       0.000622
       1.348500       0.473021       0.000988
       1.353500       0.478087       0.000862
       1.358500       0.480637       0.001023
       1.363500       0.480954       0.001173
       1.368500       0.485620       0.000979
       1.373500       0.483057       0.000964
       1.378500       0.482075       0.000830
       1.383500       0.482532       0.000937
       1.388500       0.484713       0.001073
       1.393500       0.455406       0.000844
       1.398500       0.469210       0.001011
       1.403500       0.488517       0.001090
       1.408500       0.502867       0.001117
       1.413500       0.510627       0.000775
       1.418500       0.516909       0.000822
       1.423500       0.519937       0.000818
       1.428500       0.524343       0.001017
       1.433500       0.525909       0.000689
       1.438500       0.529719       0.000774
       1.443500       0.532066       0.000869
       1.448500       0.536156       0.000977
       1.453500       0.537364       0.000889
       1.458500       0.540707       0.000952
       1.463500       0.543925       0.001000
       1.468500       0.545209       0.001254
       1.473500       0.548911       0.001196
       1.478500       0.549748       0.001062
       1.483500       0.553943       0.001104
       1.488500       0.555256       0.001181
       1.493500       0.558693       0.001301
       1.498500       0.559617       0.001433
       1.503500       0.565777       0.000955
       1.508500       0.567599       0.001019
       1.513500       0.569121       0.001088
       1.518500       0.572601       0.000882
       1.523500       0.574531       0.001233
       1.528500       0.575642       0.001027
       1.534000       0.577475       0.000867
       1.540000       0.579550       0.000661
       1.546000       0.583073       0.000874
       1.552000       0.584773       0.000823
       1.558000       0.587971       0.001144
       1.564000       0.591236       0.000722
       1.570500       0.592505       0.000628
       1.577500       0.595008       0.000607
       1.584500       0.597076       0.000804
       1.591500       0.600734       0.000740
       1.598500       0.603504       0.000933
       1.605500       0.604688       0.000630
       1.612500       0.608828       0.000881
       1.619500       0.609346       0.000764
       1.626500       0.611103       0.000844
       1.633500       0.614462       0.000803
       1.640500       0.616980       0.000720
       1.647500       0.619329       0.000865
       1.654500       0.621214       0.001058
       1.661500       0.621974       0.000860
       1.668500       0.623664       0.000730
       1.676000       0.625879       0.001198
       1.684000       0.627401       0.001108
       1.692000       0.631452       0.001003
       1.700000       0.635677       0.000925
       1.708000       0.634538       0.001319
       1.716000       0.636166       0.000956
       1.724000       0.636317       0.001486
       1.732000       0.639985       0.001008
       1.740000       0.638666       0.001144
       1.748000       0.640630       0.001866
       1.756000       0.645230       0.001256
       1.764000       0.645361       0.001155
       1.772000       0.646813       0.000983
       1.780000       0.646408       0.000691
       1.788000       0.648469       0.001395
       1.796000       0.650839       0.000765
       1.805000       0.649106       0.000741
       1.815000       0.648247       0.000712
       1.825000       0.648514       0.000978
       1.835000       0.649573       0.000933
       1.845000       0.649237       0.000816
       1.855000       0.650297       0.000909
       1.865000       0.647943       0.000800
       1.875000       0.649253       0.000949
       1.885000       0.647376       0.000947
       1.895000       0.647736       0.000648
       1.905000       0.644534       0.000958
       1.915000       0.645061       0.000835
       1.925000       0.641904       0.000916
       1.935000       0.643104       0.001132
       1.945000       0.639720       0.001154
       1.955000       0.640245       0.000932
       1.965000       0.639668       0.001078
       1.975000       0.637064       0.001003
       1.985000       0.636108       0.001196
       1.995000       0.632513       0.000872
       2.005000       0.632208       0.001264
       2.015000       0.630969       0.001323
       2.025000       0.626426       0.001777
       2.035000       0.627832       0.001556
       2.045000       0.627427       0.001149
       2.055000       0.623826       0.000941
       2.065000       0.615009       0.001552
       2.075000       0.613490       0.001175
       2.085000       0.608813       0.001624
       2.095000       0.602128       0.001826
       2.105000       0.603799       0.001656
       2.115000       0.596845       0.001311
       2.125000       0.594263       0.001860
       2.135000       0.593465       0.001858
       2.145000       0.593569       0.001637
       2.155000       0.592038       0.000920
       2.165000       0.587006       0.001418
       2.175000       0.581077       0.001678
       2.185000       0.579758       0.001518
       2.195000       0.576583       0.001887
       2.205000       0.575149       0.001926
       2.215000       0.571692       0.001850
       2.225000       0.562927       0.001924
       2.235000       0.559715       0.001918
       2.245000       0.548268       0.001906
       2.255000       0.543925       0.001921
       2.265000       0.539873       0.001959
       2.275000       0.533871       0.007617
       2.285000       0.506895       0.002387
       2.295000       0.477686       0.003498
       2.305000       0.458527       0.002929
       2.315000       0.442900       0.002167
       2.325000       0.455275       0.001914
       2.335000       0.496408       0.001727
       2.345000       0.508264       0.001423
