USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Jarosite JR2501 (K)          W1R1Bb AREF
copy of splib05a r 3761                                     
       0.205100      -1.23e34        0.007381
       0.213100       0.010882       0.001614
       0.221100       0.011203       0.000931
       0.229100       0.011537       0.000848
       0.236100       0.010404       0.000792
       0.242100       0.010697       0.000745
       0.248100       0.009745       0.000678
       0.253600       0.010317       0.000700
       0.258600       0.009994       0.000680
       0.263600       0.010081       0.000688
       0.268600       0.010507       0.000687
       0.273100       0.011539       0.000611
       0.277100       0.011940       0.000487
       0.281100       0.013348       0.000721
       0.285100       0.013760       0.000753
       0.289100       0.014909       0.000777
       0.293100       0.015155       0.000589
       0.297100       0.015588       0.000824
       0.301100       0.015474       0.000552
       0.305100       0.015812       0.000744
       0.309100       0.015389       0.000856
       0.313100       0.015754       0.000549
       0.317100       0.015513       0.000531
       0.321100       0.016601       0.000897
       0.325100       0.014565       0.000888
       0.329100       0.015545       0.000743
       0.333100       0.015686       0.000831
       0.337100       0.014989       0.000731
       0.341100       0.016171       0.000924
       0.345100       0.015760       0.000713
       0.349100       0.015955       0.000910
       0.353100       0.016940       0.000517
       0.357100       0.017044       0.000939
       0.360600       0.018765       0.000571
       0.363600       0.019330       0.000505
       0.366600       0.020373       0.000624
       0.369600       0.021818       0.000496
       0.372600       0.022349       0.000449
       0.375600       0.023755       0.000511
       0.378600       0.025622       0.000542
       0.381100       0.026670       0.000673
       0.383100       0.027420       0.000723
       0.385100       0.030034       0.000640
       0.387100       0.032240       0.000808
       0.389100       0.034680       0.000592
       0.391100       0.038145       0.000888
       0.393100       0.042041       0.000517
       0.395100       0.045752       0.000600
       0.397100       0.051410       0.000637
       0.399100       0.058170       0.000899
       0.401100       0.066251       0.000577
       0.403100       0.073930       0.000615
       0.405100       0.082637       0.000942
       0.407100       0.090623       0.000526
       0.409100       0.098999       0.000568
       0.411100       0.107597       0.000662
       0.412800       0.112512       0.000772
       0.415800       0.119418       0.000567
       0.418800       0.122238       0.000640
       0.421800       0.121857       0.000537
       0.424800       0.118699       0.000523
       0.427800       0.112848       0.000884
       0.430800       0.102540       0.000623
       0.433800       0.095495       0.000923
       0.436800       0.096127       0.000528
       0.439800       0.104060       0.000512
       0.442800       0.115225       0.000467
       0.445800       0.127464       0.000600
       0.448800       0.142065       0.000680
       0.451300       0.153120       0.000943
       0.453300       0.164176       0.000913
       0.455300       0.173826       0.000780
       0.457300       0.183728       0.000896
       0.459300       0.191584       0.000920
       0.461300       0.199509       0.000916
       0.463300       0.206918       0.000715
       0.465300       0.212526       0.000604
       0.467300       0.218094       0.000666
       0.469300       0.223536       0.000691
       0.471300       0.229064       0.000617
       0.473300       0.233072       0.000819
       0.475300       0.239166       0.000934
       0.477300       0.243013       0.000764
       0.479300       0.247913       0.000638
       0.481300       0.252961       0.000703
       0.483300       0.257408       0.000707
       0.485300       0.261990       0.000734
       0.487300       0.267249       0.000684
       0.489300       0.271429       0.000660
       0.491300       0.276801       0.000840
       0.493300       0.282002       0.000892
       0.495300       0.286138       0.000582
       0.497300       0.291296       0.000752
       0.499300       0.296543       0.000918
       0.501300       0.301841       0.000682
       0.503300       0.305970       0.000911
       0.505300       0.311471       0.000678
       0.507300       0.316257       0.000917
       0.509300       0.322021       0.000927
       0.511300       0.326910       0.000926
       0.513300       0.333036       0.000708
       0.515300       0.338941       0.000673
       0.517300       0.344707       0.000674
       0.519300       0.349676       0.000806
       0.521300       0.356190       0.000666
       0.523300       0.362225       0.000800
       0.525300       0.367079       0.000700
       0.527300       0.372581       0.000938
       0.529300       0.379411       0.000783
       0.531300       0.385026       0.000680
       0.533300       0.391827       0.000816
       0.535300       0.399002       0.000766
       0.537300       0.404354       0.000927
       0.539300       0.412135       0.000760
       0.541300       0.415838       0.000799
       0.543300       0.422679       0.000729
       0.545300       0.428699       0.000916
       0.547300       0.434903       0.000768
       0.549300       0.439212       0.000732
       0.551300       0.444800       0.000712
       0.553300       0.451510       0.000662
       0.555300       0.456442       0.000740
       0.557300       0.462416       0.000894
       0.559300       0.465891       0.000928
       0.561300       0.472853       0.000753
       0.563300       0.477915       0.000666
       0.565300       0.481682       0.000797
       0.567300       0.486285       0.000928
       0.569300       0.490242       0.000734
       0.571300       0.493905       0.000784
       0.573300       0.498061       0.000926
       0.575300       0.501178       0.000812
       0.577300       0.504441       0.000538
       0.579300       0.509187       0.000907
       0.581300       0.511866       0.000570
       0.583300       0.515178       0.000519
       0.585300       0.516426       0.000857
       0.587300       0.520302       0.000447
       0.589300       0.522491       0.000887
       0.591300       0.525105       0.000487
       0.593300       0.528202       0.000918
       0.595300       0.530079       0.000511
       0.597300       0.532484       0.000649
       0.599300       0.535046       0.000609
       0.601100       0.538392       0.000572
       0.602700       0.539592       0.000832
       0.604300       0.541962       0.000516
       0.605900       0.543592       0.000912
       0.607500       0.546533       0.000878
       0.609100       0.546844       0.000861
       0.610700       0.550454       0.000842
       0.612300       0.551678       0.000750
       0.613900       0.555204       0.000705
       0.615500       0.558633       0.000912
       0.617100       0.558440       0.000695
       0.618700       0.560806       0.000903
       0.620300       0.563684       0.000912
       0.621900       0.565649       0.000778
       0.623500       0.568377       0.000829
       0.625100       0.570298       0.000742
       0.626700       0.572063       0.000880
       0.628300       0.576616       0.000787
       0.629900       0.575891       0.000783
       0.631700       0.579176       0.000878
       0.633700       0.581621       0.000726
       0.635700       0.584521       0.000784
       0.637700       0.586925       0.000462
       0.639700       0.589353       0.000448
       0.641700       0.593189       0.000541
       0.643700       0.595240       0.000567
       0.645700       0.598727       0.000539
       0.647700       0.602211       0.000572
       0.649700       0.605164       0.000576
       0.651700       0.607007       0.000522
       0.653700       0.611029       0.000624
       0.655700       0.613771       0.000894
       0.657700       0.618477       0.000591
       0.659700       0.621143       0.000617
       0.661700       0.623667       0.000812
       0.663700       0.628044       0.000732
       0.665700       0.630848       0.000851
       0.667700       0.634500       0.000472
       0.670200       0.638322       0.000484
       0.673200       0.643149       0.000543
       0.676200       0.648310       0.000556
       0.679200       0.654920       0.000607
       0.682200       0.659233       0.000746
       0.685200       0.663929       0.000685
       0.688200       0.668381       0.000652
       0.691200       0.672223       0.000917
       0.694200       0.675889       0.000658
       0.697200       0.679851       0.000925
       0.700200       0.680853       0.000652
       0.702000       0.682483       0.000540
       0.704000       0.683618       0.000545
       0.706000       0.686183       0.000531
       0.708000       0.686529       0.000467
       0.710000       0.687077       0.000846
       0.712000       0.688370       0.000575
       0.714000       0.689041       0.000514
       0.716000       0.690182       0.000548
       0.718000       0.689229       0.000635
       0.720000       0.689347       0.000611
       0.722000       0.690063       0.000638
       0.724000       0.688357       0.000709
       0.726000       0.687989       0.000696
       0.728000       0.687592       0.000642
       0.730000       0.686859       0.000714
       0.732000       0.684772       0.000730
       0.734000       0.682154       0.000731
       0.736000       0.682476       0.000662
       0.738000       0.679529       0.000915
       0.740000       0.676267       0.000892
       0.742000       0.674919       0.000925
       0.744000       0.673930       0.000762
       0.746000       0.670471       0.000842
       0.748000       0.667633       0.000934
       0.750500       0.664719       0.000722
       0.753500       0.661354       0.000898
       0.756500       0.657069       0.000575
       0.759500       0.652262       0.000633
       0.762500       0.646564       0.000690
       0.765500       0.641766       0.000917
       0.768500       0.637376       0.000923
       0.771500       0.632732       0.000763
       0.774500       0.627202       0.000754
       0.777500       0.622676       0.000792
       0.781000       0.616627       0.000624
       0.785000       0.610418       0.000625
       0.789000       0.602894       0.000746
       0.793000       0.595557       0.000768
       0.797000       0.588792       0.000618
       0.801500       0.582119       0.000619
       0.806500       0.573958       0.000612
       0.811500       0.565405       0.000647
       0.816500       0.558647       0.000734
       0.822000       0.550975       0.000809
       0.828000       0.541797       0.000926
       0.835000       0.532022       0.000707
       0.843000       0.524358       0.000451
       0.851000       0.514893       0.000991
       0.859000       0.507477       0.000974
       0.871000       0.495464       0.000967
       0.883000       0.487208       0.000962
       0.894000       0.484395       0.000965
       0.904000       0.482807       0.000803
       0.914000       0.477407       0.000970
       0.924000       0.477331       0.000968
       0.933000       0.479922       0.000811
       0.941000       0.478339       0.000734
       0.949000       0.480194       0.000932
       0.957000       0.483483       0.000979
       0.964000       0.489607       0.000675
       0.970000       0.490793       0.000973
       0.976000       0.494751       0.000964
       0.982000       0.498380       0.000890
       0.988000       0.502060       0.000806
       0.994000       0.505290       0.000797
       1.000000       0.511771       0.000810
       1.006000       0.516231       0.000735
       1.012000       0.521622       0.000863
       1.018000       0.526011       0.000598
       1.023500       0.533284       0.000958
       1.028500       0.537550       0.000885
       1.033500       0.543286       0.000980
       1.038500       0.547884       0.000652
       1.043500       0.553479       0.000584
       1.048500       0.559193       0.000705
       1.053500       0.563781       0.000737
       1.058500       0.569316       0.000573
       1.063500       0.573018       0.000585
       1.068500       0.576457       0.000788
       1.073500       0.580620       0.000789
       1.078500       0.584098       0.000845
       1.083500       0.589829       0.000900
       1.088500       0.593195       0.000807
       1.093500       0.597828       0.000723
       1.098500       0.599574       0.000819
       1.103500       0.603578       0.000671
       1.108500       0.608869       0.000611
       1.113500       0.610485       0.000737
       1.118500       0.611785       0.000721
       1.123500       0.615501       0.000510
       1.128500       0.619651       0.000759
       1.133500       0.621541       0.000766
       1.138500       0.624877       0.000807
       1.143500       0.627436       0.000684
       1.148500       0.629687       0.000795
       1.153500       0.633561       0.000784
       1.158500       0.633616       0.000611
       1.163500       0.636749       0.000711
       1.168500       0.639759       0.000679
       1.173500       0.643510       0.000764
       1.178500       0.644963       0.000984
       1.183500       0.648408       0.000730
       1.188500       0.652345       0.000725
       1.193500       0.654522       0.000917
       1.198500       0.657758       0.000930
       1.203500       0.658999       0.000756
       1.208500       0.663574       0.000724
       1.213500       0.667018       0.000716
       1.218500       0.670277       0.000728
       1.223500       0.671857       0.000681
       1.228500       0.675655       0.000732
       1.233500       0.678273       0.000710
       1.238500       0.682066       0.000639
       1.243500       0.685225       0.000561
       1.248500       0.688194       0.000654
       1.253500       0.692990       0.000597
       1.258500       0.694776       0.000710
       1.263500       0.698474       0.000546
       1.268500       0.702350       0.000658
       1.273500       0.705031       0.000603
       1.278500       0.708851       0.000986
       1.283500       0.713351       0.000650
       1.288500       0.716202       0.000656
       1.293500       0.719512       0.000679
       1.298500       0.723643       0.000748
       1.303500       0.725999       0.000690
       1.308500       0.727481       0.000622
       1.313500       0.732679       0.000651
       1.318500       0.736714       0.000569
       1.323500       0.739758       0.000643
       1.328500       0.743939       0.000810
       1.333500       0.747773       0.000654
       1.338500       0.750970       0.000777
       1.343500       0.753744       0.000630
       1.348500       0.756912       0.000935
       1.353500       0.758981       0.000906
       1.358500       0.761865       0.000758
       1.363500       0.765797       0.000984
       1.368500       0.767256       0.000981
       1.373500       0.771347       0.000820
       1.378500       0.773837       0.000971
       1.383500       0.778464       0.000926
       1.388500       0.779543       0.000962
       1.393500       0.780937       0.000986
       1.398500       0.784919       0.000982
       1.403500       0.784657       0.000972
       1.408500       0.787351       0.000957
       1.413500       0.786463       0.000909
       1.418500       0.784932       0.000636
       1.423500       0.782743       0.000773
       1.428500       0.780833       0.000849
       1.433500       0.783699       0.000959
       1.438500       0.778576       0.000970
       1.443500       0.776404       0.000918
       1.448500       0.768802       0.000864
       1.453500       0.758833       0.000989
       1.458500       0.747401       0.000992
       1.463500       0.728295       0.000649
       1.468500       0.714789       0.000990
       1.473500       0.726609       0.000992
       1.478500       0.748310       0.000860
       1.483500       0.757377       0.000969
       1.488500       0.757678       0.000823
       1.493500       0.758958       0.000853
       1.498500       0.756249       0.000996
       1.503500       0.758450       0.000996
       1.508500       0.757374       0.000995
       1.513500       0.758067       0.000982
       1.518500       0.759544       0.000994
       1.523500       0.763172       0.000979
       1.528500       0.764977       0.000934
       1.534000       0.768306       0.000775
       1.540000       0.773746       0.000989
       1.546000       0.780436       0.000762
       1.552000       0.785091       0.001001
       1.558000       0.789135       0.000831
       1.564000       0.793889       0.000728
       1.570500       0.794643       0.000715
       1.577500       0.800461       0.000756
       1.584500       0.803309       0.000754
       1.591500       0.806901       0.000623
       1.598500       0.810810       0.000747
       1.605500       0.814249       0.001006
       1.612500       0.814658       0.000685
       1.619500       0.817665       0.000775
       1.626500       0.819987       0.000738
       1.633500       0.817483       0.000832
       1.640500       0.822063       0.000790
       1.647500       0.824065       0.000542
       1.654500       0.824378       0.000963
       1.661500       0.827246       0.000940
       1.668500       0.826842       0.000977
       1.676000       0.825695       0.000841
       1.684000       0.826472       0.000969
       1.692000       0.830985       0.000991
       1.700000       0.830088       0.001006
       1.708000       0.834079       0.000990
       1.716000       0.828185       0.000971
       1.724000       0.830441       0.000988
       1.732000       0.830231       0.001001
       1.740000       0.827471       0.000999
       1.748000       0.825344       0.001001
       1.756000       0.825838       0.001006
       1.764000       0.822645       0.000990
       1.772000       0.821047       0.000977
       1.780000       0.820365       0.000991
       1.788000       0.821195       0.000971
       1.796000       0.815682       0.000981
       1.805000       0.808697       0.000855
       1.815000       0.802231       0.000606
       1.825000       0.792821       0.000974
       1.835000       0.774205       0.000999
       1.845000       0.735223       0.000973
       1.855000       0.730090       0.000985
       1.865000       0.738454       0.000927
       1.875000       0.778962       0.000872
       1.885000       0.788944       0.000896
       1.895000       0.787104       0.000992
       1.905000       0.775136       0.001002
       1.915000       0.762019       0.000968
       1.925000       0.743325       0.000982
       1.935000       0.734743       0.000969
       1.945000       0.734042       0.000985
       1.955000       0.735048       0.000994
       1.965000       0.733339       0.000994
       1.975000       0.732514       0.000984
       1.985000       0.734979       0.000994
       1.995000       0.732269       0.000954
       2.005000       0.734480       0.000977
       2.015000       0.734871       0.000986
       2.025000       0.733941       0.000993
       2.035000       0.735852       0.000989
       2.045000       0.734374       0.000979
       2.055000       0.728939       0.000985
       2.065000       0.728161       0.000964
       2.075000       0.725565       0.000984
       2.085000       0.726847       0.000949
       2.095000       0.725274       0.000978
       2.105000       0.722595       0.000980
       2.115000       0.722690       0.000977
       2.125000       0.716696       0.000974
       2.135000       0.712851       0.000978
       2.145000       0.705877       0.000979
       2.155000       0.698118       0.000964
       2.165000       0.686009       0.000971
       2.175000       0.676082       0.000981
       2.185000       0.664018       0.000983
       2.195000       0.645911       0.000981
       2.205000       0.634406       0.000991
       2.215000       0.626578       0.000985
       2.225000       0.630748       0.000992
       2.235000       0.636833       0.000989
       2.245000       0.620780       0.000991
       2.255000       0.569924       0.001027
       2.265000       0.545954       0.001095
       2.275000       0.562699       0.001377
       2.285000       0.611591       0.001914
       2.295000       0.644250       0.002745
       2.305000       0.666432       0.002390
       2.315000       0.697638       0.001684
       2.325000       0.711138       0.001036
       2.335000       0.714856       0.000981
       2.345000       0.711470       0.000984
