USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaolinite CM5                W1R1Bb AREF
copy of splib05a r 3871                                     
       0.205100      -1.23e34        0.464241
       0.213100      -1.23e34        0.074409
       0.221100       0.211625       0.009240
       0.229100       0.188011       0.009394
       0.236100       0.184056       0.004248
       0.242100       0.178662       0.001920
       0.248100       0.174058       0.002826
       0.253600       0.177682       0.001282
       0.258600       0.171857       0.002212
       0.263600       0.174816       0.001852
       0.268600       0.191760       0.001252
       0.273100       0.182870       0.002658
       0.277100       0.191016       0.001307
       0.281100       0.196452       0.001360
       0.285100       0.200842       0.001434
       0.289100       0.218685       0.001425
       0.293100       0.209503       0.001487
       0.297100       0.213432       0.001372
       0.301100       0.215951       0.002403
       0.305100       0.221017       0.001599
       0.309100       0.220304       0.001639
       0.313100       0.222486       0.001671
       0.317100       0.240391       0.001493
       0.321100       0.225821       0.001660
       0.325100       0.248183       0.001683
       0.329100       0.238940       0.001715
       0.333100       0.252495       0.001721
       0.337100       0.261463       0.001738
       0.341100       0.276559       0.001723
       0.345100       0.291283       0.001129
       0.349100       0.312156       0.001757
       0.353100       0.331033       0.000417
       0.357100       0.353213       0.001678
       0.360600       0.372486       0.000515
       0.363600       0.390866       0.001252
       0.366600       0.410584       0.000299
       0.369600       0.428266       0.000416
       0.372600       0.445798       0.000396
       0.375600       0.463001       0.001706
       0.378600       0.475767       0.000315
       0.381100       0.489465       0.001339
       0.383100       0.498950       0.000490
       0.385100       0.507288       0.000412
       0.387100       0.516645       0.000440
       0.389100       0.525442       0.001030
       0.391100       0.534017       0.000236
       0.393100       0.541061       0.000346
       0.395100       0.548358       0.000941
       0.397100       0.554005       0.001677
       0.399100       0.561931       0.000257
       0.401100       0.566896       0.000827
       0.403100       0.574282       0.000351
       0.405100       0.578661       0.000312
       0.407100       0.585365       0.000274
       0.409100       0.589795       0.000302
       0.411100       0.594517       0.000759
       0.412800       0.602115       0.000858
       0.415800       0.607650       0.000252
       0.418800       0.615211       0.000425
       0.421800       0.622454       0.000416
       0.424800       0.629525       0.000357
       0.427800       0.635750       0.000301
       0.430800       0.644060       0.000347
       0.433800       0.649801       0.000551
       0.436800       0.656244       0.001664
       0.439800       0.661658       0.000254
       0.442800       0.667480       0.000320
       0.445800       0.672267       0.000532
       0.448800       0.674412       0.001690
       0.451300       0.681204       0.000570
       0.453300       0.684368       0.000598
       0.455300       0.685288       0.000518
       0.457300       0.685898       0.001671
       0.459300       0.689307       0.001733
       0.461300       0.693379       0.001794
       0.463300       0.695621       0.000396
       0.465300       0.698727       0.000584
       0.467300       0.700784       0.000525
       0.469300       0.701399       0.001708
       0.471300       0.704471       0.000385
       0.473300       0.707804       0.000605
       0.475300       0.709259       0.000940
       0.477300       0.712022       0.000472
       0.479300       0.713321       0.000447
       0.481300       0.715572       0.000996
       0.483300       0.720702       0.000512
       0.485300       0.720486       0.000353
       0.487300       0.721368       0.001397
       0.489300       0.724591       0.000439
       0.491300       0.725985       0.000422
       0.493300       0.728509       0.000454
       0.495300       0.731176       0.000345
       0.497300       0.731727       0.001723
       0.499300       0.734817       0.000442
       0.501300       0.738022       0.001081
       0.503300       0.741398       0.000503
       0.505300       0.740171       0.000979
       0.507300       0.743655       0.000488
       0.509300       0.745363       0.000427
       0.511300       0.748275       0.000984
       0.513300       0.751926       0.000410
       0.515300       0.751663       0.000504
       0.517300       0.753487       0.000345
       0.519300       0.754627       0.000574
       0.521300       0.757697       0.000656
       0.523300       0.758832       0.000556
       0.525300       0.759987       0.001075
       0.527300       0.765470       0.000545
       0.529300       0.764932       0.000510
       0.531300       0.767241       0.000469
       0.533300       0.768383       0.000635
       0.535300       0.770847       0.000573
       0.537300       0.771736       0.001216
       0.539300       0.774733       0.000663
       0.541300       0.777246       0.000483
       0.543300       0.776966       0.001474
       0.545300       0.777851       0.000384
       0.547300       0.779558       0.000474
       0.549300       0.781362       0.000299
       0.551300       0.781621       0.000374
       0.553300       0.781641       0.000919
       0.555300       0.785910       0.000343
       0.557300       0.785990       0.000324
       0.559300       0.787442       0.000807
       0.561300       0.788723       0.000643
       0.563300       0.788730       0.000832
       0.565300       0.790872       0.000381
       0.567300       0.792935       0.000296
       0.569300       0.793277       0.000459
       0.571300       0.792421       0.001654
       0.573300       0.795254       0.000341
       0.575300       0.796027       0.000443
       0.577300       0.800843       0.000524
       0.579300       0.799816       0.000646
       0.581300       0.799728       0.001721
       0.583300       0.805733       0.000381
       0.585300       0.802811       0.000462
       0.587300       0.803845       0.001676
       0.589300       0.806499       0.000575
       0.591300       0.807865       0.001273
       0.593300       0.809927       0.000330
       0.595300       0.810582       0.000503
       0.597300       0.812380       0.000445
       0.599300       0.811506       0.001683
       0.601100       0.815205       0.000568
       0.602700       0.814571       0.001320
       0.604300       0.816629       0.000516
       0.605900       0.817370       0.000516
       0.607500       0.817717       0.000998
       0.609100       0.817026       0.001741
       0.610700       0.818200       0.000381
       0.612300       0.820261       0.001024
       0.613900       0.820154       0.000312
       0.615500       0.821454       0.000286
       0.617100       0.823438       0.000571
       0.618700       0.823062       0.000415
       0.620300       0.823633       0.000358
       0.621900       0.824692       0.001653
       0.623500       0.826836       0.000570
       0.625100       0.826186       0.000832
       0.626700       0.827319       0.000433
       0.628300       0.828937       0.000468
       0.629900       0.827482       0.001632
       0.631700       0.829681       0.000310
       0.633700       0.831398       0.000833
       0.635700       0.831800       0.000488
       0.637700       0.832897       0.000914
       0.639700       0.834164       0.000412
       0.641700       0.834750       0.000469
       0.643700       0.835430       0.000498
       0.645700       0.836978       0.001181
       0.647700       0.835751       0.001639
       0.649700       0.837922       0.001094
       0.651700       0.840209       0.000592
       0.653700       0.839169       0.001652
       0.655700       0.841030       0.000453
       0.657700       0.841920       0.000565
       0.659700       0.842900       0.001667
       0.661700       0.844185       0.000611
       0.663700       0.844908       0.000634
       0.665700       0.850039       0.000422
       0.667700       0.847218       0.000530
       0.670200       0.847506       0.001749
       0.673200       0.849443       0.000457
       0.676200       0.850609       0.001062
       0.679200       0.851876       0.000344
       0.682200       0.854437       0.000490
       0.685200       0.852974       0.001699
       0.688200       0.856210       0.000459
       0.691200       0.857501       0.000575
       0.694200       0.858795       0.001724
       0.697200       0.859722       0.000846
       0.700200       0.861138       0.001294
       0.702000       0.862027       0.000591
       0.704000       0.860722       0.000439
       0.706000       0.863449       0.001111
       0.708000       0.864649       0.000578
       0.710000       0.866487       0.000525
       0.712000       0.866720       0.000677
       0.714000       0.864826       0.000506
       0.716000       0.866798       0.000538
       0.718000       0.868312       0.000659
       0.720000       0.864642       0.001774
       0.722000       0.870347       0.000385
       0.724000       0.868108       0.000499
       0.726000       0.870399       0.000637
       0.728000       0.870535       0.000598
       0.730000       0.871457       0.001662
       0.732000       0.875802       0.000516
       0.734000       0.872347       0.001717
       0.736000       0.873427       0.000634
       0.738000       0.873374       0.000673
       0.740000       0.873547       0.001713
       0.742000       0.874983       0.000651
       0.744000       0.874527       0.001770
       0.746000       0.875106       0.001745
       0.748000       0.878286       0.000781
       0.750500       0.877240       0.000611
       0.753500       0.876060       0.001767
       0.756500       0.877915       0.000415
       0.759500       0.879408       0.000654
       0.762500       0.880052       0.000636
       0.765500       0.880818       0.000745
       0.768500       0.878243       0.000644
       0.771500       0.880577       0.000561
       0.774500       0.881395       0.000695
       0.777500       0.883238       0.001819
       0.781000       0.883039       0.000556
       0.785000       0.882552       0.001781
       0.789000       0.884501       0.000741
       0.793000       0.886077       0.000538
       0.797000       0.883685       0.001646
       0.801500       0.886469       0.000675
       0.806500       0.887898       0.001657
       0.811500       0.887322       0.000760
       0.816500       0.891648       0.000770
       0.822000       0.889841       0.001778
       0.828000       0.894394       0.000841
       0.835000       0.890488       0.001923
       0.843000       0.891042       0.001915
       0.851000       0.895646       0.002716
       0.859000       0.896508       0.001986
       0.871000       0.899918       0.001958
       0.883000       0.902792       0.001944
       0.894000       0.900425       0.001819
       0.904000       0.898858       0.001988
       0.914000       0.897130       0.001535
       0.924000       0.900265       0.001217
       0.933000       0.898542       0.001524
       0.941000       0.895079       0.001656
       0.949000       0.887733       0.000950
       0.957000       0.884842       0.001141
       0.964000       0.883666       0.001542
       0.970000       0.885549       0.001578
       0.976000       0.897079       0.001328
       0.982000       0.897037       0.001866
       0.988000       0.899436       0.001124
       0.994000       0.902459       0.001182
       1.000000       0.901811       0.001068
       1.006000       0.901995       0.001544
       1.012000       0.903789       0.001241
       1.018000       0.905304       0.001225
       1.023500       0.902495       0.001734
       1.028500       0.905474       0.001099
       1.033500       0.903702       0.001116
       1.038500       0.904050       0.001046
       1.043500       0.900336       0.000814
       1.048500       0.900588       0.001700
       1.053500       0.903009       0.000950
       1.058500       0.901742       0.001629
       1.063500       0.901816       0.001097
       1.068500       0.901944       0.000909
       1.073500       0.903038       0.001125
       1.078500       0.900175       0.000979
       1.083500       0.903409       0.000890
       1.088500       0.901483       0.000987
       1.093500       0.901430       0.000993
       1.098500       0.901502       0.001191
       1.103500       0.901959       0.001348
       1.108500       0.901840       0.001147
       1.113500       0.900075       0.000955
       1.118500       0.900014       0.001163
       1.123500       0.901606       0.001021
       1.128500       0.897447       0.000661
       1.133500       0.901261       0.000824
       1.138500       0.900754       0.001127
       1.143500       0.902273       0.000974
       1.148500       0.901006       0.000735
       1.153500       0.901314       0.000887
       1.158500       0.900865       0.001063
       1.163500       0.899095       0.001189
       1.168500       0.899174       0.001070
       1.173500       0.900060       0.001239
       1.178500       0.899097       0.001207
       1.183500       0.902158       0.001472
       1.188500       0.901696       0.001513
       1.193500       0.899946       0.001159
       1.198500       0.899235       0.000802
       1.203500       0.897087       0.001058
       1.208500       0.898565       0.000942
       1.213500       0.895253       0.001038
       1.218500       0.893496       0.001060
       1.223500       0.889542       0.000963
       1.228500       0.888848       0.000829
       1.233500       0.884960       0.001182
       1.238500       0.880300       0.000905
       1.243500       0.882952       0.001071
       1.248500       0.884784       0.000874
       1.253500       0.885614       0.000900
       1.258500       0.890044       0.000705
       1.263500       0.889037       0.000851
       1.268500       0.888909       0.000998
       1.273500       0.888814       0.000932
       1.278500       0.883248       0.001017
       1.283500       0.880214       0.000768
       1.288500       0.869671       0.001242
       1.293500       0.863390       0.000768
       1.298500       0.859001       0.000783
       1.303500       0.851196       0.000852
       1.308500       0.845549       0.000919
       1.313500       0.845448       0.000828
       1.318500       0.840037       0.001089
       1.323500       0.836530       0.001134
       1.328500       0.831181       0.001051
       1.333500       0.831597       0.000972
       1.338500       0.828868       0.000968
       1.343500       0.828067       0.000811
       1.348500       0.817723       0.000933
       1.353500       0.793043       0.000873
       1.358500       0.780669       0.001175
       1.363500       0.781304       0.001052
       1.368500       0.777255       0.001135
       1.373500       0.768641       0.001189
       1.378500       0.736899       0.001177
       1.383500       0.703167       0.001310
       1.388500       0.662082       0.000910
       1.393500       0.624057       0.001149
       1.398500       0.630196       0.001158
       1.403500       0.642726       0.001150
       1.408500       0.653584       0.001182
       1.413500       0.570553       0.000926
       1.418500       0.665985       0.001037
       1.423500       0.777234       0.001343
       1.428500       0.812087       0.000894
       1.433500       0.830813       0.001244
       1.438500       0.845273       0.001305
       1.443500       0.851955       0.001364
       1.448500       0.856706       0.001101
       1.453500       0.862826       0.001458
       1.458500       0.866936       0.001094
       1.463500       0.868911       0.001246
       1.468500       0.871282       0.001296
       1.473500       0.871574       0.001508
       1.478500       0.874001       0.001350
       1.483500       0.876108       0.001613
       1.488500       0.879268       0.001212
       1.493500       0.876753       0.001454
       1.498500       0.877688       0.001573
       1.503500       0.884588       0.001807
       1.508500       0.883030       0.001576
       1.513500       0.884808       0.001685
       1.518500       0.884055       0.001252
       1.523500       0.892666       0.001690
       1.528500       0.885678       0.001798
       1.534000       0.890099       0.000987
       1.540000       0.887993       0.001087
       1.546000       0.888224       0.001174
       1.552000       0.889027       0.001060
       1.558000       0.892734       0.001129
       1.564000       0.892661       0.000923
       1.570500       0.886440       0.000890
       1.577500       0.888170       0.001095
       1.584500       0.892040       0.000950
       1.591500       0.888772       0.000939
       1.598500       0.889632       0.001186
       1.605500       0.890491       0.001127
       1.612500       0.890026       0.000686
       1.619500       0.889191       0.000867
       1.626500       0.888804       0.001095
       1.633500       0.889543       0.001104
       1.640500       0.888021       0.000861
       1.647500       0.885825       0.001355
       1.654500       0.885487       0.001362
       1.661500       0.887382       0.001685
       1.668500       0.886055       0.001386
       1.676000       0.884234       0.001493
       1.684000       0.882110       0.001439
       1.692000       0.878503       0.001966
       1.700000       0.883648       0.002010
       1.708000       0.877182       0.001807
       1.716000       0.878343       0.001623
       1.724000       0.873216       0.001993
       1.732000       0.872463       0.001879
       1.740000       0.869868       0.001957
       1.748000       0.865417       0.001995
       1.756000       0.865974       0.001976
       1.764000       0.862883       0.001895
       1.772000       0.859301       0.001181
       1.780000       0.852275       0.001455
       1.788000       0.843166       0.001666
       1.796000       0.838530       0.001247
       1.805000       0.836804       0.000917
       1.815000       0.829740       0.000955
       1.825000       0.829490       0.001170
       1.835000       0.834840       0.001655
       1.845000       0.827487       0.001298
       1.855000       0.840904       0.001801
       1.865000       0.839126       0.001147
       1.875000       0.831446       0.001144
       1.885000       0.812630       0.001239
       1.895000       0.795838       0.001358
       1.905000       0.776879       0.001276
       1.915000       0.762065       0.001567
       1.925000       0.765912       0.001362
       1.935000       0.771013       0.001253
       1.945000       0.769293       0.001474
       1.955000       0.771706       0.001681
       1.965000       0.776218       0.001878
       1.975000       0.778002       0.001861
       1.985000       0.779675       0.001469
       1.995000       0.769427       0.001708
       2.005000       0.781058       0.001969
       2.015000       0.774671       0.001554
       2.025000       0.771637       0.001867
       2.035000       0.768496       0.001897
       2.045000       0.762583       0.001917
       2.055000       0.753391       0.001868
       2.065000       0.743502       0.001904
       2.075000       0.727089       0.001890
       2.085000       0.715487       0.001712
       2.095000       0.706903       0.001919
       2.105000       0.695701       0.001907
       2.115000       0.674626       0.001902
       2.125000       0.664005       0.001906
       2.135000       0.636225       0.001912
       2.145000       0.570489       0.001748
       2.155000       0.494643       0.001853
       2.165000       0.473702       0.001487
       2.175000       0.474375       0.001839
       2.185000       0.467588       0.001858
       2.195000       0.454370       0.001814
       2.205000       0.385658       0.001882
       2.215000       0.459562       0.001882
       2.225000       0.566802       0.001913
       2.235000       0.589388       0.001931
       2.245000       0.582970       0.001923
       2.255000       0.582062       0.001924
       2.265000       0.570899       0.001926
       2.275000       0.559247       0.002292
       2.285000       0.539464       0.002897
       2.295000       0.521424       0.003977
       2.305000       0.500386       0.003879
       2.315000       0.492686       0.002503
       2.325000       0.488521       0.001876
       2.335000       0.489752       0.001868
       2.345000       0.478826       0.001845
