USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Knebelite HS419.3B           W1R1Bb AREF
copy of splib05a r 4052                                     
       0.205100      -1.23e34        0.305508
       0.213100      -1.23e34        0.020798
       0.221100       0.028671       0.006008
       0.229100       0.032980       0.002780
       0.236100       0.037235       0.001377
       0.242100       0.039379       0.001143
       0.248100       0.039765       0.001087
       0.253600       0.041135       0.001059
       0.258600       0.042288       0.001044
       0.263600       0.043048       0.001046
       0.268600       0.043744       0.001071
       0.273100       0.046634       0.001092
       0.277100       0.046258       0.001103
       0.281100       0.048038       0.001135
       0.285100       0.048886       0.001178
       0.289100       0.049711       0.001230
       0.293100       0.050487       0.001263
       0.297100       0.052341       0.001304
       0.301100       0.052074       0.001324
       0.305100       0.055387       0.001076
       0.309100       0.056015       0.001418
       0.313100       0.055582       0.001458
       0.317100       0.059309       0.001464
       0.321100       0.058684       0.001502
       0.325100       0.062160       0.001491
       0.329100       0.061612       0.001491
       0.333100       0.062362       0.001502
       0.337100       0.063526       0.001522
       0.341100       0.064253       0.001530
       0.345100       0.066362       0.001490
       0.349100       0.067268       0.001518
       0.353100       0.070985       0.001471
       0.357100       0.073159       0.001215
       0.360600       0.074818       0.001517
       0.363600       0.073957       0.001049
       0.366600       0.078028       0.001514
       0.369600       0.077761       0.000891
       0.372600       0.081270       0.000935
       0.375600       0.080970       0.001079
       0.378600       0.084618       0.001536
       0.381100       0.087454       0.001536
       0.383100       0.084854       0.001131
       0.385100       0.086826       0.001501
       0.387100       0.088482       0.001508
       0.389100       0.089319       0.000685
       0.391100       0.090838       0.000729
       0.393100       0.092958       0.001534
       0.395100       0.093429       0.000987
       0.397100       0.095224       0.001016
       0.399100       0.094144       0.001539
       0.401100       0.092707       0.001557
       0.403100       0.094098       0.001370
       0.405100       0.092981       0.001544
       0.407100       0.091071       0.000823
       0.409100       0.087026       0.001273
       0.411100       0.083118       0.001206
       0.412800       0.085312       0.001575
       0.415800       0.089346       0.001558
       0.418800       0.091901       0.000902
       0.421800       0.097545       0.000882
       0.424800       0.098971       0.000712
       0.427800       0.100720       0.001386
       0.430800       0.102111       0.000991
       0.433800       0.100657       0.001512
       0.436800       0.102036       0.001569
       0.439800       0.103753       0.001261
       0.442800       0.104586       0.000849
       0.445800       0.104642       0.001061
       0.448800       0.104740       0.001512
       0.451300       0.104624       0.001580
       0.453300       0.103779       0.001505
       0.455300       0.105378       0.001556
       0.457300       0.103609       0.001584
       0.459300       0.104361       0.001592
       0.461300       0.106960       0.001583
       0.463300       0.107105       0.001584
       0.465300       0.109430       0.001401
       0.467300       0.110408       0.001403
       0.469300       0.111192       0.001502
       0.471300       0.110351       0.001545
       0.473300       0.114358       0.001112
       0.475300       0.116600       0.001480
       0.477300       0.118769       0.001217
       0.479300       0.118051       0.001423
       0.481300       0.117687       0.001512
       0.483300       0.118704       0.001542
       0.485300       0.117409       0.000750
       0.487300       0.120658       0.001583
       0.489300       0.121134       0.001585
       0.491300       0.121830       0.001595
       0.493300       0.122323       0.001565
       0.495300       0.122012       0.001591
       0.497300       0.122037       0.001589
       0.499300       0.122342       0.001613
       0.501300       0.126357       0.001617
       0.503300       0.126759       0.001601
       0.505300       0.127137       0.001560
       0.507300       0.126994       0.000782
       0.509300       0.126374       0.001072
       0.511300       0.129917       0.001394
       0.513300       0.131527       0.001267
       0.515300       0.131289       0.001629
       0.517300       0.131354       0.001599
       0.519300       0.134420       0.001557
       0.521300       0.134437       0.001587
       0.523300       0.131277       0.001099
       0.525300       0.135794       0.001582
       0.527300       0.136247       0.000942
       0.529300       0.133878       0.001102
       0.531300       0.137361       0.001627
       0.533300       0.137263       0.001606
       0.535300       0.137803       0.001255
       0.537300       0.139319       0.001435
       0.539300       0.140403       0.001609
       0.541300       0.140005       0.001349
       0.543300       0.140439       0.000731
       0.545300       0.142734       0.001594
       0.547300       0.144005       0.001040
       0.549300       0.144497       0.000957
       0.551300       0.146324       0.001564
       0.553300       0.147013       0.001574
       0.555300       0.146827       0.001541
       0.557300       0.145941       0.001523
       0.559300       0.148624       0.001558
       0.561300       0.151564       0.001530
       0.563300       0.152339       0.001443
       0.565300       0.154133       0.001085
       0.567300       0.152345       0.001185
       0.569300       0.156558       0.001609
       0.571300       0.158367       0.001572
       0.573300       0.158041       0.001617
       0.575300       0.157613       0.000842
       0.577300       0.159661       0.000593
       0.579300       0.160851       0.000805
       0.581300       0.162144       0.001455
       0.583300       0.163360       0.001393
       0.585300       0.164379       0.001622
       0.587300       0.166343       0.001622
       0.589300       0.167527       0.001614
       0.591300       0.167069       0.001615
       0.593300       0.167980       0.001637
       0.595300       0.168588       0.001275
       0.597300       0.169193       0.001316
       0.599300       0.169949       0.001639
       0.601100       0.172783       0.001634
       0.602700       0.171430       0.001562
       0.604300       0.171631       0.001150
       0.605900       0.173455       0.001620
       0.607500       0.172911       0.001197
       0.609100       0.173137       0.000818
       0.610700       0.175841       0.000932
       0.612300       0.177219       0.001578
       0.613900       0.179434       0.001623
       0.615500       0.179266       0.001581
       0.617100       0.181208       0.001574
       0.618700       0.181929       0.001616
       0.620300       0.184283       0.001609
       0.621900       0.183320       0.001601
       0.623500       0.185489       0.001541
       0.625100       0.187661       0.001636
       0.626700       0.187414       0.001185
       0.628300       0.188497       0.001617
       0.629900       0.190031       0.001588
       0.631700       0.193765       0.001114
       0.633700       0.198160       0.001434
       0.635700       0.200366       0.001568
       0.637700       0.200071       0.001103
       0.639700       0.201937       0.000951
       0.641700       0.208695       0.001613
       0.643700       0.208022       0.001623
       0.645700       0.210906       0.000656
       0.647700       0.213681       0.001095
       0.649700       0.216365       0.001082
       0.651700       0.217626       0.000751
       0.653700       0.221301       0.000744
       0.655700       0.222816       0.000951
       0.657700       0.224786       0.000884
       0.659700       0.226869       0.001248
       0.661700       0.230236       0.001015
       0.663700       0.229510       0.000860
       0.665700       0.233369       0.001559
       0.667700       0.231906       0.001584
       0.670200       0.233203       0.000773
       0.673200       0.239094       0.001617
       0.676200       0.239795       0.001191
       0.679200       0.238429       0.001580
       0.682200       0.241953       0.001524
       0.685200       0.242305       0.000693
       0.688200       0.243405       0.001412
       0.691200       0.244069       0.001589
       0.694200       0.246129       0.001362
       0.697200       0.247976       0.001615
       0.700200       0.251047       0.001275
       0.702000       0.248645       0.001656
       0.704000       0.249677       0.001660
       0.706000       0.249678       0.001321
       0.708000       0.248780       0.001203
       0.710000       0.250743       0.000963
       0.712000       0.250839       0.000996
       0.714000       0.250261       0.000690
       0.716000       0.252656       0.001311
       0.718000       0.252847       0.001371
       0.720000       0.251569       0.000861
       0.722000       0.252753       0.001454
       0.724000       0.252764       0.000777
       0.726000       0.252876       0.001359
       0.728000       0.255157       0.001366
       0.730000       0.254695       0.001609
       0.732000       0.253159       0.000796
       0.734000       0.254554       0.001582
       0.736000       0.253080       0.001646
       0.738000       0.252411       0.001505
       0.740000       0.254201       0.001642
       0.742000       0.254270       0.001356
       0.744000       0.253863       0.001474
       0.746000       0.253963       0.001600
       0.748000       0.253854       0.001206
       0.750500       0.252028       0.001205
       0.753500       0.250258       0.001185
       0.756500       0.247737       0.000995
       0.759500       0.249133       0.001168
       0.762500       0.247493       0.000959
       0.765500       0.245219       0.001635
       0.768500       0.245438       0.001628
       0.771500       0.242753       0.001505
       0.774500       0.239835       0.001325
       0.777500       0.239131       0.001034
       0.781000       0.237059       0.000799
       0.785000       0.234030       0.001391
       0.789000       0.232544       0.001367
       0.793000       0.228026       0.001464
       0.797000       0.223870       0.001127
       0.801500       0.219811       0.000959
       0.806500       0.217378       0.001672
       0.811500       0.213637       0.001578
       0.816500       0.208686       0.000841
       0.822000       0.204689       0.001707
       0.828000       0.198083       0.001623
       0.835000       0.187897       0.001724
       0.843000      -1.23e34        0.000000
       0.851000       0.178544       0.001902
       0.859000       0.171147       0.001785
       0.871000       0.162257       0.001787
       0.883000       0.157201       0.001775
       0.894000       0.151701       0.001793
       0.904000       0.149002       0.001280
       0.914000       0.143875       0.001426
       0.924000       0.142349       0.001250
       0.933000       0.140213       0.001555
       0.941000       0.137738       0.001750
       0.949000       0.134780       0.001300
       0.957000       0.137863       0.001290
       0.964000       0.133850       0.001715
       0.970000       0.132207       0.001231
       0.976000       0.136066       0.001730
       0.982000       0.134804       0.001061
       0.988000       0.136904       0.000836
       0.994000       0.135809       0.001211
       1.000000       0.135650       0.001793
       1.006000       0.135926       0.001515
       1.012000       0.138390       0.001785
       1.018000       0.135737       0.001089
       1.023500       0.140850       0.001645
       1.028500       0.137117       0.001732
       1.033500       0.139139       0.001721
       1.038500       0.140397       0.001805
       1.043500       0.139132       0.001125
       1.048500       0.138816       0.001686
       1.053500       0.141465       0.001219
       1.058500       0.142204       0.001235
       1.063500       0.139887       0.001644
       1.068500       0.140520       0.001768
       1.073500       0.141735       0.001173
       1.078500       0.141228       0.001580
       1.083500       0.141076       0.001784
       1.088500       0.139235       0.000875
       1.093500       0.140571       0.000975
       1.098500       0.137829       0.001262
       1.103500       0.138328       0.001662
       1.108500       0.140237       0.001758
       1.113500       0.138296       0.001381
       1.118500       0.139521       0.001075
       1.123500       0.138346       0.001109
       1.128500       0.138091       0.001186
       1.133500       0.137735       0.000853
       1.138500       0.137026       0.001369
       1.143500       0.137970       0.001183
       1.148500       0.138201       0.001735
       1.153500       0.138003       0.001233
       1.158500       0.136764       0.001290
       1.163500       0.138090       0.000959
       1.168500       0.137348       0.001484
       1.173500       0.136944       0.001175
       1.178500       0.139914       0.001682
       1.183500       0.141530       0.001758
       1.188500       0.140537       0.001204
       1.193500       0.140286       0.001336
       1.198500       0.138996       0.000777
       1.203500       0.141308       0.001466
       1.208500       0.143576       0.000986
       1.213500       0.142589       0.001060
       1.218500       0.140783       0.000759
       1.223500       0.142188       0.000934
       1.228500       0.144493       0.001818
       1.233500       0.144293       0.001181
       1.238500       0.144845       0.000875
       1.243500       0.146612       0.001225
       1.248500       0.147065       0.001228
       1.253500       0.148076       0.001103
       1.258500       0.144758       0.001614
       1.263500       0.148240       0.001188
       1.268500       0.147198       0.001393
       1.273500       0.149412       0.001008
       1.278500       0.149694       0.001042
       1.283500       0.150542       0.001193
       1.288500       0.151412       0.000878
       1.293500       0.153480       0.001147
       1.298500       0.153903       0.001016
       1.303500       0.156440       0.000964
       1.308500       0.156584       0.000966
       1.313500       0.157391       0.001350
       1.318500       0.156409       0.000996
       1.323500       0.156790       0.000802
       1.328500       0.159102       0.001340
       1.333500       0.159407       0.001615
       1.338500       0.162104       0.000945
       1.343500       0.162778       0.001140
       1.348500       0.164700       0.001766
       1.353500       0.165915       0.001334
       1.358500       0.165224       0.001245
       1.363500       0.169204       0.001682
       1.368500       0.167351       0.001369
       1.373500       0.171084       0.001768
       1.378500       0.168175       0.000811
       1.383500       0.173738       0.001589
       1.388500       0.172019       0.001440
       1.393500       0.176271       0.001518
       1.398500       0.174846       0.001803
       1.403500       0.178949       0.001808
       1.408500       0.175550       0.001037
       1.413500       0.179921       0.001735
       1.418500       0.184216       0.001821
       1.423500       0.183711       0.001314
       1.428500       0.187848       0.001545
       1.433500       0.192076       0.001752
       1.438500       0.191600       0.001442
       1.443500       0.188986       0.001225
       1.448500       0.194395       0.001774
       1.453500       0.193483       0.001063
       1.458500       0.199867       0.001379
       1.463500       0.201883       0.001479
       1.468500       0.204246       0.001843
       1.473500       0.206518       0.001243
       1.478500       0.207463       0.001239
       1.483500       0.211478       0.001807
       1.488500       0.212643       0.001792
       1.493500       0.218456       0.001756
       1.498500       0.218557       0.001839
       1.503500       0.219495       0.001750
       1.508500       0.218111       0.001465
       1.513500       0.222448       0.001639
       1.518500       0.227366       0.001850
       1.523500       0.230992       0.001776
       1.528500       0.228432       0.001554
       1.534000       0.235917       0.001810
       1.540000       0.236864       0.001721
       1.546000       0.238704       0.001406
       1.552000       0.240505       0.001766
       1.558000       0.243492       0.001837
       1.564000       0.246337       0.000995
       1.570500       0.248981       0.001217
       1.577500       0.251630       0.001156
       1.584500       0.253040       0.000972
       1.591500       0.258602       0.001218
       1.598500       0.259757       0.001197
       1.605500       0.263806       0.000959
       1.612500       0.268560       0.001018
       1.619500       0.268675       0.000940
       1.626500       0.270929       0.001112
       1.633500       0.275293       0.001552
       1.640500       0.273673       0.001393
       1.647500       0.277743       0.001012
       1.654500       0.280820       0.001807
       1.661500       0.284085       0.001834
       1.668500       0.284035       0.001810
       1.676000       0.287581       0.001783
       1.684000       0.289745       0.001772
       1.692000       0.291568       0.001827
       1.700000       0.292428       0.001643
       1.708000       0.295061       0.001807
       1.716000       0.300948       0.001867
       1.724000       0.298775       0.001842
       1.732000       0.299435       0.001804
       1.740000       0.298889       0.001822
       1.748000       0.301100       0.001864
       1.756000       0.304341       0.001846
       1.764000       0.303163       0.001860
       1.772000       0.305102       0.001649
       1.780000       0.308941       0.001752
       1.788000       0.304899       0.001825
       1.796000       0.306535       0.001316
       1.805000       0.306068       0.000966
       1.815000       0.305151       0.000942
       1.825000       0.306297       0.001228
       1.835000       0.307545       0.001338
       1.845000       0.308734       0.000811
       1.855000       0.307598       0.001670
       1.865000       0.303386       0.001349
       1.875000       0.307234       0.001340
       1.885000       0.301883       0.001479
       1.895000       0.305262       0.001600
       1.905000       0.297759       0.001283
       1.915000       0.298143       0.001418
       1.925000       0.297764       0.001566
       1.935000       0.295525       0.001837
       1.945000       0.294813       0.001825
       1.955000       0.294932       0.001799
       1.965000       0.296101       0.001515
       1.975000       0.295452       0.001847
       1.985000       0.295759       0.001883
       1.995000       0.293455       0.001682
       2.005000       0.295520       0.001847
       2.015000       0.294696       0.001619
       2.025000       0.294426       0.001841
       2.035000       0.295520       0.001754
       2.045000       0.296816       0.001820
       2.055000       0.293074       0.001843
       2.065000       0.293015       0.001843
       2.075000       0.293405       0.001860
       2.085000       0.296117       0.001840
       2.095000       0.295627       0.001838
       2.105000       0.293838       0.001826
       2.115000       0.291950       0.001857
       2.125000       0.297128       0.001800
       2.135000       0.291718       0.001788
       2.145000       0.292090       0.001816
       2.155000       0.292379       0.001850
       2.165000       0.291724       0.001182
       2.175000       0.289850       0.001812
       2.185000       0.289331       0.001844
       2.195000       0.287631       0.001857
       2.205000       0.285523       0.001893
       2.215000       0.283420       0.001874
       2.225000       0.287578       0.001876
       2.235000       0.283194       0.001889
       2.245000       0.281993       0.001882
       2.255000       0.278368       0.001891
       2.265000       0.275805       0.001898
       2.275000       0.278670       0.001953
       2.285000       0.276496       0.002251
       2.295000       0.273893       0.003838
       2.305000       0.268440       0.003347
       2.315000       0.268601       0.002288
       2.325000       0.268794       0.001865
       2.335000       0.264395       0.001834
       2.345000       0.262250       0.001829
