USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lepidolite NMNH105538        W1R1Bb AREF
copy of splib05a r 4123                                     
       0.205100      -1.23e34        0.008336
       0.213100       0.050046       0.001893
       0.221100       0.045911       0.001537
       0.229100       0.045358       0.001274
       0.236100       0.045442       0.001195
       0.242100       0.044610       0.001103
       0.248100       0.045870       0.000635
       0.253600       0.046388       0.000563
       0.258600       0.048530       0.000540
       0.263600       0.050859       0.000571
       0.268600       0.054195       0.000516
       0.273100       0.058360       0.000583
       0.277100       0.062240       0.000362
       0.281100       0.066399       0.000516
       0.285100       0.071946       0.000357
       0.289100       0.078021       0.000448
       0.293100       0.084485       0.000707
       0.297100       0.091683       0.000840
       0.301100       0.100727       0.001126
       0.305100       0.108813       0.000549
       0.309100       0.119028       0.001042
       0.313100       0.129654       0.000998
       0.317100       0.140058       0.000844
       0.321100       0.152915       0.000771
       0.325100       0.166068       0.000681
       0.329100       0.180395       0.000547
       0.333100       0.195481       0.001038
       0.337100       0.212080       0.000521
       0.341100       0.229580       0.000805
       0.345100       0.247980       0.000513
       0.349100       0.266207       0.000613
       0.353100       0.282634       0.001272
       0.357100       0.299420       0.000582
       0.360600       0.314430       0.000616
       0.363600       0.327154       0.000794
       0.366600       0.336345       0.000618
       0.369600       0.345843       0.000532
       0.372600       0.354849       0.000529
       0.375600       0.362424       0.000443
       0.378600       0.368593       0.000489
       0.381100       0.373193       0.000513
       0.383100       0.375037       0.000565
       0.385100       0.376651       0.000778
       0.387100       0.378318       0.000662
       0.389100       0.378885       0.000526
       0.391100       0.378465       0.000563
       0.393100       0.378272       0.001268
       0.395100       0.376917       0.000759
       0.397100       0.373190       0.001182
       0.399100       0.372213       0.000672
       0.401100       0.368692       0.000657
       0.403100       0.363555       0.000712
       0.405100       0.360506       0.000458
       0.407100       0.356430       0.000536
       0.409100       0.351151       0.000494
       0.411100       0.346670       0.001058
       0.412800       0.341830       0.000953
       0.415800       0.334172       0.000519
       0.418800       0.328251       0.000602
       0.421800       0.322338       0.000581
       0.424800       0.316163       0.000539
       0.427800       0.311108       0.000594
       0.430800       0.305240       0.000589
       0.433800       0.300844       0.000523
       0.436800       0.296254       0.000497
       0.439800       0.292935       0.000471
       0.442800       0.289776       0.000415
       0.445800       0.287767       0.000543
       0.448800       0.286279       0.000666
       0.451300       0.284842       0.000731
       0.453300       0.285668       0.000617
       0.455300       0.284376       0.000651
       0.457300       0.284274       0.000695
       0.459300       0.284404       0.000688
       0.461300       0.284402       0.000665
       0.463300       0.285288       0.000576
       0.465300       0.286145       0.000620
       0.467300       0.286607       0.000573
       0.469300       0.286278       0.000557
       0.471300       0.287110       0.000676
       0.473300       0.287279       0.000661
       0.475300       0.286871       0.000557
       0.477300       0.287528       0.000863
       0.479300       0.286851       0.000734
       0.481300       0.287537       0.000932
       0.483300       0.287688       0.000548
       0.485300       0.286885       0.000912
       0.487300       0.287813       0.000700
       0.489300       0.288489       0.000624
       0.491300       0.288563       0.000676
       0.493300       0.287732       0.000944
       0.495300       0.287808       0.000662
       0.497300       0.287198       0.000608
       0.499300       0.285156       0.000658
       0.501300       0.284344       0.000618
       0.503300       0.281910       0.000984
       0.505300       0.280721       0.000587
       0.507300       0.278829       0.000684
       0.509300       0.276948       0.000597
       0.511300       0.275043       0.000621
       0.513300       0.273649       0.000528
       0.515300       0.272214       0.000639
       0.517300       0.269832       0.000596
       0.519300       0.268757       0.000681
       0.521300       0.267063       0.000639
       0.523300       0.266297       0.000701
       0.525300       0.265110       0.000735
       0.527300       0.263660       0.000617
       0.529300       0.264692       0.000607
       0.531300       0.263251       0.000621
       0.533300       0.262909       0.000695
       0.535300       0.261487       0.000677
       0.537300       0.262186       0.000768
       0.539300       0.262601       0.000987
       0.541300       0.261731       0.000837
       0.543300       0.261845       0.000723
       0.545300       0.261525       0.000652
       0.547300       0.261267       0.000615
       0.549300       0.262138       0.000601
       0.551300       0.261462       0.000604
       0.553300       0.262419       0.000627
       0.555300       0.262669       0.000655
       0.557300       0.262486       0.000527
       0.559300       0.263257       0.000604
       0.561300       0.264212       0.000864
       0.563300       0.265070       0.000613
       0.565300       0.265512       0.000556
       0.567300       0.267292       0.000674
       0.569300       0.268525       0.000636
       0.571300       0.270216       0.000814
       0.573300       0.272235       0.000705
       0.575300       0.274452       0.000560
       0.577300       0.277455       0.000533
       0.579300       0.279784       0.000435
       0.581300       0.283088       0.000561
       0.583300       0.286399       0.000573
       0.585300       0.289349       0.000490
       0.587300       0.293147       0.000583
       0.589300       0.297140       0.000427
       0.591300       0.300693       0.000671
       0.593300       0.305435       0.000842
       0.595300       0.309509       0.000725
       0.597300       0.313936       0.000782
       0.599300       0.318870       0.000547
       0.601100       0.322859       0.000651
       0.602700       0.326599       0.000606
       0.604300       0.331593       0.001368
       0.605900       0.334909       0.001044
       0.607500       0.337827       0.000768
       0.609100       0.342003       0.000656
       0.610700       0.346077       0.001123
       0.612300       0.349204       0.000734
       0.613900       0.354030       0.001085
       0.615500       0.357194       0.000693
       0.617100       0.361106       0.000547
       0.618700       0.363886       0.000684
       0.620300       0.367344       0.001209
       0.621900       0.371377       0.000645
       0.623500       0.375703       0.001150
       0.625100       0.377959       0.000698
       0.626700       0.380792       0.000754
       0.628300       0.384162       0.000895
       0.629900       0.386233       0.001127
       0.631700       0.389509       0.000671
       0.633700       0.392276       0.000634
       0.635700       0.395623       0.000539
       0.637700       0.399337       0.000569
       0.639700       0.400889       0.000642
       0.641700       0.403695       0.000538
       0.643700       0.405288       0.000712
       0.645700       0.407689       0.000616
       0.647700       0.408684       0.000487
       0.649700       0.409986       0.000514
       0.651700       0.411364       0.000611
       0.653700       0.412725       0.000407
       0.655700       0.413030       0.000590
       0.657700       0.413341       0.000633
       0.659700       0.414018       0.000683
       0.661700       0.414005       0.000521
       0.663700       0.414673       0.000652
       0.665700       0.413654       0.000628
       0.667700       0.414278       0.000818
       0.670200       0.412182       0.000934
       0.673200       0.411578       0.000740
       0.676200       0.410065       0.001100
       0.679200       0.408980       0.000529
       0.682200       0.407091       0.000580
       0.685200       0.405721       0.000509
       0.688200       0.403886       0.000531
       0.691200       0.401947       0.000491
       0.694200       0.399778       0.000949
       0.697200       0.397445       0.000527
       0.700200       0.394807       0.001041
       0.702000       0.394285       0.000773
       0.704000       0.392985       0.000640
       0.706000       0.391055       0.000449
       0.708000       0.390021       0.000550
       0.710000       0.388840       0.000764
       0.712000       0.387941       0.000583
       0.714000       0.386527       0.000571
       0.716000       0.385807       0.000410
       0.718000       0.383692       0.000637
       0.720000       0.383028       0.000703
       0.722000       0.381846       0.000437
       0.724000       0.379877       0.000541
       0.726000       0.378389       0.000620
       0.728000       0.377766       0.000843
       0.730000       0.376692       0.000664
       0.732000       0.375120       0.000710
       0.734000       0.374843       0.000664
       0.736000       0.372940       0.000586
       0.738000       0.371867       0.000779
       0.740000       0.370644       0.001046
       0.742000       0.370247       0.000571
       0.744000       0.369318       0.000767
       0.746000       0.368124       0.000627
       0.748000       0.368089       0.000833
       0.750500       0.366793       0.000682
       0.753500       0.366771       0.000897
       0.756500       0.364920       0.000617
       0.759500       0.363762       0.000609
       0.762500       0.362868       0.000498
       0.765500       0.362632       0.000487
       0.768500       0.362263       0.000747
       0.771500       0.361305       0.000674
       0.774500       0.361349       0.000622
       0.777500       0.360543       0.000576
       0.781000       0.359720       0.000555
       0.785000       0.359739       0.000534
       0.789000       0.358689       0.000552
       0.793000       0.358903       0.000720
       0.797000       0.358561       0.000640
       0.801500       0.358305       0.000587
       0.806500       0.359117       0.000650
       0.811500       0.358678       0.000605
       0.816500       0.359123       0.000595
       0.822000       0.358921       0.000832
       0.828000       0.360423       0.000780
       0.835000       0.363118       0.000620
       0.843000       0.363598       0.001068
       0.851000       0.365784       0.001607
       0.859000       0.368574       0.001586
       0.871000       0.376455       0.001527
       0.883000       0.379022       0.001406
       0.894000       0.383070       0.001559
       0.904000       0.384457       0.001117
       0.914000       0.392005       0.001362
       0.924000       0.394900       0.000968
       0.933000       0.402303       0.001575
       0.941000       0.408223       0.000936
       0.949000       0.404772       0.000953
       0.957000       0.405656       0.001214
       0.964000       0.408030       0.001265
       0.970000       0.416707       0.001411
       0.976000       0.425401       0.001002
       0.982000       0.431685       0.000896
       0.988000       0.435470       0.001052
       0.994000       0.438784       0.000701
       1.000000       0.446041       0.000991
       1.006000       0.447739       0.000972
       1.012000       0.451887       0.000926
       1.018000       0.456666       0.000862
       1.023500       0.461351       0.001333
       1.028500       0.466934       0.001012
       1.033500       0.470235       0.001093
       1.038500       0.474478       0.000942
       1.043500       0.475218       0.001120
       1.048500       0.480880       0.000932
       1.053500       0.481441       0.001089
       1.058500       0.488180       0.000699
       1.063500       0.491602       0.000944
       1.068500       0.494275       0.000778
       1.073500       0.498896       0.001067
       1.078500       0.502318       0.000992
       1.083500       0.505870       0.000672
       1.088500       0.510456       0.001102
       1.093500       0.514953       0.001018
       1.098500       0.518966       0.000931
       1.103500       0.520918       0.000958
       1.108500       0.524691       0.000952
       1.113500       0.526839       0.001200
       1.118500       0.531903       0.001042
       1.123500       0.536163       0.000841
       1.128500       0.538622       0.000747
       1.133500       0.542256       0.000599
       1.138500       0.546232       0.000698
       1.143500       0.551815       0.000903
       1.148500       0.554201       0.000855
       1.153500       0.556579       0.000853
       1.158500       0.559964       0.000861
       1.163500       0.563786       0.000650
       1.168500       0.566264       0.000953
       1.173500       0.569813       0.000898
       1.178500       0.572743       0.000866
       1.183500       0.577432       0.001041
       1.188500       0.581449       0.001229
       1.193500       0.583625       0.000972
       1.198500       0.586470       0.000875
       1.203500       0.590716       0.000645
       1.208500       0.592618       0.000800
       1.213500       0.595971       0.000964
       1.218500       0.599675       0.001078
       1.223500       0.603856       0.000898
       1.228500       0.605340       0.000682
       1.233500       0.608388       0.000866
       1.238500       0.608824       0.000748
       1.243500       0.606449       0.001036
       1.248500       0.606313       0.000842
       1.253500       0.612389       0.001037
       1.258500       0.619961       0.000671
       1.263500       0.623285       0.000660
       1.268500       0.627126       0.000744
       1.273500       0.629223       0.000806
       1.278500       0.631290       0.000858
       1.283500       0.631245       0.000610
       1.288500       0.630737       0.000693
       1.293500       0.629897       0.000706
       1.298500       0.626419       0.000790
       1.303500       0.626693       0.000931
       1.308500       0.624769       0.000600
       1.313500       0.625933       0.000865
       1.318500       0.624426       0.000869
       1.323500       0.626171       0.000947
       1.328500       0.627668       0.000818
       1.333500       0.628521       0.000713
       1.338500       0.632684       0.000801
       1.343500       0.637612       0.000875
       1.348500       0.643686       0.001013
       1.353500       0.642802       0.001179
       1.358500       0.643623       0.000771
       1.363500       0.633900       0.001347
       1.368500       0.623670       0.000972
       1.373500       0.612360       0.001070
       1.378500       0.585902       0.000997
       1.383500       0.511903       0.001562
       1.388500       0.444616       0.001139
       1.393500       0.393720       0.000911
       1.398500       0.320566       0.001035
       1.403500       0.270387       0.001330
       1.408500       0.247731       0.000827
       1.413500       0.247932       0.000928
       1.418500       0.319763       0.000839
       1.423500       0.427910       0.000986
       1.428500       0.507961       0.001101
       1.433500       0.559766       0.001125
       1.438500       0.597209       0.000883
       1.443500       0.630318       0.000895
       1.448500       0.646293       0.000763
       1.453500       0.656452       0.001022
       1.458500       0.662665       0.000822
       1.463500       0.667373       0.000911
       1.468500       0.670280       0.001178
       1.473500       0.674371       0.000919
       1.478500       0.677634       0.000912
       1.483500       0.686737       0.001027
       1.488500       0.689264       0.001296
       1.493500       0.691692       0.001299
       1.498500       0.694272       0.001191
       1.503500       0.698034       0.001097
       1.508500       0.703808       0.001349
       1.513500       0.704659       0.001043
       1.518500       0.707986       0.001006
       1.523500       0.711295       0.001177
       1.528500       0.714524       0.001062
       1.534000       0.715345       0.001174
       1.540000       0.718069       0.000838
       1.546000       0.719358       0.001034
       1.552000       0.720844       0.000917
       1.558000       0.726013       0.001176
       1.564000       0.726269       0.000848
       1.570500       0.724299       0.000997
       1.577500       0.726681       0.000845
       1.584500       0.729305       0.000581
       1.591500       0.731099       0.000862
       1.598500       0.733685       0.000832
       1.605500       0.734642       0.000922
       1.612500       0.736221       0.000822
       1.619500       0.737409       0.001018
       1.626500       0.737516       0.000813
       1.633500       0.740421       0.000837
       1.640500       0.740770       0.001022
       1.647500       0.743176       0.001048
       1.654500       0.745710       0.000953
       1.661500       0.747555       0.000968
       1.668500       0.744968       0.000744
       1.676000       0.745908       0.001126
       1.684000       0.745765       0.000952
       1.692000       0.752099       0.001490
       1.700000       0.748289       0.001487
       1.708000       0.751527       0.001670
       1.716000       0.746722       0.001243
       1.724000       0.744656       0.001752
       1.732000       0.745976       0.001519
       1.740000       0.749128       0.001744
       1.748000       0.749275       0.001735
       1.756000       0.744182       0.001266
       1.764000       0.739669       0.001296
       1.772000       0.737457       0.001144
       1.780000       0.739023       0.001181
       1.788000       0.743757       0.001439
       1.796000       0.740066       0.001651
       1.805000       0.735218       0.000867
       1.815000       0.729209       0.000751
       1.825000       0.715940       0.000904
       1.835000       0.704113       0.001369
       1.845000       0.706396       0.001213
       1.855000       0.709694       0.001132
       1.865000       0.704718       0.001227
       1.875000       0.697848       0.001149
       1.885000       0.675101       0.001121
       1.895000       0.626661       0.001101
       1.905000       0.573656       0.001118
       1.915000       0.564790       0.001151
       1.925000       0.580377       0.000989
       1.935000       0.599906       0.001063
       1.945000       0.604504       0.001043
       1.955000       0.607136       0.000857
       1.965000       0.608574       0.001018
       1.975000       0.611769       0.001145
       1.985000       0.614645       0.001425
       1.995000       0.620500       0.001357
       2.005000       0.622030       0.001099
       2.015000       0.623931       0.001190
       2.025000       0.625720       0.001272
       2.035000       0.624869       0.001560
       2.045000       0.622813       0.001469
       2.055000       0.618793       0.001301
       2.065000       0.614645       0.001699
       2.075000       0.593854       0.001688
       2.085000       0.554577       0.001549
       2.095000       0.531666       0.001597
       2.105000       0.509368       0.001652
       2.115000       0.486960       0.001447
       2.125000       0.482340       0.001712
       2.135000       0.478260       0.001713
       2.145000       0.462054       0.001645
       2.155000       0.425438       0.000776
       2.165000       0.361984       0.001645
       2.175000       0.269158       0.001628
       2.185000       0.182220       0.001657
       2.195000       0.138438       0.001642
       2.205000       0.142173       0.001674
       2.215000       0.196929       0.001730
       2.225000       0.276800       0.001716
       2.235000       0.334308       0.001729
       2.245000       0.361529       0.001738
       2.255000       0.376538       0.001733
       2.265000       0.381025       0.001732
       2.275000       0.377637       0.001735
       2.285000       0.369137       0.002139
       2.295000       0.348697       0.003061
       2.305000       0.318944       0.002669
       2.315000       0.272956       0.001994
       2.325000       0.232151       0.001732
       2.335000       0.199208       0.001716
       2.345000       0.179862       0.001655
