USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Microcline HS82.3B Feldspar  W1R1Bb AREF
copy of splib05a r 4401                                     
       0.205100      -1.23e34        0.254974
       0.213100      -1.23e34        0.021074
       0.221100       0.241922       0.005488
       0.229100       0.203775       0.002211
       0.236100       0.157133       0.001429
       0.242100       0.142651       0.001149
       0.248100       0.142360       0.001092
       0.253600       0.153736       0.001068
       0.258600       0.167756       0.001048
       0.263600       0.188511       0.001058
       0.268600       0.211710       0.001084
       0.273100       0.240121       0.001109
       0.277100       0.260766       0.001127
       0.281100       0.285786       0.001155
       0.285100       0.304064       0.001208
       0.289100       0.325005       0.001261
       0.293100       0.334444       0.001304
       0.297100       0.346908       0.001346
       0.301100       0.354261       0.001370
       0.305100       0.363018       0.001447
       0.309100       0.364215       0.001442
       0.313100       0.369837       0.001497
       0.317100       0.372675       0.001512
       0.321100       0.377388       0.001517
       0.325100       0.382966       0.001562
       0.329100       0.382898       0.001553
       0.333100       0.383084       0.001553
       0.337100       0.390338       0.001552
       0.341100       0.389015       0.001580
       0.345100       0.392435       0.001562
       0.349100       0.395057       0.001576
       0.353100       0.397103       0.001541
       0.357100       0.398863       0.001529
       0.360600       0.400946       0.001553
       0.363600       0.402218       0.001552
       0.366600       0.399952       0.000795
       0.369600       0.399410       0.001125
       0.372600       0.405116       0.001480
       0.375600       0.405081       0.001555
       0.378600       0.405491       0.001549
       0.381100       0.404406       0.001413
       0.383100       0.409563       0.001572
       0.385100       0.412308       0.001598
       0.387100       0.412661       0.001578
       0.389100       0.414087       0.001591
       0.391100       0.415479       0.001596
       0.393100       0.416533       0.001573
       0.395100       0.418069       0.001088
       0.397100       0.418115       0.001349
       0.399100       0.419866       0.000809
       0.401100       0.422809       0.001531
       0.403100       0.423142       0.001263
       0.405100       0.426396       0.001563
       0.407100       0.428004       0.001457
       0.409100       0.427554       0.001425
       0.411100       0.429006       0.001580
       0.412800       0.430541       0.000910
       0.415800       0.430608       0.000908
       0.418800       0.434229       0.000821
       0.421800       0.436742       0.000972
       0.424800       0.438896       0.001586
       0.427800       0.441831       0.000944
       0.430800       0.445428       0.001612
       0.433800       0.447819       0.001130
       0.436800       0.450868       0.001594
       0.439800       0.455373       0.001197
       0.442800       0.455060       0.001275
       0.445800       0.458824       0.001309
       0.448800       0.461454       0.001590
       0.451300       0.462359       0.001030
       0.453300       0.464345       0.001656
       0.455300       0.467937       0.001680
       0.457300       0.472157       0.001669
       0.459300       0.473934       0.001652
       0.461300       0.473219       0.001384
       0.463300       0.474962       0.001596
       0.465300       0.479744       0.001652
       0.467300       0.478990       0.001258
       0.469300       0.477326       0.001687
       0.471300       0.482377       0.001655
       0.473300       0.482869       0.001685
       0.475300       0.479061       0.001682
       0.477300       0.482906       0.001676
       0.479300       0.487336       0.001333
       0.481300       0.486897       0.001592
       0.483300       0.489657       0.001291
       0.485300       0.489956       0.001651
       0.487300       0.492839       0.001687
       0.489300       0.492514       0.001350
       0.491300       0.495863       0.001600
       0.493300       0.497358       0.001157
       0.495300       0.498148       0.000971
       0.497300       0.502688       0.001237
       0.499300       0.497882       0.001456
       0.501300       0.500930       0.000989
       0.503300       0.501623       0.001701
       0.505300       0.504420       0.001169
       0.507300       0.505241       0.000997
       0.509300       0.506208       0.001665
       0.511300       0.508780       0.001674
       0.513300       0.513308       0.000985
       0.515300       0.513537       0.001691
       0.517300       0.512944       0.001669
       0.519300       0.517625       0.001669
       0.521300       0.515934       0.001494
       0.523300       0.517676       0.001446
       0.525300       0.522156       0.001150
       0.527300       0.524062       0.001668
       0.529300       0.525801       0.001003
       0.531300       0.529223       0.001708
       0.533300       0.530318       0.001696
       0.535300       0.533361       0.001253
       0.537300       0.535321       0.001694
       0.539300       0.537346       0.001709
       0.541300       0.539540       0.001434
       0.543300       0.543429       0.001632
       0.545300       0.547912       0.001663
       0.547300       0.549633       0.001726
       0.549300       0.556323       0.001459
       0.551300       0.559912       0.001699
       0.553300       0.560638       0.001158
       0.555300       0.569555       0.001732
       0.557300       0.572614       0.001148
       0.559300       0.576944       0.001018
       0.561300       0.584533       0.001222
       0.563300       0.589682       0.001627
       0.565300       0.593593       0.001738
       0.567300       0.599437       0.001187
       0.569300       0.605748       0.001299
       0.571300       0.610784       0.001067
       0.573300       0.620115       0.001771
       0.575300       0.623480       0.000897
       0.577300       0.632562       0.001418
       0.579300       0.633532       0.001224
       0.581300       0.638613       0.001055
       0.583300       0.646014       0.001315
       0.585300       0.648612       0.001716
       0.587300       0.649789       0.001757
       0.589300       0.661056       0.001728
       0.591300       0.663899       0.001752
       0.593300       0.666059       0.001758
       0.595300       0.665812       0.001747
       0.597300       0.670444       0.001514
       0.599300       0.675236       0.001746
       0.601100       0.679581       0.001802
       0.602700       0.678931       0.001789
       0.604300       0.681065       0.001787
       0.605900       0.678533       0.001687
       0.607500       0.680922       0.001366
       0.609100       0.682132       0.001172
       0.610700       0.686368       0.001594
       0.612300       0.686977       0.001159
       0.613900       0.687820       0.000982
       0.615500       0.689238       0.001711
       0.617100       0.688777       0.001686
       0.618700       0.691230       0.001637
       0.620300       0.694440       0.001746
       0.621900       0.688927       0.001136
       0.623500       0.692754       0.001790
       0.625100       0.694608       0.001430
       0.626700       0.695446       0.001778
       0.628300       0.694031       0.001797
       0.629900       0.692387       0.001610
       0.631700       0.697851       0.001663
       0.633700       0.697988       0.001801
       0.635700       0.699877       0.001326
       0.637700       0.700577       0.001771
       0.639700       0.701699       0.001732
       0.641700       0.700377       0.001772
       0.643700       0.700755       0.001769
       0.645700       0.702389       0.001766
       0.647700       0.704177       0.001190
       0.649700       0.703562       0.000996
       0.651700       0.706039       0.001510
       0.653700       0.705706       0.000749
       0.655700       0.706061       0.001162
       0.657700       0.706065       0.000898
       0.659700       0.707936       0.000938
       0.661700       0.711925       0.001489
       0.663700       0.710240       0.001299
       0.665700       0.711975       0.000891
       0.667700       0.715624       0.001742
       0.670200       0.712531       0.001755
       0.673200       0.718043       0.001816
       0.676200       0.721473       0.001808
       0.679200       0.718754       0.001213
       0.682200       0.719910       0.001204
       0.685200       0.722132       0.001326
       0.688200       0.722003       0.001337
       0.691200       0.728979       0.001748
       0.694200       0.724396       0.001739
       0.697200       0.724366       0.001243
       0.700200       0.728572       0.001842
       0.702000       0.731961       0.001797
       0.704000       0.730462       0.001500
       0.706000       0.729412       0.001805
       0.708000       0.728726       0.001403
       0.710000       0.732020       0.001205
       0.712000       0.733104       0.000853
       0.714000       0.733728       0.001704
       0.716000       0.736873       0.001669
       0.718000       0.734303       0.000923
       0.720000       0.735582       0.001391
       0.722000       0.736240       0.000858
       0.724000       0.734266       0.000949
       0.726000       0.736136       0.001726
       0.728000       0.739366       0.001135
       0.730000       0.739461       0.001563
       0.732000       0.739465       0.001198
       0.734000       0.741514       0.001462
       0.736000       0.741168       0.001549
       0.738000       0.738166       0.001164
       0.740000       0.743301       0.001607
       0.742000       0.741763       0.001039
       0.744000       0.745663       0.001866
       0.746000       0.743376       0.000926
       0.748000       0.745877       0.001684
       0.750500       0.744629       0.001172
       0.753500       0.745642       0.001028
       0.756500       0.743641       0.000847
       0.759500       0.743577       0.000949
       0.762500       0.744609       0.001002
       0.765500       0.747357       0.001182
       0.768500       0.746652       0.001190
       0.771500       0.748092       0.001240
       0.774500       0.747581       0.001427
       0.777500       0.750976       0.001007
       0.781000       0.749915       0.001783
       0.785000       0.751436       0.000866
       0.789000       0.748135       0.001032
       0.793000       0.753643       0.001584
       0.797000       0.747423       0.001235
       0.801500       0.745413       0.001193
       0.806500       0.750205       0.001026
       0.811500       0.753725       0.001825
       0.816500       0.749102       0.001194
       0.822000       0.747827       0.001157
       0.828000       0.749485       0.001777
       0.835000       0.747030       0.001879
       0.843000      -1.23e34        0.000000
       0.851000       0.761418       0.002116
       0.859000       0.755974       0.002024
       0.871000       0.755022       0.002015
       0.883000       0.758208       0.002017
       0.894000       0.756319       0.002014
       0.904000       0.753131       0.001923
       0.914000       0.757294       0.002006
       0.924000       0.760502       0.001822
       0.933000       0.755954       0.001935
       0.941000       0.757424       0.001932
       0.949000       0.760956       0.001887
       0.957000       0.759245       0.001632
       0.964000       0.760009       0.001691
       0.970000       0.757590       0.001915
       0.976000       0.761069       0.001195
       0.982000       0.762897       0.001863
       0.988000       0.758598       0.001585
       0.994000       0.757974       0.001476
       1.000000       0.760647       0.001634
       1.006000       0.759376       0.001514
       1.012000       0.757448       0.001533
       1.018000       0.757329       0.001531
       1.023500       0.760189       0.001781
       1.028500       0.758928       0.001905
       1.033500       0.755820       0.001498
       1.038500       0.759386       0.001671
       1.043500       0.759546       0.001538
       1.048500       0.756525       0.001906
       1.053500       0.756070       0.001350
       1.058500       0.757403       0.001384
       1.063500       0.757642       0.001907
       1.068500       0.756055       0.001055
       1.073500       0.753512       0.001030
       1.078500       0.754390       0.001121
       1.083500       0.751263       0.001907
       1.088500       0.752593       0.001280
       1.093500       0.751529       0.001293
       1.098500       0.754113       0.001147
       1.103500       0.757006       0.001009
       1.108500       0.754857       0.001212
       1.113500       0.755058       0.001751
       1.118500       0.756208       0.001470
       1.123500       0.754714       0.001329
       1.128500       0.750711       0.000883
       1.133500       0.753471       0.001030
       1.138500       0.753626       0.001196
       1.143500       0.752704       0.001442
       1.148500       0.752811       0.000981
       1.153500       0.751035       0.001236
       1.158500       0.752669       0.001199
       1.163500       0.751115       0.001204
       1.168500       0.750574       0.001128
       1.173500       0.750543       0.001257
       1.178500       0.749713       0.001477
       1.183500       0.751127       0.001348
       1.188500       0.748714       0.001541
       1.193500       0.752213       0.001915
       1.198500       0.751456       0.000945
       1.203500       0.749923       0.001044
       1.208500       0.750711       0.001094
       1.213500       0.749014       0.001687
       1.218500       0.749695       0.001707
       1.223500       0.748271       0.001089
       1.228500       0.750848       0.001082
       1.233500       0.751725       0.001093
       1.238500       0.751386       0.001164
       1.243500       0.753168       0.001177
       1.248500       0.754275       0.001642
       1.253500       0.749384       0.001034
       1.258500       0.749522       0.001183
       1.263500       0.751633       0.001017
       1.268500       0.750843       0.001271
       1.273500       0.752455       0.001125
       1.278500       0.751675       0.001520
       1.283500       0.750586       0.001375
       1.288500       0.749345       0.001118
       1.293500       0.751672       0.001072
       1.298500       0.750209       0.001205
       1.303500       0.750953       0.001313
       1.308500       0.751276       0.001063
       1.313500       0.750351       0.000966
       1.318500       0.748465       0.001044
       1.323500       0.750255       0.001196
       1.328500       0.751742       0.001150
       1.333500       0.748162       0.001096
       1.338500       0.749316       0.001054
       1.343500       0.749935       0.001390
       1.348500       0.748531       0.001159
       1.353500       0.749454       0.001149
       1.358500       0.746144       0.001317
       1.363500       0.747754       0.001757
       1.368500       0.748013       0.001199
       1.373500       0.747292       0.001441
       1.378500       0.748824       0.001299
       1.383500       0.747372       0.001645
       1.388500       0.746512       0.001639
       1.393500       0.747107       0.001568
       1.398500       0.743815       0.001593
       1.403500       0.741935       0.001193
       1.408500       0.741270       0.001395
       1.413500       0.740975       0.001681
       1.418500       0.742816       0.001904
       1.423500       0.743977       0.001522
       1.428500       0.745973       0.001648
       1.433500       0.742829       0.001739
       1.438500       0.747877       0.001837
       1.443500       0.745303       0.001479
       1.448500       0.744123       0.001825
       1.453500       0.749641       0.001700
       1.458500       0.749533       0.001551
       1.463500       0.747477       0.001636
       1.468500       0.746559       0.001814
       1.473500       0.747239       0.001902
       1.478500       0.746523       0.001965
       1.483500       0.746268       0.001644
       1.488500       0.749593       0.001776
       1.493500       0.749380       0.001651
       1.498500       0.743896       0.001945
       1.503500       0.748395       0.001902
       1.508500       0.747765       0.001806
       1.513500       0.749026       0.001949
       1.518500       0.750618       0.001802
       1.523500       0.750005       0.001243
       1.528500       0.750427       0.002002
       1.534000       0.753879       0.001739
       1.540000       0.750927       0.001174
       1.546000       0.752382       0.001402
       1.552000       0.752508       0.001286
       1.558000       0.749228       0.001764
       1.564000       0.754566       0.001309
       1.570500       0.751810       0.001079
       1.577500       0.753499       0.001228
       1.584500       0.749753       0.001344
       1.591500       0.751814       0.001459
       1.598500       0.750540       0.001164
       1.605500       0.754148       0.001524
       1.612500       0.753325       0.000881
       1.619500       0.753743       0.001406
       1.626500       0.751533       0.001036
       1.633500       0.755219       0.001115
       1.640500       0.754818       0.001031
       1.647500       0.754027       0.001289
       1.654500       0.752697       0.001045
       1.661500       0.752901       0.001422
       1.668500       0.754410       0.001440
       1.676000       0.757461       0.001619
       1.684000       0.751598       0.001795
       1.692000       0.752789       0.002069
       1.700000       0.758988       0.002035
       1.708000       0.756819       0.002056
       1.716000       0.760803       0.001834
       1.724000       0.757744       0.001886
       1.732000       0.756898       0.001995
       1.740000       0.753236       0.002064
       1.748000       0.759729       0.002088
       1.756000       0.757723       0.002015
       1.764000       0.756256       0.001995
       1.772000       0.756004       0.001686
       1.780000       0.757026       0.001540
       1.788000       0.757948       0.001512
       1.796000       0.760133       0.001591
       1.805000       0.754973       0.000988
       1.815000       0.757535       0.001572
       1.825000       0.753527       0.001625
       1.835000       0.757053       0.001593
       1.845000       0.756365       0.001895
       1.855000       0.757686       0.001688
       1.865000       0.755439       0.001684
       1.875000       0.759594       0.001508
       1.885000       0.751066       0.001974
       1.895000       0.754411       0.001785
       1.905000       0.739312       0.001365
       1.915000       0.744090       0.001913
       1.925000       0.739059       0.001683
       1.935000       0.737758       0.001906
       1.945000       0.739651       0.002003
       1.955000       0.740381       0.001418
       1.965000       0.741760       0.001269
       1.975000       0.744605       0.001971
       1.985000       0.746504       0.001719
       1.995000       0.752067       0.001954
       2.005000       0.751224       0.001678
       2.015000       0.754261       0.001974
       2.025000       0.754356       0.001977
       2.035000       0.761379       0.001999
       2.045000       0.757871       0.001686
       2.055000       0.757562       0.001983
       2.065000       0.765866       0.001726
       2.075000       0.760715       0.002068
       2.085000       0.759777       0.001754
       2.095000       0.769126       0.002080
       2.105000       0.764494       0.002029
       2.115000       0.770684       0.002029
       2.125000       0.763804       0.002049
       2.135000       0.764611       0.002032
       2.145000       0.765734       0.001831
       2.155000       0.771205       0.001932
       2.165000       0.764986       0.001962
       2.175000       0.759939       0.001488
       2.185000       0.755675       0.002057
       2.195000       0.743482       0.002093
       2.205000       0.751407       0.002088
       2.215000       0.755360       0.002098
       2.225000       0.758247       0.002089
       2.235000       0.757550       0.002094
       2.245000       0.756838       0.002113
       2.255000       0.759884       0.002118
       2.265000       0.753910       0.002193
       2.275000       0.762335       0.002381
       2.285000       0.757395       0.002890
       2.295000       0.761099       0.004492
       2.305000       0.758025       0.003927
       2.315000       0.758514       0.002870
       2.325000       0.760288       0.002098
       2.335000       0.754492       0.002043
       2.345000       0.756210       0.001657
