USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Muscovite GDS120 Pegma M.    W1R1Ba AREF
copy of splib05a r 4793                                     
       0.205100      -1.23e34        0.010728
       0.213100       0.039020       0.001890
       0.221100       0.041861       0.001122
       0.229100       0.043003       0.000985
       0.236100       0.042788       0.000904
       0.242100       0.041108       0.000851
       0.248100       0.041059       0.000683
       0.253600       0.041590       0.000776
       0.258600       0.042597       0.000615
       0.263600       0.044375       0.000761
       0.268600       0.046452       0.000672
       0.273100       0.050828       0.000777
       0.277100       0.053832       0.000772
       0.281100       0.059035       0.000621
       0.285100       0.064136       0.000803
       0.289100       0.073575       0.000863
       0.293100       0.083794       0.000868
       0.297100       0.096204       0.000868
       0.301100       0.113568       0.000894
       0.305100       0.133139       0.000937
       0.309100       0.158447       0.000851
       0.313100       0.184725       0.000934
       0.317100       0.214677       0.000621
       0.321100       0.247810       0.000565
       0.325100       0.281776       0.000996
       0.329100       0.314187       0.000954
       0.333100       0.348667       0.000853
       0.337100       0.378428       0.000821
       0.341100       0.408092       0.000634
       0.345100       0.433919       0.000757
       0.349100       0.458157       0.000890
       0.353100       0.482153       0.000800
       0.357100       0.502217       0.000668
       0.360600       0.515573       0.000710
       0.363600       0.520209       0.000765
       0.366600       0.525085       0.000686
       0.369600       0.533657       0.000719
       0.372600       0.542780       0.000633
       0.375600       0.551355       0.000975
       0.378600       0.561542       0.000856
       0.381100       0.564881       0.001033
       0.383100       0.571749       0.000697
       0.385100       0.576802       0.000811
       0.387100       0.582684       0.000798
       0.389100       0.588174       0.000657
       0.391100       0.594211       0.000713
       0.393100       0.599854       0.000906
       0.395100       0.605853       0.000727
       0.397100       0.610775       0.001036
       0.399100       0.617370       0.000796
       0.401100       0.620864       0.000745
       0.403100       0.624545       0.000688
       0.405100       0.628457       0.000672
       0.407100       0.632734       0.000757
       0.409100       0.635564       0.000863
       0.411100       0.640494       0.000913
       0.412800       0.643645       0.001020
       0.415800       0.646222       0.000900
       0.418800       0.649975       0.000700
       0.421800       0.654238       0.000748
       0.424800       0.652592       0.000780
       0.427800       0.653908       0.000992
       0.430800       0.654674       0.000799
       0.433800       0.655433       0.000653
       0.436800       0.654538       0.000777
       0.439800       0.653946       0.001038
       0.442800       0.653147       0.000647
       0.445800       0.654988       0.001020
       0.448800       0.662493       0.001036
       0.451300       0.666978       0.000868
       0.453300       0.672700       0.001026
       0.455300       0.677349       0.000876
       0.457300       0.679970       0.000817
       0.459300       0.681334       0.001030
       0.461300       0.684183       0.000805
       0.463300       0.684673       0.000708
       0.465300       0.686119       0.001024
       0.467300       0.687355       0.000906
       0.469300       0.687975       0.000902
       0.471300       0.691789       0.000784
       0.473300       0.690648       0.000892
       0.475300       0.693866       0.001035
       0.477300       0.694047       0.000726
       0.479300       0.694863       0.000943
       0.481300       0.697878       0.000719
       0.483300       0.697830       0.000741
       0.485300       0.699167       0.000778
       0.487300       0.699361       0.000929
       0.489300       0.700875       0.001030
       0.491300       0.702986       0.000873
       0.493300       0.701410       0.000955
       0.495300       0.703529       0.000924
       0.497300       0.701137       0.001011
       0.499300       0.703475       0.000744
       0.501300       0.701642       0.001031
       0.503300       0.703507       0.000896
       0.505300       0.703641       0.000916
       0.507300       0.703426       0.000920
       0.509300       0.703623       0.000993
       0.511300       0.703611       0.001008
       0.513300       0.705182       0.000836
       0.515300       0.704287       0.000841
       0.517300       0.705162       0.000776
       0.519300       0.706668       0.000835
       0.521300       0.705374       0.000851
       0.523300       0.706917       0.001003
       0.525300       0.707356       0.000785
       0.527300       0.706995       0.000899
       0.529300       0.708263       0.000973
       0.531300       0.709743       0.000908
       0.533300       0.709718       0.000892
       0.535300       0.708643       0.001008
       0.537300       0.710249       0.000915
       0.539300       0.711101       0.000933
       0.541300       0.709965       0.000945
       0.543300       0.710012       0.000843
       0.545300       0.711103       0.000933
       0.547300       0.711872       0.000908
       0.549300       0.713930       0.000872
       0.551300       0.712613       0.000804
       0.553300       0.714243       0.001001
       0.555300       0.714220       0.000806
       0.557300       0.715521       0.000836
       0.559300       0.715692       0.001013
       0.561300       0.716866       0.000858
       0.563300       0.716044       0.000877
       0.565300       0.717130       0.000872
       0.567300       0.717979       0.000864
       0.569300       0.719115       0.000809
       0.571300       0.720159       0.000843
       0.573300       0.719305       0.001013
       0.575300       0.721424       0.000697
       0.577300       0.721528       0.000988
       0.579300       0.725329       0.000953
       0.581300       0.723495       0.001018
       0.583300       0.723398       0.000922
       0.585300       0.725055       0.001014
       0.587300       0.724674       0.001019
       0.589300       0.726632       0.000977
       0.591300       0.727454       0.000995
       0.593300       0.727273       0.000979
       0.595300       0.729001       0.001009
       0.597300       0.729773       0.000865
       0.599300       0.731611       0.000659
       0.601100       0.729260       0.000833
       0.602700       0.732137       0.000657
       0.604300       0.732359       0.000697
       0.605900       0.733264       0.000961
       0.607500       0.732824       0.000994
       0.609100       0.735726       0.000937
       0.610700       0.735417       0.000945
       0.612300       0.735202       0.001005
       0.613900       0.735899       0.000988
       0.615500       0.737677       0.000943
       0.617100       0.738188       0.000946
       0.618700       0.738048       0.000877
       0.620300       0.738941       0.000948
       0.621900       0.740493       0.000756
       0.623500       0.739726       0.001014
       0.625100       0.741516       0.000838
       0.626700       0.741702       0.000969
       0.628300       0.744111       0.000839
       0.629900       0.740786       0.000938
       0.631700       0.743981       0.000720
       0.633700       0.743989       0.000766
       0.635700       0.745451       0.000741
       0.637700       0.745853       0.000914
       0.639700       0.746557       0.000837
       0.641700       0.746650       0.000836
       0.643700       0.748247       0.000891
       0.645700       0.749296       0.000848
       0.647700       0.749846       0.000958
       0.649700       0.749849       0.000989
       0.651700       0.750071       0.000679
       0.653700       0.750421       0.000904
       0.655700       0.752647       0.000698
       0.657700       0.753105       0.000865
       0.659700       0.753817       0.000872
       0.661700       0.754751       0.000709
       0.663700       0.756045       0.000831
       0.665700       0.755533       0.000741
       0.667700       0.758668       0.000984
       0.670200       0.759102       0.000858
       0.673200       0.759758       0.000844
       0.676200       0.762085       0.000781
       0.679200       0.762082       0.000884
       0.682200       0.763098       0.000978
       0.685200       0.765143       0.001002
       0.688200       0.766314       0.000783
       0.691200       0.767766       0.000801
       0.694200       0.769803       0.000785
       0.697200       0.769872       0.000761
       0.700200       0.772719       0.000888
       0.702000       0.773387       0.000871
       0.704000       0.773955       0.000874
       0.706000       0.774443       0.000900
       0.708000       0.773843       0.000975
       0.710000       0.775715       0.000718
       0.712000       0.776477       0.000748
       0.714000       0.778618       0.000770
       0.716000       0.779329       0.000727
       0.718000       0.779969       0.000674
       0.720000       0.780226       0.000921
       0.722000       0.780944       0.000688
       0.724000       0.783326       0.000817
       0.726000       0.783120       0.000789
       0.728000       0.784776       0.000796
       0.730000       0.783447       0.000777
       0.732000       0.785906       0.000981
       0.734000       0.785361       0.000963
       0.736000       0.787549       0.000768
       0.738000       0.788844       0.000717
       0.740000       0.788004       0.000855
       0.742000       0.789251       0.000898
       0.744000       0.789819       0.000908
       0.746000       0.788487       0.000947
       0.748000       0.791473       0.000735
       0.750500       0.790381       0.000692
       0.753500       0.791746       0.000826
       0.756500       0.793461       0.000786
       0.759500       0.792434       0.000777
       0.762500       0.794258       0.000854
       0.765500       0.792852       0.000799
       0.768500       0.794173       0.000853
       0.771500       0.794645       0.000899
       0.774500       0.794010       0.000968
       0.777500       0.793165       0.000673
       0.781000       0.794386       0.000724
       0.785000       0.794161       0.000793
       0.789000       0.793573       0.000739
       0.793000       0.794462       0.000842
       0.797000       0.792495       0.000846
       0.801500       0.792504       0.000869
       0.806500       0.792199       0.000680
       0.811500       0.790482       0.000913
       0.816500       0.790392       0.000764
       0.822000       0.788131       0.000993
       0.828000       0.786950       0.000750
       0.835000       0.786646       0.001033
       0.843000       0.786565       0.000966
       0.851000       0.783845       0.001505
       0.859000       0.782460       0.001079
       0.871000       0.782925       0.001075
       0.883000       0.781828       0.001079
       0.894000       0.782178       0.001074
       0.904000       0.781143       0.001064
       0.914000       0.782330       0.001076
       0.924000       0.783090       0.001068
       0.933000       0.784790       0.001072
       0.941000       0.787587       0.001052
       0.949000       0.787630       0.001065
       0.957000       0.786747       0.001054
       0.964000       0.787208       0.001040
       0.970000       0.789990       0.001069
       0.976000       0.792597       0.001071
       0.982000       0.796374       0.001076
       0.988000       0.798911       0.001059
       0.994000       0.799511       0.001027
       1.000000       0.802002       0.001040
       1.006000       0.803061       0.001074
       1.012000       0.803101       0.001078
       1.018000       0.803111       0.001056
       1.023500       0.805933       0.001065
       1.028500       0.806673       0.001069
       1.033500       0.807512       0.001061
       1.038500       0.807473       0.001013
       1.043500       0.807135       0.001056
       1.048500       0.806327       0.001049
       1.053500       0.808280       0.001076
       1.058500       0.811341       0.001065
       1.063500       0.809118       0.001073
       1.068500       0.811344       0.001071
       1.073500       0.810646       0.001063
       1.078500       0.810746       0.001070
       1.083500       0.811651       0.001060
       1.088500       0.812290       0.001073
       1.093500       0.815063       0.001072
       1.098500       0.813943       0.001074
       1.103500       0.814807       0.001055
       1.108500       0.816422       0.001055
       1.113500       0.815099       0.001062
       1.118500       0.816296       0.001072
       1.123500       0.816180       0.001078
       1.128500       0.815682       0.001074
       1.133500       0.818058       0.001075
       1.138500       0.819500       0.001045
       1.143500       0.820063       0.001066
       1.148500       0.820853       0.001069
       1.153500       0.820146       0.001048
       1.158500       0.822839       0.001061
       1.163500       0.822151       0.000875
       1.168500       0.822151       0.000892
       1.173500       0.820264       0.001071
       1.178500       0.824753       0.001072
       1.183500       0.823909       0.001066
       1.188500       0.827796       0.001062
       1.193500       0.828385       0.001068
       1.198500       0.827590       0.001064
       1.203500       0.829918       0.001072
       1.208500       0.830954       0.001057
       1.213500       0.831099       0.000923
       1.218500       0.832580       0.001033
       1.223500       0.835210       0.001064
       1.228500       0.835362       0.001060
       1.233500       0.834576       0.001052
       1.238500       0.835661       0.001065
       1.243500       0.837895       0.001069
       1.248500       0.834898       0.000919
       1.253500       0.838039       0.000994
       1.258500       0.837520       0.001054
       1.263500       0.842351       0.001053
       1.268500       0.840927       0.001070
       1.273500       0.842452       0.000940
       1.278500       0.842690       0.001078
       1.283500       0.841939       0.000894
       1.288500       0.844339       0.000986
       1.293500       0.843596       0.000963
       1.298500       0.842302       0.000954
       1.303500       0.841518       0.001073
       1.308500       0.843131       0.000977
       1.313500       0.840651       0.001071
       1.318500       0.843123       0.001060
       1.323500       0.843798       0.001051
       1.328500       0.843327       0.001050
       1.333500       0.845963       0.001056
       1.338500       0.844611       0.000967
       1.343500       0.847071       0.000895
       1.348500       0.847973       0.001058
       1.353500       0.848398       0.001050
       1.358500       0.846478       0.001071
       1.363500       0.846850       0.001080
       1.368500       0.843902       0.001081
       1.373500       0.837292       0.001075
       1.378500       0.832698       0.001069
       1.383500       0.825623       0.001077
       1.388500       0.811385       0.001062
       1.393500       0.785057       0.001062
       1.398500       0.727514       0.001054
       1.403500       0.680208       0.001047
       1.408500       0.648270       0.001051
       1.413500       0.639152       0.001054
       1.418500       0.667638       0.001035
       1.423500       0.710682       0.001047
       1.428500       0.751301       0.001043
       1.433500       0.783860       0.001063
       1.438500       0.806589       0.001061
       1.443500       0.816890       0.001052
       1.448500       0.824254       0.001065
       1.453500       0.826746       0.001075
       1.458500       0.828741       0.001048
       1.463500       0.833555       0.001072
       1.468500       0.834706       0.001074
       1.473500       0.836456       0.001076
       1.478500       0.840618       0.001076
       1.483500       0.840967       0.001067
       1.488500       0.841223       0.001076
       1.493500       0.845931       0.001073
       1.498500       0.846475       0.001077
       1.503500       0.849147       0.001074
       1.508500       0.851009       0.001087
       1.513500       0.853562       0.001082
       1.518500       0.853025       0.001086
       1.523500       0.857621       0.001084
       1.528500       0.856117       0.001083
       1.534000       0.855751       0.001084
       1.540000       0.860036       0.000849
       1.546000       0.860088       0.001076
       1.552000       0.862064       0.001060
       1.558000       0.862322       0.001087
       1.564000       0.865489       0.000894
       1.570500       0.862664       0.001066
       1.577500       0.862329       0.001030
       1.584500       0.862531       0.001084
       1.591500       0.864812       0.001039
       1.598500       0.863355       0.001060
       1.605500       0.863916       0.001072
       1.612500       0.864083       0.000903
       1.619500       0.862309       0.001075
       1.626500       0.864350       0.000929
       1.633500       0.865065       0.000947
       1.640500       0.863259       0.001085
       1.647500       0.863720       0.001060
       1.654500       0.864751       0.001078
       1.661500       0.864055       0.001075
       1.668500       0.864302       0.001073
       1.676000       0.863361       0.001077
       1.684000       0.864317       0.001084
       1.692000       0.861640       0.001075
       1.700000       0.864062       0.001082
       1.708000       0.863447       0.001080
       1.716000       0.861819       0.001087
       1.724000       0.859902       0.001085
       1.732000       0.860404       0.001084
       1.740000       0.859537       0.001087
       1.748000       0.859002       0.001086
       1.756000       0.856697       0.001086
       1.764000       0.856234       0.001063
       1.772000       0.855779       0.001075
       1.780000       0.852473       0.001073
       1.788000       0.852310       0.001088
       1.796000       0.851502       0.001067
       1.805000       0.850621       0.001074
       1.815000       0.849477       0.001068
       1.825000       0.846487       0.001075
       1.835000       0.844760       0.001075
       1.845000       0.839785       0.001084
       1.855000       0.842260       0.001075
       1.865000       0.835452       0.001048
       1.875000       0.817186       0.001077
       1.885000       0.790926       0.001074
       1.895000       0.770940       0.001065
       1.905000       0.748159       0.001063
       1.915000       0.732057       0.001065
       1.925000       0.729544       0.001028
       1.935000       0.736815       0.001064
       1.945000       0.743865       0.001068
       1.955000       0.748244       0.001059
       1.965000       0.756058       0.001059
       1.975000       0.764181       0.001064
       1.985000       0.770486       0.001071
       1.995000       0.777869       0.001067
       2.005000       0.784008       0.001071
       2.015000       0.787931       0.001065
       2.025000       0.793148       0.001064
       2.035000       0.798000       0.001068
       2.045000       0.796713       0.001063
       2.055000       0.799358       0.001066
       2.065000       0.802753       0.001062
       2.075000       0.802033       0.001066
       2.085000       0.799482       0.001062
       2.095000       0.789867       0.001060
       2.105000       0.779726       0.001058
       2.115000       0.776133       0.001056
       2.125000       0.770251       0.001056
       2.135000       0.769312       0.001054
       2.145000       0.763857       0.001054
       2.155000       0.747248       0.001051
       2.165000       0.722218       0.001047
       2.175000       0.677691       0.001045
       2.185000       0.607860       0.001044
       2.195000       0.537557       0.001038
       2.205000       0.518945       0.001035
       2.215000       0.558510       0.001042
       2.225000       0.610181       0.001061
       2.235000       0.626640       0.001077
       2.245000       0.648447       0.001215
       2.255000       0.677924       0.001303
       2.265000       0.693418       0.001665
       2.275000       0.698688       0.002564
       2.285000       0.699695       0.003137
       2.295000       0.688616       0.004161
       2.305000       0.670807       0.003932
       2.315000       0.650452       0.002724
       2.325000       0.624470       0.001381
       2.335000       0.594165       0.001037
       2.345000       0.577453       0.001031
