USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Muscovite IL107              W1R1Ba AREF
copy of splib05a r 4828                                     
       0.205100      -1.23e34        0.014640
       0.213100       0.022818       0.003225
       0.221100       0.023752       0.001817
       0.229100       0.023539       0.001640
       0.236100       0.023273       0.001118
       0.242100       0.021370       0.001451
       0.248100       0.022182       0.001086
       0.253600       0.021778       0.000725
       0.258600       0.022613       0.000631
       0.263600       0.022834       0.000665
       0.268600       0.023708       0.000731
       0.273100       0.025032       0.000625
       0.277100       0.027197       0.000783
       0.281100       0.028704       0.000619
       0.285100       0.031449       0.001016
       0.289100       0.034816       0.000706
       0.293100       0.039732       0.001089
       0.297100       0.046658       0.001591
       0.301100       0.055120       0.000572
       0.305100       0.065574       0.000658
       0.309100       0.079347       0.000687
       0.313100       0.094285       0.000787
       0.317100       0.111975       0.000551
       0.321100       0.131062       0.000893
       0.325100       0.150107       0.000687
       0.329100       0.170500       0.000738
       0.333100       0.189619       0.000710
       0.337100       0.207880       0.000618
       0.341100       0.224223       0.001010
       0.345100       0.241207       0.000880
       0.349100       0.254752       0.000814
       0.353100       0.270802       0.000613
       0.357100       0.284314       0.000801
       0.360600       0.295109       0.000673
       0.363600       0.300455       0.000684
       0.366600       0.308014       0.001016
       0.369600       0.316879       0.000669
       0.372600       0.325908       0.000706
       0.375600       0.335526       0.000689
       0.378600       0.344576       0.000439
       0.381100       0.352078       0.000806
       0.383100       0.357827       0.000757
       0.385100       0.363102       0.000774
       0.387100       0.368682       0.001183
       0.389100       0.375210       0.000647
       0.391100       0.380671       0.000730
       0.393100       0.387613       0.001445
       0.395100       0.392788       0.000543
       0.397100       0.398040       0.000683
       0.399100       0.402518       0.001012
       0.401100       0.408152       0.000557
       0.403100       0.411755       0.000524
       0.405100       0.416601       0.000511
       0.407100       0.419224       0.001004
       0.409100       0.423824       0.000495
       0.411100       0.428536       0.000648
       0.412800       0.431486       0.000592
       0.415800       0.436541       0.000710
       0.418800       0.441551       0.000738
       0.421800       0.446626       0.000460
       0.424800       0.451423       0.000800
       0.427800       0.456204       0.000674
       0.430800       0.460903       0.000615
       0.433800       0.464476       0.000906
       0.436800       0.468247       0.000593
       0.439800       0.470781       0.000663
       0.442800       0.472134       0.000501
       0.445800       0.474052       0.000664
       0.448800       0.479798       0.000630
       0.451300       0.486448       0.000980
       0.453300       0.489901       0.000629
       0.455300       0.493732       0.000885
       0.457300       0.496822       0.001471
       0.459300       0.501152       0.000830
       0.461300       0.503347       0.000737
       0.463300       0.504893       0.000652
       0.465300       0.506904       0.000729
       0.467300       0.509314       0.000641
       0.469300       0.509786       0.000718
       0.471300       0.512320       0.000701
       0.473300       0.513222       0.000646
       0.475300       0.515679       0.000790
       0.477300       0.518422       0.000767
       0.479300       0.520553       0.000787
       0.481300       0.522808       0.000602
       0.483300       0.525194       0.000884
       0.485300       0.528781       0.000831
       0.487300       0.529085       0.000858
       0.489300       0.530439       0.000712
       0.491300       0.533669       0.000780
       0.493300       0.534537       0.000785
       0.495300       0.535986       0.001303
       0.497300       0.537373       0.000661
       0.499300       0.539211       0.000654
       0.501300       0.539656       0.001280
       0.503300       0.538802       0.000677
       0.505300       0.538803       0.000918
       0.507300       0.540513       0.000864
       0.509300       0.540472       0.000690
       0.511300       0.542037       0.001270
       0.513300       0.543569       0.000829
       0.515300       0.545925       0.001340
       0.517300       0.545225       0.000854
       0.519300       0.547114       0.000653
       0.521300       0.547632       0.000745
       0.523300       0.548543       0.000669
       0.525300       0.550155       0.000769
       0.527300       0.550718       0.000693
       0.529300       0.551748       0.001419
       0.531300       0.554510       0.000720
       0.533300       0.552830       0.001339
       0.535300       0.555810       0.000858
       0.537300       0.554656       0.001185
       0.539300       0.557137       0.000801
       0.541300       0.556575       0.000808
       0.543300       0.558099       0.000767
       0.545300       0.558520       0.001314
       0.547300       0.561346       0.000742
       0.549300       0.559562       0.001079
       0.551300       0.561455       0.000726
       0.553300       0.561601       0.000742
       0.555300       0.562399       0.000934
       0.557300       0.563364       0.001315
       0.559300       0.563292       0.001301
       0.561300       0.566125       0.000708
       0.563300       0.566615       0.000806
       0.565300       0.566666       0.000663
       0.567300       0.566825       0.000607
       0.569300       0.567672       0.001239
       0.571300       0.568340       0.000724
       0.573300       0.569219       0.001290
       0.575300       0.570321       0.000771
       0.577300       0.570943       0.000506
       0.579300       0.572553       0.000533
       0.581300       0.573862       0.000556
       0.583300       0.574393       0.000600
       0.585300       0.575403       0.000594
       0.587300       0.577432       0.000626
       0.589300       0.577199       0.000577
       0.591300       0.578833       0.000613
       0.593300       0.579291       0.000656
       0.595300       0.580875       0.000610
       0.597300       0.580685       0.000562
       0.599300       0.582370       0.000609
       0.601100       0.583304       0.000704
       0.602700       0.582840       0.000834
       0.604300       0.583984       0.000679
       0.605900       0.583853       0.000951
       0.607500       0.585930       0.001476
       0.609100       0.587304       0.000841
       0.610700       0.586643       0.000694
       0.612300       0.586537       0.000745
       0.613900       0.587891       0.000833
       0.615500       0.589328       0.000788
       0.617100       0.589998       0.000684
       0.618700       0.590619       0.000742
       0.620300       0.590893       0.000827
       0.621900       0.590676       0.000711
       0.623500       0.592317       0.000742
       0.625100       0.592507       0.001384
       0.626700       0.595142       0.000869
       0.628300       0.593713       0.000839
       0.629900       0.594476       0.000837
       0.631700       0.595581       0.000692
       0.633700       0.595621       0.000792
       0.635700       0.597694       0.000670
       0.637700       0.598109       0.000823
       0.639700       0.598483       0.000512
       0.641700       0.598920       0.000896
       0.643700       0.599707       0.000512
       0.645700       0.600774       0.000960
       0.647700       0.600692       0.000493
       0.649700       0.601671       0.000575
       0.651700       0.603054       0.000613
       0.653700       0.603419       0.000604
       0.655700       0.603311       0.000744
       0.657700       0.605763       0.000510
       0.659700       0.606030       0.000692
       0.661700       0.607814       0.000639
       0.663700       0.607032       0.000733
       0.665700       0.608042       0.000768
       0.667700       0.608501       0.000923
       0.670200       0.608758       0.001074
       0.673200       0.609748       0.001399
       0.676200       0.611949       0.000849
       0.679200       0.612112       0.000456
       0.682200       0.613681       0.000555
       0.685200       0.615474       0.000571
       0.688200       0.614499       0.001109
       0.691200       0.616628       0.000731
       0.694200       0.617833       0.000772
       0.697200       0.619141       0.000749
       0.700200       0.619439       0.000615
       0.702000       0.619913       0.000620
       0.704000       0.620328       0.000565
       0.706000       0.621846       0.000679
       0.708000       0.621394       0.000566
       0.710000       0.623123       0.000715
       0.712000       0.623992       0.000619
       0.714000       0.624400       0.000616
       0.716000       0.625386       0.000667
       0.718000       0.626642       0.000633
       0.720000       0.626627       0.000667
       0.722000       0.627729       0.000741
       0.724000       0.628206       0.000693
       0.726000       0.628815       0.000699
       0.728000       0.629612       0.000779
       0.730000       0.631148       0.000711
       0.732000       0.630423       0.000774
       0.734000       0.630226       0.001215
       0.736000       0.631974       0.000901
       0.738000       0.632617       0.000732
       0.740000       0.633031       0.001430
       0.742000       0.634071       0.000844
       0.744000       0.634576       0.000946
       0.746000       0.635671       0.000880
       0.748000       0.636068       0.000738
       0.750500       0.637536       0.000699
       0.753500       0.638118       0.000664
       0.756500       0.638959       0.000723
       0.759500       0.640189       0.001159
       0.762500       0.641263       0.000772
       0.765500       0.641628       0.000751
       0.768500       0.644288       0.000643
       0.771500       0.642850       0.000703
       0.774500       0.644491       0.000804
       0.777500       0.645981       0.000699
       0.781000       0.646775       0.000758
       0.785000       0.647923       0.000726
       0.789000       0.647828       0.000943
       0.793000       0.651150       0.001593
       0.797000       0.650684       0.000740
       0.801500       0.651732       0.000612
       0.806500       0.652532       0.000603
       0.811500       0.653241       0.000874
       0.816500       0.653752       0.000702
       0.822000       0.653579       0.001022
       0.828000       0.654456       0.000863
       0.835000       0.654770       0.000987
       0.843000       0.654400       0.000796
       0.851000      -1.23e34        0.001908
       0.859000       0.659796       0.001359
       0.871000       0.655551       0.001449
       0.883000       0.658307       0.001500
       0.894000       0.659109       0.001111
       0.904000       0.655912       0.001249
       0.914000       0.656614       0.000798
       0.924000       0.659308       0.000879
       0.933000       0.660423       0.000945
       0.941000       0.660326       0.001012
       0.949000       0.658909       0.000695
       0.957000       0.660090       0.000657
       0.964000       0.665031       0.000847
       0.970000       0.666523       0.001206
       0.976000       0.668240       0.000781
       0.982000       0.668137       0.000756
       0.988000       0.670498       0.000628
       0.994000       0.669499       0.000918
       1.000000       0.671560       0.001041
       1.006000       0.671733       0.000932
       1.012000       0.672012       0.000893
       1.018000       0.671119       0.000775
       1.023500       0.678675       0.000701
       1.028500       0.676455       0.000941
       1.033500       0.674547       0.001516
       1.038500       0.677804       0.000990
       1.043500       0.677843       0.001061
       1.048500       0.677542       0.001049
       1.053500       0.677760       0.001041
       1.058500       0.678564       0.000771
       1.063500       0.679907       0.000657
       1.068500       0.678736       0.001247
       1.073500       0.680806       0.000773
       1.078500       0.679117       0.000834
       1.083500       0.679999       0.000623
       1.088500       0.680591       0.001115
       1.093500       0.681490       0.000851
       1.098500       0.681897       0.000802
       1.103500       0.684378       0.000791
       1.108500       0.683532       0.000717
       1.113500       0.684107       0.000731
       1.118500       0.685587       0.000624
       1.123500       0.686100       0.000831
       1.128500       0.686188       0.000811
       1.133500       0.688447       0.000897
       1.138500       0.690078       0.000721
       1.143500       0.690804       0.000666
       1.148500       0.691524       0.000838
       1.153500       0.691666       0.000943
       1.158500       0.692224       0.000684
       1.163500       0.693926       0.000728
       1.168500       0.695539       0.000909
       1.173500       0.695055       0.001184
       1.178500       0.697018       0.000803
       1.183500       0.699026       0.000859
       1.188500       0.703069       0.000925
       1.193500       0.702725       0.001054
       1.198500       0.703401       0.000585
       1.203500       0.702345       0.000736
       1.208500       0.705988       0.000807
       1.213500       0.706385       0.000847
       1.218500       0.709930       0.000603
       1.223500       0.710264       0.000826
       1.228500       0.710914       0.000529
       1.233500       0.710091       0.001313
       1.238500       0.712646       0.000752
       1.243500       0.715546       0.000789
       1.248500       0.717710       0.000777
       1.253500       0.717829       0.000704
       1.258500       0.719637       0.000804
       1.263500       0.719705       0.000774
       1.268500       0.721946       0.000733
       1.273500       0.724059       0.000650
       1.278500       0.723953       0.001159
       1.283500       0.725202       0.000801
       1.288500       0.726045       0.000832
       1.293500       0.728304       0.000742
       1.298500       0.726795       0.001001
       1.303500       0.727720       0.000753
       1.308500       0.728913       0.000593
       1.313500       0.729432       0.000736
       1.318500       0.732603       0.000669
       1.323500       0.732684       0.000630
       1.328500       0.733718       0.000823
       1.333500       0.733917       0.000490
       1.338500       0.735683       0.000892
       1.343500       0.735494       0.000620
       1.348500       0.738669       0.000788
       1.353500       0.738830       0.000792
       1.358500       0.738922       0.000888
       1.363500       0.741330       0.000872
       1.368500       0.738674       0.000776
       1.373500       0.738969       0.000833
       1.378500       0.737226       0.000906
       1.383500       0.740901       0.001035
       1.388500       0.734715       0.000887
       1.393500       0.725860       0.000922
       1.398500       0.709702       0.000953
       1.403500       0.676342       0.001200
       1.408500       0.655469       0.001380
       1.413500       0.640401       0.000937
       1.418500       0.646862       0.000769
       1.423500       0.669373       0.001029
       1.428500       0.689957       0.000835
       1.433500       0.714490       0.000954
       1.438500       0.728116       0.000825
       1.443500       0.737518       0.001077
       1.448500       0.744664       0.000890
       1.453500       0.745696       0.000817
       1.458500       0.751907       0.000814
       1.463500       0.747090       0.000737
       1.468500       0.752282       0.001925
       1.473500       0.753456       0.001019
       1.478500       0.752336       0.000879
       1.483500       0.754212       0.000967
       1.488500       0.758157       0.000823
       1.493500       0.755506       0.000836
       1.498500       0.754810       0.000989
       1.503500       0.758931       0.001282
       1.508500       0.758911       0.001048
       1.513500       0.758164       0.000988
       1.518500       0.760792       0.000971
       1.523500       0.765670       0.001046
       1.528500       0.763825       0.001119
       1.534000       0.764267       0.000975
       1.540000       0.763363       0.000726
       1.546000       0.762935       0.000919
       1.552000       0.765641       0.001325
       1.558000       0.767307       0.000926
       1.564000       0.770140       0.001037
       1.570500       0.766274       0.000599
       1.577500       0.768026       0.000684
       1.584500       0.768881       0.000688
       1.591500       0.768502       0.000666
       1.598500       0.769911       0.000623
       1.605500       0.770621       0.000743
       1.612500       0.770100       0.000828
       1.619500       0.771915       0.000750
       1.626500       0.770018       0.000719
       1.633500       0.770873       0.000647
       1.640500       0.770677       0.000817
       1.647500       0.769876       0.000566
       1.654500       0.770606       0.000947
       1.661500       0.773459       0.000842
       1.668500       0.770375       0.000731
       1.676000       0.770792       0.000665
       1.684000       0.771173       0.001033
       1.692000       0.777878       0.001179
       1.700000       0.776849       0.001245
       1.708000       0.778321       0.001286
       1.716000       0.772886       0.001413
       1.724000       0.773402       0.000960
       1.732000       0.776261       0.001460
       1.740000       0.773079       0.001735
       1.748000       0.778033       0.001631
       1.756000       0.775606       0.001425
       1.764000       0.776024       0.001577
       1.772000       0.772448       0.000963
       1.780000       0.775124       0.001155
       1.788000       0.779165       0.001268
       1.796000       0.772999       0.000802
       1.805000       0.773516       0.000664
       1.815000       0.773407       0.000669
       1.825000       0.769897       0.000852
       1.835000       0.773820       0.000909
       1.845000       0.770807       0.001245
       1.855000       0.769384       0.001120
       1.865000       0.767087       0.000834
       1.875000       0.764250       0.001058
       1.885000       0.760202       0.000973
       1.895000       0.750168       0.000908
       1.905000       0.739740       0.000851
       1.915000       0.729961       0.000850
       1.925000       0.726680       0.000965
       1.935000       0.728778       0.000996
       1.945000       0.730770       0.000951
       1.955000       0.734471       0.000945
       1.965000       0.738623       0.001228
       1.975000       0.744259       0.001508
       1.985000       0.747681       0.000844
       1.995000       0.748970       0.001477
       2.005000       0.751340       0.000954
       2.015000       0.759954       0.001277
       2.025000       0.757740       0.001218
       2.035000       0.758089       0.001280
       2.045000       0.758968       0.001134
       2.055000       0.762426       0.001550
       2.065000       0.761840       0.001616
       2.075000       0.764818       0.001461
       2.085000       0.761132       0.001621
       2.095000       0.759425       0.001628
       2.105000       0.756413       0.001871
       2.115000       0.748889       0.001838
       2.125000       0.749392       0.001729
       2.135000       0.750312       0.001408
       2.145000       0.744983       0.001829
       2.155000       0.740204       0.000982
       2.165000       0.728726       0.001487
       2.175000       0.709331       0.001608
       2.185000       0.676434       0.001821
       2.195000       0.616819       0.001872
       2.205000       0.581924       0.001863
       2.215000       0.571968       0.001921
       2.225000       0.602280       0.001913
       2.235000       0.622174       0.001894
       2.245000       0.635336       0.001929
       2.255000       0.654188       0.001945
       2.265000       0.678299       0.001974
       2.275000       0.698094       0.001984
       2.285000       0.695340       0.002287
       2.295000       0.700549       0.003067
       2.305000       0.691320       0.002928
       2.315000       0.673152       0.002857
       2.325000       0.654883       0.001943
       2.335000       0.632327       0.001909
       2.345000       0.611539       0.001857
