USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Oligoclase HS110.3B          W1R1Bc AREF
copy of splib05a r 5014                                     
       0.205100      -1.23e34        0.217292
       0.213100      -1.23e34        0.021532
       0.221100       0.226928       0.005265
       0.229100       0.210258       0.002210
       0.236100       0.180836       0.001492
       0.242100       0.170398       0.001148
       0.248100       0.166668       0.001094
       0.253600       0.171003       0.001064
       0.258600       0.176429       0.001053
       0.263600       0.184538       0.001044
       0.268600       0.195865       0.001070
       0.273100       0.213611       0.001104
       0.277100       0.231078       0.001123
       0.281100       0.254298       0.001164
       0.285100       0.280401       0.001192
       0.289100       0.313847       0.001252
       0.293100       0.352484       0.001306
       0.297100       0.389721       0.001347
       0.301100       0.428401       0.001405
       0.305100       0.472249       0.001468
       0.309100       0.504947       0.001513
       0.313100       0.537978       0.001562
       0.317100       0.573931       0.001588
       0.321100       0.603680       0.001635
       0.325100       0.629060       0.001567
       0.329100       0.651579       0.001655
       0.333100       0.661138       0.001664
       0.337100       0.678991       0.001678
       0.341100       0.698103       0.001660
       0.345100       0.710017       0.001722
       0.349100       0.721925       0.001732
       0.353100       0.735890       0.001638
       0.357100       0.745009       0.001453
       0.360600       0.752703       0.001700
       0.363600       0.756898       0.001464
       0.366600       0.760650       0.001655
       0.369600       0.765474       0.001697
       0.372600       0.766478       0.001365
       0.375600       0.773844       0.001703
       0.378600       0.772694       0.001716
       0.381100       0.774654       0.001646
       0.383100       0.776518       0.001747
       0.385100       0.781403       0.001722
       0.387100       0.784423       0.001661
       0.389100       0.790062       0.001755
       0.391100       0.792264       0.001750
       0.393100       0.797072       0.001677
       0.395100       0.795596       0.001713
       0.397100       0.795245       0.001644
       0.399100       0.800852       0.001783
       0.401100       0.802963       0.001763
       0.403100       0.803417       0.001531
       0.405100       0.805143       0.001252
       0.407100       0.807813       0.001161
       0.409100       0.809597       0.001369
       0.411100       0.808930       0.001663
       0.412800       0.814606       0.001708
       0.415800       0.809926       0.001718
       0.418800       0.812011       0.001712
       0.421800       0.817037       0.001629
       0.424800       0.818711       0.001798
       0.427800       0.819927       0.001634
       0.430800       0.820365       0.001223
       0.433800       0.817901       0.001754
       0.436800       0.820760       0.001283
       0.439800       0.827111       0.001330
       0.442800       0.828320       0.001334
       0.445800       0.828766       0.001729
       0.448800       0.832699       0.001645
       0.451300       0.830924       0.001662
       0.453300       0.833366       0.001812
       0.455300       0.837537       0.001848
       0.457300       0.837848       0.001831
       0.459300       0.839784       0.001796
       0.461300       0.839241       0.001426
       0.463300       0.841313       0.001630
       0.465300       0.843072       0.001804
       0.467300       0.844310       0.001516
       0.469300       0.840202       0.001826
       0.471300       0.848834       0.001868
       0.473300       0.846267       0.001800
       0.475300       0.844304       0.001834
       0.477300       0.849912       0.001812
       0.479300       0.847675       0.001385
       0.481300       0.849336       0.001696
       0.483300       0.851884       0.001743
       0.485300       0.849884       0.001682
       0.487300       0.852633       0.001770
       0.489300       0.853248       0.001685
       0.491300       0.857018       0.001677
       0.493300       0.854446       0.001849
       0.495300       0.853880       0.001870
       0.497300       0.857999       0.001742
       0.499300       0.852689       0.001613
       0.501300       0.857610       0.001544
       0.503300       0.855200       0.001730
       0.505300       0.853811       0.001870
       0.507300       0.855435       0.001827
       0.509300       0.851912       0.001876
       0.511300       0.854290       0.001263
       0.513300       0.860242       0.001733
       0.515300       0.861409       0.001875
       0.517300       0.856551       0.001840
       0.519300       0.854852       0.001331
       0.521300       0.858968       0.001856
       0.523300       0.859200       0.001794
       0.525300       0.856676       0.001712
       0.527300       0.856234       0.001597
       0.529300       0.856857       0.001638
       0.531300       0.856125       0.001742
       0.533300       0.861282       0.001873
       0.535300       0.860435       0.001869
       0.537300       0.863236       0.001870
       0.539300       0.864013       0.001535
       0.541300       0.863672       0.001581
       0.543300       0.862480       0.001855
       0.545300       0.863883       0.001855
       0.547300       0.860547       0.001849
       0.549300       0.865535       0.001201
       0.551300       0.865706       0.001811
       0.553300       0.863973       0.001446
       0.555300       0.868483       0.001828
       0.557300       0.861493       0.001823
       0.559300       0.866472       0.001900
       0.561300       0.871830       0.001574
       0.563300       0.868557       0.001580
       0.565300       0.864185       0.001453
       0.567300       0.862935       0.001553
       0.569300       0.868599       0.001884
       0.571300       0.871410       0.001893
       0.573300       0.871149       0.001894
       0.575300       0.872406       0.001787
       0.577300       0.873631       0.001734
       0.579300       0.875088       0.001686
       0.581300       0.867776       0.001765
       0.583300       0.873288       0.001747
       0.585300       0.868791       0.001834
       0.587300       0.874306       0.001855
       0.589300       0.879612       0.001842
       0.591300       0.877542       0.001817
       0.593300       0.877189       0.001898
       0.595300       0.878827       0.001882
       0.597300       0.881523       0.001911
       0.599300       0.878886       0.001890
       0.601100       0.879461       0.001885
       0.602700       0.879981       0.001885
       0.604300       0.882068       0.001896
       0.605900       0.882947       0.001890
       0.607500       0.880268       0.001528
       0.609100       0.881588       0.001434
       0.610700       0.886185       0.001881
       0.612300       0.883894       0.001174
       0.613900       0.880115       0.001859
       0.615500       0.888624       0.001527
       0.617100       0.886206       0.001907
       0.618700       0.885846       0.001859
       0.620300       0.886101       0.001850
       0.621900       0.883502       0.001370
       0.623500       0.885500       0.001849
       0.625100       0.886132       0.001303
       0.626700       0.885456       0.001871
       0.628300       0.886329       0.001532
       0.629900       0.886860       0.001885
       0.631700       0.885736       0.001023
       0.633700       0.889407       0.001376
       0.635700       0.890831       0.001781
       0.637700       0.887173       0.001849
       0.639700       0.888948       0.001872
       0.641700       0.890229       0.001889
       0.643700       0.888038       0.001861
       0.645700       0.889567       0.001883
       0.647700       0.891009       0.001453
       0.649700       0.891563       0.001791
       0.651700       0.889748       0.001624
       0.653700       0.892963       0.001715
       0.655700       0.892686       0.001392
       0.657700       0.893145       0.001515
       0.659700       0.895286       0.000994
       0.661700       0.892538       0.001161
       0.663700       0.892253       0.001426
       0.665700       0.893246       0.001339
       0.667700       0.896251       0.001787
       0.670200       0.897841       0.001853
       0.673200       0.896853       0.001877
       0.676200       0.899590       0.001306
       0.679200       0.896302       0.001894
       0.682200       0.897841       0.001901
       0.685200       0.897855       0.001915
       0.688200       0.896598       0.001930
       0.691200       0.902682       0.001832
       0.694200       0.893921       0.001760
       0.697200       0.896083       0.001934
       0.700200       0.901730       0.001924
       0.702000       0.901430       0.001887
       0.704000       0.897356       0.001775
       0.706000       0.901447       0.001929
       0.708000       0.900188       0.001819
       0.710000       0.901949       0.001784
       0.712000       0.902308       0.001700
       0.714000       0.902327       0.001682
       0.716000       0.901353       0.000805
       0.718000       0.900989       0.001176
       0.720000       0.896839       0.001720
       0.722000       0.905513       0.001500
       0.724000       0.900101       0.001371
       0.726000       0.903399       0.001501
       0.728000       0.902385       0.001416
       0.730000       0.905294       0.001117
       0.732000       0.909045       0.001798
       0.734000       0.904767       0.001837
       0.736000       0.909420       0.001855
       0.738000       0.906803       0.001907
       0.740000       0.906499       0.001947
       0.742000       0.904563       0.001267
       0.744000       0.905633       0.001631
       0.746000       0.907093       0.001751
       0.748000       0.909140       0.000929
       0.750500       0.908525       0.001970
       0.753500       0.908832       0.001001
       0.756500       0.907698       0.000861
       0.759500       0.907948       0.001460
       0.762500       0.908706       0.001579
       0.765500       0.912147       0.001805
       0.768500       0.910854       0.001834
       0.771500       0.910528       0.001650
       0.774500       0.911078       0.001918
       0.777500       0.910807       0.001087
       0.781000       0.912554       0.001639
       0.785000       0.910982       0.001516
       0.789000       0.913900       0.001107
       0.793000       0.917326       0.001853
       0.797000       0.911017       0.001630
       0.801500       0.911081       0.001259
       0.806500       0.913217       0.001065
       0.811500       0.913937       0.001557
       0.816500       0.914049       0.001525
       0.822000       0.908921       0.001188
       0.828000       0.913353       0.001495
       0.835000       0.911966       0.001974
       0.843000      -1.23e34        0.000000
       0.851000       0.912774       0.002233
       0.859000       0.913328       0.002074
       0.871000       0.907090       0.002114
       0.883000       0.905433       0.002098
       0.894000       0.906316       0.002064
       0.904000       0.901872       0.001943
       0.914000       0.904711       0.001977
       0.924000       0.902608       0.001730
       0.933000       0.898907       0.001630
       0.941000       0.895836       0.001717
       0.949000       0.894393       0.001562
       0.957000       0.889883       0.001973
       0.964000       0.892408       0.002030
       0.970000       0.886353       0.001449
       0.976000       0.889247       0.001573
       0.982000       0.891785       0.001747
       0.988000       0.886256       0.001400
       0.994000       0.882264       0.001771
       1.000000       0.881588       0.001964
       1.006000       0.880328       0.001626
       1.012000       0.878830       0.001341
       1.018000       0.873153       0.001592
       1.023500       0.875656       0.001995
       1.028500       0.875388       0.001445
       1.033500       0.872218       0.001688
       1.038500       0.874984       0.001887
       1.043500       0.872266       0.001864
       1.048500       0.871703       0.001534
       1.053500       0.869759       0.001370
       1.058500       0.870860       0.001325
       1.063500       0.867237       0.001559
       1.068500       0.862940       0.001375
       1.073500       0.862305       0.001389
       1.078500       0.865472       0.001460
       1.083500       0.857582       0.001056
       1.088500       0.860314       0.001305
       1.093500       0.857551       0.001595
       1.098500       0.858830       0.001330
       1.103500       0.856941       0.001431
       1.108500       0.854884       0.001403
       1.113500       0.857204       0.001414
       1.118500       0.855858       0.000939
       1.123500       0.852892       0.000957
       1.128500       0.853462       0.000996
       1.133500       0.850507       0.001198
       1.138500       0.847681       0.001261
       1.143500       0.851008       0.001358
       1.148500       0.852318       0.001474
       1.153500       0.848453       0.001192
       1.158500       0.850161       0.001238
       1.163500       0.847154       0.001137
       1.168500       0.845335       0.001503
       1.173500       0.845193       0.001423
       1.178500       0.849199       0.001299
       1.183500       0.842354       0.001727
       1.188500       0.842620       0.001647
       1.193500       0.846768       0.001504
       1.198500       0.842754       0.001369
       1.203500       0.842789       0.001045
       1.208500       0.844703       0.001248
       1.213500       0.841292       0.001029
       1.218500       0.841245       0.001427
       1.223500       0.841312       0.001053
       1.228500       0.843650       0.001000
       1.233500       0.840537       0.001026
       1.238500       0.844840       0.001082
       1.243500       0.847507       0.001284
       1.248500       0.842958       0.000987
       1.253500       0.841013       0.001142
       1.258500       0.843317       0.001205
       1.263500       0.845225       0.001094
       1.268500       0.842207       0.001207
       1.273500       0.845693       0.000886
       1.278500       0.841204       0.001489
       1.283500       0.843159       0.001089
       1.288500       0.843765       0.000913
       1.293500       0.844345       0.001141
       1.298500       0.841962       0.001063
       1.303500       0.845768       0.000901
       1.308500       0.844117       0.001250
       1.313500       0.844365       0.001011
       1.318500       0.843158       0.000936
       1.323500       0.844838       0.000753
       1.328500       0.846582       0.000958
       1.333500       0.846000       0.001343
       1.338500       0.846184       0.001290
       1.343500       0.850043       0.001562
       1.348500       0.846657       0.001238
       1.353500       0.852356       0.001421
       1.358500       0.847727       0.001437
       1.363500       0.842709       0.001323
       1.368500       0.847204       0.001576
       1.373500       0.849315       0.001544
       1.378500       0.848838       0.001425
       1.383500       0.845016       0.001584
       1.388500       0.847249       0.001875
       1.393500       0.843937       0.001474
       1.398500       0.831630       0.001815
       1.403500       0.820355       0.001870
       1.408500       0.815623       0.001213
       1.413500       0.817072       0.001322
       1.418500       0.826885       0.001816
       1.423500       0.827848       0.001359
       1.428500       0.832788       0.001680
       1.433500       0.833464       0.001389
       1.438500       0.835643       0.001306
       1.443500       0.833937       0.001448
       1.448500       0.832317       0.001655
       1.453500       0.837036       0.001385
       1.458500       0.837230       0.001180
       1.463500       0.835299       0.001425
       1.468500       0.834882       0.001281
       1.473500       0.838490       0.001680
       1.478500       0.837160       0.001467
       1.483500       0.839302       0.001555
       1.488500       0.845218       0.001464
       1.493500       0.848349       0.001175
       1.498500       0.848247       0.001543
       1.503500       0.849287       0.002000
       1.508500       0.848883       0.001709
       1.513500       0.848859       0.001733
       1.518500       0.853115       0.001438
       1.523500       0.858373       0.001967
       1.528500       0.862191       0.002102
       1.534000       0.858834       0.001365
       1.540000       0.862420       0.001293
       1.546000       0.865733       0.001994
       1.552000       0.864581       0.001471
       1.558000       0.868193       0.001489
       1.564000       0.866308       0.000979
       1.570500       0.868578       0.001204
       1.577500       0.870995       0.000862
       1.584500       0.867422       0.001315
       1.591500       0.870601       0.001186
       1.598500       0.869526       0.001198
       1.605500       0.873457       0.001264
       1.612500       0.872901       0.001620
       1.619500       0.874941       0.001270
       1.626500       0.872052       0.001342
       1.633500       0.873678       0.001748
       1.640500       0.871824       0.001166
       1.647500       0.871436       0.001798
       1.654500       0.873405       0.001981
       1.661500       0.875414       0.001718
       1.668500       0.877012       0.001560
       1.676000       0.878014       0.001463
       1.684000       0.869675       0.001968
       1.692000       0.874027       0.002152
       1.700000       0.876114       0.002144
       1.708000       0.872028       0.001908
       1.716000       0.876947       0.001936
       1.724000       0.873182       0.001960
       1.732000       0.868792       0.002103
       1.740000       0.874099       0.002153
       1.748000       0.872812       0.002162
       1.756000       0.874283       0.001867
       1.764000       0.878111       0.001777
       1.772000       0.873978       0.002142
       1.780000       0.872105       0.002085
       1.788000       0.872086       0.001705
       1.796000       0.872746       0.001045
       1.805000       0.872252       0.001210
       1.815000       0.873897       0.001219
       1.825000       0.870332       0.001409
       1.835000       0.870753       0.001224
       1.845000       0.869822       0.001152
       1.855000       0.872406       0.001545
       1.865000       0.869399       0.001569
       1.875000       0.864817       0.001997
       1.885000       0.845266       0.001729
       1.895000       0.839884       0.001170
       1.905000       0.794795       0.001952
       1.915000       0.778144       0.001621
       1.925000       0.770183       0.001936
       1.935000       0.768448       0.001967
       1.945000       0.771472       0.002029
       1.955000       0.766813       0.001498
       1.965000       0.780630       0.001863
       1.975000       0.791124       0.001295
       1.985000       0.796113       0.001912
       1.995000       0.807130       0.001983
       2.005000       0.812871       0.001670
       2.015000       0.821871       0.001990
       2.025000       0.821719       0.001563
       2.035000       0.835075       0.001502
       2.045000       0.841065       0.002056
       2.055000       0.844539       0.001859
       2.065000       0.850313       0.001938
       2.075000       0.851835       0.002108
       2.085000       0.848847       0.002038
       2.095000       0.860070       0.002120
       2.105000       0.860141       0.002062
       2.115000       0.858648       0.002112
       2.125000       0.857467       0.002116
       2.135000       0.865045       0.002077
       2.145000       0.860717       0.002046
       2.155000       0.862462       0.001998
       2.165000       0.850992       0.001929
       2.175000       0.848472       0.001903
       2.185000       0.820572       0.002121
       2.195000       0.812548       0.002094
       2.205000       0.816121       0.002132
       2.215000       0.820237       0.002144
       2.225000       0.828880       0.002146
       2.235000       0.829187       0.002155
       2.245000       0.834329       0.002171
       2.255000       0.837578       0.002170
       2.265000       0.834024       0.002176
       2.275000       0.838752       0.002431
       2.285000       0.827728       0.002769
       2.295000       0.833467       0.004211
       2.305000       0.826438       0.003876
       2.315000       0.819661       0.002656
       2.325000       0.810309       0.002136
       2.335000       0.796154       0.002038
       2.345000       0.793431       0.001912
