USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Olivine HS420.3B Fo          W1R1Bc AREF
copy of splib05a r 5127                                     
       0.205100      -1.23e34        0.291530
       0.213100      -1.23e34        0.023297
       0.221100       0.039803       0.005945
       0.229100       0.052299       0.002508
       0.236100       0.057698       0.001522
       0.242100       0.056459       0.001142
       0.248100       0.056765       0.001092
       0.253600       0.056822       0.001057
       0.258600       0.057868       0.001046
       0.263600       0.058729       0.001047
       0.268600       0.061822       0.001065
       0.273100       0.063765       0.001091
       0.277100       0.066658       0.001105
       0.281100       0.071682       0.001139
       0.285100       0.072901       0.001173
       0.289100       0.076357       0.001222
       0.293100       0.079098       0.001275
       0.297100       0.084516       0.001293
       0.301100       0.087414       0.001355
       0.305100       0.094253       0.001410
       0.309100       0.100217       0.001400
       0.313100       0.104941       0.001454
       0.317100       0.115107       0.001478
       0.321100       0.126408       0.001498
       0.325100       0.139870       0.001495
       0.329100       0.152202       0.001517
       0.333100       0.168539       0.001433
       0.337100       0.183312       0.001536
       0.341100       0.203654       0.001448
       0.345100       0.223776       0.001510
       0.349100       0.246578       0.001536
       0.353100       0.266656       0.001535
       0.357100       0.285450       0.001202
       0.360600       0.299187       0.001528
       0.363600       0.307247       0.001559
       0.366600       0.315396       0.001512
       0.369600       0.322769       0.001177
       0.372600       0.327948       0.001543
       0.375600       0.332292       0.001575
       0.378600       0.334160       0.001545
       0.381100       0.338033       0.001546
       0.383100       0.340020       0.001552
       0.385100       0.341284       0.001387
       0.387100       0.344279       0.001521
       0.389100       0.343890       0.000803
       0.391100       0.349935       0.001558
       0.393100       0.353084       0.001577
       0.395100       0.354390       0.001196
       0.397100       0.355388       0.001493
       0.399100       0.360503       0.001445
       0.401100       0.361041       0.000877
       0.403100       0.361354       0.000949
       0.405100       0.371734       0.001318
       0.407100       0.377192       0.001562
       0.409100       0.381373       0.001391
       0.411100       0.379393       0.001299
       0.412800       0.384828       0.001596
       0.415800       0.384519       0.001053
       0.418800       0.391105       0.001524
       0.421800       0.391025       0.000954
       0.424800       0.390089       0.001498
       0.427800       0.393381       0.001566
       0.430800       0.393754       0.000805
       0.433800       0.393661       0.000988
       0.436800       0.395938       0.000786
       0.439800       0.399518       0.001282
       0.442800       0.402154       0.001542
       0.445800       0.400516       0.000877
       0.448800       0.400804       0.001079
       0.451300       0.400457       0.001648
       0.453300       0.399944       0.001631
       0.455300       0.402039       0.001629
       0.457300       0.404939       0.001646
       0.459300       0.405831       0.001639
       0.461300       0.411780       0.001627
       0.463300       0.414973       0.001659
       0.465300       0.415842       0.001661
       0.467300       0.419536       0.001635
       0.469300       0.421854       0.001615
       0.471300       0.419206       0.001479
       0.473300       0.422543       0.001314
       0.475300       0.427713       0.001644
       0.477300       0.429975       0.001651
       0.479300       0.433337       0.001591
       0.481300       0.431137       0.001205
       0.483300       0.435223       0.001643
       0.485300       0.431339       0.001647
       0.487300       0.429704       0.000993
       0.489300       0.431111       0.001645
       0.491300       0.430592       0.001609
       0.493300       0.434385       0.001676
       0.495300       0.432298       0.001660
       0.497300       0.433267       0.001610
       0.499300       0.439522       0.001538
       0.501300       0.443557       0.001287
       0.503300       0.445522       0.001328
       0.505300       0.448313       0.001259
       0.507300       0.450175       0.001678
       0.509300       0.450927       0.001686
       0.511300       0.453084       0.001165
       0.513300       0.458295       0.001451
       0.515300       0.457212       0.001701
       0.517300       0.457419       0.001662
       0.519300       0.455784       0.001341
       0.521300       0.458078       0.001530
       0.523300       0.459426       0.001301
       0.525300       0.459187       0.001662
       0.527300       0.461342       0.001677
       0.529300       0.462842       0.001165
       0.531300       0.462891       0.001669
       0.533300       0.466854       0.001680
       0.535300       0.464797       0.001655
       0.537300       0.468284       0.001708
       0.539300       0.467877       0.001668
       0.541300       0.467609       0.001035
       0.543300       0.470950       0.001714
       0.545300       0.472404       0.001703
       0.547300       0.474296       0.001677
       0.549300       0.475121       0.001095
       0.551300       0.474467       0.001616
       0.553300       0.475465       0.001669
       0.555300       0.476987       0.001174
       0.557300       0.476698       0.001708
       0.559300       0.475755       0.001178
       0.561300       0.477201       0.001508
       0.563300       0.476133       0.001645
       0.565300       0.477763       0.001703
       0.567300       0.474380       0.001445
       0.569300       0.478853       0.001711
       0.571300       0.477801       0.001304
       0.573300       0.476459       0.001588
       0.575300       0.473333       0.000685
       0.577300       0.475360       0.000827
       0.579300       0.473168       0.001148
       0.581300       0.472587       0.001587
       0.583300       0.472845       0.000817
       0.585300       0.469007       0.001018
       0.587300       0.468708       0.001309
       0.589300       0.469739       0.001327
       0.591300       0.471846       0.001688
       0.593300       0.467620       0.001436
       0.595300       0.467856       0.001673
       0.597300       0.468477       0.001654
       0.599300       0.466416       0.001665
       0.601100       0.464859       0.001676
       0.602700       0.464504       0.001676
       0.604300       0.463391       0.001158
       0.605900       0.463175       0.001703
       0.607500       0.462445       0.001688
       0.609100       0.461562       0.001676
       0.610700       0.460382       0.001597
       0.612300       0.460131       0.001089
       0.613900       0.458741       0.001308
       0.615500       0.460215       0.001513
       0.617100       0.455870       0.001173
       0.618700       0.454071       0.001100
       0.620300       0.456071       0.001668
       0.621900       0.455774       0.001703
       0.623500       0.450897       0.001676
       0.625100       0.454539       0.001662
       0.626700       0.452446       0.001631
       0.628300       0.451028       0.001450
       0.629900       0.448793       0.001658
       0.631700       0.450718       0.000948
       0.633700       0.450649       0.001573
       0.635700       0.452741       0.001638
       0.637700       0.450284       0.001671
       0.639700       0.449403       0.001585
       0.641700       0.447537       0.001179
       0.643700       0.449251       0.001688
       0.645700       0.451908       0.001660
       0.647700       0.450802       0.001624
       0.649700       0.454340       0.001608
       0.651700       0.452695       0.001413
       0.653700       0.453400       0.000816
       0.655700       0.454146       0.001291
       0.657700       0.453894       0.001344
       0.659700       0.454429       0.001130
       0.661700       0.456506       0.001506
       0.663700       0.453990       0.001025
       0.665700       0.456794       0.001151
       0.667700       0.456882       0.001675
       0.670200       0.453113       0.001657
       0.673200       0.454182       0.001612
       0.676200       0.453730       0.001257
       0.679200       0.452553       0.001698
       0.682200       0.450509       0.001372
       0.685200       0.450427       0.000971
       0.688200       0.449846       0.001184
       0.691200       0.446913       0.001394
       0.694200       0.446042       0.001476
       0.697200       0.445264       0.001068
       0.700200       0.442740       0.001670
       0.702000       0.441500       0.001226
       0.704000       0.438824       0.000950
       0.706000       0.438032       0.001678
       0.708000       0.436567       0.001628
       0.710000       0.435662       0.001671
       0.712000       0.432025       0.001385
       0.714000       0.430675       0.001167
       0.716000       0.429870       0.001239
       0.718000       0.428100       0.001325
       0.720000       0.426379       0.001620
       0.722000       0.425386       0.000652
       0.724000       0.422845       0.001352
       0.726000       0.419565       0.001343
       0.728000       0.419326       0.000980
       0.730000       0.417652       0.001033
       0.732000       0.416389       0.001208
       0.734000       0.413940       0.001606
       0.736000       0.412503       0.001028
       0.738000       0.410765       0.001723
       0.740000       0.409557       0.001426
       0.742000       0.404788       0.001696
       0.744000       0.399792       0.001714
       0.746000       0.400795       0.001480
       0.748000       0.397413       0.000991
       0.750500       0.393850       0.001542
       0.753500       0.390680       0.000603
       0.756500       0.386816       0.000856
       0.759500       0.383074       0.001484
       0.762500       0.378471       0.001387
       0.765500       0.376350       0.000767
       0.768500       0.368444       0.001003
       0.771500       0.369296       0.001666
       0.774500       0.363379       0.000981
       0.777500       0.360223       0.000985
       0.781000       0.356624       0.000955
       0.785000       0.350929       0.001395
       0.789000       0.347972       0.001167
       0.793000       0.345281       0.000971
       0.797000       0.339623       0.001606
       0.801500       0.333105       0.001155
       0.806500       0.328008       0.001381
       0.811500       0.326748       0.001370
       0.816500       0.320788       0.001697
       0.822000       0.315848       0.001697
       0.828000       0.308758       0.000925
       0.835000       0.299359       0.001699
       0.843000      -1.23e34        0.000000
       0.851000       0.296699       0.002021
       0.859000       0.288609       0.001800
       0.871000       0.283484       0.001819
       0.883000       0.274162       0.001815
       0.894000       0.262797       0.001748
       0.904000       0.258666       0.001743
       0.914000       0.252272       0.001285
       0.924000       0.243418       0.001484
       0.933000       0.236021       0.001803
       0.941000       0.227603       0.001038
       0.949000       0.218863       0.001526
       0.957000       0.208110       0.001715
       0.964000       0.203732       0.001799
       0.970000       0.198781       0.001700
       0.976000       0.192167       0.001717
       0.982000       0.189413       0.001415
       0.988000       0.183823       0.000867
       0.994000       0.175804       0.001396
       1.000000       0.173899       0.001755
       1.006000       0.168995       0.001477
       1.012000       0.165474       0.001127
       1.018000       0.162762       0.001362
       1.023500       0.163294       0.001378
       1.028500       0.159257       0.001053
       1.033500       0.160621       0.001522
       1.038500       0.155984       0.001235
       1.043500       0.156806       0.001733
       1.048500       0.154678       0.001472
       1.053500       0.156071       0.001152
       1.058500       0.156127       0.001151
       1.063500       0.156949       0.001443
       1.068500       0.157013       0.001474
       1.073500       0.157405       0.001652
       1.078500       0.158463       0.001533
       1.083500       0.158991       0.001479
       1.088500       0.162112       0.000849
       1.093500       0.166558       0.001280
       1.098500       0.164935       0.001651
       1.103500       0.168959       0.001020
       1.108500       0.170868       0.001547
       1.113500       0.173641       0.001444
       1.118500       0.176381       0.001579
       1.123500       0.178756       0.001432
       1.128500       0.179517       0.001527
       1.133500       0.182583       0.001672
       1.138500       0.185952       0.000964
       1.143500       0.187801       0.001111
       1.148500       0.192075       0.001179
       1.153500       0.191511       0.000961
       1.158500       0.192682       0.001253
       1.163500       0.192452       0.001511
       1.168500       0.195327       0.001570
       1.173500       0.196690       0.001457
       1.178500       0.197412       0.001064
       1.183500       0.199781       0.001437
       1.188500       0.201968       0.001745
       1.193500       0.203473       0.000899
       1.198500       0.201763       0.000994
       1.203500       0.204971       0.001424
       1.208500       0.205814       0.000901
       1.213500       0.207039       0.001393
       1.218500       0.207200       0.001332
       1.223500       0.209591       0.000987
       1.228500       0.210937       0.000873
       1.233500       0.212219       0.001213
       1.238500       0.210572       0.001302
       1.243500       0.216729       0.001201
       1.248500       0.216171       0.000950
       1.253500       0.216209       0.001254
       1.258500       0.218922       0.000919
       1.263500       0.221368       0.001295
       1.268500       0.222563       0.001298
       1.273500       0.225805       0.001009
       1.278500       0.225044       0.000943
       1.283500       0.227671       0.001134
       1.288500       0.230671       0.000761
       1.293500       0.232524       0.001205
       1.298500       0.234755       0.001595
       1.303500       0.239769       0.001262
       1.308500       0.239786       0.000958
       1.313500       0.243115       0.001124
       1.318500       0.240378       0.000802
       1.323500       0.246907       0.001083
       1.328500       0.247747       0.001010
       1.333500       0.255151       0.001444
       1.338500       0.257881       0.001427
       1.343500       0.260151       0.001151
       1.348500       0.263100       0.001069
       1.353500       0.268361       0.001321
       1.358500       0.270721       0.001178
       1.363500       0.273163       0.001595
       1.368500       0.279020       0.001524
       1.373500       0.279140       0.001242
       1.378500       0.282698       0.001801
       1.383500       0.283792       0.001408
       1.388500       0.291371       0.001610
       1.393500       0.295024       0.001846
       1.398500       0.298427       0.001738
       1.403500       0.304695       0.001207
       1.408500       0.309203       0.001783
       1.413500       0.316238       0.001751
       1.418500       0.319640       0.001766
       1.423500       0.323892       0.001194
       1.428500       0.329644       0.001799
       1.433500       0.331957       0.001810
       1.438500       0.338272       0.001743
       1.443500       0.335886       0.001591
       1.448500       0.337150       0.001075
       1.453500       0.346195       0.001330
       1.458500       0.354071       0.001310
       1.463500       0.359506       0.001723
       1.468500       0.363760       0.001603
       1.473500       0.368661       0.001816
       1.478500       0.369620       0.001739
       1.483500       0.374586       0.001563
       1.488500       0.378014       0.001683
       1.493500       0.381965       0.001866
       1.498500       0.385923       0.001674
       1.503500       0.390404       0.001855
       1.508500       0.388478       0.001850
       1.513500       0.392229       0.001526
       1.518500       0.394637       0.001806
       1.523500       0.398862       0.001800
       1.528500       0.405124       0.001795
       1.534000       0.408817       0.001041
       1.540000       0.413133       0.001417
       1.546000       0.417948       0.001823
       1.552000       0.419141       0.001770
       1.558000       0.424696       0.001472
       1.564000       0.426156       0.001421
       1.570500       0.428695       0.001009
       1.577500       0.429671       0.001206
       1.584500       0.430326       0.001035
       1.591500       0.437751       0.001363
       1.598500       0.438282       0.001302
       1.605500       0.442817       0.001144
       1.612500       0.443588       0.001409
       1.619500       0.446685       0.000977
       1.626500       0.447427       0.001307
       1.633500       0.450307       0.001442
       1.640500       0.449920       0.001279
       1.647500       0.447581       0.001171
       1.654500       0.451985       0.000766
       1.661500       0.452852       0.001344
       1.668500       0.453536       0.001364
       1.676000       0.452924       0.001688
       1.684000       0.452148       0.001358
       1.692000       0.453373       0.001932
       1.700000       0.457701       0.001935
       1.708000       0.453715       0.001877
       1.716000       0.457164       0.001512
       1.724000       0.456401       0.001879
       1.732000       0.454479       0.001895
       1.740000       0.454219       0.001913
       1.748000       0.457064       0.001908
       1.756000       0.458181       0.001862
       1.764000       0.456383       0.001896
       1.772000       0.458747       0.001921
       1.780000       0.458210       0.001853
       1.788000       0.457021       0.001824
       1.796000       0.458104       0.001608
       1.805000       0.455888       0.000763
       1.815000       0.455421       0.000818
       1.825000       0.454201       0.001566
       1.835000       0.455308       0.001657
       1.845000       0.454554       0.001851
       1.855000       0.454634       0.001305
       1.865000       0.455056       0.001897
       1.875000       0.455954       0.001569
       1.885000       0.454877       0.000983
       1.895000       0.456183       0.001716
       1.905000       0.453666       0.001078
       1.915000       0.452081       0.001800
       1.925000       0.448938       0.001607
       1.935000       0.452118       0.001900
       1.945000       0.449198       0.001904
       1.955000       0.448252       0.001870
       1.965000       0.452137       0.001237
       1.975000       0.453634       0.001877
       1.985000       0.454769       0.001914
       1.995000       0.452454       0.001907
       2.005000       0.451944       0.001710
       2.015000       0.452177       0.001599
       2.025000       0.455784       0.001265
       2.035000       0.456404       0.001747
       2.045000       0.456959       0.001871
       2.055000       0.456854       0.001254
       2.065000       0.457601       0.001839
       2.075000       0.456799       0.001878
       2.085000       0.457048       0.001844
       2.095000       0.459566       0.001893
       2.105000       0.457934       0.001909
       2.115000       0.459840       0.001879
       2.125000       0.461560       0.001771
       2.135000       0.462402       0.001876
       2.145000       0.464456       0.001845
       2.155000       0.466406       0.001653
       2.165000       0.461080       0.001695
       2.175000       0.460842       0.001929
       2.185000       0.459722       0.001752
       2.195000       0.459094       0.001920
       2.205000       0.459082       0.001923
       2.215000       0.459331       0.001952
       2.225000       0.462814       0.001954
       2.235000       0.451731       0.001929
       2.245000       0.452789       0.001955
       2.255000       0.453641       0.001953
       2.265000       0.449879       0.001962
       2.275000       0.451672       0.001966
       2.285000       0.449240       0.002220
       2.295000       0.449391       0.003436
       2.305000       0.448508       0.003328
       2.315000       0.443871       0.002264
       2.325000       0.437306       0.001924
       2.335000       0.441253       0.001859
       2.345000       0.445697       0.001896
