USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Olivine KI3291 Fo29 <60um    W1R1Bb AREF
copy of splib05a r 5166                                     
       0.205100      -1.23e34        0.010135
       0.213100      -1.23e34        0.002599
       0.221100      -1.23e34        0.002229
       0.229100      -1.23e34        0.001743
       0.236100      -1.23e34        0.001547
       0.242100      -1.23e34        0.001207
       0.248100      -1.23e34        0.000980
       0.253600      -1.23e34        0.000878
       0.258600      -1.23e34        0.001204
       0.263600      -1.23e34        0.000986
       0.268600      -1.23e34        0.000805
       0.273100      -1.23e34        0.001345
       0.277100       0.049886       0.001482
       0.281100       0.049604       0.001134
       0.285100       0.049259       0.001149
       0.289100       0.050358       0.001194
       0.293100       0.050721       0.001182
       0.297100       0.049345       0.000942
       0.301100       0.049607       0.001260
       0.305100       0.050334       0.001140
       0.309100       0.048569       0.000911
       0.313100       0.048872       0.001264
       0.317100       0.048878       0.000862
       0.321100       0.049738       0.001233
       0.325100       0.050065       0.000908
       0.329100       0.049729       0.001331
       0.333100       0.051119       0.000640
       0.337100       0.051097       0.001270
       0.341100       0.052539       0.001207
       0.345100       0.053649       0.001450
       0.349100       0.054758       0.001592
       0.353100       0.055899       0.000915
       0.357100       0.059558       0.000976
       0.360600       0.061163       0.001706
       0.363600       0.065536       0.000926
       0.366600       0.068504       0.001156
       0.369600       0.073172       0.001137
       0.372600       0.077963       0.001225
       0.375600       0.083701       0.000898
       0.378600       0.088852       0.001130
       0.381100       0.094360       0.001032
       0.383100       0.097646       0.001590
       0.385100       0.099675       0.001290
       0.387100       0.105686       0.001086
       0.389100       0.110508       0.001254
       0.391100       0.112468       0.001338
       0.393100       0.117745       0.001024
       0.395100       0.121230       0.001021
       0.397100       0.123861       0.000906
       0.399100       0.126624       0.001189
       0.401100       0.126772       0.000690
       0.403100       0.128449       0.001162
       0.405100       0.133899       0.000692
       0.407100       0.140171       0.000761
       0.409100       0.144204       0.000946
       0.411100       0.150363       0.001728
       0.412800       0.155078       0.000603
       0.415800       0.158494       0.000823
       0.418800       0.161964       0.000795
       0.421800       0.164320       0.000962
       0.424800       0.168681       0.000735
       0.427800       0.169878       0.000774
       0.430800       0.172992       0.000581
       0.433800       0.175923       0.000981
       0.436800       0.179457       0.001734
       0.439800       0.182518       0.000639
       0.442800       0.183445       0.000750
       0.445800       0.182280       0.001776
       0.448800       0.181440       0.000529
       0.451300       0.181738       0.001083
       0.453300       0.181665       0.000903
       0.455300       0.182364       0.001099
       0.457300       0.185006       0.001121
       0.459300       0.189074       0.000950
       0.461300       0.192645       0.000917
       0.463300       0.195001       0.000877
       0.465300       0.197741       0.001128
       0.467300       0.198541       0.000840
       0.469300       0.199778       0.000884
       0.471300       0.201981       0.000806
       0.473300       0.206755       0.000980
       0.475300       0.212352       0.001019
       0.477300       0.218776       0.000883
       0.479300       0.222144       0.000659
       0.481300       0.225308       0.000983
       0.483300       0.226826       0.001235
       0.485300       0.228180       0.000659
       0.487300       0.229670       0.000911
       0.489300       0.229232       0.001137
       0.491300       0.230411       0.000934
       0.493300       0.229883       0.000716
       0.495300       0.230042       0.000721
       0.497300       0.232755       0.000632
       0.499300       0.235984       0.000892
       0.501300       0.242370       0.001084
       0.503300       0.247378       0.000860
       0.505300       0.252048       0.001074
       0.507300       0.257775       0.000901
       0.509300       0.262126       0.001055
       0.511300       0.266091       0.000738
       0.513300       0.271082       0.000980
       0.515300       0.273752       0.000758
       0.517300       0.276965       0.000714
       0.519300       0.279746       0.000898
       0.521300       0.281626       0.000913
       0.523300       0.283132       0.001290
       0.525300       0.286160       0.000942
       0.527300       0.288125       0.000928
       0.529300       0.289374       0.000964
       0.531300       0.295489       0.000913
       0.533300       0.298972       0.001100
       0.535300       0.300879       0.001353
       0.537300       0.306468       0.000798
       0.539300       0.309660       0.000910
       0.541300       0.312503       0.000998
       0.543300       0.316336       0.000839
       0.545300       0.318487       0.001029
       0.547300       0.322827       0.000869
       0.549300       0.324199       0.000766
       0.551300       0.326474       0.000906
       0.553300       0.330258       0.000788
       0.555300       0.332018       0.000661
       0.557300       0.333288       0.000832
       0.559300       0.335588       0.000858
       0.561300       0.338995       0.000831
       0.563300       0.338284       0.000589
       0.565300       0.339970       0.000824
       0.567300       0.341193       0.001052
       0.569300       0.340022       0.001020
       0.571300       0.342292       0.000986
       0.573300       0.344296       0.000816
       0.575300       0.345809       0.001261
       0.577300       0.346114       0.001297
       0.579300       0.346115       0.001282
       0.581300       0.348429       0.001230
       0.583300       0.348949       0.001265
       0.585300       0.349641       0.000938
       0.587300       0.350760       0.001276
       0.589300       0.350260       0.001171
       0.591300       0.351047       0.001261
       0.593300       0.350156       0.001075
       0.595300       0.352713       0.000727
       0.597300       0.351887       0.000897
       0.599300       0.352812       0.000898
       0.601100       0.353585       0.000932
       0.602700       0.353128       0.001380
       0.604300       0.351127       0.001027
       0.605900       0.350806       0.000940
       0.607500       0.352522       0.001017
       0.609100       0.352200       0.000743
       0.610700       0.351845       0.000819
       0.612300       0.352694       0.000888
       0.613900       0.353236       0.000709
       0.615500       0.351582       0.000892
       0.617100       0.351203       0.000847
       0.618700       0.352166       0.000870
       0.620300       0.351983       0.000971
       0.621900       0.353094       0.001231
       0.623500       0.355382       0.001077
       0.625100       0.355107       0.001086
       0.626700       0.355393       0.000925
       0.628300       0.357093       0.001001
       0.629900       0.359363       0.000731
       0.631700       0.360098       0.001185
       0.633700       0.360668       0.000915
       0.635700       0.364227       0.000942
       0.637700       0.366329       0.000935
       0.639700       0.367351       0.001253
       0.641700       0.369870       0.001080
       0.643700       0.370488       0.000984
       0.645700       0.372538       0.001033
       0.647700       0.377064       0.001073
       0.649700       0.376812       0.000954
       0.651700       0.381182       0.001144
       0.653700       0.382798       0.001157
       0.655700       0.384999       0.001013
       0.657700       0.385504       0.001097
       0.659700       0.387122       0.001201
       0.661700       0.387974       0.001232
       0.663700       0.388996       0.001244
       0.665700       0.390776       0.001388
       0.667700       0.389694       0.001517
       0.670200       0.389003       0.000767
       0.673200       0.389946       0.000606
       0.676200       0.389181       0.001087
       0.679200       0.388347       0.000852
       0.682200       0.388830       0.001028
       0.685200       0.387476       0.001162
       0.688200       0.388664       0.000914
       0.691200       0.385148       0.001007
       0.694200       0.384760       0.000959
       0.697200       0.384523       0.000914
       0.700200       0.380558       0.001412
       0.702000       0.380291       0.001153
       0.704000       0.380183       0.000785
       0.706000       0.378818       0.001081
       0.708000       0.377411       0.000909
       0.710000       0.373179       0.001070
       0.712000       0.373586       0.001037
       0.714000       0.369972       0.001753
       0.716000       0.371266       0.001245
       0.718000       0.369422       0.001299
       0.720000       0.368065       0.001783
       0.722000       0.367115       0.001627
       0.724000       0.363109       0.001515
       0.726000       0.363961       0.001284
       0.728000       0.360612       0.001186
       0.730000       0.358691       0.001530
       0.732000       0.357510       0.001356
       0.734000       0.355981       0.001246
       0.736000       0.354330       0.001780
       0.738000       0.352881       0.001775
       0.740000       0.352569       0.001773
       0.742000       0.347965       0.001792
       0.744000       0.346263       0.001789
       0.746000       0.345937       0.001771
       0.748000       0.342111       0.001498
       0.750500       0.338687       0.001290
       0.753500       0.336687       0.001364
       0.756500       0.333445       0.000872
       0.759500       0.328200       0.000898
       0.762500       0.326335       0.000896
       0.765500       0.320557       0.001100
       0.768500       0.318362       0.000891
       0.771500       0.315819       0.000837
       0.774500       0.310862       0.001238
       0.777500       0.308415       0.000858
       0.781000       0.303488       0.000778
       0.785000       0.296113       0.000953
       0.789000       0.291960       0.001003
       0.793000       0.287800       0.000867
       0.797000       0.282784       0.000877
       0.801500       0.276256       0.000856
       0.806500       0.270249       0.000827
       0.811500       0.264947       0.001061
       0.816500       0.258232       0.000732
       0.822000       0.251663       0.000997
       0.828000       0.245908       0.001024
       0.835000       0.240297       0.000710
       0.843000       0.230185       0.001990
       0.851000       0.213248       0.001910
       0.859000       0.217030       0.001842
       0.871000       0.213019       0.001834
       0.883000       0.201800       0.001831
       0.894000       0.196345       0.001826
       0.904000       0.194516       0.001820
       0.914000       0.189714       0.001791
       0.924000       0.187801       0.001814
       0.933000       0.176631       0.001811
       0.941000       0.175844       0.001800
       0.949000       0.172941       0.001816
       0.957000       0.165772       0.001790
       0.964000       0.162012       0.001809
       0.970000       0.161218       0.001819
       0.976000       0.155610       0.001812
       0.982000       0.152422       0.001760
       0.988000       0.152867       0.001815
       0.994000       0.149258       0.001807
       1.000000       0.147041       0.001805
       1.006000       0.143437       0.001807
       1.012000       0.143216       0.001765
       1.018000       0.141418       0.001811
       1.023500       0.134497       0.001797
       1.028500       0.135464       0.001810
       1.033500       0.136456       0.001796
       1.038500       0.135427       0.001806
       1.043500       0.133834       0.001779
       1.048500       0.130601       0.001812
       1.053500       0.132110       0.001786
       1.058500       0.127650       0.001807
       1.063500       0.131142       0.001792
       1.068500       0.127609       0.001780
       1.073500       0.129515       0.001789
       1.078500       0.126036       0.001815
       1.083500       0.128307       0.001786
       1.088500       0.126382       0.001805
       1.093500       0.130174       0.001802
       1.098500       0.136306       0.001784
       1.103500       0.129457       0.001764
       1.108500       0.129252       0.001793
       1.113500       0.133537       0.001809
       1.118500       0.133692       0.001796
       1.123500       0.132758       0.001808
       1.128500       0.135602       0.001809
       1.133500       0.134960       0.001807
       1.138500       0.139038       0.001780
       1.143500       0.136355       0.001809
       1.148500       0.139063       0.001723
       1.153500       0.139922       0.001295
       1.158500       0.141475       0.001081
       1.163500       0.142404       0.001812
       1.168500       0.142841       0.001796
       1.173500       0.147198       0.001796
       1.178500       0.145366       0.001775
       1.183500       0.141652       0.001790
       1.188500       0.147459       0.001796
       1.193500       0.148172       0.001794
       1.198500       0.149360       0.001775
       1.203500       0.151344       0.001772
       1.208500       0.148127       0.001788
       1.213500       0.152315       0.001782
       1.218500       0.151389       0.001768
       1.223500       0.152319       0.001788
       1.228500       0.150491       0.001804
       1.233500       0.153230       0.001769
       1.238500       0.152348       0.001643
       1.243500       0.156008       0.001464
       1.248500       0.152784       0.001781
       1.253500       0.150307       0.001800
       1.258500       0.153730       0.001643
       1.263500       0.156316       0.001791
       1.268500       0.152084       0.001778
       1.273500       0.157574       0.001514
       1.278500       0.158244       0.001630
       1.283500       0.158025       0.001785
       1.288500       0.157408       0.001686
       1.293500       0.157441       0.001768
       1.298500       0.161155       0.001484
       1.303500       0.155878       0.001650
       1.308500       0.158178       0.001445
       1.313500       0.162216       0.001788
       1.318500       0.161456       0.001807
       1.323500       0.164458       0.001589
       1.328500       0.165542       0.001670
       1.333500       0.166762       0.001779
       1.338500       0.169720       0.001765
       1.343500       0.168684       0.001793
       1.348500       0.167467       0.001818
       1.353500       0.169943       0.001791
       1.358500       0.170543       0.001811
       1.363500       0.172688       0.001815
       1.368500       0.177718       0.001814
       1.373500       0.177997       0.001808
       1.378500       0.181147       0.001821
       1.383500       0.180088       0.001810
       1.388500       0.186827       0.001816
       1.393500       0.187042       0.001820
       1.398500       0.187059       0.001819
       1.403500       0.196575       0.001824
       1.408500       0.196148       0.001802
       1.413500       0.197072       0.001828
       1.418500       0.204089       0.001808
       1.423500       0.206025       0.001820
       1.428500       0.207768       0.001799
       1.433500       0.212412       0.001797
       1.438500       0.216693       0.001822
       1.443500       0.221393       0.001817
       1.448500       0.222458       0.001814
       1.453500       0.227647       0.001819
       1.458500       0.231742       0.001815
       1.463500       0.231141       0.001817
       1.468500       0.237468       0.001822
       1.473500       0.246501       0.001839
       1.478500       0.247841       0.001821
       1.483500       0.251471       0.001827
       1.488500       0.256295       0.001828
       1.493500       0.261903       0.001833
       1.498500       0.265996       0.001853
       1.503500       0.269397       0.001840
       1.508500       0.271415       0.001825
       1.513500       0.274816       0.001833
       1.518500       0.280334       0.001828
       1.523500       0.288768       0.001858
       1.528500       0.296082       0.001842
       1.534000       0.299280       0.001828
       1.540000       0.306982       0.001591
       1.546000       0.314882       0.001841
       1.552000       0.318082       0.001824
       1.558000       0.325835       0.001841
       1.564000       0.332481       0.001849
       1.570500       0.341993       0.001630
       1.577500       0.349836       0.001722
       1.584500       0.355557       0.001834
       1.591500       0.365897       0.001845
       1.598500       0.373755       0.001841
       1.605500       0.380524       0.001809
       1.612500       0.388239       0.001812
       1.619500       0.396316       0.001813
       1.626500       0.404297       0.001716
       1.633500       0.412276       0.001823
       1.640500       0.418348       0.001828
       1.647500       0.427875       0.001843
       1.654500       0.438817       0.001880
       1.661500       0.440211       0.001854
       1.668500       0.450083       0.001829
       1.676000       0.459939       0.001824
       1.684000       0.464129       0.001893
       1.692000       0.475658       0.001907
       1.700000       0.479291       0.001888
       1.708000       0.490926       0.001888
       1.716000       0.499178       0.001859
       1.724000       0.506592       0.001886
       1.732000       0.513101       0.001922
       1.740000       0.519710       0.001948
       1.748000       0.522924       0.001901
       1.756000       0.531563       0.001940
       1.764000       0.538194       0.001885
       1.772000       0.543948       0.001943
       1.780000       0.548643       0.001942
       1.788000       0.559740       0.001924
       1.796000       0.561448       0.002027
       1.805000       0.563447       0.001944
       1.815000       0.566925       0.001864
       1.825000       0.577792       0.001918
       1.835000       0.578394       0.001884
       1.845000       0.584024       0.001915
       1.855000       0.584963       0.001967
       1.865000       0.592885       0.001974
       1.875000       0.597635       0.001911
       1.885000       0.594094       0.001908
       1.895000       0.596800       0.001889
       1.905000       0.599188       0.001985
       1.915000       0.600590       0.001971
       1.925000       0.602751       0.001959
       1.935000       0.604255       0.001951
       1.945000       0.604893       0.001950
       1.955000       0.611804       0.001960
       1.965000       0.612324       0.001989
       1.975000       0.614986       0.001987
       1.985000       0.617899       0.001992
       1.995000       0.614994       0.001973
       2.005000       0.617716       0.001972
       2.015000       0.619202       0.001979
       2.025000       0.623377       0.001986
       2.035000       0.626791       0.001951
       2.045000       0.628142       0.001994
       2.055000       0.629623       0.001990
       2.065000       0.627012       0.001979
       2.075000       0.626656       0.001978
       2.085000       0.629790       0.001984
       2.095000       0.631022       0.001986
       2.105000       0.633088       0.001989
       2.115000       0.633671       0.001986
       2.125000       0.635559       0.001987
       2.135000       0.637188       0.001986
       2.145000       0.642608       0.001958
       2.155000       0.637014       0.001986
       2.165000       0.633386       0.001965
       2.175000       0.631047       0.001950
       2.185000       0.634122       0.002000
       2.195000       0.633525       0.002004
       2.205000       0.633014       0.002049
       2.215000       0.636795       0.002246
       2.225000       0.634652       0.002554
       2.235000       0.628140       0.002839
       2.245000       0.624668       0.003228
       2.255000       0.618192       0.003755
       2.265000       0.618380       0.004152
       2.275000       0.625796       0.004990
       2.285000       0.626160       0.006700
       2.295000       0.626540       0.008463
       2.305000       0.626900       0.007389
       2.315000       0.627260       0.005376
       2.325000       0.627616       0.003035
