USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Palygorskite PFL-1 Attapulg  W1R1Bb AREF
copy of splib05a r 5326                                     
       0.205100      -1.23e34        0.017269
       0.213100      -1.23e34        0.003852
       0.221100       0.049771       0.001924
       0.229100       0.050323       0.001736
       0.236100       0.046279       0.001605
       0.242100       0.045482       0.001232
       0.248100       0.043665       0.001067
       0.253600       0.044574       0.000988
       0.258600       0.047792       0.001377
       0.263600       0.051770       0.000879
       0.268600       0.056484       0.001016
       0.273100       0.061007       0.001202
       0.277100       0.068190       0.001366
       0.281100       0.073059       0.001279
       0.285100       0.081689       0.001385
       0.289100       0.089869       0.001468
       0.293100       0.099382       0.001083
       0.297100       0.109544       0.001150
       0.301100       0.121850       0.000548
       0.305100       0.133466       0.000810
       0.309100       0.142641       0.000852
       0.313100       0.154301       0.000561
       0.317100       0.164159       0.000672
       0.321100       0.175202       0.001661
       0.325100       0.185662       0.000979
       0.329100       0.197647       0.000683
       0.333100       0.209784       0.000758
       0.337100       0.222959       0.000645
       0.341100       0.236449       0.000575
       0.345100       0.250862       0.000592
       0.349100       0.263203       0.001108
       0.353100       0.277026       0.000731
       0.357100       0.290143       0.000684
       0.360600       0.299121       0.000679
       0.363600       0.305204       0.000673
       0.366600       0.313150       0.000599
       0.369600       0.322398       0.000513
       0.372600       0.332971       0.000531
       0.375600       0.342627       0.000532
       0.378600       0.356382       0.000529
       0.381100       0.364844       0.000611
       0.383100       0.372477       0.000685
       0.385100       0.379849       0.000594
       0.387100       0.387779       0.000546
       0.389100       0.394631       0.000552
       0.391100       0.400210       0.000638
       0.393100       0.406620       0.000533
       0.395100       0.410385       0.000624
       0.397100       0.414988       0.000644
       0.399100       0.418894       0.000827
       0.401100       0.424534       0.000611
       0.403100       0.428658       0.000496
       0.405100       0.432330       0.000588
       0.407100       0.437081       0.000567
       0.409100       0.440390       0.000556
       0.411100       0.446359       0.000797
       0.412800       0.449619       0.000681
       0.415800       0.454497       0.000677
       0.418800       0.460933       0.000919
       0.421800       0.465608       0.000676
       0.424800       0.471148       0.000993
       0.427800       0.474196       0.000642
       0.430800       0.478388       0.000844
       0.433800       0.482940       0.000625
       0.436800       0.485627       0.000630
       0.439800       0.491039       0.000567
       0.442800       0.495286       0.000621
       0.445800       0.500366       0.000726
       0.448800       0.506033       0.000683
       0.451300       0.509290       0.000786
       0.453300       0.514393       0.000875
       0.455300       0.517920       0.000793
       0.457300       0.520156       0.001094
       0.459300       0.525508       0.001442
       0.461300       0.526875       0.000684
       0.463300       0.528627       0.000847
       0.465300       0.531039       0.000700
       0.467300       0.533034       0.000821
       0.469300       0.535603       0.000705
       0.471300       0.539248       0.000716
       0.473300       0.539551       0.000826
       0.475300       0.542298       0.000737
       0.477300       0.543470       0.000774
       0.479300       0.546610       0.000808
       0.481300       0.547958       0.000726
       0.483300       0.549948       0.000750
       0.485300       0.552537       0.000855
       0.487300       0.554076       0.000898
       0.489300       0.556270       0.000726
       0.491300       0.557749       0.000784
       0.493300       0.559260       0.000747
       0.495300       0.561338       0.000798
       0.497300       0.564234       0.000731
       0.499300       0.564989       0.001287
       0.501300       0.566639       0.000759
       0.503300       0.567949       0.000754
       0.505300       0.572109       0.000786
       0.507300       0.572937       0.001103
       0.509300       0.576604       0.000855
       0.511300       0.576475       0.000854
       0.513300       0.578123       0.000800
       0.515300       0.579413       0.000733
       0.517300       0.581817       0.000773
       0.519300       0.585194       0.000704
       0.521300       0.585147       0.000792
       0.523300       0.589252       0.000733
       0.525300       0.591136       0.000916
       0.527300       0.593067       0.000791
       0.529300       0.593040       0.000843
       0.531300       0.596576       0.000947
       0.533300       0.598858       0.000910
       0.535300       0.601705       0.000813
       0.537300       0.602539       0.000810
       0.539300       0.605166       0.000906
       0.541300       0.605633       0.001053
       0.543300       0.608484       0.000851
       0.545300       0.608670       0.000864
       0.547300       0.610159       0.000775
       0.549300       0.610013       0.001344
       0.551300       0.613335       0.000834
       0.553300       0.613029       0.001238
       0.555300       0.615177       0.000834
       0.557300       0.617436       0.001028
       0.559300       0.615192       0.001402
       0.561300       0.616593       0.000777
       0.563300       0.616595       0.000775
       0.565300       0.619048       0.001245
       0.567300       0.618816       0.000902
       0.569300       0.621285       0.001316
       0.571300       0.620457       0.000803
       0.573300       0.621418       0.000928
       0.575300       0.620997       0.001104
       0.577300       0.623324       0.000671
       0.579300       0.623492       0.000750
       0.581300       0.624144       0.000720
       0.583300       0.625687       0.000758
       0.585300       0.624955       0.001052
       0.587300       0.624942       0.000764
       0.589300       0.626388       0.000646
       0.591300       0.625906       0.000650
       0.593300       0.627178       0.000694
       0.595300       0.627092       0.000670
       0.597300       0.625749       0.000915
       0.599300       0.627321       0.000832
       0.601100       0.628316       0.000762
       0.602700       0.627594       0.000813
       0.604300       0.627935       0.000735
       0.605900       0.626714       0.000651
       0.607500       0.626200       0.000690
       0.609100       0.628260       0.000996
       0.610700       0.627356       0.001240
       0.612300       0.627977       0.000838
       0.613900       0.629199       0.000816
       0.615500       0.629410       0.001038
       0.617100       0.629657       0.001002
       0.618700       0.628833       0.001140
       0.620300       0.628369       0.001495
       0.621900       0.628261       0.000920
       0.623500       0.629789       0.001601
       0.625100       0.629654       0.000895
       0.626700       0.630214       0.001248
       0.628300       0.630589       0.001690
       0.629900       0.631027       0.001084
       0.631700       0.631661       0.000768
       0.633700       0.629906       0.000788
       0.635700       0.630633       0.000834
       0.637700       0.633298       0.000763
       0.639700       0.632495       0.000867
       0.641700       0.632171       0.000824
       0.643700       0.633156       0.000904
       0.645700       0.633342       0.000557
       0.647700       0.633279       0.000600
       0.649700       0.634660       0.000594
       0.651700       0.634362       0.000663
       0.653700       0.635887       0.000676
       0.655700       0.634786       0.000654
       0.657700       0.636450       0.000852
       0.659700       0.636150       0.000708
       0.661700       0.636964       0.000826
       0.663700       0.637466       0.000635
       0.665700       0.639419       0.000875
       0.667700       0.637204       0.001209
       0.670200       0.638443       0.001356
       0.673200       0.639364       0.000855
       0.676200       0.638890       0.001537
       0.679200       0.640084       0.000877
       0.682200       0.640672       0.000657
       0.685200       0.642478       0.000641
       0.688200       0.642145       0.001034
       0.691200       0.644329       0.000677
       0.694200       0.643251       0.001329
       0.697200       0.645610       0.000758
       0.700200       0.646262       0.000770
       0.702000       0.648296       0.000628
       0.704000       0.649095       0.000695
       0.706000       0.648035       0.000691
       0.708000       0.649944       0.000719
       0.710000       0.649457       0.000756
       0.712000       0.650507       0.000717
       0.714000       0.649613       0.000713
       0.716000       0.651347       0.000716
       0.718000       0.652075       0.000837
       0.720000       0.652262       0.001172
       0.722000       0.652770       0.000802
       0.724000       0.653848       0.000776
       0.726000       0.654975       0.000799
       0.728000       0.653921       0.000903
       0.730000       0.653589       0.000771
       0.732000       0.655102       0.000821
       0.734000       0.655154       0.000951
       0.736000       0.654969       0.000911
       0.738000       0.655084       0.001451
       0.740000       0.657340       0.000965
       0.742000       0.656029       0.001075
       0.744000       0.656963       0.001570
       0.746000       0.659411       0.000954
       0.748000       0.659158       0.000796
       0.750500       0.659936       0.000718
       0.753500       0.659615       0.000681
       0.756500       0.661308       0.000873
       0.759500       0.663156       0.001135
       0.762500       0.664189       0.000779
       0.765500       0.664612       0.000959
       0.768500       0.665356       0.001356
       0.771500       0.664908       0.000736
       0.774500       0.665744       0.000943
       0.777500       0.667024       0.000791
       0.781000       0.667883       0.000801
       0.785000       0.669082       0.000762
       0.789000       0.670761       0.000808
       0.793000       0.670308       0.000868
       0.797000       0.671867       0.000815
       0.801500       0.673272       0.000781
       0.806500       0.672592       0.000796
       0.811500       0.673399       0.001434
       0.816500       0.674080       0.000918
       0.822000       0.674156       0.001447
       0.828000       0.671977       0.000913
       0.835000       0.672944       0.001061
       0.843000       0.673948       0.000848
       0.851000       0.678600       0.001974
       0.859000       0.671372       0.001732
       0.871000       0.672920       0.001523
       0.883000       0.668455       0.001280
       0.894000       0.667365       0.001373
       0.904000       0.666363       0.001340
       0.914000       0.665095       0.001142
       0.924000       0.665166       0.000903
       0.933000       0.662707       0.000864
       0.941000       0.662885       0.000860
       0.949000       0.660056       0.000783
       0.957000       0.659525       0.001071
       0.964000       0.662149       0.001245
       0.970000       0.658050       0.001457
       0.976000       0.660021       0.001151
       0.982000       0.659904       0.001015
       0.988000       0.658081       0.001381
       0.994000       0.659272       0.001195
       1.000000       0.659341       0.000888
       1.006000       0.661563       0.000835
       1.012000       0.661718       0.000916
       1.018000       0.660856       0.001028
       1.023500       0.661886       0.001083
       1.028500       0.662571       0.000999
       1.033500       0.660778       0.000998
       1.038500       0.662208       0.001214
       1.043500       0.660300       0.000753
       1.048500       0.661973       0.001123
       1.053500       0.660116       0.000929
       1.058500       0.661267       0.000871
       1.063500       0.658097       0.000869
       1.068500       0.659478       0.000767
       1.073500       0.660277       0.001130
       1.078500       0.659692       0.000931
       1.083500       0.659053       0.001094
       1.088500       0.658115       0.000820
       1.093500       0.658644       0.001093
       1.098500       0.658131       0.000848
       1.103500       0.658685       0.001169
       1.108500       0.658295       0.000819
       1.113500       0.659141       0.000759
       1.118500       0.657977       0.000871
       1.123500       0.659488       0.000848
       1.128500       0.656879       0.001327
       1.133500       0.658143       0.000801
       1.138500       0.658400       0.000694
       1.143500       0.656625       0.000914
       1.148500       0.653827       0.000749
       1.153500       0.653511       0.000820
       1.158500       0.653154       0.000911
       1.163500       0.654221       0.000707
       1.168500       0.652423       0.000956
       1.173500       0.652856       0.001085
       1.178500       0.652954       0.001177
       1.183500       0.656851       0.001060
       1.188500       0.658208       0.000882
       1.193500       0.659554       0.000900
       1.198500       0.657769       0.000913
       1.203500       0.659496       0.000745
       1.208500       0.660940       0.000910
       1.213500       0.660361       0.000859
       1.218500       0.661009       0.000915
       1.223500       0.662266       0.000696
       1.228500       0.660688       0.000824
       1.233500       0.662764       0.001155
       1.238500       0.664260       0.000923
       1.243500       0.663484       0.000851
       1.248500       0.664181       0.000788
       1.253500       0.664753       0.000808
       1.258500       0.667250       0.000729
       1.263500       0.667731       0.000860
       1.268500       0.665954       0.000706
       1.273500       0.667391       0.000875
       1.278500       0.666030       0.000836
       1.283500       0.668603       0.000839
       1.288500       0.667616       0.000723
       1.293500       0.666212       0.000707
       1.298500       0.664918       0.000744
       1.303500       0.666228       0.000859
       1.308500       0.667767       0.000691
       1.313500       0.666229       0.000664
       1.318500       0.667744       0.000738
       1.323500       0.664911       0.000846
       1.328500       0.664719       0.000736
       1.333500       0.662647       0.000768
       1.338500       0.663302       0.000747
       1.343500       0.662667       0.000855
       1.348500       0.659028       0.000741
       1.353500       0.657486       0.000965
       1.358500       0.655484       0.000911
       1.363500       0.653501       0.001190
       1.368500       0.652443       0.000891
       1.373500       0.643672       0.001197
       1.378500       0.628048       0.000922
       1.383500       0.624094       0.000990
       1.388500       0.618774       0.000753
       1.393500       0.609452       0.001087
       1.398500       0.596688       0.000976
       1.403500       0.576983       0.001088
       1.408500       0.553173       0.001084
       1.413500       0.517982       0.000939
       1.418500       0.491836       0.000919
       1.423500       0.524389       0.000908
       1.428500       0.533894       0.000884
       1.433500       0.542440       0.000898
       1.438500       0.553104       0.001264
       1.443500       0.557153       0.000853
       1.448500       0.565147       0.001040
       1.453500       0.572830       0.000898
       1.458500       0.579324       0.001349
       1.463500       0.583498       0.001074
       1.468500       0.583333       0.000973
       1.473500       0.589473       0.001009
       1.478500       0.595727       0.000678
       1.483500       0.607510       0.001155
       1.488500       0.614716       0.000887
       1.493500       0.623796       0.001569
       1.498500       0.626948       0.001171
       1.503500       0.632240       0.000850
       1.508500       0.636316       0.001166
       1.513500       0.637706       0.001101
       1.518500       0.640501       0.000964
       1.523500       0.642651       0.001017
       1.528500       0.642921       0.000908
       1.534000       0.647904       0.001066
       1.540000       0.650432       0.001472
       1.546000       0.653627       0.000797
       1.552000       0.656366       0.001042
       1.558000       0.660001       0.000996
       1.564000       0.657346       0.000790
       1.570500       0.658057       0.000824
       1.577500       0.661295       0.000892
       1.584500       0.661707       0.000615
       1.591500       0.664644       0.000729
       1.598500       0.664849       0.000867
       1.605500       0.664712       0.000934
       1.612500       0.667188       0.000876
       1.619500       0.669613       0.000878
       1.626500       0.668770       0.000864
       1.633500       0.671036       0.000854
       1.640500       0.671295       0.000837
       1.647500       0.671687       0.001011
       1.654500       0.672632       0.000811
       1.661500       0.670915       0.000798
       1.668500       0.674838       0.001039
       1.676000       0.671196       0.000689
       1.684000       0.671700       0.000917
       1.692000       0.672739       0.001451
       1.700000       0.669794       0.001271
       1.708000       0.673784       0.001041
       1.716000       0.667874       0.000899
       1.724000       0.668724       0.000970
       1.732000       0.664389       0.000874
       1.740000       0.664611       0.001002
       1.748000       0.664557       0.001233
       1.756000       0.662500       0.001410
       1.764000       0.656351       0.000879
       1.772000       0.653055       0.000976
       1.780000       0.650428       0.001163
       1.788000       0.645999       0.001140
       1.796000       0.643546       0.001031
       1.805000       0.641087       0.000744
       1.815000       0.638292       0.000757
       1.825000       0.639271       0.000865
       1.835000       0.636121       0.001111
       1.845000       0.630354       0.000947
       1.855000       0.627325       0.000953
       1.865000       0.611612       0.001135
       1.875000       0.578588       0.000805
       1.885000       0.519808       0.000772
       1.895000       0.440188       0.000800
       1.905000       0.344055       0.001454
       1.915000       0.291245       0.000597
       1.925000       0.292011       0.000964
       1.935000       0.336322       0.001058
       1.945000       0.400732       0.000750
       1.955000       0.429523       0.000925
       1.965000       0.447676       0.001151
       1.975000       0.460593       0.000907
       1.985000       0.478242       0.001334
       1.995000       0.498364       0.000920
       2.005000       0.517447       0.001081
       2.015000       0.533241       0.001119
       2.025000       0.548677       0.001256
       2.035000       0.560617       0.001079
       2.045000       0.567602       0.001260
       2.055000       0.571688       0.001017
       2.065000       0.579194       0.001374
       2.075000       0.581131       0.001463
       2.085000       0.584932       0.001579
       2.095000       0.587198       0.001329
       2.105000       0.585198       0.001538
       2.115000       0.588241       0.001865
       2.125000       0.590271       0.001274
       2.135000       0.586392       0.001355
       2.145000       0.586270       0.001766
       2.155000       0.579347       0.001431
       2.165000       0.573461       0.000930
       2.175000       0.563744       0.001604
       2.185000       0.544230       0.001872
       2.195000       0.538944       0.001341
       2.205000       0.517798       0.001648
       2.215000       0.493613       0.001444
       2.225000       0.477058       0.001927
       2.235000       0.520317       0.001901
       2.245000       0.530314       0.001947
       2.255000       0.519890       0.001928
       2.265000       0.527245       0.001949
       2.275000       0.524042       0.001963
       2.285000       0.518878       0.002154
       2.295000       0.501062       0.003117
       2.305000       0.489129       0.002859
       2.315000       0.473612       0.002041
       2.325000       0.458913       0.001921
       2.335000       0.440081       0.001887
       2.345000       0.433150       0.001634
