USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rhodonite HS325.3B           W1R1Bc AREF
copy of splib05a r 5914                                     
       0.205100      -1.23e34        0.312792
       0.213100      -1.23e34        0.021735
       0.221100       0.026020       0.005600
       0.229100       0.036189       0.002071
       0.236100       0.041076       0.001423
       0.242100       0.049139       0.001141
       0.248100       0.059581       0.001086
       0.253600       0.069772       0.001062
       0.258600       0.085132       0.001046
       0.263600       0.103366       0.001045
       0.268600       0.117651       0.001066
       0.273100       0.126382       0.001096
       0.277100       0.134051       0.001114
       0.281100       0.140511       0.001144
       0.285100       0.151521       0.001190
       0.289100       0.159829       0.001225
       0.293100       0.170121       0.001272
       0.297100       0.179400       0.001334
       0.301100       0.186515       0.001367
       0.305100       0.195838       0.001419
       0.309100       0.203235       0.001444
       0.313100       0.207003       0.001460
       0.317100       0.213821       0.001251
       0.321100       0.225606       0.001495
       0.325100       0.236914       0.001512
       0.329100       0.250480       0.001512
       0.333100       0.256139       0.001514
       0.337100       0.258718       0.001549
       0.341100       0.252582       0.001513
       0.345100       0.237468       0.001562
       0.349100       0.249032       0.001566
       0.353100       0.270954       0.001500
       0.357100       0.271443       0.001501
       0.360600       0.267188       0.001538
       0.363600       0.269745       0.001041
       0.366600       0.276317       0.001551
       0.369600       0.281248       0.001555
       0.372600       0.291270       0.001222
       0.375600       0.313712       0.001339
       0.378600       0.328197       0.001578
       0.381100       0.340556       0.001545
       0.383100       0.349681       0.001530
       0.385100       0.353953       0.001551
       0.387100       0.360089       0.001547
       0.389100       0.361958       0.001253
       0.391100       0.366032       0.001585
       0.393100       0.364816       0.001066
       0.395100       0.365261       0.001169
       0.397100       0.367501       0.001048
       0.399100       0.366841       0.001352
       0.401100       0.366085       0.001610
       0.403100       0.355454       0.001288
       0.405100       0.339699       0.000803
       0.407100       0.317276       0.001352
       0.409100       0.279214       0.001417
       0.411100       0.256724       0.001022
       0.412800       0.266366       0.001035
       0.415800       0.258417       0.001196
       0.418800       0.282553       0.000975
       0.421800       0.311334       0.001252
       0.424800       0.324232       0.000731
       0.427800       0.333781       0.001591
       0.430800       0.338776       0.001474
       0.433800       0.343977       0.001064
       0.436800       0.349338       0.001541
       0.439800       0.358336       0.001276
       0.442800       0.366515       0.001280
       0.445800       0.374120       0.000739
       0.448800       0.382167       0.000887
       0.451300       0.385752       0.001629
       0.453300       0.386826       0.001508
       0.455300       0.391201       0.001647
       0.457300       0.393035       0.001643
       0.459300       0.395537       0.001648
       0.461300       0.394260       0.001627
       0.463300       0.402294       0.001640
       0.465300       0.403934       0.001629
       0.467300       0.406961       0.001649
       0.469300       0.414622       0.001625
       0.471300       0.420002       0.001671
       0.473300       0.425179       0.001130
       0.475300       0.428030       0.001484
       0.477300       0.434439       0.001665
       0.479300       0.436373       0.001681
       0.481300       0.439182       0.001626
       0.483300       0.447791       0.001609
       0.485300       0.450106       0.001666
       0.487300       0.453919       0.001666
       0.489300       0.453607       0.001230
       0.491300       0.454668       0.001643
       0.493300       0.456097       0.001536
       0.495300       0.456862       0.001634
       0.497300       0.459732       0.001643
       0.499300       0.455853       0.000900
       0.501300       0.455994       0.001060
       0.503300       0.450163       0.001686
       0.505300       0.447992       0.001525
       0.507300       0.445366       0.001631
       0.509300       0.441473       0.001688
       0.511300       0.437733       0.001619
       0.513300       0.434419       0.001599
       0.515300       0.429211       0.001669
       0.517300       0.422334       0.001669
       0.519300       0.416973       0.001632
       0.521300       0.408912       0.001547
       0.523300       0.402546       0.001664
       0.525300       0.397104       0.001664
       0.527300       0.387848       0.001667
       0.529300       0.378548       0.001665
       0.531300       0.375012       0.001569
       0.533300       0.368429       0.001667
       0.535300       0.362637       0.001670
       0.537300       0.358441       0.001669
       0.539300       0.354465       0.001572
       0.541300       0.349904       0.001656
       0.543300       0.345606       0.001642
       0.545300       0.342986       0.001213
       0.547300       0.340829       0.001643
       0.549300       0.341886       0.001602
       0.551300       0.337949       0.001069
       0.553300       0.339818       0.001379
       0.555300       0.339952       0.001665
       0.557300       0.341802       0.001556
       0.559300       0.346242       0.001214
       0.561300       0.349243       0.001658
       0.563300       0.352341       0.001643
       0.565300       0.356372       0.001628
       0.567300       0.365288       0.001625
       0.569300       0.369426       0.001678
       0.571300       0.375394       0.001127
       0.573300       0.386452       0.001675
       0.575300       0.393939       0.001008
       0.577300       0.405835       0.000921
       0.579300       0.414781       0.000551
       0.581300       0.423722       0.001416
       0.583300       0.438503       0.001136
       0.585300       0.447029       0.001277
       0.587300       0.456701       0.001097
       0.589300       0.472568       0.001663
       0.591300       0.487777       0.001696
       0.593300       0.500679       0.001700
       0.595300       0.510701       0.001706
       0.597300       0.525399       0.001703
       0.599300       0.536292       0.001676
       0.601100       0.546731       0.001727
       0.602700       0.555158       0.001739
       0.604300       0.557692       0.001691
       0.605900       0.572302       0.001694
       0.607500       0.581570       0.001726
       0.609100       0.588408       0.001292
       0.610700       0.598332       0.001276
       0.612300       0.606306       0.001532
       0.613900       0.609340       0.001701
       0.615500       0.616800       0.001475
       0.617100       0.618945       0.001263
       0.618700       0.620701       0.001571
       0.620300       0.631465       0.001701
       0.621900       0.633472       0.001759
       0.623500       0.637213       0.001753
       0.625100       0.638173       0.001602
       0.626700       0.644868       0.001763
       0.628300       0.646861       0.001754
       0.629900       0.648885       0.001083
       0.631700       0.654462       0.001631
       0.633700       0.657355       0.001745
       0.635700       0.662154       0.001683
       0.637700       0.658246       0.001301
       0.639700       0.663701       0.001761
       0.641700       0.664257       0.001769
       0.643700       0.667119       0.001419
       0.645700       0.668006       0.001144
       0.647700       0.671348       0.001350
       0.649700       0.671988       0.001486
       0.651700       0.675126       0.001403
       0.653700       0.674067       0.001157
       0.655700       0.675909       0.001707
       0.657700       0.677055       0.000951
       0.659700       0.680055       0.001415
       0.661700       0.680521       0.001653
       0.663700       0.679033       0.001627
       0.665700       0.682798       0.001676
       0.667700       0.684523       0.001712
       0.670200       0.682357       0.001770
       0.673200       0.685393       0.001388
       0.676200       0.690680       0.001777
       0.679200       0.689768       0.001794
       0.682200       0.688881       0.001778
       0.685200       0.689976       0.001427
       0.688200       0.691126       0.001268
       0.691200       0.695212       0.001044
       0.694200       0.693846       0.001525
       0.697200       0.694748       0.001432
       0.700200       0.697843       0.001480
       0.702000       0.694364       0.001354
       0.704000       0.698139       0.001384
       0.706000       0.696694       0.001172
       0.708000       0.696318       0.001034
       0.710000       0.699190       0.001032
       0.712000       0.699605       0.000978
       0.714000       0.702356       0.001702
       0.716000       0.703160       0.001382
       0.718000       0.702320       0.001277
       0.720000       0.705372       0.001248
       0.722000       0.705187       0.001451
       0.724000       0.704054       0.001411
       0.726000       0.707275       0.001498
       0.728000       0.704198       0.001359
       0.730000       0.705950       0.001095
       0.732000       0.712577       0.001415
       0.734000       0.708617       0.001554
       0.736000       0.712040       0.001758
       0.738000       0.705591       0.001808
       0.740000       0.711932       0.001841
       0.742000       0.707225       0.001561
       0.744000       0.707839       0.001500
       0.746000       0.707868       0.001673
       0.748000       0.710360       0.001385
       0.750500       0.708862       0.001116
       0.753500       0.712988       0.000735
       0.756500       0.710116       0.001270
       0.759500       0.711900       0.001549
       0.762500       0.711074       0.001225
       0.765500       0.712612       0.001443
       0.768500       0.713310       0.001029
       0.771500       0.710780       0.001251
       0.774500       0.712402       0.001162
       0.777500       0.713245       0.001119
       0.781000       0.714566       0.001443
       0.785000       0.713762       0.001408
       0.789000       0.715673       0.001320
       0.793000       0.713230       0.001686
       0.797000       0.714145       0.001068
       0.801500       0.709369       0.001036
       0.806500       0.713215       0.000920
       0.811500       0.712756       0.001766
       0.816500       0.711820       0.001058
       0.822000       0.709263       0.001871
       0.828000       0.707789       0.001513
       0.835000       0.704754       0.001891
       0.843000      -1.23e34        0.000000
       0.851000       0.688359       0.002088
       0.859000       0.684610       0.001983
       0.871000       0.673996       0.001937
       0.883000       0.664300       0.001972
       0.894000       0.645045       0.001952
       0.904000       0.630650       0.001923
       0.914000       0.618092       0.001879
       0.924000       0.602536       0.001461
       0.933000       0.588179       0.001890
       0.941000       0.571982       0.001897
       0.949000       0.559948       0.001847
       0.957000       0.547339       0.001559
       0.964000       0.537965       0.001881
       0.970000       0.527982       0.001838
       0.976000       0.521588       0.001704
       0.982000       0.513295       0.001821
       0.988000       0.507678       0.001422
       0.994000       0.502670       0.001615
       1.000000       0.500000       0.001782
       1.006000       0.494468       0.001102
       1.012000       0.491199       0.001049
       1.018000       0.490124       0.001212
       1.023500       0.493380       0.001815
       1.028500       0.489917       0.001460
       1.033500       0.493814       0.001840
       1.038500       0.495392       0.001316
       1.043500       0.499837       0.001792
       1.048500       0.500843       0.001484
       1.053500       0.507866       0.001274
       1.058500       0.513312       0.001066
       1.063500       0.516246       0.001393
       1.068500       0.519664       0.001632
       1.073500       0.526471       0.001374
       1.078500       0.531865       0.000944
       1.083500       0.535834       0.001435
       1.088500       0.541746       0.001192
       1.093500       0.549230       0.001176
       1.098500       0.555702       0.001437
       1.103500       0.561382       0.001531
       1.108500       0.567544       0.001134
       1.113500       0.571286       0.001231
       1.118500       0.572178       0.001292
       1.123500       0.580055       0.001306
       1.128500       0.584011       0.000935
       1.133500       0.590024       0.001217
       1.138500       0.594005       0.001755
       1.143500       0.598047       0.001074
       1.148500       0.599792       0.001496
       1.153500       0.604816       0.000866
       1.158500       0.610970       0.001523
       1.163500       0.611404       0.001075
       1.168500       0.613144       0.000940
       1.173500       0.618177       0.001676
       1.178500       0.621205       0.001464
       1.183500       0.624932       0.001851
       1.188500       0.629370       0.001419
       1.193500       0.633091       0.001101
       1.198500       0.636608       0.001297
       1.203500       0.639917       0.001526
       1.208500       0.643836       0.001341
       1.213500       0.642867       0.001624
       1.218500       0.648890       0.001234
       1.223500       0.650881       0.001346
       1.228500       0.656772       0.001013
       1.233500       0.655829       0.001347
       1.238500       0.657296       0.001178
       1.243500       0.662290       0.001163
       1.248500       0.664591       0.001271
       1.253500       0.665738       0.001642
       1.258500       0.667269       0.001072
       1.263500       0.670137       0.001064
       1.268500       0.671296       0.001694
       1.273500       0.674696       0.000990
       1.278500       0.676326       0.001368
       1.283500       0.678181       0.001142
       1.288500       0.676987       0.001168
       1.293500       0.677989       0.001235
       1.298500       0.679895       0.001523
       1.303500       0.681847       0.001338
       1.308500       0.682441       0.001190
       1.313500       0.685398       0.000979
       1.318500       0.685397       0.001192
       1.323500       0.687109       0.001250
       1.328500       0.687604       0.001443
       1.333500       0.686183       0.001198
       1.338500       0.687466       0.001114
       1.343500       0.690034       0.001590
       1.348500       0.690258       0.001723
       1.353500       0.691109       0.001148
       1.358500       0.688161       0.001560
       1.363500       0.691000       0.001914
       1.368500       0.691267       0.001691
       1.373500       0.693538       0.001880
       1.378500       0.687319       0.001432
       1.383500       0.683219       0.001595
       1.388500       0.683460       0.001258
       1.393500       0.682798       0.001931
       1.398500       0.677588       0.001129
       1.403500       0.669533       0.001535
       1.408500       0.663268       0.001947
       1.413500       0.663966       0.001445
       1.418500       0.660210       0.001589
       1.423500       0.660014       0.001746
       1.428500       0.667756       0.001307
       1.433500       0.674305       0.001598
       1.438500       0.674997       0.001748
       1.443500       0.682006       0.001314
       1.448500       0.677863       0.001096
       1.453500       0.680659       0.001972
       1.458500       0.687430       0.001821
       1.463500       0.682709       0.001473
       1.468500       0.687829       0.001936
       1.473500       0.689645       0.001891
       1.478500       0.684880       0.001376
       1.483500       0.691288       0.001827
       1.488500       0.690584       0.001042
       1.493500       0.694846       0.001850
       1.498500       0.697232       0.001477
       1.503500       0.695377       0.001517
       1.508500       0.695507       0.001891
       1.513500       0.692829       0.001901
       1.518500       0.695321       0.001901
       1.523500       0.693895       0.001949
       1.528500       0.698540       0.001979
       1.534000       0.701862       0.001313
       1.540000       0.703290       0.001484
       1.546000       0.703539       0.001912
       1.552000       0.706172       0.001857
       1.558000       0.705743       0.001517
       1.564000       0.708229       0.001366
       1.570500       0.708587       0.001291
       1.577500       0.708344       0.001456
       1.584500       0.706512       0.001055
       1.591500       0.710713       0.001013
       1.598500       0.710355       0.001496
       1.605500       0.713363       0.001005
       1.612500       0.712728       0.000944
       1.619500       0.713559       0.001091
       1.626500       0.712680       0.000962
       1.633500       0.716102       0.001590
       1.640500       0.714985       0.001455
       1.647500       0.714429       0.001193
       1.654500       0.714210       0.001712
       1.661500       0.716895       0.001214
       1.668500       0.717204       0.001953
       1.676000       0.718698       0.001692
       1.684000       0.715601       0.001854
       1.692000       0.715902       0.002039
       1.700000       0.720841       0.002034
       1.708000       0.718908       0.002012
       1.716000       0.718510       0.002020
       1.724000       0.717596       0.002029
       1.732000       0.713563       0.001782
       1.740000       0.717106       0.002044
       1.748000       0.719812       0.001862
       1.756000       0.717482       0.001993
       1.764000       0.716470       0.001928
       1.772000       0.717268       0.001653
       1.780000       0.717370       0.002045
       1.788000       0.716368       0.001899
       1.796000       0.717660       0.001703
       1.805000       0.715014       0.001471
       1.815000       0.715289       0.001459
       1.825000       0.713543       0.001563
       1.835000       0.715379       0.001946
       1.845000       0.706340       0.001922
       1.855000       0.708705       0.001935
       1.865000       0.704882       0.001900
       1.875000       0.696386       0.001528
       1.885000       0.682011       0.001455
       1.895000       0.681361       0.001671
       1.905000       0.656364       0.001331
       1.915000       0.641465       0.001906
       1.925000       0.631514       0.001725
       1.935000       0.627292       0.001937
       1.945000       0.624580       0.001677
       1.955000       0.627171       0.001762
       1.965000       0.627840       0.001346
       1.975000       0.636186       0.001681
       1.985000       0.641638       0.001958
       1.995000       0.644713       0.001891
       2.005000       0.643989       0.001671
       2.015000       0.648293       0.001585
       2.025000       0.652344       0.001951
       2.035000       0.656202       0.001914
       2.045000       0.657506       0.001942
       2.055000       0.661603       0.001789
       2.065000       0.660880       0.001799
       2.075000       0.666851       0.002007
       2.085000       0.669700       0.001925
       2.095000       0.667832       0.001989
       2.105000       0.665563       0.002010
       2.115000       0.668288       0.002008
       2.125000       0.667780       0.001973
       2.135000       0.664448       0.001990
       2.145000       0.664310       0.001930
       2.155000       0.665073       0.001948
       2.165000       0.663135       0.001786
       2.175000       0.662203       0.001962
       2.185000       0.656625       0.002013
       2.195000       0.655119       0.002019
       2.205000       0.648681       0.001996
       2.215000       0.647848       0.002042
       2.225000       0.646497       0.002045
       2.235000       0.634098       0.002032
       2.245000       0.634127       0.002044
       2.255000       0.623458       0.002036
       2.265000       0.623769       0.002065
       2.275000       0.618198       0.002601
       2.285000       0.623920       0.003338
       2.295000       0.613492       0.004303
       2.305000       0.603958       0.004028
       2.315000       0.605370       0.002651
       2.325000       0.601229       0.002000
       2.335000       0.595137       0.001973
       2.345000       0.585506       0.001945
