USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sauconite GDS135             W1R1Bb AREF
copy of splib05a r 6100                                     
       0.205100      -1.23e34        0.005468
       0.213100       0.032380       0.001184
       0.221100       0.035737       0.000991
       0.229100       0.037700       0.000908
       0.236100       0.038311       0.000851
       0.242100       0.037879       0.000594
       0.248100       0.037134       0.000729
       0.253600       0.036055       0.000490
       0.258600       0.034750       0.000576
       0.263600       0.032817       0.000466
       0.268600       0.032083       0.000604
       0.273100       0.032126       0.000481
       0.277100       0.032089       0.000750
       0.281100       0.032488       0.000765
       0.285100       0.034220       0.000630
       0.289100       0.034893       0.000529
       0.293100       0.037078       0.000499
       0.297100       0.039066       0.000730
       0.301100       0.040044       0.000506
       0.305100       0.042617       0.000621
       0.309100       0.044909       0.000376
       0.313100       0.047133       0.000702
       0.317100       0.050764       0.000792
       0.321100       0.052549       0.000557
       0.325100       0.055318       0.000610
       0.329100       0.057652       0.000625
       0.333100       0.060099       0.000478
       0.337100       0.061831       0.000398
       0.341100       0.063588       0.000416
       0.345100       0.064593       0.000458
       0.349100       0.065968       0.000400
       0.353100       0.066668       0.000425
       0.357100       0.067897       0.000526
       0.360600       0.068686       0.000554
       0.363600       0.068976       0.000400
       0.366600       0.070045       0.000433
       0.369600       0.071310       0.000484
       0.372600       0.072539       0.000424
       0.375600       0.074555       0.000536
       0.378600       0.076442       0.000433
       0.381100       0.078635       0.000487
       0.383100       0.080062       0.000784
       0.385100       0.081372       0.000476
       0.387100       0.083186       0.000441
       0.389100       0.084568       0.000617
       0.391100       0.086363       0.000483
       0.393100       0.088170       0.000417
       0.395100       0.089538       0.000420
       0.397100       0.090912       0.000562
       0.399100       0.092372       0.000537
       0.401100       0.093567       0.000458
       0.403100       0.094791       0.000445
       0.405100       0.096266       0.000595
       0.407100       0.097757       0.000404
       0.409100       0.098819       0.000398
       0.411100       0.100611       0.000548
       0.412800       0.102045       0.000457
       0.415800       0.104020       0.000471
       0.418800       0.106227       0.000457
       0.421800       0.109210       0.000552
       0.424800       0.111879       0.000438
       0.427800       0.115312       0.000433
       0.430800       0.118681       0.000443
       0.433800       0.122649       0.000542
       0.436800       0.126857       0.000600
       0.439800       0.130347       0.000483
       0.442800       0.134355       0.000426
       0.445800       0.138164       0.000971
       0.448800       0.141198       0.000981
       0.451300       0.143199       0.000675
       0.453300       0.145360       0.000904
       0.455300       0.146114       0.000709
       0.457300       0.148763       0.000900
       0.459300       0.148581       0.000605
       0.461300       0.149665       0.000641
       0.463300       0.151077       0.000585
       0.465300       0.151636       0.000757
       0.467300       0.152562       0.000546
       0.469300       0.154071       0.000573
       0.471300       0.154699       0.000571
       0.473300       0.156084       0.000537
       0.475300       0.157571       0.000769
       0.477300       0.158635       0.000562
       0.479300       0.159649       0.000628
       0.481300       0.161561       0.000600
       0.483300       0.163082       0.000799
       0.485300       0.164858       0.000527
       0.487300       0.166893       0.000825
       0.489300       0.168748       0.000806
       0.491300       0.170833       0.000611
       0.493300       0.173752       0.000821
       0.495300       0.175867       0.000631
       0.497300       0.179050       0.000776
       0.499300       0.180890       0.000599
       0.501300       0.184485       0.000588
       0.503300       0.187604       0.000821
       0.505300       0.189229       0.000689
       0.507300       0.192018       0.000589
       0.509300       0.194499       0.000637
       0.511300       0.198186       0.000809
       0.513300       0.200550       0.000629
       0.515300       0.203468       0.000638
       0.517300       0.206586       0.000641
       0.519300       0.209459       0.000625
       0.521300       0.212194       0.000736
       0.523300       0.215198       0.000544
       0.525300       0.220395       0.000673
       0.527300       0.222412       0.000760
       0.529300       0.226651       0.000639
       0.531300       0.230557       0.000940
       0.533300       0.233988       0.000814
       0.535300       0.239384       0.000756
       0.537300       0.243847       0.000755
       0.539300       0.248791       0.000727
       0.541300       0.255013       0.000650
       0.543300       0.259553       0.000680
       0.545300       0.266143       0.000946
       0.547300       0.271852       0.000898
       0.549300       0.278496       0.000956
       0.551300       0.285581       0.000738
       0.553300       0.294206       0.000852
       0.555300       0.301465       0.000613
       0.557300       0.309891       0.000634
       0.559300       0.319052       0.000622
       0.561300       0.327094       0.000566
       0.563300       0.337035       0.000538
       0.565300       0.345794       0.000612
       0.567300       0.355973       0.000657
       0.569300       0.364843       0.000872
       0.571300       0.375932       0.000620
       0.573300       0.384882       0.000424
       0.575300       0.394420       0.000442
       0.577300       0.403358       0.000571
       0.579300       0.413290       0.000438
       0.581300       0.421873       0.000506
       0.583300       0.430553       0.000470
       0.585300       0.437920       0.000458
       0.587300       0.445934       0.000540
       0.589300       0.453809       0.000577
       0.591300       0.460759       0.000490
       0.593300       0.467331       0.000453
       0.595300       0.473122       0.000471
       0.597300       0.477805       0.000499
       0.599300       0.483164       0.000972
       0.601100       0.487677       0.000564
       0.602700       0.490807       0.000525
       0.604300       0.494751       0.000486
       0.605900       0.497920       0.000475
       0.607500       0.500456       0.000474
       0.609100       0.503163       0.000599
       0.610700       0.506115       0.000582
       0.612300       0.508686       0.000453
       0.613900       0.511011       0.000625
       0.615500       0.514216       0.000459
       0.617100       0.514974       0.000439
       0.618700       0.517484       0.000555
       0.620300       0.519802       0.000420
       0.621900       0.521734       0.000550
       0.623500       0.523918       0.000435
       0.625100       0.526043       0.000407
       0.626700       0.528070       0.000459
       0.628300       0.529227       0.000456
       0.629900       0.530576       0.000823
       0.631700       0.532194       0.000542
       0.633700       0.533896       0.000811
       0.635700       0.537501       0.000547
       0.637700       0.537882       0.000677
       0.639700       0.539505       0.000816
       0.641700       0.541179       0.000901
       0.643700       0.542865       0.000445
       0.645700       0.544399       0.000441
       0.647700       0.546016       0.000534
       0.649700       0.548488       0.000419
       0.651700       0.549802       0.000437
       0.653700       0.551765       0.000440
       0.655700       0.552842       0.000440
       0.657700       0.554978       0.000418
       0.659700       0.556504       0.000458
       0.661700       0.558192       0.000512
       0.663700       0.559303       0.000500
       0.665700       0.561475       0.000826
       0.667700       0.562427       0.000442
       0.670200       0.564588       0.000535
       0.673200       0.567001       0.000467
       0.676200       0.569851       0.000469
       0.679200       0.571938       0.000450
       0.682200       0.575037       0.000476
       0.685200       0.576593       0.000599
       0.688200       0.579098       0.000496
       0.691200       0.582935       0.000482
       0.694200       0.584478       0.000479
       0.697200       0.586294       0.000597
       0.700200       0.592288       0.000427
       0.702000       0.593629       0.000459
       0.704000       0.594571       0.000529
       0.706000       0.596157       0.000452
       0.708000       0.598456       0.000595
       0.710000       0.600033       0.000478
       0.712000       0.602093       0.000474
       0.714000       0.604127       0.000621
       0.716000       0.604986       0.000481
       0.718000       0.606110       0.000680
       0.720000       0.608002       0.000504
       0.722000       0.609775       0.000555
       0.724000       0.610177       0.000502
       0.726000       0.611238       0.000490
       0.728000       0.612963       0.000747
       0.730000       0.614915       0.000518
       0.732000       0.614530       0.000815
       0.734000       0.615808       0.000609
       0.736000       0.617740       0.000621
       0.738000       0.616630       0.000702
       0.740000       0.617829       0.000935
       0.742000       0.619556       0.000904
       0.744000       0.619812       0.000863
       0.746000       0.622036       0.000673
       0.748000       0.622214       0.000541
       0.750500       0.622387       0.000445
       0.753500       0.624071       0.000448
       0.756500       0.624507       0.000515
       0.759500       0.625234       0.000663
       0.762500       0.625547       0.000506
       0.765500       0.625890       0.000505
       0.768500       0.625095       0.000696
       0.771500       0.624555       0.000607
       0.774500       0.625063       0.000561
       0.777500       0.624131       0.000558
       0.781000       0.623154       0.000521
       0.785000       0.623109       0.000525
       0.789000       0.621649       0.000604
       0.793000       0.620652       0.000750
       0.797000       0.619780       0.000555
       0.801500       0.618968       0.000543
       0.806500       0.617408       0.000720
       0.811500       0.616585       0.000578
       0.816500       0.614527       0.000559
       0.822000       0.612512       0.000606
       0.828000       0.611015       0.000566
       0.835000       0.608894       0.000662
       0.843000       0.606559       0.000585
       0.851000       0.606701       0.001028
       0.859000       0.602828       0.001022
       0.871000       0.600553       0.001010
       0.883000       0.602826       0.000952
       0.894000       0.600664       0.000687
       0.904000       0.603564       0.000687
       0.914000       0.603143       0.000755
       0.924000       0.605063       0.000795
       0.933000       0.607736       0.000844
       0.941000       0.608033       0.000719
       0.949000       0.608007       0.000757
       0.957000       0.601305       0.000572
       0.964000       0.603282       0.000801
       0.970000       0.611715       0.000970
       0.976000       0.615443       0.000715
       0.982000       0.619410       0.000728
       0.988000       0.621881       0.000822
       0.994000       0.625362       0.000762
       1.000000       0.628708       0.000948
       1.006000       0.632921       0.000718
       1.012000       0.635846       0.000902
       1.018000       0.637910       0.001004
       1.023500       0.641478       0.000706
       1.028500       0.644555       0.000761
       1.033500       0.646936       0.000694
       1.038500       0.648082       0.000897
       1.043500       0.651782       0.000728
       1.048500       0.653941       0.000780
       1.053500       0.656866       0.000668
       1.058500       0.659034       0.000656
       1.063500       0.661229       0.000884
       1.068500       0.664214       0.000603
       1.073500       0.666720       0.000579
       1.078500       0.668003       0.000751
       1.083500       0.672002       0.000553
       1.088500       0.673945       0.000642
       1.093500       0.676381       0.000627
       1.098500       0.678999       0.000681
       1.103500       0.680547       0.000579
       1.108500       0.682642       0.000701
       1.113500       0.685171       0.000649
       1.118500       0.686452       0.000582
       1.123500       0.688581       0.000558
       1.128500       0.688710       0.000675
       1.133500       0.690645       0.000621
       1.138500       0.688592       0.000679
       1.143500       0.683989       0.000687
       1.148500       0.678734       0.000559
       1.153500       0.673942       0.000819
       1.158500       0.673116       0.000743
       1.163500       0.676606       0.000600
       1.168500       0.680512       0.000648
       1.173500       0.684644       0.000586
       1.178500       0.687183       0.000743
       1.183500       0.690843       0.000699
       1.188500       0.692440       0.000706
       1.193500       0.694626       0.000778
       1.198500       0.692118       0.000568
       1.203500       0.694126       0.000780
       1.208500       0.696360       0.000674
       1.213500       0.698511       0.000780
       1.218500       0.699343       0.000648
       1.223500       0.700870       0.000711
       1.228500       0.701622       0.000665
       1.233500       0.701999       0.000622
       1.238500       0.701753       0.000627
       1.243500       0.704741       0.000670
       1.248500       0.705019       0.000584
       1.253500       0.703641       0.000564
       1.258500       0.705016       0.000693
       1.263500       0.705051       0.000600
       1.268500       0.704762       0.000691
       1.273500       0.703757       0.000616
       1.278500       0.702784       0.000695
       1.283500       0.701129       0.000625
       1.288500       0.696164       0.000604
       1.293500       0.694344       0.000664
       1.298500       0.696414       0.000555
       1.303500       0.693545       0.000584
       1.308500       0.690700       0.000657
       1.313500       0.685955       0.000533
       1.318500       0.682470       0.000538
       1.323500       0.678540       0.000532
       1.328500       0.672940       0.000461
       1.333500       0.666196       0.000490
       1.338500       0.660758       0.000565
       1.343500       0.654180       0.000473
       1.348500       0.649068       0.000517
       1.353500       0.643722       0.000564
       1.358500       0.637450       0.000592
       1.363500       0.632137       0.000669
       1.368500       0.624590       0.000637
       1.373500       0.612485       0.000576
       1.378500       0.597091       0.000688
       1.383500       0.575492       0.000633
       1.388500       0.547191       0.000562
       1.393500       0.510480       0.000674
       1.398500       0.447438       0.000609
       1.403500       0.351053       0.000903
       1.408500       0.326485       0.000548
       1.413500       0.367466       0.000659
       1.418500       0.383874       0.000841
       1.423500       0.399214       0.000587
       1.428500       0.410664       0.000688
       1.433500       0.421797       0.000626
       1.438500       0.431867       0.000601
       1.443500       0.440532       0.000608
       1.448500       0.449038       0.000613
       1.453500       0.452623       0.000643
       1.458500       0.453725       0.000638
       1.463500       0.453757       0.000602
       1.468500       0.459158       0.000640
       1.473500       0.467329       0.000594
       1.478500       0.478822       0.000640
       1.483500       0.489170       0.000610
       1.488500       0.499743       0.000652
       1.493500       0.506882       0.000685
       1.498500       0.514503       0.000581
       1.503500       0.522594       0.000607
       1.508500       0.529030       0.000751
       1.513500       0.535051       0.001015
       1.518500       0.542992       0.000637
       1.523500       0.547188       0.000673
       1.528500       0.551840       0.000731
       1.534000       0.556948       0.000681
       1.540000       0.562579       0.000741
       1.546000       0.567084       0.000814
       1.552000       0.570522       0.000624
       1.558000       0.576023       0.000649
       1.564000       0.582013       0.000635
       1.570500       0.583407       0.000622
       1.577500       0.586973       0.000508
       1.584500       0.590192       0.000584
       1.591500       0.593875       0.000498
       1.598500       0.596947       0.000578
       1.605500       0.600394       0.000565
       1.612500       0.602519       0.000559
       1.619500       0.604461       0.000516
       1.626500       0.606302       0.000488
       1.633500       0.609971       0.000600
       1.640500       0.611374       0.000622
       1.647500       0.613217       0.000739
       1.654500       0.616200       0.000609
       1.661500       0.617631       0.000930
       1.668500       0.617100       0.000787
       1.676000       0.617192       0.000791
       1.684000       0.616403       0.000705
       1.692000       0.615760       0.001020
       1.700000       0.615400       0.001004
       1.708000       0.613595       0.001023
       1.716000       0.608655       0.000814
       1.724000       0.603618       0.000909
       1.732000       0.598418       0.001006
       1.740000       0.593067       0.001018
       1.748000       0.588145       0.001015
       1.756000       0.582981       0.001009
       1.764000       0.578785       0.000766
       1.772000       0.572460       0.000782
       1.780000       0.568027       0.000934
       1.788000       0.566807       0.001017
       1.796000       0.564865       0.000674
       1.805000       0.560078       0.000702
       1.815000       0.558623       0.000753
       1.825000       0.556054       0.000736
       1.835000       0.553331       0.000821
       1.845000       0.543036       0.000786
       1.855000       0.526332       0.000759
       1.865000       0.496270       0.000722
       1.875000       0.442073       0.000716
       1.885000       0.357754       0.000687
       1.895000       0.255011       0.000773
       1.905000       0.188723       0.000820
       1.915000       0.182908       0.000860
       1.925000       0.201666       0.000818
       1.935000       0.220926       0.000843
       1.945000       0.234772       0.000776
       1.955000       0.246281       0.000837
       1.965000       0.257896       0.000843
       1.975000       0.270230       0.001004
       1.985000       0.285391       0.000897
       1.995000       0.303790       0.000998
       2.005000       0.323297       0.000890
       2.015000       0.343643       0.000908
       2.025000       0.360484       0.000998
       2.035000       0.375032       0.000988
       2.045000       0.386971       0.000983
       2.055000       0.396978       0.000996
       2.065000       0.409714       0.000999
       2.075000       0.414430       0.000999
       2.085000       0.422669       0.000989
       2.095000       0.428198       0.000997
       2.105000       0.431766       0.000996
       2.115000       0.433487       0.000995
       2.125000       0.440136       0.000990
       2.135000       0.444263       0.000991
       2.145000       0.446503       0.000985
       2.155000       0.445742       0.000994
       2.165000       0.446616       0.000992
       2.175000       0.443533       0.000976
       2.185000       0.440157       0.000998
       2.195000       0.435304       0.000998
       2.205000       0.434404       0.001002
       2.215000       0.431979       0.001006
       2.225000       0.430501       0.001007
       2.235000       0.427150       0.001006
       2.245000       0.418178       0.001020
       2.255000       0.401764       0.001014
       2.265000       0.398656       0.001061
       2.275000       0.398516       0.001192
       2.285000       0.389982       0.001721
       2.295000       0.373200       0.002247
       2.305000       0.344680       0.002240
       2.315000       0.308224       0.001510
       2.325000       0.277010       0.001028
       2.335000       0.257351       0.000984
       2.345000       0.250823       0.000980
