USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Schwertmannite BZ93-1        W1R1Bb AREF
copy of splib05a r 6111                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600      -1.23e34       -1.23e34 
       0.268600      -1.23e34       -1.23e34 
       0.273100      -1.23e34       -1.23e34 
       0.277100      -1.23e34       -1.23e34 
       0.281100      -1.23e34       -1.23e34 
       0.285100      -1.23e34       -1.23e34 
       0.289100      -1.23e34       -1.23e34 
       0.293100      -1.23e34       -1.23e34 
       0.297100      -1.23e34       -1.23e34 
       0.301100       0.007930       0.000000
       0.305100       0.006952       0.000000
       0.309100       0.006757       0.000000
       0.313100       0.007376       0.000000
       0.317100       0.007251       0.000000
       0.321100       0.007988       0.000000
       0.325100       0.007874       0.000000
       0.329100       0.007127       0.000000
       0.333100       0.007906       0.000000
       0.337100       0.007674       0.000000
       0.341100       0.007538       0.000000
       0.345100       0.007439       0.000000
       0.349100       0.007336       0.000000
       0.353100       0.007754       0.000000
       0.357100       0.007511       0.000000
       0.360600       0.008409       0.000000
       0.363600       0.007647       0.000000
       0.366600       0.007882       0.000000
       0.369600       0.008498       0.000000
       0.372600       0.008185       0.000000
       0.375600       0.008311       0.000000
       0.378600       0.008435       0.000000
       0.381100       0.008854       0.000000
       0.383100       0.008513       0.000000
       0.385100       0.009194       0.000000
       0.387100       0.008913       0.000000
       0.389100       0.008985       0.000000
       0.391100       0.008989       0.000000
       0.393100       0.009785       0.000000
       0.395100       0.009559       0.000000
       0.397100       0.009197       0.000000
       0.399100       0.009826       0.000000
       0.401100       0.009642       0.000000
       0.403100       0.009869       0.000000
       0.405100       0.010303       0.000000
       0.407100       0.010046       0.000000
       0.409100       0.010735       0.000000
       0.411100       0.010501       0.000000
       0.412800       0.011513       0.000000
       0.415800       0.011008       0.000000
       0.418800       0.011402       0.000000
       0.421800       0.011843       0.000000
       0.424800       0.012649       0.000000
       0.427800       0.012842       0.000000
       0.430800       0.013627       0.000000
       0.433800       0.014106       0.000000
       0.436800       0.014500       0.000000
       0.439800       0.015614       0.000000
       0.442800       0.016106       0.000000
       0.445800       0.016475       0.000000
       0.448800       0.017288       0.000000
       0.451300       0.018137       0.000000
       0.453300       0.018021       0.000000
       0.455300       0.019150       0.000000
       0.457300       0.019776       0.000000
       0.459300       0.018689       0.000000
       0.461300       0.019450       0.000000
       0.463300       0.020359       0.000000
       0.465300       0.020330       0.000000
       0.467300       0.021073       0.000000
       0.469300       0.021037       0.000000
       0.471300       0.022534       0.000000
       0.473300       0.021709       0.000000
       0.475300       0.022529       0.000000
       0.477300       0.022597       0.000000
       0.479300       0.022637       0.000000
       0.481300       0.023518       0.000000
       0.483300       0.023438       0.000000
       0.485300       0.024800       0.000000
       0.487300       0.024634       0.000000
       0.489300       0.025538       0.000000
       0.491300       0.025882       0.000000
       0.493300       0.027184       0.000000
       0.495300       0.028206       0.000000
       0.497300       0.028602       0.000000
       0.499300       0.029094       0.000000
       0.501300       0.030802       0.000000
       0.503300       0.030747       0.000000
       0.505300       0.031980       0.000000
       0.507300       0.033016       0.000000
       0.509300       0.034814       0.000000
       0.511300       0.035333       0.000000
       0.513300       0.036918       0.000000
       0.515300       0.038544       0.000000
       0.517300       0.039026       0.000000
       0.519300       0.041748       0.000000
       0.521300       0.042690       0.000000
       0.523300       0.044233       0.000000
       0.525300       0.045886       0.000000
       0.527300       0.047751       0.000000
       0.529300       0.049371       0.000000
       0.531300       0.051696       0.000000
       0.533300       0.053301       0.000000
       0.535300       0.054905       0.000000
       0.537300       0.057020       0.000000
       0.539300       0.059686       0.000000
       0.541300       0.061564       0.000000
       0.543300       0.063065       0.000000
       0.545300       0.067002       0.000000
       0.547300       0.068492       0.000000
       0.549300       0.071282       0.000000
       0.551300       0.072885       0.000000
       0.553300       0.075592       0.000000
       0.555300       0.077538       0.000000
       0.557300       0.081522       0.000000
       0.559300       0.082679       0.000000
       0.561300       0.084608       0.000000
       0.563300       0.088129       0.000000
       0.565300       0.090182       0.000000
       0.567300       0.092975       0.000000
       0.569300       0.096050       0.000000
       0.571300       0.098870       0.000000
       0.573300       0.102024       0.000000
       0.575300       0.105356       0.000000
       0.577300       0.108446       0.000000
       0.579300       0.111653       0.000000
       0.581300       0.114445       0.000000
       0.583300       0.117368       0.000000
       0.585300       0.120555       0.000000
       0.587300       0.123314       0.000000
       0.589300       0.126548       0.000000
       0.591300       0.130059       0.000000
       0.593300       0.133453       0.000000
       0.595300       0.136584       0.000000
       0.597300       0.139742       0.000000
       0.599300       0.142748       0.000000
       0.601100       0.145643       0.000000
       0.602700       0.148798       0.000000
       0.604300       0.151061       0.000000
       0.605900       0.153037       0.000000
       0.607500       0.155670       0.000000
       0.609100       0.158404       0.000000
       0.610700       0.160897       0.000000
       0.612300       0.163481       0.000000
       0.613900       0.165974       0.000000
       0.615500       0.168319       0.000000
       0.617100       0.170287       0.000000
       0.618700       0.172931       0.000000
       0.620300       0.175756       0.000000
       0.621900       0.177795       0.000000
       0.623500       0.180155       0.000000
       0.625100       0.182155       0.000000
       0.626700       0.184617       0.000000
       0.628300       0.186950       0.000000
       0.629900       0.189292       0.000000
       0.631700       0.190679       0.000000
       0.633700       0.193505       0.000000
       0.635700       0.196147       0.000000
       0.637700       0.198652       0.000000
       0.639700       0.201149       0.000000
       0.641700       0.204440       0.000000
       0.643700       0.205857       0.000000
       0.645700       0.208691       0.000000
       0.647700       0.211036       0.000000
       0.649700       0.213157       0.000000
       0.651700       0.215904       0.000000
       0.653700       0.217796       0.000000
       0.655700       0.220147       0.000000
       0.657700       0.222528       0.000000
       0.659700       0.225012       0.000000
       0.661700       0.227739       0.000000
       0.663700       0.229107       0.000000
       0.665700       0.231430       0.000000
       0.667700       0.233125       0.000000
       0.670200       0.236101       0.000000
       0.673200       0.239243       0.000000
       0.676200       0.242446       0.000000
       0.679200       0.245804       0.000000
       0.682200       0.248319       0.000000
       0.685200       0.251961       0.000000
       0.688200       0.254643       0.000000
       0.691200       0.257892       0.000000
       0.694200       0.260865       0.000000
       0.697200       0.262034       0.000000
       0.700200       0.268879       0.000000
       0.702000       0.270184       0.000000
       0.704000       0.272266       0.000000
       0.706000       0.274700       0.000000
       0.708000       0.276575       0.000000
       0.710000       0.278127       0.000000
       0.712000       0.280261       0.000000
       0.714000       0.281728       0.000000
       0.716000       0.282979       0.000000
       0.718000       0.284844       0.000000
       0.720000       0.286217       0.000000
       0.722000       0.288262       0.000000
       0.724000       0.289516       0.000000
       0.726000       0.291754       0.000000
       0.728000       0.293303       0.000000
       0.730000       0.293586       0.000000
       0.732000       0.295285       0.000000
       0.734000       0.296280       0.000000
       0.736000       0.297365       0.000000
       0.738000       0.298490       0.000000
       0.740000       0.299604       0.000000
       0.742000       0.300601       0.000000
       0.744000       0.301626       0.000000
       0.746000       0.302033       0.000000
       0.748000       0.304013       0.000000
       0.750500       0.304461       0.000000
       0.753500       0.305835       0.000000
       0.756500       0.305853       0.000000
       0.759500       0.306726       0.000000
       0.762500       0.306654       0.000000
       0.765500       0.307274       0.000000
       0.768500       0.307479       0.000000
       0.771500       0.306847       0.000000
       0.774500       0.306616       0.000000
       0.777500       0.306653       0.000000
       0.781000       0.306985       0.000000
       0.785000       0.305792       0.000000
       0.789000       0.305724       0.000000
       0.793000       0.304633       0.000000
       0.797000       0.303088       0.000000
       0.801500       0.302642       0.000000
       0.806500       0.300741       0.000000
       0.811500       0.299081       0.000000
       0.816500       0.297511       0.000000
       0.822000       0.296500       0.000000
       0.828000       0.294645       0.000000
       0.835000       0.292695       0.000000
       0.843000       0.291200       0.000000
       0.851000       0.290800       0.000000
       0.859000       0.290000       0.000000
       0.871000       0.288300       0.000000
       0.883000       0.286943       0.000000
       0.894000       0.286704       0.000000
       0.904000       0.284395       0.000000
       0.914000       0.284534       0.000000
       0.924000       0.284814       0.000000
       0.933000       0.285732       0.000000
       0.941000       0.285620       0.000000
       0.949000       0.285046       0.000000
       0.957000       0.289216       0.000000
       0.964000       0.289728       0.000000
       0.970000       0.291145       0.000000
       0.976000       0.293390       0.000000
       0.982000       0.294915       0.000000
       0.988000       0.296268       0.000000
       0.994000       0.298771       0.000000
       1.000000       0.300193       0.000000
       1.006000       0.304490       0.000000
       1.012000       0.304559       0.000000
       1.018000       0.306841       0.000000
       1.023500       0.311717       0.000000
       1.028500       0.312406       0.000000
       1.033500       0.317702       0.000000
       1.038500       0.318663       0.000000
       1.043500       0.322305       0.000000
       1.048500       0.324896       0.000000
       1.053500       0.328095       0.000000
       1.058500       0.331556       0.000000
       1.063500       0.333504       0.000000
       1.068500       0.337240       0.000000
       1.073500       0.340383       0.000000
       1.078500       0.345379       0.000000
       1.083500       0.348335       0.000000
       1.088500       0.352016       0.000000
       1.093500       0.355805       0.000000
       1.098500       0.359416       0.000000
       1.103500       0.364778       0.000000
       1.108500       0.368698       0.000000
       1.113500       0.372235       0.000000
       1.118500       0.376187       0.000000
       1.123500       0.382201       0.000000
       1.128500       0.385994       0.000000
       1.133500       0.390889       0.000000
       1.138500       0.395316       0.000000
       1.143500       0.399142       0.000000
       1.148500       0.404283       0.000000
       1.153500       0.409002       0.000000
       1.158500       0.414117       0.000000
       1.163500       0.417839       0.000000
       1.168500       0.422471       0.000000
       1.173500       0.426763       0.000000
       1.178500       0.433599       0.000000
       1.183500       0.437270       0.000000
       1.188500       0.443950       0.000000
       1.193500       0.447670       0.000000
       1.198500       0.452051       0.000000
       1.203500       0.457718       0.000000
       1.208500       0.463273       0.000000
       1.213500       0.469479       0.000000
       1.218500       0.473479       0.000000
       1.223500       0.478328       0.000000
       1.228500       0.483325       0.000000
       1.233500       0.487803       0.000000
       1.238500       0.493673       0.000000
       1.243500       0.498980       0.000000
       1.248500       0.503487       0.000000
       1.253500       0.509857       0.000000
       1.258500       0.513342       0.000000
       1.263500       0.518715       0.000000
       1.268500       0.524457       0.000000
       1.273500       0.528614       0.000000
       1.278500       0.533241       0.000000
       1.283500       0.538527       0.000000
       1.288500       0.542316       0.000000
       1.293500       0.547016       0.000000
       1.298500       0.551974       0.000000
       1.303500       0.555568       0.000000
       1.308500       0.559548       0.000000
       1.313500       0.564219       0.000000
       1.318500       0.568117       0.000000
       1.323500       0.572511       0.000000
       1.328500       0.574826       0.000000
       1.333500       0.577639       0.000000
       1.338500       0.581725       0.000000
       1.343500       0.584765       0.000000
       1.348500       0.587346       0.000000
       1.353500       0.590271       0.000000
       1.358500       0.591835       0.000000
       1.363500       0.594818       0.000000
       1.368500       0.597050       0.000000
       1.373500       0.599297       0.000000
       1.378500       0.596887       0.000000
       1.383500       0.594957       0.000000
       1.388500       0.591704       0.000000
       1.393500       0.589849       0.000000
       1.398500       0.582962       0.000000
       1.403500       0.575361       0.000000
       1.408500       0.565324       0.000000
       1.413500       0.555445       0.000000
       1.418500       0.546833       0.000000
       1.423500       0.539109       0.000000
       1.428500       0.534467       0.000000
       1.433500       0.531504       0.000000
       1.438500       0.529537       0.000000
       1.443500       0.530448       0.000000
       1.448500       0.528292       0.000000
       1.453500       0.528586       0.000000
       1.458500       0.529820       0.000000
       1.463500       0.531004       0.000000
       1.468500       0.532774       0.000000
       1.473500       0.533171       0.000000
       1.478500       0.535395       0.000000
       1.483500       0.539749       0.000000
       1.488500       0.543683       0.000000
       1.493500       0.544788       0.000000
       1.498500       0.547468       0.000000
       1.503500       0.551346       0.000000
       1.508500       0.554244       0.000000
       1.513500       0.555753       0.000000
       1.518500       0.560792       0.000000
       1.523500       0.564094       0.000000
       1.528500       0.564948       0.000000
       1.534000       0.567293       0.000000
       1.540000       0.569912       0.000000
       1.546000       0.573044       0.000000
       1.552000       0.575410       0.000000
       1.558000       0.577754       0.000000
       1.564000       0.579394       0.000000
       1.570500       0.579835       0.000000
       1.577500       0.581595       0.000000
       1.584500       0.582405       0.000000
       1.591500       0.585198       0.000000
       1.598500       0.586457       0.000000
       1.605500       0.586535       0.000000
       1.612500       0.587650       0.000000
       1.619500       0.587444       0.000000
       1.626500       0.587072       0.000000
       1.633500       0.587357       0.000000
       1.640500       0.588025       0.000000
       1.647500       0.587269       0.000000
       1.654500       0.586446       0.000000
       1.661500       0.586147       0.000000
       1.668500       0.584486       0.000000
       1.676000       0.582619       0.000000
       1.684000       0.579895       0.000000
       1.692000       0.577387       0.000000
       1.700000       0.577211       0.000000
       1.708000       0.574135       0.000000
       1.716000       0.572325       0.000000
       1.724000       0.570581       0.000000
       1.732000       0.568437       0.000000
       1.740000       0.566336       0.000000
       1.748000       0.566072       0.000000
       1.756000       0.561839       0.000000
       1.764000       0.560145       0.000000
       1.772000       0.559728       0.000000
       1.780000       0.557753       0.000000
       1.788000       0.560347       0.000000
       1.796000       0.556180       0.000000
       1.805000       0.556537       0.000000
       1.815000       0.555068       0.000000
       1.825000       0.554535       0.000000
       1.835000       0.554866       0.000000
       1.845000       0.554870       0.000000
       1.855000       0.550996       0.000000
       1.865000       0.544784       0.000000
       1.875000       0.530460       0.000000
       1.885000       0.503007       0.000000
       1.895000       0.474315       0.000000
       1.905000       0.442179       0.000000
       1.915000       0.414844       0.000000
       1.925000       0.396790       0.000000
       1.935000       0.388869       0.000000
       1.945000       0.385044       0.000000
       1.955000       0.388649       0.000000
       1.965000       0.394111       0.000000
       1.975000       0.401740       0.000000
       1.985000       0.407353       0.000000
       1.995000       0.418109       0.000000
       2.005000       0.424410       0.000000
       2.015000       0.429866       0.000000
       2.025000       0.434323       0.000000
       2.035000       0.440271       0.000000
       2.045000       0.443822       0.000000
       2.055000       0.448212       0.000000
       2.065000       0.452417       0.000000
       2.075000       0.452074       0.000000
       2.085000       0.455548       0.000000
       2.095000       0.458112       0.000000
       2.105000       0.457803       0.000000
       2.115000       0.460608       0.000000
       2.125000       0.462690       0.000000
       2.135000       0.466113       0.000000
       2.145000       0.463869       0.000000
       2.155000       0.464491       0.000000
       2.165000       0.462762       0.000000
       2.175000       0.459750       0.000000
       2.185000       0.457826       0.000000
       2.195000       0.453330       0.000000
       2.205000       0.456864       0.000000
       2.215000       0.449294       0.000000
       2.225000       0.441731       0.000000
       2.235000       0.438908       0.000000
       2.245000       0.428999       0.000000
       2.255000       0.425732       0.000000
       2.265000       0.422421       0.000000
       2.275000       0.418131       0.000000
       2.285000       0.408652       0.000000
       2.295000       0.411169       0.000000
