USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sepiolite SepNev-1           W1R1Bb AREF
copy of splib05a r 6138                                     
       0.205100      -1.23e34        0.165748
       0.213100      -1.23e34        0.026771
       0.221100       0.294785       0.006554
       0.229100       0.391333       0.002611
       0.236100       0.476956       0.002638
       0.242100       0.519482       0.001172
       0.248100       0.533998       0.000947
       0.253600       0.542148       0.001425
       0.258600       0.541796       0.001152
       0.263600       0.551698       0.000979
       0.268600       0.566352       0.001098
       0.273100       0.567790       0.001383
       0.277100       0.581719       0.000997
       0.281100       0.587856       0.001106
       0.285100       0.603591       0.001024
       0.289100       0.615447       0.001311
       0.293100       0.623142       0.000843
       0.297100       0.639199       0.000695
       0.301100       0.644633       0.001097
       0.305100       0.653569       0.001517
       0.309100       0.661990       0.001749
       0.313100       0.673858       0.001127
       0.317100       0.679313       0.001115
       0.321100       0.690129       0.000960
       0.325100       0.695685       0.000929
       0.329100       0.697029       0.001797
       0.333100       0.707314       0.001776
       0.337100       0.708203       0.001131
       0.341100       0.709366       0.000911
       0.345100       0.716545       0.001809
       0.349100       0.721942       0.001827
       0.353100       0.723465       0.000426
       0.357100       0.726488       0.000567
       0.360600       0.728237       0.000446
       0.363600       0.730046       0.000445
       0.366600       0.733228       0.000447
       0.369600       0.737385       0.000379
       0.372600       0.739700       0.000409
       0.375600       0.742388       0.000374
       0.378600       0.745368       0.000285
       0.381100       0.748710       0.000638
       0.383100       0.747742       0.001329
       0.385100       0.752339       0.000646
       0.387100       0.753886       0.000457
       0.389100       0.757318       0.000303
       0.391100       0.757488       0.000233
       0.393100       0.760623       0.000404
       0.395100       0.762914       0.000271
       0.397100       0.763635       0.000430
       0.399100       0.765153       0.000304
       0.401100       0.767017       0.000905
       0.403100       0.768664       0.000369
       0.405100       0.770402       0.000249
       0.407100       0.770443       0.000827
       0.409100       0.772821       0.000403
       0.411100       0.775173       0.001047
       0.412800       0.775550       0.000311
       0.415800       0.777375       0.000376
       0.418800       0.779687       0.000928
       0.421800       0.782512       0.000402
       0.424800       0.782574       0.000872
       0.427800       0.784522       0.000368
       0.430800       0.787817       0.000271
       0.433800       0.789401       0.000245
       0.436800       0.792358       0.000357
       0.439800       0.794024       0.000319
       0.442800       0.795351       0.000876
       0.445800       0.797460       0.000229
       0.448800       0.799750       0.000263
       0.451300       0.801985       0.000339
       0.453300       0.801809       0.001514
       0.455300       0.805506       0.000470
       0.457300       0.805342       0.000835
       0.459300       0.805112       0.001315
       0.461300       0.808583       0.000819
       0.463300       0.808844       0.000332
       0.465300       0.809479       0.000385
       0.467300       0.810726       0.000284
       0.469300       0.811973       0.000478
       0.471300       0.813475       0.000340
       0.473300       0.815151       0.000562
       0.475300       0.816997       0.000369
       0.477300       0.816794       0.000352
       0.479300       0.818490       0.000490
       0.481300       0.818610       0.000307
       0.483300       0.820210       0.000565
       0.485300       0.822242       0.000304
       0.487300       0.821835       0.000386
       0.489300       0.824074       0.000489
       0.491300       0.824352       0.000634
       0.493300       0.826472       0.000411
       0.495300       0.827309       0.000366
       0.497300       0.827950       0.000455
       0.499300       0.829602       0.000321
       0.501300       0.832543       0.000576
       0.503300       0.832002       0.000489
       0.505300       0.831561       0.000579
       0.507300       0.833785       0.000478
       0.509300       0.834362       0.000257
       0.511300       0.836988       0.000232
       0.513300       0.836720       0.000970
       0.515300       0.838374       0.000527
       0.517300       0.839403       0.001023
       0.519300       0.840419       0.000474
       0.521300       0.842097       0.000563
       0.523300       0.843108       0.000538
       0.525300       0.842534       0.000981
       0.527300       0.846363       0.000474
       0.529300       0.847844       0.000499
       0.531300       0.848030       0.000484
       0.533300       0.846928       0.001160
       0.535300       0.851030       0.000672
       0.537300       0.848435       0.001278
       0.539300       0.852844       0.000475
       0.541300       0.852930       0.000624
       0.543300       0.855713       0.000563
       0.545300       0.854295       0.000367
       0.547300       0.855760       0.001059
       0.549300       0.858217       0.000281
       0.551300       0.858598       0.001028
       0.553300       0.859153       0.000294
       0.555300       0.860260       0.001018
       0.557300       0.863876       0.000602
       0.559300       0.864245       0.001058
       0.561300       0.867569       0.000625
       0.563300       0.867114       0.000456
       0.565300       0.868533       0.000982
       0.567300       0.870357       0.000314
       0.569300       0.871592       0.000373
       0.571300       0.871886       0.000398
       0.573300       0.873310       0.000275
       0.575300       0.873793       0.000605
       0.577300       0.877507       0.000307
       0.579300       0.877889       0.000626
       0.581300       0.877991       0.000365
       0.583300       0.877047       0.001296
       0.585300       0.879723       0.000428
       0.587300       0.882488       0.000350
       0.589300       0.882778       0.000431
       0.591300       0.882211       0.001198
       0.593300       0.886687       0.000322
       0.595300       0.883929       0.001142
       0.597300       0.887352       0.000600
       0.599300       0.888772       0.000258
       0.601100       0.891630       0.000594
       0.602700       0.891617       0.000470
       0.604300       0.892854       0.000444
       0.605900       0.891707       0.000309
       0.607500       0.893605       0.000369
       0.609100       0.894075       0.000601
       0.610700       0.894161       0.000269
       0.612300       0.895589       0.000300
       0.613900       0.895674       0.000256
       0.615500       0.897294       0.000310
       0.617100       0.898064       0.000607
       0.618700       0.897762       0.000471
       0.620300       0.897844       0.000329
       0.621900       0.898998       0.000387
       0.623500       0.900236       0.000672
       0.625100       0.899545       0.000254
       0.626700       0.901168       0.000371
       0.628300       0.899464       0.001117
       0.629900       0.900974       0.000404
       0.631700       0.902289       0.000245
       0.633700       0.903527       0.000469
       0.635700       0.902946       0.001013
       0.637700       0.902752       0.000275
       0.639700       0.904259       0.000285
       0.641700       0.904065       0.000471
       0.643700       0.904914       0.000402
       0.645700       0.906152       0.000489
       0.647700       0.907926       0.000347
       0.649700       0.907195       0.000540
       0.651700       0.909553       0.000585
       0.653700       0.908313       0.000630
       0.655700       0.909819       0.000451
       0.657700       0.908895       0.001320
       0.659700       0.908968       0.000336
       0.661700       0.910013       0.000545
       0.663700       0.910792       0.000695
       0.665700       0.913736       0.000400
       0.667700       0.913541       0.000454
       0.670200       0.913276       0.000635
       0.673200       0.913736       0.000348
       0.676200       0.913864       0.000733
       0.679200       0.915373       0.000260
       0.682200       0.917602       0.000624
       0.685200       0.917406       0.000359
       0.688200       0.918589       0.000601
       0.691200       0.919117       0.000531
       0.694200       0.921362       0.000622
       0.697200       0.921498       0.000967
       0.700200       0.919520       0.000671
       0.702000       0.923169       0.000692
       0.704000       0.920912       0.000385
       0.706000       0.922908       0.000532
       0.708000       0.922522       0.001224
       0.710000       0.922584       0.000333
       0.712000       0.923866       0.001295
       0.714000       0.922861       0.000369
       0.716000       0.924873       0.000543
       0.718000       0.926489       0.000604
       0.720000       0.922135       0.000561
       0.722000       0.922412       0.001346
       0.724000       0.926574       0.000376
       0.726000       0.926253       0.000829
       0.728000       0.924246       0.001687
       0.730000       0.926600       0.000699
       0.732000       0.926396       0.001652
       0.734000       0.925930       0.000572
       0.736000       0.926481       0.001079
       0.738000       0.926888       0.000626
       0.740000       0.926158       0.000535
       0.742000       0.927587       0.001309
       0.744000       0.927529       0.000651
       0.746000       0.928143       0.000543
       0.748000       0.927470       0.000518
       0.750500       0.930553       0.000609
       0.753500       0.928527       0.000771
       0.756500       0.931323       0.000354
       0.759500       0.930534       0.000496
       0.762500       0.930892       0.000937
       0.765500       0.931515       0.000645
       0.768500       0.928707       0.001075
       0.771500       0.929212       0.001745
       0.774500       0.931195       0.000653
       0.777500       0.930287       0.000570
       0.781000       0.931066       0.000488
       0.785000       0.934319       0.000649
       0.789000       0.932420       0.000693
       0.793000       0.932996       0.000676
       0.797000       0.931469       0.000373
       0.801500       0.933409       0.000631
       0.806500       0.932397       0.000352
       0.811500       0.932073       0.000690
       0.816500       0.935423       0.000993
       0.822000       0.935476       0.000993
       0.828000       0.935261       0.000708
       0.835000       0.933583       0.001871
       0.843000       0.939009       0.001601
       0.851000       0.932586       0.002508
       0.859000       0.932216       0.002001
       0.871000       0.934885       0.001946
       0.883000       0.928461       0.001933
       0.894000       0.927551       0.001858
       0.904000       0.930921       0.001986
       0.914000       0.931776       0.001746
       0.924000       0.935530       0.001636
       0.933000       0.930437       0.001237
       0.941000       0.924970       0.001447
       0.949000       0.922593       0.001015
       0.957000       0.921957       0.001322
       0.964000       0.915645       0.001343
       0.970000       0.915363       0.001764
       0.976000       0.917746       0.001267
       0.982000       0.919921       0.001164
       0.988000       0.922803       0.001046
       0.994000       0.924057       0.001235
       1.000000       0.927368       0.001089
       1.006000       0.924631       0.001195
       1.012000       0.926823       0.001003
       1.018000       0.928166       0.001046
       1.023500       0.931124       0.001664
       1.028500       0.931554       0.001600
       1.033500       0.934139       0.001623
       1.038500       0.931124       0.001038
       1.043500       0.932579       0.001017
       1.048500       0.932305       0.001590
       1.053500       0.931814       0.001378
       1.058500       0.932994       0.001207
       1.063500       0.929915       0.001358
       1.068500       0.930396       0.001461
       1.073500       0.934965       0.000932
       1.078500       0.930175       0.001886
       1.083500       0.930330       0.001053
       1.088500       0.930392       0.001297
       1.093500       0.931471       0.000848
       1.098500       0.931327       0.001256
       1.103500       0.929242       0.000899
       1.108500       0.929751       0.000901
       1.113500       0.926601       0.000747
       1.118500       0.931080       0.000945
       1.123500       0.927706       0.001111
       1.128500       0.923627       0.000927
       1.133500       0.922088       0.000789
       1.138500       0.917418       0.001057
       1.143500       0.910343       0.000890
       1.148500       0.901922       0.001102
       1.153500       0.895080       0.000720
       1.158500       0.897473       0.000875
       1.163500       0.894330       0.000801
       1.168500       0.895876       0.000955
       1.173500       0.899693       0.000993
       1.178500       0.902854       0.001054
       1.183500       0.905549       0.001270
       1.188500       0.904812       0.000843
       1.193500       0.905541       0.000951
       1.198500       0.905558       0.001151
       1.203500       0.903683       0.001082
       1.208500       0.907287       0.000839
       1.213500       0.906983       0.000904
       1.218500       0.904766       0.001048
       1.223500       0.906428       0.000871
       1.228500       0.906014       0.000856
       1.233500       0.908379       0.001072
       1.238500       0.908193       0.000866
       1.243500       0.908943       0.000894
       1.248500       0.907356       0.000996
       1.253500       0.909594       0.001020
       1.258500       0.908414       0.000801
       1.263500       0.908871       0.000980
       1.268500       0.905995       0.000803
       1.273500       0.907108       0.000879
       1.278500       0.904657       0.000783
       1.283500       0.904628       0.001228
       1.288500       0.903866       0.000948
       1.293500       0.903049       0.000866
       1.298500       0.900317       0.000826
       1.303500       0.899941       0.000752
       1.308500       0.893989       0.000827
       1.313500       0.892320       0.001009
       1.318500       0.884993       0.000926
       1.323500       0.881463       0.000733
       1.328500       0.873874       0.000759
       1.333500       0.867342       0.000962
       1.338500       0.861585       0.000796
       1.343500       0.857565       0.000996
       1.348500       0.848329       0.001243
       1.353500       0.843878       0.000963
       1.358500       0.844091       0.001219
       1.363500       0.835051       0.001298
       1.368500       0.824892       0.001030
       1.373500       0.795241       0.000961
       1.378500       0.774075       0.001438
       1.383500       0.701325       0.000950
       1.388500       0.674390       0.001398
       1.393500       0.718736       0.001021
       1.398500       0.701322       0.001076
       1.403500       0.665000       0.001130
       1.408500       0.635718       0.001096
       1.413500       0.625590       0.001466
       1.418500       0.627981       0.000946
       1.423500       0.635785       0.001080
       1.428500       0.641796       0.001099
       1.433500       0.644323       0.001097
       1.438500       0.646082       0.001104
       1.443500       0.644035       0.000997
       1.448500       0.649095       0.001049
       1.453500       0.659021       0.000971
       1.458500       0.664460       0.001196
       1.463500       0.668876       0.001017
       1.468500       0.673830       0.001039
       1.473500       0.681644       0.001054
       1.478500       0.692202       0.001245
       1.483500       0.704284       0.001006
       1.488500       0.713187       0.000865
       1.493500       0.724162       0.001126
       1.498500       0.730079       0.001310
       1.503500       0.738546       0.001293
       1.508500       0.742093       0.001227
       1.513500       0.748599       0.001488
       1.518500       0.754202       0.001205
       1.523500       0.758460       0.001212
       1.528500       0.758663       0.001732
       1.534000       0.765009       0.001031
       1.540000       0.768047       0.001120
       1.546000       0.773940       0.001109
       1.552000       0.775986       0.001070
       1.558000       0.784521       0.001489
       1.564000       0.785939       0.001226
       1.570500       0.790875       0.000863
       1.577500       0.790793       0.000786
       1.584500       0.796451       0.001082
       1.591500       0.796711       0.000737
       1.598500       0.800019       0.000771
       1.605500       0.803114       0.000945
       1.612500       0.805443       0.001033
       1.619500       0.804599       0.000912
       1.626500       0.806248       0.001066
       1.633500       0.809562       0.001026
       1.640500       0.811659       0.001059
       1.647500       0.812633       0.001088
       1.654500       0.813608       0.001120
       1.661500       0.812915       0.001082
       1.668500       0.811861       0.001758
       1.676000       0.814164       0.001213
       1.684000       0.814562       0.001462
       1.692000       0.810562       0.001388
       1.700000       0.810738       0.001556
       1.708000       0.804346       0.001368
       1.716000       0.799767       0.001471
       1.724000       0.791674       0.001644
       1.732000       0.786302       0.001931
       1.740000       0.781032       0.001978
       1.748000       0.779256       0.001887
       1.756000       0.774516       0.001239
       1.764000       0.768485       0.001869
       1.772000       0.767137       0.001503
       1.780000       0.757443       0.001577
       1.788000       0.761983       0.001406
       1.796000       0.755226       0.001021
       1.805000       0.757255       0.000875
       1.815000       0.758561       0.000969
       1.825000       0.755408       0.001009
       1.835000       0.750546       0.001390
       1.845000       0.743402       0.001382
       1.855000       0.722550       0.001428
       1.865000       0.691143       0.001023
       1.875000       0.625953       0.001138
       1.885000       0.526055       0.001148
       1.895000       0.403948       0.001239
       1.905000       0.329219       0.001124
       1.915000       0.321817       0.001246
       1.925000       0.348268       0.001579
       1.935000       0.407337       0.001068
       1.945000       0.440273       0.001782
       1.955000       0.451375       0.001449
       1.965000       0.465601       0.001890
       1.975000       0.471897       0.001423
       1.985000       0.482987       0.001824
       1.995000       0.507333       0.001880
       2.005000       0.537110       0.001892
       2.015000       0.561789       0.001539
       2.025000       0.579558       0.001897
       2.035000       0.597934       0.001872
       2.045000       0.605286       0.001806
       2.055000       0.614708       0.001861
       2.065000       0.618058       0.001671
       2.075000       0.624255       0.001865
       2.085000       0.627059       0.001893
       2.095000       0.628308       0.001880
       2.105000       0.637429       0.001837
       2.115000       0.638606       0.001903
       2.125000       0.648675       0.001907
       2.135000       0.642778       0.001879
       2.145000       0.641026       0.001854
       2.155000       0.634302       0.001142
       2.165000       0.633555       0.001902
       2.175000       0.630384       0.001875
       2.185000       0.619118       0.001913
       2.195000       0.617372       0.001884
       2.205000       0.616850       0.001920
       2.215000       0.613707       0.001920
       2.225000       0.607526       0.001913
       2.235000       0.604515       0.001940
       2.245000       0.602955       0.001931
       2.255000       0.596399       0.001930
       2.265000       0.582354       0.001932
       2.275000       0.565633       0.002085
       2.285000       0.524648       0.003057
       2.295000       0.499618       0.004000
       2.305000       0.464558       0.003345
       2.315000       0.448969       0.002431
       2.325000       0.486145       0.001879
       2.335000       0.503854       0.001818
       2.345000       0.497085       0.001776
