USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sepiolite SepNev-1.AcB       W1R1Ba AREF
copy of splib05a r 6151                                     
       0.205100      -1.23e34        0.275985
       0.213100      -1.23e34        0.039536
       0.221100       0.334734       0.009918
       0.229100       0.334686       0.003996
       0.236100       0.334277       0.002400
       0.242100       0.338305       0.001413
       0.248100       0.351570       0.001195
       0.253600       0.366408       0.001154
       0.258600       0.373370       0.001135
       0.263600       0.381506       0.001138
       0.268600       0.385715       0.001160
       0.273100       0.396743       0.001183
       0.277100       0.403395       0.001207
       0.281100       0.416302       0.001244
       0.285100       0.430712       0.001284
       0.289100       0.447113       0.001319
       0.293100       0.468428       0.001350
       0.297100       0.484658       0.001402
       0.301100       0.501580       0.001469
       0.305100       0.513772       0.001510
       0.309100       0.527448       0.001536
       0.313100       0.537954       0.001548
       0.317100       0.546656       0.001564
       0.321100       0.557654       0.001589
       0.325100       0.566683       0.001623
       0.329100       0.571939       0.001608
       0.333100       0.578130       0.001590
       0.337100       0.586176       0.001638
       0.341100       0.589564       0.001626
       0.345100       0.595108       0.001598
       0.349100       0.596316       0.001612
       0.353100       0.599621       0.001587
       0.357100       0.602228       0.001143
       0.360600       0.609120       0.001476
       0.363600       0.609018       0.001629
       0.366600       0.612471       0.001096
       0.369600       0.615431       0.001185
       0.372600       0.619574       0.001055
       0.375600       0.623227       0.001196
       0.378600       0.627211       0.001101
       0.381100       0.629412       0.001453
       0.383100       0.632242       0.001237
       0.385100       0.632734       0.001261
       0.387100       0.636014       0.000980
       0.389100       0.636455       0.001611
       0.391100       0.639908       0.001659
       0.393100       0.642145       0.001613
       0.395100       0.645257       0.000975
       0.397100       0.646341       0.001626
       0.399100       0.647550       0.001094
       0.401100       0.649177       0.001021
       0.403100       0.650485       0.001186
       0.405100       0.652366       0.001179
       0.407100       0.653620       0.000871
       0.409100       0.655519       0.000779
       0.411100       0.659988       0.000992
       0.412800       0.661086       0.001607
       0.415800       0.661880       0.001215
       0.418800       0.665369       0.001653
       0.421800       0.666745       0.000977
       0.424800       0.668747       0.001193
       0.427800       0.671121       0.001615
       0.430800       0.674584       0.001399
       0.433800       0.677647       0.001491
       0.436800       0.678448       0.000956
       0.439800       0.679785       0.001378
       0.442800       0.683751       0.000921
       0.445800       0.686825       0.000844
       0.448800       0.689474       0.001662
       0.451300       0.691971       0.001455
       0.453300       0.693646       0.001178
       0.455300       0.695015       0.001141
       0.457300       0.696945       0.001174
       0.459300       0.697270       0.001554
       0.461300       0.699082       0.001487
       0.463300       0.702627       0.001637
       0.465300       0.702752       0.001246
       0.467300       0.705111       0.001400
       0.469300       0.706688       0.001173
       0.471300       0.707641       0.001368
       0.473300       0.709091       0.000935
       0.475300       0.710142       0.001027
       0.477300       0.712233       0.000983
       0.479300       0.713000       0.001709
       0.481300       0.713293       0.000979
       0.483300       0.713331       0.001242
       0.485300       0.716952       0.000938
       0.487300       0.718897       0.000916
       0.489300       0.721053       0.000986
       0.491300       0.720795       0.000902
       0.493300       0.723657       0.001485
       0.495300       0.724993       0.000929
       0.497300       0.725349       0.001045
       0.499300       0.726912       0.000976
       0.501300       0.729448       0.001671
       0.503300       0.730341       0.001180
       0.505300       0.732541       0.001128
       0.507300       0.734347       0.001702
       0.509300       0.734963       0.001123
       0.511300       0.736122       0.000967
       0.513300       0.736818       0.001290
       0.515300       0.739019       0.001009
       0.517300       0.741026       0.001007
       0.519300       0.743482       0.000989
       0.521300       0.744534       0.001711
       0.523300       0.745081       0.001148
       0.525300       0.746354       0.001337
       0.527300       0.748514       0.001223
       0.529300       0.749199       0.001211
       0.531300       0.749389       0.001371
       0.533300       0.753397       0.001075
       0.535300       0.752338       0.001206
       0.537300       0.754905       0.001222
       0.539300       0.756571       0.001097
       0.541300       0.759560       0.000951
       0.543300       0.759581       0.001269
       0.545300       0.760486       0.001727
       0.547300       0.762673       0.001014
       0.549300       0.764303       0.001477
       0.551300       0.764522       0.001275
       0.553300       0.767046       0.000966
       0.555300       0.769168       0.001487
       0.557300       0.770632       0.001299
       0.559300       0.771481       0.001418
       0.561300       0.773578       0.001303
       0.563300       0.775224       0.001673
       0.565300       0.775835       0.001116
       0.567300       0.777484       0.001514
       0.569300       0.780189       0.001513
       0.571300       0.780810       0.001361
       0.573300       0.782916       0.000929
       0.575300       0.783353       0.001699
       0.577300       0.785572       0.001106
       0.579300       0.786907       0.001703
       0.581300       0.788844       0.001263
       0.583300       0.788250       0.001731
       0.585300       0.790749       0.001011
       0.587300       0.792429       0.001303
       0.589300       0.793120       0.001164
       0.591300       0.796132       0.001742
       0.593300       0.796244       0.001466
       0.595300       0.797969       0.001587
       0.597300       0.798192       0.001211
       0.599300       0.801436       0.001386
       0.601100       0.800799       0.001697
       0.602700       0.801490       0.001213
       0.604300       0.802578       0.001091
       0.605900       0.804147       0.001460
       0.607500       0.805122       0.001050
       0.609100       0.804947       0.001639
       0.610700       0.805630       0.001158
       0.612300       0.808247       0.001097
       0.613900       0.807792       0.001206
       0.615500       0.808380       0.001682
       0.617100       0.807988       0.001218
       0.618700       0.808979       0.001665
       0.620300       0.810400       0.001485
       0.621900       0.810775       0.001036
       0.623500       0.811604       0.001429
       0.625100       0.813223       0.001657
       0.626700       0.812148       0.001201
       0.628300       0.812758       0.001190
       0.629900       0.814000       0.001565
       0.631700       0.813599       0.000884
       0.633700       0.815244       0.000946
       0.635700       0.814966       0.001200
       0.637700       0.816030       0.001090
       0.639700       0.817423       0.001334
       0.641700       0.817670       0.001068
       0.643700       0.818027       0.000983
       0.645700       0.817820       0.001696
       0.647700       0.817610       0.001105
       0.649700       0.817769       0.001688
       0.651700       0.821082       0.001535
       0.653700       0.821053       0.001548
       0.655700       0.821851       0.001152
       0.657700       0.823911       0.001410
       0.659700       0.821870       0.001407
       0.661700       0.823565       0.001222
       0.663700       0.823973       0.001720
       0.665700       0.825575       0.001722
       0.667700       0.824702       0.001293
       0.670200       0.826608       0.001303
       0.673200       0.825777       0.000908
       0.676200       0.828573       0.001161
       0.679200       0.829148       0.001279
       0.682200       0.830601       0.001694
       0.685200       0.831443       0.001411
       0.688200       0.830857       0.001310
       0.691200       0.833069       0.001730
       0.694200       0.835735       0.001588
       0.697200       0.834520       0.001345
       0.700200       0.833613       0.001443
       0.702000       0.835078       0.001310
       0.704000       0.834363       0.000957
       0.706000       0.836003       0.001712
       0.708000       0.837529       0.001377
       0.710000       0.838671       0.001166
       0.712000       0.838328       0.001606
       0.714000       0.837727       0.001155
       0.716000       0.837931       0.001283
       0.718000       0.838069       0.001691
       0.720000       0.838747       0.001090
       0.722000       0.841092       0.001519
       0.724000       0.842375       0.001192
       0.726000       0.841063       0.001582
       0.728000       0.841057       0.001701
       0.730000       0.840470       0.001113
       0.732000       0.841024       0.001370
       0.734000       0.840697       0.001177
       0.736000       0.842211       0.001751
       0.738000       0.842453       0.001695
       0.740000       0.841941       0.001150
       0.742000       0.842455       0.001611
       0.744000       0.843938       0.001179
       0.746000       0.843255       0.000941
       0.748000       0.843985       0.001717
       0.750500       0.842740       0.001393
       0.753500       0.843088       0.001582
       0.756500       0.844889       0.001337
       0.759500       0.844223       0.001434
       0.762500       0.844875       0.001328
       0.765500       0.846280       0.001087
       0.768500       0.846748       0.000931
       0.771500       0.846025       0.001291
       0.774500       0.847560       0.001119
       0.777500       0.847926       0.001786
       0.781000       0.846006       0.001754
       0.785000       0.848168       0.001273
       0.789000       0.846703       0.001541
       0.793000       0.847684       0.001542
       0.797000       0.846060       0.001131
       0.801500       0.847048       0.001269
       0.806500       0.848022       0.001138
       0.811500       0.846454       0.000977
       0.816500       0.846509       0.001073
       0.822000       0.845236       0.000864
       0.828000       0.845139       0.001110
       0.835000       0.843491       0.001601
       0.843000       0.845949       0.001645
       0.851000       0.852515       0.001958
       0.859000       0.855211       0.001944
       0.871000       0.850155       0.001910
       0.883000       0.853148       0.001488
       0.894000       0.854973       0.001914
       0.904000       0.852476       0.001837
       0.914000       0.850705       0.001157
       0.924000       0.852774       0.001379
       0.933000       0.849693       0.001153
       0.941000       0.843406       0.001296
       0.949000       0.839220       0.001074
       0.957000       0.840391       0.001425
       0.964000       0.839537       0.001950
       0.970000       0.841065       0.001044
       0.976000       0.839070       0.001198
       0.982000       0.841222       0.001377
       0.988000       0.840643       0.001506
       0.994000       0.843084       0.001120
       1.000000       0.847562       0.001215
       1.006000       0.847100       0.001076
       1.012000       0.848185       0.001310
       1.018000       0.849273       0.001576
       1.023500       0.851950       0.001439
       1.028500       0.848235       0.001528
       1.033500       0.850809       0.001261
       1.038500       0.852894       0.001750
       1.043500       0.851502       0.001129
       1.048500       0.852586       0.001316
       1.053500       0.852138       0.001549
       1.058500       0.852220       0.001160
       1.063500       0.853126       0.001368
       1.068500       0.852298       0.001280
       1.073500       0.854773       0.000899
       1.078500       0.851293       0.001043
       1.083500       0.851232       0.001148
       1.088500       0.851801       0.001091
       1.093500       0.852220       0.001103
       1.098500       0.851353       0.001137
       1.103500       0.849785       0.001249
       1.108500       0.850474       0.001099
       1.113500       0.850922       0.001219
       1.118500       0.848734       0.001244
       1.123500       0.847232       0.000864
       1.128500       0.846506       0.001221
       1.133500       0.845001       0.001072
       1.138500       0.838483       0.001130
       1.143500       0.832141       0.001232
       1.148500       0.822459       0.001012
       1.153500       0.819217       0.001122
       1.158500       0.817616       0.001030
       1.163500       0.819037       0.001013
       1.168500       0.820538       0.001004
       1.173500       0.825054       0.001118
       1.178500       0.829466       0.001109
       1.183500       0.829069       0.001354
       1.188500       0.830098       0.001141
       1.193500       0.829796       0.001152
       1.198500       0.829840       0.000984
       1.203500       0.832104       0.001001
       1.208500       0.832261       0.001177
       1.213500       0.835223       0.001211
       1.218500       0.832509       0.001227
       1.223500       0.834982       0.001079
       1.228500       0.832816       0.001179
       1.233500       0.832162       0.001190
       1.238500       0.832828       0.000907
       1.243500       0.835654       0.001062
       1.248500       0.833149       0.000969
       1.253500       0.833171       0.001021
       1.258500       0.833431       0.001095
       1.263500       0.833249       0.001065
       1.268500       0.830783       0.001164
       1.273500       0.830456       0.001108
       1.278500       0.829863       0.001073
       1.283500       0.829354       0.000975
       1.288500       0.828287       0.001005
       1.293500       0.826749       0.000886
       1.298500       0.825402       0.001057
       1.303500       0.821969       0.000827
       1.308500       0.820484       0.001089
       1.313500       0.818455       0.001134
       1.318500       0.812154       0.000842
       1.323500       0.809284       0.000922
       1.328500       0.802013       0.000977
       1.333500       0.794717       0.000885
       1.338500       0.789253       0.001012
       1.343500       0.781527       0.000849
       1.348500       0.776768       0.000990
       1.353500       0.771797       0.001033
       1.358500       0.768030       0.001154
       1.363500       0.760610       0.001299
       1.368500       0.749460       0.001543
       1.373500       0.721380       0.000956
       1.378500       0.695167       0.001335
       1.383500       0.616061       0.001099
       1.388500       0.588312       0.001139
       1.393500       0.633886       0.001263
       1.398500       0.615845       0.001154
       1.403500       0.577895       0.001117
       1.408500       0.546870       0.001551
       1.413500       0.537009       0.001273
       1.418500       0.540749       0.001403
       1.423500       0.550281       0.001265
       1.428500       0.559176       0.001053
       1.433500       0.562998       0.001046
       1.438500       0.565738       0.001124
       1.443500       0.565231       0.001416
       1.448500       0.574641       0.001148
       1.453500       0.584913       0.001198
       1.458500       0.589496       0.000914
       1.463500       0.591587       0.001242
       1.468500       0.595565       0.001225
       1.473500       0.603066       0.001164
       1.478500       0.617046       0.001088
       1.483500       0.630892       0.001078
       1.488500       0.641146       0.001440
       1.493500       0.651559       0.001493
       1.498500       0.658414       0.001024
       1.503500       0.666934       0.001155
       1.508500       0.674046       0.001417
       1.513500       0.677561       0.001166
       1.518500       0.683678       0.001212
       1.523500       0.690216       0.001338
       1.528500       0.693482       0.000970
       1.534000       0.697655       0.001172
       1.540000       0.700902       0.001223
       1.546000       0.706418       0.001026
       1.552000       0.707889       0.001137
       1.558000       0.712290       0.001149
       1.564000       0.716703       0.000861
       1.570500       0.720039       0.000945
       1.577500       0.722161       0.001041
       1.584500       0.724931       0.000951
       1.591500       0.726705       0.001116
       1.598500       0.727600       0.001213
       1.605500       0.729601       0.000824
       1.612500       0.734643       0.000931
       1.619500       0.735527       0.000870
       1.626500       0.735810       0.001065
       1.633500       0.735433       0.000932
       1.640500       0.736924       0.001160
       1.647500       0.738992       0.001119
       1.654500       0.738835       0.001062
       1.661500       0.741924       0.001198
       1.668500       0.740307       0.001263
       1.676000       0.738845       0.001106
       1.684000       0.738516       0.001401
       1.692000       0.739600       0.001892
       1.700000       0.736117       0.001954
       1.708000       0.736366       0.001361
       1.716000       0.727313       0.001158
       1.724000       0.724784       0.001619
       1.732000       0.724904       0.001844
       1.740000       0.721265       0.001946
       1.748000       0.722072       0.001620
       1.756000       0.712835       0.001746
       1.764000       0.708386       0.001560
       1.772000       0.703382       0.001208
       1.780000       0.695505       0.001505
       1.788000       0.695515       0.001338
       1.796000       0.687765       0.001024
       1.805000       0.688013       0.001052
       1.815000       0.689285       0.001032
       1.825000       0.685905       0.001070
       1.835000       0.683714       0.001404
       1.845000       0.670242       0.001183
       1.855000       0.654685       0.001059
       1.865000       0.622565       0.001433
       1.875000       0.552072       0.001381
       1.885000       0.450107       0.001258
       1.895000       0.333185       0.001117
       1.905000       0.256149       0.001297
       1.915000       0.249182       0.001093
       1.925000       0.285689       0.001077
       1.935000       0.362117       0.001356
       1.945000       0.398976       0.001423
       1.955000       0.408166       0.001025
       1.965000       0.412445       0.001486
       1.975000       0.419926       0.001204
       1.985000       0.427360       0.001588
       1.995000       0.449719       0.001487
       2.005000       0.471914       0.001756
       2.015000       0.491112       0.001897
       2.025000       0.508735       0.001818
       2.035000       0.526688       0.001610
       2.045000       0.535303       0.001836
       2.055000       0.541086       0.001859
       2.065000       0.547864       0.001867
       2.075000       0.550670       0.001921
       2.085000       0.556537       0.001927
       2.095000       0.564305       0.001775
       2.105000       0.569290       0.001850
       2.115000       0.576022       0.001628
       2.125000       0.580868       0.001860
       2.135000       0.585221       0.001912
       2.145000       0.583116       0.001545
       2.155000       0.581368       0.001928
       2.165000       0.576271       0.001922
       2.175000       0.572089       0.001912
       2.185000       0.558708       0.001790
       2.195000       0.563221       0.001917
       2.205000       0.565945       0.001968
       2.215000       0.555110       0.001896
       2.225000       0.554302       0.001971
       2.235000       0.546713       0.001956
       2.245000       0.543523       0.001961
       2.255000       0.536982       0.001967
       2.265000       0.524000       0.001962
       2.275000       0.508043       0.001978
       2.285000       0.465683       0.002399
       2.295000       0.433474       0.003380
       2.305000       0.401300       0.002684
       2.315000       0.380637       0.001961
       2.325000       0.423985       0.001922
       2.335000       0.447255       0.001882
       2.345000       0.436670       0.001669
