USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sepiolite SepSp-1.AcB        W1R1Bb AREF
copy of splib05a r 6177                                     
       0.205100      -1.23e34        0.252811
       0.213100      -1.23e34        0.033798
       0.221100       0.161591       0.008204
       0.229100       0.170117       0.003315
       0.236100       0.161946       0.001836
       0.242100       0.158023       0.001241
       0.248100       0.155476       0.001182
       0.253600       0.156953       0.001144
       0.258600       0.159850       0.001126
       0.263600       0.164322       0.001128
       0.268600       0.171878       0.001148
       0.273100       0.178971       0.001176
       0.277100       0.189197       0.001203
       0.281100       0.194661       0.001228
       0.285100       0.204380       0.001268
       0.289100       0.210402       0.001300
       0.293100       0.218176       0.001340
       0.297100       0.228165       0.001396
       0.301100       0.234284       0.001435
       0.305100       0.244554       0.001477
       0.309100       0.251080       0.001506
       0.313100       0.256276       0.001535
       0.317100       0.263103       0.001560
       0.321100       0.267235       0.001574
       0.325100       0.273272       0.001573
       0.329100       0.275828       0.001517
       0.333100       0.281443       0.001594
       0.337100       0.285690       0.001602
       0.341100       0.290821       0.001595
       0.345100       0.295357       0.001597
       0.349100       0.299379       0.001127
       0.353100       0.300853       0.000970
       0.357100       0.304261       0.001007
       0.360600       0.307828       0.000914
       0.363600       0.309950       0.001276
       0.366600       0.312505       0.001389
       0.369600       0.314222       0.000889
       0.372600       0.318476       0.000874
       0.375600       0.322411       0.000787
       0.378600       0.324190       0.000949
       0.381100       0.326788       0.001307
       0.383100       0.328403       0.000978
       0.385100       0.331196       0.000843
       0.387100       0.332948       0.000841
       0.389100       0.335580       0.000833
       0.391100       0.335735       0.000833
       0.393100       0.338058       0.000867
       0.395100       0.339480       0.000845
       0.397100       0.340580       0.000744
       0.399100       0.342929       0.000793
       0.401100       0.343513       0.000949
       0.403100       0.344894       0.000793
       0.405100       0.345833       0.000713
       0.407100       0.346849       0.000669
       0.409100       0.347976       0.000724
       0.411100       0.350494       0.000913
       0.412800       0.351262       0.000824
       0.415800       0.352737       0.000859
       0.418800       0.354984       0.000810
       0.421800       0.356171       0.001078
       0.424800       0.357776       0.000834
       0.427800       0.360827       0.000817
       0.430800       0.362453       0.000755
       0.433800       0.364883       0.000938
       0.436800       0.368168       0.000844
       0.439800       0.370383       0.000792
       0.442800       0.372381       0.000743
       0.445800       0.374135       0.000943
       0.448800       0.376912       0.000909
       0.451300       0.378657       0.001046
       0.453300       0.380202       0.001105
       0.455300       0.382264       0.001050
       0.457300       0.385195       0.000985
       0.459300       0.386707       0.001014
       0.461300       0.388623       0.000974
       0.463300       0.389686       0.000995
       0.465300       0.391493       0.000940
       0.467300       0.393131       0.000824
       0.469300       0.394797       0.000944
       0.471300       0.397446       0.000805
       0.473300       0.398476       0.000967
       0.475300       0.400726       0.001131
       0.477300       0.401216       0.000881
       0.479300       0.403282       0.001228
       0.481300       0.404571       0.000916
       0.483300       0.407043       0.001183
       0.485300       0.408808       0.000895
       0.487300       0.411424       0.000896
       0.489300       0.414671       0.000854
       0.491300       0.414456       0.000769
       0.493300       0.417041       0.000782
       0.495300       0.418500       0.000846
       0.497300       0.419410       0.000877
       0.499300       0.422460       0.000890
       0.501300       0.424369       0.000907
       0.503300       0.427211       0.000947
       0.505300       0.429404       0.000840
       0.507300       0.430775       0.000909
       0.509300       0.432858       0.000959
       0.511300       0.433579       0.001123
       0.513300       0.436051       0.001125
       0.515300       0.438482       0.000872
       0.517300       0.440623       0.000876
       0.519300       0.442871       0.000877
       0.521300       0.445006       0.000945
       0.523300       0.446410       0.000893
       0.525300       0.448320       0.000902
       0.527300       0.451492       0.000940
       0.529300       0.453486       0.000848
       0.531300       0.454916       0.000856
       0.533300       0.458411       0.000891
       0.535300       0.459565       0.000943
       0.537300       0.461973       0.000972
       0.539300       0.463036       0.000963
       0.541300       0.465840       0.000837
       0.543300       0.468268       0.001225
       0.545300       0.471328       0.000871
       0.547300       0.472544       0.000842
       0.549300       0.474348       0.001100
       0.551300       0.476341       0.000845
       0.553300       0.477789       0.001043
       0.555300       0.479869       0.000751
       0.557300       0.482557       0.000896
       0.559300       0.484143       0.000889
       0.561300       0.486335       0.000946
       0.563300       0.487737       0.000914
       0.565300       0.490118       0.000896
       0.567300       0.491724       0.000893
       0.569300       0.494028       0.000920
       0.571300       0.496284       0.001017
       0.573300       0.498605       0.000823
       0.575300       0.500779       0.001052
       0.577300       0.502698       0.001405
       0.579300       0.505128       0.000939
       0.581300       0.508414       0.001085
       0.583300       0.509535       0.001348
       0.585300       0.511217       0.001186
       0.587300       0.514329       0.001012
       0.589300       0.516255       0.001113
       0.591300       0.518429       0.000972
       0.593300       0.522405       0.001030
       0.595300       0.524103       0.000925
       0.597300       0.526588       0.000812
       0.599300       0.528152       0.000992
       0.601100       0.529794       0.001131
       0.602700       0.530259       0.001118
       0.604300       0.532661       0.001066
       0.605900       0.536495       0.000994
       0.607500       0.538691       0.000828
       0.609100       0.539625       0.001199
       0.610700       0.540960       0.000854
       0.612300       0.542658       0.000902
       0.613900       0.544449       0.000939
       0.615500       0.545427       0.000855
       0.617100       0.547283       0.000963
       0.618700       0.550261       0.000869
       0.620300       0.551933       0.000933
       0.621900       0.553511       0.000800
       0.623500       0.555095       0.000925
       0.625100       0.556783       0.000929
       0.626700       0.559143       0.000956
       0.628300       0.560091       0.001068
       0.629900       0.561905       0.000912
       0.631700       0.562925       0.000799
       0.633700       0.565653       0.000940
       0.635700       0.566670       0.000923
       0.637700       0.568844       0.000944
       0.639700       0.571675       0.000894
       0.641700       0.576121       0.000941
       0.643700       0.577165       0.000916
       0.645700       0.579081       0.000944
       0.647700       0.579847       0.000952
       0.649700       0.581847       0.000980
       0.651700       0.582766       0.001287
       0.653700       0.586195       0.001051
       0.655700       0.588923       0.001115
       0.657700       0.590022       0.001200
       0.659700       0.592466       0.001209
       0.661700       0.595760       0.001102
       0.663700       0.597166       0.001308
       0.665700       0.598816       0.001156
       0.667700       0.600549       0.001074
       0.670200       0.601975       0.001158
       0.673200       0.605437       0.000837
       0.676200       0.608876       0.001268
       0.679200       0.611856       0.000934
       0.682200       0.614378       0.000890
       0.685200       0.618111       0.001034
       0.688200       0.618609       0.001131
       0.691200       0.623207       0.001063
       0.694200       0.624243       0.000968
       0.697200       0.627524       0.001221
       0.700200       0.630346       0.001247
       0.702000       0.632411       0.001199
       0.704000       0.634516       0.000812
       0.706000       0.635500       0.000932
       0.708000       0.636960       0.001132
       0.710000       0.639620       0.001127
       0.712000       0.641737       0.001155
       0.714000       0.643947       0.001143
       0.716000       0.644475       0.001231
       0.718000       0.646751       0.001652
       0.720000       0.648321       0.000977
       0.722000       0.649517       0.001628
       0.724000       0.651012       0.001201
       0.726000       0.652331       0.001681
       0.728000       0.652978       0.000839
       0.730000       0.655240       0.001016
       0.732000       0.656542       0.000908
       0.734000       0.660131       0.000832
       0.736000       0.660978       0.000942
       0.738000       0.662256       0.000936
       0.740000       0.662628       0.000890
       0.742000       0.665505       0.000995
       0.744000       0.667691       0.001099
       0.746000       0.668858       0.001224
       0.748000       0.670884       0.001404
       0.750500       0.672405       0.001175
       0.753500       0.675861       0.001224
       0.756500       0.676157       0.001086
       0.759500       0.677293       0.001390
       0.762500       0.680754       0.001124
       0.765500       0.684041       0.000989
       0.768500       0.685164       0.000880
       0.771500       0.687878       0.000964
       0.774500       0.690347       0.000910
       0.777500       0.693537       0.001147
       0.781000       0.695254       0.001178
       0.785000       0.697325       0.001402
       0.789000       0.698898       0.001714
       0.793000       0.700917       0.001345
       0.797000       0.705106       0.001261
       0.801500       0.706127       0.001278
       0.806500       0.710338       0.001357
       0.811500       0.712895       0.000963
       0.816500       0.713681       0.001119
       0.822000       0.716696       0.001233
       0.828000       0.721814       0.001020
       0.835000       0.726442       0.001051
       0.843000       0.732390       0.001401
       0.851000       0.734356       0.001931
       0.859000       0.737429       0.001881
       0.871000       0.741756       0.001894
       0.883000       0.743527       0.001686
       0.894000       0.749148       0.001822
       0.904000       0.752353       0.001832
       0.914000       0.752404       0.001530
       0.924000       0.756121       0.001326
       0.933000       0.758494       0.001057
       0.941000       0.756145       0.001217
       0.949000       0.756270       0.001244
       0.957000       0.759960       0.001121
       0.964000       0.761445       0.001612
       0.970000       0.761546       0.001533
       0.976000       0.764766       0.001195
       0.982000       0.767664       0.001315
       0.988000       0.767686       0.001456
       0.994000       0.769247       0.001204
       1.000000       0.773692       0.001124
       1.006000       0.776559       0.001085
       1.012000       0.775670       0.001035
       1.018000       0.777483       0.001514
       1.023500       0.782030       0.001400
       1.028500       0.782736       0.001390
       1.033500       0.784794       0.001367
       1.038500       0.789047       0.001240
       1.043500       0.784906       0.000994
       1.048500       0.787969       0.001376
       1.053500       0.792071       0.001169
       1.058500       0.789079       0.001016
       1.063500       0.790388       0.001027
       1.068500       0.792855       0.001214
       1.073500       0.792562       0.001093
       1.078500       0.792701       0.001151
       1.083500       0.795334       0.001248
       1.088500       0.797391       0.001141
       1.093500       0.795691       0.001185
       1.098500       0.795854       0.001181
       1.103500       0.796829       0.001308
       1.108500       0.798430       0.000910
       1.113500       0.796959       0.001445
       1.118500       0.799492       0.001161
       1.123500       0.796977       0.001338
       1.128500       0.798014       0.001096
       1.133500       0.797798       0.001014
       1.138500       0.793939       0.001067
       1.143500       0.788669       0.000950
       1.148500       0.783389       0.000906
       1.153500       0.780317       0.001329
       1.158500       0.777451       0.000961
       1.163500       0.780093       0.001182
       1.168500       0.782105       0.001098
       1.173500       0.784312       0.001092
       1.178500       0.788911       0.001381
       1.183500       0.793181       0.001272
       1.188500       0.792591       0.000942
       1.193500       0.793605       0.001170
       1.198500       0.795154       0.000992
       1.203500       0.795129       0.001000
       1.208500       0.798299       0.001200
       1.213500       0.799679       0.000975
       1.218500       0.799933       0.001042
       1.223500       0.801442       0.001047
       1.228500       0.801117       0.001187
       1.233500       0.802840       0.001161
       1.238500       0.802494       0.000913
       1.243500       0.803483       0.000918
       1.248500       0.805364       0.001343
       1.253500       0.803919       0.000991
       1.258500       0.804725       0.000947
       1.263500       0.804271       0.000934
       1.268500       0.804909       0.001113
       1.273500       0.804015       0.000882
       1.278500       0.803723       0.000802
       1.283500       0.805591       0.000995
       1.288500       0.802516       0.001063
       1.293500       0.802253       0.000969
       1.298500       0.801095       0.001127
       1.303500       0.800593       0.001097
       1.308500       0.797462       0.001116
       1.313500       0.794851       0.000907
       1.318500       0.792510       0.000969
       1.323500       0.787894       0.001016
       1.328500       0.782654       0.000957
       1.333500       0.776369       0.000944
       1.338500       0.770424       0.001167
       1.343500       0.765645       0.001012
       1.348500       0.761801       0.001268
       1.353500       0.757280       0.001127
       1.358500       0.750834       0.001341
       1.363500       0.746906       0.001173
       1.368500       0.738986       0.001088
       1.373500       0.722667       0.001171
       1.378500       0.695994       0.001063
       1.383500       0.602543       0.001144
       1.388500       0.582525       0.001128
       1.393500       0.629100       0.001079
       1.398500       0.611891       0.001506
       1.403500       0.576330       0.001157
       1.408500       0.541901       0.001312
       1.413500       0.526231       0.001035
       1.418500       0.528049       0.000981
       1.423500       0.537127       0.001235
       1.428500       0.545270       0.001488
       1.433500       0.551386       0.001137
       1.438500       0.553202       0.001499
       1.443500       0.557489       0.000908
       1.448500       0.565779       0.001466
       1.453500       0.574397       0.001110
       1.458500       0.577317       0.000892
       1.463500       0.580417       0.001282
       1.468500       0.583754       0.001420
       1.473500       0.591987       0.001694
       1.478500       0.605312       0.001281
       1.483500       0.617494       0.001202
       1.488500       0.629853       0.001330
       1.493500       0.638354       0.001258
       1.498500       0.646369       0.001463
       1.503500       0.652935       0.001507
       1.508500       0.655722       0.001170
       1.513500       0.663678       0.001458
       1.518500       0.668020       0.001592
       1.523500       0.669847       0.001556
       1.528500       0.675044       0.001391
       1.534000       0.677817       0.001248
       1.540000       0.683755       0.001104
       1.546000       0.685292       0.000950
       1.552000       0.690083       0.001204
       1.558000       0.694199       0.001022
       1.564000       0.699912       0.001029
       1.570500       0.699996       0.000949
       1.577500       0.702755       0.000868
       1.584500       0.704033       0.001049
       1.591500       0.706910       0.000941
       1.598500       0.708549       0.001112
       1.605500       0.708998       0.001098
       1.612500       0.711522       0.001093
       1.619500       0.710891       0.001022
       1.626500       0.713326       0.001037
       1.633500       0.714151       0.001191
       1.640500       0.713214       0.001037
       1.647500       0.715764       0.001173
       1.654500       0.713927       0.001114
       1.661500       0.713362       0.000916
       1.668500       0.709578       0.001193
       1.676000       0.708252       0.000996
       1.684000       0.705082       0.001687
       1.692000       0.710973       0.001594
       1.700000       0.710974       0.001943
       1.708000       0.703619       0.001766
       1.716000       0.696150       0.001208
       1.724000       0.691242       0.001709
       1.732000       0.692332       0.001777
       1.740000       0.690336       0.001963
       1.748000       0.688068       0.001708
       1.756000       0.680663       0.001623
       1.764000       0.679029       0.001095
       1.772000       0.670641       0.001336
       1.780000       0.667778       0.001308
       1.788000       0.662363       0.001563
       1.796000       0.661030       0.001208
       1.805000       0.658735       0.001066
       1.815000       0.660296       0.001194
       1.825000       0.656642       0.001181
       1.835000       0.650824       0.001169
       1.845000       0.644666       0.001407
       1.855000       0.626291       0.001503
       1.865000       0.594114       0.001236
       1.875000       0.529307       0.001208
       1.885000       0.435615       0.001696
       1.895000       0.327141       0.001273
       1.905000       0.252147       0.001383
       1.915000       0.237556       0.001399
       1.925000       0.270443       0.001475
       1.935000       0.336910       0.001433
       1.945000       0.373955       0.001526
       1.955000       0.387125       0.001225
       1.965000       0.390932       0.001680
       1.975000       0.393847       0.001590
       1.985000       0.405855       0.001735
       1.995000       0.423420       0.001873
       2.005000       0.440953       0.001426
       2.015000       0.459567       0.001878
       2.025000       0.478337       0.001718
       2.035000       0.490984       0.001870
       2.045000       0.502224       0.001774
       2.055000       0.504597       0.001525
       2.065000       0.510828       0.001925
       2.075000       0.514423       0.001643
       2.085000       0.521473       0.001890
       2.095000       0.523085       0.001731
       2.105000       0.533280       0.001916
       2.115000       0.539298       0.001719
       2.125000       0.538674       0.001814
       2.135000       0.542861       0.001789
       2.145000       0.541987       0.001686
       2.155000       0.540438       0.001562
       2.165000       0.543011       0.001497
       2.175000       0.541743       0.001536
       2.185000       0.535229       0.001929
       2.195000       0.530645       0.001880
       2.205000       0.524464       0.001951
       2.215000       0.514229       0.001940
       2.225000       0.513013       0.001923
       2.235000       0.505261       0.001955
       2.245000       0.500513       0.001960
       2.255000       0.485814       0.001947
       2.265000       0.478408       0.001959
       2.275000       0.462319       0.002042
       2.285000       0.433673       0.002617
       2.295000       0.405734       0.003560
       2.305000       0.375168       0.003134
       2.315000       0.355610       0.002150
       2.325000       0.389768       0.001918
       2.335000       0.410642       0.001911
       2.345000       0.400245       0.001861
