USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Siderite HS271.3B            W1R1Ba AREF
copy of splib05a r 6212                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.419542
       0.221100      -1.23e34        0.124542
       0.229100      -1.23e34        0.019040
       0.236100      -1.23e34        0.008017
       0.242100      -1.23e34        0.004184
       0.248100      -1.23e34        0.002588
       0.253600       0.029820       0.002361
       0.258600       0.030399       0.001837
       0.263600       0.029204       0.001409
       0.268600       0.030298       0.001329
       0.273100       0.024273       0.002583
       0.277100       0.023694       0.002263
       0.281100       0.024335       0.002072
       0.285100       0.022922       0.001834
       0.289100       0.026178       0.001515
       0.293100       0.024228       0.001407
       0.297100       0.026414       0.001306
       0.301100       0.024373       0.001523
       0.305100       0.026254       0.001390
       0.309100       0.027695       0.001324
       0.313100       0.029128       0.001308
       0.317100       0.027915       0.001329
       0.321100       0.030783       0.001334
       0.325100       0.030162       0.001345
       0.329100       0.030763       0.001346
       0.333100       0.030413       0.001347
       0.337100       0.031046       0.001348
       0.341100       0.032983       0.001356
       0.345100       0.031095       0.001349
       0.349100       0.032471       0.001359
       0.353100       0.034145       0.000618
       0.357100       0.034402       0.000817
       0.360600       0.034188       0.000717
       0.363600       0.034127       0.000651
       0.366600       0.034728       0.001085
       0.369600       0.034593       0.000904
       0.372600       0.034998       0.000741
       0.375600       0.035679       0.000952
       0.378600       0.034880       0.000911
       0.381100       0.035503       0.000554
       0.383100       0.035613       0.000663
       0.385100       0.036079       0.001015
       0.387100       0.036277       0.000880
       0.389100       0.036158       0.000827
       0.391100       0.035689       0.000996
       0.393100       0.035917       0.000865
       0.395100       0.035920       0.000929
       0.397100       0.035689       0.000834
       0.399100       0.036496       0.000772
       0.401100       0.037254       0.001003
       0.403100       0.036933       0.000841
       0.405100       0.038032       0.000768
       0.407100       0.038551       0.000696
       0.409100       0.038099       0.000659
       0.411100       0.039106       0.001180
       0.412800       0.039527       0.000835
       0.415800       0.039455       0.000799
       0.418800       0.040594       0.000673
       0.421800       0.040290       0.000760
       0.424800       0.040864       0.000752
       0.427800       0.041599       0.000655
       0.430800       0.042203       0.000765
       0.433800       0.042818       0.000671
       0.436800       0.043270       0.000692
       0.439800       0.043723       0.000558
       0.442800       0.044366       0.000898
       0.445800       0.044514       0.000676
       0.448800       0.045370       0.000692
       0.451300       0.045559       0.001097
       0.453300       0.047482       0.000957
       0.455300       0.046562       0.000881
       0.457300       0.047368       0.000969
       0.459300       0.047272       0.001059
       0.461300       0.047195       0.001261
       0.463300       0.048787       0.000705
       0.465300       0.048364       0.000866
       0.467300       0.049336       0.000787
       0.469300       0.049887       0.000870
       0.471300       0.050655       0.000736
       0.473300       0.050401       0.000915
       0.475300       0.050819       0.000779
       0.477300       0.051599       0.000759
       0.479300       0.051821       0.000776
       0.481300       0.051343       0.000946
       0.483300       0.052288       0.000755
       0.485300       0.051881       0.000926
       0.487300       0.052931       0.000877
       0.489300       0.052741       0.000836
       0.491300       0.055100       0.000814
       0.493300       0.054737       0.000758
       0.495300       0.055781       0.000878
       0.497300       0.056339       0.000822
       0.499300       0.057076       0.001264
       0.501300       0.056863       0.000748
       0.503300       0.058253       0.000776
       0.505300       0.058224       0.000711
       0.507300       0.058791       0.000782
       0.509300       0.058828       0.000819
       0.511300       0.060369       0.000828
       0.513300       0.060229       0.000826
       0.515300       0.061545       0.000799
       0.517300       0.061596       0.000688
       0.519300       0.063160       0.001345
       0.521300       0.062689       0.000816
       0.523300       0.064167       0.000839
       0.525300       0.064956       0.001130
       0.527300       0.065505       0.000851
       0.529300       0.066328       0.000838
       0.531300       0.067004       0.000872
       0.533300       0.068037       0.000848
       0.535300       0.069198       0.000981
       0.537300       0.070085       0.000815
       0.539300       0.070912       0.000753
       0.541300       0.071958       0.000921
       0.543300       0.072792       0.000892
       0.545300       0.074156       0.001122
       0.547300       0.075467       0.000828
       0.549300       0.076023       0.000976
       0.551300       0.077701       0.000643
       0.553300       0.078226       0.000809
       0.555300       0.079870       0.000692
       0.557300       0.080444       0.000746
       0.559300       0.082668       0.000703
       0.561300       0.083109       0.001004
       0.563300       0.084580       0.000729
       0.565300       0.086199       0.000736
       0.567300       0.087129       0.000854
       0.569300       0.088477       0.000766
       0.571300       0.089730       0.000847
       0.573300       0.091292       0.000948
       0.575300       0.091911       0.001244
       0.577300       0.093293       0.000922
       0.579300       0.094786       0.001392
       0.581300       0.096204       0.000963
       0.583300       0.097743       0.001116
       0.585300       0.099017       0.001010
       0.587300       0.100960       0.001337
       0.589300       0.100981       0.001084
       0.591300       0.103381       0.001308
       0.593300       0.102984       0.000985
       0.595300       0.104504       0.000721
       0.597300       0.105966       0.000744
       0.599300       0.106297       0.000885
       0.601100       0.108310       0.001036
       0.602700       0.108359       0.000928
       0.604300       0.108839       0.000889
       0.605900       0.109377       0.000899
       0.607500       0.110881       0.000843
       0.609100       0.112433       0.000705
       0.610700       0.112265       0.000720
       0.612300       0.113618       0.000785
       0.613900       0.113457       0.000791
       0.615500       0.114611       0.000798
       0.617100       0.116020       0.000886
       0.618700       0.116464       0.000774
       0.620300       0.117229       0.001146
       0.621900       0.117882       0.000909
       0.623500       0.118122       0.000960
       0.625100       0.120055       0.000869
       0.626700       0.120422       0.000950
       0.628300       0.121506       0.000825
       0.629900       0.121966       0.000667
       0.631700       0.122546       0.000677
       0.633700       0.124078       0.000684
       0.635700       0.124325       0.000780
       0.637700       0.125351       0.000871
       0.639700       0.126145       0.000791
       0.641700       0.128329       0.000932
       0.643700       0.128480       0.000854
       0.645700       0.129575       0.000835
       0.647700       0.130168       0.000989
       0.649700       0.131163       0.001267
       0.651700       0.132588       0.000906
       0.653700       0.132976       0.000954
       0.655700       0.134407       0.000663
       0.657700       0.134905       0.000840
       0.659700       0.136263       0.000539
       0.661700       0.137146       0.000637
       0.663700       0.138506       0.000687
       0.665700       0.138981       0.000645
       0.667700       0.140517       0.001068
       0.670200       0.141331       0.000719
       0.673200       0.143719       0.001086
       0.676200       0.144542       0.000926
       0.679200       0.146205       0.001193
       0.682200       0.147072       0.001094
       0.685200       0.148158       0.001369
       0.688200       0.151076       0.000901
       0.691200       0.151594       0.000962
       0.694200       0.154151       0.001021
       0.697200       0.155607       0.001118
       0.700200       0.155808       0.001210
       0.702000       0.156913       0.001286
       0.704000       0.158233       0.000918
       0.706000       0.159086       0.000807
       0.708000       0.159772       0.000991
       0.710000       0.160849       0.001263
       0.712000       0.161292       0.000914
       0.714000       0.162814       0.000645
       0.716000       0.163713       0.000687
       0.718000       0.164960       0.000763
       0.720000       0.165137       0.000753
       0.722000       0.166762       0.000664
       0.724000       0.167421       0.000658
       0.726000       0.168472       0.000858
       0.728000       0.169638       0.000700
       0.730000       0.170492       0.000806
       0.732000       0.171089       0.001084
       0.734000       0.171614       0.001046
       0.736000       0.172335       0.000799
       0.738000       0.172934       0.000882
       0.740000       0.173764       0.001191
       0.742000       0.175375       0.000683
       0.744000       0.175824       0.000900
       0.746000       0.177349       0.000860
       0.748000       0.176544       0.000709
       0.750500       0.177809       0.000774
       0.753500       0.178827       0.000835
       0.756500       0.180059       0.000744
       0.759500       0.180980       0.001004
       0.762500       0.181999       0.000738
       0.765500       0.182276       0.001051
       0.768500       0.183354       0.000878
       0.771500       0.183930       0.000958
       0.774500       0.184715       0.000797
       0.777500       0.184788       0.000880
       0.781000       0.184957       0.000784
       0.785000       0.184879       0.000850
       0.789000       0.185166       0.000929
       0.793000       0.185912       0.000812
       0.797000       0.184677       0.000831
       0.801500       0.184603       0.000605
       0.806500       0.184280       0.000841
       0.811500       0.182624       0.000770
       0.816500       0.181663       0.000915
       0.822000       0.177955       0.001273
       0.828000       0.176230       0.000808
       0.835000      -1.23e34        0.009444
       0.843000      -1.23e34        0.000000
       0.851000       0.166132       0.001622
       0.859000       0.157832       0.001602
       0.871000       0.153524       0.001615
       0.883000       0.142010       0.001609
       0.894000       0.139579       0.001599
       0.904000       0.133935       0.001609
       0.914000       0.126676       0.001572
       0.924000       0.120169       0.001097
       0.933000       0.118367       0.001015
       0.941000       0.112633       0.001085
       0.949000       0.110108       0.000879
       0.957000       0.106743       0.001355
       0.964000       0.105492       0.001434
       0.970000       0.103339       0.001580
       0.976000       0.103815       0.001548
       0.982000       0.102498       0.000967
       0.988000       0.101144       0.001199
       0.994000       0.097871       0.000986
       1.000000       0.098089       0.000749
       1.006000       0.096916       0.001091
       1.012000       0.096906       0.001179
       1.018000       0.096677       0.001423
       1.023500       0.096977       0.001471
       1.028500       0.094556       0.000993
       1.033500       0.096670       0.001368
       1.038500       0.095381       0.000995
       1.043500       0.095487       0.001140
       1.048500       0.097045       0.001266
       1.053500       0.096809       0.001035
       1.058500       0.097023       0.001013
       1.063500       0.095161       0.001349
       1.068500       0.096189       0.000853
       1.073500       0.095630       0.001244
       1.078500       0.096516       0.001183
       1.083500       0.096526       0.001114
       1.088500       0.096145       0.001549
       1.093500       0.097054       0.000810
       1.098500       0.096373       0.001000
       1.103500       0.097133       0.001291
       1.108500       0.097510       0.001224
       1.113500       0.098009       0.001032
       1.118500       0.097809       0.001233
       1.123500       0.098415       0.000952
       1.128500       0.099672       0.000794
       1.133500       0.100663       0.001124
       1.138500       0.099607       0.000618
       1.143500       0.098786       0.001008
       1.148500       0.100857       0.001003
       1.153500       0.100200       0.000896
       1.158500       0.100520       0.001002
       1.163500       0.100163       0.000824
       1.168500       0.100366       0.000862
       1.173500       0.099957       0.000897
       1.178500       0.099720       0.001166
       1.183500       0.099958       0.000995
       1.188500       0.100289       0.000973
       1.193500       0.101113       0.000849
       1.198500       0.100866       0.001085
       1.203500       0.101949       0.000840
       1.208500       0.101059       0.000786
       1.213500       0.100922       0.001093
       1.218500       0.100267       0.000750
       1.223500       0.101785       0.001131
       1.228500       0.101595       0.000867
       1.233500       0.101702       0.001094
       1.238500       0.102790       0.000848
       1.243500       0.101674       0.000748
       1.248500       0.101912       0.000985
       1.253500       0.102152       0.000806
       1.258500       0.102364       0.000832
       1.263500       0.103671       0.000824
       1.268500       0.104083       0.000990
       1.273500       0.104878       0.000776
       1.278500       0.105244       0.000893
       1.283500       0.105561       0.000822
       1.288500       0.106114       0.000922
       1.293500       0.106607       0.000701
       1.298500       0.107873       0.000693
       1.303500       0.109038       0.000866
       1.308500       0.110160       0.000728
       1.313500       0.111986       0.001131
       1.318500       0.113846       0.000855
       1.323500       0.114758       0.000802
       1.328500       0.114932       0.000876
       1.333500       0.118316       0.000746
       1.338500       0.119712       0.000828
       1.343500       0.121139       0.000910
       1.348500       0.121053       0.000765
       1.353500       0.123954       0.000882
       1.358500       0.126049       0.001115
       1.363500       0.129136       0.001154
       1.368500       0.130327       0.000929
       1.373500       0.132725       0.000945
       1.378500       0.136583       0.001364
       1.383500       0.141688       0.001064
       1.388500       0.140789       0.001026
       1.393500       0.144728       0.001589
       1.398500       0.148601       0.001259
       1.403500       0.152331       0.000981
       1.408500       0.155350       0.001261
       1.413500       0.159623       0.001125
       1.418500       0.161384       0.000851
       1.423500       0.167493       0.001527
       1.428500       0.173029       0.001030
       1.433500       0.175573       0.000931
       1.438500       0.180198       0.001197
       1.443500       0.184421       0.000845
       1.448500       0.191715       0.000669
       1.453500       0.195860       0.001032
       1.458500       0.201019       0.000904
       1.463500       0.206262       0.000884
       1.468500       0.213136       0.001239
       1.473500       0.217451       0.001320
       1.478500       0.224583       0.001030
       1.483500       0.229652       0.001184
       1.488500       0.236300       0.001090
       1.493500       0.240746       0.001422
       1.498500       0.249605       0.001348
       1.503500       0.252981       0.001245
       1.508500       0.260304       0.001547
       1.513500       0.267003       0.001618
       1.518500       0.276091       0.000869
       1.523500       0.281684       0.001455
       1.528500       0.289532       0.001494
       1.534000       0.294875       0.000946
       1.540000       0.303241       0.001292
       1.546000       0.310818       0.001055
       1.552000       0.320744       0.000887
       1.558000       0.328243       0.001152
       1.564000       0.336777       0.000937
       1.570500       0.344176       0.000917
       1.577500       0.352986       0.000633
       1.584500       0.362025       0.000854
       1.591500       0.371392       0.000914
       1.598500       0.378427       0.001060
       1.605500       0.385950       0.000829
       1.612500       0.394747       0.000879
       1.619500       0.401883       0.001033
       1.626500       0.408776       0.000761
       1.633500       0.415481       0.000822
       1.640500       0.422027       0.000671
       1.647500       0.428923       0.001136
       1.654500       0.435106       0.001334
       1.661500       0.442351       0.001173
       1.668500       0.445528       0.000752
       1.676000       0.448594       0.001142
       1.684000       0.455435       0.000946
       1.692000       0.463799       0.001652
       1.700000       0.466058       0.001342
       1.708000       0.469374       0.001662
       1.716000       0.475738       0.001300
       1.724000       0.479320       0.001517
       1.732000       0.478932       0.001669
       1.740000       0.488891       0.001445
       1.748000       0.491492       0.001609
       1.756000       0.492119       0.001220
       1.764000       0.495597       0.001215
       1.772000       0.498111       0.001158
       1.780000       0.499362       0.001287
       1.788000       0.504407       0.001149
       1.796000       0.505787       0.000801
       1.805000       0.506260       0.000964
       1.815000       0.506510       0.000670
       1.825000       0.507235       0.001534
       1.835000       0.513687       0.000999
       1.845000       0.511575       0.001620
       1.855000       0.514120       0.001250
       1.865000       0.513709       0.001133
       1.875000       0.511436       0.001197
       1.885000       0.506469       0.001067
       1.895000       0.500932       0.001196
       1.905000       0.493831       0.001203
       1.915000       0.487929       0.001058
       1.925000       0.481964       0.001301
       1.935000       0.485657       0.001163
       1.945000       0.484178       0.001240
       1.955000       0.485823       0.001486
       1.965000       0.486800       0.001499
       1.975000       0.491301       0.001618
       1.985000       0.500563       0.001438
       1.995000       0.497971       0.001384
       2.005000       0.503739       0.001580
       2.015000       0.510424       0.001402
       2.025000       0.515317       0.001580
       2.035000       0.521041       0.001619
       2.045000       0.523739       0.001594
       2.055000       0.527681       0.001271
       2.065000       0.534870       0.001613
       2.075000       0.532669       0.001630
       2.085000       0.535830       0.001645
       2.095000       0.536420       0.001614
       2.105000       0.535441       0.001625
       2.115000       0.538336       0.001648
       2.125000       0.539753       0.001635
       2.135000       0.541107       0.001633
       2.145000       0.539421       0.001623
       2.155000       0.532763       0.001633
       2.165000       0.535468       0.001581
       2.175000       0.533646       0.001625
       2.185000       0.532773       0.001649
       2.195000       0.532570       0.000968
       2.205000       0.528319       0.001664
       2.215000       0.520081       0.001669
       2.225000       0.518850       0.001658
       2.235000       0.504478       0.001667
       2.245000       0.499476       0.001666
       2.255000       0.487591       0.001664
       2.265000       0.476332       0.001669
       2.275000       0.465480       0.001972
       2.285000       0.458044       0.002595
       2.295000       0.439863       0.003096
       2.305000       0.427712       0.003033
       2.315000       0.423698       0.002022
       2.325000       0.418464       0.001652
       2.335000       0.411870       0.001641
