USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Smaragdite HS290.3B Amphibol W1R1Bb AREF
copy of splib05a r 6249                                     
       0.205100      -1.23e34        0.311681
       0.213100      -1.23e34        0.023469
       0.221100       0.056842       0.005478
       0.229100       0.055508       0.002482
       0.236100       0.060099       0.001555
       0.242100       0.060885       0.001143
       0.248100       0.061638       0.001089
       0.253600       0.062770       0.001062
       0.258600       0.063736       0.001046
       0.263600       0.065053       0.001047
       0.268600       0.067032       0.001065
       0.273100       0.065338       0.001088
       0.277100       0.070362       0.001114
       0.281100       0.073387       0.001139
       0.285100       0.076248       0.001181
       0.289100       0.079405       0.001206
       0.293100       0.081630       0.001257
       0.297100       0.085369       0.001307
       0.301100       0.088567       0.001369
       0.305100       0.093903       0.001406
       0.309100       0.098577       0.001381
       0.313100       0.099271       0.001467
       0.317100       0.103992       0.001466
       0.321100       0.107165       0.001493
       0.325100       0.109895       0.001505
       0.329100       0.114896       0.001507
       0.333100       0.118698       0.001505
       0.337100       0.121864       0.001520
       0.341100       0.120333       0.001520
       0.345100       0.127094       0.001527
       0.349100       0.126092       0.001531
       0.353100       0.128065       0.001503
       0.357100       0.130547       0.001225
       0.360600       0.136085       0.001529
       0.363600       0.136360       0.001102
       0.366600       0.140798       0.001517
       0.369600       0.141375       0.001541
       0.372600       0.140976       0.001386
       0.375600       0.141985       0.001529
       0.378600       0.141040       0.000821
       0.381100       0.141898       0.001506
       0.383100       0.142358       0.001222
       0.385100       0.142954       0.001539
       0.387100       0.143432       0.001218
       0.389100       0.143447       0.001523
       0.391100       0.146139       0.001502
       0.393100       0.146913       0.001098
       0.395100       0.145545       0.000712
       0.397100       0.145528       0.001530
       0.399100       0.146937       0.001546
       0.401100       0.149586       0.001009
       0.403100       0.145329       0.001135
       0.405100       0.147565       0.001223
       0.407100       0.147798       0.001521
       0.409100       0.148601       0.001349
       0.411100       0.149086       0.001146
       0.412800       0.150092       0.001437
       0.415800       0.150954       0.001520
       0.418800       0.153495       0.001017
       0.421800       0.156961       0.001514
       0.424800       0.159432       0.001552
       0.427800       0.161890       0.001161
       0.430800       0.162988       0.001117
       0.433800       0.165568       0.001591
       0.436800       0.169068       0.001239
       0.439800       0.167576       0.001393
       0.442800       0.166244       0.001369
       0.445800       0.166496       0.001581
       0.448800       0.168628       0.001426
       0.451300       0.170953       0.000887
       0.453300       0.172368       0.001290
       0.455300       0.174282       0.001557
       0.457300       0.173525       0.001588
       0.459300       0.173651       0.000855
       0.461300       0.177437       0.001593
       0.463300       0.175256       0.001537
       0.465300       0.180397       0.001578
       0.467300       0.180765       0.001600
       0.469300       0.185261       0.001568
       0.471300       0.185616       0.001586
       0.473300       0.187948       0.001590
       0.475300       0.188536       0.001320
       0.477300       0.190034       0.001595
       0.479300       0.192978       0.000744
       0.481300       0.194715       0.001584
       0.483300       0.194752       0.001604
       0.485300       0.196950       0.001590
       0.487300       0.198978       0.001591
       0.489300       0.198868       0.001238
       0.491300       0.198141       0.001600
       0.493300       0.195151       0.001562
       0.495300       0.196583       0.001606
       0.497300       0.198698       0.001628
       0.499300       0.200396       0.001622
       0.501300       0.201865       0.001629
       0.503300       0.201347       0.001109
       0.505300       0.203283       0.000825
       0.507300       0.202740       0.001261
       0.509300       0.207773       0.001457
       0.511300       0.208036       0.001483
       0.513300       0.209609       0.001300
       0.515300       0.208513       0.001620
       0.517300       0.209410       0.001588
       0.519300       0.210353       0.001105
       0.521300       0.208226       0.001634
       0.523300       0.209991       0.001366
       0.525300       0.210373       0.001551
       0.527300       0.208535       0.001115
       0.529300       0.208028       0.001535
       0.531300       0.210553       0.001199
       0.533300       0.209770       0.001641
       0.535300       0.209679       0.001217
       0.537300       0.209587       0.001511
       0.539300       0.210115       0.001145
       0.541300       0.208464       0.000999
       0.543300       0.211545       0.001034
       0.545300       0.210667       0.001204
       0.547300       0.210819       0.001413
       0.549300       0.209862       0.001542
       0.551300       0.209258       0.001622
       0.553300       0.209000       0.001571
       0.555300       0.210744       0.001604
       0.557300       0.206262       0.001531
       0.559300       0.205754       0.000963
       0.561300       0.208910       0.001619
       0.563300       0.206694       0.001605
       0.565300       0.207413       0.001043
       0.567300       0.205077       0.001596
       0.569300       0.205246       0.001602
       0.571300       0.206173       0.001614
       0.573300       0.204337       0.001601
       0.575300       0.201147       0.000920
       0.577300       0.205849       0.001556
       0.579300       0.200962       0.001609
       0.581300       0.201333       0.001614
       0.583300       0.201104       0.001593
       0.585300       0.196983       0.001568
       0.587300       0.197450       0.001591
       0.589300       0.200424       0.001591
       0.591300       0.198849       0.001630
       0.593300       0.196352       0.000963
       0.595300       0.197500       0.001586
       0.597300       0.195800       0.001577
       0.599300       0.193052       0.001596
       0.601100       0.194481       0.001488
       0.602700       0.194235       0.001606
       0.604300       0.196273       0.001590
       0.605900       0.191723       0.001086
       0.607500       0.191559       0.001455
       0.609100       0.193606       0.000752
       0.610700       0.191752       0.001120
       0.612300       0.189965       0.001624
       0.613900       0.191106       0.001558
       0.615500       0.192348       0.001352
       0.617100       0.190540       0.001357
       0.618700       0.190776       0.001593
       0.620300       0.190725       0.001588
       0.621900       0.188866       0.001605
       0.623500       0.189267       0.001616
       0.625100       0.189191       0.001168
       0.626700       0.185484       0.001075
       0.628300       0.189943       0.001628
       0.629900       0.187222       0.001629
       0.631700       0.187244       0.001458
       0.633700       0.187539       0.001486
       0.635700       0.185615       0.001604
       0.637700       0.185853       0.001442
       0.639700       0.185032       0.001572
       0.641700       0.185366       0.001564
       0.643700       0.184421       0.001604
       0.645700       0.183753       0.001582
       0.647700       0.184232       0.001079
       0.649700       0.184068       0.001533
       0.651700       0.185183       0.001297
       0.653700       0.184671       0.001132
       0.655700       0.184301       0.001098
       0.657700       0.185489       0.001123
       0.659700       0.184726       0.001137
       0.661700       0.186109       0.000805
       0.663700       0.184871       0.001427
       0.665700       0.185089       0.001093
       0.667700       0.187314       0.001594
       0.670200       0.184280       0.001308
       0.673200       0.187660       0.001500
       0.676200       0.184772       0.000992
       0.679200       0.186110       0.001518
       0.682200       0.186845       0.001638
       0.685200       0.186882       0.001308
       0.688200       0.185530       0.001079
       0.691200       0.187412       0.000824
       0.694200       0.186811       0.001101
       0.697200       0.188498       0.001423
       0.700200       0.191132       0.001649
       0.702000       0.188474       0.001348
       0.704000       0.191284       0.000937
       0.706000       0.189762       0.000783
       0.708000       0.191517       0.000915
       0.710000       0.192172       0.001405
       0.712000       0.193378       0.000779
       0.714000       0.193871       0.000802
       0.716000       0.194210       0.001269
       0.718000       0.194266       0.001019
       0.720000       0.194006       0.000827
       0.722000       0.194417       0.000709
       0.724000       0.195362       0.000824
       0.726000       0.197204       0.000954
       0.728000       0.196490       0.001489
       0.730000       0.198021       0.001636
       0.732000       0.199217       0.001060
       0.734000       0.201342       0.001582
       0.736000       0.202497       0.001613
       0.738000       0.200504       0.001591
       0.740000       0.202691       0.001190
       0.742000       0.203245       0.001030
       0.744000       0.205302       0.001653
       0.746000       0.205957       0.001623
       0.748000       0.205836       0.001232
       0.750500       0.206718       0.000756
       0.753500       0.208795       0.001301
       0.756500       0.209399       0.001145
       0.759500       0.210389       0.000910
       0.762500       0.211212       0.001307
       0.765500       0.214316       0.001474
       0.768500       0.213851       0.001396
       0.771500       0.214623       0.000824
       0.774500       0.214121       0.001148
       0.777500       0.219215       0.001409
       0.781000       0.219762       0.001006
       0.785000       0.221303       0.001096
       0.789000       0.221161       0.000740
       0.793000       0.222095       0.001056
       0.797000       0.223362       0.001320
       0.801500       0.224042       0.001581
       0.806500       0.222990       0.001255
       0.811500       0.224114       0.001357
       0.816500       0.224248       0.001334
       0.822000       0.221106       0.001016
       0.828000       0.222277       0.001675
       0.835000       0.218974       0.001713
       0.843000      -1.23e34        0.000000
       0.851000       0.216804       0.001878
       0.859000       0.215827       0.001784
       0.871000       0.211015       0.001501
       0.883000       0.213278       0.001796
       0.894000       0.211344       0.001662
       0.904000       0.213180       0.001758
       0.914000       0.211913       0.001763
       0.924000       0.215104       0.001766
       0.933000       0.213699       0.001776
       0.941000       0.212076       0.001378
       0.949000       0.212222       0.001324
       0.957000       0.213755       0.001508
       0.964000       0.213792       0.001725
       0.970000       0.213456       0.001783
       0.976000       0.210927       0.001418
       0.982000       0.210880       0.001628
       0.988000       0.209749       0.001419
       0.994000       0.209881       0.001214
       1.000000       0.210800       0.001477
       1.006000       0.211589       0.001759
       1.012000       0.211183       0.001152
       1.018000       0.210080       0.001718
       1.023500       0.214763       0.001735
       1.028500       0.215417       0.001792
       1.033500       0.216797       0.001248
       1.038500       0.219055       0.001402
       1.043500       0.220922       0.001327
       1.048500       0.222902       0.001294
       1.053500       0.227115       0.001485
       1.058500       0.234055       0.001448
       1.063500       0.232961       0.001485
       1.068500       0.238393       0.001716
       1.073500       0.241881       0.001602
       1.078500       0.244730       0.001270
       1.083500       0.246855       0.001566
       1.088500       0.249928       0.001767
       1.093500       0.254353       0.001152
       1.098500       0.259894       0.001396
       1.103500       0.264376       0.001210
       1.108500       0.267101       0.001200
       1.113500       0.270995       0.001552
       1.118500       0.271333       0.001250
       1.123500       0.274402       0.000918
       1.128500       0.276479       0.001300
       1.133500       0.283424       0.001757
       1.138500       0.285795       0.000818
       1.143500       0.286376       0.001065
       1.148500       0.290314       0.001038
       1.153500       0.294724       0.001354
       1.158500       0.298434       0.001499
       1.163500       0.299999       0.001220
       1.168500       0.302771       0.000823
       1.173500       0.310108       0.001517
       1.178500       0.311953       0.001381
       1.183500       0.315196       0.001636
       1.188500       0.317704       0.001473
       1.193500       0.323864       0.001365
       1.198500       0.327208       0.001349
       1.203500       0.331574       0.001613
       1.208500       0.334462       0.000910
       1.213500       0.338204       0.000951
       1.218500       0.344026       0.001023
       1.223500       0.350920       0.001396
       1.228500       0.357004       0.001216
       1.233500       0.357879       0.001329
       1.238500       0.363844       0.001595
       1.243500       0.371077       0.000912
       1.248500       0.376328       0.001264
       1.253500       0.378783       0.000712
       1.258500       0.383701       0.001560
       1.263500       0.391271       0.001458
       1.268500       0.394747       0.000967
       1.273500       0.400535       0.000791
       1.278500       0.403830       0.001086
       1.283500       0.410001       0.001025
       1.288500       0.416333       0.001528
       1.293500       0.420868       0.001520
       1.298500       0.426347       0.000789
       1.303500       0.434050       0.001113
       1.308500       0.441018       0.001310
       1.313500       0.447357       0.001143
       1.318500       0.439215       0.000984
       1.323500       0.449650       0.001162
       1.328500       0.456287       0.001042
       1.333500       0.467300       0.001701
       1.338500       0.470718       0.001001
       1.343500       0.478785       0.001357
       1.348500       0.485707       0.001844
       1.353500       0.489505       0.001231
       1.358500       0.491911       0.001588
       1.363500       0.496725       0.001541
       1.368500       0.503087       0.001902
       1.373500       0.489950       0.001591
       1.378500       0.496324       0.001105
       1.383500       0.472874       0.001104
       1.388500       0.455068       0.001012
       1.393500       0.402450       0.001720
       1.398500       0.407556       0.001538
       1.403500       0.425518       0.001767
       1.408500       0.446961       0.001864
       1.413500       0.473359       0.001367
       1.418500       0.510714       0.001593
       1.423500       0.540277       0.001173
       1.428500       0.554961       0.001396
       1.433500       0.563569       0.001560
       1.438500       0.568874       0.001832
       1.443500       0.567669       0.001271
       1.448500       0.574132       0.001864
       1.453500       0.578149       0.001155
       1.458500       0.592669       0.001873
       1.463500       0.592325       0.001616
       1.468500       0.599321       0.001796
       1.473500       0.602337       0.001382
       1.478500       0.604487       0.001324
       1.483500       0.607402       0.001944
       1.488500       0.618820       0.001869
       1.493500       0.620023       0.001287
       1.498500       0.624480       0.001703
       1.503500       0.624808       0.001500
       1.508500       0.624145       0.001614
       1.513500       0.628015       0.001885
       1.518500       0.632847       0.001878
       1.523500       0.642003       0.001889
       1.528500       0.638938       0.001035
       1.534000       0.644045       0.001733
       1.540000       0.648373       0.001548
       1.546000       0.656724       0.001229
       1.552000       0.654410       0.001246
       1.558000       0.663269       0.001684
       1.564000       0.666775       0.001298
       1.570500       0.667391       0.001051
       1.577500       0.671759       0.001396
       1.584500       0.673116       0.001529
       1.591500       0.680302       0.001359
       1.598500       0.680402       0.000931
       1.605500       0.687249       0.001525
       1.612500       0.690584       0.001143
       1.619500       0.692590       0.001128
       1.626500       0.695923       0.000890
       1.633500       0.698757       0.001159
       1.640500       0.697147       0.001290
       1.647500       0.702706       0.001488
       1.654500       0.709054       0.001887
       1.661500       0.709048       0.001917
       1.668500       0.710465       0.001305
       1.676000       0.713969       0.001901
       1.684000       0.713935       0.001938
       1.692000       0.715167       0.002038
       1.700000       0.718341       0.002047
       1.708000       0.721490       0.002040
       1.716000       0.724341       0.002005
       1.724000       0.721954       0.001980
       1.732000       0.722525       0.002038
       1.740000       0.724129       0.001659
       1.748000       0.727962       0.002077
       1.756000       0.720257       0.001996
       1.764000       0.724427       0.001966
       1.772000       0.724420       0.002079
       1.780000       0.725060       0.002037
       1.788000       0.719687       0.001926
       1.796000       0.724230       0.001362
       1.805000       0.723544       0.001309
       1.815000       0.723905       0.001081
       1.825000       0.719096       0.001189
       1.835000       0.720020       0.001235
       1.845000       0.709299       0.001808
       1.855000       0.708427       0.001151
       1.865000       0.705899       0.001468
       1.875000       0.702123       0.001473
       1.885000       0.691625       0.001673
       1.895000       0.689797       0.001196
       1.905000       0.670882       0.001674
       1.915000       0.639145       0.001887
       1.925000       0.631977       0.001696
       1.935000       0.635150       0.001674
       1.945000       0.634200       0.001981
       1.955000       0.636690       0.001277
       1.965000       0.636375       0.001914
       1.975000       0.633221       0.001941
       1.985000       0.632383       0.001955
       1.995000       0.628637       0.001495
       2.005000       0.627562       0.001353
       2.015000       0.628516       0.001045
       2.025000       0.625343       0.001848
       2.035000       0.624998       0.001720
       2.045000       0.625184       0.001390
       2.055000       0.614769       0.001766
       2.065000       0.615859       0.001943
       2.075000       0.602628       0.001973
       2.085000       0.605621       0.001885
       2.095000       0.590167       0.001917
       2.105000       0.579499       0.001975
       2.115000       0.571006       0.001953
       2.125000       0.563489       0.001939
       2.135000       0.561929       0.001883
       2.145000       0.565517       0.001913
       2.155000       0.566424       0.001862
       2.165000       0.560367       0.001866
       2.175000       0.556737       0.001731
       2.185000       0.548186       0.001898
       2.195000       0.544595       0.001616
       2.205000       0.546325       0.001960
       2.215000       0.541819       0.001985
       2.225000       0.539944       0.001993
       2.235000       0.510830       0.001957
       2.245000       0.454361       0.001941
       2.255000       0.434495       0.001936
       2.265000       0.456063       0.001965
       2.275000       0.439460       0.002074
       2.285000       0.417438       0.002218
       2.295000       0.326061       0.004033
       2.305000       0.307718       0.003143
       2.315000       0.297797       0.002153
       2.325000       0.312574       0.001876
       2.335000       0.343981       0.001839
       2.345000       0.355303       0.001856
