USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Staurolite HS188.3B          W1R1Bb AREF
copy of splib05a r 6402                                     
       0.205100      -1.23e34        0.054573
       0.213100      -1.23e34        0.009554
       0.221100       0.040217       0.002768
       0.229100       0.042057       0.001300
       0.236100       0.041979       0.001193
       0.242100       0.042218       0.001141
       0.248100       0.042892       0.001068
       0.253600       0.043226       0.001037
       0.258600       0.042297       0.001035
       0.263600       0.043228       0.001052
       0.268600       0.043772       0.001063
       0.273100       0.043346       0.001080
       0.277100       0.042280       0.001115
       0.281100       0.044787       0.001148
       0.285100       0.044492       0.001172
       0.289100       0.045583       0.001203
       0.293100       0.046758       0.001263
       0.297100       0.047547       0.001314
       0.301100       0.048729       0.001362
       0.305100       0.051674       0.001399
       0.309100       0.050384       0.001432
       0.313100       0.052209       0.001465
       0.317100       0.053807       0.001453
       0.321100       0.054103       0.001442
       0.325100       0.053105       0.000896
       0.329100       0.057697       0.001424
       0.333100       0.057622       0.001486
       0.337100       0.056327       0.000990
       0.341100       0.058060       0.001491
       0.345100       0.059558       0.001484
       0.349100       0.058989       0.001413
       0.353100       0.059258       0.001000
       0.357100       0.059694       0.001013
       0.360600       0.060188       0.000667
       0.363600       0.060826       0.001485
       0.366600       0.062950       0.001430
       0.369600       0.062287       0.001513
       0.372600       0.062275       0.001465
       0.375600       0.062696       0.001493
       0.378600       0.063445       0.001488
       0.381100       0.063359       0.001443
       0.383100       0.065045       0.001511
       0.385100       0.064852       0.000934
       0.387100       0.065536       0.001516
       0.389100       0.064942       0.000820
       0.391100       0.067151       0.001487
       0.393100       0.065018       0.001502
       0.395100       0.066416       0.001506
       0.397100       0.065681       0.001406
       0.399100       0.066757       0.001529
       0.401100       0.066651       0.001477
       0.403100       0.066377       0.001339
       0.405100       0.067728       0.001080
       0.407100       0.068415       0.001468
       0.409100       0.069077       0.001274
       0.411100       0.070019       0.001487
       0.412800       0.068340       0.000902
       0.415800       0.070726       0.001550
       0.418800       0.072331       0.001491
       0.421800       0.071289       0.001522
       0.424800       0.071956       0.001550
       0.427800       0.073487       0.001520
       0.430800       0.072939       0.001397
       0.433800       0.074955       0.001499
       0.436800       0.073554       0.001496
       0.439800       0.076546       0.001559
       0.442800       0.077665       0.001323
       0.445800       0.078853       0.001527
       0.448800       0.079314       0.001495
       0.451300       0.081736       0.001498
       0.453300       0.079848       0.001511
       0.455300       0.081055       0.001526
       0.457300       0.080891       0.001472
       0.459300       0.081439       0.001543
       0.461300       0.083432       0.001537
       0.463300       0.080994       0.001429
       0.465300       0.082193       0.000807
       0.467300       0.082557       0.001538
       0.469300       0.083149       0.001559
       0.471300       0.084187       0.001557
       0.473300       0.083094       0.001523
       0.475300       0.087867       0.001538
       0.477300       0.086780       0.001557
       0.479300       0.087304       0.001552
       0.481300       0.089846       0.001529
       0.483300       0.090958       0.001392
       0.485300       0.086573       0.001467
       0.487300       0.092182       0.001553
       0.489300       0.090774       0.001145
       0.491300       0.091344       0.001544
       0.493300       0.092282       0.001551
       0.495300       0.093189       0.001529
       0.497300       0.096064       0.000815
       0.499300       0.094616       0.001145
       0.501300       0.096336       0.001521
       0.503300       0.097299       0.001568
       0.505300       0.095134       0.001523
       0.507300       0.099218       0.001526
       0.509300       0.099040       0.001457
       0.511300       0.099145       0.001563
       0.513300       0.100180       0.001515
       0.515300       0.104511       0.001548
       0.517300       0.104466       0.001537
       0.519300       0.103359       0.000854
       0.521300       0.106980       0.001397
       0.523300       0.104580       0.001574
       0.525300       0.106273       0.001389
       0.527300       0.108464       0.001559
       0.529300       0.109567       0.001549
       0.531300       0.111390       0.001569
       0.533300       0.109858       0.000950
       0.535300       0.112369       0.001588
       0.537300       0.113165       0.001575
       0.539300       0.115065       0.001278
       0.541300       0.116503       0.001265
       0.543300       0.114883       0.001523
       0.545300       0.117660       0.001576
       0.547300       0.118156       0.001255
       0.549300       0.117732       0.001578
       0.551300       0.120437       0.001046
       0.553300       0.122928       0.001566
       0.555300       0.123996       0.001528
       0.557300       0.126369       0.001198
       0.559300       0.125390       0.001566
       0.561300       0.128408       0.000676
       0.563300       0.131721       0.001348
       0.565300       0.132642       0.001535
       0.567300       0.134353       0.001017
       0.569300       0.132897       0.001491
       0.571300       0.138597       0.001429
       0.573300       0.134686       0.001573
       0.575300       0.138513       0.000567
       0.577300       0.140065       0.000816
       0.579300       0.141285       0.001082
       0.581300       0.142127       0.001231
       0.583300       0.143511       0.000590
       0.585300       0.144766       0.001548
       0.587300       0.147682       0.001439
       0.589300       0.146962       0.001537
       0.591300       0.148625       0.001566
       0.593300       0.151715       0.001579
       0.595300       0.153278       0.001538
       0.597300       0.155665       0.001555
       0.599300       0.156150       0.001565
       0.601100       0.156644       0.001552
       0.602700       0.157300       0.001534
       0.604300       0.155377       0.000759
       0.605900       0.160305       0.001586
       0.607500       0.159612       0.001550
       0.609100       0.162363       0.001563
       0.610700       0.161352       0.001515
       0.612300       0.160593       0.001338
       0.613900       0.164449       0.001580
       0.615500       0.163021       0.001522
       0.617100       0.163992       0.001565
       0.618700       0.163369       0.001541
       0.620300       0.166594       0.001565
       0.621900       0.165150       0.001294
       0.623500       0.166172       0.001511
       0.625100       0.167847       0.001566
       0.626700       0.168055       0.001569
       0.628300       0.169346       0.000855
       0.629900       0.170455       0.001583
       0.631700       0.168771       0.001524
       0.633700       0.170665       0.001478
       0.635700       0.172181       0.001526
       0.637700       0.170819       0.001084
       0.639700       0.173557       0.001149
       0.641700       0.174288       0.001544
       0.643700       0.172718       0.001532
       0.645700       0.174638       0.001522
       0.647700       0.174413       0.000813
       0.649700       0.176368       0.001136
       0.651700       0.176520       0.001122
       0.653700       0.177912       0.001049
       0.655700       0.178395       0.000838
       0.657700       0.177590       0.001480
       0.659700       0.177658       0.000706
       0.661700       0.179561       0.001502
       0.663700       0.181187       0.001192
       0.665700       0.180480       0.001317
       0.667700       0.181684       0.001570
       0.670200       0.180949       0.001325
       0.673200       0.184446       0.001576
       0.676200       0.184282       0.000984
       0.679200       0.185603       0.001589
       0.682200       0.187361       0.001588
       0.685200       0.186004       0.000924
       0.688200       0.188380       0.001253
       0.691200       0.187867       0.001341
       0.694200       0.189280       0.000876
       0.697200       0.189833       0.001592
       0.700200       0.189977       0.000901
       0.702000       0.190638       0.001566
       0.704000       0.191744       0.001550
       0.706000       0.192203       0.000910
       0.708000       0.192765       0.000700
       0.710000       0.193124       0.000822
       0.712000       0.192992       0.001032
       0.714000       0.192907       0.000865
       0.716000       0.195062       0.001419
       0.718000       0.194921       0.001378
       0.720000       0.195551       0.001223
       0.722000       0.196947       0.001415
       0.724000       0.195835       0.001592
       0.726000       0.196823       0.001384
       0.728000       0.197252       0.001355
       0.730000       0.196278       0.001208
       0.732000       0.197932       0.000739
       0.734000       0.199093       0.001366
       0.736000       0.199370       0.001342
       0.738000       0.199315       0.001604
       0.740000       0.201219       0.001569
       0.742000       0.200900       0.001626
       0.744000       0.200680       0.001576
       0.746000       0.200565       0.001577
       0.748000       0.202211       0.001591
       0.750500       0.200672       0.000828
       0.753500       0.201757       0.000857
       0.756500       0.203390       0.001581
       0.759500       0.202473       0.001417
       0.762500       0.203603       0.001458
       0.765500       0.203572       0.001386
       0.768500       0.203291       0.001335
       0.771500       0.203644       0.001036
       0.774500       0.202990       0.000893
       0.777500       0.206846       0.001029
       0.781000       0.205128       0.001240
       0.785000       0.206045       0.001368
       0.789000       0.208583       0.001439
       0.793000       0.204725       0.001247
       0.797000       0.206715       0.001471
       0.801500       0.207650       0.000749
       0.806500       0.207432       0.001149
       0.811500       0.209649       0.001063
       0.816500       0.207400       0.001475
       0.822000       0.209042       0.000721
       0.828000       0.211109       0.001324
       0.835000       0.209773       0.001115
       0.843000       0.210202       0.001682
       0.851000       0.208199       0.001766
       0.859000       0.211892       0.001749
       0.871000       0.210517       0.001744
       0.883000       0.209294       0.001748
       0.894000       0.210461       0.001744
       0.904000       0.206379       0.001124
       0.914000       0.208108       0.001595
       0.924000       0.207302       0.001324
       0.933000       0.210285       0.001244
       0.941000       0.206211       0.001305
       0.949000       0.205357       0.001239
       0.957000       0.207478       0.001342
       0.964000       0.205054       0.001626
       0.970000       0.206047       0.001595
       0.976000       0.206377       0.001764
       0.982000       0.205879       0.001761
       0.988000       0.206000       0.001606
       0.994000       0.205307       0.001460
       1.000000       0.204712       0.000986
       1.006000       0.206465       0.000948
       1.012000       0.202771       0.001166
       1.018000       0.205207       0.000646
       1.023500       0.203076       0.001701
       1.028500       0.202493       0.001458
       1.033500       0.200580       0.001269
       1.038500       0.201435       0.001176
       1.043500       0.203603       0.001669
       1.048500       0.199888       0.001708
       1.053500       0.201737       0.001461
       1.058500       0.199124       0.001715
       1.063500       0.197659       0.001771
       1.068500       0.197487       0.001691
       1.073500       0.197849       0.000977
       1.078500       0.194865       0.001487
       1.083500       0.192860       0.000920
       1.088500       0.195819       0.001082
       1.093500       0.191652       0.001438
       1.098500       0.192517       0.001428
       1.103500       0.189814       0.001001
       1.108500       0.187348       0.000842
       1.113500       0.187521       0.001045
       1.118500       0.188568       0.001369
       1.123500       0.185272       0.001177
       1.128500       0.185553       0.001119
       1.133500       0.183790       0.001662
       1.138500       0.179372       0.001557
       1.143500       0.180087       0.000827
       1.148500       0.176429       0.001468
       1.153500       0.177602       0.000805
       1.158500       0.175458       0.001222
       1.163500       0.174683       0.001020
       1.168500       0.170672       0.001767
       1.173500       0.168621       0.001380
       1.178500       0.171603       0.001242
       1.183500       0.164416       0.001154
       1.188500       0.165846       0.001702
       1.193500       0.163256       0.001406
       1.198500       0.160141       0.000759
       1.203500       0.159599       0.001149
       1.208500       0.157135       0.001391
       1.213500       0.154741       0.001059
       1.218500       0.153333       0.001360
       1.223500       0.152595       0.000827
       1.228500       0.149307       0.000715
       1.233500       0.147978       0.001224
       1.238500       0.144098       0.001618
       1.243500       0.143788       0.001491
       1.248500       0.141387       0.000811
       1.253500       0.140267       0.001279
       1.258500       0.137889       0.000942
       1.263500       0.137438       0.001222
       1.268500       0.134994       0.001629
       1.273500       0.133738       0.001159
       1.278500       0.132939       0.001230
       1.283500       0.131000       0.001041
       1.288500       0.127327       0.000972
       1.293500       0.124334       0.001131
       1.298500       0.124166       0.001675
       1.303500       0.122847       0.001697
       1.308500       0.120787       0.001059
       1.313500       0.119298       0.001580
       1.318500       0.117058       0.001320
       1.323500       0.116525       0.000784
       1.328500       0.115686       0.001163
       1.333500       0.112632       0.001221
       1.338500       0.111037       0.001640
       1.343500       0.110868       0.001275
       1.348500       0.108418       0.001767
       1.353500       0.110015       0.001776
       1.358500       0.108257       0.001781
       1.363500       0.104324       0.001274
       1.368500       0.103759       0.001795
       1.373500       0.105263       0.001470
       1.378500       0.104476       0.001794
       1.383500       0.099605       0.001742
       1.388500       0.097792       0.001746
       1.393500       0.098463       0.001272
       1.398500       0.096927       0.001757
       1.403500       0.095904       0.001721
       1.408500       0.096097       0.001444
       1.413500       0.094859       0.000747
       1.418500       0.093074       0.001778
       1.423500       0.092658       0.001764
       1.428500       0.092495       0.001743
       1.433500       0.093541       0.001757
       1.438500       0.089925       0.001205
       1.443500       0.091689       0.001548
       1.448500       0.088692       0.001787
       1.453500       0.087577       0.001175
       1.458500       0.088730       0.001367
       1.463500       0.089668       0.001768
       1.468500       0.086303       0.001746
       1.473500       0.087620       0.001452
       1.478500       0.086547       0.001793
       1.483500       0.087191       0.001660
       1.488500       0.086855       0.001345
       1.493500       0.085151       0.001590
       1.498500       0.084292       0.001807
       1.503500       0.080828       0.001503
       1.508500       0.080231       0.001593
       1.513500       0.084349       0.001235
       1.518500       0.080085       0.001797
       1.523500       0.079282       0.001179
       1.528500       0.080153       0.001184
       1.534000       0.083642       0.001723
       1.540000       0.077149       0.000987
       1.546000       0.080117       0.001312
       1.552000       0.076387       0.001726
       1.558000       0.078937       0.001341
       1.564000       0.079799       0.001339
       1.570500       0.076951       0.001149
       1.577500       0.077291       0.000958
       1.584500       0.076971       0.000982
       1.591500       0.077888       0.000957
       1.598500       0.075745       0.001065
       1.605500       0.075372       0.001683
       1.612500       0.074189       0.001643
       1.619500       0.075556       0.001276
       1.626500       0.072597       0.001153
       1.633500       0.074559       0.001784
       1.640500       0.072063       0.001619
       1.647500       0.072504       0.001624
       1.654500       0.074131       0.001806
       1.661500       0.073843       0.001753
       1.668500       0.075111       0.001606
       1.676000       0.069685       0.000976
       1.684000       0.072951       0.001235
       1.692000       0.071713       0.001782
       1.700000       0.073453       0.001759
       1.708000       0.071898       0.001248
       1.716000       0.072718       0.001610
       1.724000       0.070402       0.001425
       1.732000       0.070173       0.001794
       1.740000       0.069377       0.001776
       1.748000       0.072432       0.001751
       1.756000       0.072910       0.001352
       1.764000       0.072859       0.001730
       1.772000       0.069694       0.001499
       1.780000       0.071418       0.001829
       1.788000       0.071804       0.001698
       1.796000       0.070724       0.001797
       1.805000       0.070337       0.000975
       1.815000       0.070768       0.001147
       1.825000       0.069344       0.001562
       1.835000       0.071281       0.001422
       1.845000       0.071513       0.001576
       1.855000       0.072666       0.001334
       1.865000       0.070523       0.001786
       1.875000       0.069694       0.001808
       1.885000       0.070727       0.001684
       1.895000       0.070292       0.001799
       1.905000       0.067214       0.001435
       1.915000       0.067347       0.001558
       1.925000       0.068159       0.001588
       1.935000       0.067670       0.001697
       1.945000       0.068540       0.001563
       1.955000       0.069218       0.001232
       1.965000       0.068973       0.001745
       1.975000       0.068631       0.001208
       1.985000       0.069243       0.001821
       1.995000       0.068076       0.001681
       2.005000       0.065823       0.001429
       2.015000       0.068257       0.001766
       2.025000       0.070147       0.001812
       2.035000       0.067390       0.001791
       2.045000       0.071083       0.001783
       2.055000       0.072767       0.001816
       2.065000       0.070432       0.001728
       2.075000       0.065678       0.001791
       2.085000       0.070333       0.001727
       2.095000       0.065899       0.001766
       2.105000       0.071064       0.001788
       2.115000       0.070281       0.001788
       2.125000       0.069973       0.001787
       2.135000       0.070553       0.001749
       2.145000       0.066973       0.001449
       2.155000       0.066468       0.001761
       2.165000       0.067708       0.001773
       2.175000       0.066719       0.001680
       2.185000       0.065931       0.001408
       2.195000       0.066739       0.001793
       2.205000       0.067877       0.001818
       2.215000       0.068998       0.001822
       2.225000       0.068238       0.001843
       2.235000       0.072504       0.001826
       2.245000       0.069947       0.001825
       2.255000       0.068367       0.001842
       2.265000       0.068417       0.001850
       2.275000       0.068850       0.001868
       2.285000       0.064875       0.002743
       2.295000       0.065890       0.003470
       2.305000       0.068793       0.003284
       2.315000       0.067670       0.001953
       2.325000       0.066694       0.001814
       2.335000       0.067961       0.001793
       2.345000       0.067433       0.001719
