USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Topaz Jos_#22                W1R1Bb AREF
copy of splib05a r 6749                                     
       0.205100      -0.306925       0.129842
       0.213100      -0.395746       0.121499
       0.221100       0.107487       0.063560
       0.229100       0.142376       0.035026
       0.236100       0.272216       0.022535
       0.242100       0.351203       0.011274
       0.248100       0.384545       0.008644
       0.253600       0.392608       0.006167
       0.258600       0.451710       0.005681
       0.263600       0.490305       0.004165
       0.268600       0.534038       0.004362
       0.273100       0.572405       0.004957
       0.277100       0.617014       0.004127
       0.281100       0.657554       0.003898
       0.285100       0.694627       0.003581
       0.289100       0.721912       0.003187
       0.293100       0.749269       0.002886
       0.297100       0.767468       0.002587
       0.301100       0.778572       0.002615
       0.305100       0.778138       0.003257
       0.309100       0.795706       0.002960
       0.313100       0.803658       0.002558
       0.317100       0.810328       0.002534
       0.321100       0.821312       0.002408
       0.325100       0.834559       0.002448
       0.329100       0.842511       0.002099
       0.333100       0.847748       0.002056
       0.337100       0.851280       0.002159
       0.341100       0.856502       0.002075
       0.345100       0.870432       0.002303
       0.349100       0.869711       0.002672
       0.353100       0.872693       0.001277
       0.357100       0.876421       0.001238
       0.360600       0.880353       0.000878
       0.363600       0.884585       0.000813
       0.366600       0.883576       0.000837
       0.369600       0.888466       0.000823
       0.372600       0.890324       0.000640
       0.375600       0.893620       0.000619
       0.378600       0.890042       0.001006
       0.381100       0.893385       0.000853
       0.383100       0.894059       0.000839
       0.385100       0.893575       0.000907
       0.387100       0.893621       0.000721
       0.389100       0.893955       0.000970
       0.391100       0.895300       0.000762
       0.393100       0.895955       0.000732
       0.395100       0.897478       0.000611
       0.397100       0.896943       0.001118
       0.399100       0.896265       0.001184
       0.401100       0.894269       0.001324
       0.403100       0.895920       0.001344
       0.405100       0.897389       0.000858
       0.407100       0.896016       0.000657
       0.409100       0.896785       0.000701
       0.411100       0.900310       0.001392
       0.412800       0.899826       0.001060
       0.415800       0.903169       0.000864
       0.418800       0.901719       0.001080
       0.421800       0.903080       0.000929
       0.424800       0.907154       0.000874
       0.427800       0.906955       0.000884
       0.430800       0.912317       0.000834
       0.433800       0.911494       0.000740
       0.436800       0.914151       0.000858
       0.439800       0.916109       0.000773
       0.442800       0.915333       0.000853
       0.445800       0.920670       0.001022
       0.448800       0.921910       0.000816
       0.451300       0.921953       0.001068
       0.453300       0.923208       0.000815
       0.455300       0.922519       0.000905
       0.457300       0.926037       0.001089
       0.459300       0.926688       0.000838
       0.461300       0.925883       0.000704
       0.463300       0.929361       0.000879
       0.465300       0.929330       0.000717
       0.467300       0.931359       0.000690
       0.469300       0.928598       0.000902
       0.471300       0.929275       0.000739
       0.473300       0.930687       0.000981
       0.475300       0.933432       0.000841
       0.477300       0.932644       0.000915
       0.479300       0.932717       0.001091
       0.481300       0.934822       0.000620
       0.483300       0.935535       0.000829
       0.485300       0.934836       0.000651
       0.487300       0.934832       0.000787
       0.489300       0.934939       0.000661
       0.491300       0.936996       0.000742
       0.493300       0.934217       0.000962
       0.495300       0.937047       0.000620
       0.497300       0.936264       0.000835
       0.499300       0.936255       0.000844
       0.501300       0.937633       0.000735
       0.503300       0.937670       0.000852
       0.505300       0.937649       0.001232
       0.507300       0.935543       0.000948
       0.509300       0.936918       0.000707
       0.511300       0.937600       0.000759
       0.513300       0.936811       0.000860
       0.515300       0.937487       0.000875
       0.517300       0.936059       0.001116
       0.519300       0.934586       0.001113
       0.521300       0.933926       0.000839
       0.523300       0.935940       0.000626
       0.525300       0.935248       0.000919
       0.527300       0.935891       0.000711
       0.529300       0.935815       0.000728
       0.531300       0.934381       0.000913
       0.533300       0.935804       0.000809
       0.535300       0.934298       0.000920
       0.537300       0.935668       0.000918
       0.539300       0.933453       0.000725
       0.541300       0.931339       0.000775
       0.543300       0.934861       0.000878
       0.545300       0.934774       0.000696
       0.547300       0.931971       0.001153
       0.549300       0.936183       0.001143
       0.551300       0.934103       0.001060
       0.553300       0.935521       0.001036
       0.555300       0.934159       0.000901
       0.557300       0.932724       0.000783
       0.559300       0.933477       0.000814
       0.561300       0.934918       0.001146
       0.563300       0.933472       0.001078
       0.565300       0.934180       0.000820
       0.567300       0.934849       0.000990
       0.569300       0.938371       0.000595
       0.571300       0.936929       0.000644
       0.573300       0.937651       0.000745
       0.575300       0.938363       0.000756
       0.577300       0.936827       0.001028
       0.579300       0.936055       0.000860
       0.581300       0.937442       0.000732
       0.583300       0.936606       0.001007
       0.585300       0.941700       0.000770
       0.587300       0.940929       0.000976
       0.589300       0.940215       0.001087
       0.591300       0.943830       0.000863
       0.593300       0.945216       0.000764
       0.595300       0.946754       0.001229
       0.597300       0.946762       0.000859
       0.599300       0.947480       0.000615
       0.601100       0.948194       0.000815
       0.602700       0.948959       0.000965
       0.604300       0.949005       0.001081
       0.605900       0.949790       0.000894
       0.607500       0.951930       0.000923
       0.609100       0.951211       0.001083
       0.610700       0.950552       0.000997
       0.612300       0.953418       0.000961
       0.613900       0.953415       0.000523
       0.615500       0.954850       0.000678
       0.617100       0.955565       0.001035
       0.618700       0.954906       0.000725
       0.620300       0.955658       0.000740
       0.621900       0.954180       0.000804
       0.623500       0.955657       0.000742
       0.625100       0.955669       0.000719
       0.626700       0.954947       0.000722
       0.628300       0.954219       0.000861
       0.629900       0.957037       0.001062
       0.631700       0.954932       0.001312
       0.633700       0.955650       0.001171
       0.635700       0.954220       0.000928
       0.637700       0.958472       0.001159
       0.639700       0.957712       0.001020
       0.641700       0.957713       0.000623
       0.643700       0.955603       0.000962
       0.645700       0.956272       0.000758
       0.647700       0.957651       0.000706
       0.649700       0.957660       0.001218
       0.651700       0.956942       0.000854
       0.653700       0.956941       0.001277
       0.655700       0.959049       0.001244
       0.657700       0.959002       0.000926
       0.659700       0.958290       0.000939
       0.661700       0.959042       0.001346
       0.663700       0.956848       0.001050
       0.665700       0.958244       0.001374
       0.667700       0.959683       0.000587
       0.670200       0.960346       0.001392
       0.673200       0.958116       0.001107
       0.676200       0.961687       0.000850
       0.679200       0.960995       0.000923
       0.682200       0.960880       0.001008
       0.685200       0.960904       0.000798
       0.688200       0.962267       0.000641
       0.691200       0.963586       0.000663
       0.694200       0.961378       0.000936
       0.697200       0.962017       0.001309
       0.700200       0.961213       0.000776
       0.702000       0.959851       0.000831
       0.704000       0.959846       0.000698
       0.706000       0.958982       0.001171
       0.708000       0.960438       0.000649
       0.710000       0.961081       0.001088
       0.712000       0.959583       0.001247
       0.714000       0.959545       0.001088
       0.716000       0.961602       0.001000
       0.718000       0.958678       0.000750
       0.720000       0.960093       0.001196
       0.722000       0.959323       0.000947
       0.724000       0.959231       0.001056
       0.726000       0.961391       0.000907
       0.728000       0.964206       0.000911
       0.730000       0.962728       0.001256
       0.732000       0.961948       0.001264
       0.734000       0.964117       0.001012
       0.736000       0.964038       0.000881
       0.738000       0.959566       0.001095
       0.740000       0.963956       0.001378
       0.742000       0.958692       0.001196
       0.744000       0.962349       0.001245
       0.746000       0.960038       0.001287
       0.748000       0.963010       0.001462
       0.750500       0.962224       0.000827
       0.753500       0.961436       0.000768
       0.756500       0.959863       0.000908
       0.759500       0.959819       0.000952
       0.762500       0.961970       0.001143
       0.765500       0.958887       0.000782
       0.768500       0.962579       0.001063
       0.771500       0.962496       0.001156
       0.774500       0.963202       0.001486
       0.777500       0.962285       0.001498
       0.781000       0.958487       0.000874
       0.785000       0.959894       0.000623
       0.789000       0.959052       0.000748
       0.793000       0.958963       0.000973
       0.797000       0.959581       0.001483
       0.801500       0.957929       0.001103
       0.806500       0.956316       0.001165
       0.811500       0.959166       0.001212
       0.816500       0.956701       0.001154
       0.822000       0.954164       0.000945
       0.828000       0.953095       0.001344
       0.835000       0.952483       0.001162
       0.843000       0.953691       0.001075
       0.851000       0.949588       0.002343
       0.859000       0.946846       0.003595
       0.871000       0.941226       0.002628
       0.883000       0.941163       0.002469
       0.894000       0.939555       0.002584
       0.904000       0.945661       0.001988
       0.914000       0.944856       0.001658
       0.924000       0.944020       0.001620
       0.933000       0.947810       0.001638
       0.941000       0.951710       0.001622
       0.949000       0.943804       0.001627
       0.957000       0.942930       0.001630
       0.964000       0.946126       0.001796
       0.970000       0.948423       0.001626
       0.976000       0.949993       0.001631
       0.982000       0.949914       0.001634
       0.988000       0.949895       0.001629
       0.994000       0.953832       0.001633
       1.000000       0.949027       0.001633
       1.006000       0.951401       0.001638
       1.012000       0.952165       0.001636
       1.018000       0.952143       0.001632
       1.023500       0.953701       0.001637
       1.028500       0.956843       0.001639
       1.033500       0.955226       0.001641
       1.038500       0.956004       0.001644
       1.043500       0.956003       0.001638
       1.048500       0.956776       0.001642
       1.053500       0.960696       0.001643
       1.058500       0.958323       0.001641
       1.063500       0.954346       0.001644
       1.068500       0.959111       0.001639
       1.073500       0.955121       0.001643
       1.078500       0.955880       0.001643
       1.083500       0.959801       0.001646
       1.088500       0.960583       0.001650
       1.093500       0.962984       0.001649
       1.098500       0.955834       0.001649
       1.103500       0.959806       0.001653
       1.108500       0.958261       0.001646
       1.113500       0.960644       0.001650
       1.118500       0.962225       0.001654
       1.123500       0.960641       0.001649
       1.128500       0.958231       0.001657
       1.133500       0.963046       0.001655
       1.138500       0.963011       0.001651
       1.143500       0.960560       0.001655
       1.148500       0.958920       0.001653
       1.153500       0.959659       0.001649
       1.158500       0.964330       0.001656
       1.163500       0.964220       0.001647
       1.168500       0.956928       0.001651
       1.173500       0.961573       0.001651
       1.178500       0.962254       0.001656
       1.183500       0.957379       0.001657
       1.188500       0.958042       0.001657
       1.193500       0.958714       0.001661
       1.198500       0.961011       0.001662
       1.203500       0.964971       0.001662
       1.208500       0.956163       0.001660
       1.213500       0.960913       0.001662
       1.218500       0.961736       0.001657
       1.223500       0.964165       0.001660
       1.228500       0.957773       0.001653
       1.233500       0.960197       0.001658
       1.238500       0.963374       0.001662
       1.243500       0.960189       0.001657
       1.248500       0.960946       0.001646
       1.253500       0.964922       0.001658
       1.258500       0.966469       0.001659
       1.263500       0.964757       0.001663
       1.268500       0.966293       0.001653
       1.273500       0.964579       0.001659
       1.278500       0.969287       0.001667
       1.283500       0.963572       0.001649
       1.288500       0.966615       0.001665
       1.293500       0.963268       0.001658
       1.298500       0.963172       0.001660
       1.303500       0.960642       0.001650
       1.308500       0.963684       0.001657
       1.313500       0.960365       0.001665
       1.318500       0.965064       0.001661
       1.323500       0.958548       0.001664
       1.328500       0.963240       0.001669
       1.333500       0.962335       0.001663
       1.338500       0.956592       0.001659
       1.343500       0.947731       0.001664
       1.348500       0.949228       0.001665
       1.353500       0.949977       0.001661
       1.358500       0.954759       0.001667
       1.363500       0.950702       0.001731
       1.368500       0.952280       0.001667
       1.373500       0.946613       0.001666
       1.378500       0.953846       0.001667
       1.383500       0.953052       0.001801
       1.388500       0.957071       0.001670
       1.393500       0.944254       0.001667
       1.398500       0.916953       0.001665
       1.403500       0.801130       0.001836
       1.408500       0.850211       0.001663
       1.413500       0.926750       0.001666
       1.418500       0.951851       0.001672
       1.423500       0.951150       0.001672
       1.428500       0.958503       0.001676
       1.433500       0.956208       0.001674
       1.438500       0.958747       0.001675
       1.443500       0.962030       0.001676
       1.448500       0.959684       0.001677
       1.453500       0.962169       0.001669
       1.458500       0.963791       0.001677
       1.463500       0.967046       0.001675
       1.468500       0.962201       0.001672
       1.473500       0.963827       0.001673
       1.478500       0.962182       0.001678
       1.483500       0.965386       0.001678
       1.488500       0.962950       0.001674
       1.493500       0.965325       0.001679
       1.498500       0.966118       0.001679
       1.503500       0.967836       0.001673
       1.508500       0.965362       0.001684
       1.513500       0.967780       0.001755
       1.518500       0.967780       0.001744
       1.523500       0.961325       0.001796
       1.528500       0.962143       0.001671
       1.534000       0.966138       0.001669
       1.540000       0.966127       0.001673
       1.546000       0.968585       0.001670
       1.552000       0.966989       0.001674
       1.558000       0.966984       0.001679
       1.564000       0.965408       0.001671
       1.570500       0.967020       0.001675
       1.577500       0.962170       0.001658
       1.584500       0.967818       0.001662
       1.591500       0.965366       0.001677
       1.598500       0.964525       0.001666
       1.605500       0.962773       0.001680
       1.612500       0.965105       0.001675
       1.619500       0.969033       0.001678
       1.626500       0.964876       0.001668
       1.633500       0.967114       0.001675
       1.640500       0.962907       0.001674
       1.647500       0.961932       0.001677
       1.654500       0.962562       0.001680
       1.661500       0.970486       0.001672
       1.668500       0.965470       0.001676
       1.676000       0.959670       0.001676
       1.684000       0.940877       0.001681
       1.692000       0.953725       0.002209
       1.700000       0.951974       0.002081
       1.708000       0.954372       0.001986
       1.716000       0.963166       0.001678
       1.724000       0.957456       0.001678
       1.732000       0.953442       0.002095
       1.740000       0.954252       0.002462
       1.748000       0.960815       0.002530
       1.756000       0.958515       0.002152
       1.764000       0.956178       0.001816
       1.772000       0.962806       0.001681
       1.780000       0.961235       0.001825
       1.788000       0.962779       0.001795
       1.796000       0.960128       0.001686
       1.805000       0.964538       0.001685
       1.815000       0.962985       0.001677
       1.825000       0.962116       0.001681
       1.835000       0.958766       0.001681
       1.845000       0.956374       0.001682
       1.855000       0.954159       0.001679
       1.865000       0.957882       0.001676
       1.875000       0.956055       0.001676
       1.885000       0.953552       0.001670
       1.895000       0.953459       0.001673
       1.905000       0.948446       0.001679
       1.915000       0.945006       0.001681
       1.925000       0.943900       0.001680
       1.935000       0.944470       0.001683
       1.945000       0.943522       0.001679
       1.955000       0.945101       0.001681
       1.965000       0.942637       0.001691
       1.975000       0.945719       0.001741
       1.985000       0.947534       0.001749
       1.995000       0.947954       0.001678
       2.005000       0.943529       0.001824
       2.015000       0.943065       0.001925
       2.025000       0.944794       0.001986
       2.035000       0.941702       0.002034
       2.045000       0.934718       0.002027
       2.055000       0.926730       0.002076
       2.065000       0.884183       0.002308
       2.075000       0.741420       0.002296
       2.085000       0.546184       0.002574
       2.095000       0.768034       0.002525
       2.105000       0.867761       0.002627
       2.115000       0.899653       0.002695
       2.125000       0.906852       0.002811
       2.135000       0.878660       0.002918
       2.145000       0.849908       0.002185
       2.155000       0.839198       0.001830
       2.165000       0.862928       0.001881
       2.175000       0.871311       0.002076
       2.185000       0.883834       0.002471
       2.195000       0.890592       0.002934
       2.205000       0.870489       0.003275
       2.215000       0.874752       0.003951
       2.225000       0.910238       0.004105
       2.235000       0.914377       0.004541
       2.245000       0.919623       0.005729
       2.255000       0.895790       0.006273
       2.265000       0.853481       0.008162
       2.275000       0.895792       0.009780
       2.285000       0.907137       0.013127
       2.295000       0.910422       0.017814
       2.305000       0.899047       0.019310
       2.315000       0.863126       0.012630
       2.325000       0.843715       0.006134
       2.335000       0.837204       0.003106
       2.345000       0.844820       0.002402
