USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Ulexite HS441.3B             W1R1Ba AREF
copy of splib05a r 6932                                     
       0.205100      -1.23e34        0.012415
       0.213100       0.554174       0.002329
       0.221100       0.586015       0.001073
       0.229100       0.599928       0.000968
       0.236100       0.608487       0.000884
       0.242100       0.609869       0.000836
       0.248100       0.616165       0.000776
       0.253600       0.622582       0.000756
       0.258600       0.628424       0.000626
       0.263600       0.636573       0.000749
       0.268600       0.644226       0.000768
       0.273100       0.651319       0.000759
       0.277100       0.656370       0.000746
       0.281100       0.658898       0.000815
       0.285100       0.662775       0.000645
       0.289100       0.669762       0.000851
       0.293100       0.674747       0.000880
       0.297100       0.681716       0.000784
       0.301100       0.685371       0.000913
       0.305100       0.690959       0.000936
       0.309100       0.694871       0.000960
       0.313100       0.699288       0.000903
       0.317100       0.702942       0.000822
       0.321100       0.706198       0.001004
       0.325100       0.708946       0.000978
       0.329100       0.713641       0.000987
       0.333100       0.715559       0.001017
       0.337100       0.720687       0.000955
       0.341100       0.723708       0.001012
       0.345100       0.726807       0.000866
       0.349100       0.728809       0.000947
       0.353100       0.732290       0.000807
       0.357100       0.735377       0.000727
       0.360600       0.740063       0.000737
       0.363600       0.741965       0.000978
       0.366600       0.744068       0.000795
       0.369600       0.747211       0.000748
       0.372600       0.749125       0.000742
       0.375600       0.751702       0.000714
       0.378600       0.756867       0.000772
       0.381100       0.760809       0.001033
       0.383100       0.762795       0.001038
       0.385100       0.764742       0.001034
       0.387100       0.766343       0.001019
       0.389100       0.768361       0.001037
       0.391100       0.771176       0.001041
       0.393100       0.772951       0.001036
       0.395100       0.773697       0.001037
       0.397100       0.775235       0.001041
       0.399100       0.777362       0.000746
       0.401100       0.779376       0.001030
       0.403100       0.780548       0.001044
       0.405100       0.781505       0.001044
       0.407100       0.781931       0.001034
       0.409100       0.783437       0.001039
       0.411100       0.787228       0.001048
       0.412800       0.786933       0.000815
       0.415800       0.790332       0.001017
       0.418800       0.792241       0.001037
       0.421800       0.793946       0.001043
       0.424800       0.796196       0.001044
       0.427800       0.798755       0.001041
       0.430800       0.799515       0.000977
       0.433800       0.802201       0.000903
       0.436800       0.803646       0.001045
       0.439800       0.805255       0.001043
       0.442800       0.808763       0.000932
       0.445800       0.808040       0.001004
       0.448800       0.810617       0.001040
       0.451300       0.812461       0.001037
       0.453300       0.813696       0.001041
       0.455300       0.814655       0.001041
       0.457300       0.815385       0.001024
       0.459300       0.818371       0.000997
       0.461300       0.817283       0.000878
       0.463300       0.819246       0.001035
       0.465300       0.820885       0.001041
       0.467300       0.820504       0.001039
       0.469300       0.821227       0.000935
       0.471300       0.823154       0.000903
       0.473300       0.824614       0.001040
       0.475300       0.824356       0.001040
       0.477300       0.824690       0.001033
       0.479300       0.826547       0.001040
       0.481300       0.827324       0.000949
       0.483300       0.827008       0.001027
       0.485300       0.828617       0.000901
       0.487300       0.829886       0.001027
       0.489300       0.830237       0.001036
       0.491300       0.831811       0.001037
       0.493300       0.830769       0.001026
       0.495300       0.832140       0.001037
       0.497300       0.832252       0.001030
       0.499300       0.834254       0.001030
       0.501300       0.834673       0.001021
       0.503300       0.834481       0.001001
       0.505300       0.835894       0.000928
       0.507300       0.836394       0.001032
       0.509300       0.837915       0.001016
       0.511300       0.839502       0.000993
       0.513300       0.838938       0.001036
       0.515300       0.840270       0.001037
       0.517300       0.840700       0.001027
       0.519300       0.842736       0.000996
       0.521300       0.841324       0.001025
       0.523300       0.842567       0.001025
       0.525300       0.843633       0.000914
       0.527300       0.843700       0.001022
       0.529300       0.844734       0.001027
       0.531300       0.845176       0.000821
       0.533300       0.846213       0.001031
       0.535300       0.848081       0.000997
       0.537300       0.851243       0.000896
       0.539300       0.849538       0.000998
       0.541300       0.848689       0.001021
       0.543300       0.850689       0.000882
       0.545300       0.849023       0.000919
       0.547300       0.849753       0.001012
       0.549300       0.850800       0.001031
       0.551300       0.850173       0.001015
       0.553300       0.850935       0.001023
       0.555300       0.851340       0.001011
       0.557300       0.850930       0.001024
       0.559300       0.852165       0.000840
       0.561300       0.848880       0.000996
       0.563300       0.850167       0.001014
       0.565300       0.850492       0.001028
       0.567300       0.849602       0.001029
       0.569300       0.852023       0.001011
       0.571300       0.851991       0.001023
       0.573300       0.852509       0.001024
       0.575300       0.852606       0.001020
       0.577300       0.854370       0.001023
       0.579300       0.853674       0.000796
       0.581300       0.853600       0.001013
       0.583300       0.853086       0.000916
       0.585300       0.854079       0.000896
       0.587300       0.852975       0.001011
       0.589300       0.853998       0.000763
       0.591300       0.853587       0.001025
       0.593300       0.853239       0.001019
       0.595300       0.852927       0.000974
       0.597300       0.853671       0.001022
       0.599300       0.851905       0.001016
       0.601100       0.852812       0.000978
       0.602700       0.853057       0.000775
       0.604300       0.853056       0.001012
       0.605900       0.852236       0.000916
       0.607500       0.851655       0.001014
       0.609100       0.851516       0.001015
       0.610700       0.851441       0.001009
       0.612300       0.852298       0.000731
       0.613900       0.851646       0.001010
       0.615500       0.852325       0.000834
       0.617100       0.852925       0.000821
       0.618700       0.851270       0.000966
       0.620300       0.852965       0.000956
       0.621900       0.852699       0.000710
       0.623500       0.853312       0.000851
       0.625100       0.853151       0.000859
       0.626700       0.853723       0.001005
       0.628300       0.854709       0.000941
       0.629900       0.852077       0.001005
       0.631700       0.854048       0.000954
       0.633700       0.853186       0.000960
       0.635700       0.854572       0.000897
       0.637700       0.853328       0.001002
       0.639700       0.852962       0.000950
       0.641700       0.853808       0.000720
       0.643700       0.853456       0.000981
       0.645700       0.854656       0.001003
       0.647700       0.853790       0.000758
       0.649700       0.854465       0.000861
       0.651700       0.854264       0.000849
       0.653700       0.853833       0.000698
       0.655700       0.855931       0.000812
       0.657700       0.855007       0.000800
       0.659700       0.853933       0.000969
       0.661700       0.854363       0.000682
       0.663700       0.856838       0.000789
       0.665700       0.855348       0.000992
       0.667700       0.854724       0.000824
       0.670200       0.854613       0.000902
       0.673200       0.855033       0.000699
       0.676200       0.854995       0.000881
       0.679200       0.856370       0.001001
       0.682200       0.854201       0.000892
       0.685200       0.855507       0.000714
       0.688200       0.854088       0.000777
       0.691200       0.856955       0.000711
       0.694200       0.854721       0.000985
       0.697200       0.857609       0.000946
       0.700200       0.857611       0.000942
       0.702000       0.857717       0.000730
       0.704000       0.856932       0.000868
       0.706000       0.857062       0.000951
       0.708000       0.857161       0.000976
       0.710000       0.857863       0.000748
       0.712000       0.857513       0.000973
       0.714000       0.858343       0.000865
       0.716000       0.857366       0.000768
       0.718000       0.857438       0.000707
       0.720000       0.856248       0.000805
       0.722000       0.858809       0.000973
       0.724000       0.857639       0.000990
       0.726000       0.857849       0.000840
       0.728000       0.856320       0.000841
       0.730000       0.857458       0.000854
       0.732000       0.859117       0.000998
       0.734000       0.856709       0.000997
       0.736000       0.857983       0.000881
       0.738000       0.857045       0.000927
       0.740000       0.858026       0.001011
       0.742000       0.855614       0.000993
       0.744000       0.854839       0.001005
       0.746000       0.854021       0.001011
       0.748000       0.853554       0.000986
       0.750500       0.852868       0.001004
       0.753500       0.852947       0.001010
       0.756500       0.853742       0.000985
       0.759500       0.853774       0.000915
       0.762500       0.853501       0.000996
       0.765500       0.854812       0.001005
       0.768500       0.855078       0.001007
       0.771500       0.856207       0.000992
       0.774500       0.856661       0.001009
       0.777500       0.856934       0.001014
       0.781000       0.855180       0.000723
       0.785000       0.857096       0.000859
       0.789000       0.858577       0.001023
       0.793000       0.859248       0.000921
       0.797000       0.858840       0.001013
       0.801500       0.858869       0.000873
       0.806500       0.861045       0.001027
       0.811500       0.859898       0.000933
       0.816500       0.860630       0.001028
       0.822000       0.859448       0.001027
       0.828000       0.860801       0.000996
       0.835000       0.859796       0.001027
       0.843000       0.859783       0.000925
       0.851000       0.863735       0.001269
       0.859000       0.859834       0.001071
       0.871000       0.856279       0.001072
       0.883000       0.855470       0.001073
       0.894000       0.853177       0.001049
       0.904000       0.852751       0.001069
       0.914000       0.849895       0.001005
       0.924000       0.849125       0.001066
       0.933000       0.843455       0.001028
       0.941000       0.840959       0.000861
       0.949000       0.831794       0.001060
       0.957000       0.821461       0.001063
       0.964000       0.807925       0.001061
       0.970000       0.791510       0.001034
       0.976000       0.776383       0.001017
       0.982000       0.776398       0.000900
       0.988000       0.785369       0.001046
       0.994000       0.791511       0.000836
       1.000000       0.795259       0.000779
       1.006000       0.798492       0.000878
       1.012000       0.800453       0.001052
       1.018000       0.805644       0.001056
       1.023500       0.812393       0.001050
       1.028500       0.813705       0.001057
       1.033500       0.817522       0.001029
       1.038500       0.821717       0.000807
       1.043500       0.823309       0.001013
       1.048500       0.827844       0.000933
       1.053500       0.830854       0.000842
       1.058500       0.832060       0.000906
       1.063500       0.831232       0.000702
       1.068500       0.832911       0.001044
       1.073500       0.834049       0.000727
       1.078500       0.834627       0.000867
       1.083500       0.834162       0.000723
       1.088500       0.833005       0.000754
       1.093500       0.832678       0.000919
       1.098500       0.831693       0.000866
       1.103500       0.830603       0.000896
       1.108500       0.828814       0.000960
       1.113500       0.826629       0.000852
       1.118500       0.825920       0.000932
       1.123500       0.826075       0.000806
       1.128500       0.822080       0.000982
       1.133500       0.819281       0.000918
       1.138500       0.815014       0.000877
       1.143500       0.810808       0.000854
       1.148500       0.806343       0.000772
       1.153500       0.797210       0.000846
       1.158500       0.788413       0.000815
       1.163500       0.777094       0.000951
       1.168500       0.764127       0.000704
       1.173500       0.750902       0.000980
       1.178500       0.739421       0.000929
       1.183500       0.731211       0.001012
       1.188500       0.724515       0.001030
       1.193500       0.715896       0.001041
       1.198500       0.712789       0.000765
       1.203500       0.710392       0.000784
       1.208500       0.707487       0.001018
       1.213500       0.706202       0.000935
       1.218500       0.704899       0.000880
       1.223500       0.702242       0.000824
       1.228500       0.700865       0.000939
       1.233500       0.700441       0.000995
       1.238500       0.700549       0.000714
       1.243500       0.698531       0.000936
       1.248500       0.698718       0.000951
       1.253500       0.700672       0.000870
       1.258500       0.701392       0.000976
       1.263500       0.702371       0.001043
       1.268500       0.703346       0.000758
       1.273500       0.705536       0.001000
       1.278500       0.706081       0.001015
       1.283500       0.707346       0.000954
       1.288500       0.704670       0.000741
       1.293500       0.701063       0.000719
       1.298500       0.697760       0.000779
       1.303500       0.692101       0.000644
       1.308500       0.685717       0.000822
       1.313500       0.677619       0.001011
       1.318500       0.667619       0.000777
       1.323500       0.657475       0.000887
       1.328500       0.645997       0.001013
       1.333500       0.633735       0.001032
       1.338500       0.625032       0.000925
       1.343500       0.614272       0.000855
       1.348500       0.608011       0.000908
       1.353500       0.601166       0.000749
       1.358500       0.599992       0.001012
       1.363500       0.595238       0.001030
       1.368500       0.590346       0.001002
       1.373500       0.582894       0.001022
       1.378500       0.572920       0.001023
       1.383500       0.562644       0.001002
       1.388500       0.543145       0.001019
       1.393500       0.516652       0.001008
       1.398500       0.489127       0.000980
       1.403500       0.459340       0.001007
       1.408500       0.420220       0.001015
       1.413500       0.378399       0.000819
       1.418500       0.336566       0.000940
       1.423500       0.295625       0.000778
       1.428500       0.269411       0.000984
       1.433500       0.264708       0.000907
       1.438500       0.276085       0.000980
       1.443500       0.287066       0.000879
       1.448500       0.286998       0.001010
       1.453500       0.280231       0.000836
       1.458500       0.272066       0.000922
       1.463500       0.267891       0.000999
       1.468500       0.268039       0.000992
       1.473500       0.272313       0.000991
       1.478500       0.277123       0.001005
       1.483500       0.285404       0.000998
       1.488500       0.289542       0.001015
       1.493500       0.294434       0.000921
       1.498500       0.298402       0.000957
       1.503500       0.302820       0.001001
       1.508500       0.307043       0.000987
       1.513500       0.310647       0.000970
       1.518500       0.317612       0.001013
       1.523500       0.320053       0.001014
       1.528500       0.325366       0.000978
       1.534000       0.325773       0.000889
       1.540000       0.327801       0.000913
       1.546000       0.332137       0.000803
       1.552000       0.336216       0.000984
       1.558000       0.342407       0.000871
       1.564000       0.339783       0.000906
       1.570500       0.340316       0.000680
       1.577500       0.340941       0.000940
       1.584500       0.339371       0.000911
       1.591500       0.338522       0.000651
       1.598500       0.335834       0.000716
       1.605500       0.332184       0.000668
       1.612500       0.328520       0.000855
       1.619500       0.325606       0.000827
       1.626500       0.322895       0.000916
       1.633500       0.319740       0.000875
       1.640500       0.317908       0.000982
       1.647500       0.317682       0.001017
       1.654500       0.315797       0.001006
       1.661500       0.312618       0.000991
       1.668500       0.309291       0.000982
       1.676000       0.309707       0.000997
       1.684000       0.308190       0.000995
       1.692000       0.307377       0.001007
       1.700000       0.307615       0.001004
       1.708000       0.308002       0.001002
       1.716000       0.304298       0.000998
       1.724000       0.302935       0.001004
       1.732000       0.302165       0.001012
       1.740000       0.299722       0.001011
       1.748000       0.296399       0.001006
       1.756000       0.297458       0.001015
       1.764000       0.295202       0.001015
       1.772000       0.294263       0.001016
       1.780000       0.292524       0.001012
       1.788000       0.296465       0.001005
       1.796000       0.301367       0.001011
       1.805000       0.301802       0.000815
       1.815000       0.302884       0.000905
       1.825000       0.303462       0.000871
       1.835000       0.300239       0.000828
       1.845000       0.293881       0.000996
       1.855000       0.288781       0.000997
       1.865000       0.275325       0.000862
       1.875000       0.257251       0.000944
       1.885000       0.232867       0.000891
       1.895000       0.204522       0.000800
       1.905000       0.173840       0.000916
       1.915000       0.142791       0.000997
       1.925000       0.114799       0.001000
       1.935000       0.086215       0.001007
       1.945000       0.067688       0.001004
       1.955000       0.058825       0.000949
       1.965000       0.063713       0.000961
       1.975000       0.073412       0.000985
       1.985000       0.080042       0.000994
       1.995000       0.089429       0.000997
       2.005000       0.100163       0.000997
       2.015000       0.109539       0.000975
       2.025000       0.110159       0.000980
       2.035000       0.112104       0.000993
       2.045000       0.111805       0.000985
       2.055000       0.112323       0.000981
       2.065000       0.110060       0.000980
       2.075000       0.108022       0.000987
       2.085000       0.105607       0.000983
       2.095000       0.102035       0.000987
       2.105000       0.095956       0.000984
       2.115000       0.090653       0.000987
       2.125000       0.085728       0.000979
       2.135000       0.090441       0.000984
       2.145000       0.091654       0.000980
       2.155000       0.089096       0.000971
       2.165000       0.082412       0.000967
       2.175000       0.080915       0.000984
       2.185000       0.086657       0.000983
       2.195000       0.096278       0.000991
       2.205000       0.103330       0.000996
       2.215000       0.112748       0.001027
       2.225000       0.117080       0.001030
       2.235000       0.118451       0.001026
       2.245000       0.117474       0.001030
       2.255000       0.123657       0.001071
       2.265000       0.136157       0.001176
       2.275000       0.141076       0.001293
       2.285000       0.144954       0.001834
       2.295000       0.146395       0.002439
       2.305000       0.147223       0.002640
       2.315000       0.142387       0.001767
       2.325000       0.136413       0.001069
       2.335000       0.131765       0.000982
       2.345000       0.128523       0.000976
