USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Witherite HS273.3B           W1R1Ba AREF
copy of splib05a r 7025                                     
       0.205100      -1.23e34        0.344198
       0.213100      -1.23e34        0.474319
       0.221100      -1.23e34        0.219633
       0.229100      -1.23e34        0.044544
       0.236100      -1.23e34        0.017413
       0.242100      -1.23e34        0.007576
       0.248100      -1.23e34        0.005194
       0.253600       0.489055       0.004553
       0.258600       0.483939       0.003062
       0.263600       0.479642       0.002649
       0.268600       0.483065       0.002415
       0.273100       0.487325       0.002842
       0.277100       0.485638       0.002289
       0.281100       0.488931       0.002108
       0.285100       0.491314       0.001933
       0.289100       0.493869       0.001582
       0.293100       0.494826       0.001612
       0.297100       0.501867       0.001455
       0.301100       0.510058       0.001565
       0.305100       0.517837       0.001508
       0.309100       0.529311       0.001365
       0.313100       0.537520       0.001343
       0.317100       0.547667       0.001358
       0.321100       0.553900       0.001362
       0.325100       0.564385       0.001373
       0.329100       0.566749       0.001375
       0.333100       0.573053       0.001384
       0.337100       0.582327       0.001384
       0.341100       0.589030       0.001391
       0.345100       0.588033       0.001385
       0.349100       0.595420       0.001390
       0.353100       0.603854       0.001190
       0.357100       0.610378       0.000711
       0.360600       0.615810       0.000634
       0.363600       0.622285       0.000696
       0.366600       0.627958       0.001102
       0.369600       0.632221       0.000913
       0.372600       0.637062       0.000842
       0.375600       0.643189       0.001349
       0.378600       0.645598       0.000798
       0.381100       0.652867       0.000797
       0.383100       0.654772       0.001366
       0.385100       0.655542       0.001108
       0.387100       0.660491       0.000953
       0.389100       0.663128       0.001120
       0.391100       0.665260       0.000976
       0.393100       0.669142       0.000966
       0.395100       0.672751       0.000805
       0.397100       0.676548       0.000876
       0.399100       0.680472       0.000922
       0.401100       0.683434       0.000877
       0.403100       0.687088       0.000726
       0.405100       0.689547       0.000778
       0.407100       0.692266       0.000701
       0.409100       0.695580       0.000656
       0.411100       0.697211       0.000837
       0.412800       0.698500       0.001240
       0.415800       0.704482       0.000870
       0.418800       0.706357       0.000947
       0.421800       0.710769       0.000799
       0.424800       0.714257       0.000737
       0.427800       0.717378       0.000839
       0.430800       0.721395       0.000804
       0.433800       0.723946       0.000732
       0.436800       0.727237       0.000680
       0.439800       0.729916       0.000764
       0.442800       0.731678       0.000721
       0.445800       0.733749       0.001004
       0.448800       0.737334       0.000829
       0.451300       0.741599       0.000958
       0.453300       0.744286       0.001106
       0.455300       0.744988       0.001433
       0.457300       0.745793       0.001453
       0.459300       0.748960       0.001079
       0.461300       0.750480       0.001048
       0.463300       0.752458       0.000829
       0.465300       0.754789       0.000872
       0.467300       0.756792       0.000819
       0.469300       0.758052       0.001162
       0.471300       0.760696       0.000855
       0.473300       0.761373       0.000741
       0.475300       0.761101       0.001102
       0.477300       0.764002       0.000776
       0.479300       0.765786       0.000858
       0.481300       0.766100       0.000867
       0.483300       0.769580       0.000802
       0.485300       0.771310       0.000859
       0.487300       0.772103       0.000907
       0.489300       0.773410       0.000695
       0.491300       0.774258       0.000792
       0.493300       0.776915       0.001041
       0.495300       0.775548       0.000810
       0.497300       0.777654       0.000867
       0.499300       0.780793       0.000930
       0.501300       0.780927       0.000846
       0.503300       0.782896       0.000829
       0.505300       0.782988       0.000999
       0.507300       0.785401       0.000818
       0.509300       0.786233       0.000814
       0.511300       0.788220       0.000891
       0.513300       0.789657       0.000815
       0.515300       0.790986       0.000890
       0.517300       0.794601       0.000913
       0.519300       0.794491       0.000802
       0.521300       0.797151       0.000741
       0.523300       0.797178       0.000851
       0.525300       0.798474       0.000789
       0.527300       0.800493       0.000942
       0.529300       0.801877       0.000797
       0.531300       0.802651       0.001168
       0.533300       0.802482       0.000924
       0.535300       0.806006       0.000905
       0.537300       0.804355       0.000928
       0.539300       0.806249       0.001215
       0.541300       0.809920       0.000896
       0.543300       0.809324       0.000787
       0.545300       0.809254       0.000816
       0.547300       0.812130       0.000794
       0.549300       0.810316       0.000899
       0.551300       0.811553       0.001034
       0.553300       0.813195       0.000799
       0.555300       0.813080       0.000760
       0.557300       0.813933       0.000669
       0.559300       0.815414       0.000751
       0.561300       0.813892       0.000742
       0.563300       0.815243       0.000755
       0.565300       0.815995       0.001037
       0.567300       0.816699       0.000827
       0.569300       0.817227       0.000890
       0.571300       0.817849       0.000836
       0.573300       0.817883       0.000821
       0.575300       0.818657       0.000876
       0.577300       0.818499       0.000987
       0.579300       0.819590       0.001174
       0.581300       0.821729       0.001236
       0.583300       0.822886       0.001104
       0.585300       0.823051       0.001082
       0.587300       0.823627       0.001088
       0.589300       0.823185       0.001075
       0.591300       0.825112       0.000994
       0.593300       0.822642       0.001003
       0.595300       0.823955       0.001208
       0.597300       0.825430       0.000923
       0.599300       0.824236       0.001062
       0.601100       0.825757       0.001018
       0.602700       0.825577       0.001318
       0.604300       0.825674       0.000988
       0.605900       0.823811       0.000839
       0.607500       0.823800       0.001165
       0.609100       0.827235       0.000771
       0.610700       0.826691       0.000841
       0.612300       0.828823       0.000726
       0.613900       0.827392       0.001067
       0.615500       0.827485       0.000695
       0.617100       0.828112       0.000726
       0.618700       0.828217       0.000708
       0.620300       0.827590       0.000802
       0.621900       0.827649       0.000800
       0.623500       0.829132       0.000724
       0.625100       0.829085       0.000850
       0.626700       0.829820       0.000885
       0.628300       0.830526       0.000845
       0.629900       0.827705       0.001063
       0.631700       0.830645       0.000802
       0.633700       0.830529       0.000751
       0.635700       0.831941       0.000646
       0.637700       0.829785       0.001124
       0.639700       0.831264       0.000985
       0.641700       0.832671       0.000892
       0.643700       0.832601       0.000891
       0.645700       0.834125       0.000907
       0.647700       0.834571       0.000992
       0.649700       0.835273       0.001058
       0.651700       0.833855       0.001003
       0.653700       0.833144       0.001490
       0.655700       0.837332       0.001108
       0.657700       0.836697       0.001116
       0.659700       0.836981       0.001522
       0.661700       0.836414       0.001114
       0.663700       0.836426       0.001264
       0.665700       0.836547       0.001412
       0.667700       0.837030       0.001088
       0.670200       0.838384       0.000762
       0.673200       0.836942       0.000916
       0.676200       0.840424       0.000936
       0.679200       0.840938       0.000968
       0.682200       0.841574       0.001006
       0.685200       0.840979       0.000990
       0.688200       0.840895       0.000950
       0.691200       0.842839       0.001189
       0.694200       0.843974       0.001269
       0.697200       0.843159       0.001018
       0.700200       0.842955       0.001288
       0.702000       0.843133       0.000958
       0.704000       0.842885       0.000878
       0.706000       0.845553       0.001102
       0.708000       0.845601       0.001112
       0.710000       0.844650       0.001033
       0.712000       0.845949       0.001128
       0.714000       0.844395       0.001465
       0.716000       0.845815       0.001255
       0.718000       0.844113       0.001535
       0.720000       0.847000       0.001096
       0.722000       0.846800       0.000718
       0.724000       0.847305       0.000628
       0.726000       0.847100       0.000774
       0.728000       0.846266       0.000770
       0.730000       0.846921       0.000884
       0.732000       0.850354       0.000745
       0.734000       0.847430       0.000900
       0.736000       0.848746       0.000882
       0.738000       0.848544       0.000863
       0.740000       0.847710       0.000851
       0.742000       0.849757       0.000959
       0.744000       0.849648       0.000929
       0.746000       0.848169       0.001333
       0.748000       0.848922       0.001319
       0.750500       0.849490       0.001132
       0.753500       0.850025       0.001123
       0.756500       0.848285       0.001526
       0.759500       0.851139       0.000701
       0.762500       0.851554       0.000771
       0.765500       0.851309       0.000733
       0.768500       0.851246       0.000887
       0.771500       0.851915       0.000721
       0.774500       0.851680       0.000733
       0.777500       0.852249       0.001158
       0.781000       0.850784       0.001252
       0.785000       0.850407       0.001076
       0.789000       0.851728       0.000859
       0.793000       0.852860       0.000781
       0.797000       0.852669       0.000873
       0.801500       0.853265       0.000670
       0.806500       0.852889       0.000689
       0.811500       0.853346       0.000708
       0.816500       0.853773       0.000851
       0.822000       0.853635       0.000829
       0.828000       0.854710       0.001011
       0.835000       0.854421       0.000941
       0.843000       0.856703       0.001577
       0.851000       0.860952       0.001881
       0.859000       0.859742       0.001670
       0.871000       0.860898       0.001673
       0.883000       0.858541       0.001677
       0.894000       0.860187       0.001687
       0.904000       0.863784       0.001633
       0.914000       0.859603       0.001228
       0.924000       0.862126       0.001058
       0.933000       0.862055       0.001273
       0.941000       0.862151       0.000981
       0.949000       0.864317       0.001400
       0.957000       0.860397       0.001490
       0.964000       0.864484       0.001333
       0.970000       0.865378       0.001289
       0.976000       0.863734       0.001143
       0.982000       0.866452       0.000917
       0.988000       0.864681       0.000977
       0.994000       0.865042       0.000728
       1.000000       0.864694       0.001112
       1.006000       0.864173       0.000951
       1.012000       0.863825       0.000822
       1.018000       0.863847       0.001217
       1.023500       0.864605       0.001479
       1.028500       0.862341       0.001293
       1.033500       0.868528       0.000933
       1.038500       0.863947       0.001079
       1.043500       0.866840       0.001034
       1.048500       0.869174       0.001137
       1.053500       0.866412       0.001562
       1.058500       0.868035       0.001183
       1.063500       0.867486       0.001005
       1.068500       0.866982       0.001033
       1.073500       0.865704       0.000861
       1.078500       0.869011       0.001070
       1.083500       0.866278       0.000996
       1.088500       0.870138       0.001008
       1.093500       0.869831       0.000919
       1.098500       0.867133       0.001019
       1.103500       0.867315       0.001146
       1.108500       0.869575       0.001150
       1.113500       0.868810       0.000981
       1.118500       0.868870       0.000904
       1.123500       0.867533       0.000871
       1.128500       0.868985       0.000985
       1.133500       0.869116       0.000716
       1.138500       0.869563       0.000752
       1.143500       0.868458       0.000769
       1.148500       0.868016       0.000831
       1.153500       0.869209       0.000931
       1.158500       0.868599       0.000995
       1.163500       0.867600       0.000947
       1.168500       0.870031       0.001058
       1.173500       0.869143       0.000941
       1.178500       0.869831       0.000981
       1.183500       0.868962       0.001182
       1.188500       0.871464       0.001316
       1.193500       0.870285       0.000899
       1.198500       0.870745       0.000803
       1.203500       0.868254       0.001215
       1.208500       0.870353       0.000775
       1.213500       0.869328       0.000917
       1.218500       0.869867       0.000924
       1.223500       0.869094       0.000947
       1.228500       0.869173       0.000875
       1.233500       0.869717       0.000783
       1.238500       0.868640       0.000965
       1.243500       0.869864       0.000652
       1.248500       0.870674       0.001042
       1.253500       0.871110       0.000886
       1.258500       0.872127       0.000654
       1.263500       0.869553       0.000918
       1.268500       0.870279       0.001030
       1.273500       0.870894       0.000931
       1.278500       0.870003       0.000905
       1.283500       0.868197       0.000728
       1.288500       0.869534       0.000729
       1.293500       0.870574       0.000997
       1.298500       0.870622       0.000636
       1.303500       0.868718       0.000987
       1.308500       0.868665       0.000928
       1.313500       0.870035       0.000807
       1.318500       0.871579       0.000802
       1.323500       0.868872       0.000875
       1.328500       0.870232       0.000889
       1.333500       0.867705       0.000845
       1.338500       0.870896       0.000710
       1.343500       0.870092       0.000923
       1.348500       0.869144       0.000940
       1.353500       0.870615       0.001124
       1.358500       0.870601       0.001243
       1.363500       0.870174       0.000938
       1.368500       0.869949       0.000986
       1.373500       0.867730       0.000820
       1.378500       0.869540       0.001204
       1.383500       0.868570       0.001281
       1.388500       0.869241       0.001211
       1.393500       0.864223       0.001376
       1.398500       0.866638       0.001219
       1.403500       0.865129       0.001132
       1.408500       0.864959       0.001468
       1.413500       0.866419       0.001203
       1.418500       0.865035       0.001317
       1.423500       0.865448       0.001295
       1.428500       0.865376       0.001044
       1.433500       0.864409       0.001180
       1.438500       0.864735       0.001183
       1.443500       0.864041       0.000813
       1.448500       0.865589       0.001048
       1.453500       0.865511       0.000918
       1.458500       0.863977       0.001120
       1.463500       0.867749       0.001257
       1.468500       0.866991       0.001176
       1.473500       0.865784       0.000867
       1.478500       0.865071       0.001340
       1.483500       0.867597       0.001056
       1.488500       0.865196       0.001071
       1.493500       0.865635       0.000859
       1.498500       0.864220       0.000983
       1.503500       0.866494       0.001157
       1.508500       0.866834       0.001439
       1.513500       0.866988       0.001140
       1.518500       0.866239       0.001243
       1.523500       0.869039       0.001110
       1.528500       0.867427       0.000982
       1.534000       0.867554       0.001114
       1.540000       0.868924       0.001085
       1.546000       0.870492       0.001039
       1.552000       0.869508       0.001010
       1.558000       0.872240       0.001364
       1.564000       0.869613       0.000872
       1.570500       0.870331       0.000893
       1.577500       0.868649       0.000949
       1.584500       0.869406       0.000623
       1.591500       0.870344       0.000784
       1.598500       0.869557       0.000943
       1.605500       0.867778       0.000943
       1.612500       0.867410       0.000693
       1.619500       0.868729       0.000854
       1.626500       0.868878       0.000906
       1.633500       0.869646       0.000942
       1.640500       0.868869       0.000992
       1.647500       0.869435       0.001158
       1.654500       0.867798       0.000726
       1.661500       0.869872       0.001180
       1.668500       0.868058       0.001613
       1.676000       0.865526       0.001057
       1.684000       0.864883       0.001523
       1.692000       0.865629       0.001542
       1.700000       0.867302       0.001720
       1.708000       0.868850       0.001132
       1.716000       0.865990       0.000995
       1.724000       0.862034       0.001208
       1.732000       0.863735       0.001687
       1.740000       0.859558       0.001666
       1.748000       0.858808       0.001706
       1.756000       0.859747       0.001637
       1.764000       0.857772       0.001622
       1.772000       0.860776       0.001218
       1.780000       0.861197       0.001670
       1.788000       0.864529       0.001666
       1.796000       0.858192       0.001205
       1.805000       0.857803       0.001128
       1.815000       0.863217       0.001164
       1.825000       0.861402       0.000981
       1.835000       0.862948       0.000937
       1.845000       0.859855       0.001388
       1.855000       0.855991       0.001141
       1.865000       0.851649       0.000911
       1.875000       0.843135       0.001319
       1.885000       0.833069       0.000830
       1.895000       0.829538       0.001360
       1.905000       0.810082       0.001233
       1.915000       0.780057       0.001173
       1.925000       0.791070       0.001358
       1.935000       0.822761       0.001234
       1.945000       0.828391       0.001368
       1.955000       0.832749       0.001069
       1.965000       0.837996       0.001616
       1.975000       0.839426       0.001324
       1.985000       0.841370       0.001609
       1.995000       0.832205       0.001304
       2.005000       0.825679       0.001363
       2.015000       0.829449       0.001443
       2.025000       0.823531       0.001601
       2.035000       0.801849       0.001360
       2.045000       0.771350       0.001683
       2.055000       0.810277       0.001650
       2.065000       0.842907       0.001650
       2.075000       0.853692       0.001667
       2.085000       0.855549       0.001445
       2.095000       0.860047       0.001696
       2.105000       0.861095       0.001684
       2.115000       0.860733       0.001654
       2.125000       0.864057       0.001674
       2.135000       0.861877       0.001699
       2.145000       0.855958       0.001685
       2.155000       0.841844       0.001672
       2.165000       0.842461       0.001598
       2.175000       0.838601       0.001622
       2.185000       0.827255       0.001703
       2.195000       0.807565       0.001645
       2.205000       0.766403       0.001686
       2.215000       0.773513       0.001697
       2.225000       0.813594       0.001629
       2.235000       0.821298       0.001710
       2.245000       0.814331       0.001702
       2.255000       0.799350       0.001707
       2.265000       0.784220       0.001719
       2.275000       0.770181       0.001856
       2.285000       0.755602       0.002634
       2.295000       0.734069       0.003417
       2.305000       0.700536       0.003023
       2.315000       0.673956       0.001960
       2.325000       0.641842       0.001687
       2.335000       0.621026       0.001665
       2.345000       0.606336       0.001653
