USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Wollastonite HS348.3B        W1R1Bb AREF
copy of splib05a r 7038                                     
       0.205100      -1.23e34        0.112348
       0.213100      -1.23e34        0.012306
       0.221100       0.747399       0.002881
       0.229100       0.526791       0.001438
       0.236100       0.459863       0.001259
       0.242100       0.453896       0.001200
       0.248100       0.457896       0.001146
       0.253600       0.466993       0.001109
       0.258600       0.474143       0.001107
       0.263600       0.488968       0.001108
       0.268600       0.512278       0.001117
       0.273100       0.531242       0.001160
       0.277100       0.549231       0.001168
       0.281100       0.563389       0.001239
       0.285100       0.578185       0.001027
       0.289100       0.588943       0.001300
       0.293100       0.608135       0.001399
       0.297100       0.615846       0.001408
       0.301100       0.632986       0.001501
       0.305100       0.640590       0.001551
       0.309100       0.655422       0.001581
       0.313100       0.668504       0.001591
       0.317100       0.680455       0.001342
       0.321100       0.693944       0.001078
       0.325100       0.699981       0.001641
       0.329100       0.706946       0.001378
       0.333100       0.712988       0.001667
       0.337100       0.719025       0.001670
       0.341100       0.725840       0.001707
       0.345100       0.734914       0.001594
       0.349100       0.753468       0.001595
       0.353100       0.750150       0.001700
       0.357100       0.753833       0.001693
       0.360600       0.756148       0.001690
       0.363600       0.759744       0.001632
       0.366600       0.765884       0.001643
       0.369600       0.769332       0.001700
       0.372600       0.773708       0.001696
       0.375600       0.770904       0.001102
       0.378600       0.777364       0.001157
       0.381100       0.775917       0.001732
       0.383100       0.778168       0.001727
       0.385100       0.781265       0.001729
       0.387100       0.775108       0.001413
       0.389100       0.780599       0.001722
       0.391100       0.785683       0.001654
       0.393100       0.785936       0.001704
       0.395100       0.784449       0.001646
       0.397100       0.785084       0.001190
       0.399100       0.786178       0.001616
       0.401100       0.790415       0.001708
       0.403100       0.785653       0.000985
       0.405100       0.787448       0.001126
       0.407100       0.784874       0.001368
       0.409100       0.791026       0.001398
       0.411100       0.787861       0.001174
       0.412800       0.791125       0.001705
       0.415800       0.794384       0.001721
       0.418800       0.796162       0.001682
       0.421800       0.794730       0.001205
       0.424800       0.796254       0.001543
       0.427800       0.793941       0.001130
       0.430800       0.795128       0.001701
       0.433800       0.796919       0.001654
       0.436800       0.798262       0.001127
       0.439800       0.799015       0.001536
       0.442800       0.796119       0.001668
       0.445800       0.801108       0.001082
       0.448800       0.799862       0.001795
       0.451300       0.802354       0.001798
       0.453300       0.801825       0.001777
       0.455300       0.803843       0.001789
       0.457300       0.802942       0.001638
       0.459300       0.804203       0.001425
       0.461300       0.802228       0.001767
       0.463300       0.804253       0.001346
       0.465300       0.803087       0.001757
       0.467300       0.804996       0.001444
       0.469300       0.804067       0.001524
       0.471300       0.808521       0.001749
       0.473300       0.810281       0.001805
       0.475300       0.802083       0.001626
       0.477300       0.809149       0.001753
       0.479300       0.812194       0.001539
       0.481300       0.809108       0.001789
       0.483300       0.809965       0.001770
       0.485300       0.812346       0.001692
       0.487300       0.809629       0.001733
       0.489300       0.814062       0.001744
       0.491300       0.814611       0.001729
       0.493300       0.814795       0.001757
       0.495300       0.815344       0.001769
       0.497300       0.818068       0.001735
       0.499300       0.816531       0.001810
       0.501300       0.819863       0.001719
       0.503300       0.816276       0.001767
       0.505300       0.821857       0.001775
       0.507300       0.816648       0.001766
       0.509300       0.813359       0.001467
       0.511300       0.817899       0.001787
       0.513300       0.823636       0.001774
       0.515300       0.822869       0.001786
       0.517300       0.822409       0.001581
       0.519300       0.825858       0.001752
       0.521300       0.825693       0.001777
       0.523300       0.826321       0.001708
       0.525300       0.829417       0.001829
       0.527300       0.828255       0.001782
       0.529300       0.828681       0.001771
       0.531300       0.826649       0.001728
       0.533300       0.830209       0.001788
       0.535300       0.827877       0.001532
       0.537300       0.830917       0.001736
       0.539300       0.832777       0.001823
       0.541300       0.832929       0.001829
       0.543300       0.833462       0.001199
       0.545300       0.832507       0.001256
       0.547300       0.834603       0.001764
       0.549300       0.835390       0.001733
       0.551300       0.839396       0.001678
       0.553300       0.835490       0.001735
       0.555300       0.835685       0.001818
       0.557300       0.835116       0.001747
       0.559300       0.838597       0.001632
       0.561300       0.837500       0.001490
       0.563300       0.839707       0.001235
       0.565300       0.835800       0.001639
       0.567300       0.840288       0.001380
       0.569300       0.836226       0.001307
       0.571300       0.835675       0.001816
       0.573300       0.841407       0.001415
       0.575300       0.838597       0.001305
       0.577300       0.841156       0.001163
       0.579300       0.842619       0.001350
       0.581300       0.838592       0.001440
       0.583300       0.842951       0.001254
       0.585300       0.839287       0.001711
       0.587300       0.840976       0.001837
       0.589300       0.840100       0.001830
       0.591300       0.845961       0.001713
       0.593300       0.837095       0.001488
       0.595300       0.848444       0.001772
       0.597300       0.846830       0.001611
       0.599300       0.837678       0.001733
       0.601100       0.841583       0.001814
       0.602700       0.843678       0.001347
       0.604300       0.842635       0.001535
       0.605900       0.847937       0.001842
       0.607500       0.841321       0.001751
       0.609100       0.844545       0.001830
       0.610700       0.842603       0.001258
       0.612300       0.845200       0.001666
       0.613900       0.844426       0.001704
       0.615500       0.847250       0.001714
       0.617100       0.838834       0.001609
       0.618700       0.846229       0.001705
       0.620300       0.842094       0.001813
       0.621900       0.843644       0.001486
       0.623500       0.845789       0.001706
       0.625100       0.841090       0.001808
       0.626700       0.847544       0.001265
       0.628300       0.847043       0.001702
       0.629900       0.844229       0.001809
       0.631700       0.846013       0.001787
       0.633700       0.845258       0.001098
       0.635700       0.846425       0.001672
       0.637700       0.841897       0.001336
       0.639700       0.842766       0.001719
       0.641700       0.849269       0.001691
       0.643700       0.847037       0.001813
       0.645700       0.850157       0.001708
       0.647700       0.851136       0.001827
       0.649700       0.847560       0.001166
       0.651700       0.848119       0.001197
       0.653700       0.849152       0.001261
       0.655700       0.849616       0.001448
       0.657700       0.851140       0.001540
       0.659700       0.847019       0.001736
       0.661700       0.848450       0.001371
       0.663700       0.849259       0.001597
       0.665700       0.852611       0.001179
       0.667700       0.850818       0.001823
       0.670200       0.848992       0.001814
       0.673200       0.851149       0.001836
       0.676200       0.851928       0.001596
       0.679200       0.851506       0.001819
       0.682200       0.853159       0.001760
       0.685200       0.852452       0.001252
       0.688200       0.852034       0.001403
       0.691200       0.850733       0.001186
       0.694200       0.853990       0.001185
       0.697200       0.852731       0.001626
       0.700200       0.856001       0.001830
       0.702000       0.852997       0.001784
       0.704000       0.854947       0.001789
       0.706000       0.856904       0.001832
       0.708000       0.855433       0.001844
       0.710000       0.855304       0.001158
       0.712000       0.855732       0.001173
       0.714000       0.852762       0.001156
       0.716000       0.851135       0.001231
       0.718000       0.854299       0.001170
       0.720000       0.855968       0.001387
       0.722000       0.856098       0.001218
       0.724000       0.850326       0.001059
       0.726000       0.854995       0.001700
       0.728000       0.853823       0.001648
       0.730000       0.851904       0.001691
       0.732000       0.857958       0.001828
       0.734000       0.854900       0.001216
       0.736000       0.858289       0.001758
       0.738000       0.855773       0.001791
       0.740000       0.854389       0.001572
       0.742000       0.856968       0.001884
       0.744000       0.858520       0.001761
       0.746000       0.856758       0.001650
       0.748000       0.854400       0.001867
       0.750500       0.856361       0.001422
       0.753500       0.857267       0.001210
       0.756500       0.859608       0.001562
       0.759500       0.858920       0.001496
       0.762500       0.856848       0.000823
       0.765500       0.855562       0.001769
       0.768500       0.858214       0.001436
       0.771500       0.858346       0.001745
       0.774500       0.855901       0.001284
       0.777500       0.860694       0.001595
       0.781000       0.860692       0.001799
       0.785000       0.858482       0.001819
       0.789000       0.861516       0.001712
       0.793000       0.857918       0.001776
       0.797000       0.859715       0.001465
       0.801500       0.860066       0.001433
       0.806500       0.855517       0.001684
       0.811500       0.859250       0.001703
       0.816500       0.857512       0.001616
       0.822000       0.860718       0.001527
       0.828000       0.861926       0.001500
       0.835000       0.856694       0.001336
       0.843000       0.855545       0.001904
       0.851000       0.862773       0.002069
       0.859000       0.862401       0.001990
       0.871000       0.867821       0.001748
       0.883000       0.858979       0.001980
       0.894000       0.853688       0.001967
       0.904000       0.855249       0.001491
       0.914000       0.859218       0.001375
       0.924000       0.859767       0.001431
       0.933000       0.857099       0.001427
       0.941000       0.854132       0.001554
       0.949000       0.848659       0.001614
       0.957000       0.847930       0.001264
       0.964000       0.850267       0.001865
       0.970000       0.846825       0.001576
       0.976000       0.847673       0.001461
       0.982000       0.843591       0.001655
       0.988000       0.846017       0.001215
       0.994000       0.843742       0.001667
       1.000000       0.841681       0.001290
       1.006000       0.846615       0.001543
       1.012000       0.840762       0.001307
       1.018000       0.844503       0.001267
       1.023500       0.842735       0.002004
       1.028500       0.842041       0.001916
       1.033500       0.840207       0.001595
       1.038500       0.840660       0.001822
       1.043500       0.841456       0.001899
       1.048500       0.843759       0.001542
       1.053500       0.838396       0.001275
       1.058500       0.839905       0.001907
       1.063500       0.840817       0.001179
       1.068500       0.840621       0.001964
       1.073500       0.840646       0.001051
       1.078500       0.841802       0.001916
       1.083500       0.834812       0.001581
       1.088500       0.840093       0.001448
       1.093500       0.841339       0.001158
       1.098500       0.841438       0.001320
       1.103500       0.840325       0.001219
       1.108500       0.837947       0.001324
       1.113500       0.843844       0.001224
       1.118500       0.843066       0.001381
       1.123500       0.838924       0.001457
       1.128500       0.837212       0.001443
       1.133500       0.841763       0.001378
       1.138500       0.835568       0.001244
       1.143500       0.836148       0.001597
       1.148500       0.836793       0.001040
       1.153500       0.838806       0.001217
       1.158500       0.834746       0.001088
       1.163500       0.836080       0.001377
       1.168500       0.833119       0.001404
       1.173500       0.835147       0.001704
       1.178500       0.841205       0.001528
       1.183500       0.834634       0.001564
       1.188500       0.835645       0.001476
       1.193500       0.834306       0.000959
       1.198500       0.830041       0.001388
       1.203500       0.833385       0.001107
       1.208500       0.832572       0.001297
       1.213500       0.832326       0.001191
       1.218500       0.829973       0.001347
       1.223500       0.830875       0.001271
       1.228500       0.827381       0.001529
       1.233500       0.833283       0.001445
       1.238500       0.830669       0.001356
       1.243500       0.829226       0.001220
       1.248500       0.829661       0.001380
       1.253500       0.829508       0.000922
       1.258500       0.831182       0.001669
       1.263500       0.829576       0.001238
       1.268500       0.824770       0.001144
       1.273500       0.827846       0.001360
       1.278500       0.830321       0.001101
       1.283500       0.826949       0.001322
       1.288500       0.829462       0.001070
       1.293500       0.825441       0.001152
       1.298500       0.826529       0.001543
       1.303500       0.825787       0.001331
       1.308500       0.828403       0.001442
       1.313500       0.826159       0.001037
       1.318500       0.823915       0.001192
       1.323500       0.824102       0.001502
       1.328500       0.824376       0.001183
       1.333500       0.825737       0.001552
       1.338500       0.826958       0.001394
       1.343500       0.824172       0.001431
       1.348500       0.826931       0.001985
       1.353500       0.825832       0.001864
       1.358500       0.821658       0.001444
       1.363500       0.827018       0.001769
       1.368500       0.826519       0.001881
       1.373500       0.830088       0.002009
       1.378500       0.820228       0.001649
       1.383500       0.829087       0.001955
       1.388500       0.824498       0.001678
       1.393500       0.825364       0.001809
       1.398500       0.822033       0.001475
       1.403500       0.820830       0.001796
       1.408500       0.822777       0.001495
       1.413500       0.822410       0.001903
       1.418500       0.824616       0.002033
       1.423500       0.822531       0.001764
       1.428500       0.826713       0.001433
       1.433500       0.823173       0.001671
       1.438500       0.822805       0.001819
       1.443500       0.822652       0.001394
       1.448500       0.823956       0.001524
       1.453500       0.817573       0.001741
       1.458500       0.825780       0.001676
       1.463500       0.825780       0.001637
       1.468500       0.828181       0.001657
       1.473500       0.825408       0.001995
       1.478500       0.821968       0.001177
       1.483500       0.828799       0.001962
       1.488500       0.822829       0.001527
       1.493500       0.827184       0.002003
       1.498500       0.826084       0.001976
       1.503500       0.828234       0.001661
       1.508500       0.825195       0.001972
       1.513500       0.830861       0.001919
       1.518500       0.827585       0.001619
       1.523500       0.831935       0.002019
       1.528500       0.826564       0.001587
       1.534000       0.827793       0.001159
       1.540000       0.834313       0.000983
       1.546000       0.833721       0.001348
       1.552000       0.833536       0.001568
       1.558000       0.832319       0.001169
       1.564000       0.835999       0.001571
       1.570500       0.834238       0.001112
       1.577500       0.838271       0.001259
       1.584500       0.837452       0.000971
       1.591500       0.837492       0.000950
       1.598500       0.839644       0.001084
       1.605500       0.836410       0.001683
       1.612500       0.835782       0.001341
       1.619500       0.837414       0.001100
       1.626500       0.837972       0.001376
       1.633500       0.835923       0.000985
       1.640500       0.843347       0.001653
       1.647500       0.840168       0.001243
       1.654500       0.842037       0.001839
       1.661500       0.844768       0.001926
       1.668500       0.846461       0.001896
       1.676000       0.844562       0.001579
       1.684000       0.844196       0.001634
       1.692000       0.844269       0.002067
       1.700000       0.846476       0.002098
       1.708000       0.853245       0.002105
       1.716000       0.848505       0.001339
       1.724000       0.850138       0.002024
       1.732000       0.853681       0.002132
       1.740000       0.854335       0.002118
       1.748000       0.851674       0.002120
       1.756000       0.853095       0.001606
       1.764000       0.856958       0.002009
       1.772000       0.857985       0.001665
       1.780000       0.852422       0.001794
       1.788000       0.853660       0.001654
       1.796000       0.853910       0.001477
       1.805000       0.853481       0.001462
       1.815000       0.854611       0.001261
       1.825000       0.851638       0.001455
       1.835000       0.857961       0.001646
       1.845000       0.855972       0.001478
       1.855000       0.854380       0.001362
       1.865000       0.851745       0.001827
       1.875000       0.844115       0.001698
       1.885000       0.838654       0.001463
       1.895000       0.827320       0.001694
       1.905000       0.818005       0.001451
       1.915000       0.816115       0.001590
       1.925000       0.820608       0.002038
       1.935000       0.820313       0.001959
       1.945000       0.825309       0.001783
       1.955000       0.825933       0.001954
       1.965000       0.833381       0.001722
       1.975000       0.834095       0.001535
       1.985000       0.839495       0.001894
       1.995000       0.837360       0.001794
       2.005000       0.839143       0.001525
       2.015000       0.848180       0.002099
       2.025000       0.843503       0.002081
       2.035000       0.849952       0.002045
       2.045000       0.849776       0.002079
       2.055000       0.851681       0.002135
       2.065000       0.847930       0.002079
       2.075000       0.853197       0.002080
       2.085000       0.851581       0.002087
       2.095000       0.853947       0.002071
       2.105000       0.853431       0.002104
       2.115000       0.861998       0.002117
       2.125000       0.857236       0.002122
       2.135000       0.858843       0.002120
       2.145000       0.861571       0.001959
       2.155000       0.856110       0.002094
       2.165000       0.853782       0.002106
       2.175000       0.851846       0.002070
       2.185000       0.850643       0.002145
       2.195000       0.849909       0.002117
       2.205000       0.844769       0.002141
       2.215000       0.843139       0.002137
       2.225000       0.849415       0.002157
       2.235000       0.839818       0.002138
       2.245000       0.837132       0.002144
       2.255000       0.843355       0.002152
       2.265000       0.845140       0.002208
       2.275000       0.846156       0.002452
       2.285000       0.848152       0.003331
       2.295000       0.842452       0.004577
       2.305000       0.839585       0.003791
       2.315000       0.851737       0.002491
       2.325000       0.845807       0.002138
       2.335000       0.844517       0.002090
       2.345000       0.840642       0.001669
