USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Alun.33+Kaol.33+Musc.33 AMX2 W1R1Ba AREF
copy of splib05a r 7165                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.004089
       0.229100      -1.23e34        0.001011
       0.236100      -1.23e34        0.000934
       0.242100      -1.23e34        0.000793
       0.248100      -1.23e34        0.000772
       0.253600      -1.23e34        0.000708
       0.258600      -1.23e34        0.000739
       0.263600      -1.23e34        0.000576
       0.268600      -1.23e34        0.000711
       0.273100      -1.23e34        0.000768
       0.277100      -1.23e34        0.000723
       0.281100      -1.23e34        0.000653
       0.285100      -1.23e34        0.000785
       0.289100      -1.23e34        0.000821
       0.293100      -1.23e34        0.000465
       0.297100      -1.23e34        0.000718
       0.301100      -1.23e34        0.000943
       0.305100      -1.23e34        0.000819
       0.309100      -1.23e34        0.000692
       0.313100      -1.23e34        0.000722
       0.317100      -1.23e34        0.000638
       0.321100      -1.23e34        0.000751
       0.325100      -1.23e34        0.000939
       0.329100      -1.23e34        0.001010
       0.333100      -1.23e34        0.000704
       0.337100      -1.23e34        0.000761
       0.341100      -1.23e34        0.001013
       0.345100      -1.23e34        0.000745
       0.349100      -1.23e34        0.000987
       0.353100       0.279477       0.000525
       0.357100       0.294736       0.000468
       0.360600       0.309615       0.000457
       0.363600       0.322195       0.000417
       0.366600       0.335042       0.000426
       0.369600       0.347318       0.000362
       0.372600       0.358333       0.000676
       0.375600       0.369353       0.000705
       0.378600       0.378449       0.000427
       0.381100       0.386483       0.000493
       0.383100       0.393059       0.000375
       0.385100       0.399020       0.000458
       0.387100       0.405616       0.000401
       0.389100       0.410999       0.000419
       0.391100       0.418313       0.000662
       0.393100       0.425314       0.000585
       0.395100       0.431082       0.000661
       0.397100       0.436115       0.000623
       0.399100       0.441220       0.000692
       0.401100       0.447448       0.000692
       0.403100       0.453160       0.000606
       0.405100       0.456962       0.000616
       0.407100       0.461421       0.000549
       0.409100       0.466368       0.000712
       0.411100       0.470451       0.000592
       0.412800       0.472871       0.000380
       0.415800       0.477701       0.000502
       0.418800       0.483020       0.000514
       0.421800       0.488007       0.000464
       0.424800       0.491950       0.000411
       0.427800       0.496534       0.000411
       0.430800       0.501428       0.000421
       0.433800       0.505615       0.000364
       0.436800       0.510768       0.000660
       0.439800       0.515522       0.000609
       0.442800       0.519908       0.000707
       0.445800       0.523108       0.000682
       0.448800       0.525954       0.000450
       0.451300       0.528977       0.000488
       0.453300       0.531646       0.000462
       0.455300       0.533184       0.000469
       0.457300       0.535659       0.000512
       0.459300       0.537184       0.000584
       0.461300       0.539653       0.000495
       0.463300       0.542042       0.000545
       0.465300       0.544163       0.000448
       0.467300       0.546544       0.000396
       0.469300       0.547969       0.000482
       0.471300       0.550130       0.000455
       0.473300       0.551938       0.000438
       0.475300       0.553714       0.000420
       0.477300       0.556148       0.000637
       0.479300       0.558376       0.000475
       0.481300       0.560275       0.000476
       0.483300       0.562208       0.000575
       0.485300       0.564824       0.000380
       0.487300       0.566777       0.000499
       0.489300       0.569133       0.000452
       0.491300       0.571475       0.000372
       0.493300       0.573920       0.000463
       0.495300       0.576093       0.000433
       0.497300       0.577958       0.000464
       0.499300       0.580144       0.000440
       0.501300       0.583128       0.000480
       0.503300       0.584632       0.000682
       0.505300       0.586747       0.000465
       0.507300       0.589789       0.000438
       0.509300       0.591535       0.000438
       0.511300       0.594089       0.000453
       0.513300       0.596690       0.000445
       0.515300       0.598821       0.000460
       0.517300       0.601428       0.000463
       0.519300       0.603293       0.000582
       0.521300       0.606001       0.000432
       0.523300       0.607985       0.000424
       0.525300       0.609231       0.000512
       0.527300       0.611759       0.000535
       0.529300       0.614470       0.000622
       0.531300       0.616805       0.000608
       0.533300       0.618870       0.000486
       0.535300       0.620866       0.000521
       0.537300       0.623340       0.000495
       0.539300       0.625638       0.000632
       0.541300       0.627585       0.000459
       0.543300       0.629219       0.000492
       0.545300       0.631620       0.000478
       0.547300       0.634192       0.000491
       0.549300       0.635852       0.000464
       0.551300       0.638047       0.000453
       0.553300       0.639905       0.000443
       0.555300       0.642215       0.000435
       0.557300       0.643767       0.000665
       0.559300       0.646521       0.000497
       0.561300       0.647816       0.000519
       0.563300       0.649351       0.000426
       0.565300       0.652256       0.000454
       0.567300       0.652926       0.000436
       0.569300       0.655267       0.000448
       0.571300       0.657552       0.000491
       0.573300       0.660026       0.000435
       0.575300       0.662268       0.000465
       0.577300       0.664964       0.000444
       0.579300       0.666866       0.000481
       0.581300       0.668338       0.000497
       0.583300       0.669858       0.000665
       0.585300       0.671759       0.000636
       0.587300       0.673829       0.000683
       0.589300       0.675690       0.000611
       0.591300       0.677619       0.000541
       0.593300       0.679670       0.000718
       0.595300       0.681889       0.000436
       0.597300       0.682009       0.000478
       0.599300       0.684236       0.000498
       0.601100       0.686329       0.000536
       0.602700       0.687051       0.000415
       0.604300       0.688021       0.000521
       0.605900       0.689629       0.000464
       0.607500       0.691053       0.000636
       0.609100       0.691150       0.000492
       0.610700       0.693338       0.000445
       0.612300       0.694105       0.000446
       0.613900       0.695695       0.000441
       0.615500       0.696305       0.000435
       0.617100       0.697880       0.000619
       0.618700       0.698451       0.000538
       0.620300       0.700175       0.000434
       0.621900       0.701473       0.000463
       0.623500       0.702540       0.000479
       0.625100       0.703657       0.000436
       0.626700       0.705235       0.000629
       0.628300       0.706110       0.000495
       0.629900       0.706793       0.000504
       0.631700       0.707329       0.000393
       0.633700       0.709151       0.000450
       0.635700       0.710266       0.000422
       0.637700       0.711789       0.000512
       0.639700       0.712542       0.000408
       0.641700       0.713347       0.000563
       0.643700       0.715330       0.000416
       0.645700       0.716475       0.000452
       0.647700       0.716887       0.000453
       0.649700       0.719018       0.000464
       0.651700       0.719211       0.000482
       0.653700       0.721038       0.000457
       0.655700       0.721647       0.000395
       0.657700       0.723516       0.000462
       0.659700       0.724317       0.000472
       0.661700       0.725984       0.000461
       0.663700       0.726131       0.000499
       0.665700       0.728579       0.000460
       0.667700       0.730590       0.000492
       0.670200       0.730735       0.000443
       0.673200       0.732192       0.000414
       0.676200       0.734227       0.000501
       0.679200       0.736347       0.000399
       0.682200       0.737146       0.000602
       0.685200       0.738900       0.000601
       0.688200       0.740589       0.000422
       0.691200       0.742399       0.000494
       0.694200       0.743884       0.000522
       0.697200       0.743915       0.000708
       0.700200       0.745826       0.000606
       0.702000       0.747168       0.000647
       0.704000       0.747277       0.000483
       0.706000       0.748860       0.000445
       0.708000       0.749674       0.000612
       0.710000       0.750639       0.000472
       0.712000       0.752069       0.000639
       0.714000       0.752331       0.000446
       0.716000       0.753561       0.000486
       0.718000       0.755058       0.000454
       0.720000       0.753767       0.000676
       0.722000       0.755572       0.000500
       0.724000       0.756630       0.000461
       0.726000       0.756902       0.000704
       0.728000       0.758039       0.000710
       0.730000       0.758416       0.000532
       0.732000       0.758762       0.000551
       0.734000       0.758902       0.000778
       0.736000       0.760221       0.000550
       0.738000       0.759149       0.000689
       0.740000       0.759384       0.000791
       0.742000       0.760902       0.000537
       0.744000       0.761349       0.000560
       0.746000       0.761181       0.000573
       0.748000       0.761924       0.000494
       0.750500       0.763028       0.000474
       0.753500       0.763335       0.000474
       0.756500       0.764068       0.000534
       0.759500       0.764665       0.000508
       0.762500       0.765642       0.000493
       0.765500       0.764915       0.000462
       0.768500       0.764284       0.000537
       0.771500       0.765595       0.000517
       0.774500       0.765819       0.000552
       0.777500       0.765631       0.000529
       0.781000       0.766157       0.000486
       0.785000       0.767283       0.000593
       0.789000       0.767622       0.000532
       0.793000       0.767132       0.000506
       0.797000       0.767335       0.000473
       0.801500       0.768970       0.000790
       0.806500       0.769423       0.000481
       0.811500       0.769607       0.000541
       0.816500       0.771813       0.000696
       0.822000       0.772199       0.000561
       0.828000       0.772493       0.000557
       0.835000       0.773282       0.000567
       0.843000       0.774168       0.000558
       0.851000       0.773362       0.001189
       0.859000       0.774451       0.000844
       0.871000       0.774185       0.000814
       0.883000       0.772207       0.000823
       0.894000       0.772850       0.000805
       0.904000       0.772756       0.000708
       0.914000       0.772917       0.000636
       0.924000       0.775193       0.000623
       0.933000       0.774900       0.000670
       0.941000       0.773794       0.000610
       0.949000       0.769661       0.000560
       0.957000       0.769685       0.000595
       0.964000       0.766826       0.000668
       0.970000       0.767206       0.000713
       0.976000       0.768493       0.000654
       0.982000       0.768943       0.000612
       0.988000       0.765667       0.000578
       0.994000       0.762015       0.000645
       1.000000       0.761746       0.000501
       1.006000       0.759854       0.000586
       1.012000       0.763510       0.000443
       1.018000       0.767790       0.000608
       1.023500       0.772843       0.000676
       1.028500       0.776741       0.000749
       1.033500       0.779774       0.000623
       1.038500       0.780691       0.000683
       1.043500       0.781498       0.000613
       1.048500       0.780400       0.000521
       1.053500       0.782058       0.000602
       1.058500       0.780789       0.000614
       1.063500       0.781139       0.000660
       1.068500       0.781533       0.000589
       1.073500       0.781198       0.000529
       1.078500       0.781972       0.000588
       1.083500       0.781557       0.000599
       1.088500       0.781098       0.000592
       1.093500       0.781844       0.000509
       1.098500       0.780967       0.000492
       1.103500       0.780869       0.000560
       1.108500       0.781081       0.000492
       1.113500       0.779721       0.000514
       1.118500       0.780863       0.000444
       1.123500       0.781865       0.000517
       1.128500       0.783324       0.000507
       1.133500       0.783695       0.000580
       1.138500       0.783326       0.000526
       1.143500       0.784012       0.000590
       1.148500       0.783372       0.000534
       1.153500       0.783142       0.000487
       1.158500       0.782206       0.000592
       1.163500       0.782394       0.000528
       1.168500       0.782278       0.000522
       1.173500       0.781510       0.000529
       1.178500       0.782979       0.000636
       1.183500       0.784339       0.000724
       1.188500       0.781786       0.000571
       1.193500       0.782541       0.000499
       1.198500       0.781039       0.000455
       1.203500       0.778444       0.000468
       1.208500       0.777854       0.000543
       1.213500       0.776380       0.000516
       1.218500       0.772815       0.000465
       1.223500       0.770295       0.000509
       1.228500       0.764857       0.000558
       1.233500       0.759814       0.000467
       1.238500       0.758203       0.000431
       1.243500       0.755683       0.000470
       1.248500       0.755144       0.000501
       1.253500       0.752442       0.000463
       1.258500       0.747503       0.000561
       1.263500       0.737863       0.000498
       1.268500       0.735550       0.000485
       1.273500       0.738122       0.000462
       1.278500       0.748034       0.000506
       1.283500       0.753119       0.000482
       1.288500       0.760269       0.000544
       1.293500       0.761727       0.000460
       1.298500       0.759234       0.000527
       1.303500       0.758849       0.000464
       1.308500       0.754717       0.000529
       1.313500       0.753170       0.000444
       1.318500       0.745312       0.000507
       1.323500       0.741607       0.000441
       1.328500       0.738443       0.000576
       1.333500       0.730782       0.000452
       1.338500       0.725482       0.000524
       1.343500       0.725613       0.000469
       1.348500       0.724253       0.000516
       1.353500       0.714014       0.000568
       1.358500       0.711097       0.000582
       1.363500       0.713343       0.000633
       1.368500       0.718552       0.000634
       1.373500       0.712931       0.000608
       1.378500       0.700502       0.000698
       1.383500       0.687655       0.000706
       1.388500       0.665300       0.000703
       1.393500       0.633397       0.000629
       1.398500       0.610559       0.000782
       1.403500       0.592681       0.000574
       1.408500       0.579819       0.000603
       1.413500       0.538874       0.000587
       1.418500       0.557580       0.000715
       1.423500       0.558780       0.000506
       1.428500       0.564227       0.000624
       1.433500       0.597935       0.000675
       1.438500       0.636735       0.000651
       1.443500       0.648214       0.000515
       1.448500       0.645097       0.000653
       1.453500       0.634957       0.000644
       1.458500       0.629405       0.000690
       1.463500       0.630718       0.000552
       1.468500       0.625044       0.000572
       1.473500       0.601735       0.000795
       1.478500       0.574127       0.000636
       1.483500       0.608151       0.000587
       1.488500       0.649482       0.000565
       1.493500       0.662502       0.000810
       1.498500       0.665909       0.000655
       1.503500       0.676153       0.000602
       1.508500       0.686590       0.000620
       1.513500       0.697626       0.000763
       1.518500       0.702562       0.000729
       1.523500       0.707660       0.000828
       1.528500       0.709350       0.000598
       1.534000       0.709439       0.000492
       1.540000       0.712514       0.000488
       1.546000       0.713647       0.000582
       1.552000       0.712817       0.000604
       1.558000       0.715004       0.000560
       1.564000       0.716181       0.000569
       1.570500       0.714619       0.000557
       1.577500       0.714334       0.000513
       1.584500       0.713484       0.000458
       1.591500       0.714900       0.000504
       1.598500       0.714929       0.000509
       1.605500       0.714410       0.000463
       1.612500       0.715091       0.000506
       1.619500       0.714362       0.000473
       1.626500       0.713557       0.000484
       1.633500       0.711813       0.000487
       1.640500       0.711541       0.000550
       1.647500       0.710759       0.000659
       1.654500       0.709187       0.000563
       1.661500       0.707203       0.000786
       1.668500       0.703150       0.000653
       1.676000       0.699990       0.000795
       1.684000       0.697452       0.000662
       1.692000       0.695950       0.000816
       1.700000       0.693482       0.000863
       1.708000       0.691961       0.000663
       1.716000       0.683865       0.000697
       1.724000       0.675436       0.000691
       1.732000       0.662942       0.000710
       1.740000       0.650953       0.000859
       1.748000       0.638892       0.000845
       1.756000       0.632592       0.000916
       1.764000       0.623292       0.000715
       1.772000       0.624488       0.000802
       1.780000       0.630428       0.000838
       1.788000       0.645992       0.000805
       1.796000       0.660371       0.000596
       1.805000       0.664082       0.000473
       1.815000       0.663443       0.000475
       1.825000       0.661291       0.000604
       1.835000       0.660687       0.000810
       1.845000       0.655884       0.000529
       1.855000       0.656932       0.000624
       1.865000       0.652617       0.000530
       1.875000       0.638845       0.000720
       1.885000       0.618399       0.000697
       1.895000       0.592029       0.000654
       1.905000       0.565635       0.000616
       1.915000       0.550957       0.000721
       1.925000       0.548651       0.000615
       1.935000       0.548182       0.000690
       1.945000       0.547171       0.000786
       1.955000       0.547060       0.000728
       1.965000       0.546951       0.000790
       1.975000       0.551936       0.000686
       1.985000       0.550646       0.000759
       1.995000       0.546849       0.000739
       2.005000       0.542617       0.000758
       2.015000       0.542152       0.000812
       2.025000       0.541397       0.000821
       2.035000       0.539016       0.000837
       2.045000       0.536376       0.000860
       2.055000       0.531485       0.000849
       2.065000       0.525797       0.000838
       2.075000       0.520775       0.000818
       2.085000       0.512322       0.000898
       2.095000       0.501593       0.000840
       2.105000       0.489122       0.000887
       2.115000       0.466136       0.000867
       2.125000       0.447840       0.000865
       2.135000       0.432297       0.000892
       2.145000       0.404309       0.000801
       2.155000       0.369948       0.000832
       2.165000       0.351670       0.000803
       2.175000       0.342501       0.000840
       2.185000       0.326037       0.000797
       2.195000       0.314618       0.000927
       2.205000       0.286751       0.000889
       2.215000       0.320091       0.000927
       2.225000       0.400696       0.000931
       2.235000       0.436332       0.000936
       2.245000       0.446791       0.000936
       2.255000       0.451936       0.000937
       2.265000       0.452898       0.000946
       2.275000       0.450113       0.001118
       2.285000       0.442283       0.001440
       2.295000       0.427751       0.001799
       2.305000       0.403189       0.001627
