USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Alunite.5+MuscCU91-250A AMX4 W1R1Ba AREF
copy of splib05a r 7274                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.002320
       0.229100      -1.23e34        0.000993
       0.236100      -1.23e34        0.000903
       0.242100      -1.23e34        0.000855
       0.248100      -1.23e34        0.000815
       0.253600      -1.23e34        0.000805
       0.258600      -1.23e34        0.000792
       0.263600      -1.23e34        0.000704
       0.268600      -1.23e34        0.000589
       0.273100      -1.23e34        0.000800
       0.277100      -1.23e34        0.000817
       0.281100      -1.23e34        0.000844
       0.285100      -1.23e34        0.000632
       0.289100      -1.23e34        0.000733
       0.293100      -1.23e34        0.000696
       0.297100      -1.23e34        0.000770
       0.301100      -1.23e34        0.000962
       0.305100      -1.23e34        0.000990
       0.309100      -1.23e34        0.000999
       0.313100      -1.23e34        0.001012
       0.317100      -1.23e34        0.001008
       0.321100      -1.23e34        0.001031
       0.325100      -1.23e34        0.000783
       0.329100      -1.23e34        0.001042
       0.333100      -1.23e34        0.001037
       0.337100      -1.23e34        0.001044
       0.341100      -1.23e34        0.001041
       0.345100      -1.23e34        0.001050
       0.349100      -1.23e34        0.000939
       0.353100       0.215526       0.000759
       0.357100       0.225075       0.000596
       0.360600       0.234008       0.000670
       0.363600       0.241360       0.000593
       0.366600       0.249172       0.000623
       0.369600       0.256432       0.000511
       0.372600       0.263940       0.000999
       0.375600       0.272383       0.001044
       0.378600       0.278803       0.000624
       0.381100       0.285396       0.000696
       0.383100       0.290885       0.000538
       0.385100       0.295936       0.000626
       0.387100       0.301225       0.000574
       0.389100       0.306290       0.000607
       0.391100       0.313412       0.000984
       0.393100       0.320115       0.000860
       0.395100       0.325218       0.000985
       0.397100       0.329850       0.000835
       0.399100       0.334115       0.001024
       0.401100       0.339931       0.000958
       0.403100       0.345875       0.000898
       0.405100       0.349596       0.000831
       0.407100       0.353222       0.000812
       0.409100       0.357994       0.001054
       0.411100       0.361811       0.000867
       0.412800       0.363469       0.000524
       0.415800       0.367840       0.000563
       0.418800       0.371945       0.000749
       0.421800       0.376260       0.000658
       0.424800       0.379576       0.000596
       0.427800       0.383725       0.000599
       0.430800       0.387443       0.000619
       0.433800       0.391228       0.000517
       0.436800       0.395894       0.000979
       0.439800       0.400303       0.000908
       0.442800       0.404145       0.001028
       0.445800       0.406970       0.001019
       0.448800       0.409127       0.000660
       0.451300       0.411540       0.000708
       0.453300       0.414168       0.000662
       0.455300       0.415939       0.000659
       0.457300       0.417407       0.000713
       0.459300       0.419400       0.000815
       0.461300       0.421282       0.000665
       0.463300       0.423763       0.000548
       0.465300       0.426028       0.000618
       0.467300       0.427905       0.000575
       0.469300       0.429034       0.000681
       0.471300       0.430746       0.000654
       0.473300       0.432747       0.000595
       0.475300       0.434699       0.000610
       0.477300       0.436475       0.000937
       0.479300       0.438499       0.000680
       0.481300       0.440592       0.000667
       0.483300       0.443123       0.000667
       0.485300       0.445256       0.000556
       0.487300       0.447132       0.000731
       0.489300       0.449298       0.000644
       0.491300       0.452149       0.000529
       0.493300       0.454500       0.000654
       0.495300       0.456699       0.000632
       0.497300       0.458485       0.000633
       0.499300       0.461021       0.000640
       0.501300       0.463907       0.000649
       0.503300       0.466081       0.000831
       0.505300       0.468263       0.000652
       0.507300       0.470770       0.000615
       0.509300       0.473011       0.000610
       0.511300       0.475617       0.000665
       0.513300       0.478142       0.000602
       0.515300       0.480598       0.000641
       0.517300       0.483604       0.000673
       0.519300       0.485764       0.000845
       0.521300       0.488256       0.000559
       0.523300       0.490639       0.000571
       0.525300       0.492192       0.000706
       0.527300       0.495233       0.000527
       0.529300       0.497956       0.000896
       0.531300       0.500717       0.000679
       0.533300       0.502815       0.000693
       0.535300       0.504877       0.000737
       0.537300       0.507820       0.000711
       0.539300       0.510742       0.000907
       0.541300       0.512716       0.000652
       0.543300       0.514551       0.000686
       0.545300       0.518305       0.000703
       0.547300       0.520828       0.000683
       0.549300       0.522650       0.000660
       0.551300       0.525795       0.000653
       0.553300       0.528565       0.000646
       0.555300       0.530617       0.000627
       0.557300       0.531995       0.000848
       0.559300       0.535082       0.000707
       0.561300       0.535791       0.000633
       0.563300       0.539183       0.000613
       0.565300       0.542399       0.000660
       0.567300       0.543781       0.000633
       0.569300       0.546245       0.000638
       0.571300       0.549098       0.000716
       0.573300       0.552096       0.000634
       0.575300       0.555217       0.000652
       0.577300       0.557833       0.000630
       0.579300       0.559634       0.000664
       0.581300       0.562223       0.000723
       0.583300       0.564976       0.000685
       0.585300       0.566920       0.000933
       0.587300       0.568642       0.000947
       0.589300       0.571717       0.000671
       0.591300       0.573610       0.000796
       0.593300       0.575732       0.000910
       0.595300       0.579160       0.000605
       0.597300       0.578911       0.000672
       0.599300       0.581540       0.000702
       0.601100       0.582823       0.000754
       0.602700       0.584342       0.000607
       0.604300       0.585604       0.000745
       0.605900       0.587738       0.000686
       0.607500       0.589351       0.000938
       0.609100       0.589261       0.000675
       0.610700       0.592075       0.000645
       0.612300       0.592937       0.000656
       0.613900       0.594855       0.000652
       0.615500       0.595384       0.000633
       0.617100       0.597362       0.000881
       0.618700       0.598370       0.000650
       0.620300       0.600490       0.000638
       0.621900       0.601433       0.000663
       0.623500       0.602839       0.000656
       0.625100       0.604862       0.000634
       0.626700       0.606418       0.000914
       0.628300       0.607305       0.000644
       0.629900       0.608851       0.000554
       0.631700       0.608573       0.000572
       0.633700       0.610685       0.000628
       0.635700       0.612224       0.000588
       0.637700       0.614181       0.000753
       0.639700       0.614556       0.000543
       0.641700       0.616287       0.000650
       0.643700       0.618412       0.000588
       0.645700       0.619084       0.000635
       0.647700       0.620942       0.000659
       0.649700       0.621950       0.000663
       0.651700       0.623189       0.000667
       0.653700       0.624850       0.000584
       0.655700       0.626286       0.000562
       0.657700       0.627848       0.000620
       0.659700       0.629015       0.000678
       0.661700       0.630143       0.000635
       0.663700       0.631248       0.000679
       0.665700       0.633871       0.000655
       0.667700       0.635710       0.000673
       0.670200       0.636056       0.000587
       0.673200       0.638439       0.000598
       0.676200       0.640573       0.000696
       0.679200       0.642573       0.000578
       0.682200       0.643930       0.000841
       0.685200       0.646234       0.000653
       0.688200       0.647743       0.000604
       0.691200       0.649333       0.000706
       0.694200       0.651289       0.000739
       0.697200       0.651263       0.000997
       0.700200       0.654687       0.000808
       0.702000       0.655723       0.000748
       0.704000       0.656161       0.000698
       0.706000       0.657097       0.000582
       0.708000       0.658499       0.000608
       0.710000       0.659488       0.000692
       0.712000       0.660543       0.000878
       0.714000       0.661012       0.000647
       0.716000       0.662270       0.000682
       0.718000       0.663264       0.000609
       0.720000       0.663955       0.000678
       0.722000       0.665210       0.000723
       0.724000       0.665568       0.000665
       0.726000       0.665692       0.001004
       0.728000       0.667088       0.000991
       0.730000       0.667344       0.000723
       0.732000       0.668402       0.000778
       0.734000       0.669279       0.000794
       0.736000       0.670099       0.000748
       0.738000       0.668722       0.000843
       0.740000       0.669431       0.000787
       0.742000       0.670546       0.000754
       0.744000       0.670362       0.000776
       0.746000       0.671114       0.000809
       0.748000       0.671686       0.000673
       0.750500       0.672216       0.000637
       0.753500       0.672802       0.000662
       0.756500       0.673820       0.000779
       0.759500       0.673769       0.000665
       0.762500       0.675489       0.000684
       0.765500       0.674082       0.000611
       0.768500       0.674547       0.000741
       0.771500       0.674911       0.000707
       0.774500       0.675142       0.000762
       0.777500       0.674392       0.000747
       0.781000       0.675222       0.000598
       0.785000       0.676613       0.000849
       0.789000       0.677609       0.000618
       0.793000       0.676574       0.000698
       0.797000       0.677648       0.000602
       0.801500       0.678642       0.000911
       0.806500       0.678910       0.000623
       0.811500       0.679333       0.000714
       0.816500       0.680472       0.000893
       0.822000       0.680085       0.000766
       0.828000       0.680595       0.000768
       0.835000       0.681185       0.000770
       0.843000       0.682043       0.000747
       0.851000       0.682832       0.001107
       0.859000       0.684212       0.000769
       0.871000       0.681967       0.000740
       0.883000       0.681791       0.000742
       0.894000       0.681390       0.000690
       0.904000       0.681832       0.000532
       0.914000       0.680268       0.000637
       0.924000       0.682235       0.000612
       0.933000       0.685284       0.000685
       0.941000       0.683626       0.000646
       0.949000       0.680876       0.000653
       0.957000       0.681694       0.000621
       0.964000       0.680117       0.000622
       0.970000       0.677173       0.000605
       0.976000       0.675656       0.000530
       0.982000       0.671572       0.000659
       0.988000       0.666562       0.000615
       0.994000       0.661857       0.000627
       1.000000       0.659310       0.000507
       1.006000       0.659210       0.000555
       1.012000       0.661745       0.000514
       1.018000       0.668398       0.000623
       1.023500       0.676781       0.000685
       1.028500       0.682406       0.000586
       1.033500       0.686139       0.000674
       1.038500       0.687181       0.000726
       1.043500       0.688603       0.000613
       1.048500       0.687995       0.000607
       1.053500       0.688435       0.000553
       1.058500       0.688695       0.000729
       1.063500       0.687989       0.000560
       1.068500       0.688805       0.000592
       1.073500       0.688761       0.000639
       1.078500       0.689121       0.000556
       1.083500       0.688399       0.000690
       1.088500       0.688154       0.000612
       1.093500       0.688254       0.000600
       1.098500       0.687490       0.000605
       1.103500       0.687915       0.000662
       1.108500       0.687529       0.000577
       1.113500       0.686614       0.000526
       1.118500       0.687426       0.000514
       1.123500       0.688796       0.000541
       1.128500       0.690288       0.000564
       1.133500       0.691102       0.000689
       1.138500       0.691102       0.000579
       1.143500       0.691364       0.000781
       1.148500       0.691444       0.000601
       1.153500       0.691147       0.000552
       1.158500       0.690244       0.000702
       1.163500       0.689314       0.000611
       1.168500       0.689197       0.000543
       1.173500       0.688238       0.000613
       1.178500       0.689225       0.000625
       1.183500       0.690181       0.000657
       1.188500       0.689611       0.000592
       1.193500       0.689077       0.000617
       1.198500       0.687764       0.000539
       1.203500       0.686185       0.000565
       1.208500       0.683390       0.000684
       1.213500       0.682532       0.000638
       1.218500       0.679582       0.000531
       1.223500       0.675936       0.000596
       1.228500       0.670413       0.000686
       1.233500       0.666291       0.000588
       1.238500       0.663848       0.000522
       1.243500       0.660088       0.000592
       1.248500       0.658348       0.000596
       1.253500       0.653193       0.000547
       1.258500       0.644085       0.000629
       1.263500       0.629770       0.000567
       1.268500       0.625663       0.000517
       1.273500       0.630507       0.000533
       1.278500       0.646569       0.000537
       1.283500       0.658823       0.000564
       1.288500       0.672522       0.000575
       1.293500       0.677908       0.000564
       1.298500       0.678868       0.000659
       1.303500       0.678508       0.000544
       1.308500       0.677911       0.000595
       1.313500       0.675599       0.000512
       1.318500       0.666756       0.000607
       1.323500       0.662031       0.000580
       1.328500       0.660307       0.000554
       1.333500       0.650281       0.000559
       1.338500       0.640795       0.000532
       1.343500       0.643188       0.000585
       1.348500       0.645350       0.000569
       1.353500       0.644211       0.000684
       1.358500       0.643679       0.000655
       1.363500       0.647390       0.000711
       1.368500       0.652348       0.000778
       1.373500       0.648766       0.000712
       1.378500       0.642137       0.000864
       1.383500       0.638092       0.000700
       1.388500       0.627274       0.000799
       1.393500       0.604423       0.000728
       1.398500       0.568766       0.000973
       1.403500       0.534293       0.000683
       1.408500       0.503843       0.000704
       1.413500       0.481365       0.000756
       1.418500       0.461962       0.000717
       1.423500       0.407137       0.000596
       1.428500       0.399868       0.000599
       1.433500       0.442436       0.000863
       1.438500       0.494865       0.000637
       1.443500       0.508741       0.000549
       1.448500       0.501834       0.000740
       1.453500       0.485133       0.000653
       1.458500       0.473448       0.000595
       1.463500       0.473452       0.000645
       1.468500       0.465156       0.000655
       1.473500       0.428239       0.000726
       1.478500       0.385688       0.000654
       1.483500       0.436732       0.000690
       1.488500       0.498057       0.000714
       1.493500       0.518060       0.000958
       1.498500       0.524738       0.000654
       1.503500       0.536075       0.000690
       1.508500       0.552534       0.000666
       1.513500       0.568039       0.000876
       1.518500       0.573611       0.000729
       1.523500       0.581259       0.000809
       1.528500       0.584480       0.000621
       1.534000       0.582898       0.000533
       1.540000       0.586942       0.000578
       1.546000       0.588960       0.000672
       1.552000       0.589797       0.000646
       1.558000       0.590889       0.000600
       1.564000       0.593557       0.000615
       1.570500       0.590854       0.000612
       1.577500       0.591109       0.000660
       1.584500       0.589962       0.000504
       1.591500       0.590240       0.000575
       1.598500       0.590432       0.000568
       1.605500       0.590156       0.000567
       1.612500       0.589371       0.000609
       1.619500       0.590084       0.000612
       1.626500       0.589298       0.000536
       1.633500       0.587927       0.000588
       1.640500       0.587023       0.000603
       1.647500       0.585469       0.000647
       1.654500       0.583194       0.000703
       1.661500       0.580298       0.000856
       1.668500       0.577433       0.000674
       1.676000       0.572322       0.000791
       1.684000       0.568334       0.000759
       1.692000       0.565459       0.000703
       1.700000       0.563891       0.000803
       1.708000       0.560708       0.000667
       1.716000       0.550353       0.000656
       1.724000       0.538650       0.000722
       1.732000       0.522798       0.000749
       1.740000       0.506231       0.000825
       1.748000       0.489001       0.000770
       1.756000       0.478119       0.000945
       1.764000       0.467133       0.000679
       1.772000       0.470830       0.000846
       1.780000       0.484653       0.000803
       1.788000       0.510534       0.000704
       1.796000       0.534473       0.000787
       1.805000       0.542645       0.000537
       1.815000       0.543586       0.000542
       1.825000       0.542335       0.000676
       1.835000       0.537325       0.000868
       1.845000       0.532820       0.000559
       1.855000       0.528447       0.000727
       1.865000       0.521810       0.000614
       1.875000       0.505355       0.000693
       1.885000       0.481013       0.000773
       1.895000       0.446900       0.000611
       1.905000       0.412219       0.000748
       1.915000       0.396713       0.000798
       1.925000       0.393398       0.000724
       1.935000       0.392550       0.000802
       1.945000       0.393309       0.000834
       1.955000       0.390777       0.000751
       1.965000       0.389902       0.000689
       1.975000       0.396037       0.000749
       1.985000       0.396184       0.000731
       1.995000       0.390597       0.000823
       2.005000       0.385837       0.000716
       2.015000       0.386075       0.000742
       2.025000       0.388286       0.000739
       2.035000       0.387562       0.000800
       2.045000       0.386684       0.000847
       2.055000       0.381912       0.000828
       2.065000       0.379924       0.000796
       2.075000       0.378596       0.000745
       2.085000       0.373398       0.000932
       2.095000       0.362428       0.000807
       2.105000       0.346194       0.000902
       2.115000       0.325825       0.000867
       2.125000       0.302711       0.000869
       2.135000       0.292883       0.000933
       2.145000       0.285495       0.000742
       2.155000       0.270726       0.000835
       2.165000       0.255909       0.000763
       2.175000       0.235492       0.000828
       2.185000       0.212402       0.000742
       2.195000       0.205287       0.001007
       2.205000       0.198842       0.000948
       2.215000       0.210916       0.001012
       2.225000       0.275574       0.001002
       2.235000       0.321431       0.001008
       2.245000       0.340260       0.001015
       2.255000       0.348904       0.001012
       2.265000       0.355006       0.001030
       2.275000       0.359911       0.001094
       2.285000       0.354397       0.001303
       2.295000       0.343466       0.001628
       2.305000       0.311589       0.001467
