USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kalun+kaol+gth mv2-ar3       W1R1Fb AREF
copy of splib05a r 8396                                     
       0.350000       0.113248       0.000000
       0.351000       0.113248       0.000000
       0.352000       0.113276       0.000000
       0.353000       0.113372       0.000000
       0.354000       0.113606       0.000000
       0.355000       0.114016       0.000000
       0.356000       0.114520       0.000000
       0.357000       0.115007       0.000000
       0.358000       0.115394       0.000000
       0.359000       0.115713       0.000000
       0.360000       0.116024       0.000000
       0.361000       0.116372       0.000000
       0.362000       0.116745       0.000000
       0.363000       0.117112       0.000000
       0.364000       0.117460       0.000000
       0.365000       0.117832       0.000000
       0.366000       0.118284       0.000000
       0.367000       0.118851       0.000000
       0.368000       0.119483       0.000000
       0.369000       0.120107       0.000000
       0.370000       0.120667       0.000000
       0.371000       0.121174       0.000000
       0.372000       0.121657       0.000000
       0.373000       0.122146       0.000000
       0.374000       0.122673       0.000000
       0.375000       0.123273       0.000000
       0.376000       0.123965       0.000000
       0.377000       0.124713       0.000000
       0.378000       0.125466       0.000000
       0.379000       0.126183       0.000000
       0.380000       0.126855       0.000000
       0.381000       0.127482       0.000000
       0.382000       0.128073       0.000000
       0.383000       0.128669       0.000000
       0.384000       0.129319       0.000000
       0.385000       0.130054       0.000000
       0.386000       0.130827       0.000000
       0.387000       0.131574       0.000000
       0.388000       0.132248       0.000000
       0.389000       0.132878       0.000000
       0.390000       0.133514       0.000000
       0.391000       0.134190       0.000000
       0.392000       0.134889       0.000000
       0.393000       0.135580       0.000000
       0.394000       0.136236       0.000000
       0.395000       0.136845       0.000000
       0.396000       0.137396       0.000000
       0.397000       0.137892       0.000000
       0.398000       0.138380       0.000000
       0.399000       0.138917       0.000000
       0.400000       0.139540       0.000000
       0.401000       0.140198       0.000000
       0.402000       0.140814       0.000000
       0.403000       0.141336       0.000000
       0.404000       0.141796       0.000000
       0.405000       0.142246       0.000000
       0.406000       0.142728       0.000000
       0.407000       0.143244       0.000000
       0.408000       0.143783       0.000000
       0.409000       0.144335       0.000000
       0.410000       0.144884       0.000000
       0.411000       0.145412       0.000000
       0.412000       0.145909       0.000000
       0.413000       0.146392       0.000000
       0.414000       0.146886       0.000000
       0.415000       0.147411       0.000000
       0.416000       0.147965       0.000000
       0.417000       0.148544       0.000000
       0.418000       0.149141       0.000000
       0.419000       0.149753       0.000000
       0.420000       0.150373       0.000000
       0.421000       0.150998       0.000000
       0.422000       0.151627       0.000000
       0.423000       0.152258       0.000000
       0.424000       0.152893       0.000000
       0.425000       0.153545       0.000000
       0.426000       0.154231       0.000000
       0.427000       0.154960       0.000000
       0.428000       0.155719       0.000000
       0.429000       0.156490       0.000000
       0.430000       0.157258       0.000000
       0.431000       0.158029       0.000000
       0.432000       0.158815       0.000000
       0.433000       0.159622       0.000000
       0.434000       0.160443       0.000000
       0.435000       0.161265       0.000000
       0.436000       0.162079       0.000000
       0.437000       0.162888       0.000000
       0.438000       0.163699       0.000000
       0.439000       0.164514       0.000000
       0.440000       0.165317       0.000000
       0.441000       0.166087       0.000000
       0.442000       0.166808       0.000000
       0.443000       0.167488       0.000000
       0.444000       0.168139       0.000000
       0.445000       0.168770       0.000000
       0.446000       0.169374       0.000000
       0.447000       0.169942       0.000000
       0.448000       0.170466       0.000000
       0.449000       0.170944       0.000000
       0.450000       0.171377       0.000000
       0.451000       0.171767       0.000000
       0.452000       0.172120       0.000000
       0.453000       0.172444       0.000000
       0.454000       0.172745       0.000000
       0.455000       0.173020       0.000000
       0.456000       0.173264       0.000000
       0.457000       0.173473       0.000000
       0.458000       0.173657       0.000000
       0.459000       0.173825       0.000000
       0.460000       0.173989       0.000000
       0.461000       0.174159       0.000000
       0.462000       0.174341       0.000000
       0.463000       0.174541       0.000000
       0.464000       0.174747       0.000000
       0.465000       0.174942       0.000000
       0.466000       0.175117       0.000000
       0.467000       0.175284       0.000000
       0.468000       0.175460       0.000000
       0.469000       0.175660       0.000000
       0.470000       0.175882       0.000000
       0.471000       0.176121       0.000000
       0.472000       0.176372       0.000000
       0.473000       0.176636       0.000000
       0.474000       0.176914       0.000000
       0.475000       0.177206       0.000000
       0.476000       0.177509       0.000000
       0.477000       0.177823       0.000000
       0.478000       0.178146       0.000000
       0.479000       0.178486       0.000000
       0.480000       0.178853       0.000000
       0.481000       0.179254       0.000000
       0.482000       0.179687       0.000000
       0.483000       0.180150       0.000000
       0.484000       0.180640       0.000000
       0.485000       0.181157       0.000000
       0.486000       0.181702       0.000000
       0.487000       0.182276       0.000000
       0.488000       0.182875       0.000000
       0.489000       0.183491       0.000000
       0.490000       0.184122       0.000000
       0.491000       0.184771       0.000000
       0.492000       0.185445       0.000000
       0.493000       0.186148       0.000000
       0.494000       0.186877       0.000000
       0.495000       0.187626       0.000000
       0.496000       0.188392       0.000000
       0.497000       0.189171       0.000000
       0.498000       0.189961       0.000000
       0.499000       0.190761       0.000000
       0.500000       0.191571       0.000000
       0.501000       0.192391       0.000000
       0.502000       0.193221       0.000000
       0.503000       0.194060       0.000000
       0.504000       0.194908       0.000000
       0.505000       0.195764       0.000000
       0.506000       0.196626       0.000000
       0.507000       0.197493       0.000000
       0.508000       0.198364       0.000000
       0.509000       0.199240       0.000000
       0.510000       0.200122       0.000000
       0.511000       0.201012       0.000000
       0.512000       0.201911       0.000000
       0.513000       0.202819       0.000000
       0.514000       0.203736       0.000000
       0.515000       0.204662       0.000000
       0.516000       0.205599       0.000000
       0.517000       0.206547       0.000000
       0.518000       0.207505       0.000000
       0.519000       0.208471       0.000000
       0.520000       0.209443       0.000000
       0.521000       0.210425       0.000000
       0.522000       0.211422       0.000000
       0.523000       0.212436       0.000000
       0.524000       0.213469       0.000000
       0.525000       0.214518       0.000000
       0.526000       0.215583       0.000000
       0.527000       0.216664       0.000000
       0.528000       0.217757       0.000000
       0.529000       0.218862       0.000000
       0.530000       0.219981       0.000000
       0.531000       0.221116       0.000000
       0.532000       0.222269       0.000000
       0.533000       0.223442       0.000000
       0.534000       0.224635       0.000000
       0.535000       0.225849       0.000000
       0.536000       0.227079       0.000000
       0.537000       0.228317       0.000000
       0.538000       0.229560       0.000000
       0.539000       0.230814       0.000000
       0.540000       0.232089       0.000000
       0.541000       0.233392       0.000000
       0.542000       0.234722       0.000000
       0.543000       0.236077       0.000000
       0.544000       0.237455       0.000000
       0.545000       0.238855       0.000000
       0.546000       0.240275       0.000000
       0.547000       0.241715       0.000000
       0.548000       0.243179       0.000000
       0.549000       0.244671       0.000000
       0.550000       0.246195       0.000000
       0.551000       0.247752       0.000000
       0.552000       0.249342       0.000000
       0.553000       0.250966       0.000000
       0.554000       0.252625       0.000000
       0.555000       0.254323       0.000000
       0.556000       0.256062       0.000000
       0.557000       0.257839       0.000000
       0.558000       0.259651       0.000000
       0.559000       0.261495       0.000000
       0.560000       0.263375       0.000000
       0.561000       0.265293       0.000000
       0.562000       0.267254       0.000000
       0.563000       0.269262       0.000000
       0.564000       0.271320       0.000000
       0.565000       0.273428       0.000000
       0.566000       0.275578       0.000000
       0.567000       0.277756       0.000000
       0.568000       0.279954       0.000000
       0.569000       0.282181       0.000000
       0.570000       0.284450       0.000000
       0.571000       0.286769       0.000000
       0.572000       0.289125       0.000000
       0.573000       0.291500       0.000000
       0.574000       0.293881       0.000000
       0.575000       0.296270       0.000000
       0.576000       0.298676       0.000000
       0.577000       0.301103       0.000000
       0.578000       0.303546       0.000000
       0.579000       0.305998       0.000000
       0.580000       0.308454       0.000000
       0.581000       0.310921       0.000000
       0.582000       0.313410       0.000000
       0.583000       0.315930       0.000000
       0.584000       0.318485       0.000000
       0.585000       0.321076       0.000000
       0.586000       0.323702       0.000000
       0.587000       0.326340       0.000000
       0.588000       0.328966       0.000000
       0.589000       0.331558       0.000000
       0.590000       0.334117       0.000000
       0.591000       0.336651       0.000000
       0.592000       0.339163       0.000000
       0.593000       0.341648       0.000000
       0.594000       0.344097       0.000000
       0.595000       0.346506       0.000000
       0.596000       0.348886       0.000000
       0.597000       0.351250       0.000000
       0.598000       0.353608       0.000000
       0.599000       0.355952       0.000000
       0.600000       0.358272       0.000000
       0.601000       0.360557       0.000000
       0.602000       0.362800       0.000000
       0.603000       0.364994       0.000000
       0.604000       0.367132       0.000000
       0.605000       0.369210       0.000000
       0.606000       0.371221       0.000000
       0.607000       0.373162       0.000000
       0.608000       0.375033       0.000000
       0.609000       0.376834       0.000000
       0.610000       0.378571       0.000000
       0.611000       0.380276       0.000000
       0.612000       0.381984       0.000000
       0.613000       0.383721       0.000000
       0.614000       0.385473       0.000000
       0.615000       0.387213       0.000000
       0.616000       0.388918       0.000000
       0.617000       0.390576       0.000000
       0.618000       0.392176       0.000000
       0.619000       0.393709       0.000000
       0.620000       0.395173       0.000000
       0.621000       0.396566       0.000000
       0.622000       0.397890       0.000000
       0.623000       0.399154       0.000000
       0.624000       0.400368       0.000000
       0.625000       0.401541       0.000000
       0.626000       0.402678       0.000000
       0.627000       0.403781       0.000000
       0.628000       0.404858       0.000000
       0.629000       0.405939       0.000000
       0.630000       0.407056       0.000000
       0.631000       0.408232       0.000000
       0.632000       0.409442       0.000000
       0.633000       0.410649       0.000000
       0.634000       0.411825       0.000000
       0.635000       0.412969       0.000000
       0.636000       0.414087       0.000000
       0.637000       0.415185       0.000000
       0.638000       0.416269       0.000000
       0.639000       0.417341       0.000000
       0.640000       0.418406       0.000000
       0.641000       0.419461       0.000000
       0.642000       0.420506       0.000000
       0.643000       0.421539       0.000000
       0.644000       0.422571       0.000000
       0.645000       0.423613       0.000000
       0.646000       0.424674       0.000000
       0.647000       0.425749       0.000000
       0.648000       0.426831       0.000000
       0.649000       0.427916       0.000000
       0.650000       0.429013       0.000000
       0.651000       0.430133       0.000000
       0.652000       0.431283       0.000000
       0.653000       0.432450       0.000000
       0.654000       0.433617       0.000000
       0.655000       0.434771       0.000000
       0.656000       0.435917       0.000000
       0.657000       0.437066       0.000000
       0.658000       0.438226       0.000000
       0.659000       0.439401       0.000000
       0.660000       0.440591       0.000000
       0.661000       0.441798       0.000000
       0.662000       0.443018       0.000000
       0.663000       0.444248       0.000000
       0.664000       0.445484       0.000000
       0.665000       0.446732       0.000000
       0.666000       0.447998       0.000000
       0.667000       0.449288       0.000000
       0.668000       0.450599       0.000000
       0.669000       0.451930       0.000000
       0.670000       0.453278       0.000000
       0.671000       0.454645       0.000000
       0.672000       0.456035       0.000000
       0.673000       0.457451       0.000000
       0.674000       0.458887       0.000000
       0.675000       0.460337       0.000000
       0.676000       0.461798       0.000000
       0.677000       0.463275       0.000000
       0.678000       0.464776       0.000000
       0.679000       0.466306       0.000000
       0.680000       0.467862       0.000000
       0.681000       0.469438       0.000000
       0.682000       0.471029       0.000000
       0.683000       0.472643       0.000000
       0.684000       0.474289       0.000000
       0.685000       0.475974       0.000000
       0.686000       0.477700       0.000000
       0.687000       0.479465       0.000000
       0.688000       0.481270       0.000000
       0.689000       0.483116       0.000000
       0.690000       0.485003       0.000000
       0.691000       0.486931       0.000000
       0.692000       0.488888       0.000000
       0.693000       0.490860       0.000000
       0.694000       0.492836       0.000000
       0.695000       0.494818       0.000000
       0.696000       0.496812       0.000000
       0.697000       0.498821       0.000000
       0.698000       0.500840       0.000000
       0.699000       0.502865       0.000000
       0.700000       0.504890       0.000000
       0.701000       0.506912       0.000000
       0.702000       0.508930       0.000000
       0.703000       0.510943       0.000000
       0.704000       0.512954       0.000000
       0.705000       0.514966       0.000000
       0.706000       0.516979       0.000000
       0.707000       0.518980       0.000000
       0.708000       0.520951       0.000000
       0.709000       0.522882       0.000000
       0.710000       0.524787       0.000000
       0.711000       0.526687       0.000000
       0.712000       0.528594       0.000000
       0.713000       0.530499       0.000000
       0.714000       0.532382       0.000000
       0.715000       0.534229       0.000000
       0.716000       0.536037       0.000000
       0.717000       0.537805       0.000000
       0.718000       0.539534       0.000000
       0.719000       0.541228       0.000000
       0.720000       0.542891       0.000000
       0.721000       0.544527       0.000000
       0.722000       0.546132       0.000000
       0.723000       0.547700       0.000000
       0.724000       0.549225       0.000000
       0.725000       0.550709       0.000000
       0.726000       0.552152       0.000000
       0.727000       0.553555       0.000000
       0.728000       0.554907       0.000000
       0.729000       0.556198       0.000000
       0.730000       0.557421       0.000000
       0.731000       0.558590       0.000000
       0.732000       0.559725       0.000000
       0.733000       0.560842       0.000000
       0.734000       0.561939       0.000000
       0.735000       0.563012       0.000000
       0.736000       0.564053       0.000000
       0.737000       0.565041       0.000000
       0.738000       0.565953       0.000000
       0.739000       0.566774       0.000000
       0.740000       0.567523       0.000000
       0.741000       0.568225       0.000000
       0.742000       0.568901       0.000000
       0.743000       0.569553       0.000000
       0.744000       0.570178       0.000000
       0.745000       0.570770       0.000000
       0.746000       0.571313       0.000000
       0.747000       0.571790       0.000000
       0.748000       0.572189       0.000000
       0.749000       0.572530       0.000000
       0.750000       0.572839       0.000000
       0.751000       0.573134       0.000000
       0.752000       0.573397       0.000000
       0.753000       0.573601       0.000000
       0.754000       0.573727       0.000000
       0.755000       0.573777       0.000000
       0.756000       0.573762       0.000000
       0.757000       0.573691       0.000000
       0.758000       0.573570       0.000000
       0.759000       0.573406       0.000000
       0.760000       0.573201       0.000000
       0.761000       0.572946       0.000000
       0.762000       0.572632       0.000000
       0.763000       0.572252       0.000000
       0.764000       0.571824       0.000000
       0.765000       0.571368       0.000000
       0.766000       0.570902       0.000000
       0.767000       0.570421       0.000000
       0.768000       0.569916       0.000000
       0.769000       0.569378       0.000000
       0.770000       0.568808       0.000000
       0.771000       0.568209       0.000000
       0.772000       0.567585       0.000000
       0.773000       0.566951       0.000000
       0.774000       0.566320       0.000000
       0.775000       0.565705       0.000000
       0.776000       0.565100       0.000000
       0.777000       0.564495       0.000000
       0.778000       0.563883       0.000000
       0.779000       0.563267       0.000000
       0.780000       0.562650       0.000000
       0.781000       0.562038       0.000000
       0.782000       0.561429       0.000000
       0.783000       0.560825       0.000000
       0.784000       0.560223       0.000000
       0.785000       0.559619       0.000000
       0.786000       0.559008       0.000000
       0.787000       0.558385       0.000000
       0.788000       0.557754       0.000000
       0.789000       0.557116       0.000000
       0.790000       0.556475       0.000000
       0.791000       0.555822       0.000000
       0.792000       0.555150       0.000000
       0.793000       0.554453       0.000000
       0.794000       0.553740       0.000000
       0.795000       0.553027       0.000000
       0.796000       0.552327       0.000000
       0.797000       0.551653       0.000000
       0.798000       0.551017       0.000000
       0.799000       0.550425       0.000000
       0.800000       0.549855       0.000000
       0.801000       0.549280       0.000000
       0.802000       0.548679       0.000000
       0.803000       0.548057       0.000000
       0.804000       0.547427       0.000000
       0.805000       0.546798       0.000000
