USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Blue_Efflorscnt_Min SU93-300 W1R1Bb AREF
copy of splib05a r 7513                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100       0.083530       0.000720
       0.305100       0.086855       0.000594
       0.309100       0.089937       0.000494
       0.313100       0.093197       0.000508
       0.317100       0.095690       0.001086
       0.321100       0.099042       0.000685
       0.325100       0.102123       0.000610
       0.329100       0.104379       0.000571
       0.333100       0.107311       0.000682
       0.337100       0.109795       0.000738
       0.341100       0.112395       0.000489
       0.345100       0.115098       0.000486
       0.349100       0.118472       0.000623
       0.353100       0.123229       0.000539
       0.357100       0.128233       0.000467
       0.360600       0.132192       0.000501
       0.363600       0.136759       0.000479
       0.366600       0.140904       0.000451
       0.369600       0.144958       0.000451
       0.372600       0.149273       0.000464
       0.375600       0.153295       0.000411
       0.378600       0.157718       0.000509
       0.381100       0.160906       0.000610
       0.383100       0.163975       0.000552
       0.385100       0.167028       0.000710
       0.387100       0.170266       0.000497
       0.389100       0.172705       0.000533
       0.391100       0.175199       0.000512
       0.393100       0.178339       0.000612
       0.395100       0.180963       0.000515
       0.397100       0.183796       0.000547
       0.399100       0.186068       0.000644
       0.401100       0.188829       0.000522
       0.403100       0.191559       0.000485
       0.405100       0.193110       0.000639
       0.407100       0.195599       0.000514
       0.409100       0.197959       0.000505
       0.411100       0.200289       0.000533
       0.412800       0.202075       0.000515
       0.415800       0.204958       0.000508
       0.418800       0.207196       0.000647
       0.421800       0.210462       0.000480
       0.424800       0.212377       0.000475
       0.427800       0.214539       0.000501
       0.430800       0.216261       0.000492
       0.433800       0.218350       0.000525
       0.436800       0.220635       0.000475
       0.439800       0.223216       0.000463
       0.442800       0.225133       0.000589
       0.445800       0.227021       0.000630
       0.448800       0.228863       0.001072
       0.451300       0.231592       0.000661
       0.453300       0.231947       0.000694
       0.455300       0.231765       0.000924
       0.457300       0.233222       0.000767
       0.459300       0.234800       0.001077
       0.461300       0.233829       0.000626
       0.463300       0.234711       0.000841
       0.465300       0.235168       0.000622
       0.467300       0.235800       0.000700
       0.469300       0.235563       0.000860
       0.471300       0.236652       0.000556
       0.473300       0.236566       0.000586
       0.475300       0.237087       0.000597
       0.477300       0.237329       0.000637
       0.479300       0.237723       0.000557
       0.481300       0.237822       0.000823
       0.483300       0.238083       0.000856
       0.485300       0.238186       0.000634
       0.487300       0.239961       0.000842
       0.489300       0.240035       0.000835
       0.491300       0.240511       0.000638
       0.493300       0.241865       0.000583
       0.495300       0.242597       0.000579
       0.497300       0.243713       0.000708
       0.499300       0.244484       0.000857
       0.501300       0.245423       0.000821
       0.503300       0.246659       0.000566
       0.505300       0.247761       0.000575
       0.507300       0.249112       0.000671
       0.509300       0.249721       0.000588
       0.511300       0.250270       0.000616
       0.513300       0.251645       0.000619
       0.515300       0.252765       0.000840
       0.517300       0.253018       0.000679
       0.519300       0.253798       0.000668
       0.521300       0.254605       0.000616
       0.523300       0.255227       0.000669
       0.525300       0.255583       0.001161
       0.527300       0.255664       0.000666
       0.529300       0.255407       0.000644
       0.531300       0.254474       0.000775
       0.533300       0.254391       0.000960
       0.535300       0.254752       0.000666
       0.537300       0.253650       0.000744
       0.539300       0.253158       0.000739
       0.541300       0.252632       0.000687
       0.543300       0.251556       0.000971
       0.545300       0.251535       0.000800
       0.547300       0.251291       0.000677
       0.549300       0.249534       0.000734
       0.551300       0.248617       0.000890
       0.553300       0.247617       0.000679
       0.555300       0.246797       0.000617
       0.557300       0.245740       0.000757
       0.559300       0.243382       0.000882
       0.561300       0.245181       0.000579
       0.563300       0.242641       0.000838
       0.565300       0.240953       0.000607
       0.567300       0.239972       0.000828
       0.569300       0.237210       0.000920
       0.571300       0.235473       0.000620
       0.573300       0.233241       0.000425
       0.575300       0.231653       0.000540
       0.577300       0.229361       0.000401
       0.579300       0.227004       0.000423
       0.581300       0.225470       0.000465
       0.583300       0.224245       0.000654
       0.585300       0.222435       0.000471
       0.587300       0.220871       0.000497
       0.589300       0.219383       0.000534
       0.591300       0.217825       0.000491
       0.593300       0.217174       0.000468
       0.595300       0.215333       0.000448
       0.597300       0.213833       0.000572
       0.599300       0.212511       0.001158
       0.601100       0.211052       0.000572
       0.602700       0.210468       0.000647
       0.604300       0.209211       0.000510
       0.605900       0.208091       0.000531
       0.607500       0.206744       0.000661
       0.609100       0.206016       0.000404
       0.610700       0.204263       0.000400
       0.612300       0.203168       0.000553
       0.613900       0.201550       0.000459
       0.615500       0.199570       0.000418
       0.617100       0.198431       0.000587
       0.618700       0.195931       0.000428
       0.620300       0.194473       0.000436
       0.621900       0.192584       0.000441
       0.623500       0.190285       0.000407
       0.625100       0.188754       0.000575
       0.626700       0.187217       0.000450
       0.628300       0.185188       0.000447
       0.629900       0.183177       0.000646
       0.631700       0.181504       0.000844
       0.633700       0.178783       0.000607
       0.635700       0.176076       0.000633
       0.637700       0.173956       0.000650
       0.639700       0.171390       0.000506
       0.641700       0.169726       0.000466
       0.643700       0.166985       0.000432
       0.645700       0.165662       0.000579
       0.647700       0.162891       0.000522
       0.649700       0.160997       0.000409
       0.651700       0.159233       0.000563
       0.653700       0.156976       0.000496
       0.655700       0.155268       0.000480
       0.657700       0.153382       0.000641
       0.659700       0.151179       0.000513
       0.661700       0.149944       0.000465
       0.663700       0.147618       0.000474
       0.665700       0.145902       0.000500
       0.667700       0.144461       0.000433
       0.670200       0.142560       0.000645
       0.673200       0.140088       0.000626
       0.676200       0.137212       0.000457
       0.679200       0.135131       0.000428
       0.682200       0.133047       0.000564
       0.685200       0.130868       0.000436
       0.688200       0.128928       0.000559
       0.691200       0.127221       0.000454
       0.694200       0.125806       0.000412
       0.697200       0.123834       0.000489
       0.700200       0.121373       0.000414
       0.702000       0.120017       0.000636
       0.704000       0.119087       0.000624
       0.706000       0.118263       0.000659
       0.708000       0.117638       0.000516
       0.710000       0.116740       0.000413
       0.712000       0.116113       0.000401
       0.714000       0.115399       0.000422
       0.716000       0.114334       0.000434
       0.718000       0.113720       0.000426
       0.720000       0.113591       0.000430
       0.722000       0.112359       0.000448
       0.724000       0.111961       0.000626
       0.726000       0.111284       0.000474
       0.728000       0.110782       0.000682
       0.730000       0.110116       0.000475
       0.732000       0.109981       0.000545
       0.734000       0.109534       0.000755
       0.736000       0.108767       0.000503
       0.738000       0.109151       0.000756
       0.740000       0.107552       0.000529
       0.742000       0.107804       0.000742
       0.744000       0.107459       0.000569
       0.746000       0.107228       0.000605
       0.748000       0.106860       0.000453
       0.750500       0.106557       0.000476
       0.753500       0.106804       0.000426
       0.756500       0.106945       0.000652
       0.759500       0.105714       0.000481
       0.762500       0.105364       0.000585
       0.765500       0.106277       0.000517
       0.768500       0.105451       0.000540
       0.771500       0.105571       0.000609
       0.774500       0.105765       0.000655
       0.777500       0.105648       0.000518
       0.781000       0.106061       0.000494
       0.785000       0.106282       0.000546
       0.789000       0.106688       0.000666
       0.793000       0.107468       0.000558
       0.797000       0.106792       0.000496
       0.801500       0.107466       0.000463
       0.806500       0.107468       0.000546
       0.811500       0.107828       0.000652
       0.816500       0.108600       0.000828
       0.822000       0.109000       0.000590
       0.828000       0.109740       0.000743
       0.835000       0.109890       0.000597
       0.843000       0.110900       0.000654
       0.851000       0.111300       0.001343
       0.859000       0.111661       0.001330
       0.871000       0.113138       0.001083
       0.883000       0.114372       0.001065
       0.894000       0.114300       0.000841
       0.904000       0.114350       0.000650
       0.914000       0.114891       0.000690
       0.924000       0.115754       0.000655
       0.933000       0.116876       0.000673
       0.941000       0.117809       0.000691
       0.949000       0.116355       0.000821
       0.957000       0.116850       0.000857
       0.964000       0.119522       0.000974
       0.970000       0.119799       0.000708
       0.976000       0.119195       0.000772
       0.982000       0.122009       0.000711
       0.988000       0.121149       0.000745
       0.994000       0.122610       0.000652
       1.000000       0.122354       0.000669
       1.006000       0.124591       0.000681
       1.012000       0.125117       0.000708
       1.018000       0.125388       0.000818
       1.023500       0.127401       0.000685
       1.028500       0.126408       0.000685
       1.033500       0.128489       0.000746
       1.038500       0.129834       0.000777
       1.043500       0.129986       0.000613
       1.048500       0.131135       0.000758
       1.053500       0.132328       0.000685
       1.058500       0.133285       0.000704
       1.063500       0.133079       0.000563
       1.068500       0.133533       0.000618
       1.073500       0.134655       0.000815
       1.078500       0.136194       0.000572
       1.083500       0.137364       0.000689
       1.088500       0.137834       0.000623
       1.093500       0.139365       0.000598
       1.098500       0.138796       0.000607
       1.103500       0.140520       0.000702
       1.108500       0.141463       0.000566
       1.113500       0.141494       0.000644
       1.118500       0.143548       0.000592
       1.123500       0.143919       0.000524
       1.128500       0.144273       0.000585
       1.133500       0.145004       0.000584
       1.138500       0.145815       0.000601
       1.143500       0.146886       0.000547
       1.148500       0.147966       0.000581
       1.153500       0.148527       0.000600
       1.158500       0.149169       0.000629
       1.163500       0.149620       0.000590
       1.168500       0.150665       0.000644
       1.173500       0.151740       0.000520
       1.178500       0.152431       0.000596
       1.183500       0.152239       0.000799
       1.188500       0.154899       0.000600
       1.193500       0.155117       0.000732
       1.198500       0.155345       0.000602
       1.203500       0.156559       0.000575
       1.208500       0.157492       0.000614
       1.213500       0.158641       0.000516
       1.218500       0.159433       0.000639
       1.223500       0.160062       0.000512
       1.228500       0.160918       0.000714
       1.233500       0.161703       0.000586
       1.238500       0.162727       0.000495
       1.243500       0.164348       0.000555
       1.248500       0.164971       0.000578
       1.253500       0.166547       0.000635
       1.258500       0.166716       0.000594
       1.263500       0.167487       0.000708
       1.268500       0.168378       0.000457
       1.273500       0.169399       0.000639
       1.278500       0.170544       0.000633
       1.283500       0.171745       0.000571
       1.288500       0.172813       0.000527
       1.293500       0.172871       0.000517
       1.298500       0.173522       0.000580
       1.303500       0.173924       0.000505
       1.308500       0.175268       0.000513
       1.313500       0.176247       0.000603
       1.318500       0.176836       0.000500
       1.323500       0.177837       0.000629
       1.328500       0.178472       0.000502
       1.333500       0.179703       0.000557
       1.338500       0.179599       0.000580
       1.343500       0.181561       0.000607
       1.348500       0.180554       0.000592
       1.353500       0.181004       0.000628
       1.358500       0.181451       0.000681
       1.363500       0.181130       0.000608
       1.368500       0.183100       0.000579
       1.373500       0.183487       0.000773
       1.378500       0.183349       0.000629
       1.383500       0.182710       0.000783
       1.388500       0.183285       0.000757
       1.393500       0.181275       0.000712
       1.398500       0.179914       0.000516
       1.403500       0.179163       0.000829
       1.408500       0.177784       0.000790
       1.413500       0.175111       0.000835
       1.418500       0.175851       0.000742
       1.423500       0.178322       0.000455
       1.428500       0.177695       0.000681
       1.433500       0.176570       0.000536
       1.438500       0.174001       0.000673
       1.443500       0.171450       0.000829
       1.448500       0.168655       0.000762
       1.453500       0.166432       0.000749
       1.458500       0.163004       0.000794
       1.463500       0.160193       0.000774
       1.468500       0.159897       0.000774
       1.473500       0.158365       0.000595
       1.478500       0.156294       0.000835
       1.483500       0.156104       0.000741
       1.488500       0.155572       0.000737
       1.493500       0.152939       0.000827
       1.498500       0.153419       0.000857
       1.503500       0.151519       0.000759
       1.508500       0.150479       0.000974
       1.513500       0.150673       0.000973
       1.518500       0.149302       0.000977
       1.523500       0.149447       0.000960
       1.528500       0.150851       0.000876
       1.534000       0.150257       0.000766
       1.540000       0.150397       0.000706
       1.546000       0.150480       0.000695
       1.552000       0.152354       0.000650
       1.558000       0.152419       0.000591
       1.564000       0.151663       0.000756
       1.570500       0.150857       0.000504
       1.577500       0.151240       0.000664
       1.584500       0.150707       0.000531
       1.591500       0.150415       0.000553
       1.598500       0.149854       0.000646
       1.605500       0.148713       0.000563
       1.612500       0.147197       0.000615
       1.619500       0.148034       0.000573
       1.626500       0.145770       0.000716
       1.633500       0.144750       0.000594
       1.640500       0.143684       0.000662
       1.647500       0.142276       0.000662
       1.654500       0.139825       0.000738
       1.661500       0.139663       0.000749
       1.668500       0.140636       0.000820
       1.676000       0.137635       0.000462
       1.684000       0.137145       0.000877
       1.692000       0.137026       0.000862
       1.700000       0.139020       0.000979
       1.708000       0.137844       0.000831
       1.716000       0.138755       0.000752
       1.724000       0.137537       0.000781
       1.732000       0.139411       0.000951
       1.740000       0.137710       0.001189
       1.748000       0.143443       0.001202
       1.756000       0.141789       0.001327
       1.764000       0.143759       0.000804
       1.772000       0.143876       0.000768
       1.780000       0.145066       0.001025
       1.788000       0.146589       0.001008
       1.796000       0.145288       0.000571
       1.805000       0.145610       0.000684
       1.815000       0.147539       0.000730
       1.825000       0.147447       0.000624
       1.835000       0.148102       0.000840
       1.845000       0.147831       0.000954
       1.855000       0.149732       0.000848
       1.865000       0.147611       0.000790
       1.875000       0.145928       0.000821
       1.885000       0.142389       0.000636
       1.895000       0.135937       0.000821
       1.905000       0.126795       0.000898
       1.915000       0.116924       0.000705
       1.925000       0.105897       0.000854
       1.935000       0.096281       0.000934
       1.945000       0.087303       0.000987
       1.955000       0.085328       0.000915
       1.965000       0.083514       0.001284
       1.975000       0.082777       0.000901
       1.985000       0.081462       0.000874
       1.995000       0.081241       0.001174
       2.005000       0.081322       0.001019
       2.015000       0.079509       0.001099
       2.025000       0.082067       0.001019
       2.035000       0.081241       0.001304
       2.045000       0.082187       0.001257
       2.055000       0.084290       0.001281
       2.065000       0.084976       0.001128
       2.075000       0.087796       0.001279
       2.085000       0.092765       0.001290
       2.095000       0.096793       0.001244
       2.105000       0.100891       0.001267
       2.115000       0.102756       0.001279
       2.125000       0.109695       0.001293
       2.135000       0.112012       0.001293
       2.145000       0.113507       0.001271
       2.155000       0.114832       0.001295
       2.165000       0.117091       0.001298
       2.175000       0.116736       0.001056
       2.185000       0.117347       0.001289
       2.195000       0.119254       0.001296
       2.205000       0.116325       0.001315
       2.215000       0.116196       0.001306
       2.225000       0.120700       0.001316
       2.235000       0.124416       0.001318
       2.245000       0.122904       0.001320
       2.255000       0.120869       0.001319
       2.265000       0.119705       0.001343
       2.275000       0.120372       0.001449
       2.285000       0.111823       0.001901
       2.295000       0.114563       0.002699
       2.305000       0.105853       0.002700
       2.315000       0.100700       0.001813
       2.325000       0.096628       0.001321
