USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Calcite.80wt+Kaol_CM9 GDS213 W1R1Ba AREF
copy of splib05a r 7752                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600      -1.23e34       -1.23e34 
       0.268600      -1.23e34       -1.23e34 
       0.273100      -1.23e34       -1.23e34 
       0.277100      -1.23e34       -1.23e34 
       0.281100      -1.23e34       -1.23e34 
       0.285100      -1.23e34       -1.23e34 
       0.289100      -1.23e34       -1.23e34 
       0.293100      -1.23e34       -1.23e34 
       0.297100      -1.23e34       -1.23e34 
       0.301100      -1.23e34       -1.23e34 
       0.305100      -1.23e34       -1.23e34 
       0.309100      -1.23e34       -1.23e34 
       0.313100      -1.23e34       -1.23e34 
       0.317100      -1.23e34       -1.23e34 
       0.321100      -1.23e34       -1.23e34 
       0.325100      -1.23e34       -1.23e34 
       0.329100      -1.23e34       -1.23e34 
       0.333100      -1.23e34       -1.23e34 
       0.337100      -1.23e34       -1.23e34 
       0.341100      -1.23e34       -1.23e34 
       0.345100      -1.23e34       -1.23e34 
       0.349100      -1.23e34       -1.23e34 
       0.353100      -1.23e34       -1.23e34 
       0.357100      -1.23e34       -1.23e34 
       0.360600      -1.23e34       -1.23e34 
       0.363600      -1.23e34       -1.23e34 
       0.366600      -1.23e34       -1.23e34 
       0.369600      -1.23e34       -1.23e34 
       0.372600      -1.23e34       -1.23e34 
       0.375600      -1.23e34       -1.23e34 
       0.378600      -1.23e34       -1.23e34 
       0.381100      -1.23e34       -1.23e34 
       0.383100      -1.23e34       -1.23e34 
       0.385100      -1.23e34       -1.23e34 
       0.387100      -1.23e34       -1.23e34 
       0.389100      -1.23e34       -1.23e34 
       0.391100      -1.23e34       -1.23e34 
       0.393100      -1.23e34       -1.23e34 
       0.395100      -1.23e34       -1.23e34 
       0.397100      -1.23e34       -1.23e34 
       0.399100      -1.23e34       -1.23e34 
       0.401100      -1.23e34       -1.23e34 
       0.403100      -1.23e34       -1.23e34 
       0.405100      -1.23e34       -1.23e34 
       0.407100      -1.23e34       -1.23e34 
       0.409100      -1.23e34       -1.23e34 
       0.411100      -1.23e34       -1.23e34 
       0.412800      -1.23e34       -1.23e34 
       0.415800      -1.23e34       -1.23e34 
       0.418800      -1.23e34       -1.23e34 
       0.421800      -1.23e34       -1.23e34 
       0.424800      -1.23e34       -1.23e34 
       0.427800      -1.23e34       -1.23e34 
       0.430800      -1.23e34       -1.23e34 
       0.433800      -1.23e34       -1.23e34 
       0.436800      -1.23e34       -1.23e34 
       0.439800      -1.23e34       -1.23e34 
       0.442800      -1.23e34       -1.23e34 
       0.445800      -1.23e34       -1.23e34 
       0.448800      -1.23e34       -1.23e34 
       0.451300      -1.23e34       -1.23e34 
       0.453300      -1.23e34       -1.23e34 
       0.455300      -1.23e34       -1.23e34 
       0.457300      -1.23e34       -1.23e34 
       0.459300      -1.23e34       -1.23e34 
       0.461300      -1.23e34       -1.23e34 
       0.463300      -1.23e34       -1.23e34 
       0.465300      -1.23e34       -1.23e34 
       0.467300      -1.23e34       -1.23e34 
       0.469300      -1.23e34       -1.23e34 
       0.471300      -1.23e34       -1.23e34 
       0.473300      -1.23e34       -1.23e34 
       0.475300      -1.23e34       -1.23e34 
       0.477300      -1.23e34       -1.23e34 
       0.479300      -1.23e34       -1.23e34 
       0.481300      -1.23e34       -1.23e34 
       0.483300      -1.23e34       -1.23e34 
       0.485300      -1.23e34       -1.23e34 
       0.487300      -1.23e34       -1.23e34 
       0.489300      -1.23e34       -1.23e34 
       0.491300      -1.23e34       -1.23e34 
       0.493300      -1.23e34       -1.23e34 
       0.495300      -1.23e34       -1.23e34 
       0.497300      -1.23e34       -1.23e34 
       0.499300      -1.23e34       -1.23e34 
       0.501300      -1.23e34       -1.23e34 
       0.503300      -1.23e34       -1.23e34 
       0.505300      -1.23e34       -1.23e34 
       0.507300      -1.23e34       -1.23e34 
       0.509300      -1.23e34       -1.23e34 
       0.511300      -1.23e34       -1.23e34 
       0.513300       0.852821       0.000000
       0.515300       0.855654       0.000000
       0.517300       0.855744       0.000000
       0.519300       0.855997       0.000000
       0.521300       0.857174       0.000000
       0.523300       0.859038       0.000000
       0.525300       0.859997       0.000000
       0.527300       0.859913       0.000000
       0.529300       0.861782       0.000000
       0.531300       0.863038       0.000000
       0.533300       0.862740       0.000000
       0.535300       0.863898       0.000000
       0.537300       0.865020       0.000000
       0.539300       0.865622       0.000000
       0.541300       0.867113       0.000000
       0.543300       0.867031       0.000000
       0.545300       0.867032       0.000000
       0.547300       0.869932       0.000000
       0.549300       0.869392       0.000000
       0.551300       0.868728       0.000000
       0.553300       0.871027       0.000000
       0.555300       0.870946       0.000000
       0.557300       0.871547       0.000000
       0.559300       0.871487       0.000000
       0.561300       0.869170       0.000000
       0.563300       0.870367       0.000000
       0.565300       0.870922       0.000000
       0.567300       0.871425       0.000000
       0.569300       0.871145       0.000000
       0.571300       0.873279       0.000000
       0.573300       0.872726       0.000000
       0.575300       0.873518       0.000000
       0.577300       0.873123       0.000000
       0.579300       0.874743       0.000000
       0.581300       0.874849       0.000000
       0.583300       0.875532       0.000000
       0.585300       0.875713       0.000000
       0.587300       0.875914       0.000000
       0.589300       0.876209       0.000000
       0.591300       0.875461       0.000000
       0.593300       0.876546       0.000000
       0.595300       0.876844       0.000000
       0.597300       0.875882       0.000000
       0.599300       0.875349       0.000000
       0.601100       0.876128       0.000000
       0.602700       0.876717       0.000000
       0.604300       0.876440       0.000000
       0.605900       0.876632       0.000000
       0.607500       0.876009       0.000000
       0.609100       0.877300       0.000000
       0.610700       0.877987       0.000000
       0.612300       0.877352       0.000000
       0.613900       0.877544       0.000000
       0.615500       0.878211       0.000000
       0.617100       0.878128       0.000000
       0.618700       0.878812       0.000000
       0.620300       0.878346       0.000000
       0.621900       0.878728       0.000000
       0.623500       0.878356       0.000000
       0.625100       0.878583       0.000000
       0.626700       0.880075       0.000000
       0.628300       0.879630       0.000000
       0.629900       0.879257       0.000000
       0.631700       0.879997       0.000000
       0.633700       0.880016       0.000000
       0.635700       0.880882       0.000000
       0.637700       0.881235       0.000000
       0.639700       0.881075       0.000000
       0.641700       0.880978       0.000000
       0.643700       0.881652       0.000000
       0.645700       0.881461       0.000000
       0.647700       0.882408       0.000000
       0.649700       0.882322       0.000000
       0.651700       0.882689       0.000000
       0.653700       0.882888       0.000000
       0.655700       0.882903       0.000000
       0.657700       0.882897       0.000000
       0.659700       0.883356       0.000000
       0.661700       0.883808       0.000000
       0.663700       0.884193       0.000000
       0.665700       0.885128       0.000000
       0.667700       0.884197       0.000000
       0.670200       0.884585       0.000000
       0.673200       0.885784       0.000000
       0.676200       0.885771       0.000000
       0.679200       0.885221       0.000000
       0.682200       0.886792       0.000000
       0.685200       0.885961       0.000000
       0.688200       0.885977       0.000000
       0.691200       0.887345       0.000000
       0.694200       0.888082       0.000000
       0.697200       0.887154       0.000000
       0.700200       0.891685       0.000000
       0.702000       0.891499       0.000000
       0.704000       0.891605       0.000000
       0.706000       0.891796       0.000000
       0.708000       0.891862       0.000000
       0.710000       0.892068       0.000000
       0.712000       0.892794       0.000000
       0.714000       0.893356       0.000000
       0.716000       0.893170       0.000000
       0.718000       0.892801       0.000000
       0.720000       0.893344       0.000000
       0.722000       0.893150       0.000000
       0.724000       0.894200       0.000000
       0.726000       0.894098       0.000000
       0.728000       0.893344       0.000000
       0.730000       0.894016       0.000000
       0.732000       0.894950       0.000000
       0.734000       0.895419       0.000000
       0.736000       0.895508       0.000000
       0.738000       0.894773       0.000000
       0.740000       0.894854       0.000000
       0.742000       0.895991       0.000000
       0.744000       0.895515       0.000000
       0.746000       0.895428       0.000000
       0.748000       0.897590       0.000000
       0.750500       0.897219       0.000000
       0.753500       0.897312       0.000000
       0.756500       0.897693       0.000000
       0.759500       0.899497       0.000000
       0.762500       0.899123       0.000000
       0.765500       0.899040       0.000000
       0.768500       0.899517       0.000000
       0.771500       0.900481       0.000000
       0.774500       0.900589       0.000000
       0.777500       0.900871       0.000000
       0.781000       0.902234       0.000000
       0.785000       0.902539       0.000000
       0.789000       0.902161       0.000000
       0.793000       0.904102       0.000000
       0.797000       0.903913       0.000000
       0.801500       0.905294       0.000000
       0.806500       0.905116       0.000000
       0.811500       0.904860       0.000000
       0.816500       0.905859       0.000000
       0.822000       0.906586       0.000000
       0.828000       0.908087       0.000000
       0.835000       0.908841       0.000000
       0.843000       0.907903       0.000000
       0.851000       0.909510       0.000000
       0.859000       0.906200       0.000000
       0.871000       0.905304       0.000000
       0.883000       0.907411       0.000000
       0.894000       0.905250       0.000000
       0.904000       0.904919       0.000000
       0.914000       0.903268       0.000000
       0.924000       0.900621       0.000000
       0.933000       0.902005       0.000000
       0.941000       0.904021       0.000000
       0.949000       0.897934       0.000000
       0.957000       0.894914       0.000000
       0.964000       0.895217       0.000000
       0.970000       0.897236       0.000000
       0.976000       0.905990       0.000000
       0.982000       0.907893       0.000000
       0.988000       0.908198       0.000000
       0.994000       0.908071       0.000000
       1.000000       0.908087       0.000000
       1.006000       0.907592       0.000000
       1.012000       0.906704       0.000000
       1.018000       0.907127       0.000000
       1.023500       0.909358       0.000000
       1.028500       0.909925       0.000000
       1.033500       0.909173       0.000000
       1.038500       0.907279       0.000000
       1.043500       0.908183       0.000000
       1.048500       0.906367       0.000000
       1.053500       0.907872       0.000000
       1.058500       0.910360       0.000000
       1.063500       0.909558       0.000000
       1.068500       0.909339       0.000000
       1.073500       0.908146       0.000000
       1.078500       0.910212       0.000000
       1.083500       0.909871       0.000000
       1.088500       0.909650       0.000000
       1.093500       0.909154       0.000000
       1.098500       0.911252       0.000000
       1.103500       0.910891       0.000000
       1.108500       0.910330       0.000000
       1.113500       0.912647       0.000000
       1.118500       0.910571       0.000000
       1.123500       0.909605       0.000000
       1.128500       0.911661       0.000000
       1.133500       0.911056       0.000000
       1.138500       0.911743       0.000000
       1.143500       0.910639       0.000000
       1.148500       0.912774       0.000000
       1.153500       0.911298       0.000000
       1.158500       0.910845       0.000000
       1.163500       0.910222       0.000000
       1.168500       0.912127       0.000000
       1.173500       0.910635       0.000000
       1.178500       0.911110       0.000000
       1.183500       0.911890       0.000000
       1.188500       0.912166       0.000000
       1.193500       0.912478       0.000000
       1.198500       0.911923       0.000000
       1.203500       0.912604       0.000000
       1.208500       0.910794       0.000000
       1.213500       0.911247       0.000000
       1.218500       0.911405       0.000000
       1.223500       0.910038       0.000000
       1.228500       0.906010       0.000000
       1.233500       0.903920       0.000000
       1.238500       0.902180       0.000000
       1.243500       0.902401       0.000000
       1.248500       0.905245       0.000000
       1.253500       0.906780       0.000000
       1.258500       0.908927       0.000000
       1.263500       0.908408       0.000000
       1.268500       0.909885       0.000000
       1.273500       0.908524       0.000000
       1.278500       0.907197       0.000000
       1.283500       0.903407       0.000000
       1.288500       0.898676       0.000000
       1.293500       0.894406       0.000000
       1.298500       0.889639       0.000000
       1.303500       0.885272       0.000000
       1.308500       0.881058       0.000000
       1.313500       0.881128       0.000000
       1.318500       0.878998       0.000000
       1.323500       0.875149       0.000000
       1.328500       0.872598       0.000000
       1.333500       0.870314       0.000000
       1.338500       0.869891       0.000000
       1.343500       0.869209       0.000000
       1.348500       0.862730       0.000000
       1.353500       0.839761       0.000000
       1.358500       0.831847       0.000000
       1.363500       0.836207       0.000000
       1.368500       0.840792       0.000000
       1.373500       0.835679       0.000000
       1.378500       0.821798       0.000000
       1.383500       0.800301       0.000000
       1.388500       0.766580       0.000000
       1.393500       0.720681       0.000000
       1.398500       0.714536       0.000000
       1.403500       0.728593       0.000000
       1.408500       0.750667       0.000000
       1.413500       0.707703       0.000000
       1.418500       0.752189       0.000000
       1.423500       0.846716       0.000000
       1.428500       0.867784       0.000000
       1.433500       0.881004       0.000000
       1.438500       0.889195       0.000000
       1.443500       0.893591       0.000000
       1.448500       0.895439       0.000000
       1.453500       0.898358       0.000000
       1.458500       0.900976       0.000000
       1.463500       0.902371       0.000000
       1.468500       0.903784       0.000000
       1.473500       0.905641       0.000000
       1.478500       0.909844       0.000000
       1.483500       0.909661       0.000000
       1.488500       0.907633       0.000000
       1.493500       0.911792       0.000000
       1.498500       0.911677       0.000000
       1.503500       0.913569       0.000000
       1.508500       0.914673       0.000000
       1.513500       0.915008       0.000000
       1.518500       0.916757       0.000000
       1.523500       0.915990       0.000000
       1.528500       0.919729       0.000000
       1.534000       0.917798       0.000000
       1.540000       0.918416       0.000000
       1.546000       0.918504       0.000000
       1.552000       0.919338       0.000000
       1.558000       0.919064       0.000000
       1.564000       0.920775       0.000000
       1.570500       0.919092       0.000000
       1.577500       0.919585       0.000000
       1.584500       0.921644       0.000000
       1.591500       0.921493       0.000000
       1.598500       0.923895       0.000000
       1.605500       0.923927       0.000000
       1.612500       0.921748       0.000000
       1.619500       0.922724       0.000000
       1.626500       0.921997       0.000000
       1.633500       0.920456       0.000000
       1.640500       0.922320       0.000000
       1.647500       0.919603       0.000000
       1.654500       0.921685       0.000000
       1.661500       0.918762       0.000000
       1.668500       0.919005       0.000000
       1.676000       0.916713       0.000000
       1.684000       0.918426       0.000000
       1.692000       0.916615       0.000000
       1.700000       0.918577       0.000000
       1.708000       0.917025       0.000000
       1.716000       0.911340       0.000000
       1.724000       0.910484       0.000000
       1.732000       0.906171       0.000000
       1.740000       0.911505       0.000000
       1.748000       0.906506       0.000000
       1.756000       0.903098       0.000000
       1.764000       0.903873       0.000000
       1.772000       0.899489       0.000000
       1.780000       0.899816       0.000000
       1.788000       0.894431       0.000000
       1.796000       0.891304       0.000000
       1.805000       0.886099       0.000000
       1.815000       0.879935       0.000000
       1.825000       0.878730       0.000000
       1.835000       0.881235       0.000000
       1.845000       0.874448       0.000000
       1.855000       0.881284       0.000000
       1.865000       0.874635       0.000000
       1.875000       0.856935       0.000000
       1.885000       0.853290       0.000000
       1.895000       0.850234       0.000000
       1.905000       0.838091       0.000000
       1.915000       0.833469       0.000000
       1.925000       0.834083       0.000000
       1.935000       0.832453       0.000000
       1.945000       0.834442       0.000000
       1.955000       0.834477       0.000000
       1.965000       0.834959       0.000000
       1.975000       0.833882       0.000000
       1.985000       0.832283       0.000000
       1.995000       0.829876       0.000000
       2.005000       0.834159       0.000000
       2.015000       0.838958       0.000000
       2.025000       0.842405       0.000000
