USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Chlorite_Phyllite CU91-238A  W1R1Bb AREF
copy of splib05a r 7987                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600      -1.23e34       -1.23e34 
       0.268600      -1.23e34       -1.23e34 
       0.273100      -1.23e34       -1.23e34 
       0.277100      -1.23e34       -1.23e34 
       0.281100      -1.23e34       -1.23e34 
       0.285100      -1.23e34       -1.23e34 
       0.289100      -1.23e34       -1.23e34 
       0.293100      -1.23e34       -1.23e34 
       0.297100      -1.23e34       -1.23e34 
       0.301100       0.069978       0.000000
       0.305100       0.071667       0.000000
       0.309100       0.072918       0.000000
       0.313100       0.073156       0.000000
       0.317100       0.074135       0.000000
       0.321100       0.075066       0.000000
       0.325100       0.075821       0.000000
       0.329100       0.075631       0.000000
       0.333100       0.076188       0.000000
       0.337100       0.076379       0.000000
       0.341100       0.076863       0.000000
       0.345100       0.076907       0.000000
       0.349100       0.077395       0.000000
       0.353100       0.077543       0.000000
       0.357100       0.077918       0.000000
       0.360600       0.077704       0.000000
       0.363600       0.078462       0.000000
       0.366600       0.078401       0.000000
       0.369600       0.079283       0.000000
       0.372600       0.079521       0.000000
       0.375600       0.079918       0.000000
       0.378600       0.080498       0.000000
       0.381100       0.080939       0.000000
       0.383100       0.081357       0.000000
       0.385100       0.081645       0.000000
       0.387100       0.082141       0.000000
       0.389100       0.082029       0.000000
       0.391100       0.083296       0.000000
       0.393100       0.083095       0.000000
       0.395100       0.083723       0.000000
       0.397100       0.083724       0.000000
       0.399100       0.083958       0.000000
       0.401100       0.084526       0.000000
       0.403100       0.084910       0.000000
       0.405100       0.085115       0.000000
       0.407100       0.085635       0.000000
       0.409100       0.085580       0.000000
       0.411100       0.086706       0.000000
       0.412800       0.086740       0.000000
       0.415800       0.086825       0.000000
       0.418800       0.087123       0.000000
       0.421800       0.087961       0.000000
       0.424800       0.088759       0.000000
       0.427800       0.089524       0.000000
       0.430800       0.090097       0.000000
       0.433800       0.091391       0.000000
       0.436800       0.091971       0.000000
       0.439800       0.092866       0.000000
       0.442800       0.093616       0.000000
       0.445800       0.094195       0.000000
       0.448800       0.095143       0.000000
       0.451300       0.095607       0.000000
       0.453300       0.095718       0.000000
       0.455300       0.096487       0.000000
       0.457300       0.096440       0.000000
       0.459300       0.096248       0.000000
       0.461300       0.096516       0.000000
       0.463300       0.096623       0.000000
       0.465300       0.097009       0.000000
       0.467300       0.097284       0.000000
       0.469300       0.097112       0.000000
       0.471300       0.098004       0.000000
       0.473300       0.097642       0.000000
       0.475300       0.097602       0.000000
       0.477300       0.098432       0.000000
       0.479300       0.098010       0.000000
       0.481300       0.098815       0.000000
       0.483300       0.098802       0.000000
       0.485300       0.099934       0.000000
       0.487300       0.100121       0.000000
       0.489300       0.099904       0.000000
       0.491300       0.100509       0.000000
       0.493300       0.101622       0.000000
       0.495300       0.101531       0.000000
       0.497300       0.102460       0.000000
       0.499300       0.103524       0.000000
       0.501300       0.103282       0.000000
       0.503300       0.104903       0.000000
       0.505300       0.104751       0.000000
       0.507300       0.106019       0.000000
       0.509300       0.106352       0.000000
       0.511300       0.107315       0.000000
       0.513300       0.107849       0.000000
       0.515300       0.108159       0.000000
       0.517300       0.108954       0.000000
       0.519300       0.109955       0.000000
       0.521300       0.111085       0.000000
       0.523300       0.111091       0.000000
       0.525300       0.112412       0.000000
       0.527300       0.113217       0.000000
       0.529300       0.114261       0.000000
       0.531300       0.114374       0.000000
       0.533300       0.116138       0.000000
       0.535300       0.116177       0.000000
       0.537300       0.117883       0.000000
       0.539300       0.118545       0.000000
       0.541300       0.119630       0.000000
       0.543300       0.120450       0.000000
       0.545300       0.122997       0.000000
       0.547300       0.122441       0.000000
       0.549300       0.124211       0.000000
       0.551300       0.125492       0.000000
       0.553300       0.126888       0.000000
       0.555300       0.128202       0.000000
       0.557300       0.128930       0.000000
       0.559300       0.130795       0.000000
       0.561300       0.131524       0.000000
       0.563300       0.132740       0.000000
       0.565300       0.133894       0.000000
       0.567300       0.135632       0.000000
       0.569300       0.136896       0.000000
       0.571300       0.137566       0.000000
       0.573300       0.138330       0.000000
       0.575300       0.139618       0.000000
       0.577300       0.139817       0.000000
       0.579300       0.140442       0.000000
       0.581300       0.141710       0.000000
       0.583300       0.142808       0.000000
       0.585300       0.142814       0.000000
       0.587300       0.144036       0.000000
       0.589300       0.144935       0.000000
       0.591300       0.145241       0.000000
       0.593300       0.145969       0.000000
       0.595300       0.146596       0.000000
       0.597300       0.147262       0.000000
       0.599300       0.147201       0.000000
       0.601100       0.147986       0.000000
       0.602700       0.148833       0.000000
       0.604300       0.148401       0.000000
       0.605900       0.149158       0.000000
       0.607500       0.149308       0.000000
       0.609100       0.149640       0.000000
       0.610700       0.149559       0.000000
       0.612300       0.149757       0.000000
       0.613900       0.150602       0.000000
       0.615500       0.149930       0.000000
       0.617100       0.150056       0.000000
       0.618700       0.150248       0.000000
       0.620300       0.150380       0.000000
       0.621900       0.150213       0.000000
       0.623500       0.150172       0.000000
       0.625100       0.150527       0.000000
       0.626700       0.150678       0.000000
       0.628300       0.149838       0.000000
       0.629900       0.149874       0.000000
       0.631700       0.150069       0.000000
       0.633700       0.150089       0.000000
       0.635700       0.148808       0.000000
       0.637700       0.149437       0.000000
       0.639700       0.149080       0.000000
       0.641700       0.149414       0.000000
       0.643700       0.148682       0.000000
       0.645700       0.148327       0.000000
       0.647700       0.148289       0.000000
       0.649700       0.148463       0.000000
       0.651700       0.148268       0.000000
       0.653700       0.148342       0.000000
       0.655700       0.148048       0.000000
       0.657700       0.147969       0.000000
       0.659700       0.147993       0.000000
       0.661700       0.147661       0.000000
       0.663700       0.147907       0.000000
       0.665700       0.147989       0.000000
       0.667700       0.147417       0.000000
       0.670200       0.147247       0.000000
       0.673200       0.146851       0.000000
       0.676200       0.146744       0.000000
       0.679200       0.146810       0.000000
       0.682200       0.146260       0.000000
       0.685200       0.146409       0.000000
       0.688200       0.145896       0.000000
       0.691200       0.145669       0.000000
       0.694200       0.146018       0.000000
       0.697200       0.146147       0.000000
       0.700200       0.146274       0.000000
       0.702000       0.145568       0.000000
       0.704000       0.146105       0.000000
       0.706000       0.145740       0.000000
       0.708000       0.145530       0.000000
       0.710000       0.145480       0.000000
       0.712000       0.145899       0.000000
       0.714000       0.145400       0.000000
       0.716000       0.145746       0.000000
       0.718000       0.145562       0.000000
       0.720000       0.145631       0.000000
       0.722000       0.145351       0.000000
       0.724000       0.145658       0.000000
       0.726000       0.145427       0.000000
       0.728000       0.145501       0.000000
       0.730000       0.145120       0.000000
       0.732000       0.145391       0.000000
       0.734000       0.145691       0.000000
       0.736000       0.145814       0.000000
       0.738000       0.145309       0.000000
       0.740000       0.146044       0.000000
       0.742000       0.145362       0.000000
       0.744000       0.144898       0.000000
       0.746000       0.145449       0.000000
       0.748000       0.145639       0.000000
       0.750500       0.145002       0.000000
       0.753500       0.145866       0.000000
       0.756500       0.145899       0.000000
       0.759500       0.145658       0.000000
       0.762500       0.145559       0.000000
       0.765500       0.145535       0.000000
       0.768500       0.145338       0.000000
       0.771500       0.145575       0.000000
       0.774500       0.145587       0.000000
       0.777500       0.145094       0.000000
       0.781000       0.145572       0.000000
       0.785000       0.144991       0.000000
       0.789000       0.145289       0.000000
       0.793000       0.145098       0.000000
       0.797000       0.144565       0.000000
       0.801500       0.144359       0.000000
       0.806500       0.143611       0.000000
       0.811500       0.143040       0.000000
       0.816500       0.142239       0.000000
       0.822000       0.141641       0.000000
       0.828000       0.140409       0.000000
       0.835000       0.138789       0.000000
       0.843000       0.137969       0.000000
       0.851000       0.138456       0.000000
       0.859000       0.136345       0.000000
       0.871000       0.134220       0.000000
       0.883000       0.132636       0.000000
       0.894000       0.131581       0.000000
       0.904000       0.130892       0.000000
       0.914000       0.127907       0.000000
       0.924000       0.129079       0.000000
       0.933000       0.128710       0.000000
       0.941000       0.128480       0.000000
       0.949000       0.126766       0.000000
       0.957000       0.126543       0.000000
       0.964000       0.126555       0.000000
       0.970000       0.125505       0.000000
       0.976000       0.125516       0.000000
       0.982000       0.124832       0.000000
       0.988000       0.124580       0.000000
       0.994000       0.123122       0.000000
       1.000000       0.125349       0.000000
       1.006000       0.124483       0.000000
       1.012000       0.121324       0.000000
       1.018000       0.122461       0.000000
       1.023500       0.121812       0.000000
       1.028500       0.122283       0.000000
       1.033500       0.121945       0.000000
       1.038500       0.122492       0.000000
       1.043500       0.121749       0.000000
       1.048500       0.120709       0.000000
       1.053500       0.119523       0.000000
       1.058500       0.119814       0.000000
       1.063500       0.119776       0.000000
       1.068500       0.119142       0.000000
       1.073500       0.118276       0.000000
       1.078500       0.118605       0.000000
       1.083500       0.118706       0.000000
       1.088500       0.118616       0.000000
       1.093500       0.117467       0.000000
       1.098500       0.118045       0.000000
       1.103500       0.117431       0.000000
       1.108500       0.117401       0.000000
       1.113500       0.117439       0.000000
       1.118500       0.118302       0.000000
       1.123500       0.117780       0.000000
       1.128500       0.117201       0.000000
       1.133500       0.116404       0.000000
       1.138500       0.116211       0.000000
       1.143500       0.116709       0.000000
       1.148500       0.116826       0.000000
       1.153500       0.117836       0.000000
       1.158500       0.116578       0.000000
       1.163500       0.115940       0.000000
       1.168500       0.117193       0.000000
       1.173500       0.117088       0.000000
       1.178500       0.117471       0.000000
       1.183500       0.117748       0.000000
       1.188500       0.117328       0.000000
       1.193500       0.118308       0.000000
       1.198500       0.118549       0.000000
       1.203500       0.116965       0.000000
       1.208500       0.118366       0.000000
       1.213500       0.118518       0.000000
       1.218500       0.118269       0.000000
       1.223500       0.117533       0.000000
       1.228500       0.118372       0.000000
       1.233500       0.119277       0.000000
       1.238500       0.118797       0.000000
       1.243500       0.118924       0.000000
       1.248500       0.119003       0.000000
       1.253500       0.119535       0.000000
       1.258500       0.119078       0.000000
       1.263500       0.119965       0.000000
       1.268500       0.119901       0.000000
       1.273500       0.119261       0.000000
       1.278500       0.120537       0.000000
       1.283500       0.120007       0.000000
       1.288500       0.119741       0.000000
       1.293500       0.121947       0.000000
       1.298500       0.120580       0.000000
       1.303500       0.121208       0.000000
       1.308500       0.121232       0.000000
       1.313500       0.121284       0.000000
       1.318500       0.122343       0.000000
       1.323500       0.121794       0.000000
       1.328500       0.122109       0.000000
       1.333500       0.122278       0.000000
       1.338500       0.121775       0.000000
       1.343500       0.121958       0.000000
       1.348500       0.121929       0.000000
       1.353500       0.122062       0.000000
       1.358500       0.122870       0.000000
       1.363500       0.123012       0.000000
       1.368500       0.122957       0.000000
       1.373500       0.123446       0.000000
       1.378500       0.122558       0.000000
       1.383500       0.123789       0.000000
       1.388500       0.121805       0.000000
       1.393500       0.121312       0.000000
       1.398500       0.119405       0.000000
       1.403500       0.115727       0.000000
       1.408500       0.114496       0.000000
       1.413500       0.113178       0.000000
       1.418500       0.115255       0.000000
       1.423500       0.119891       0.000000
       1.428500       0.121557       0.000000
       1.433500       0.124272       0.000000
       1.438500       0.123732       0.000000
       1.443500       0.125034       0.000000
       1.448500       0.124348       0.000000
       1.453500       0.125147       0.000000
       1.458500       0.124837       0.000000
       1.463500       0.125569       0.000000
       1.468500       0.126210       0.000000
       1.473500       0.125526       0.000000
       1.478500       0.126797       0.000000
       1.483500       0.125725       0.000000
       1.488500       0.126066       0.000000
       1.493500       0.125800       0.000000
       1.498500       0.127100       0.000000
       1.503500       0.126593       0.000000
       1.508500       0.126805       0.000000
       1.513500       0.127174       0.000000
       1.518500       0.127923       0.000000
       1.523500       0.127185       0.000000
       1.528500       0.128287       0.000000
       1.534000       0.126704       0.000000
       1.540000       0.126840       0.000000
       1.546000       0.128954       0.000000
       1.552000       0.127844       0.000000
       1.558000       0.128008       0.000000
       1.564000       0.129930       0.000000
       1.570500       0.128875       0.000000
       1.577500       0.129431       0.000000
       1.584500       0.129784       0.000000
       1.591500       0.130154       0.000000
       1.598500       0.130787       0.000000
       1.605500       0.131608       0.000000
       1.612500       0.131369       0.000000
       1.619500       0.131340       0.000000
       1.626500       0.132223       0.000000
       1.633500       0.132961       0.000000
       1.640500       0.133478       0.000000
       1.647500       0.132699       0.000000
       1.654500       0.134241       0.000000
       1.661500       0.135703       0.000000
       1.668500       0.134720       0.000000
       1.676000       0.135386       0.000000
       1.684000       0.135388       0.000000
       1.692000       0.135970       0.000000
       1.700000       0.138019       0.000000
       1.708000       0.137790       0.000000
       1.716000       0.139020       0.000000
       1.724000       0.137556       0.000000
       1.732000       0.138351       0.000000
       1.740000       0.139619       0.000000
       1.748000       0.139234       0.000000
       1.756000       0.140081       0.000000
       1.764000       0.139897       0.000000
       1.772000       0.140619       0.000000
       1.780000       0.141250       0.000000
       1.788000       0.141176       0.000000
       1.796000       0.142713       0.000000
       1.805000       0.142246       0.000000
       1.815000       0.140950       0.000000
       1.825000       0.141832       0.000000
       1.835000       0.141573       0.000000
       1.845000       0.143880       0.000000
       1.855000       0.142687       0.000000
       1.865000       0.143502       0.000000
       1.875000       0.141671       0.000000
       1.885000       0.140899       0.000000
       1.895000       0.138598       0.000000
       1.905000       0.136143       0.000000
       1.915000       0.135576       0.000000
       1.925000       0.135209       0.000000
       1.935000       0.137609       0.000000
       1.945000       0.139111       0.000000
       1.955000       0.138033       0.000000
       1.965000       0.137846       0.000000
       1.975000       0.139506       0.000000
       1.985000       0.137551       0.000000
       1.995000       0.138286       0.000000
       2.005000       0.137781       0.000000
       2.015000       0.138759       0.000000
       2.025000       0.141366       0.000000
       2.035000       0.143811       0.000000
       2.045000       0.145424       0.000000
       2.055000       0.146315       0.000000
       2.065000       0.146766       0.000000
       2.075000       0.148550       0.000000
       2.085000       0.148160       0.000000
       2.095000       0.147805       0.000000
       2.105000       0.146742       0.000000
       2.115000       0.146503       0.000000
       2.125000       0.146004       0.000000
       2.135000       0.145595       0.000000
       2.145000       0.146576       0.000000
       2.155000       0.142782       0.000000
       2.165000       0.139230       0.000000
       2.175000       0.130712       0.000000
       2.185000       0.120388       0.000000
       2.195000       0.111884       0.000000
       2.205000       0.112659       0.000000
       2.215000       0.123287       0.000000
       2.225000       0.128856       0.000000
       2.235000       0.128411       0.000000
       2.245000       0.122817       0.000000
       2.255000       0.116518       0.000000
       2.265000       0.115644       0.000000
       2.275000       0.118183       0.000000
       2.285000       0.123287       0.000000
