USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Erionite+Offretite GDS72     W1R1Bb AREF
copy of splib05a r 8128                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100       0.187502      -1.23e34 
       0.236100       0.194909      -1.23e34 
       0.242100       0.195624      -1.23e34 
       0.248100       0.198209      -1.23e34 
       0.253600       0.204966      -1.23e34 
       0.258600       0.216907      -1.23e34 
       0.263600       0.233470      -1.23e34 
       0.268600       0.250859      -1.23e34 
       0.273100       0.268683      -1.23e34 
       0.277100       0.283356      -1.23e34 
       0.281100       0.296934      -1.23e34 
       0.285100       0.307300      -1.23e34 
       0.289100       0.317091      -1.23e34 
       0.293100       0.328267      -1.23e34 
       0.297100       0.339161      -1.23e34 
       0.301100       0.349343      -1.23e34 
       0.305100       0.358845      -1.23e34 
       0.309100       0.369306      -1.23e34 
       0.313100       0.377708      -1.23e34 
       0.317100       0.386996      -1.23e34 
       0.321100       0.395833      -1.23e34 
       0.325100       0.402800      -1.23e34 
       0.329100       0.409815      -1.23e34 
       0.333100       0.415267      -1.23e34 
       0.337100       0.421497      -1.23e34 
       0.341100       0.426103      -1.23e34 
       0.345100       0.430556      -1.23e34 
       0.349100       0.433363      -1.23e34 
       0.353100       0.437329      -1.23e34 
       0.357100       0.440326      -1.23e34 
       0.360600       0.443690       0.000528
       0.363600       0.446285       0.000457
       0.366600       0.449880       0.000775
       0.369600       0.454741       0.000704
       0.372600       0.459509       0.000706
       0.375600       0.466385       0.000599
       0.378600       0.473497       0.000543
       0.381100       0.481974       0.000442
       0.383100       0.487473       0.000883
       0.385100       0.495377       0.000636
       0.387100       0.501137       0.000581
       0.389100       0.507753       0.000543
       0.391100       0.513419       0.000573
       0.393100       0.520090       0.000573
       0.395100       0.526459       0.000518
       0.397100       0.532449       0.000441
       0.399100       0.538228       0.000585
       0.401100       0.542954       0.000650
       0.403100       0.548255       0.000523
       0.405100       0.554525       0.000367
       0.407100       0.558062       0.000491
       0.409100       0.563211       0.000391
       0.411100       0.569059       0.000489
       0.412800       0.574219       0.000496
       0.415800       0.580593       0.000599
       0.418800       0.588395       0.000443
       0.421800       0.595779       0.000529
       0.424800       0.604834       0.000488
       0.427800       0.613493       0.000555
       0.430800       0.622918       0.000460
       0.433800       0.632741       0.000502
       0.436800       0.642175       0.000472
       0.439800       0.651392       0.000475
       0.442800       0.659560       0.000457
       0.445800       0.667541       0.000381
       0.448800       0.676057       0.000498
       0.451300       0.681051       0.000840
       0.453300       0.683820       0.000710
       0.455300       0.686314       0.000488
       0.457300       0.688351       0.000752
       0.459300       0.691412       0.000890
       0.461300       0.692570       0.000566
       0.463300       0.695149       0.000536
       0.465300       0.696801       0.000576
       0.467300       0.699427       0.000567
       0.469300       0.700421       0.000450
       0.471300       0.701154       0.000490
       0.473300       0.703535       0.000563
       0.475300       0.706136       0.000612
       0.477300       0.707334       0.000635
       0.479300       0.709328       0.000523
       0.481300       0.713048       0.000505
       0.483300       0.716368       0.000515
       0.485300       0.717797       0.000540
       0.487300       0.720431       0.000513
       0.489300       0.722542       0.000491
       0.491300       0.727074       0.000590
       0.493300       0.729208       0.000611
       0.495300       0.732474       0.000510
       0.497300       0.737207       0.000564
       0.499300       0.740334       0.000627
       0.501300       0.745919       0.000547
       0.503300       0.748550       0.000716
       0.505300       0.753954       0.000594
       0.507300       0.757838       0.000602
       0.509300       0.762685       0.000564
       0.511300       0.766732       0.000624
       0.513300       0.770900       0.000624
       0.515300       0.776158       0.000631
       0.517300       0.778974       0.000497
       0.519300       0.783849       0.000608
       0.521300       0.789145       0.000670
       0.523300       0.792484       0.000767
       0.525300       0.796666       0.000547
       0.527300       0.800734       0.000510
       0.529300       0.806175       0.000514
       0.531300       0.810934       0.000555
       0.533300       0.814984       0.000539
       0.535300       0.819879       0.000609
       0.537300       0.822577       0.000556
       0.539300       0.825354       0.000742
       0.541300       0.830835       0.000556
       0.543300       0.834229       0.000764
       0.545300       0.835734       0.000781
       0.547300       0.841219       0.000507
       0.549300       0.844908       0.000488
       0.551300       0.846904       0.000583
       0.553300       0.849909       0.000483
       0.555300       0.853998       0.000460
       0.557300       0.855481       0.000481
       0.559300       0.858286       0.000504
       0.561300       0.860466       0.000745
       0.563300       0.862383       0.000518
       0.565300       0.863175       0.000659
       0.567300       0.867190       0.000583
       0.569300       0.868590       0.000539
       0.571300       0.869997       0.000566
       0.573300       0.871223       0.000657
       0.575300       0.873325       0.000607
       0.577300       0.876672       0.000596
       0.579300       0.876430       0.000635
       0.581300       0.878461       0.000620
       0.583300       0.878457       0.000849
       0.585300       0.879172       0.000805
       0.587300       0.882622       0.000794
       0.589300       0.881212       0.001049
       0.591300       0.883248       0.000931
       0.593300       0.884033       0.000693
       0.595300       0.886092       0.000685
       0.597300       0.884140       0.000813
       0.599300       0.886945       0.000746
       0.601100       0.887027       0.001047
       0.602700       0.887107       0.000813
       0.604300       0.887806       0.000969
       0.605900       0.888518       0.000703
       0.607500       0.887876       0.000656
       0.609100       0.888660       0.000502
       0.610700       0.887255       0.000884
       0.612300       0.890768       0.000639
       0.613900       0.889442       0.000649
       0.615500       0.891470       0.000666
       0.617100       0.889508       0.000774
       0.618700       0.889517       0.000606
       0.620300       0.892246       0.000653
       0.621900       0.892313       0.000599
       0.623500       0.892307       0.000681
       0.625100       0.892313       0.000703
       0.626700       0.890987       0.000836
       0.628300       0.895043       0.000675
       0.629900       0.893722       0.000617
       0.631700       0.893094       0.000724
       0.633700       0.895116       0.000578
       0.635700       0.893718       0.000598
       0.637700       0.895744       0.000592
       0.639700       0.895047       0.000759
       0.641700       0.895742       0.000669
       0.643700       0.896445       0.000655
       0.645700       0.897004       0.000859
       0.647700       0.899035       0.000819
       0.649700       0.899108       0.000807
       0.651700       0.899111       0.000852
       0.653700       0.899107       0.000868
       0.655700       0.899674       0.001021
       0.657700       0.899675       0.000854
       0.659700       0.900382       0.001110
       0.661700       0.901023       0.000875
       0.663700       0.899536       0.001205
       0.665700       0.902358       0.001105
       0.667700       0.902998       0.000778
       0.670200       0.901650       0.000798
       0.673200       0.905694       0.000841
       0.676200       0.905628       0.000654
       0.679200       0.908341       0.000568
       0.682200       0.908337       0.000787
       0.685200       0.908336       0.000771
       0.688200       0.908923       0.000942
       0.691200       0.912346       0.000868
       0.694200       0.910806       0.000821
       0.697200       0.912773       0.000770
       0.700200       0.913584       0.000800
       0.702000       0.913586       0.000776
       0.704000       0.917043       0.000734
       0.706000       0.915616       0.000807
       0.708000       0.919019       0.000806
       0.710000       0.917535       0.000713
       0.712000       0.916810       0.000656
       0.714000       0.920223       0.000715
       0.716000       0.920834       0.000715
       0.718000       0.919449       0.000559
       0.720000       0.920725       0.000518
       0.722000       0.921392       0.000574
       0.724000       0.922059       0.000627
       0.726000       0.922727       0.000684
       0.728000       0.922623       0.000561
       0.730000       0.923288       0.000532
       0.732000       0.924628       0.000564
       0.734000       0.923854       0.000645
       0.736000       0.924523       0.000704
       0.738000       0.925197       0.000788
       0.740000       0.925874       0.000652
       0.742000       0.925773       0.000628
       0.744000       0.924998       0.000746
       0.746000       0.924947       0.000594
       0.748000       0.928481       0.000970
       0.750500       0.928436       0.001120
       0.753500       0.928385       0.000828
       0.756500       0.930433       0.000560
       0.759500       0.931117       0.000568
       0.762500       0.929653       0.000711
       0.765500       0.931704       0.000723
       0.768500       0.930971       0.000536
       0.771500       0.931613       0.000657
       0.774500       0.932944       0.000495
       0.777500       0.932158       0.001277
       0.781000       0.934236       0.000837
       0.785000       0.934922       0.000621
       0.789000       0.934792       0.000617
       0.793000       0.933961       0.000560
       0.797000       0.933086       0.000693
       0.801500       0.934433       0.000822
       0.806500       0.934304       0.000573
       0.811500       0.936410       0.000590
       0.816500       0.936985       0.000550
       0.822000       0.934555       0.000625
       0.828000       0.933579       0.000495
       0.835000       0.934550       0.000823
       0.843000       0.934236       0.001076
       0.851000       0.934567       0.001480
       0.859000       0.934615       0.001358
       0.871000       0.938374       0.001363
       0.883000       0.934380       0.001351
       0.894000       0.935910       0.001198
       0.904000       0.935887       0.001004
       0.914000       0.934239       0.000896
       0.924000       0.931839       0.001127
       0.933000       0.931751       0.001192
       0.941000       0.927828       0.001087
       0.949000       0.923004       0.000962
       0.957000       0.918139       0.001142
       0.964000       0.911836       0.001106
       0.970000       0.911777       0.001222
       0.976000       0.917256       0.001081
       0.982000       0.914884       0.000970
       0.988000       0.922751       0.000918
       0.994000       0.924237       0.000743
       1.000000       0.928203       0.000713
       1.006000       0.929732       0.000717
       1.012000       0.932080       0.000832
       1.018000       0.929757       0.000868
       1.023500       0.936004       0.001030
       1.028500       0.935317       0.001121
       1.033500       0.936811       0.000949
       1.038500       0.935966       0.001030
       1.043500       0.938346       0.000916
       1.048500       0.940691       0.000869
       1.053500       0.942205       0.000867
       1.058500       0.940641       0.000811
       1.063500       0.941439       0.000852
       1.068500       0.942187       0.000884
       1.073500       0.942936       0.000921
       1.078500       0.943773       0.000772
       1.083500       0.944457       0.000693
       1.088500       0.944497       0.000830
       1.093500       0.944475       0.000901
       1.098500       0.945253       0.000758
       1.103500       0.942909       0.000691
       1.108500       0.942093       0.000801
       1.113500       0.942123       0.000704
       1.118500       0.941339       0.000794
       1.123500       0.942883       0.000666
       1.128500       0.939729       0.000836
       1.133500       0.935637       0.000777
       1.138500       0.927611       0.000620
       1.143500       0.918775       0.000732
       1.148500       0.906735       0.000683
       1.153500       0.897776       0.000770
       1.158500       0.897687       0.000785
       1.163500       0.896790       0.000771
       1.168500       0.903042       0.000706
       1.173500       0.907737       0.000751
       1.178500       0.910708       0.000888
       1.183500       0.913142       0.000866
       1.188500       0.913028       0.000854
       1.193500       0.917581       0.000824
       1.198500       0.915231       0.000842
       1.203500       0.918285       0.000771
       1.208500       0.919875       0.000803
       1.213500       0.922224       0.000736
       1.218500       0.923044       0.000721
       1.223500       0.923788       0.000891
       1.228500       0.924626       0.000746
       1.233500       0.926304       0.000912
       1.238500       0.925462       0.000703
       1.243500       0.925401       0.000758
       1.248500       0.926942       0.000624
       1.253500       0.927726       0.000773
       1.258500       0.927614       0.000666
       1.263500       0.925249       0.000854
       1.268500       0.927522       0.000713
       1.273500       0.927324       0.000749
       1.278500       0.925662       0.000754
       1.283500       0.923889       0.000633
       1.288500       0.922215       0.000721
       1.293500       0.921174       0.000788
       1.298500       0.917077       0.000736
       1.303500       0.912203       0.000631
       1.308500       0.911953       0.000678
       1.313500       0.906146       0.000640
       1.318500       0.901192       0.000773
       1.323500       0.896262       0.000876
       1.328500       0.888018       0.000747
       1.333500       0.882290       0.000777
       1.338500       0.873330       0.000770
       1.343500       0.866802       0.000736
       1.348500       0.857060       0.000873
       1.353500       0.852072       0.000852
       1.358500       0.844063       0.000706
       1.363500       0.838247       0.001039
       1.368500       0.831647       0.000975
       1.373500       0.822886       0.000971
       1.378500       0.810769       0.000854
       1.383500       0.793541       0.001069
       1.388500       0.763057       0.000924
       1.393500       0.730214       0.001041
       1.398500       0.697105       0.001074
       1.403500       0.659373       0.000912
       1.408500       0.631658       0.000907
       1.413500       0.615743       0.001057
       1.418500       0.610540       0.000912
       1.423500       0.614420       0.000963
       1.428500       0.623186       0.000688
       1.433500       0.636222       0.000800
       1.438500       0.649169       0.000853
       1.443500       0.660313       0.000821
       1.448500       0.672919       0.000949
       1.453500       0.678478       0.001045
       1.458500       0.678708       0.000865
       1.463500       0.679284       0.000921
       1.468500       0.685008       0.000745
       1.473500       0.696328       0.000720
       1.478500       0.710117       0.000747
       1.483500       0.719877       0.000827
       1.488500       0.730716       0.000929
       1.493500       0.741230       0.001386
       1.498500       0.749534       0.001119
       1.503500       0.758466       0.001085
       1.508500       0.764591       0.000908
       1.513500       0.769607       0.001008
       1.518500       0.772380       0.000973
       1.523500       0.781291       0.001185
       1.528500       0.781371       0.000886
       1.534000       0.788102       0.000757
       1.540000       0.789950       0.000871
       1.546000       0.795911       0.000972
       1.552000       0.799400       0.000872
       1.558000       0.801624       0.000893
       1.564000       0.801942       0.000690
       1.570500       0.803685       0.000601
       1.577500       0.808545       0.000744
       1.584500       0.809511       0.000754
       1.591500       0.812461       0.000672
       1.598500       0.814870       0.000547
       1.605500       0.815611       0.000675
       1.612500       0.817149       0.000616
       1.619500       0.817707       0.000618
       1.626500       0.819365       0.000929
       1.633500       0.819096       0.000857
       1.640500       0.820772       0.000779
       1.647500       0.822769       0.001044
       1.654500       0.822752       0.001007
       1.661500       0.825733       0.000837
       1.668500       0.824092       0.001081
       1.676000       0.823980       0.000936
       1.684000       0.822361       0.000989
       1.692000       0.820912       0.001275
       1.700000       0.820047       0.001273
       1.708000       0.818866       0.001124
       1.716000       0.815427       0.001035
       1.724000       0.811202       0.000823
       1.732000       0.809884       0.001191
       1.740000       0.805451       0.001367
       1.748000       0.801495       0.001377
       1.756000       0.795924       0.000940
       1.764000       0.790608       0.001154
       1.772000       0.786201       0.000979
       1.780000       0.784120       0.001160
       1.788000       0.781352       0.001196
       1.796000       0.778668       0.001247
       1.805000       0.774557       0.000852
       1.815000       0.772978       0.000813
       1.825000       0.770805       0.000894
       1.835000       0.769023       0.000771
       1.845000       0.760046       0.000916
       1.855000       0.746705       0.001018
       1.865000       0.715800       0.000860
       1.875000       0.657948       0.000949
       1.885000       0.563098       0.000956
       1.895000       0.443745       0.000700
       1.905000       0.367904       0.001078
       1.915000       0.357714       0.001113
       1.925000       0.383864       0.001108
       1.935000       0.418659       0.001067
       1.945000       0.445754       0.000984
       1.955000       0.465551       0.001195
       1.965000       0.479130       0.000995
       1.975000       0.500206       0.000831
       1.985000       0.519934       0.000825
       1.995000       0.542649       0.001056
       2.005000       0.565490       0.001008
       2.015000       0.589057       0.001001
       2.025000       0.603035       0.001306
       2.035000       0.618348       0.001171
       2.045000       0.626312       0.001310
       2.055000       0.633996       0.001357
       2.065000       0.639439       0.001344
       2.075000       0.643289       0.001365
       2.085000       0.648643       0.001320
       2.095000       0.651118       0.001347
       2.105000       0.659396       0.001357
       2.115000       0.663500       0.001356
       2.125000       0.667395       0.001365
       2.135000       0.676457       0.001361
       2.145000       0.683042       0.001349
       2.155000       0.686244       0.000985
       2.165000       0.683801       0.001222
       2.175000       0.685914       0.001364
       2.185000       0.687582       0.001365
       2.195000       0.686444       0.001378
       2.205000       0.683463       0.001390
       2.215000       0.681270       0.001392
       2.225000       0.683405       0.001392
       2.235000       0.678345       0.001404
       2.245000       0.676535       0.001420
       2.255000       0.669073       0.001429
       2.265000       0.665490       0.001457
       2.275000       0.656804       0.001659
       2.285000       0.650179       0.002408
