USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Fe-Hydroxide SU93-106 amorph W1R1Bb AREF
copy of splib05a r 8140                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100       0.032842       0.000996
       0.229100       0.033359       0.000912
       0.236100       0.032485       0.000840
       0.242100       0.032430       0.000796
       0.248100       0.032667       0.000562
       0.253600       0.032759       0.000689
       0.258600       0.032649       0.000501
       0.263600       0.032580       0.000395
       0.268600       0.032907       0.000439
       0.273100       0.033327       0.000579
       0.277100       0.032885       0.000721
       0.281100       0.033432       0.000494
       0.285100       0.033171       0.000583
       0.289100       0.033657       0.000579
       0.293100       0.033756       0.000611
       0.297100       0.034177       0.000540
       0.301100       0.022615       0.000540
       0.305100       0.023857       0.000420
       0.309100       0.023734       0.000375
       0.313100       0.023412       0.000706
       0.317100       0.024091       0.000715
       0.321100       0.023787       0.000530
       0.325100       0.024219       0.000479
       0.329100       0.024183       0.000420
       0.333100       0.024533       0.000464
       0.337100       0.024544       0.000391
       0.341100       0.024886       0.000463
       0.345100       0.024841       0.000411
       0.349100       0.024986       0.000429
       0.353100       0.025449       0.000408
       0.357100       0.025397       0.000473
       0.360600       0.025900       0.000469
       0.363600       0.025865       0.000418
       0.366600       0.026047       0.000404
       0.369600       0.026357       0.000479
       0.372600       0.026490       0.000395
       0.375600       0.026872       0.000410
       0.378600       0.027190       0.000463
       0.381100       0.027482       0.000491
       0.383100       0.027315       0.000421
       0.385100       0.027899       0.000456
       0.387100       0.027853       0.000446
       0.389100       0.027896       0.000503
       0.391100       0.028858       0.000507
       0.393100       0.028319       0.000382
       0.395100       0.028634       0.000467
       0.397100       0.028495       0.000460
       0.399100       0.028706       0.000437
       0.401100       0.029226       0.000401
       0.403100       0.029343       0.000387
       0.405100       0.029533       0.000382
       0.407100       0.029675       0.000382
       0.409100       0.029814       0.000451
       0.411100       0.030018       0.000585
       0.412800       0.030356       0.000458
       0.415800       0.030652       0.000438
       0.418800       0.031438       0.000449
       0.421800       0.031746       0.000399
       0.424800       0.032027       0.000532
       0.427800       0.032174       0.000468
       0.430800       0.032922       0.000463
       0.433800       0.033488       0.000403
       0.436800       0.033936       0.000396
       0.439800       0.034705       0.000414
       0.442800       0.035228       0.000402
       0.445800       0.035679       0.000454
       0.448800       0.036346       0.000839
       0.451300       0.036886       0.000627
       0.453300       0.037025       0.000680
       0.455300       0.037432       0.000551
       0.457300       0.037259       0.000679
       0.459300       0.038507       0.000849
       0.461300       0.037948       0.000676
       0.463300       0.037992       0.000565
       0.465300       0.038150       0.000473
       0.467300       0.038488       0.000523
       0.469300       0.038486       0.000578
       0.471300       0.038745       0.000457
       0.473300       0.038847       0.000521
       0.475300       0.039125       0.000469
       0.477300       0.038787       0.000624
       0.479300       0.039417       0.000468
       0.481300       0.039401       0.000637
       0.483300       0.039895       0.000506
       0.485300       0.040356       0.000626
       0.487300       0.040547       0.000507
       0.489300       0.041646       0.000615
       0.491300       0.041139       0.000522
       0.493300       0.042973       0.000552
       0.495300       0.042725       0.000518
       0.497300       0.043289       0.000597
       0.499300       0.043980       0.000525
       0.501300       0.044519       0.000481
       0.503300       0.046065       0.000516
       0.505300       0.046109       0.000535
       0.507300       0.046663       0.000583
       0.509300       0.047745       0.000656
       0.511300       0.049114       0.000639
       0.513300       0.049496       0.000515
       0.515300       0.050530       0.000645
       0.517300       0.052008       0.000577
       0.519300       0.053088       0.000675
       0.521300       0.054310       0.000614
       0.523300       0.055299       0.000519
       0.525300       0.056415       0.000719
       0.527300       0.057896       0.000545
       0.529300       0.060003       0.000708
       0.531300       0.061327       0.000533
       0.533300       0.063246       0.000612
       0.535300       0.064617       0.000578
       0.537300       0.066769       0.000570
       0.539300       0.068273       0.000585
       0.541300       0.070561       0.000550
       0.543300       0.071882       0.000808
       0.545300       0.073504       0.000598
       0.547300       0.075757       0.000783
       0.549300       0.077943       0.000651
       0.551300       0.080038       0.000647
       0.553300       0.082819       0.000550
       0.555300       0.084608       0.000509
       0.557300       0.086964       0.000573
       0.559300       0.088975       0.000709
       0.561300       0.091416       0.000635
       0.563300       0.093898       0.000528
       0.565300       0.096258       0.000501
       0.567300       0.099041       0.000615
       0.569300       0.101153       0.000523
       0.571300       0.105182       0.000550
       0.573300       0.106978       0.000526
       0.575300       0.109515       0.000501
       0.577300       0.112219       0.000384
       0.579300       0.115157       0.000387
       0.581300       0.117466       0.000405
       0.583300       0.119894       0.000408
       0.585300       0.122801       0.000447
       0.587300       0.125183       0.000427
       0.589300       0.127122       0.000377
       0.591300       0.129895       0.000503
       0.593300       0.132048       0.000412
       0.595300       0.134581       0.000385
       0.597300       0.136687       0.000940
       0.599300       0.138560       0.000476
       0.601100       0.140828       0.000471
       0.602700       0.142525       0.000401
       0.604300       0.143941       0.000408
       0.605900       0.145395       0.000449
       0.607500       0.147215       0.000471
       0.609100       0.148436       0.000520
       0.610700       0.150220       0.000751
       0.612300       0.151831       0.000533
       0.613900       0.153434       0.000512
       0.615500       0.154850       0.000526
       0.617100       0.155981       0.000483
       0.618700       0.157851       0.000573
       0.620300       0.159040       0.000663
       0.621900       0.160030       0.000531
       0.623500       0.161174       0.000695
       0.625100       0.162722       0.000689
       0.626700       0.163932       0.000654
       0.628300       0.165081       0.000623
       0.629900       0.166856       0.000621
       0.631700       0.167711       0.000552
       0.633700       0.169691       0.000531
       0.635700       0.170648       0.000548
       0.637700       0.171853       0.000521
       0.639700       0.173279       0.000537
       0.641700       0.174849       0.000487
       0.643700       0.175882       0.000381
       0.645700       0.176963       0.000386
       0.647700       0.177985       0.000398
       0.649700       0.179177       0.000378
       0.651700       0.180147       0.000431
       0.653700       0.181478       0.000386
       0.655700       0.182854       0.000362
       0.657700       0.183745       0.000460
       0.659700       0.185073       0.000407
       0.661700       0.186360       0.000410
       0.663700       0.186964       0.000479
       0.665700       0.187936       0.000492
       0.667700       0.188725       0.000790
       0.670200       0.190250       0.000491
       0.673200       0.191635       0.000530
       0.676200       0.193089       0.000637
       0.679200       0.193912       0.000542
       0.682200       0.195929       0.000522
       0.685200       0.196264       0.000407
       0.688200       0.197375       0.000370
       0.691200       0.199033       0.000394
       0.694200       0.200238       0.000493
       0.697200       0.201237       0.000402
       0.700200       0.202728       0.000573
       0.702000       0.203243       0.000462
       0.704000       0.204051       0.000516
       0.706000       0.204218       0.000510
       0.708000       0.205616       0.000671
       0.710000       0.205481       0.000397
       0.712000       0.206210       0.000402
       0.714000       0.206889       0.000375
       0.716000       0.207569       0.000403
       0.718000       0.207789       0.000377
       0.720000       0.208567       0.000390
       0.722000       0.208946       0.000563
       0.724000       0.209261       0.000386
       0.726000       0.209761       0.000393
       0.728000       0.209889       0.000385
       0.730000       0.210562       0.000482
       0.732000       0.210607       0.000438
       0.734000       0.211227       0.000423
       0.736000       0.211557       0.000505
       0.738000       0.212330       0.000517
       0.740000       0.212128       0.000512
       0.742000       0.212481       0.000539
       0.744000       0.212849       0.000509
       0.746000       0.213008       0.000537
       0.748000       0.213374       0.000388
       0.750500       0.213082       0.000436
       0.753500       0.213727       0.000450
       0.756500       0.213995       0.000538
       0.759500       0.214061       0.000384
       0.762500       0.214645       0.000458
       0.765500       0.214860       0.000484
       0.768500       0.214411       0.000445
       0.771500       0.214806       0.000429
       0.774500       0.214547       0.000427
       0.777500       0.214671       0.000395
       0.781000       0.214162       0.000467
       0.785000       0.214468       0.000432
       0.789000       0.213614       0.000389
       0.793000       0.213650       0.000519
       0.797000       0.213217       0.000415
       0.801500       0.212587       0.000437
       0.806500       0.211873       0.000481
       0.811500       0.211431       0.000441
       0.816500       0.209883       0.000522
       0.822000       0.208870       0.000508
       0.828000       0.207960       0.000552
       0.835000       0.206631       0.000510
       0.843000       0.204348       0.000452
       0.851000       0.202000       0.001052
       0.859000       0.199739       0.000764
       0.871000       0.195633       0.000718
       0.883000       0.194104       0.000664
       0.894000       0.191950       0.000716
       0.904000       0.190296       0.000614
       0.914000       0.188282       0.000485
       0.924000       0.187962       0.000479
       0.933000       0.187048       0.000524
       0.941000       0.186092       0.000485
       0.949000       0.184594       0.000620
       0.957000       0.184831       0.000584
       0.964000       0.184830       0.000636
       0.970000       0.185500       0.000591
       0.976000       0.184911       0.000587
       0.982000       0.185046       0.000547
       0.988000       0.185361       0.000566
       0.994000       0.185145       0.000505
       1.000000       0.185785       0.000548
       1.006000       0.186052       0.000500
       1.012000       0.185511       0.000613
       1.018000       0.186414       0.000566
       1.023500       0.187137       0.000542
       1.028500       0.186988       0.000547
       1.033500       0.187919       0.000453
       1.038500       0.187409       0.000441
       1.043500       0.187465       0.000514
       1.048500       0.188882       0.000476
       1.053500       0.188871       0.000464
       1.058500       0.189428       0.000493
       1.063500       0.190129       0.000471
       1.068500       0.189776       0.000482
       1.073500       0.190699       0.000452
       1.078500       0.190812       0.000498
       1.083500       0.192062       0.000509
       1.088500       0.191519       0.000478
       1.093500       0.192294       0.000510
       1.098500       0.192730       0.000472
       1.103500       0.192956       0.000441
       1.108500       0.194228       0.000530
       1.113500       0.193967       0.000454
       1.118500       0.194910       0.000483
       1.123500       0.195106       0.000438
       1.128500       0.195462       0.000503
       1.133500       0.196119       0.000425
       1.138500       0.196506       0.000474
       1.143500       0.196970       0.000456
       1.148500       0.197028       0.000461
       1.153500       0.197915       0.000454
       1.158500       0.198128       0.000432
       1.163500       0.197998       0.000494
       1.168500       0.198332       0.000476
       1.173500       0.199099       0.000500
       1.178500       0.199145       0.000472
       1.183500       0.200125       0.000610
       1.188500       0.200755       0.000572
       1.193500       0.201902       0.000522
       1.198500       0.200742       0.000436
       1.203500       0.201202       0.000445
       1.208500       0.201838       0.000413
       1.213500       0.202027       0.000438
       1.218500       0.201837       0.000498
       1.223500       0.201935       0.000452
       1.228500       0.202222       0.000376
       1.233500       0.202629       0.000554
       1.238500       0.202761       0.000430
       1.243500       0.203230       0.000492
       1.248500       0.203700       0.000453
       1.253500       0.203028       0.000466
       1.258500       0.203534       0.000497
       1.263500       0.203846       0.000489
       1.268500       0.202975       0.000486
       1.273500       0.203315       0.000462
       1.278500       0.203586       0.000581
       1.283500       0.204296       0.000470
       1.288500       0.203776       0.000470
       1.293500       0.203443       0.000425
       1.298500       0.203834       0.000470
       1.303500       0.203399       0.000473
       1.308500       0.203540       0.000422
       1.313500       0.203638       0.000520
       1.318500       0.203350       0.000466
       1.323500       0.203226       0.000476
       1.328500       0.202857       0.000439
       1.333500       0.203052       0.000468
       1.338500       0.203197       0.000500
       1.343500       0.202163       0.000453
       1.348500       0.202530       0.000523
       1.353500       0.201307       0.000530
       1.358500       0.201139       0.000530
       1.363500       0.201236       0.000627
       1.368500       0.202057       0.000612
       1.373500       0.201180       0.000629
       1.378500       0.199421       0.000572
       1.383500       0.199149       0.000674
       1.388500       0.197510       0.000657
       1.393500       0.195364       0.000562
       1.398500       0.193477       0.000703
       1.403500       0.192176       0.000541
       1.408500       0.191089       0.000562
       1.413500       0.187896       0.000686
       1.418500       0.186650       0.000653
       1.423500       0.187659       0.000556
       1.428500       0.189149       0.000600
       1.433500       0.190016       0.000686
       1.438500       0.190378       0.000607
       1.443500       0.191016       0.000526
       1.448500       0.191027       0.000558
       1.453500       0.191716       0.000519
       1.458500       0.191267       0.000650
       1.463500       0.192083       0.000533
       1.468500       0.192131       0.000575
       1.473500       0.191581       0.000660
       1.478500       0.192531       0.000611
       1.483500       0.193461       0.000726
       1.488500       0.193674       0.000594
       1.493500       0.194246       0.000730
       1.498500       0.193788       0.000702
       1.503500       0.193891       0.000706
       1.508500       0.193360       0.000761
       1.513500       0.194419       0.000698
       1.518500       0.195022       0.000693
       1.523500       0.194870       0.000644
       1.528500       0.195287       0.000489
       1.534000       0.195272       0.000643
       1.540000       0.194085       0.000661
       1.546000       0.194190       0.000575
       1.552000       0.195302       0.000607
       1.558000       0.195768       0.000551
       1.564000       0.194428       0.000648
       1.570500       0.194068       0.000495
       1.577500       0.194865       0.000447
       1.584500       0.193896       0.000495
       1.591500       0.193563       0.000461
       1.598500       0.194255       0.000473
       1.605500       0.194020       0.000459
       1.612500       0.193486       0.000500
       1.619500       0.192951       0.000504
       1.626500       0.193297       0.000458
       1.633500       0.192782       0.000536
       1.640500       0.192745       0.000641
       1.647500       0.192844       0.000525
       1.654500       0.192102       0.000547
       1.661500       0.193671       0.000588
       1.668500       0.192243       0.000594
       1.676000       0.191626       0.000490
       1.684000       0.191230       0.000594
       1.692000       0.192107       0.000700
       1.700000       0.191640       0.000688
       1.708000       0.192461       0.000705
       1.716000       0.190144       0.000699
       1.724000       0.190526       0.000648
       1.732000       0.189051       0.000684
       1.740000       0.189187       0.000720
       1.748000       0.190396       0.000805
       1.756000       0.190260       0.000714
       1.764000       0.189381       0.000692
       1.772000       0.187678       0.000609
       1.780000       0.187918       0.000672
       1.788000       0.190958       0.000651
       1.796000       0.187819       0.000513
       1.805000       0.186723       0.000497
       1.815000       0.186535       0.000497
       1.825000       0.185466       0.000503
       1.835000       0.185503       0.000516
       1.845000       0.186121       0.000586
       1.855000       0.183666       0.000540
       1.865000       0.183217       0.000493
       1.875000       0.179691       0.000582
       1.885000       0.172553       0.000560
       1.895000       0.160553       0.000573
       1.905000       0.147009       0.000590
       1.915000       0.142505       0.000612
       1.925000       0.146340       0.000527
       1.935000       0.150054       0.000601
       1.945000       0.153397       0.000633
       1.955000       0.154762       0.000601
       1.965000       0.156371       0.000690
       1.975000       0.159053       0.000659
       1.985000       0.161477       0.000586
       1.995000       0.164544       0.000752
       2.005000       0.164208       0.000672
       2.015000       0.167773       0.000725
       2.025000       0.168666       0.000767
       2.035000       0.170733       0.000799
       2.045000       0.171879       0.000722
       2.055000       0.172640       0.000764
       2.065000       0.174827       0.000897
       2.075000       0.173550       0.000854
       2.085000       0.173826       0.000862
       2.095000       0.173864       0.000857
       2.105000       0.174447       0.000747
       2.115000       0.173770       0.000847
       2.125000       0.172302       0.000931
       2.135000       0.174138       0.000992
       2.145000       0.174636       0.000792
       2.155000       0.172899       0.000790
       2.165000       0.172694       0.000789
       2.175000       0.169855       0.000876
       2.185000       0.170453       0.000748
       2.195000       0.166796       0.001007
       2.205000       0.163845       0.001021
       2.215000       0.164044       0.001021
       2.225000       0.162696       0.001018
       2.235000       0.161646       0.001014
       2.245000       0.160886       0.001017
       2.255000       0.163100       0.001021
       2.265000       0.161624       0.001028
       2.275000       0.161588       0.001034
       2.285000       0.158029       0.001161
       2.295000       0.160093       0.001579
       2.305000       0.157139       0.001513
       2.315000       0.157819       0.001114
       2.325000       0.154801       0.001025
       2.335000       0.153561       0.001012
       2.345000       0.151324       0.000959
