USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hydrated_Volc_Tuff CU01-4A   W1R1Fc AREF
copy of splib05a r 8339                                     
       0.350000       0.139449       0.000000
       0.351000       0.140571       0.000000
       0.352000       0.141721       0.000000
       0.353000       0.142927       0.000000
       0.354000       0.144199       0.000000
       0.355000       0.145473       0.000000
       0.356000       0.146666       0.000000
       0.357000       0.147723       0.000000
       0.358000       0.148694       0.000000
       0.359000       0.149658       0.000000
       0.360000       0.150670       0.000000
       0.361000       0.151691       0.000000
       0.362000       0.152662       0.000000
       0.363000       0.153546       0.000000
       0.364000       0.154404       0.000000
       0.365000       0.155320       0.000000
       0.366000       0.156357       0.000000
       0.367000       0.157473       0.000000
       0.368000       0.158604       0.000000
       0.369000       0.159708       0.000000
       0.370000       0.160833       0.000000
       0.371000       0.162048       0.000000
       0.372000       0.163405       0.000000
       0.373000       0.164884       0.000000
       0.374000       0.166444       0.000000
       0.375000       0.168052       0.000000
       0.376000       0.169695       0.000000
       0.377000       0.171364       0.000000
       0.378000       0.173056       0.000000
       0.379000       0.174790       0.000000
       0.380000       0.176588       0.000000
       0.381000       0.178463       0.000000
       0.382000       0.180388       0.000000
       0.383000       0.182324       0.000000
       0.384000       0.184245       0.000000
       0.385000       0.186165       0.000000
       0.386000       0.188110       0.000000
       0.387000       0.190097       0.000000
       0.388000       0.192106       0.000000
       0.389000       0.194108       0.000000
       0.390000       0.196080       0.000000
       0.391000       0.198022       0.000000
       0.392000       0.199937       0.000000
       0.393000       0.201828       0.000000
       0.394000       0.203688       0.000000
       0.395000       0.205508       0.000000
       0.396000       0.207282       0.000000
       0.397000       0.209013       0.000000
       0.398000       0.210708       0.000000
       0.399000       0.212370       0.000000
       0.400000       0.213988       0.000000
       0.401000       0.215544       0.000000
       0.402000       0.217031       0.000000
       0.403000       0.218464       0.000000
       0.404000       0.219867       0.000000
       0.405000       0.221258       0.000000
       0.406000       0.222629       0.000000
       0.407000       0.223968       0.000000
       0.408000       0.225265       0.000000
       0.409000       0.226521       0.000000
       0.410000       0.227739       0.000000
       0.411000       0.228923       0.000000
       0.412000       0.230076       0.000000
       0.413000       0.231201       0.000000
       0.414000       0.232301       0.000000
       0.415000       0.233375       0.000000
       0.416000       0.234424       0.000000
       0.417000       0.235446       0.000000
       0.418000       0.236441       0.000000
       0.419000       0.237407       0.000000
       0.420000       0.238345       0.000000
       0.421000       0.239256       0.000000
       0.422000       0.240145       0.000000
       0.423000       0.241013       0.000000
       0.424000       0.241864       0.000000
       0.425000       0.242702       0.000000
       0.426000       0.243530       0.000000
       0.427000       0.244353       0.000000
       0.428000       0.245176       0.000000
       0.429000       0.246001       0.000000
       0.430000       0.246824       0.000000
       0.431000       0.247639       0.000000
       0.432000       0.248440       0.000000
       0.433000       0.249223       0.000000
       0.434000       0.249983       0.000000
       0.435000       0.250719       0.000000
       0.436000       0.251435       0.000000
       0.437000       0.252136       0.000000
       0.438000       0.252828       0.000000
       0.439000       0.253518       0.000000
       0.440000       0.254213       0.000000
       0.441000       0.254923       0.000000
       0.442000       0.255669       0.000000
       0.443000       0.256475       0.000000
       0.444000       0.257361       0.000000
       0.445000       0.258331       0.000000
       0.446000       0.259382       0.000000
       0.447000       0.260515       0.000000
       0.448000       0.261731       0.000000
       0.449000       0.263034       0.000000
       0.450000       0.264420       0.000000
       0.451000       0.265868       0.000000
       0.452000       0.267349       0.000000
       0.453000       0.268840       0.000000
       0.454000       0.270321       0.000000
       0.455000       0.271779       0.000000
       0.456000       0.273196       0.000000
       0.457000       0.274554       0.000000
       0.458000       0.275838       0.000000
       0.459000       0.277033       0.000000
       0.460000       0.278147       0.000000
       0.461000       0.279193       0.000000
       0.462000       0.280181       0.000000
       0.463000       0.281108       0.000000
       0.464000       0.281970       0.000000
       0.465000       0.282767       0.000000
       0.466000       0.283515       0.000000
       0.467000       0.284234       0.000000
       0.468000       0.284939       0.000000
       0.469000       0.285628       0.000000
       0.470000       0.286290       0.000000
       0.471000       0.286919       0.000000
       0.472000       0.287526       0.000000
       0.473000       0.288124       0.000000
       0.474000       0.288723       0.000000
       0.475000       0.289325       0.000000
       0.476000       0.289927       0.000000
       0.477000       0.290528       0.000000
       0.478000       0.291131       0.000000
       0.479000       0.291741       0.000000
       0.480000       0.292360       0.000000
       0.481000       0.292989       0.000000
       0.482000       0.293629       0.000000
       0.483000       0.294278       0.000000
       0.484000       0.294938       0.000000
       0.485000       0.295610       0.000000
       0.486000       0.296294       0.000000
       0.487000       0.296991       0.000000
       0.488000       0.297703       0.000000
       0.489000       0.298432       0.000000
       0.490000       0.299175       0.000000
       0.491000       0.299930       0.000000
       0.492000       0.300695       0.000000
       0.493000       0.301468       0.000000
       0.494000       0.302249       0.000000
       0.495000       0.303035       0.000000
       0.496000       0.303826       0.000000
       0.497000       0.304623       0.000000
       0.498000       0.305424       0.000000
       0.499000       0.306229       0.000000
       0.500000       0.307034       0.000000
       0.501000       0.307839       0.000000
       0.502000       0.308642       0.000000
       0.503000       0.309440       0.000000
       0.504000       0.310233       0.000000
       0.505000       0.311023       0.000000
       0.506000       0.311814       0.000000
       0.507000       0.312606       0.000000
       0.508000       0.313397       0.000000
       0.509000       0.314185       0.000000
       0.510000       0.314966       0.000000
       0.511000       0.315745       0.000000
       0.512000       0.316526       0.000000
       0.513000       0.317312       0.000000
       0.514000       0.318103       0.000000
       0.515000       0.318894       0.000000
       0.516000       0.319683       0.000000
       0.517000       0.320472       0.000000
       0.518000       0.321268       0.000000
       0.519000       0.322072       0.000000
       0.520000       0.322880       0.000000
       0.521000       0.323689       0.000000
       0.522000       0.324495       0.000000
       0.523000       0.325298       0.000000
       0.524000       0.326101       0.000000
       0.525000       0.326906       0.000000
       0.526000       0.327709       0.000000
       0.527000       0.328509       0.000000
       0.528000       0.329302       0.000000
       0.529000       0.330091       0.000000
       0.530000       0.330876       0.000000
       0.531000       0.331660       0.000000
       0.532000       0.332441       0.000000
       0.533000       0.333221       0.000000
       0.534000       0.333999       0.000000
       0.535000       0.334774       0.000000
       0.536000       0.335545       0.000000
       0.537000       0.336311       0.000000
       0.538000       0.337071       0.000000
       0.539000       0.337824       0.000000
       0.540000       0.338570       0.000000
       0.541000       0.339312       0.000000
       0.542000       0.340053       0.000000
       0.543000       0.340795       0.000000
       0.544000       0.341530       0.000000
       0.545000       0.342249       0.000000
       0.546000       0.342945       0.000000
       0.547000       0.343626       0.000000
       0.548000       0.344305       0.000000
       0.549000       0.344991       0.000000
       0.550000       0.345692       0.000000
       0.551000       0.346410       0.000000
       0.552000       0.347149       0.000000
       0.553000       0.347899       0.000000
       0.554000       0.348650       0.000000
       0.555000       0.349394       0.000000
       0.556000       0.350130       0.000000
       0.557000       0.350864       0.000000
       0.558000       0.351597       0.000000
       0.559000       0.352326       0.000000
       0.560000       0.353050       0.000000
       0.561000       0.353765       0.000000
       0.562000       0.354473       0.000000
       0.563000       0.355176       0.000000
       0.564000       0.355874       0.000000
       0.565000       0.356568       0.000000
       0.566000       0.357255       0.000000
       0.567000       0.357934       0.000000
       0.568000       0.358603       0.000000
       0.569000       0.359259       0.000000
       0.570000       0.359900       0.000000
       0.571000       0.360528       0.000000
       0.572000       0.361146       0.000000
       0.573000       0.361755       0.000000
       0.574000       0.362355       0.000000
       0.575000       0.362940       0.000000
       0.576000       0.363510       0.000000
       0.577000       0.364060       0.000000
       0.578000       0.364587       0.000000
       0.579000       0.365090       0.000000
       0.580000       0.365578       0.000000
       0.581000       0.366060       0.000000
       0.582000       0.366544       0.000000
       0.583000       0.367025       0.000000
       0.584000       0.367495       0.000000
       0.585000       0.367949       0.000000
       0.586000       0.368393       0.000000
       0.587000       0.368833       0.000000
       0.588000       0.369276       0.000000
       0.589000       0.369718       0.000000
       0.590000       0.370150       0.000000
       0.591000       0.370568       0.000000
       0.592000       0.370971       0.000000
       0.593000       0.371361       0.000000
       0.594000       0.371738       0.000000
       0.595000       0.372105       0.000000
       0.596000       0.372463       0.000000
       0.597000       0.372814       0.000000
       0.598000       0.373161       0.000000
       0.599000       0.373508       0.000000
       0.600000       0.373856       0.000000
       0.601000       0.374202       0.000000
       0.602000       0.374541       0.000000
       0.603000       0.374870       0.000000
       0.604000       0.375188       0.000000
       0.605000       0.375499       0.000000
       0.606000       0.375802       0.000000
       0.607000       0.376098       0.000000
       0.608000       0.376382       0.000000
       0.609000       0.376654       0.000000
       0.610000       0.376919       0.000000
       0.611000       0.377181       0.000000
       0.612000       0.377444       0.000000
       0.613000       0.377707       0.000000
       0.614000       0.377969       0.000000
       0.615000       0.378226       0.000000
       0.616000       0.378478       0.000000
       0.617000       0.378721       0.000000
       0.618000       0.378957       0.000000
       0.619000       0.379186       0.000000
       0.620000       0.379413       0.000000
       0.621000       0.379640       0.000000
       0.622000       0.379868       0.000000
       0.623000       0.380097       0.000000
       0.624000       0.380325       0.000000
       0.625000       0.380555       0.000000
       0.626000       0.380787       0.000000
       0.627000       0.381023       0.000000
       0.628000       0.381261       0.000000
       0.629000       0.381497       0.000000
       0.630000       0.381731       0.000000
       0.631000       0.381964       0.000000
       0.632000       0.382199       0.000000
       0.633000       0.382437       0.000000
       0.634000       0.382679       0.000000
       0.635000       0.382922       0.000000
       0.636000       0.383165       0.000000
       0.637000       0.383410       0.000000
       0.638000       0.383656       0.000000
       0.639000       0.383905       0.000000
       0.640000       0.384155       0.000000
       0.641000       0.384405       0.000000
       0.642000       0.384654       0.000000
       0.643000       0.384904       0.000000
       0.644000       0.385156       0.000000
       0.645000       0.385413       0.000000
       0.646000       0.385675       0.000000
       0.647000       0.385938       0.000000
       0.648000       0.386203       0.000000
       0.649000       0.386469       0.000000
       0.650000       0.386736       0.000000
       0.651000       0.387005       0.000000
       0.652000       0.387276       0.000000
       0.653000       0.387552       0.000000
       0.654000       0.387833       0.000000
       0.655000       0.388118       0.000000
       0.656000       0.388405       0.000000
       0.657000       0.388692       0.000000
       0.658000       0.388977       0.000000
       0.659000       0.389261       0.000000
       0.660000       0.389543       0.000000
       0.661000       0.389823       0.000000
       0.662000       0.390099       0.000000
       0.663000       0.390371       0.000000
       0.664000       0.390644       0.000000
       0.665000       0.390920       0.000000
       0.666000       0.391202       0.000000
       0.667000       0.391486       0.000000
       0.668000       0.391768       0.000000
       0.669000       0.392044       0.000000
       0.670000       0.392315       0.000000
       0.671000       0.392584       0.000000
       0.672000       0.392851       0.000000
       0.673000       0.393116       0.000000
       0.674000       0.393380       0.000000
       0.675000       0.393641       0.000000
       0.676000       0.393903       0.000000
       0.677000       0.394167       0.000000
       0.678000       0.394436       0.000000
       0.679000       0.394706       0.000000
       0.680000       0.394975       0.000000
       0.681000       0.395241       0.000000
       0.682000       0.395505       0.000000
       0.683000       0.395769       0.000000
       0.684000       0.396034       0.000000
       0.685000       0.396300       0.000000
       0.686000       0.396566       0.000000
       0.687000       0.396832       0.000000
       0.688000       0.397099       0.000000
       0.689000       0.397370       0.000000
       0.690000       0.397645       0.000000
       0.691000       0.397923       0.000000
       0.692000       0.398199       0.000000
       0.693000       0.398473       0.000000
       0.694000       0.398746       0.000000
       0.695000       0.399026       0.000000
       0.696000       0.399315       0.000000
       0.697000       0.399609       0.000000
       0.698000       0.399899       0.000000
       0.699000       0.400181       0.000000
       0.700000       0.400458       0.000000
       0.701000       0.400736       0.000000
       0.702000       0.401021       0.000000
       0.703000       0.401312       0.000000
       0.704000       0.401610       0.000000
       0.705000       0.401915       0.000000
       0.706000       0.402221       0.000000
       0.707000       0.402524       0.000000
       0.708000       0.402820       0.000000
       0.709000       0.403112       0.000000
       0.710000       0.403406       0.000000
       0.711000       0.403703       0.000000
       0.712000       0.404006       0.000000
       0.713000       0.404310       0.000000
       0.714000       0.404617       0.000000
       0.715000       0.404924       0.000000
       0.716000       0.405230       0.000000
       0.717000       0.405534       0.000000
       0.718000       0.405835       0.000000
       0.719000       0.406132       0.000000
       0.720000       0.406424       0.000000
       0.721000       0.406715       0.000000
       0.722000       0.407008       0.000000
       0.723000       0.407306       0.000000
       0.724000       0.407607       0.000000
       0.725000       0.407906       0.000000
       0.726000       0.408200       0.000000
       0.727000       0.408487       0.000000
       0.728000       0.408767       0.000000
       0.729000       0.409040       0.000000
       0.730000       0.409308       0.000000
       0.731000       0.409577       0.000000
       0.732000       0.409849       0.000000
       0.733000       0.410123       0.000000
       0.734000       0.410394       0.000000
       0.735000       0.410661       0.000000
       0.736000       0.410924       0.000000
       0.737000       0.411184       0.000000
       0.738000       0.411441       0.000000
       0.739000       0.411697       0.000000
       0.740000       0.411949       0.000000
       0.741000       0.412199       0.000000
       0.742000       0.412447       0.000000
       0.743000       0.412694       0.000000
       0.744000       0.412939       0.000000
       0.745000       0.413182       0.000000
       0.746000       0.413421       0.000000
       0.747000       0.413655       0.000000
       0.748000       0.413885       0.000000
       0.749000       0.414109       0.000000
       0.750000       0.414330       0.000000
       0.751000       0.414548       0.000000
       0.752000       0.414762       0.000000
       0.753000       0.414975       0.000000
       0.754000       0.415185       0.000000
       0.755000       0.415390       0.000000
       0.756000       0.415590       0.000000
       0.757000       0.415785       0.000000
       0.758000       0.415976       0.000000
       0.759000       0.416162       0.000000
       0.760000       0.416343       0.000000
       0.761000       0.416519       0.000000
       0.762000       0.416689       0.000000
       0.763000       0.416854       0.000000
       0.764000       0.417012       0.000000
       0.765000       0.417166       0.000000
       0.766000       0.417317       0.000000
       0.767000       0.417468       0.000000
       0.768000       0.417620       0.000000
       0.769000       0.417771       0.000000
       0.770000       0.417917       0.000000
       0.771000       0.418055       0.000000
       0.772000       0.418187       0.000000
       0.773000       0.418314       0.000000
       0.774000       0.418440       0.000000
       0.775000       0.418560       0.000000
       0.776000       0.418674       0.000000
       0.777000       0.418780       0.000000
       0.778000       0.418881       0.000000
       0.779000       0.418981       0.000000
       0.780000       0.419085       0.000000
       0.781000       0.419190       0.000000
       0.782000       0.419294       0.000000
       0.783000       0.419395       0.000000
       0.784000       0.419495       0.000000
       0.785000       0.419595       0.000000
       0.786000       0.419695       0.000000
       0.787000       0.419792       0.000000
       0.788000       0.419882       0.000000
       0.789000       0.419961       0.000000
       0.790000       0.420032       0.000000
       0.791000       0.420100       0.000000
       0.792000       0.420167       0.000000
       0.793000       0.420232       0.000000
       0.794000       0.420292       0.000000
       0.795000       0.420347       0.000000
       0.796000       0.420398       0.000000
       0.797000       0.420453       0.000000
       0.798000       0.420512       0.000000
       0.799000       0.420575       0.000000
       0.800000       0.420637       0.000000
       0.801000       0.420694       0.000000
       0.802000       0.420749       0.000000
       0.803000       0.420802       0.000000
       0.804000       0.420857       0.000000
       0.805000       0.420912       0.000000
