USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaolwxl.75+Alun_HS295 AMX14  W1R1Bb AREF
copy of splib05a r 8560                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600       0.167224       0.000000
       0.258600       0.164844       0.000000
       0.263600       0.163107       0.000000
       0.268600       0.175925       0.000000
       0.273100       0.175844       0.000000
       0.277100       0.182573       0.000000
       0.281100       0.195136       0.000000
       0.285100       0.201894       0.000000
       0.289100       0.217657       0.000000
       0.293100       0.222186       0.000000
       0.297100       0.229516       0.000000
       0.301100       0.232352       0.000000
       0.305100       0.244996       0.000000
       0.309100       0.247471       0.000000
       0.313100       0.252244       0.000000
       0.317100       0.251298       0.000000
       0.321100       0.260804       0.000000
       0.325100       0.270739       0.000000
       0.329100       0.274747       0.000000
       0.333100       0.292377       0.000000
       0.337100       0.300582       0.000000
       0.341100       0.312685       0.000000
       0.345100       0.330625       0.000000
       0.349100       0.348708       0.000000
       0.353100       0.373974       0.000000
       0.357100       0.397349       0.000000
       0.360600       0.416218       0.000000
       0.363600       0.431763       0.000000
       0.366600       0.451571       0.000000
       0.369600       0.465832       0.000000
       0.372600       0.484402       0.000000
       0.375600       0.500820       0.000000
       0.378600       0.510068       0.000000
       0.381100       0.523637       0.000000
       0.383100       0.529616       0.000000
       0.385100       0.534395       0.000000
       0.387100       0.541181       0.000000
       0.389100       0.549230       0.000000
       0.391100       0.554197       0.000000
       0.393100       0.560917       0.000000
       0.395100       0.564120       0.000000
       0.397100       0.571205       0.000000
       0.399100       0.574959       0.000000
       0.401100       0.578576       0.000000
       0.403100       0.580802       0.000000
       0.405100       0.589430       0.000000
       0.407100       0.590495       0.000000
       0.409100      -1.23e34       -1.23e34 
       0.411100       0.595911       0.000000
       0.412800       0.599989       0.000000
       0.415800       0.603962       0.000000
       0.418800       0.606340       0.000000
       0.421800       0.609246       0.000000
       0.424800       0.614323       0.000000
       0.427800       0.618135       0.000000
       0.430800       0.619535       0.000000
       0.433800       0.621902       0.000000
       0.436800       0.625226       0.000000
       0.439800       0.632127       0.000000
       0.442800       0.633102       0.000000
       0.445800       0.637606       0.000000
       0.448800       0.643578       0.000000
       0.451300       0.647751       0.000000
       0.453300       0.645991       0.000000
       0.455300       0.647008       0.000000
       0.457300       0.648162       0.000000
       0.459300       0.650378       0.000000
       0.461300       0.649048       0.000000
       0.463300       0.652896       0.000000
       0.465300       0.653456       0.000000
       0.467300       0.657595       0.000000
       0.469300       0.655131       0.000000
       0.471300       0.655036       0.000000
       0.473300       0.659742       0.000000
       0.475300       0.659399       0.000000
       0.477300       0.659377       0.000000
       0.479300       0.661338       0.000000
       0.481300       0.661831       0.000000
       0.483300       0.664688       0.000000
       0.485300       0.666680       0.000000
       0.487300       0.667126       0.000000
       0.489300       0.671600       0.000000
       0.491300       0.669117       0.000000
       0.493300       0.673633       0.000000
       0.495300       0.673248       0.000000
       0.497300       0.676410       0.000000
       0.499300       0.675841       0.000000
       0.501300       0.680082       0.000000
       0.503300       0.679306       0.000000
       0.505300       0.679564       0.000000
       0.507300       0.685593       0.000000
       0.509300       0.687228       0.000000
       0.511300       0.686951       0.000000
       0.513300       0.690127       0.000000
       0.515300       0.689968       0.000000
       0.517300       0.695406       0.000000
       0.519300       0.697746       0.000000
       0.521300       0.695820       0.000000
       0.523300       0.701474       0.000000
       0.525300       0.702051       0.000000
       0.527300       0.702000       0.000000
       0.529300       0.702232       0.000000
       0.531300       0.705513       0.000000
       0.533300       0.707400       0.000000
       0.535300       0.711469       0.000000
       0.537300       0.712866       0.000000
       0.539300       0.710731       0.000000
       0.541300       0.714054       0.000000
       0.543300       0.717712       0.000000
       0.545300       0.716466       0.000000
       0.547300       0.718912       0.000000
       0.549300       0.720739       0.000000
       0.551300       0.724679       0.000000
       0.553300       0.727180       0.000000
       0.555300       0.725155       0.000000
       0.557300       0.728148       0.000000
       0.559300       0.728095       0.000000
       0.561300       0.729311       0.000000
       0.563300       0.729049       0.000000
       0.565300       0.733207       0.000000
       0.567300       0.731889       0.000000
       0.569300       0.735150       0.000000
       0.571300       0.736851       0.000000
       0.573300       0.738333       0.000000
       0.575300       0.741791       0.000000
       0.577300       0.741471       0.000000
       0.579300       0.741517       0.000000
       0.581300       0.744051       0.000000
       0.583300       0.748632       0.000000
       0.585300       0.749564       0.000000
       0.587300       0.749883       0.000000
       0.589300       0.749983       0.000000
       0.591300       0.755162       0.000000
       0.593300       0.754554       0.000000
       0.595300       0.751922       0.000000
       0.597300       0.754031       0.000000
       0.599300       0.757790       0.000000
       0.601100       0.758199       0.000000
       0.602700       0.758399       0.000000
       0.604300       0.758041       0.000000
       0.605900       0.759808       0.000000
       0.607500       0.759984       0.000000
       0.609100       0.759166       0.000000
       0.610700       0.762088       0.000000
       0.612300       0.764434       0.000000
       0.613900       0.763152       0.000000
       0.615500       0.761783       0.000000
       0.617100       0.761940       0.000000
       0.618700       0.765691       0.000000
       0.620300       0.765030       0.000000
       0.621900       0.766567       0.000000
       0.623500       0.768350       0.000000
       0.625100       0.767718       0.000000
       0.626700       0.764698       0.000000
       0.628300       0.772500       0.000000
       0.629900       0.770133       0.000000
       0.631700       0.770687       0.000000
       0.633700       0.768420       0.000000
       0.635700       0.773887       0.000000
       0.637700       0.776074       0.000000
       0.639700       0.775072       0.000000
       0.641700       0.772341       0.000000
       0.643700       0.774102       0.000000
       0.645700       0.773431       0.000000
       0.647700       0.777690       0.000000
       0.649700       0.773606       0.000000
       0.651700       0.777251       0.000000
       0.653700       0.778930       0.000000
       0.655700       0.778873       0.000000
       0.657700       0.779568       0.000000
       0.659700       0.779441       0.000000
       0.661700       0.782230       0.000000
       0.663700       0.781122       0.000000
       0.665700       0.784111       0.000000
       0.667700       0.783851       0.000000
       0.670200       0.781964       0.000000
       0.673200       0.783995       0.000000
       0.676200       0.783442       0.000000
       0.679200       0.783611       0.000000
       0.682200       0.788685       0.000000
       0.685200       0.787564       0.000000
       0.688200       0.785050       0.000000
       0.691200       0.788781       0.000000
       0.694200       0.785230       0.000000
       0.697200       0.789687       0.000000
       0.700200       0.786998       0.000000
       0.702000       0.791687       0.000000
       0.704000       0.793141       0.000000
       0.706000       0.793421       0.000000
       0.708000       0.795265       0.000000
       0.710000       0.789909       0.000000
       0.712000       0.792456       0.000000
       0.714000       0.792090       0.000000
       0.716000       0.793759       0.000000
       0.718000       0.796256       0.000000
       0.720000       0.797813       0.000000
       0.722000       0.796280       0.000000
       0.724000       0.799165       0.000000
       0.726000       0.800121       0.000000
       0.728000       0.798384       0.000000
       0.730000       0.797958       0.000000
       0.732000       0.799279       0.000000
       0.734000       0.797416       0.000000
       0.736000       0.802542       0.000000
       0.738000       0.798506       0.000000
       0.740000       0.802531       0.000000
       0.742000       0.800643       0.000000
       0.744000       0.801115       0.000000
       0.746000       0.801265       0.000000
       0.748000       0.799700       0.000000
       0.750500       0.804238       0.000000
       0.753500       0.805206       0.000000
       0.756500       0.807476       0.000000
       0.759500       0.806422       0.000000
       0.762500       0.807614       0.000000
       0.765500       0.803897       0.000000
       0.768500       0.805722       0.000000
       0.771500       0.804098       0.000000
       0.774500       0.805921       0.000000
       0.777500       0.809745       0.000000
       0.781000       0.808175       0.000000
       0.785000       0.807275       0.000000
       0.789000       0.808327       0.000000
       0.793000       0.808902       0.000000
       0.797000       0.812118       0.000000
       0.801500       0.812567       0.000000
       0.806500       0.811422       0.000000
       0.811500       0.816956       0.000000
       0.816500       0.812858       0.000000
       0.822000       0.813566       0.000000
       0.828000       0.814252       0.000000
       0.835000      -1.23e34       -1.23e34 
       0.843000      -1.23e34       -1.23e34 
       0.851000       0.820804       0.000000
       0.859000       0.815321       0.000000
       0.871000       0.812792       0.000000
       0.883000       0.808562       0.000000
       0.894000       0.812615       0.000000
       0.904000       0.813020       0.000000
       0.914000       0.805922       0.000000
       0.924000       0.807995       0.000000
       0.933000       0.803842       0.000000
       0.941000       0.804478       0.000000
       0.949000       0.798920       0.000000
       0.957000       0.792440       0.000000
       0.964000       0.788720       0.000000
       0.970000       0.792271       0.000000
       0.976000       0.801935       0.000000
       0.982000       0.798408       0.000000
       0.988000       0.797014       0.000000
       0.994000       0.794701       0.000000
       1.000000       0.791829       0.000000
       1.006000       0.794227       0.000000
       1.012000       0.795022       0.000000
       1.018000       0.800349       0.000000
       1.023500       0.802972       0.000000
       1.028500       0.808685       0.000000
       1.033500       0.807196       0.000000
       1.038500       0.807026       0.000000
       1.043500       0.812716       0.000000
       1.048500       0.810688       0.000000
       1.053500       0.809921       0.000000
       1.058500       0.809996       0.000000
       1.063500       0.810538       0.000000
       1.068500       0.810714       0.000000
       1.073500       0.807230       0.000000
       1.078500       0.811712       0.000000
       1.083500       0.808907       0.000000
       1.088500       0.808265       0.000000
       1.093500       0.809689       0.000000
       1.098500       0.808917       0.000000
       1.103500       0.808813       0.000000
       1.108500       0.807440       0.000000
       1.113500       0.808580       0.000000
       1.118500       0.808469       0.000000
       1.123500       0.809761       0.000000
       1.128500       0.809530       0.000000
       1.133500       0.809966       0.000000
       1.138500       0.811560       0.000000
       1.143500       0.811777       0.000000
       1.148500       0.810966       0.000000
       1.153500       0.809988       0.000000
       1.158500       0.809636       0.000000
       1.163500       0.808929       0.000000
       1.168500       0.807409       0.000000
       1.173500       0.805656       0.000000
       1.178500       0.805760       0.000000
       1.183500       0.806437       0.000000
       1.188500       0.806361       0.000000
       1.193500       0.804436       0.000000
       1.198500       0.802718       0.000000
       1.203500       0.802048       0.000000
       1.208500       0.799341       0.000000
       1.213500       0.798203       0.000000
       1.218500       0.795947       0.000000
       1.223500       0.788874       0.000000
       1.228500       0.781934       0.000000
       1.233500       0.774755       0.000000
       1.238500       0.769885       0.000000
       1.243500       0.768688       0.000000
       1.248500       0.774265       0.000000
       1.253500       0.772708       0.000000
       1.258500       0.764899       0.000000
       1.263500       0.760591       0.000000
       1.268500       0.757361       0.000000
       1.273500       0.759984       0.000000
       1.278500       0.766872       0.000000
       1.283500       0.768786       0.000000
       1.288500       0.764067       0.000000
       1.293500       0.760041       0.000000
       1.298500       0.756220       0.000000
       1.303500       0.750731       0.000000
       1.308500       0.744296       0.000000
       1.313500       0.741332       0.000000
       1.318500       0.732915       0.000000
       1.323500       0.725066       0.000000
       1.328500       0.722275       0.000000
       1.333500       0.711998       0.000000
       1.338500       0.707349       0.000000
       1.343500       0.708053       0.000000
       1.348500       0.696343       0.000000
       1.353500       0.668433       0.000000
       1.358500       0.659315       0.000000
       1.363500       0.666718       0.000000
       1.368500       0.676081       0.000000
       1.373500       0.665271       0.000000
       1.378500       0.643858       0.000000
       1.383500       0.617921       0.000000
       1.388500       0.582449       0.000000
       1.393500       0.527455       0.000000
       1.398500       0.526862       0.000000
       1.403500       0.533807       0.000000
       1.408500       0.543051       0.000000
       1.413500       0.482477       0.000000
       1.418500       0.549886       0.000000
       1.423500       0.588980       0.000000
       1.428500       0.603589       0.000000
       1.433500       0.635329       0.000000
       1.438500       0.663802       0.000000
       1.443500       0.675550       0.000000
       1.448500       0.669576       0.000000
       1.453500       0.666708       0.000000
       1.458500       0.664668       0.000000
       1.463500       0.664610       0.000000
       1.468500       0.663619       0.000000
       1.473500       0.645801       0.000000
       1.478500       0.628802       0.000000
       1.483500       0.661201       0.000000
       1.488500       0.689794       0.000000
       1.493500       0.701242       0.000000
       1.498500       0.707375       0.000000
       1.503500       0.714788       0.000000
       1.508500       0.719237       0.000000
       1.513500       0.728920       0.000000
       1.518500       0.732199       0.000000
       1.523500       0.734850       0.000000
       1.528500       0.739566       0.000000
       1.534000       0.740404       0.000000
       1.540000       0.738919       0.000000
       1.546000       0.740889       0.000000
       1.552000       0.742360       0.000000
       1.558000       0.741328       0.000000
       1.564000       0.742143       0.000000
       1.570500       0.742821       0.000000
       1.577500       0.741230       0.000000
       1.584500       0.742301       0.000000
       1.591500       0.744895       0.000000
       1.598500       0.743119       0.000000
       1.605500       0.740689       0.000000
       1.612500       0.742322       0.000000
       1.619500       0.743481       0.000000
       1.626500       0.740837       0.000000
       1.633500       0.741334       0.000000
       1.640500       0.738783       0.000000
       1.647500       0.736804       0.000000
       1.654500       0.739638       0.000000
       1.661500       0.730512       0.000000
       1.668500       0.733697       0.000000
       1.676000       0.725949       0.000000
       1.684000       0.724515       0.000000
       1.692000       0.720189       0.000000
       1.700000       0.720124       0.000000
       1.708000       0.712191       0.000000
       1.716000       0.708556       0.000000
       1.724000       0.700366       0.000000
       1.732000       0.689746       0.000000
       1.740000       0.676059       0.000000
       1.748000       0.668173       0.000000
       1.756000       0.659283       0.000000
       1.764000       0.648066       0.000000
       1.772000       0.645485       0.000000
       1.780000       0.644326       0.000000
       1.788000       0.653697       0.000000
       1.796000       0.657140       0.000000
       1.805000       0.656951       0.000000
       1.815000       0.650262       0.000000
       1.825000       0.653296       0.000000
       1.835000       0.655788       0.000000
       1.845000       0.650260       0.000000
       1.855000       0.663982       0.000000
       1.865000       0.660928       0.000000
       1.875000       0.644079       0.000000
       1.885000       0.620698       0.000000
       1.895000       0.597944       0.000000
       1.905000       0.574634       0.000000
       1.915000       0.554278       0.000000
       1.925000       0.552865       0.000000
       1.935000       0.550055       0.000000
       1.945000       0.548296       0.000000
       1.955000       0.549819       0.000000
       1.965000       0.553625       0.000000
       1.975000       0.554605       0.000000
       1.985000       0.557863       0.000000
       1.995000       0.551084       0.000000
       2.005000       0.544223       0.000000
       2.015000       0.539052       0.000000
       2.025000       0.540019       0.000000
       2.035000       0.532404       0.000000
       2.045000       0.524148       0.000000
       2.055000       0.519655       0.000000
       2.065000       0.507495       0.000000
       2.075000       0.492376       0.000000
       2.085000       0.481648       0.000000
       2.095000       0.471684       0.000000
       2.105000       0.459423       0.000000
       2.115000       0.432428       0.000000
       2.125000       0.412378       0.000000
       2.135000       0.388544       0.000000
       2.145000       0.340299       0.000000
       2.155000       0.288523       0.000000
       2.165000       0.276483       0.000000
       2.175000       0.288484       0.000000
       2.185000       0.291774       0.000000
       2.195000       0.280048       0.000000
       2.205000       0.247242       0.000000
       2.215000       0.294718       0.000000
       2.225000       0.381831       0.000000
       2.235000       0.398174       0.000000
       2.245000       0.402225       0.000000
       2.255000       0.401784       0.000000
       2.265000       0.393781       0.000000
       2.275000       0.376674       0.000000
       2.285000       0.365601       0.000000
       2.295000       0.346856       0.000000
       2.305000       0.334245       0.000000
       2.315000       0.306655       0.000000
