USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaolin_Smect H89-FR-5 .3Kaol W1R1Bb AREF
copy of splib05a r 8525                                     
       0.205100      -1.23e34        0.009680
       0.213100       0.031656       0.001846
       0.221100       0.034176       0.000982
       0.229100       0.032335       0.000890
       0.236100       0.031310       0.000824
       0.242100       0.029179       0.000778
       0.248100       0.030066       0.000615
       0.253600       0.030076       0.000724
       0.258600       0.030437       0.000721
       0.263600       0.031362       0.000735
       0.268600       0.033309       0.000664
       0.273100       0.036827       0.000604
       0.277100       0.039242       0.000759
       0.281100       0.042503       0.000795
       0.285100       0.046651       0.000744
       0.289100       0.050348       0.000509
       0.293100       0.055069       0.000852
       0.297100       0.060946       0.001074
       0.301100       0.066221       0.000643
       0.305100       0.073298       0.000906
       0.309100       0.077845       0.000751
       0.313100       0.084295       0.000696
       0.317100       0.089134       0.000795
       0.321100       0.093749       0.000929
       0.325100       0.097746       0.000947
       0.329100       0.103176       0.000927
       0.333100       0.109098       0.000777
       0.337100       0.114572       0.000474
       0.341100       0.121337       0.000669
       0.345100       0.127565       0.000794
       0.349100       0.134524       0.000939
       0.353100       0.142629       0.000895
       0.357100       0.149636       0.000946
       0.360600       0.156073       0.000766
       0.363600       0.159898       0.000794
       0.366600       0.164823       0.000691
       0.369600       0.169932       0.000948
       0.372600       0.174899       0.000590
       0.375600       0.180972       0.000557
       0.378600       0.185893       0.000744
       0.381100       0.190799       0.000591
       0.383100       0.194953       0.000631
       0.385100       0.198338       0.000610
       0.387100       0.203039       0.000590
       0.389100       0.206774       0.000640
       0.391100       0.211007       0.000554
       0.393100       0.214614       0.000642
       0.395100       0.218230       0.000760
       0.397100       0.221619       0.000641
       0.399100       0.224797       0.000934
       0.401100       0.228456       0.000908
       0.403100       0.232191       0.000522
       0.405100       0.234518       0.000846
       0.407100       0.236670       0.000671
       0.409100       0.239235       0.000930
       0.411100       0.242505       0.000763
       0.412800       0.244694       0.000770
       0.415800       0.248519       0.000615
       0.418800       0.251798       0.000950
       0.421800       0.255567       0.000579
       0.424800       0.259423       0.000621
       0.427800       0.262339       0.000545
       0.430800       0.267723       0.000642
       0.433800       0.271722       0.000557
       0.436800       0.275168       0.000652
       0.439800       0.279507       0.000808
       0.442800       0.283087       0.000661
       0.445800       0.287399       0.000785
       0.448800       0.290909       0.000951
       0.451300       0.294315       0.000944
       0.453300       0.296991       0.000814
       0.455300       0.299261       0.000786
       0.457300       0.299454       0.000964
       0.459300       0.302906       0.000875
       0.461300       0.303248       0.000742
       0.463300       0.304371       0.000610
       0.465300       0.305870       0.000801
       0.467300       0.307070       0.000937
       0.469300       0.308287       0.000745
       0.471300       0.310046       0.000799
       0.473300       0.310427       0.000946
       0.475300       0.312400       0.000819
       0.477300       0.312555       0.000880
       0.479300       0.314811       0.000827
       0.481300       0.316742       0.000745
       0.483300       0.317504       0.000854
       0.485300       0.319683       0.000791
       0.487300       0.321890       0.000693
       0.489300       0.323816       0.000848
       0.491300       0.325083       0.000771
       0.493300       0.327691       0.000787
       0.495300       0.329444       0.000855
       0.497300       0.330524       0.000816
       0.499300       0.334141       0.000798
       0.501300       0.335615       0.000960
       0.503300       0.338101       0.000934
       0.505300       0.340990       0.000787
       0.507300       0.341998       0.000888
       0.509300       0.344096       0.000895
       0.511300       0.347637       0.000841
       0.513300       0.349134       0.000846
       0.515300       0.350380       0.000922
       0.517300       0.353289       0.000805
       0.519300       0.354884       0.000936
       0.521300       0.356563       0.000810
       0.523300       0.359811       0.000716
       0.525300       0.361789       0.000890
       0.527300       0.362805       0.000932
       0.529300       0.366666       0.000750
       0.531300       0.368412       0.000943
       0.533300       0.369831       0.000957
       0.535300       0.373856       0.000769
       0.537300       0.375170       0.000892
       0.539300       0.377164       0.000934
       0.541300       0.379640       0.000942
       0.543300       0.381559       0.000850
       0.545300       0.383173       0.000927
       0.547300       0.386964       0.000761
       0.549300       0.387754       0.000936
       0.551300       0.389538       0.000656
       0.553300       0.392087       0.000761
       0.555300       0.393990       0.000764
       0.557300       0.397111       0.000895
       0.559300       0.398536       0.000802
       0.561300       0.401883       0.000955
       0.563300       0.404384       0.000737
       0.565300       0.406473       0.000767
       0.567300       0.408026       0.000774
       0.569300       0.411294       0.000859
       0.571300       0.413096       0.000728
       0.573300       0.414624       0.000950
       0.575300       0.417826       0.000789
       0.577300       0.418987       0.000574
       0.579300       0.421484       0.000583
       0.581300       0.424641       0.000553
       0.583300       0.427153       0.000622
       0.585300       0.428370       0.000614
       0.587300       0.429168       0.000734
       0.589300       0.431175       0.000911
       0.591300       0.434433       0.000944
       0.593300       0.437724       0.000945
       0.595300       0.437666       0.000918
       0.597300       0.440179       0.000936
       0.599300       0.440939       0.000949
       0.601100       0.442655       0.000911
       0.602700       0.444315       0.000949
       0.604300       0.445926       0.000948
       0.605900       0.447741       0.000763
       0.607500       0.448409       0.000832
       0.609100       0.449479       0.000921
       0.610700       0.451596       0.000718
       0.612300       0.452357       0.000934
       0.613900       0.453169       0.000829
       0.615500       0.454033       0.000669
       0.617100       0.455735       0.000881
       0.618700       0.457125       0.000727
       0.620300       0.458272       0.000709
       0.621900       0.458999       0.000772
       0.623500       0.460836       0.000936
       0.625100       0.461280       0.000596
       0.626700       0.464830       0.000740
       0.628300       0.463827       0.000917
       0.629900       0.465714       0.000707
       0.631700       0.466321       0.000795
       0.633700       0.467703       0.000697
       0.635700       0.469378       0.000853
       0.637700       0.470941       0.000706
       0.639700       0.472325       0.000672
       0.641700       0.474127       0.000838
       0.643700       0.474292       0.000887
       0.645700       0.476162       0.000811
       0.647700       0.478754       0.000872
       0.649700       0.479510       0.000625
       0.651700       0.480461       0.000831
       0.653700       0.482481       0.000537
       0.655700       0.484306       0.000903
       0.657700       0.485472       0.000570
       0.659700       0.487042       0.000676
       0.661700       0.488941       0.000673
       0.663700       0.489932       0.000631
       0.665700       0.492383       0.000588
       0.667700       0.494155       0.000920
       0.670200       0.495159       0.000862
       0.673200       0.497791       0.000827
       0.676200       0.500823       0.000829
       0.679200       0.501192       0.000915
       0.682200       0.503730       0.000839
       0.685200       0.506537       0.000525
       0.688200       0.508912       0.000636
       0.691200       0.511208       0.000887
       0.694200       0.514544       0.000603
       0.697200       0.515582       0.000614
       0.700200       0.517587       0.000934
       0.702000       0.517739       0.000731
       0.704000       0.520642       0.000743
       0.706000       0.521968       0.000897
       0.708000       0.524534       0.000844
       0.710000       0.524427       0.000825
       0.712000       0.525842       0.000580
       0.714000       0.526873       0.000715
       0.716000       0.529441       0.000832
       0.718000       0.529246       0.000715
       0.720000       0.531126       0.000559
       0.722000       0.532930       0.000631
       0.724000       0.534207       0.000640
       0.726000       0.535698       0.000641
       0.728000       0.537615       0.000554
       0.730000       0.538511       0.000759
       0.732000       0.538246       0.000677
       0.734000       0.540703       0.000617
       0.736000       0.543118       0.000628
       0.738000       0.542563       0.000760
       0.740000       0.543394       0.000656
       0.742000       0.545040       0.000711
       0.744000       0.546811       0.000868
       0.746000       0.546568       0.000839
       0.748000       0.548071       0.000765
       0.750500       0.547863       0.000644
       0.753500       0.549813       0.000547
       0.756500       0.552089       0.000472
       0.759500       0.552046       0.000671
       0.762500       0.553830       0.000947
       0.765500       0.555643       0.000716
       0.768500       0.556587       0.000932
       0.771500       0.557317       0.000645
       0.774500       0.558363       0.000947
       0.777500       0.559419       0.000531
       0.781000       0.559946       0.000559
       0.785000       0.561336       0.000714
       0.789000       0.562909       0.000632
       0.793000       0.563431       0.000660
       0.797000       0.564008       0.000814
       0.801500       0.565266       0.000754
       0.806500       0.567351       0.000591
       0.811500       0.567564       0.000794
       0.816500       0.569366       0.000755
       0.822000       0.568686       0.000712
       0.828000       0.569081       0.000530
       0.835000       0.570585       0.000958
       0.843000       0.572137       0.000980
       0.851000       0.573247       0.001072
       0.859000       0.571303       0.001006
       0.871000       0.573339       0.001007
       0.883000       0.575403       0.000994
       0.894000       0.579429       0.000984
       0.904000       0.581494       0.000987
       0.914000       0.580251       0.000838
       0.924000       0.582669       0.000902
       0.933000       0.587049       0.000972
       0.941000       0.588988       0.000932
       0.949000       0.589378       0.001004
       0.957000       0.590842       0.000995
       0.964000       0.593785       0.001011
       0.970000       0.596086       0.000826
       0.976000       0.599594       0.000945
       0.982000       0.601259       0.001006
       0.988000       0.606931       0.000969
       0.994000       0.605901       0.000631
       1.000000       0.609691       0.000919
       1.006000       0.611026       0.000776
       1.012000       0.611317       0.000999
       1.018000       0.612753       0.000984
       1.023500       0.615030       0.000801
       1.028500       0.616079       0.000976
       1.033500       0.618519       0.001002
       1.038500       0.619479       0.000812
       1.043500       0.620583       0.000976
       1.048500       0.623179       0.000897
       1.053500       0.625502       0.000707
       1.058500       0.625713       0.000989
       1.063500       0.626383       0.001009
       1.068500       0.628534       0.001008
       1.073500       0.629216       0.000987
       1.078500       0.632711       0.000906
       1.083500       0.631585       0.001005
       1.088500       0.633177       0.000782
       1.093500       0.634544       0.001010
       1.098500       0.637241       0.000900
       1.103500       0.638259       0.001011
       1.108500       0.640181       0.000974
       1.113500       0.641356       0.000705
       1.118500       0.639044       0.000792
       1.123500       0.643462       0.000986
       1.128500       0.644285       0.000982
       1.133500       0.644852       0.000730
       1.138500       0.644686       0.000788
       1.143500       0.645500       0.000940
       1.148500       0.647368       0.000742
       1.153500       0.647158       0.000921
       1.158500       0.648004       0.000914
       1.163500       0.649303       0.000895
       1.168500       0.650304       0.000996
       1.173500       0.653396       0.000716
       1.178500       0.652912       0.000998
       1.183500       0.653715       0.000897
       1.188500       0.659199       0.000930
       1.193500       0.659086       0.000815
       1.198500       0.657628       0.000981
       1.203500       0.659458       0.000914
       1.208500       0.662886       0.000788
       1.213500       0.661401       0.000895
       1.218500       0.663234       0.000999
       1.223500       0.664544       0.000803
       1.228500       0.664646       0.000806
       1.233500       0.666458       0.000840
       1.238500       0.666048       0.000988
       1.243500       0.667774       0.000745
       1.248500       0.668173       0.000917
       1.253500       0.669565       0.000792
       1.258500       0.671328       0.000651
       1.263500       0.672757       0.000746
       1.268500       0.671781       0.000813
       1.273500       0.672220       0.000752
       1.278500       0.674279       0.000701
       1.283500       0.674714       0.000830
       1.288500       0.674072       0.000752
       1.293500       0.674182       0.000798
       1.298500       0.675470       0.000761
       1.303500       0.671190       0.000793
       1.308500       0.671556       0.000634
       1.313500       0.672063       0.000923
       1.318500       0.671597       0.000817
       1.323500       0.669802       0.000958
       1.328500       0.670562       0.000658
       1.333500       0.670608       0.000769
       1.338500       0.667504       0.000948
       1.343500       0.668424       0.000829
       1.348500       0.666227       0.000977
       1.353500       0.663630       0.000843
       1.358500       0.658782       0.000997
       1.363500       0.655412       0.000990
       1.368500       0.652073       0.000993
       1.373500       0.643438       0.001007
       1.378500       0.625621       0.001000
       1.383500       0.600394       0.000945
       1.388500       0.582868       0.000999
       1.393500       0.572380       0.001004
       1.398500       0.562524       0.000909
       1.403500       0.550488       0.000987
       1.408500       0.534958       0.001005
       1.413500       0.513879       0.000993
       1.418500       0.537180       0.000803
       1.423500       0.564982       0.000993
       1.428500       0.581700       0.000971
       1.433500       0.594473       0.000988
       1.438500       0.605680       0.001005
       1.443500       0.613047       0.000997
       1.448500       0.617518       0.000869
       1.453500       0.621641       0.000987
       1.458500       0.625350       0.000903
       1.463500       0.623936       0.001002
       1.468500       0.627869       0.000994
       1.473500       0.634377       0.001004
       1.478500       0.638564       0.000980
       1.483500       0.645360       0.000942
       1.488500       0.650512       0.000857
       1.493500       0.653366       0.001007
       1.498500       0.655555       0.001006
       1.503500       0.662063       0.000880
       1.508500       0.661961       0.001017
       1.513500       0.666632       0.001018
       1.518500       0.669403       0.001000
       1.523500       0.674684       0.001004
       1.528500       0.675897       0.000909
       1.534000       0.678686       0.000662
       1.540000       0.675753       0.000904
       1.546000       0.681140       0.000931
       1.552000       0.682953       0.000705
       1.558000       0.685925       0.001017
       1.564000       0.686922       0.000815
       1.570500       0.689518       0.000783
       1.577500       0.689504       0.000944
       1.584500       0.690715       0.000850
       1.591500       0.693085       0.000734
       1.598500       0.695089       0.000999
       1.605500       0.697178       0.000746
       1.612500       0.697140       0.000854
       1.619500       0.696850       0.000831
       1.626500       0.699503       0.000853
       1.633500       0.699160       0.000989
       1.640500       0.699361       0.000996
       1.647500       0.702361       0.000995
       1.654500       0.703928       0.000999
       1.661500       0.702518       0.001016
       1.668500       0.701612       0.000906
       1.676000       0.701701       0.000869
       1.684000       0.702091       0.000988
       1.692000       0.704992       0.001015
       1.700000       0.704715       0.001019
       1.708000       0.705647       0.001011
       1.716000       0.700573       0.001007
       1.724000       0.700905       0.001023
       1.732000       0.696603       0.001020
       1.740000       0.697455       0.001020
       1.748000       0.698021       0.001018
       1.756000       0.694696       0.001013
       1.764000       0.692410       0.001023
       1.772000       0.690894       0.000860
       1.780000       0.688780       0.001023
       1.788000       0.685971       0.001010
       1.796000       0.683505       0.000977
       1.805000       0.681309       0.000731
       1.815000       0.678996       0.000875
       1.825000       0.678016       0.000799
       1.835000       0.677672       0.000979
       1.845000       0.674584       0.000969
       1.855000       0.669097       0.000997
       1.865000       0.654685       0.000775
       1.875000       0.623597       0.000854
       1.885000       0.569471       0.000978
       1.895000       0.495909       0.000849
       1.905000       0.426661       0.000788
       1.915000       0.415174       0.001003
       1.925000       0.444219       0.000987
       1.935000       0.470022       0.000982
       1.945000       0.486254       0.001002
       1.955000       0.497368       0.001007
       1.965000       0.509093       0.000994
       1.975000       0.520192       0.000993
       1.985000       0.531989       0.001009
       1.995000       0.545851       0.001003
       2.005000       0.558643       0.000980
       2.015000       0.568969       0.000999
       2.025000       0.581993       0.000999
       2.035000       0.588839       0.001005
       2.045000       0.596389       0.001001
       2.055000       0.598587       0.000976
       2.065000       0.600600       0.001001
       2.075000       0.604392       0.001002
       2.085000       0.602039       0.000996
       2.095000       0.601361       0.000995
       2.105000       0.601551       0.000996
       2.115000       0.601307       0.000997
       2.125000       0.598715       0.000993
       2.135000       0.590758       0.000993
       2.145000       0.571189       0.000984
       2.155000       0.539752       0.000991
       2.165000       0.506020       0.000996
       2.175000       0.484363       0.000987
       2.185000       0.472073       0.000990
       2.195000       0.464231       0.000994
       2.205000       0.440228       0.001001
       2.215000       0.467992       0.001002
       2.225000       0.511878       0.001002
       2.235000       0.522582       0.001003
       2.245000       0.530900       0.001019
       2.255000       0.537080       0.001018
       2.265000       0.536807       0.001080
       2.275000       0.533375       0.001172
       2.285000       0.529201       0.001684
       2.295000       0.514075       0.002249
       2.305000       0.499846       0.002134
       2.315000       0.489289       0.001472
       2.325000       0.479713       0.001038
       2.335000       0.472518       0.000988
       2.345000       0.464936       0.000990
