USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaolin/Smect KLF511 .12Kaol  W1R1Bb AREF
copy of splib05a r 8501                                     
       0.205100      -1.23e34        0.004091
       0.213100       0.031580       0.001297
       0.221100       0.034891       0.000982
       0.229100       0.033573       0.000891
       0.236100       0.033051       0.000825
       0.242100       0.032085       0.000777
       0.248100       0.032285       0.000741
       0.253600       0.032343       0.000718
       0.258600       0.033336       0.000710
       0.263600       0.034165       0.000736
       0.268600       0.036093       0.000744
       0.273100       0.038228       0.000757
       0.277100       0.039816       0.000768
       0.281100       0.042782       0.000785
       0.285100       0.045034       0.000814
       0.289100       0.048119       0.000846
       0.293100       0.051572       0.000863
       0.297100       0.055739       0.001097
       0.301100       0.059947       0.000867
       0.305100       0.065721       0.000649
       0.309100       0.070254       0.000897
       0.313100       0.076169       0.000695
       0.317100       0.081667       0.000895
       0.321100       0.087232       0.000661
       0.325100       0.092308       0.000949
       0.329100       0.097714       0.000843
       0.333100       0.103897       0.000935
       0.337100       0.109363       0.000717
       0.341100       0.114256       0.000557
       0.345100       0.120755       0.000913
       0.349100       0.126129       0.000884
       0.353100       0.131817       0.000698
       0.357100       0.136864       0.000679
       0.360600       0.139545       0.000732
       0.363600       0.143091       0.000946
       0.366600       0.144935       0.000646
       0.369600       0.148173       0.000607
       0.372600       0.151674       0.000535
       0.375600       0.156050       0.000778
       0.378600       0.161236       0.000922
       0.381100       0.165464       0.000782
       0.383100       0.170553       0.000965
       0.385100       0.173277       0.000676
       0.387100       0.178541       0.000926
       0.389100       0.181520       0.000552
       0.391100       0.186594       0.000883
       0.393100       0.190292       0.000635
       0.395100       0.194929       0.000709
       0.397100       0.198506       0.000691
       0.399100       0.202409       0.000677
       0.401100       0.206723       0.000861
       0.403100       0.210455       0.000558
       0.405100       0.213792       0.000667
       0.407100       0.217351       0.000487
       0.409100       0.220666       0.000965
       0.411100       0.226077       0.000689
       0.412800       0.227720       0.000727
       0.415800       0.233421       0.000492
       0.418800       0.237545       0.000844
       0.421800       0.243942       0.000576
       0.424800       0.248276       0.000631
       0.427800       0.255033       0.000628
       0.430800       0.260145       0.000583
       0.433800       0.268448       0.000602
       0.436800       0.275635       0.000529
       0.439800       0.281002       0.000611
       0.442800       0.287752       0.000510
       0.445800       0.292345       0.000687
       0.448800       0.298839       0.000963
       0.451300       0.304110       0.000673
       0.453300       0.307534       0.000778
       0.455300       0.310912       0.000742
       0.457300       0.313992       0.000928
       0.459300       0.317724       0.000941
       0.461300       0.320767       0.000601
       0.463300       0.321037       0.000837
       0.465300       0.323837       0.000619
       0.467300       0.325414       0.000827
       0.469300       0.327374       0.000721
       0.471300       0.328463       0.000794
       0.473300       0.331636       0.000690
       0.475300       0.332958       0.000785
       0.477300       0.335327       0.000941
       0.479300       0.337120       0.000905
       0.481300       0.340072       0.000727
       0.483300       0.342044       0.000693
       0.485300       0.345154       0.000752
       0.487300       0.348661       0.000679
       0.489300       0.350008       0.000928
       0.491300       0.355454       0.000675
       0.493300       0.357292       0.000727
       0.495300       0.361554       0.000767
       0.497300       0.364953       0.000719
       0.499300       0.369314       0.000773
       0.501300       0.374312       0.000703
       0.503300       0.378154       0.000742
       0.505300       0.382712       0.000686
       0.507300       0.386460       0.000707
       0.509300       0.390963       0.000773
       0.511300       0.395814       0.000683
       0.513300       0.401379       0.000626
       0.515300       0.406087       0.000703
       0.517300       0.411499       0.000864
       0.519300       0.415538       0.000759
       0.521300       0.420452       0.000686
       0.523300       0.425814       0.000887
       0.525300       0.431393       0.000704
       0.527300       0.435221       0.000925
       0.529300       0.441947       0.000763
       0.531300       0.447468       0.000835
       0.533300       0.452679       0.000646
       0.535300       0.457158       0.000718
       0.537300       0.462452       0.000905
       0.539300       0.469247       0.000788
       0.541300       0.473448       0.000931
       0.543300       0.478892       0.000758
       0.545300       0.481514       0.000866
       0.547300       0.489259       0.000709
       0.549300       0.491966       0.000832
       0.551300       0.495040       0.000854
       0.553300       0.500238       0.000736
       0.555300       0.504246       0.000563
       0.557300       0.507722       0.000761
       0.559300       0.512623       0.000944
       0.561300       0.515936       0.000828
       0.563300       0.519448       0.000660
       0.565300       0.522610       0.000563
       0.567300       0.524808       0.000681
       0.569300       0.527607       0.000756
       0.571300       0.531416       0.000621
       0.573300       0.532859       0.000759
       0.575300       0.534484       0.000821
       0.577300       0.536110       0.000764
       0.579300       0.538257       0.000944
       0.581300       0.539591       0.000816
       0.583300       0.542648       0.000929
       0.585300       0.544502       0.000950
       0.587300       0.545307       0.000925
       0.589300       0.546308       0.000932
       0.591300       0.547701       0.000957
       0.593300       0.549068       0.000783
       0.595300       0.551623       0.000768
       0.597300       0.550668       0.000946
       0.599300       0.551223       0.000837
       0.601100       0.552925       0.000922
       0.602700       0.552940       0.000590
       0.604300       0.554357       0.000842
       0.605900       0.556248       0.000871
       0.607500       0.556218       0.000718
       0.609100       0.556242       0.000925
       0.610700       0.556451       0.000739
       0.612300       0.557857       0.000782
       0.613900       0.558763       0.000814
       0.615500       0.559527       0.000910
       0.617100       0.560221       0.000675
       0.618700       0.559795       0.000785
       0.620300       0.559503       0.000884
       0.621900       0.561315       0.000923
       0.623500       0.562049       0.000797
       0.625100       0.564030       0.000695
       0.626700       0.563000       0.000780
       0.628300       0.564590       0.000849
       0.629900       0.564763       0.000686
       0.631700       0.565307       0.000736
       0.633700       0.567299       0.000797
       0.635700       0.567357       0.000794
       0.637700       0.568756       0.000944
       0.639700       0.570021       0.000630
       0.641700       0.570477       0.000688
       0.643700       0.572177       0.000679
       0.645700       0.572339       0.000932
       0.647700       0.574377       0.000927
       0.649700       0.576495       0.000864
       0.651700       0.576468       0.000480
       0.653700       0.576876       0.000720
       0.655700       0.578320       0.000681
       0.657700       0.580207       0.000636
       0.659700       0.580525       0.000690
       0.661700       0.582686       0.000705
       0.663700       0.584399       0.000682
       0.665700       0.585945       0.000848
       0.667700       0.586715       0.000877
       0.670200       0.588719       0.000700
       0.673200       0.590356       0.000842
       0.676200       0.592205       0.000906
       0.679200       0.594389       0.000872
       0.682200       0.596293       0.000940
       0.685200       0.598732       0.000674
       0.688200       0.601749       0.000511
       0.691200       0.603944       0.000669
       0.694200       0.604453       0.000946
       0.697200       0.608398       0.000605
       0.700200       0.608629       0.000935
       0.702000       0.609328       0.000802
       0.704000       0.612134       0.000682
       0.706000       0.612994       0.000672
       0.708000       0.614214       0.000952
       0.710000       0.616170       0.000947
       0.712000       0.616684       0.000917
       0.714000       0.619066       0.000827
       0.716000       0.619631       0.000550
       0.718000       0.620076       0.000861
       0.720000       0.622412       0.000582
       0.722000       0.622565       0.000876
       0.724000       0.624748       0.000601
       0.726000       0.625412       0.000536
       0.728000       0.626690       0.000756
       0.730000       0.628042       0.000952
       0.732000       0.628140       0.000719
       0.734000       0.630214       0.000751
       0.736000       0.630339       0.000685
       0.738000       0.631701       0.000763
       0.740000       0.634081       0.000641
       0.742000       0.634156       0.000926
       0.744000       0.635481       0.000708
       0.746000       0.636420       0.000741
       0.748000       0.637183       0.000496
       0.750500       0.637621       0.000902
       0.753500       0.638467       0.000469
       0.756500       0.639719       0.000876
       0.759500       0.640216       0.000662
       0.762500       0.643554       0.000490
       0.765500       0.643424       0.000731
       0.768500       0.644364       0.000683
       0.771500       0.645354       0.000696
       0.774500       0.645656       0.000848
       0.777500       0.647073       0.000749
       0.781000       0.646498       0.000655
       0.785000       0.649070       0.000627
       0.789000       0.648405       0.000720
       0.793000       0.649545       0.000666
       0.797000       0.649376       0.000526
       0.801500       0.651254       0.000511
       0.806500       0.651451       0.000669
       0.811500       0.651545       0.000784
       0.816500       0.652479       0.000845
       0.822000       0.651576       0.000970
       0.828000       0.651735       0.000815
       0.835000       0.652515       0.000970
       0.843000       0.650711       0.000882
       0.851000       0.650064       0.001082
       0.859000       0.646861       0.001016
       0.871000       0.646182       0.001017
       0.883000       0.644736       0.001005
       0.894000       0.644832       0.001002
       0.904000       0.644231       0.000993
       0.914000       0.642121       0.001004
       0.924000       0.640771       0.000885
       0.933000       0.642027       0.000734
       0.941000       0.641740       0.000786
       0.949000       0.640136       0.001007
       0.957000       0.639267       0.000942
       0.964000       0.641649       0.000994
       0.970000       0.641932       0.000969
       0.976000       0.644142       0.000894
       0.982000       0.646368       0.000837
       0.988000       0.645993       0.000645
       0.994000       0.646825       0.000744
       1.000000       0.648937       0.000982
       1.006000       0.649218       0.000842
       1.012000       0.650544       0.000997
       1.018000       0.651329       0.000999
       1.023500       0.652036       0.000766
       1.028500       0.655331       0.000700
       1.033500       0.653448       0.000865
       1.038500       0.658247       0.000818
       1.043500       0.656668       0.000882
       1.048500       0.658276       0.000829
       1.053500       0.659769       0.000695
       1.058500       0.660545       0.000777
       1.063500       0.661110       0.000837
       1.068500       0.662968       0.000555
       1.073500       0.664233       0.001002
       1.078500       0.665030       0.000895
       1.083500       0.666614       0.000766
       1.088500       0.668384       0.000913
       1.093500       0.668415       0.000876
       1.098500       0.669289       0.000752
       1.103500       0.670696       0.000654
       1.108500       0.672507       0.000618
       1.113500       0.671475       0.000618
       1.118500       0.673300       0.000723
       1.123500       0.676463       0.000766
       1.128500       0.677414       0.000745
       1.133500       0.676986       0.000769
       1.138500       0.679454       0.000672
       1.143500       0.679004       0.000673
       1.148500       0.677774       0.000778
       1.153500       0.678239       0.000705
       1.158500       0.679105       0.000726
       1.163500       0.679927       0.000630
       1.168500       0.681010       0.000575
       1.173500       0.681900       0.000725
       1.178500       0.684065       0.000947
       1.183500       0.685812       0.000647
       1.188500       0.687861       0.001010
       1.193500       0.687925       0.000699
       1.198500       0.687167       0.000667
       1.203500       0.687043       0.000758
       1.208500       0.690303       0.000763
       1.213500       0.690059       0.000581
       1.218500       0.691997       0.000797
       1.223500       0.691881       0.000711
       1.228500       0.692863       0.000628
       1.233500       0.692160       0.000700
       1.238500       0.694367       0.000800
       1.243500       0.696094       0.000842
       1.248500       0.695907       0.000670
       1.253500       0.696723       0.000643
       1.258500       0.697439       0.000792
       1.263500       0.697903       0.000568
       1.268500       0.698465       0.000806
       1.273500       0.698995       0.000682
       1.278500       0.698938       0.000838
       1.283500       0.700157       0.000743
       1.288500       0.699200       0.000811
       1.293500       0.698731       0.000672
       1.298500       0.699555       0.000809
       1.303500       0.697837       0.000723
       1.308500       0.696573       0.000663
       1.313500       0.697113       0.000672
       1.318500       0.695650       0.000758
       1.323500       0.696758       0.000727
       1.328500       0.694538       0.000654
       1.333500       0.695184       0.000696
       1.338500       0.693102       0.000648
       1.343500       0.692588       0.000653
       1.348500       0.690872       0.000780
       1.353500       0.687887       0.000801
       1.358500       0.685142       0.000858
       1.363500       0.682759       0.000975
       1.368500       0.680527       0.000829
       1.373500       0.676729       0.000992
       1.378500       0.664665       0.000909
       1.383500       0.649249       0.000882
       1.388500       0.632405       0.001011
       1.393500       0.615598       0.001006
       1.398500       0.594539       0.000843
       1.403500       0.579373       0.001000
       1.408500       0.560873       0.000984
       1.413500       0.549862       0.000780
       1.418500       0.557821       0.000911
       1.423500       0.576902       0.000972
       1.428500       0.590832       0.000720
       1.433500       0.604757       0.000798
       1.438500       0.614622       0.000937
       1.443500       0.621313       0.000633
       1.448500       0.627235       0.000958
       1.453500       0.629523       0.000748
       1.458500       0.633521       0.000833
       1.463500       0.633944       0.000874
       1.468500       0.635955       0.000837
       1.473500       0.643135       0.000967
       1.478500       0.646262       0.000694
       1.483500       0.653058       0.000986
       1.488500       0.657632       0.000815
       1.493500       0.663001       0.001013
       1.498500       0.666825       0.000970
       1.503500       0.668621       0.000720
       1.508500       0.673237       0.001004
       1.513500       0.675594       0.001016
       1.518500       0.676826       0.001006
       1.523500       0.679991       0.000757
       1.528500       0.683029       0.001008
       1.534000       0.686108       0.001012
       1.540000       0.685779       0.000826
       1.546000       0.690019       0.000982
       1.552000       0.692689       0.000831
       1.558000       0.694996       0.001008
       1.564000       0.695513       0.000814
       1.570500       0.695984       0.000930
       1.577500       0.696644       0.000613
       1.584500       0.699886       0.000879
       1.591500       0.701682       0.001002
       1.598500       0.702237       0.000768
       1.605500       0.702486       0.000794
       1.612500       0.705640       0.000896
       1.619500       0.705542       0.000783
       1.626500       0.707524       0.000558
       1.633500       0.707460       0.000992
       1.640500       0.708729       0.001001
       1.647500       0.710857       0.001003
       1.654500       0.710496       0.001025
       1.661500       0.710334       0.000985
       1.668500       0.711739       0.000855
       1.676000       0.711157       0.000825
       1.684000       0.710007       0.001017
       1.692000       0.712317       0.001016
       1.700000       0.715313       0.001019
       1.708000       0.713075       0.001022
       1.716000       0.710122       0.000998
       1.724000       0.709206       0.001022
       1.732000       0.708082       0.001012
       1.740000       0.708449       0.001005
       1.748000       0.707184       0.001023
       1.756000       0.704259       0.001009
       1.764000       0.702260       0.001011
       1.772000       0.699597       0.001022
       1.780000       0.701159       0.001025
       1.788000       0.703565       0.001024
       1.796000       0.695110       0.000967
       1.805000       0.694273       0.000626
       1.815000       0.690884       0.000780
       1.825000       0.688927       0.000644
       1.835000       0.687792       0.000930
       1.845000       0.685766       0.001000
       1.855000       0.680746       0.000713
       1.865000       0.667794       0.000995
       1.875000       0.636323       0.000925
       1.885000       0.585084       0.000956
       1.895000       0.503821       0.000904
       1.905000       0.430615       0.000953
       1.915000       0.421449       0.000976
       1.925000       0.449045       0.000854
       1.935000       0.473779       0.000791
       1.945000       0.490499       0.000995
       1.955000       0.502190       0.000973
       1.965000       0.512373       0.000849
       1.975000       0.525206       0.000860
       1.985000       0.535555       0.000990
       1.995000       0.547776       0.000888
       2.005000       0.565654       0.000996
       2.015000       0.577223       0.000992
       2.025000       0.590420       0.001006
       2.035000       0.600695       0.000979
       2.045000       0.608993       0.000993
       2.055000       0.612703       0.000994
       2.065000       0.618141       0.000981
       2.075000       0.619726       0.000985
       2.085000       0.623632       0.000986
       2.095000       0.625603       0.000989
       2.105000       0.626541       0.000994
       2.115000       0.629000       0.000992
       2.125000       0.631896       0.000989
       2.135000       0.628569       0.000987
       2.145000       0.620957       0.000989
       2.155000       0.602861       0.000990
       2.165000       0.578774       0.000981
       2.175000       0.556286       0.000981
       2.185000       0.540200       0.001001
       2.195000       0.529974       0.001005
       2.205000       0.515315       0.001001
       2.215000       0.526784       0.001003
       2.225000       0.553495       0.001009
       2.235000       0.561191       0.001007
       2.245000       0.567620       0.001022
       2.255000       0.577044       0.001020
       2.265000       0.578547       0.001088
       2.275000       0.573750       0.001112
       2.285000       0.567241       0.001466
       2.295000       0.555788       0.001878
       2.305000       0.548115       0.001886
       2.315000       0.541358       0.001287
       2.325000       0.529138       0.001044
       2.335000       0.515214       0.000996
       2.345000       0.509294       0.000993
