USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Magnetite_skarn BR93-5B      W1R1Bb AREF
copy of splib05a r 8608                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100       0.045873       0.000978
       0.305100       0.048150       0.000917
       0.309100       0.049230       0.000609
       0.313100       0.050595       0.001191
       0.317100       0.051472       0.001026
       0.321100       0.052751       0.001352
       0.325100       0.054292       0.000770
       0.329100       0.055856       0.000798
       0.333100       0.056920       0.000742
       0.337100       0.058210       0.000674
       0.341100       0.059075       0.000777
       0.345100       0.060219       0.000737
       0.349100       0.061291       0.000760
       0.353100       0.062624       0.001086
       0.357100       0.064149       0.000807
       0.360600       0.064721       0.000701
       0.363600       0.065570       0.000979
       0.366600       0.066273       0.000751
       0.369600       0.066838       0.000753
       0.372600       0.068114       0.000665
       0.375600       0.068807       0.000894
       0.378600       0.069876       0.000663
       0.381100       0.070588       0.001104
       0.383100       0.070608       0.000891
       0.385100       0.072005       0.000776
       0.387100       0.072273       0.000805
       0.389100       0.072846       0.000730
       0.391100       0.073486       0.000711
       0.393100       0.074046       0.000807
       0.395100       0.074291       0.000700
       0.397100       0.074675       0.000633
       0.399100       0.074667       0.000795
       0.401100       0.075730       0.000779
       0.403100       0.075848       0.001012
       0.405100       0.076495       0.000824
       0.407100       0.076426       0.000670
       0.409100       0.077295       0.000647
       0.411100       0.078033       0.001160
       0.412800       0.078822       0.000691
       0.415800       0.078651       0.000854
       0.418800       0.079879       0.000724
       0.421800       0.080941       0.000739
       0.424800       0.081195       0.000820
       0.427800       0.081856       0.000896
       0.430800       0.084018       0.000709
       0.433800       0.084116       0.000774
       0.436800       0.084924       0.000706
       0.439800       0.086078       0.000705
       0.442800       0.086552       0.000753
       0.445800       0.088057       0.001050
       0.448800       0.087778       0.001289
       0.451300       0.088207       0.001329
       0.453300       0.089879       0.001054
       0.455300       0.089284       0.001361
       0.457300       0.088854       0.001346
       0.459300       0.090780       0.001278
       0.461300       0.090555       0.000871
       0.463300       0.090849       0.000879
       0.465300       0.091232       0.001339
       0.467300       0.092324       0.000988
       0.469300       0.092202       0.000850
       0.471300       0.093612       0.000881
       0.473300       0.093286       0.000818
       0.475300       0.093775       0.001273
       0.477300       0.094589       0.000901
       0.479300       0.094906       0.001026
       0.481300       0.095787       0.000877
       0.483300       0.096561       0.000933
       0.485300       0.096607       0.000920
       0.487300       0.097726       0.001227
       0.489300       0.097579       0.000937
       0.491300       0.098294       0.001269
       0.493300       0.099218       0.000976
       0.495300       0.098973       0.000962
       0.497300       0.101273       0.001196
       0.499300       0.101027       0.001033
       0.501300       0.100809       0.001273
       0.503300       0.102632       0.000957
       0.505300       0.103220       0.000815
       0.507300       0.103251       0.000896
       0.509300       0.105157       0.000829
       0.511300       0.105158       0.001232
       0.513300       0.105576       0.000900
       0.515300       0.107107       0.000939
       0.517300       0.106800       0.000912
       0.519300       0.107048       0.001355
       0.521300       0.108423       0.001073
       0.523300       0.108205       0.001038
       0.525300       0.109580       0.000927
       0.527300       0.109672       0.001418
       0.529300       0.110690       0.000900
       0.531300       0.111013       0.000897
       0.533300       0.111722       0.001016
       0.535300       0.112292       0.000975
       0.537300       0.112152       0.001582
       0.539300       0.112365       0.001138
       0.541300       0.114249       0.001477
       0.543300       0.113692       0.001108
       0.545300       0.114647       0.001323
       0.547300       0.114443       0.000997
       0.549300       0.115675       0.000949
       0.551300       0.115535       0.000909
       0.553300       0.117152       0.001035
       0.555300       0.115811       0.000901
       0.557300       0.117395       0.001191
       0.559300       0.117190       0.000917
       0.561300       0.117500       0.000963
       0.563300       0.118283       0.001224
       0.565300       0.117573       0.000950
       0.567300       0.118754       0.000940
       0.569300       0.118582       0.000909
       0.571300       0.118826       0.001281
       0.573300       0.120195       0.001036
       0.575300       0.121147       0.001019
       0.577300       0.120233       0.000731
       0.579300       0.120787       0.000749
       0.581300       0.121425       0.000883
       0.583300       0.120993       0.000726
       0.585300       0.121271       0.000990
       0.587300       0.121599       0.000957
       0.589300       0.120907       0.000642
       0.591300       0.121373       0.000959
       0.593300       0.121289       0.000697
       0.595300       0.121482       0.000687
       0.597300       0.122259       0.001479
       0.599300       0.121466       0.000665
       0.601100       0.121378       0.000916
       0.602700       0.122071       0.000709
       0.604300       0.121777       0.000691
       0.605900       0.121571       0.000706
       0.607500       0.121106       0.000896
       0.609100       0.121366       0.000717
       0.610700       0.120796       0.001285
       0.612300       0.121056       0.001014
       0.613900       0.121662       0.001301
       0.615500       0.122784       0.001016
       0.617100       0.121628       0.001094
       0.618700       0.121904       0.001049
       0.620300       0.121645       0.001075
       0.621900       0.121009       0.001016
       0.623500       0.121958       0.000975
       0.625100       0.122596       0.001165
       0.626700       0.121786       0.001209
       0.628300       0.121338       0.001114
       0.629900       0.122303       0.000964
       0.631700       0.122441       0.001297
       0.633700       0.122044       0.001266
       0.635700       0.121909       0.000886
       0.637700       0.122873       0.000852
       0.639700       0.121704       0.001161
       0.641700       0.122426       0.001451
       0.643700       0.122116       0.000996
       0.645700       0.122720       0.000584
       0.647700       0.122133       0.000713
       0.649700       0.122978       0.000729
       0.651700       0.122290       0.000704
       0.653700       0.122599       0.000684
       0.655700       0.122565       0.000694
       0.657700       0.122977       0.000776
       0.659700       0.122719       0.000782
       0.661700       0.122908       0.000685
       0.663700       0.123630       0.000777
       0.665700       0.122891       0.000802
       0.667700       0.123011       0.001063
       0.670200       0.122666       0.000925
       0.673200       0.123372       0.001345
       0.676200       0.122700       0.001077
       0.679200       0.122615       0.000677
       0.682200       0.122304       0.000646
       0.685200       0.122391       0.000896
       0.688200       0.123097       0.000596
       0.691200       0.121995       0.000671
       0.694200       0.122304       0.000740
       0.697200       0.122201       0.000696
       0.700200       0.121650       0.001036
       0.702000       0.122631       0.001284
       0.704000       0.122527       0.000942
       0.706000       0.121959       0.000933
       0.708000       0.121287       0.001325
       0.710000       0.122269       0.000924
       0.712000       0.121408       0.001301
       0.714000       0.121613       0.001049
       0.716000       0.121613       0.001013
       0.718000       0.121320       0.001520
       0.720000       0.121664       0.000650
       0.722000       0.120886       0.000675
       0.724000       0.121129       0.000646
       0.726000       0.120870       0.000625
       0.728000       0.120732       0.000952
       0.730000       0.121146       0.000673
       0.732000       0.120527       0.000660
       0.734000       0.120870       0.000938
       0.736000       0.120108       0.000741
       0.738000       0.120765       0.000692
       0.740000       0.120075       0.000782
       0.742000       0.119854       0.000803
       0.744000       0.120522       0.000769
       0.746000       0.119644       0.000790
       0.748000       0.120092       0.000624
       0.750500       0.120092       0.000997
       0.753500       0.119020       0.000686
       0.756500       0.119125       0.000750
       0.759500       0.119313       0.000629
       0.762500       0.118623       0.000680
       0.765500       0.119053       0.000955
       0.768500       0.118258       0.001045
       0.771500       0.117721       0.000748
       0.774500       0.117778       0.000719
       0.777500       0.117794       0.000684
       0.781000       0.117169       0.000597
       0.785000       0.116738       0.000656
       0.789000       0.116494       0.000892
       0.793000       0.115957       0.000699
       0.797000       0.115511       0.000691
       0.801500       0.114761       0.000720
       0.806500       0.114240       0.000707
       0.811500       0.113643       0.000658
       0.816500       0.112523       0.000727
       0.822000       0.112646       0.000743
       0.828000       0.110968       0.000878
       0.835000       0.111324       0.000846
       0.843000       0.109287       0.000834
       0.851000       0.108340       0.001551
       0.859000       0.107040       0.000935
       0.871000       0.104305       0.000869
       0.883000       0.104979       0.000903
       0.894000       0.102948       0.000783
       0.904000       0.101945       0.000935
       0.914000       0.099526       0.000679
       0.924000       0.099400       0.000639
       0.933000       0.098133       0.000810
       0.941000       0.097606       0.000706
       0.949000       0.096113       0.000974
       0.957000       0.096350       0.000906
       0.964000       0.095707       0.000800
       0.970000       0.094212       0.000756
       0.976000       0.094976       0.000811
       0.982000       0.093239       0.000691
       0.988000       0.093011       0.000687
       0.994000       0.092735       0.000762
       1.000000       0.091342       0.000644
       1.006000       0.091604       0.000739
       1.012000       0.090276       0.001004
       1.018000       0.089363       0.000954
       1.023500       0.091814       0.000860
       1.028500       0.089539       0.000714
       1.033500       0.090102       0.001108
       1.038500       0.089815       0.000691
       1.043500       0.088878       0.000706
       1.048500       0.088941       0.000911
       1.053500       0.089053       0.000748
       1.058500       0.089964       0.000910
       1.063500       0.089938       0.000776
       1.068500       0.089739       0.000769
       1.073500       0.088978       0.000819
       1.078500       0.090535       0.000776
       1.083500       0.089676       0.000954
       1.088500       0.090249       0.000664
       1.093500       0.090835       0.000702
       1.098500       0.090413       0.000802
       1.103500       0.090875       0.000848
       1.108500       0.091436       0.000654
       1.113500       0.090941       0.000900
       1.118500       0.091328       0.000763
       1.123500       0.091666       0.000908
       1.128500       0.091951       0.000826
       1.133500       0.092596       0.000716
       1.138500       0.092036       0.000723
       1.143500       0.092144       0.000896
       1.148500       0.092486       0.000786
       1.153500       0.092901       0.000955
       1.158500       0.093523       0.000758
       1.163500       0.093117       0.000838
       1.168500       0.092400       0.000745
       1.173500       0.092721       0.000830
       1.178500       0.092425       0.001053
       1.183500       0.093647       0.000767
       1.188500       0.095203       0.001051
       1.193500       0.094528       0.000795
       1.198500       0.094230       0.000626
       1.203500       0.094018       0.000780
       1.208500       0.093374       0.000717
       1.213500       0.094275       0.000735
       1.218500       0.093829       0.000830
       1.223500       0.094018       0.000914
       1.228500       0.094091       0.000794
       1.233500       0.094624       0.000695
       1.238500       0.094315       0.000793
       1.243500       0.093907       0.000971
       1.248500       0.094734       0.000674
       1.253500       0.094161       0.000826
       1.258500       0.094279       0.000766
       1.263500       0.094828       0.000672
       1.268500       0.094716       0.000694
       1.273500       0.094092       0.000734
       1.278500       0.095116       0.000834
       1.283500       0.095472       0.000900
       1.288500       0.095569       0.000727
       1.293500       0.095041       0.000640
       1.298500       0.095951       0.000930
       1.303500       0.096363       0.000671
       1.308500       0.095953       0.000794
       1.313500       0.096051       0.000766
       1.318500       0.096001       0.000808
       1.323500       0.096697       0.000683
       1.328500       0.097308       0.000947
       1.333500       0.097678       0.000786
       1.338500       0.096317       0.000676
       1.343500       0.097364       0.000719
       1.348500       0.097440       0.000753
       1.353500       0.096975       0.000708
       1.358500       0.098145       0.000828
       1.363500       0.097994       0.000759
       1.368500       0.098126       0.001003
       1.373500       0.097341       0.001042
       1.378500       0.094127       0.000805
       1.383500       0.095640       0.000970
       1.388500       0.095834       0.000792
       1.393500       0.095395       0.000912
       1.398500       0.095958       0.000857
       1.403500       0.096692       0.000922
       1.408500       0.099977       0.001043
       1.413500       0.099530       0.000765
       1.418500       0.099218       0.000849
       1.423500       0.100282       0.001050
       1.428500       0.099443       0.001024
       1.433500       0.099927       0.000815
       1.438500       0.098020       0.000928
       1.443500       0.099636       0.000802
       1.448500       0.101035       0.000858
       1.453500       0.100135       0.000892
       1.458500       0.100113       0.000952
       1.463500       0.100857       0.000999
       1.468500       0.101789       0.001280
       1.473500       0.100896       0.000766
       1.478500       0.099682       0.001243
       1.483500       0.100355       0.000881
       1.488500       0.101541       0.001178
       1.493500       0.101092       0.001063
       1.498500       0.100806       0.000808
       1.503500       0.100413       0.001018
       1.508500       0.100952       0.001295
       1.513500       0.099925       0.001142
       1.518500       0.100316       0.001462
       1.523500       0.102393       0.001032
       1.528500       0.103388       0.000954
       1.534000       0.100073       0.000924
       1.540000       0.101018       0.000900
       1.546000       0.101251       0.000885
       1.552000       0.101575       0.000867
       1.558000       0.102587       0.000750
       1.564000       0.101739       0.000962
       1.570500       0.100596       0.000646
       1.577500       0.101164       0.000870
       1.584500       0.100031       0.000554
       1.591500       0.100353       0.000716
       1.598500       0.100563       0.000754
       1.605500       0.100204       0.000824
       1.612500       0.100046       0.000903
       1.619500       0.098914       0.000991
       1.626500       0.099250       0.000799
       1.633500       0.100177       0.000805
       1.640500       0.098948       0.001133
       1.647500       0.099106       0.000988
       1.654500       0.099560       0.000831
       1.661500       0.098777       0.000951
       1.668500       0.098519       0.000863
       1.676000       0.098490       0.000794
       1.684000       0.098167       0.000851
       1.692000       0.101297       0.000957
       1.700000       0.100392       0.001251
       1.708000       0.101066       0.001277
       1.716000       0.097506       0.000803
       1.724000       0.097007       0.000862
       1.732000       0.098635       0.001238
       1.740000       0.097451       0.001319
       1.748000       0.098396       0.001410
       1.756000       0.098341       0.001309
       1.764000       0.097925       0.001302
       1.772000       0.096297       0.001324
       1.780000       0.096856       0.001230
       1.788000       0.098273       0.001226
       1.796000       0.098025       0.000936
       1.805000       0.096207       0.000845
       1.815000       0.096216       0.001044
       1.825000       0.095338       0.000990
       1.835000       0.096457       0.000926
       1.845000       0.095765       0.000862
       1.855000       0.094654       0.001015
       1.865000       0.095524       0.000750
       1.875000       0.096587       0.000795
       1.885000       0.094617       0.000757
       1.895000       0.093688       0.000887
       1.905000       0.092119       0.000923
       1.915000       0.093901       0.000908
       1.925000       0.093756       0.000967
       1.935000       0.092435       0.000919
       1.945000       0.093243       0.000948
       1.955000       0.092649       0.001038
       1.965000       0.092693       0.000968
       1.975000       0.091839       0.001110
       1.985000       0.092699       0.001125
       1.995000       0.093706       0.001228
       2.005000       0.093659       0.001137
       2.015000       0.094640       0.001085
       2.025000       0.093154       0.001528
       2.035000       0.093973       0.001184
       2.045000       0.093687       0.001252
       2.055000       0.094256       0.001177
       2.065000       0.095258       0.001318
       2.075000       0.092987       0.001375
       2.085000       0.095553       0.001166
       2.095000       0.095389       0.001404
       2.105000       0.093286       0.001610
       2.115000       0.093682       0.001339
       2.125000       0.094042       0.001750
       2.135000       0.096222       0.001755
       2.145000       0.095969       0.001110
       2.155000       0.092950       0.001129
       2.165000       0.094602       0.001123
       2.175000       0.093986       0.001381
       2.185000       0.093182       0.001744
       2.195000       0.092464       0.001544
       2.205000       0.090789       0.001756
       2.215000       0.090028       0.001776
       2.225000       0.088571       0.001769
       2.235000       0.091852       0.001762
       2.245000       0.085840       0.001771
       2.255000       0.089166       0.001778
       2.265000       0.091772       0.001770
       2.275000       0.085674       0.001786
       2.285000       0.089320       0.001821
       2.295000       0.093175       0.002477
       2.305000       0.089053       0.002407
       2.315000       0.085230       0.001844
       2.325000       0.087184       0.001770
