USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Talc+Clinochlore HS327.3B    W1R1Ba AREF
copy of spd0015 r 782                                       
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100       0.110414       0.000000
       0.229100       0.122667       0.000000
       0.236100       0.107667       0.000000
       0.242100       0.106117       0.000000
       0.248100       0.105670       0.000000
       0.253600       0.102598       0.000000
       0.258600       0.099395       0.000000
       0.263600       0.098716       0.000000
       0.268600       0.101587       0.000000
       0.273100       0.104463       0.000000
       0.277100       0.108496       0.000000
       0.281100       0.115284       0.000000
       0.285100       0.121733       0.000000
       0.289100       0.134214       0.000000
       0.293100       0.142397       0.000000
       0.297100       0.153913       0.000000
       0.301100       0.162805       0.000000
       0.305100       0.173326       0.000000
       0.309100       0.181826       0.000000
       0.313100       0.188046       0.000000
       0.317100       0.193576       0.000000
       0.321100       0.197547       0.000000
       0.325100       0.206056       0.000000
       0.329100       0.214818       0.000000
       0.333100       0.220832       0.000000
       0.337100       0.228106       0.000000
       0.341100       0.226834       0.000000
       0.345100       0.236411       0.000000
       0.349100       0.239589       0.000000
       0.353100       0.245668       0.000000
       0.357100       0.245813       0.000000
       0.360600       0.256245       0.000000
       0.363600       0.260032       0.000000
       0.366600       0.265566       0.000000
       0.369600       0.269859       0.000000
       0.372600       0.271706       0.000000
       0.375600       0.275901       0.000000
       0.378600       0.277739       0.000000
       0.381100       0.280664       0.000000
       0.383100       0.280520       0.000000
       0.385100       0.281373       0.000000
       0.387100       0.288290       0.000000
       0.389100       0.287232       0.000000
       0.391100       0.290811       0.000000
       0.393100       0.292668       0.000000
       0.395100       0.294161       0.000000
       0.397100       0.294928       0.000000
       0.399100       0.297567       0.000000
       0.401100       0.296811       0.000000
       0.403100       0.296536       0.000000
       0.405100       0.297503       0.000000
       0.407100      -1.23e34       -1.23e34 
       0.409100      -1.23e34       -1.23e34 
       0.411100       0.302151       0.000000
       0.412800       0.305962       0.000000
       0.415800       0.306243       0.000000
       0.418800       0.309066       0.000000
       0.421800       0.315487       0.000000
       0.424800       0.319242       0.000000
       0.427800       0.321314       0.000000
       0.430800       0.328358       0.000000
       0.433800       0.330784       0.000000
       0.436800       0.333708       0.000000
       0.439800       0.337760       0.000000
       0.442800       0.341566       0.000000
       0.445800       0.342670       0.000000
       0.448800       0.343595       0.000000
       0.451300       0.347769       0.000000
       0.453300       0.343576       0.000000
       0.455300       0.348494       0.000000
       0.457300       0.348387       0.000000
       0.459300       0.348680       0.000000
       0.461300       0.348637       0.000000
       0.463300       0.352729       0.000000
       0.465300       0.355107       0.000000
       0.467300       0.356617       0.000000
       0.469300       0.356934       0.000000
       0.471300       0.359653       0.000000
       0.473300       0.361844       0.000000
       0.475300       0.363392       0.000000
       0.477300       0.365416       0.000000
       0.479300       0.369098       0.000000
       0.481300       0.372206       0.000000
       0.483300       0.374940       0.000000
       0.485300       0.378518       0.000000
       0.487300       0.377585       0.000000
       0.489300       0.381381       0.000000
       0.491300       0.382879       0.000000
       0.493300       0.383168       0.000000
       0.495300       0.381973       0.000000
       0.497300       0.385730       0.000000
       0.499300       0.386482       0.000000
       0.501300       0.387879       0.000000
       0.503300       0.388450       0.000000
       0.505300       0.389965       0.000000
       0.507300       0.391255       0.000000
       0.509300       0.394850       0.000000
       0.511300       0.395734       0.000000
       0.513300       0.397657       0.000000
       0.515300       0.398097       0.000000
       0.517300       0.398973       0.000000
       0.519300       0.401074       0.000000
       0.521300       0.400366       0.000000
       0.523300       0.401416       0.000000
       0.525300       0.401147       0.000000
       0.527300       0.402189       0.000000
       0.529300       0.398867       0.000000
       0.531300       0.401482       0.000000
       0.533300       0.401390       0.000000
       0.535300       0.402940       0.000000
       0.537300       0.402953       0.000000
       0.539300       0.400746       0.000000
       0.541300       0.399966       0.000000
       0.543300       0.404135       0.000000
       0.545300       0.401857       0.000000
       0.547300       0.403251       0.000000
       0.549300       0.401501       0.000000
       0.551300       0.402108       0.000000
       0.553300       0.403668       0.000000
       0.555300       0.401484       0.000000
       0.557300       0.402442       0.000000
       0.559300       0.401046       0.000000
       0.561300       0.403471       0.000000
       0.563300       0.400778       0.000000
       0.565300       0.400525       0.000000
       0.567300       0.399310       0.000000
       0.569300       0.400082       0.000000
       0.571300       0.402508       0.000000
       0.573300       0.401304       0.000000
       0.575300       0.401481       0.000000
       0.577300       0.401219       0.000000
       0.579300       0.399749       0.000000
       0.581300       0.401043       0.000000
       0.583300       0.397416       0.000000
       0.585300       0.395949       0.000000
       0.587300       0.399144       0.000000
       0.589300       0.396646       0.000000
       0.591300       0.396644       0.000000
       0.593300       0.393377       0.000000
       0.595300       0.393986       0.000000
       0.597300       0.391681       0.000000
       0.599300       0.393395       0.000000
       0.601100       0.392367       0.000000
       0.602700       0.391860       0.000000
       0.604300       0.387777       0.000000
       0.605900       0.386330       0.000000
       0.607500       0.387423       0.000000
       0.609100       0.385376       0.000000
       0.610700       0.386036       0.000000
       0.612300       0.383575       0.000000
       0.613900       0.386212       0.000000
       0.615500       0.383062       0.000000
       0.617100       0.384493       0.000000
       0.618700       0.380981       0.000000
       0.620300       0.383166       0.000000
       0.621900       0.382056       0.000000
       0.623500       0.380596       0.000000
       0.625100       0.380845       0.000000
       0.626700       0.378200       0.000000
       0.628300       0.379523       0.000000
       0.629900       0.376690       0.000000
       0.631700       0.377954       0.000000
       0.633700       0.374285       0.000000
       0.635700       0.375751       0.000000
       0.637700       0.373061       0.000000
       0.639700       0.372208       0.000000
       0.641700       0.372166       0.000000
       0.643700       0.368703       0.000000
       0.645700       0.368885       0.000000
       0.647700       0.369565       0.000000
       0.649700       0.365782       0.000000
       0.651700       0.366466       0.000000
       0.653700       0.364679       0.000000
       0.655700       0.365842       0.000000
       0.657700       0.364040       0.000000
       0.659700       0.363699       0.000000
       0.661700       0.362081       0.000000
       0.663700       0.362847       0.000000
       0.665700       0.361523       0.000000
       0.667700       0.357142       0.000000
       0.670200       0.358281       0.000000
       0.673200       0.356870       0.000000
       0.676200       0.354829       0.000000
       0.679200       0.355326       0.000000
       0.682200       0.354434       0.000000
       0.685200       0.350983       0.000000
       0.688200       0.349516       0.000000
       0.691200       0.350693       0.000000
       0.694200       0.349643       0.000000
       0.697200       0.351105       0.000000
       0.700200       0.350137       0.000000
       0.702000       0.350642       0.000000
       0.704000       0.349209       0.000000
       0.706000       0.348801       0.000000
       0.708000       0.348630       0.000000
       0.710000       0.349100       0.000000
       0.712000       0.347343       0.000000
       0.714000       0.347836       0.000000
       0.716000       0.347685       0.000000
       0.718000       0.348137       0.000000
       0.720000       0.350189       0.000000
       0.722000       0.350275       0.000000
       0.724000       0.349763       0.000000
       0.726000       0.349309       0.000000
       0.728000       0.349784       0.000000
       0.730000       0.349572       0.000000
       0.732000       0.350048       0.000000
       0.734000       0.354764       0.000000
       0.736000       0.353113       0.000000
       0.738000       0.352272       0.000000
       0.740000       0.352918       0.000000
       0.742000       0.352232       0.000000
       0.744000       0.355081       0.000000
       0.746000       0.359114       0.000000
       0.748000       0.354257       0.000000
       0.750500       0.357420       0.000000
       0.753500       0.357489       0.000000
       0.756500       0.360022       0.000000
       0.759500       0.358508       0.000000
       0.762500       0.360292       0.000000
       0.765500       0.360528       0.000000
       0.768500       0.361952       0.000000
       0.771500       0.362980       0.000000
       0.774500       0.365481       0.000000
       0.777500       0.367309       0.000000
       0.781000       0.368362       0.000000
       0.785000       0.366967       0.000000
       0.789000       0.368448       0.000000
       0.793000       0.369748       0.000000
       0.797000       0.369187       0.000000
       0.801500       0.369867       0.000000
       0.806500       0.369470       0.000000
       0.811500       0.366372       0.000000
       0.816500       0.366439       0.000000
       0.822000       0.363894       0.000000
       0.828000      -1.23e34       -1.23e34 
       0.835000      -1.23e34       -1.23e34 
       0.843000      -1.23e34       -1.23e34 
       0.851000       0.357090       0.000000
       0.859000       0.353847       0.000000
       0.871000       0.354941       0.000000
       0.883000       0.349695       0.000000
       0.894000       0.349673       0.000000
       0.904000       0.352389       0.000000
       0.914000       0.354533       0.000000
       0.924000       0.357149       0.000000
       0.933000       0.357062       0.000000
       0.941000       0.361397       0.000000
       0.949000       0.361578       0.000000
       0.957000       0.366653       0.000000
       0.964000       0.369148       0.000000
       0.970000       0.372273       0.000000
       0.976000       0.371921       0.000000
       0.982000       0.371834       0.000000
       0.988000       0.373271       0.000000
       0.994000       0.372149       0.000000
       1.000000       0.372626       0.000000
       1.006000       0.374585       0.000000
       1.012000       0.374517       0.000000
       1.018000       0.375664       0.000000
       1.023500       0.375685       0.000000
       1.028500       0.376400       0.000000
       1.033500       0.376339       0.000000
       1.038500       0.375544       0.000000
       1.043500       0.376824       0.000000
       1.048500       0.376226       0.000000
       1.053500       0.376667       0.000000
       1.058500       0.375628       0.000000
       1.063500       0.376582       0.000000
       1.068500       0.377847       0.000000
       1.073500       0.376787       0.000000
       1.078500       0.377745       0.000000
       1.083500       0.379672       0.000000
       1.088500       0.379509       0.000000
       1.093500       0.381638       0.000000
       1.098500       0.381567       0.000000
       1.103500       0.382034       0.000000
       1.108500       0.383776       0.000000
       1.113500       0.385402       0.000000
       1.118500       0.386583       0.000000
       1.123500       0.387415       0.000000
       1.128500       0.390026       0.000000
       1.133500       0.390047       0.000000
       1.138500       0.392748       0.000000
       1.143500       0.394904       0.000000
       1.148500       0.397970       0.000000
       1.153500       0.400205       0.000000
       1.158500       0.402883       0.000000
       1.163500       0.403389       0.000000
       1.168500       0.407599       0.000000
       1.173500       0.408701       0.000000
       1.178500       0.413832       0.000000
       1.183500       0.412670       0.000000
       1.188500       0.418013       0.000000
       1.193500       0.419022       0.000000
       1.198500       0.423729       0.000000
       1.203500       0.425429       0.000000
       1.208500       0.429704       0.000000
       1.213500       0.431589       0.000000
       1.218500       0.436138       0.000000
       1.223500       0.438482       0.000000
       1.228500       0.441490       0.000000
       1.233500       0.444476       0.000000
       1.238500       0.447719       0.000000
       1.243500       0.450387       0.000000
       1.248500       0.456085       0.000000
       1.253500       0.457639       0.000000
       1.258500       0.461372       0.000000
       1.263500       0.464959       0.000000
       1.268500       0.465037       0.000000
       1.273500       0.467738       0.000000
       1.278500       0.472647       0.000000
       1.283500       0.475981       0.000000
       1.288500       0.480289       0.000000
       1.293500       0.482842       0.000000
       1.298500       0.485369       0.000000
       1.303500       0.487029       0.000000
       1.308500       0.489501       0.000000
       1.313500       0.493437       0.000000
       1.318500       0.497862       0.000000
       1.323500       0.499253       0.000000
       1.328500       0.503788       0.000000
       1.333500       0.506531       0.000000
       1.338500       0.509071       0.000000
       1.343500       0.511489       0.000000
       1.348500       0.517542       0.000000
       1.353500       0.518431       0.000000
       1.358500       0.522504       0.000000
       1.363500       0.524867       0.000000
       1.368500       0.526731       0.000000
       1.373500       0.527659       0.000000
       1.378500       0.532395       0.000000
       1.383500       0.504191       0.000000
       1.388500       0.399254       0.000000
       1.393500       0.397091       0.000000
       1.398500       0.453070       0.000000
       1.403500       0.489800       0.000000
       1.408500       0.502273       0.000000
       1.413500       0.520205       0.000000
       1.418500       0.530032       0.000000
       1.423500       0.527791       0.000000
       1.428500       0.526733       0.000000
       1.433500       0.521952       0.000000
       1.438500       0.516777       0.000000
       1.443500       0.519920       0.000000
       1.448500       0.521641       0.000000
       1.453500       0.527664       0.000000
       1.458500       0.534859       0.000000
       1.463500       0.541541       0.000000
       1.468500       0.546387       0.000000
       1.473500       0.548548       0.000000
       1.478500       0.552737       0.000000
       1.483500       0.559631       0.000000
       1.488500       0.561192       0.000000
       1.493500       0.560557       0.000000
       1.498500       0.564420       0.000000
       1.503500       0.559419       0.000000
       1.508500       0.557672       0.000000
       1.513500       0.561110       0.000000
       1.518500       0.556115       0.000000
       1.523500       0.558985       0.000000
       1.528500       0.560147       0.000000
       1.534000       0.562431       0.000000
       1.540000       0.561540       0.000000
       1.546000       0.563175       0.000000
       1.552000       0.568050       0.000000
       1.558000       0.570006       0.000000
       1.564000       0.573937       0.000000
       1.570500       0.577696       0.000000
       1.577500       0.582450       0.000000
       1.584500       0.588844       0.000000
       1.591500       0.595237       0.000000
       1.598500       0.600056       0.000000
       1.605500       0.605844       0.000000
       1.612500       0.612543       0.000000
       1.619500       0.616979       0.000000
       1.626500       0.620421       0.000000
       1.633500       0.626638       0.000000
       1.640500       0.634334       0.000000
       1.647500       0.637516       0.000000
       1.654500       0.644148       0.000000
       1.661500       0.645296       0.000000
       1.668500       0.651402       0.000000
       1.676000       0.650904       0.000000
       1.684000       0.657607       0.000000
       1.692000       0.658582       0.000000
       1.700000       0.667245       0.000000
       1.708000       0.669037       0.000000
       1.716000       0.669533       0.000000
       1.724000       0.674143       0.000000
       1.732000       0.677447       0.000000
       1.740000       0.682917       0.000000
       1.748000       0.680405       0.000000
       1.756000       0.682366       0.000000
       1.764000       0.684048       0.000000
       1.772000       0.686793       0.000000
       1.780000       0.683107       0.000000
       1.788000       0.687560       0.000000
       1.796000       0.684268       0.000000
       1.805000       0.679486       0.000000
       1.815000       0.676759       0.000000
       1.825000       0.678158       0.000000
       1.835000       0.667694       0.000000
       1.845000       0.663498       0.000000
       1.855000       0.652048       0.000000
       1.865000       0.644993       0.000000
       1.875000       0.636842       0.000000
       1.885000       0.638578       0.000000
       1.895000       0.646213       0.000000
       1.905000       0.653651       0.000000
       1.915000       0.650829       0.000000
       1.925000       0.648905       0.000000
       1.935000       0.643440       0.000000
       1.945000       0.629986       0.000000
       1.955000       0.617751       0.000000
       1.965000       0.614802       0.000000
       1.975000       0.602809       0.000000
       1.985000       0.594123       0.000000
       1.995000       0.588882       0.000000
       2.005000       0.594337       0.000000
       2.015000       0.607658       0.000000
       2.025000       0.630411       0.000000
       2.035000       0.645446       0.000000
       2.045000       0.659958       0.000000
       2.055000       0.668537       0.000000
       2.065000       0.673189       0.000000
       2.075000       0.661782       0.000000
       2.085000       0.662212       0.000000
       2.095000       0.666199       0.000000
       2.105000       0.663058       0.000000
       2.115000       0.655242       0.000000
       2.125000       0.654063       0.000000
       2.135000       0.652237       0.000000
       2.145000       0.655166       0.000000
       2.155000       0.654255       0.000000
       2.165000       0.645701       0.000000
       2.175000       0.631591       0.000000
       2.185000       0.628457       0.000000
       2.195000       0.616274       0.000000
       2.205000       0.607935       0.000000
       2.215000       0.582055       0.000000
       2.225000       0.542967       0.000000
       2.235000       0.482095       0.000000
       2.245000       0.422962       0.000000
       2.255000       0.414476       0.000000
       2.265000       0.430603       0.000000
       2.275000       0.413606       0.000000
       2.285000       0.352632       0.000000
       2.295000       0.314597       0.000000
       2.305000       0.293379       0.000000
       2.315000       0.274415       0.000000
       2.325000       0.315307       0.000000
