USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Aspen Aspen-3 YellowGreenTop W1R1Fa AREF
copy of splib05a r 10700                                    
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000      -1.23e34       -1.23e34 
       0.357000      -1.23e34       -1.23e34 
       0.358000      -1.23e34       -1.23e34 
       0.359000      -1.23e34       -1.23e34 
       0.360000      -1.23e34       -1.23e34 
       0.361000      -1.23e34       -1.23e34 
       0.362000      -1.23e34       -1.23e34 
       0.363000      -1.23e34       -1.23e34 
       0.364000      -1.23e34       -1.23e34 
       0.365000      -1.23e34       -1.23e34 
       0.366000      -1.23e34       -1.23e34 
       0.367000      -1.23e34       -1.23e34 
       0.368000      -1.23e34       -1.23e34 
       0.369000      -1.23e34       -1.23e34 
       0.370000      -1.23e34       -1.23e34 
       0.371000      -1.23e34       -1.23e34 
       0.372000      -1.23e34       -1.23e34 
       0.373000      -1.23e34       -1.23e34 
       0.374000      -1.23e34       -1.23e34 
       0.375000      -1.23e34       -1.23e34 
       0.376000      -1.23e34       -1.23e34 
       0.377000      -1.23e34       -1.23e34 
       0.378000      -1.23e34       -1.23e34 
       0.379000      -1.23e34       -1.23e34 
       0.380000      -1.23e34       -1.23e34 
       0.381000      -1.23e34       -1.23e34 
       0.382000      -1.23e34       -1.23e34 
       0.383000      -1.23e34       -1.23e34 
       0.384000      -1.23e34       -1.23e34 
       0.385000      -1.23e34       -1.23e34 
       0.386000      -1.23e34       -1.23e34 
       0.387000      -1.23e34       -1.23e34 
       0.388000      -1.23e34       -1.23e34 
       0.389000      -1.23e34       -1.23e34 
       0.390000      -1.23e34       -1.23e34 
       0.391000      -1.23e34       -1.23e34 
       0.392000      -1.23e34       -1.23e34 
       0.393000      -1.23e34       -1.23e34 
       0.394000      -1.23e34       -1.23e34 
       0.395000      -1.23e34       -1.23e34 
       0.396000      -1.23e34       -1.23e34 
       0.397000      -1.23e34       -1.23e34 
       0.398000      -1.23e34       -1.23e34 
       0.399000      -1.23e34       -1.23e34 
       0.400000      -1.23e34       -1.23e34 
       0.401000      -1.23e34       -1.23e34 
       0.402000      -1.23e34       -1.23e34 
       0.403000      -1.23e34       -1.23e34 
       0.404000      -1.23e34       -1.23e34 
       0.405000      -1.23e34       -1.23e34 
       0.406000      -1.23e34       -1.23e34 
       0.407000      -1.23e34       -1.23e34 
       0.408000      -1.23e34       -1.23e34 
       0.409000      -1.23e34       -1.23e34 
       0.410000      -1.23e34       -1.23e34 
       0.411000      -1.23e34       -1.23e34 
       0.412000      -1.23e34       -1.23e34 
       0.413000      -1.23e34       -1.23e34 
       0.414000       0.053765       0.000000
       0.415000       0.053765       0.000000
       0.416000       0.053765       0.000000
       0.417000       0.053765       0.000000
       0.418000       0.053765       0.000000
       0.419000       0.053765       0.000000
       0.420000       0.053765       0.000000
       0.421000       0.054171       0.000000
       0.422000       0.054540       0.000000
       0.423000       0.054838       0.000000
       0.424000       0.055037       0.000000
       0.425000       0.055140       0.000000
       0.426000       0.055159       0.000000
       0.427000       0.055117       0.000000
       0.428000       0.055070       0.000000
       0.429000       0.055086       0.000000
       0.430000       0.055220       0.000000
       0.431000       0.055491       0.000000
       0.432000       0.055909       0.000000
       0.433000       0.056461       0.000000
       0.434000       0.057047       0.000000
       0.435000       0.057547       0.000000
       0.436000       0.057874       0.000000
       0.437000       0.058088       0.000000
       0.438000       0.058285       0.000000
       0.439000       0.058531       0.000000
       0.440000       0.058793       0.000000
       0.441000       0.059010       0.000000
       0.442000       0.059129       0.000000
       0.443000       0.059146       0.000000
       0.444000       0.059064       0.000000
       0.445000       0.058908       0.000000
       0.446000       0.058791       0.000000
       0.447000       0.058846       0.000000
       0.448000       0.059149       0.000000
       0.449000       0.059551       0.000000
       0.450000       0.059845       0.000000
       0.451000       0.059893       0.000000
       0.452000       0.059838       0.000000
       0.453000       0.059890       0.000000
       0.454000       0.060197       0.000000
       0.455000       0.060641       0.000000
       0.456000       0.061038       0.000000
       0.457000       0.061254       0.000000
       0.458000       0.061340       0.000000
       0.459000       0.061395       0.000000
       0.460000       0.061501       0.000000
       0.461000       0.061677       0.000000
       0.462000       0.061922       0.000000
       0.463000       0.062224       0.000000
       0.464000       0.062520       0.000000
       0.465000       0.062733       0.000000
       0.466000       0.062818       0.000000
       0.467000       0.062848       0.000000
       0.468000       0.062931       0.000000
       0.469000       0.063142       0.000000
       0.470000       0.063438       0.000000
       0.471000       0.063748       0.000000
       0.472000       0.064011       0.000000
       0.473000       0.064212       0.000000
       0.474000       0.064347       0.000000
       0.475000       0.064412       0.000000
       0.476000       0.064411       0.000000
       0.477000       0.064348       0.000000
       0.478000       0.064242       0.000000
       0.479000       0.064167       0.000000
       0.480000       0.064209       0.000000
       0.481000       0.064422       0.000000
       0.482000       0.064724       0.000000
       0.483000       0.064998       0.000000
       0.484000       0.065163       0.000000
       0.485000       0.065279       0.000000
       0.486000       0.065442       0.000000
       0.487000       0.065729       0.000000
       0.488000       0.066148       0.000000
       0.489000       0.066686       0.000000
       0.490000       0.067339       0.000000
       0.491000       0.068122       0.000000
       0.492000       0.069057       0.000000
       0.493000       0.070159       0.000000
       0.494000       0.071417       0.000000
       0.495000       0.072812       0.000000
       0.496000       0.074336       0.000000
       0.497000       0.076016       0.000000
       0.498000       0.077887       0.000000
       0.499000       0.079997       0.000000
       0.500000       0.082447       0.000000
       0.501000       0.085352       0.000000
       0.502000       0.088786       0.000000
       0.503000       0.092667       0.000000
       0.504000       0.096871       0.000000
       0.505000       0.101322       0.000000
       0.506000       0.106127       0.000000
       0.507000       0.111441       0.000000
       0.508000       0.117368       0.000000
       0.509000       0.123823       0.000000
       0.510000       0.130671       0.000000
       0.511000       0.137802       0.000000
       0.512000       0.145209       0.000000
       0.513000       0.152913       0.000000
       0.514000       0.160918       0.000000
       0.515000       0.169194       0.000000
       0.516000       0.177696       0.000000
       0.517000       0.186365       0.000000
       0.518000       0.195079       0.000000
       0.519000       0.203699       0.000000
       0.520000       0.212111       0.000000
       0.521000       0.220287       0.000000
       0.522000       0.228224       0.000000
       0.523000       0.235915       0.000000
       0.524000       0.243337       0.000000
       0.525000       0.250466       0.000000
       0.526000       0.257272       0.000000
       0.527000       0.263711       0.000000
       0.528000       0.269736       0.000000
       0.529000       0.275315       0.000000
       0.530000       0.280487       0.000000
       0.531000       0.285304       0.000000
       0.532000       0.289816       0.000000
       0.533000       0.294038       0.000000
       0.534000       0.297981       0.000000
       0.535000       0.301655       0.000000
       0.536000       0.305081       0.000000
       0.537000       0.308283       0.000000
       0.538000       0.311276       0.000000
       0.539000       0.314051       0.000000
       0.540000       0.316591       0.000000
       0.541000       0.318897       0.000000
       0.542000       0.321041       0.000000
       0.543000       0.323114       0.000000
       0.544000       0.325177       0.000000
       0.545000       0.327170       0.000000
       0.546000       0.329005       0.000000
       0.547000       0.330626       0.000000
       0.548000       0.332106       0.000000
       0.549000       0.333549       0.000000
       0.550000       0.335024       0.000000
       0.551000       0.336459       0.000000
       0.552000       0.337745       0.000000
       0.553000       0.338796       0.000000
       0.554000       0.339619       0.000000
       0.555000       0.340245       0.000000
       0.556000       0.340702       0.000000
       0.557000       0.341005       0.000000
       0.558000       0.341166       0.000000
       0.559000       0.341189       0.000000
       0.560000       0.341054       0.000000
       0.561000       0.340733       0.000000
       0.562000       0.340213       0.000000
       0.563000       0.339544       0.000000
       0.564000       0.338790       0.000000
       0.565000       0.337997       0.000000
       0.566000       0.337144       0.000000
       0.567000       0.336191       0.000000
       0.568000       0.335104       0.000000
       0.569000       0.333863       0.000000
       0.570000       0.332454       0.000000
       0.571000       0.330877       0.000000
       0.572000       0.329199       0.000000
       0.573000       0.327502       0.000000
       0.574000       0.325854       0.000000
       0.575000       0.324262       0.000000
       0.576000       0.322719       0.000000
       0.577000       0.321217       0.000000
       0.578000       0.319753       0.000000
       0.579000       0.318329       0.000000
       0.580000       0.316945       0.000000
       0.581000       0.315618       0.000000
       0.582000       0.314365       0.000000
       0.583000       0.313202       0.000000
       0.584000       0.312131       0.000000
       0.585000       0.311150       0.000000
       0.586000       0.310253       0.000000
       0.587000       0.309420       0.000000
       0.588000       0.308624       0.000000
       0.589000       0.307854       0.000000
       0.590000       0.307161       0.000000
       0.591000       0.306612       0.000000
       0.592000       0.306248       0.000000
       0.593000       0.306013       0.000000
       0.594000       0.305828       0.000000
       0.595000       0.305627       0.000000
       0.596000       0.305400       0.000000
       0.597000       0.305152       0.000000
       0.598000       0.304885       0.000000
       0.599000       0.304593       0.000000
       0.600000       0.304266       0.000000
       0.601000       0.303888       0.000000
       0.602000       0.303418       0.000000
       0.603000       0.302811       0.000000
       0.604000       0.302034       0.000000
       0.605000       0.301117       0.000000
       0.606000       0.300104       0.000000
       0.607000       0.299028       0.000000
       0.608000       0.297882       0.000000
       0.609000       0.296650       0.000000
       0.610000       0.295320       0.000000
       0.611000       0.293907       0.000000
       0.612000       0.292430       0.000000
       0.613000       0.290906       0.000000
       0.614000       0.289339       0.000000
       0.615000       0.287730       0.000000
       0.616000       0.286089       0.000000
       0.617000       0.284468       0.000000
       0.618000       0.282928       0.000000
       0.619000       0.281520       0.000000
       0.620000       0.280233       0.000000
       0.621000       0.279048       0.000000
       0.622000       0.277952       0.000000
       0.623000       0.276968       0.000000
       0.624000       0.276127       0.000000
       0.625000       0.275454       0.000000
       0.626000       0.274942       0.000000
       0.627000       0.274580       0.000000
       0.628000       0.274344       0.000000
       0.629000       0.274171       0.000000
       0.630000       0.273986       0.000000
       0.631000       0.273736       0.000000
       0.632000       0.273439       0.000000
       0.633000       0.273134       0.000000
       0.634000       0.272828       0.000000
       0.635000       0.272405       0.000000
       0.636000       0.271718       0.000000
       0.637000       0.270650       0.000000
       0.638000       0.269218       0.000000
       0.639000       0.267467       0.000000
       0.640000       0.265444       0.000000
       0.641000       0.263194       0.000000
       0.642000       0.260760       0.000000
       0.643000       0.258183       0.000000
       0.644000       0.255482       0.000000
       0.645000       0.252674       0.000000
       0.646000       0.249787       0.000000
       0.647000       0.246906       0.000000
       0.648000       0.244127       0.000000
       0.649000       0.241534       0.000000
       0.650000       0.239146       0.000000
       0.651000       0.236973       0.000000
       0.652000       0.235003       0.000000
       0.653000       0.233159       0.000000
       0.654000       0.231344       0.000000
       0.655000       0.229469       0.000000
       0.656000       0.227462       0.000000
       0.657000       0.225258       0.000000
       0.658000       0.222795       0.000000
       0.659000       0.220031       0.000000
       0.660000       0.216931       0.000000
       0.661000       0.213478       0.000000
       0.662000       0.209745       0.000000
       0.663000       0.205824       0.000000
       0.664000       0.201811       0.000000
       0.665000       0.197815       0.000000
       0.666000       0.193947       0.000000
       0.667000       0.190300       0.000000
       0.668000       0.186899       0.000000
       0.669000       0.183752       0.000000
       0.670000       0.180876       0.000000
       0.671000       0.178331       0.000000
       0.672000       0.176188       0.000000
       0.673000       0.174491       0.000000
       0.674000       0.173188       0.000000
       0.675000       0.172200       0.000000
       0.676000       0.171473       0.000000
       0.677000       0.171035       0.000000
       0.678000       0.170938       0.000000
       0.679000       0.171249       0.000000
       0.680000       0.172104       0.000000
       0.681000       0.173650       0.000000
       0.682000       0.176037       0.000000
       0.683000       0.179410       0.000000
       0.684000       0.183910       0.000000
       0.685000       0.189667       0.000000
       0.686000       0.196753       0.000000
       0.687000       0.205226       0.000000
       0.688000       0.215098       0.000000
       0.689000       0.226208       0.000000
       0.690000       0.238354       0.000000
       0.691000       0.251322       0.000000
       0.692000       0.264872       0.000000
       0.693000       0.278757       0.000000
       0.694000       0.292734       0.000000
       0.695000       0.306592       0.000000
       0.696000       0.320125       0.000000
       0.697000       0.333150       0.000000
       0.698000       0.345571       0.000000
       0.699000       0.357318       0.000000
       0.700000       0.368331       0.000000
       0.701000       0.378612       0.000000
       0.702000       0.388176       0.000000
       0.703000       0.397045       0.000000
       0.704000       0.405268       0.000000
       0.705000       0.412904       0.000000
       0.706000       0.420008       0.000000
       0.707000       0.426622       0.000000
       0.708000       0.432783       0.000000
       0.709000       0.438532       0.000000
       0.710000       0.443907       0.000000
       0.711000       0.448945       0.000000
       0.712000       0.453684       0.000000
       0.713000       0.458155       0.000000
       0.714000       0.462386       0.000000
       0.715000       0.466401       0.000000
       0.716000       0.470205       0.000000
       0.717000       0.473796       0.000000
       0.718000       0.477172       0.000000
       0.719000       0.480322       0.000000
       0.720000       0.483235       0.000000
       0.721000       0.485916       0.000000
       0.722000       0.488423       0.000000
       0.723000       0.490831       0.000000
       0.724000       0.493192       0.000000
       0.725000       0.495461       0.000000
       0.726000       0.497573       0.000000
       0.727000       0.499478       0.000000
       0.728000       0.501199       0.000000
       0.729000       0.502779       0.000000
       0.730000       0.504255       0.000000
       0.731000       0.505650       0.000000
       0.732000       0.506981       0.000000
       0.733000       0.508255       0.000000
       0.734000       0.509438       0.000000
       0.735000       0.510482       0.000000
       0.736000       0.511358       0.000000
       0.737000       0.512119       0.000000
       0.738000       0.512834       0.000000
       0.739000       0.513555       0.000000
       0.740000       0.514253       0.000000
       0.741000       0.514882       0.000000
       0.742000       0.515406       0.000000
       0.743000       0.515839       0.000000
       0.744000       0.516206       0.000000
       0.745000       0.516532       0.000000
       0.746000       0.516835       0.000000
       0.747000       0.517132       0.000000
       0.748000       0.517435       0.000000
       0.749000       0.517726       0.000000
       0.750000       0.517981       0.000000
       0.751000       0.518181       0.000000
       0.752000       0.518329       0.000000
       0.753000       0.518433       0.000000
       0.754000       0.518503       0.000000
       0.755000       0.518563       0.000000
       0.756000       0.518639       0.000000
       0.757000       0.518746       0.000000
       0.758000       0.518866       0.000000
       0.759000       0.518969       0.000000
       0.760000       0.519036       0.000000
       0.761000       0.519081       0.000000
       0.762000       0.519130       0.000000
       0.763000       0.519202       0.000000
       0.764000       0.519296       0.000000
       0.765000       0.519403       0.000000
       0.766000       0.519515       0.000000
       0.767000       0.519615       0.000000
       0.768000       0.519687       0.000000
       0.769000       0.519719       0.000000
       0.770000       0.519726       0.000000
       0.771000       0.519726       0.000000
       0.772000       0.519737       0.000000
       0.773000       0.519763       0.000000
       0.774000       0.519807       0.000000
       0.775000       0.519865       0.000000
       0.776000       0.519920       0.000000
       0.777000       0.519949       0.000000
       0.778000       0.519941       0.000000
       0.779000       0.519920       0.000000
       0.780000       0.519923       0.000000
       0.781000       0.519975       0.000000
       0.782000       0.520067       0.000000
       0.783000       0.520178       0.000000
       0.784000       0.520292       0.000000
       0.785000       0.520402       0.000000
