USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Blue_Spruce DW92-5 needle    W1R1Ba AREF
copy of splib05a r 10792                                    
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100      -1.23e34        0.000000
       0.305100      -1.23e34        0.000000
       0.309100      -1.23e34        0.000000
       0.313100      -1.23e34        0.000000
       0.317100      -1.23e34        0.000000
       0.321100      -1.23e34        0.000000
       0.325100      -1.23e34        0.000000
       0.329100      -1.23e34        0.000000
       0.333100      -1.23e34        0.000000
       0.337100      -1.23e34        0.000000
       0.341100      -1.23e34        0.000000
       0.345100      -1.23e34        0.000000
       0.349100      -1.23e34        0.000000
       0.353100       0.084997       0.000666
       0.357100       0.084869       0.001011
       0.360600       0.084110       0.000713
       0.363600       0.083874       0.000699
       0.366600       0.084128       0.000575
       0.369600       0.083134       0.000627
       0.372600       0.082701       0.000626
       0.375600       0.082653       0.000989
       0.378600       0.082333       0.000782
       0.381100       0.082810       0.001162
       0.383100       0.081852       0.000676
       0.385100       0.082238       0.000662
       0.387100       0.082115       0.000600
       0.389100       0.081962       0.000646
       0.391100       0.081489       0.000502
       0.393100       0.081369       0.001021
       0.395100       0.081338       0.000551
       0.397100       0.081246       0.000602
       0.399100       0.081414       0.000626
       0.401100       0.081462       0.000578
       0.403100       0.081501       0.000598
       0.405100       0.081587       0.000559
       0.407100       0.081508       0.000588
       0.409100       0.081834       0.000565
       0.411100       0.082506       0.000763
       0.412800       0.082630       0.000583
       0.415800       0.082831       0.000580
       0.418800       0.083665       0.000576
       0.421800       0.083698       0.000688
       0.424800       0.084835       0.000954
       0.427800       0.085212       0.000617
       0.430800       0.085635       0.000572
       0.433800       0.085277       0.000562
       0.436800       0.085818       0.000474
       0.439800       0.085398       0.000592
       0.442800       0.086099       0.000604
       0.445800       0.085314       0.000528
       0.448800       0.085745       0.001065
       0.451300       0.085882       0.000686
       0.453300       0.085982       0.000774
       0.455300       0.085017       0.000711
       0.457300       0.085440       0.000806
       0.459300       0.084644       0.000732
       0.461300       0.084631       0.000719
       0.463300       0.084981       0.000730
       0.465300       0.084643       0.000691
       0.467300       0.084328       0.000665
       0.469300       0.083957       0.000680
       0.471300       0.083703       0.000674
       0.473300       0.083244       0.000549
       0.475300       0.083495       0.000591
       0.477300       0.083345       0.000677
       0.479300       0.083009       0.000618
       0.481300       0.082739       0.000730
       0.483300       0.082327       0.000620
       0.485300       0.081844       0.001064
       0.487300       0.082006       0.000739
       0.489300       0.081502       0.001037
       0.491300       0.081460       0.000663
       0.493300       0.081919       0.000689
       0.495300       0.082091       0.000647
       0.497300       0.081767       0.000704
       0.499300       0.082339       0.000688
       0.501300       0.082486       0.000756
       0.503300       0.082917       0.000623
       0.505300       0.083803       0.000703
       0.507300       0.085085       0.000677
       0.509300       0.085988       0.000713
       0.511300       0.087477       0.000810
       0.513300       0.089569       0.000627
       0.515300       0.091098       0.000720
       0.517300       0.094173       0.000696
       0.519300       0.096170       0.001116
       0.521300       0.098516       0.000711
       0.523300       0.100941       0.000757
       0.525300       0.103365       0.000707
       0.527300       0.106273       0.000834
       0.529300       0.107467       0.000713
       0.531300       0.108448       0.000777
       0.533300       0.110057       0.000828
       0.535300       0.110814       0.000687
       0.537300       0.110837       0.000740
       0.539300       0.111353       0.000993
       0.541300       0.111813       0.000723
       0.543300       0.111469       0.001326
       0.545300       0.111987       0.000717
       0.547300       0.111198       0.001057
       0.549300       0.111546       0.000682
       0.551300       0.111194       0.000787
       0.553300       0.111096       0.000541
       0.555300       0.110671       0.000712
       0.557300       0.109470       0.000984
       0.559300       0.108760       0.000665
       0.561300       0.108959       0.000587
       0.563300       0.107166       0.000597
       0.565300       0.105429       0.000681
       0.567300       0.104030       0.000755
       0.569300       0.102110       0.000685
       0.571300       0.099306       0.000827
       0.573300       0.098185       0.000725
       0.575300       0.095232       0.000753
       0.577300       0.094816       0.000740
       0.579300       0.092969       0.000782
       0.581300       0.091791       0.001332
       0.583300       0.089918       0.000848
       0.585300       0.089573       0.000802
       0.587300       0.088917       0.000646
       0.589300       0.087198       0.000949
       0.591300       0.087359       0.001297
       0.593300       0.085705       0.000734
       0.595300       0.085431       0.000856
       0.597300       0.084897       0.000840
       0.599300       0.085059       0.000924
       0.601100       0.083655       0.001127
       0.602700       0.082960       0.001117
       0.604300       0.083847       0.000906
       0.605900       0.082884       0.000785
       0.607500       0.082535       0.000862
       0.609100       0.081526       0.001444
       0.610700       0.080833       0.000816
       0.612300       0.080127       0.000841
       0.613900       0.079264       0.000667
       0.615500       0.078549       0.000662
       0.617100       0.078203       0.000811
       0.618700       0.076722       0.000976
       0.620300       0.076791       0.000713
       0.621900       0.075706       0.000655
       0.623500       0.075697       0.000655
       0.625100       0.074800       0.001029
       0.626700       0.074878       0.000698
       0.628300       0.074193       0.000773
       0.629900       0.074229       0.000800
       0.631700       0.074207       0.000645
       0.633700       0.073945       0.000620
       0.635700       0.072914       0.000603
       0.637700       0.072894       0.000731
       0.639700       0.071517       0.000694
       0.641700       0.070934       0.000792
       0.643700       0.069832       0.000607
       0.645700       0.068487       0.000627
       0.647700       0.067590       0.000731
       0.649700       0.066443       0.000732
       0.651700       0.066267       0.000691
       0.653700       0.065270       0.000771
       0.655700       0.065388       0.001165
       0.657700       0.064231       0.000861
       0.659700       0.064009       0.001542
       0.661700       0.062140       0.000881
       0.663700       0.062176       0.000746
       0.665700       0.061385       0.000971
       0.667700       0.060588       0.000759
       0.670200       0.060022       0.000630
       0.673200       0.059421       0.000731
       0.676200       0.058926       0.000766
       0.679200       0.057561       0.000920
       0.682200       0.058529       0.000761
       0.685200       0.058721       0.000841
       0.688200       0.060580       0.001393
       0.691200       0.064514       0.000889
       0.694200       0.070555       0.001096
       0.697200       0.080914       0.001049
       0.700200       0.092016       0.001388
       0.702000       0.099691       0.000655
       0.704000       0.108021       0.000692
       0.706000       0.117515       0.000723
       0.708000       0.126603       0.000726
       0.710000       0.136348       0.000810
       0.712000       0.146721       0.001020
       0.714000       0.156952       0.001305
       0.716000       0.168381       0.000786
       0.718000       0.181498       0.000948
       0.720000       0.193009       0.000414
       0.722000       0.206670       0.000656
       0.724000       0.220201       0.000603
       0.726000       0.233539       0.000652
       0.728000       0.247241       0.000812
       0.730000       0.261452       0.000757
       0.732000       0.274874       0.000635
       0.734000       0.288095       0.001021
       0.736000       0.300143       0.000779
       0.738000       0.311698       0.000807
       0.740000       0.322835       0.001076
       0.742000       0.333023       0.000722
       0.744000       0.341981       0.000687
       0.746000       0.349896       0.000946
       0.748000       0.356774       0.000896
       0.750500       0.365196       0.000671
       0.753500       0.372410       0.000879
       0.756500       0.379175       0.000896
       0.759500       0.383775       0.000905
       0.762500       0.386766       0.000978
       0.765500       0.390087       0.000725
       0.768500       0.391623       0.000695
       0.771500       0.393582       0.000670
       0.774500       0.395148       0.000603
       0.777500       0.396410       0.000957
       0.781000       0.396654       0.000880
       0.785000       0.397525       0.000865
       0.789000       0.398320       0.000888
       0.793000       0.399627       0.000872
       0.797000       0.398609       0.000729
       0.801500       0.398212       0.000800
       0.806500       0.398809       0.000815
       0.811500       0.399859       0.000656
       0.816500       0.398662       0.000803
       0.822000       0.399143       0.000699
       0.828000       0.398150       0.000698
       0.835000       0.396796       0.001046
       0.843000       0.397100       0.000968
       0.851000       0.397140       0.002945
       0.859000       0.397634       0.001895
       0.871000       0.398257       0.001944
       0.883000       0.397043       0.001262
       0.894000       0.396550       0.001930
       0.904000       0.394362       0.001487
       0.914000       0.393068       0.001594
       0.924000       0.387314       0.001581
       0.933000       0.383523       0.000938
       0.941000       0.373230       0.000911
       0.949000       0.361884       0.000985
       0.957000       0.344642       0.000976
       0.964000       0.335574       0.001678
       0.970000       0.332157       0.001060
       0.976000       0.331466       0.001242
       0.982000       0.331481       0.001230
       0.988000       0.331805       0.001637
       0.994000       0.332602       0.001173
       1.000000       0.337076       0.001202
       1.006000       0.339993       0.001059
       1.012000       0.343539       0.001097
       1.018000       0.348272       0.001200
       1.023500       0.353818       0.001277
       1.028500       0.358724       0.001309
       1.033500       0.360867       0.000989
       1.038500       0.362460       0.001549
       1.043500       0.364950       0.000802
       1.048500       0.368967       0.000823
       1.053500       0.371275       0.001121
       1.058500       0.372293       0.001114
       1.063500       0.374074       0.001131
       1.068500       0.374758       0.000918
       1.073500       0.374950       0.001095
       1.078500       0.372595       0.001058
       1.083500       0.372033       0.001441
       1.088500       0.370870       0.000950
       1.093500       0.368806       0.001358
       1.098500       0.366365       0.001310
       1.103500       0.362762       0.001201
       1.108500       0.361351       0.001067
       1.113500       0.359441       0.001023
       1.118500       0.356165       0.000750
       1.123500       0.352300       0.001176
       1.128500       0.345029       0.000855
       1.133500       0.333517       0.001259
       1.138500       0.318410       0.000851
       1.143500       0.300091       0.001020
       1.148500       0.284492       0.001265
       1.153500       0.272216       0.000984
       1.158500       0.265001       0.001165
       1.163500       0.259974       0.000738
       1.168500       0.257089       0.001089
       1.173500       0.256467       0.000785
       1.178500       0.253866       0.001169
       1.183500       0.253244       0.001196
       1.188500       0.249915       0.001256
       1.193500       0.249874       0.000858
       1.198500       0.247588       0.000734
       1.203500       0.248218       0.000781
       1.208500       0.249168       0.000940
       1.213500       0.248971       0.000882
       1.218500       0.250628       0.001021
       1.223500       0.252268       0.000884
       1.228500       0.254079       0.001177
       1.233500       0.256339       0.001354
       1.238500       0.257984       0.001173
       1.243500       0.259465       0.001025
       1.248500       0.260900       0.001148
       1.253500       0.261744       0.000917
       1.258500       0.261927       0.000908
       1.263500       0.263171       0.001214
       1.268500       0.262971       0.000730
       1.273500       0.263014       0.001001
       1.278500       0.261021       0.000887
       1.283500       0.260607       0.000823
       1.288500       0.258197       0.000916
       1.293500       0.255949       0.000887
       1.298500       0.251356       0.000840
       1.303500       0.246846       0.000809
       1.308500       0.240301       0.001115
       1.313500       0.235302       0.000898
       1.318500       0.227349       0.000841
       1.323500       0.219631       0.001246
       1.328500       0.209687       0.001280
       1.333500       0.199695       0.001244
       1.338500       0.191619       0.000887
       1.343500       0.184918       0.001006
       1.348500       0.178476       0.000925
       1.353500       0.170856       0.000846
       1.358500       0.167324       0.001060
       1.363500       0.161801       0.001196
       1.368500       0.155266       0.001755
       1.373500       0.145764       0.001548
       1.378500       0.134052       0.001358
       1.383500       0.118011       0.001545
       1.388500       0.103909       0.001747
       1.393500       0.085616       0.001911
       1.398500       0.072042       0.001242
       1.403500       0.063002       0.001393
       1.408500       0.054258       0.001621
       1.413500       0.049324       0.001237
       1.418500       0.045656       0.001107
       1.423500       0.043384       0.001336
       1.428500       0.041912       0.001383
       1.433500       0.040266       0.000945
       1.438500       0.038976       0.001187
       1.443500       0.038497       0.001160
       1.448500       0.038596       0.001049
       1.453500       0.037757       0.001288
       1.458500       0.038274       0.001120
       1.463500       0.039439       0.001098
       1.468500       0.038017       0.001393
       1.473500       0.041917       0.001073
       1.478500       0.040710       0.001560
       1.483500       0.042804       0.000779
       1.488500       0.045048       0.001699
       1.493500       0.045859       0.001054
       1.498500       0.047449       0.001503
       1.503500       0.050313       0.001243
       1.508500       0.052572       0.001629
       1.513500       0.055676       0.001673
       1.518500       0.059201       0.001263
       1.523500       0.058809       0.001243
       1.528500       0.061662       0.001191
       1.534000       0.064894       0.000997
       1.540000       0.067822       0.000812
       1.546000       0.070603       0.000933
       1.552000       0.072704       0.001138
       1.558000       0.076487       0.000806
       1.564000       0.079143       0.001140
       1.570500       0.082023       0.000935
       1.577500       0.084135       0.001055
       1.584500       0.087424       0.000863
       1.591500       0.088985       0.000681
       1.598500       0.093101       0.000935
       1.605500       0.095647       0.000855
       1.612500       0.098178       0.000674
       1.619500       0.100313       0.000998
       1.626500       0.103076       0.001130
       1.633500       0.103953       0.000846
       1.640500       0.104797       0.000998
       1.647500       0.108724       0.001205
       1.654500       0.107179       0.001157
       1.661500       0.109609       0.001041
       1.668500       0.108904       0.000917
       1.676000       0.107319       0.001043
       1.684000       0.107093       0.001737
       1.692000       0.110307       0.001270
       1.700000       0.108546       0.001573
       1.708000       0.102578       0.001382
       1.716000       0.101515       0.000693
       1.724000       0.100293       0.000993
       1.732000       0.096208       0.001249
       1.740000       0.097254       0.001872
       1.748000       0.093673       0.001922
       1.756000       0.089237       0.001642
       1.764000       0.088495       0.001363
       1.772000       0.083550       0.001441
       1.780000       0.085069       0.001595
       1.788000       0.081355       0.001740
       1.796000       0.082478       0.001176
       1.805000       0.080584       0.000852
       1.815000       0.081537       0.000944
       1.825000       0.080093       0.001035
       1.835000       0.079360       0.001910
       1.845000       0.075933       0.001844
       1.855000       0.070361       0.001853
       1.865000       0.058767       0.001369
       1.875000       0.042975       0.001800
       1.885000       0.027331       0.001294
       1.895000       0.017480       0.001556
       1.905000       0.014791       0.001906
       1.915000       0.016103       0.001846
       1.925000       0.015710       0.001213
       1.935000       0.016045       0.001623
       1.945000       0.013953       0.001899
       1.955000       0.014289       0.001636
       1.965000       0.014225       0.001946
       1.975000       0.017141       0.001580
       1.985000       0.016090       0.001565
       1.995000       0.017502       0.001858
       2.005000       0.016945       0.001748
       2.015000       0.018473       0.001531
       2.025000       0.018516       0.001933
       2.035000       0.021561       0.001922
       2.045000       0.021920       0.001850
       2.055000       0.022755       0.001897
       2.065000       0.023045       0.001864
       2.075000       0.025968       0.001893
       2.085000       0.025893       0.001826
       2.095000       0.028489       0.001922
       2.105000       0.027240       0.001918
       2.115000       0.030917       0.001915
       2.125000       0.030837       0.001905
       2.135000       0.031571       0.001873
       2.145000       0.034055       0.001865
       2.155000       0.037364       0.001890
       2.165000       0.034871       0.001827
       2.175000       0.036041       0.001899
       2.185000       0.040894       0.001881
       2.195000       0.039583       0.001912
       2.205000       0.037160       0.002131
       2.215000       0.038146       0.001934
       2.225000       0.040372       0.002302
       2.235000       0.035542       0.002800
       2.245000       0.039070       0.003658
       2.255000       0.034527       0.003464
       2.265000       0.036355       0.004696
       2.275000       0.031053       0.005843
       2.285000       0.028222       0.007663
       2.295000       0.031799       0.010666
       2.305000       0.026615       0.011006
