USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Flower Petunia-1 Pink        W1R1Fa AREF
copy of splib05a r 11026                                    
       0.350000       0.007526       0.000000
       0.351000       0.007526       0.000000
       0.352000       0.007423       0.000000
       0.353000       0.007334       0.000000
       0.354000       0.007274       0.000000
       0.355000       0.007249       0.000000
       0.356000       0.007236       0.000000
       0.357000       0.007205       0.000000
       0.358000       0.007139       0.000000
       0.359000       0.007073       0.000000
       0.360000       0.007054       0.000000
       0.361000       0.007117       0.000000
       0.362000       0.007229       0.000000
       0.363000       0.007343       0.000000
       0.364000       0.007429       0.000000
       0.365000       0.007513       0.000000
       0.366000       0.007637       0.000000
       0.367000       0.007834       0.000000
       0.368000       0.008093       0.000000
       0.369000       0.008394       0.000000
       0.370000       0.008725       0.000000
       0.371000       0.009103       0.000000
       0.372000       0.009553       0.000000
       0.373000       0.010098       0.000000
       0.374000       0.010746       0.000000
       0.375000       0.011502       0.000000
       0.376000       0.012369       0.000000
       0.377000       0.013339       0.000000
       0.378000       0.014404       0.000000
       0.379000       0.015555       0.000000
       0.380000       0.016783       0.000000
       0.381000       0.018079       0.000000
       0.382000       0.019445       0.000000
       0.383000       0.020918       0.000000
       0.384000       0.022549       0.000000
       0.385000       0.024376       0.000000
       0.386000       0.026399       0.000000
       0.387000       0.028606       0.000000
       0.388000       0.030972       0.000000
       0.389000       0.033410       0.000000
       0.390000       0.035821       0.000000
       0.391000       0.038133       0.000000
       0.392000       0.040398       0.000000
       0.393000       0.042697       0.000000
       0.394000       0.045103       0.000000
       0.395000       0.047650       0.000000
       0.396000       0.050362       0.000000
       0.397000       0.053242       0.000000
       0.398000       0.056204       0.000000
       0.399000       0.059140       0.000000
       0.400000       0.061955       0.000000
       0.401000       0.064607       0.000000
       0.402000       0.067065       0.000000
       0.403000       0.069318       0.000000
       0.404000       0.071418       0.000000
       0.405000       0.073434       0.000000
       0.406000       0.075425       0.000000
       0.407000       0.077419       0.000000
       0.408000       0.079432       0.000000
       0.409000       0.081467       0.000000
       0.410000       0.083479       0.000000
       0.411000       0.085407       0.000000
       0.412000       0.087200       0.000000
       0.413000       0.088842       0.000000
       0.414000       0.090322       0.000000
       0.415000       0.091636       0.000000
       0.416000       0.092795       0.000000
       0.417000       0.093817       0.000000
       0.418000       0.094714       0.000000
       0.419000       0.095487       0.000000
       0.420000       0.096137       0.000000
       0.421000       0.096663       0.000000
       0.422000       0.097070       0.000000
       0.423000       0.097364       0.000000
       0.424000       0.097552       0.000000
       0.425000       0.097642       0.000000
       0.426000       0.097646       0.000000
       0.427000       0.097570       0.000000
       0.428000       0.097415       0.000000
       0.429000       0.097178       0.000000
       0.430000       0.096861       0.000000
       0.431000       0.096470       0.000000
       0.432000       0.096015       0.000000
       0.433000       0.095504       0.000000
       0.434000       0.094947       0.000000
       0.435000       0.094352       0.000000
       0.436000       0.093725       0.000000
       0.437000       0.093066       0.000000
       0.438000       0.092373       0.000000
       0.439000       0.091646       0.000000
       0.440000       0.090883       0.000000
       0.441000       0.090087       0.000000
       0.442000       0.089257       0.000000
       0.443000       0.088397       0.000000
       0.444000       0.087509       0.000000
       0.445000       0.086594       0.000000
       0.446000       0.085651       0.000000
       0.447000       0.084679       0.000000
       0.448000       0.083677       0.000000
       0.449000       0.082649       0.000000
       0.450000       0.081598       0.000000
       0.451000       0.080527       0.000000
       0.452000       0.079431       0.000000
       0.453000       0.078301       0.000000
       0.454000       0.077132       0.000000
       0.455000       0.075921       0.000000
       0.456000       0.074669       0.000000
       0.457000       0.073374       0.000000
       0.458000       0.072041       0.000000
       0.459000       0.070672       0.000000
       0.460000       0.069271       0.000000
       0.461000       0.067842       0.000000
       0.462000       0.066390       0.000000
       0.463000       0.064918       0.000000
       0.464000       0.063425       0.000000
       0.465000       0.061908       0.000000
       0.466000       0.060368       0.000000
       0.467000       0.058805       0.000000
       0.468000       0.057221       0.000000
       0.469000       0.055619       0.000000
       0.470000       0.054003       0.000000
       0.471000       0.052377       0.000000
       0.472000       0.050747       0.000000
       0.473000       0.049120       0.000000
       0.474000       0.047503       0.000000
       0.475000       0.045904       0.000000
       0.476000       0.044323       0.000000
       0.477000       0.042762       0.000000
       0.478000       0.041220       0.000000
       0.479000       0.039703       0.000000
       0.480000       0.038217       0.000000
       0.481000       0.036766       0.000000
       0.482000       0.035356       0.000000
       0.483000       0.033993       0.000000
       0.484000       0.032677       0.000000
       0.485000       0.031399       0.000000
       0.486000       0.030146       0.000000
       0.487000       0.028909       0.000000
       0.488000       0.027690       0.000000
       0.489000       0.026499       0.000000
       0.490000       0.025343       0.000000
       0.491000       0.024235       0.000000
       0.492000       0.023185       0.000000
       0.493000       0.022201       0.000000
       0.494000       0.021274       0.000000
       0.495000       0.020393       0.000000
       0.496000       0.019547       0.000000
       0.497000       0.018739       0.000000
       0.498000       0.017972       0.000000
       0.499000       0.017249       0.000000
       0.500000       0.016567       0.000000
       0.501000       0.015923       0.000000
       0.502000       0.015313       0.000000
       0.503000       0.014734       0.000000
       0.504000       0.014184       0.000000
       0.505000       0.013662       0.000000
       0.506000       0.013172       0.000000
       0.507000       0.012715       0.000000
       0.508000       0.012296       0.000000
       0.509000       0.011910       0.000000
       0.510000       0.011551       0.000000
       0.511000       0.011218       0.000000
       0.512000       0.010910       0.000000
       0.513000       0.010631       0.000000
       0.514000       0.010382       0.000000
       0.515000       0.010160       0.000000
       0.516000       0.009963       0.000000
       0.517000       0.009788       0.000000
       0.518000       0.009626       0.000000
       0.519000       0.009474       0.000000
       0.520000       0.009325       0.000000
       0.521000       0.009184       0.000000
       0.522000       0.009057       0.000000
       0.523000       0.008949       0.000000
       0.524000       0.008858       0.000000
       0.525000       0.008781       0.000000
       0.526000       0.008716       0.000000
       0.527000       0.008660       0.000000
       0.528000       0.008611       0.000000
       0.529000       0.008569       0.000000
       0.530000       0.008531       0.000000
       0.531000       0.008497       0.000000
       0.532000       0.008468       0.000000
       0.533000       0.008446       0.000000
       0.534000       0.008434       0.000000
       0.535000       0.008435       0.000000
       0.536000       0.008445       0.000000
       0.537000       0.008458       0.000000
       0.538000       0.008470       0.000000
       0.539000       0.008486       0.000000
       0.540000       0.008510       0.000000
       0.541000       0.008547       0.000000
       0.542000       0.008591       0.000000
       0.543000       0.008639       0.000000
       0.544000       0.008685       0.000000
       0.545000       0.008736       0.000000
       0.546000       0.008800       0.000000
       0.547000       0.008880       0.000000
       0.548000       0.008977       0.000000
       0.549000       0.009084       0.000000
       0.550000       0.009201       0.000000
       0.551000       0.009329       0.000000
       0.552000       0.009473       0.000000
       0.553000       0.009637       0.000000
       0.554000       0.009821       0.000000
       0.555000       0.010026       0.000000
       0.556000       0.010253       0.000000
       0.557000       0.010504       0.000000
       0.558000       0.010786       0.000000
       0.559000       0.011103       0.000000
       0.560000       0.011458       0.000000
       0.561000       0.011853       0.000000
       0.562000       0.012292       0.000000
       0.563000       0.012777       0.000000
       0.564000       0.013310       0.000000
       0.565000       0.013895       0.000000
       0.566000       0.014542       0.000000
       0.567000       0.015261       0.000000
       0.568000       0.016063       0.000000
       0.569000       0.016953       0.000000
       0.570000       0.017935       0.000000
       0.571000       0.019016       0.000000
       0.572000       0.020201       0.000000
       0.573000       0.021501       0.000000
       0.574000       0.022922       0.000000
       0.575000       0.024474       0.000000
       0.576000       0.026167       0.000000
       0.577000       0.028010       0.000000
       0.578000       0.030014       0.000000
       0.579000       0.032194       0.000000
       0.580000       0.034559       0.000000
       0.581000       0.037111       0.000000
       0.582000       0.039845       0.000000
       0.583000       0.042761       0.000000
       0.584000       0.045854       0.000000
       0.585000       0.049120       0.000000
       0.586000       0.052561       0.000000
       0.587000       0.056208       0.000000
       0.588000       0.060095       0.000000
       0.589000       0.064253       0.000000
       0.590000       0.068695       0.000000
       0.591000       0.073425       0.000000
       0.592000       0.078439       0.000000
       0.593000       0.083685       0.000000
       0.594000       0.089101       0.000000
       0.595000       0.094634       0.000000
       0.596000       0.100280       0.000000
       0.597000       0.106049       0.000000
       0.598000       0.111942       0.000000
       0.599000       0.117942       0.000000
       0.600000       0.124029       0.000000
       0.601000       0.130180       0.000000
       0.602000       0.136381       0.000000
       0.603000       0.142616       0.000000
       0.604000       0.148869       0.000000
       0.605000       0.155125       0.000000
       0.606000       0.161365       0.000000
       0.607000       0.167583       0.000000
       0.608000       0.173797       0.000000
       0.609000       0.180036       0.000000
       0.610000       0.186318       0.000000
       0.611000       0.192619       0.000000
       0.612000       0.198903       0.000000
       0.613000       0.205142       0.000000
       0.614000       0.211324       0.000000
       0.615000       0.217444       0.000000
       0.616000       0.223496       0.000000
       0.617000       0.229471       0.000000
       0.618000       0.235359       0.000000
       0.619000       0.241144       0.000000
       0.620000       0.246784       0.000000
       0.621000       0.252230       0.000000
       0.622000       0.257447       0.000000
       0.623000       0.262466       0.000000
       0.624000       0.267333       0.000000
       0.625000       0.272083       0.000000
       0.626000       0.276711       0.000000
       0.627000       0.281198       0.000000
       0.628000       0.285537       0.000000
       0.629000       0.289749       0.000000
       0.630000       0.293864       0.000000
       0.631000       0.297907       0.000000
       0.632000       0.301872       0.000000
       0.633000       0.305751       0.000000
       0.634000       0.309532       0.000000
       0.635000       0.313215       0.000000
       0.636000       0.316800       0.000000
       0.637000       0.320280       0.000000
       0.638000       0.323636       0.000000
       0.639000       0.326840       0.000000
       0.640000       0.329874       0.000000
       0.641000       0.332748       0.000000
       0.642000       0.335480       0.000000
       0.643000       0.338083       0.000000
       0.644000       0.340547       0.000000
       0.645000       0.342858       0.000000
       0.646000       0.345011       0.000000
       0.647000       0.347037       0.000000
       0.648000       0.348975       0.000000
       0.649000       0.350862       0.000000
       0.650000       0.352711       0.000000
       0.651000       0.354533       0.000000
       0.652000       0.356326       0.000000
       0.653000       0.358056       0.000000
       0.654000       0.359674       0.000000
       0.655000       0.361153       0.000000
       0.656000       0.362542       0.000000
       0.657000       0.363904       0.000000
       0.658000       0.365283       0.000000
       0.659000       0.366630       0.000000
       0.660000       0.367873       0.000000
       0.661000       0.368953       0.000000
       0.662000       0.369870       0.000000
       0.663000       0.370635       0.000000
       0.664000       0.371265       0.000000
       0.665000       0.371789       0.000000
       0.666000       0.372238       0.000000
       0.667000       0.372641       0.000000
       0.668000       0.373008       0.000000
       0.669000       0.373350       0.000000
       0.670000       0.373674       0.000000
       0.671000       0.373996       0.000000
       0.672000       0.374334       0.000000
       0.673000       0.374701       0.000000
       0.674000       0.375098       0.000000
       0.675000       0.375527       0.000000
       0.676000       0.375986       0.000000
       0.677000       0.376479       0.000000
       0.678000       0.377009       0.000000
       0.679000       0.377585       0.000000
       0.680000       0.378244       0.000000
       0.681000       0.379026       0.000000
       0.682000       0.379966       0.000000
       0.683000       0.381058       0.000000
       0.684000       0.382290       0.000000
       0.685000       0.383658       0.000000
       0.686000       0.385192       0.000000
       0.687000       0.386931       0.000000
       0.688000       0.388905       0.000000
       0.689000       0.391115       0.000000
       0.690000       0.393556       0.000000
       0.691000       0.396206       0.000000
       0.692000       0.398990       0.000000
       0.693000       0.401819       0.000000
       0.694000       0.404627       0.000000
       0.695000       0.407438       0.000000
       0.696000       0.410302       0.000000
       0.697000       0.413248       0.000000
       0.698000       0.416232       0.000000
       0.699000       0.419190       0.000000
       0.700000       0.422078       0.000000
       0.701000       0.424940       0.000000
       0.702000       0.427840       0.000000
       0.703000       0.430825       0.000000
       0.704000       0.433860       0.000000
       0.705000       0.436893       0.000000
       0.706000       0.439884       0.000000
       0.707000       0.442836       0.000000
       0.708000       0.445764       0.000000
       0.709000       0.448681       0.000000
       0.710000       0.451599       0.000000
       0.711000       0.454526       0.000000
       0.712000       0.457466       0.000000
       0.713000       0.460392       0.000000
       0.714000       0.463268       0.000000
       0.715000       0.466066       0.000000
       0.716000       0.468774       0.000000
       0.717000       0.471389       0.000000
       0.718000       0.473934       0.000000
       0.719000       0.476558       0.000000
       0.720000       0.479441       0.000000
       0.721000       0.482685       0.000000
       0.722000       0.486098       0.000000
       0.723000       0.489413       0.000000
       0.724000       0.492432       0.000000
       0.725000       0.495244       0.000000
       0.726000       0.498007       0.000000
       0.727000       0.500841       0.000000
       0.728000       0.503714       0.000000
       0.729000       0.506556       0.000000
       0.730000       0.509315       0.000000
       0.731000       0.512005       0.000000
       0.732000       0.514656       0.000000
       0.733000       0.517284       0.000000
       0.734000       0.519838       0.000000
       0.735000       0.522253       0.000000
       0.736000       0.524482       0.000000
       0.737000       0.526561       0.000000
       0.738000       0.528544       0.000000
       0.739000       0.530473       0.000000
       0.740000       0.532349       0.000000
       0.741000       0.534158       0.000000
       0.742000       0.535890       0.000000
       0.743000       0.537533       0.000000
       0.744000       0.539081       0.000000
       0.745000       0.540525       0.000000
       0.746000       0.541869       0.000000
       0.747000       0.543115       0.000000
       0.748000       0.544269       0.000000
       0.749000       0.545339       0.000000
       0.750000       0.546336       0.000000
       0.751000       0.547268       0.000000
       0.752000       0.548140       0.000000
       0.753000       0.548957       0.000000
       0.754000       0.549720       0.000000
       0.755000       0.550436       0.000000
       0.756000       0.551108       0.000000
       0.757000       0.551736       0.000000
       0.758000       0.552299       0.000000
       0.759000       0.552770       0.000000
       0.760000       0.553132       0.000000
       0.761000       0.553406       0.000000
       0.762000       0.553622       0.000000
       0.763000       0.553811       0.000000
       0.764000       0.554001       0.000000
       0.765000       0.554223       0.000000
       0.766000       0.554508       0.000000
       0.767000       0.554886       0.000000
       0.768000       0.555386       0.000000
       0.769000       0.556015       0.000000
       0.770000       0.556686       0.000000
       0.771000       0.557290       0.000000
       0.772000       0.557746       0.000000
       0.773000       0.558085       0.000000
       0.774000       0.558371       0.000000
       0.775000       0.558654       0.000000
       0.776000       0.558937       0.000000
       0.777000       0.559210       0.000000
       0.778000       0.559467       0.000000
       0.779000       0.559714       0.000000
       0.780000       0.559960       0.000000
       0.781000       0.560209       0.000000
       0.782000       0.560455       0.000000
       0.783000       0.560687       0.000000
       0.784000       0.560899       0.000000
       0.785000       0.561092       0.000000
       0.786000       0.561271       0.000000
       0.787000       0.561440       0.000000
       0.788000       0.561595       0.000000
       0.789000       0.561732       0.000000
       0.790000       0.561852       0.000000
       0.791000       0.561981       0.000000
       0.792000       0.562149       0.000000
       0.793000       0.562375       0.000000
       0.794000       0.562629       0.000000
       0.795000       0.562869       0.000000
       0.796000       0.563063       0.000000
       0.797000       0.563227       0.000000
       0.798000       0.563386       0.000000
       0.799000       0.563559       0.000000
       0.800000       0.563740       0.000000
       0.801000       0.563915       0.000000
       0.802000       0.564077       0.000000
       0.803000       0.564241       0.000000
       0.804000       0.564426       0.000000
       0.805000       0.564647       0.000000
