USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Flower Platycodon-1 Purple   W1R1Fa AREF
copy of splib05a r 11088                                    
       0.350000       0.033825       0.000000
       0.351000       0.033825       0.000000
       0.352000       0.034714       0.000000
       0.353000       0.035603       0.000000
       0.354000       0.036494       0.000000
       0.355000       0.037389       0.000000
       0.356000       0.038299       0.000000
       0.357000       0.039234       0.000000
       0.358000       0.040209       0.000000
       0.359000       0.041242       0.000000
       0.360000       0.042355       0.000000
       0.361000       0.043560       0.000000
       0.362000       0.044840       0.000000
       0.363000       0.046168       0.000000
       0.364000       0.047521       0.000000
       0.365000       0.048881       0.000000
       0.366000       0.050235       0.000000
       0.367000       0.051574       0.000000
       0.368000       0.052912       0.000000
       0.369000       0.054270       0.000000
       0.370000       0.055671       0.000000
       0.371000       0.057155       0.000000
       0.372000       0.058761       0.000000
       0.373000       0.060520       0.000000
       0.374000       0.062425       0.000000
       0.375000       0.064459       0.000000
       0.376000       0.066606       0.000000
       0.377000       0.068858       0.000000
       0.378000       0.071210       0.000000
       0.379000       0.073653       0.000000
       0.380000       0.076166       0.000000
       0.381000       0.078724       0.000000
       0.382000       0.081318       0.000000
       0.383000       0.083996       0.000000
       0.384000       0.086824       0.000000
       0.385000       0.089855       0.000000
       0.386000       0.093105       0.000000
       0.387000       0.096581       0.000000
       0.388000       0.100259       0.000000
       0.389000       0.103998       0.000000
       0.390000       0.107622       0.000000
       0.391000       0.111009       0.000000
       0.392000       0.114225       0.000000
       0.393000       0.117386       0.000000
       0.394000       0.120593       0.000000
       0.395000       0.123889       0.000000
       0.396000       0.127302       0.000000
       0.397000       0.130833       0.000000
       0.398000       0.134377       0.000000
       0.399000       0.137803       0.000000
       0.400000       0.140998       0.000000
       0.401000       0.143925       0.000000
       0.402000       0.146567       0.000000
       0.403000       0.148925       0.000000
       0.404000       0.151073       0.000000
       0.405000       0.153104       0.000000
       0.406000       0.155100       0.000000
       0.407000       0.157097       0.000000
       0.408000       0.159123       0.000000
       0.409000       0.161190       0.000000
       0.410000       0.163253       0.000000
       0.411000       0.165251       0.000000
       0.412000       0.167135       0.000000
       0.413000       0.168893       0.000000
       0.414000       0.170523       0.000000
       0.415000       0.172027       0.000000
       0.416000       0.173413       0.000000
       0.417000       0.174695       0.000000
       0.418000       0.175884       0.000000
       0.419000       0.176982       0.000000
       0.420000       0.177989       0.000000
       0.421000       0.178906       0.000000
       0.422000       0.179739       0.000000
       0.423000       0.180496       0.000000
       0.424000       0.181184       0.000000
       0.425000       0.181806       0.000000
       0.426000       0.182365       0.000000
       0.427000       0.182866       0.000000
       0.428000       0.183325       0.000000
       0.429000       0.183762       0.000000
       0.430000       0.184192       0.000000
       0.431000       0.184614       0.000000
       0.432000       0.185026       0.000000
       0.433000       0.185422       0.000000
       0.434000       0.185783       0.000000
       0.435000       0.186086       0.000000
       0.436000       0.186314       0.000000
       0.437000       0.186466       0.000000
       0.438000       0.186546       0.000000
       0.439000       0.186558       0.000000
       0.440000       0.186500       0.000000
       0.441000       0.186366       0.000000
       0.442000       0.186154       0.000000
       0.443000       0.185863       0.000000
       0.444000       0.185489       0.000000
       0.445000       0.185033       0.000000
       0.446000       0.184497       0.000000
       0.447000       0.183887       0.000000
       0.448000       0.183207       0.000000
       0.449000       0.182460       0.000000
       0.450000       0.181652       0.000000
       0.451000       0.180787       0.000000
       0.452000       0.179868       0.000000
       0.453000       0.178898       0.000000
       0.454000       0.177880       0.000000
       0.455000       0.176819       0.000000
       0.456000       0.175717       0.000000
       0.457000       0.174581       0.000000
       0.458000       0.173419       0.000000
       0.459000       0.172245       0.000000
       0.460000       0.171070       0.000000
       0.461000       0.169899       0.000000
       0.462000       0.168737       0.000000
       0.463000       0.167588       0.000000
       0.464000       0.166451       0.000000
       0.465000       0.165324       0.000000
       0.466000       0.164203       0.000000
       0.467000       0.163082       0.000000
       0.468000       0.161955       0.000000
       0.469000       0.160815       0.000000
       0.470000       0.159656       0.000000
       0.471000       0.158469       0.000000
       0.472000       0.157248       0.000000
       0.473000       0.155984       0.000000
       0.474000       0.154669       0.000000
       0.475000       0.153296       0.000000
       0.476000       0.151862       0.000000
       0.477000       0.150367       0.000000
       0.478000       0.148809       0.000000
       0.479000       0.147192       0.000000
       0.480000       0.145518       0.000000
       0.481000       0.143793       0.000000
       0.482000       0.142035       0.000000
       0.483000       0.140267       0.000000
       0.484000       0.138505       0.000000
       0.485000       0.136747       0.000000
       0.486000       0.134987       0.000000
       0.487000       0.133223       0.000000
       0.488000       0.131483       0.000000
       0.489000       0.129798       0.000000
       0.490000       0.128199       0.000000
       0.491000       0.126703       0.000000
       0.492000       0.125323       0.000000
       0.493000       0.124071       0.000000
       0.494000       0.122941       0.000000
       0.495000       0.121924       0.000000
       0.496000       0.121013       0.000000
       0.497000       0.120212       0.000000
       0.498000       0.119527       0.000000
       0.499000       0.118961       0.000000
       0.500000       0.118503       0.000000
       0.501000       0.118142       0.000000
       0.502000       0.117864       0.000000
       0.503000       0.117663       0.000000
       0.504000       0.117534       0.000000
       0.505000       0.117469       0.000000
       0.506000       0.117451       0.000000
       0.507000       0.117464       0.000000
       0.508000       0.117490       0.000000
       0.509000       0.117518       0.000000
       0.510000       0.117536       0.000000
       0.511000       0.117536       0.000000
       0.512000       0.117507       0.000000
       0.513000       0.117443       0.000000
       0.514000       0.117334       0.000000
       0.515000       0.117178       0.000000
       0.516000       0.116968       0.000000
       0.517000       0.116704       0.000000
       0.518000       0.116382       0.000000
       0.519000       0.116001       0.000000
       0.520000       0.115562       0.000000
       0.521000       0.115074       0.000000
       0.522000       0.114549       0.000000
       0.523000       0.113997       0.000000
       0.524000       0.113423       0.000000
       0.525000       0.112830       0.000000
       0.526000       0.112225       0.000000
       0.527000       0.111622       0.000000
       0.528000       0.111036       0.000000
       0.529000       0.110481       0.000000
       0.530000       0.109962       0.000000
       0.531000       0.109485       0.000000
       0.532000       0.109052       0.000000
       0.533000       0.108669       0.000000
       0.534000       0.108344       0.000000
       0.535000       0.108082       0.000000
       0.536000       0.107884       0.000000
       0.537000       0.107751       0.000000
       0.538000       0.107684       0.000000
       0.539000       0.107676       0.000000
       0.540000       0.107724       0.000000
       0.541000       0.107820       0.000000
       0.542000       0.107963       0.000000
       0.543000       0.108151       0.000000
       0.544000       0.108378       0.000000
       0.545000       0.108630       0.000000
       0.546000       0.108891       0.000000
       0.547000       0.109146       0.000000
       0.548000       0.109386       0.000000
       0.549000       0.109604       0.000000
       0.550000       0.109791       0.000000
       0.551000       0.109940       0.000000
       0.552000       0.110041       0.000000
       0.553000       0.110084       0.000000
       0.554000       0.110059       0.000000
       0.555000       0.109957       0.000000
       0.556000       0.109769       0.000000
       0.557000       0.109496       0.000000
       0.558000       0.109143       0.000000
       0.559000       0.108713       0.000000
       0.560000       0.108210       0.000000
       0.561000       0.107636       0.000000
       0.562000       0.106998       0.000000
       0.563000       0.106312       0.000000
       0.564000       0.105595       0.000000
       0.565000       0.104866       0.000000
       0.566000       0.104140       0.000000
       0.567000       0.103433       0.000000
       0.568000       0.102758       0.000000
       0.569000       0.102119       0.000000
       0.570000       0.101517       0.000000
       0.571000       0.100960       0.000000
       0.572000       0.100466       0.000000
       0.573000       0.100058       0.000000
       0.574000       0.099757       0.000000
       0.575000       0.099566       0.000000
       0.576000       0.099486       0.000000
       0.577000       0.099519       0.000000
       0.578000       0.099674       0.000000
       0.579000       0.099959       0.000000
       0.580000       0.100381       0.000000
       0.581000       0.100939       0.000000
       0.582000       0.101629       0.000000
       0.583000       0.102447       0.000000
       0.584000       0.103382       0.000000
       0.585000       0.104424       0.000000
       0.586000       0.105565       0.000000
       0.587000       0.106808       0.000000
       0.588000       0.108157       0.000000
       0.589000       0.109614       0.000000
       0.590000       0.111166       0.000000
       0.591000       0.112796       0.000000
       0.592000       0.114483       0.000000
       0.593000       0.116190       0.000000
       0.594000       0.117877       0.000000
       0.595000       0.119509       0.000000
       0.596000       0.121074       0.000000
       0.597000       0.122565       0.000000
       0.598000       0.123972       0.000000
       0.599000       0.125278       0.000000
       0.600000       0.126460       0.000000
       0.601000       0.127502       0.000000
       0.602000       0.128405       0.000000
       0.603000       0.129174       0.000000
       0.604000       0.129813       0.000000
       0.605000       0.130322       0.000000
       0.606000       0.130699       0.000000
       0.607000       0.130946       0.000000
       0.608000       0.131076       0.000000
       0.609000       0.131103       0.000000
       0.610000       0.131043       0.000000
       0.611000       0.130907       0.000000
       0.612000       0.130703       0.000000
       0.613000       0.130444       0.000000
       0.614000       0.130147       0.000000
       0.615000       0.129835       0.000000
       0.616000       0.129525       0.000000
       0.617000       0.129231       0.000000
       0.618000       0.128966       0.000000
       0.619000       0.128744       0.000000
       0.620000       0.128588       0.000000
       0.621000       0.128525       0.000000
       0.622000       0.128575       0.000000
       0.623000       0.128753       0.000000
       0.624000       0.129069       0.000000
       0.625000       0.129531       0.000000
       0.626000       0.130137       0.000000
       0.627000       0.130886       0.000000
       0.628000       0.131778       0.000000
       0.629000       0.132838       0.000000
       0.630000       0.134092       0.000000
       0.631000       0.135561       0.000000
       0.632000       0.137242       0.000000
       0.633000       0.139121       0.000000
       0.634000       0.141191       0.000000
       0.635000       0.143454       0.000000
       0.636000       0.145918       0.000000
       0.637000       0.148587       0.000000
       0.638000       0.151458       0.000000
       0.639000       0.154525       0.000000
       0.640000       0.157784       0.000000
       0.641000       0.161240       0.000000
       0.642000       0.164898       0.000000
       0.643000       0.168762       0.000000
       0.644000       0.172824       0.000000
       0.645000       0.177073       0.000000
       0.646000       0.181507       0.000000
       0.647000       0.186152       0.000000
       0.648000       0.191044       0.000000
       0.649000       0.196212       0.000000
       0.650000       0.201649       0.000000
       0.651000       0.207346       0.000000
       0.652000       0.213275       0.000000
       0.653000       0.219359       0.000000
       0.654000       0.225506       0.000000
       0.655000       0.231656       0.000000
       0.656000       0.237885       0.000000
       0.657000       0.244298       0.000000
       0.658000       0.250946       0.000000
       0.659000       0.257652       0.000000
       0.660000       0.264183       0.000000
       0.661000       0.270353       0.000000
       0.662000       0.276175       0.000000
       0.663000       0.281709       0.000000
       0.664000       0.287006       0.000000
       0.665000       0.292082       0.000000
       0.666000       0.296943       0.000000
       0.667000       0.301600       0.000000
       0.668000       0.306063       0.000000
       0.669000       0.310348       0.000000
       0.670000       0.314471       0.000000
       0.671000       0.318463       0.000000
       0.672000       0.322355       0.000000
       0.673000       0.326173       0.000000
       0.674000       0.329921       0.000000
       0.675000       0.333597       0.000000
       0.676000       0.337202       0.000000
       0.677000       0.340751       0.000000
       0.678000       0.344261       0.000000
       0.679000       0.347760       0.000000
       0.680000       0.351310       0.000000
       0.681000       0.354982       0.000000
       0.682000       0.358843       0.000000
       0.683000       0.362935       0.000000
       0.684000       0.367296       0.000000
       0.685000       0.371976       0.000000
       0.686000       0.377082       0.000000
       0.687000       0.382733       0.000000
       0.688000       0.389011       0.000000
       0.689000       0.395859       0.000000
       0.690000       0.403184       0.000000
       0.691000       0.410884       0.000000
       0.692000       0.418827       0.000000
       0.693000       0.426874       0.000000
       0.694000       0.434910       0.000000
       0.695000       0.442921       0.000000
       0.696000       0.450919       0.000000
       0.697000       0.458901       0.000000
       0.698000       0.466795       0.000000
       0.699000       0.474514       0.000000
       0.700000       0.481998       0.000000
       0.701000       0.489288       0.000000
       0.702000       0.496452       0.000000
       0.703000       0.503536       0.000000
       0.704000       0.510495       0.000000
       0.705000       0.517267       0.000000
       0.706000       0.523806       0.000000
       0.707000       0.530137       0.000000
       0.708000       0.536303       0.000000
       0.709000       0.542346       0.000000
       0.710000       0.548290       0.000000
       0.711000       0.554156       0.000000
       0.712000       0.559962       0.000000
       0.713000       0.565717       0.000000
       0.714000       0.571422       0.000000
       0.715000       0.577078       0.000000
       0.716000       0.582663       0.000000
       0.717000       0.588153       0.000000
       0.718000       0.593556       0.000000
       0.719000       0.599014       0.000000
       0.720000       0.604705       0.000000
       0.721000       0.610732       0.000000
       0.722000       0.616896       0.000000
       0.723000       0.622928       0.000000
       0.724000       0.628630       0.000000
       0.725000       0.634111       0.000000
       0.726000       0.639555       0.000000
       0.727000       0.645098       0.000000
       0.728000       0.650685       0.000000
       0.729000       0.656215       0.000000
       0.730000       0.661606       0.000000
       0.731000       0.666862       0.000000
       0.732000       0.672005       0.000000
       0.733000       0.677047       0.000000
       0.734000       0.681957       0.000000
       0.735000       0.686695       0.000000
       0.736000       0.691232       0.000000
       0.737000       0.695602       0.000000
       0.738000       0.699849       0.000000
       0.739000       0.704009       0.000000
       0.740000       0.708069       0.000000
       0.741000       0.712007       0.000000
       0.742000       0.715804       0.000000
       0.743000       0.719472       0.000000
       0.744000       0.723027       0.000000
       0.745000       0.726479       0.000000
       0.746000       0.729812       0.000000
       0.747000       0.733002       0.000000
       0.748000       0.736034       0.000000
       0.749000       0.738924       0.000000
       0.750000       0.741695       0.000000
       0.751000       0.744363       0.000000
       0.752000       0.746915       0.000000
       0.753000       0.749331       0.000000
       0.754000       0.751608       0.000000
       0.755000       0.753817       0.000000
       0.756000       0.756046       0.000000
       0.757000       0.758338       0.000000
       0.758000       0.760547       0.000000
       0.759000       0.762481       0.000000
       0.760000       0.764028       0.000000
       0.761000       0.765394       0.000000
       0.762000       0.766867       0.000000
       0.763000       0.768644       0.000000
       0.764000       0.770561       0.000000
       0.765000       0.772366       0.000000
       0.766000       0.773874       0.000000
       0.767000       0.775167       0.000000
       0.768000       0.776394       0.000000
       0.769000       0.777671       0.000000
       0.770000       0.778976       0.000000
       0.771000       0.780254       0.000000
       0.772000       0.781464       0.000000
       0.773000       0.782622       0.000000
       0.774000       0.783759       0.000000
       0.775000       0.784898       0.000000
       0.776000       0.786029       0.000000
       0.777000       0.787139       0.000000
       0.778000       0.788214       0.000000
       0.779000       0.789259       0.000000
       0.780000       0.790281       0.000000
       0.781000       0.791288       0.000000
       0.782000       0.792287       0.000000
       0.783000       0.793285       0.000000
       0.784000       0.794285       0.000000
       0.785000       0.795283       0.000000
       0.786000       0.796268       0.000000
       0.787000       0.797237       0.000000
       0.788000       0.798196       0.000000
       0.789000       0.799154       0.000000
       0.790000       0.800115       0.000000
       0.791000       0.801049       0.000000
       0.792000       0.801920       0.000000
       0.793000       0.802706       0.000000
       0.794000       0.803448       0.000000
       0.795000       0.804201       0.000000
       0.796000       0.805004       0.000000
       0.797000       0.805843       0.000000
       0.798000       0.806684       0.000000
       0.799000       0.807504       0.000000
       0.800000       0.808300       0.000000
       0.801000       0.809076       0.000000
       0.802000       0.809835       0.000000
       0.803000       0.810565       0.000000
       0.804000       0.811252       0.000000
       0.805000       0.811890       0.000000
