USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Grass_Golden_Dry GDS480      W1R1Fa AREF
copy of splib05a r 11178                                    
       0.350000       0.025247       0.000000
       0.351000       0.025247       0.000000
       0.352000       0.025247       0.000000
       0.353000       0.025247       0.000000
       0.354000       0.025247       0.000000
       0.355000       0.025202       0.000000
       0.356000       0.025170       0.000000
       0.357000       0.025163       0.000000
       0.358000       0.025189       0.000000
       0.359000       0.025234       0.000000
       0.360000       0.025277       0.000000
       0.361000       0.025310       0.000000
       0.362000       0.025359       0.000000
       0.363000       0.025462       0.000000
       0.364000       0.025642       0.000000
       0.365000       0.025869       0.000000
       0.366000       0.026098       0.000000
       0.367000       0.026297       0.000000
       0.368000       0.026483       0.000000
       0.369000       0.026685       0.000000
       0.370000       0.026924       0.000000
       0.371000       0.027187       0.000000
       0.372000       0.027453       0.000000
       0.373000       0.027709       0.000000
       0.374000       0.027974       0.000000
       0.375000       0.028275       0.000000
       0.376000       0.028629       0.000000
       0.377000       0.029009       0.000000
       0.378000       0.029381       0.000000
       0.379000       0.029720       0.000000
       0.380000       0.030064       0.000000
       0.381000       0.030461       0.000000
       0.382000       0.030943       0.000000
       0.383000       0.031476       0.000000
       0.384000       0.032006       0.000000
       0.385000       0.032497       0.000000
       0.386000       0.032971       0.000000
       0.387000       0.033465       0.000000
       0.388000       0.034008       0.000000
       0.389000       0.034590       0.000000
       0.390000       0.035194       0.000000
       0.391000       0.035808       0.000000
       0.392000       0.036451       0.000000
       0.393000       0.037149       0.000000
       0.394000       0.037916       0.000000
       0.395000       0.038720       0.000000
       0.396000       0.039520       0.000000
       0.397000       0.040284       0.000000
       0.398000       0.041032       0.000000
       0.399000       0.041794       0.000000
       0.400000       0.042594       0.000000
       0.401000       0.043422       0.000000
       0.402000       0.044265       0.000000
       0.403000       0.045109       0.000000
       0.404000       0.045962       0.000000
       0.405000       0.046835       0.000000
       0.406000       0.047735       0.000000
       0.407000       0.048650       0.000000
       0.408000       0.049564       0.000000
       0.409000       0.050466       0.000000
       0.410000       0.051362       0.000000
       0.411000       0.052264       0.000000
       0.412000       0.053181       0.000000
       0.413000       0.054119       0.000000
       0.414000       0.055081       0.000000
       0.415000       0.056067       0.000000
       0.416000       0.057065       0.000000
       0.417000       0.058057       0.000000
       0.418000       0.059031       0.000000
       0.419000       0.059996       0.000000
       0.420000       0.060964       0.000000
       0.421000       0.061946       0.000000
       0.422000       0.062936       0.000000
       0.423000       0.063923       0.000000
       0.424000       0.064901       0.000000
       0.425000       0.065872       0.000000
       0.426000       0.066842       0.000000
       0.427000       0.067814       0.000000
       0.428000       0.068794       0.000000
       0.429000       0.069786       0.000000
       0.430000       0.070792       0.000000
       0.431000       0.071807       0.000000
       0.432000       0.072823       0.000000
       0.433000       0.073833       0.000000
       0.434000       0.074825       0.000000
       0.435000       0.075787       0.000000
       0.436000       0.076711       0.000000
       0.437000       0.077608       0.000000
       0.438000       0.078495       0.000000
       0.439000       0.079385       0.000000
       0.440000       0.080272       0.000000
       0.441000       0.081150       0.000000
       0.442000       0.082014       0.000000
       0.443000       0.082871       0.000000
       0.444000       0.083731       0.000000
       0.445000       0.084600       0.000000
       0.446000       0.085475       0.000000
       0.447000       0.086347       0.000000
       0.448000       0.087210       0.000000
       0.449000       0.088071       0.000000
       0.450000       0.088934       0.000000
       0.451000       0.089805       0.000000
       0.452000       0.090677       0.000000
       0.453000       0.091537       0.000000
       0.454000       0.092381       0.000000
       0.455000       0.093214       0.000000
       0.456000       0.094044       0.000000
       0.457000       0.094878       0.000000
       0.458000       0.095712       0.000000
       0.459000       0.096539       0.000000
       0.460000       0.097355       0.000000
       0.461000       0.098162       0.000000
       0.462000       0.098964       0.000000
       0.463000       0.099765       0.000000
       0.464000       0.100565       0.000000
       0.465000       0.101363       0.000000
       0.466000       0.102158       0.000000
       0.467000       0.102950       0.000000
       0.468000       0.103740       0.000000
       0.469000       0.104529       0.000000
       0.470000       0.105312       0.000000
       0.471000       0.106087       0.000000
       0.472000       0.106851       0.000000
       0.473000       0.107609       0.000000
       0.474000       0.108369       0.000000
       0.475000       0.109135       0.000000
       0.476000       0.109904       0.000000
       0.477000       0.110668       0.000000
       0.478000       0.111424       0.000000
       0.479000       0.112173       0.000000
       0.480000       0.112919       0.000000
       0.481000       0.113665       0.000000
       0.482000       0.114413       0.000000
       0.483000       0.115162       0.000000
       0.484000       0.115913       0.000000
       0.485000       0.116662       0.000000
       0.486000       0.117403       0.000000
       0.487000       0.118135       0.000000
       0.488000       0.118863       0.000000
       0.489000       0.119592       0.000000
       0.490000       0.120328       0.000000
       0.491000       0.121066       0.000000
       0.492000       0.121799       0.000000
       0.493000       0.122522       0.000000
       0.494000       0.123240       0.000000
       0.495000       0.123957       0.000000
       0.496000       0.124676       0.000000
       0.497000       0.125395       0.000000
       0.498000       0.126113       0.000000
       0.499000       0.126825       0.000000
       0.500000       0.127535       0.000000
       0.501000       0.128244       0.000000
       0.502000       0.128953       0.000000
       0.503000       0.129663       0.000000
       0.504000       0.130370       0.000000
       0.505000       0.131075       0.000000
       0.506000       0.131779       0.000000
       0.507000       0.132484       0.000000
       0.508000       0.133193       0.000000
       0.509000       0.133902       0.000000
       0.510000       0.134609       0.000000
       0.511000       0.135312       0.000000
       0.512000       0.136012       0.000000
       0.513000       0.136710       0.000000
       0.514000       0.137409       0.000000
       0.515000       0.138109       0.000000
       0.516000       0.138808       0.000000
       0.517000       0.139507       0.000000
       0.518000       0.140205       0.000000
       0.519000       0.140902       0.000000
       0.520000       0.141600       0.000000
       0.521000       0.142296       0.000000
       0.522000       0.142992       0.000000
       0.523000       0.143687       0.000000
       0.524000       0.144380       0.000000
       0.525000       0.145073       0.000000
       0.526000       0.145766       0.000000
       0.527000       0.146458       0.000000
       0.528000       0.147150       0.000000
       0.529000       0.147842       0.000000
       0.530000       0.148533       0.000000
       0.531000       0.149223       0.000000
       0.532000       0.149913       0.000000
       0.533000       0.150601       0.000000
       0.534000       0.151289       0.000000
       0.535000       0.151977       0.000000
       0.536000       0.152665       0.000000
       0.537000       0.153356       0.000000
       0.538000       0.154049       0.000000
       0.539000       0.154746       0.000000
       0.540000       0.155450       0.000000
       0.541000       0.156162       0.000000
       0.542000       0.156891       0.000000
       0.543000       0.157644       0.000000
       0.544000       0.158424       0.000000
       0.545000       0.159199       0.000000
       0.546000       0.159934       0.000000
       0.547000       0.160604       0.000000
       0.548000       0.161229       0.000000
       0.549000       0.161842       0.000000
       0.550000       0.162470       0.000000
       0.551000       0.163118       0.000000
       0.552000       0.163787       0.000000
       0.553000       0.164476       0.000000
       0.554000       0.165176       0.000000
       0.555000       0.165881       0.000000
       0.556000       0.166583       0.000000
       0.557000       0.167283       0.000000
       0.558000       0.167984       0.000000
       0.559000       0.168689       0.000000
       0.560000       0.169395       0.000000
       0.561000       0.170101       0.000000
       0.562000       0.170803       0.000000
       0.563000       0.171502       0.000000
       0.564000       0.172199       0.000000
       0.565000       0.172892       0.000000
       0.566000       0.173584       0.000000
       0.567000       0.174274       0.000000
       0.568000       0.174964       0.000000
       0.569000       0.175654       0.000000
       0.570000       0.176345       0.000000
       0.571000       0.177036       0.000000
       0.572000       0.177730       0.000000
       0.573000       0.178426       0.000000
       0.574000       0.179124       0.000000
       0.575000       0.179824       0.000000
       0.576000       0.180524       0.000000
       0.577000       0.181220       0.000000
       0.578000       0.181908       0.000000
       0.579000       0.182582       0.000000
       0.580000       0.183238       0.000000
       0.581000       0.183881       0.000000
       0.582000       0.184521       0.000000
       0.583000       0.185164       0.000000
       0.584000       0.185809       0.000000
       0.585000       0.186456       0.000000
       0.586000       0.187104       0.000000
       0.587000       0.187754       0.000000
       0.588000       0.188405       0.000000
       0.589000       0.189059       0.000000
       0.590000       0.189713       0.000000
       0.591000       0.190364       0.000000
       0.592000       0.191013       0.000000
       0.593000       0.191661       0.000000
       0.594000       0.192312       0.000000
       0.595000       0.192968       0.000000
       0.596000       0.193630       0.000000
       0.597000       0.194294       0.000000
       0.598000       0.194959       0.000000
       0.599000       0.195626       0.000000
       0.600000       0.196293       0.000000
       0.601000       0.196959       0.000000
       0.602000       0.197622       0.000000
       0.603000       0.198282       0.000000
       0.604000       0.198935       0.000000
       0.605000       0.199582       0.000000
       0.606000       0.200220       0.000000
       0.607000       0.200851       0.000000
       0.608000       0.201477       0.000000
       0.609000       0.202101       0.000000
       0.610000       0.202728       0.000000
       0.611000       0.203353       0.000000
       0.612000       0.203973       0.000000
       0.613000       0.204584       0.000000
       0.614000       0.205187       0.000000
       0.615000       0.205783       0.000000
       0.616000       0.206374       0.000000
       0.617000       0.206963       0.000000
       0.618000       0.207551       0.000000
       0.619000       0.208141       0.000000
       0.620000       0.208735       0.000000
       0.621000       0.209331       0.000000
       0.622000       0.209932       0.000000
       0.623000       0.210536       0.000000
       0.624000       0.211145       0.000000
       0.625000       0.211757       0.000000
       0.626000       0.212372       0.000000
       0.627000       0.212984       0.000000
       0.628000       0.213591       0.000000
       0.629000       0.214191       0.000000
       0.630000       0.214783       0.000000
       0.631000       0.215366       0.000000
       0.632000       0.215942       0.000000
       0.633000       0.216513       0.000000
       0.634000       0.217080       0.000000
       0.635000       0.217641       0.000000
       0.636000       0.218195       0.000000
       0.637000       0.218740       0.000000
       0.638000       0.219277       0.000000
       0.639000       0.219810       0.000000
       0.640000       0.220340       0.000000
       0.641000       0.220867       0.000000
       0.642000       0.221391       0.000000
       0.643000       0.221912       0.000000
       0.644000       0.222429       0.000000
       0.645000       0.222945       0.000000
       0.646000       0.223460       0.000000
       0.647000       0.223976       0.000000
       0.648000       0.224492       0.000000
       0.649000       0.225010       0.000000
       0.650000       0.225529       0.000000
       0.651000       0.226049       0.000000
       0.652000       0.226569       0.000000
       0.653000       0.227089       0.000000
       0.654000       0.227607       0.000000
       0.655000       0.228121       0.000000
       0.656000       0.228631       0.000000
       0.657000       0.229138       0.000000
       0.658000       0.229641       0.000000
       0.659000       0.230139       0.000000
       0.660000       0.230633       0.000000
       0.661000       0.231121       0.000000
       0.662000       0.231604       0.000000
       0.663000       0.232084       0.000000
       0.664000       0.232561       0.000000
       0.665000       0.233037       0.000000
       0.666000       0.233512       0.000000
       0.667000       0.233989       0.000000
       0.668000       0.234469       0.000000
       0.669000       0.234952       0.000000
       0.670000       0.235439       0.000000
       0.671000       0.235931       0.000000
       0.672000       0.236428       0.000000
       0.673000       0.236930       0.000000
       0.674000       0.237438       0.000000
       0.675000       0.237951       0.000000
       0.676000       0.238470       0.000000
       0.677000       0.238996       0.000000
       0.678000       0.239530       0.000000
       0.679000       0.240074       0.000000
       0.680000       0.240629       0.000000
       0.681000       0.241200       0.000000
       0.682000       0.241787       0.000000
       0.683000       0.242392       0.000000
       0.684000       0.243016       0.000000
       0.685000       0.243660       0.000000
       0.686000       0.244323       0.000000
       0.687000       0.245003       0.000000
       0.688000       0.245698       0.000000
       0.689000       0.246404       0.000000
       0.690000       0.247117       0.000000
       0.691000       0.247832       0.000000
       0.692000       0.248548       0.000000
       0.693000       0.249261       0.000000
       0.694000       0.249969       0.000000
       0.695000       0.250672       0.000000
       0.696000       0.251369       0.000000
       0.697000       0.252060       0.000000
       0.698000       0.252746       0.000000
       0.699000       0.253425       0.000000
       0.700000       0.254097       0.000000
       0.701000       0.254763       0.000000
       0.702000       0.255422       0.000000
       0.703000       0.256072       0.000000
       0.704000       0.256714       0.000000
       0.705000       0.257348       0.000000
       0.706000       0.257975       0.000000
       0.707000       0.258594       0.000000
       0.708000       0.259206       0.000000
       0.709000       0.259811       0.000000
       0.710000       0.260408       0.000000
       0.711000       0.260997       0.000000
       0.712000       0.261577       0.000000
       0.713000       0.262149       0.000000
       0.714000       0.262716       0.000000
       0.715000       0.263278       0.000000
       0.716000       0.263836       0.000000
       0.717000       0.264387       0.000000
       0.718000       0.264931       0.000000
       0.719000       0.265468       0.000000
       0.720000       0.265999       0.000000
       0.721000       0.266525       0.000000
       0.722000       0.267046       0.000000
       0.723000       0.267561       0.000000
       0.724000       0.268072       0.000000
       0.725000       0.268577       0.000000
       0.726000       0.269079       0.000000
       0.727000       0.269578       0.000000
       0.728000       0.270072       0.000000
       0.729000       0.270563       0.000000
       0.730000       0.271049       0.000000
       0.731000       0.271530       0.000000
       0.732000       0.272008       0.000000
       0.733000       0.272481       0.000000
       0.734000       0.272950       0.000000
       0.735000       0.273415       0.000000
       0.736000       0.273877       0.000000
       0.737000       0.274334       0.000000
       0.738000       0.274787       0.000000
       0.739000       0.275236       0.000000
       0.740000       0.275681       0.000000
       0.741000       0.276122       0.000000
       0.742000       0.276559       0.000000
       0.743000       0.276993       0.000000
       0.744000       0.277425       0.000000
       0.745000       0.277856       0.000000
       0.746000       0.278287       0.000000
       0.747000       0.278715       0.000000
       0.748000       0.279142       0.000000
       0.749000       0.279565       0.000000
       0.750000       0.279983       0.000000
       0.751000       0.280395       0.000000
       0.752000       0.280801       0.000000
       0.753000       0.281203       0.000000
       0.754000       0.281602       0.000000
       0.755000       0.281999       0.000000
       0.756000       0.282395       0.000000
       0.757000       0.282793       0.000000
       0.758000       0.283192       0.000000
       0.759000       0.283591       0.000000
       0.760000       0.283989       0.000000
       0.761000       0.284385       0.000000
       0.762000       0.284779       0.000000
       0.763000       0.285170       0.000000
       0.764000       0.285557       0.000000
       0.765000       0.285941       0.000000
       0.766000       0.286322       0.000000
       0.767000       0.286701       0.000000
       0.768000       0.287078       0.000000
       0.769000       0.287454       0.000000
       0.770000       0.287828       0.000000
       0.771000       0.288197       0.000000
       0.772000       0.288561       0.000000
       0.773000       0.288920       0.000000
       0.774000       0.289277       0.000000
       0.775000       0.289632       0.000000
       0.776000       0.289987       0.000000
       0.777000       0.290341       0.000000
       0.778000       0.290696       0.000000
       0.779000       0.291050       0.000000
       0.780000       0.291403       0.000000
       0.781000       0.291756       0.000000
       0.782000       0.292108       0.000000
       0.783000       0.292458       0.000000
       0.784000       0.292807       0.000000
       0.785000       0.293153       0.000000
       0.786000       0.293496       0.000000
       0.787000       0.293835       0.000000
       0.788000       0.294171       0.000000
       0.789000       0.294504       0.000000
       0.790000       0.294835       0.000000
       0.791000       0.295166       0.000000
       0.792000       0.295495       0.000000
       0.793000       0.295823       0.000000
       0.794000       0.296149       0.000000
       0.795000       0.296474       0.000000
       0.796000       0.296797       0.000000
       0.797000       0.297118       0.000000
       0.798000       0.297440       0.000000
       0.799000       0.297762       0.000000
       0.800000       0.298083       0.000000
       0.801000       0.298401       0.000000
       0.802000       0.298714       0.000000
       0.803000       0.299022       0.000000
       0.804000       0.299328       0.000000
       0.805000       0.299632       0.000000
