USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Grass-Fescue-Wheatg YNP-FW-1 W1R1Ab RTGC
copy of splib05a r 11130                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.014787       0.000000
       0.419190       0.014343       0.000000
       0.428970       0.015635       0.000000
       0.438760       0.018635       0.000000
       0.448550       0.020435       0.000000
       0.458360       0.021610       0.000000
       0.468180       0.023383       0.000000
       0.478000       0.024858       0.000000
       0.487840       0.026137       0.000000
       0.497680       0.028452       0.000000
       0.507530       0.031630       0.000000
       0.517380       0.037431       0.000000
       0.527240       0.045138       0.000000
       0.537100       0.051960       0.000000
       0.546960       0.056176       0.000000
       0.556830       0.058569       0.000000
       0.566710       0.057563       0.000000
       0.576580       0.054511       0.000000
       0.586450       0.053410       0.000000
       0.596330       0.053185       0.000000
       0.606200       0.053927       0.000000
       0.616080       0.053017       0.000000
       0.625950       0.052886       0.000000
       0.635820       0.053818       0.000000
       0.645690       0.052081       0.000000
       0.655560       0.050284       0.000000
       0.665420       0.048469       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.048025       0.000000
       0.685190       0.051784       0.000000
       0.694780       0.070474       0.000000
       0.704370       0.105311       0.000000
       0.713960       0.144251       0.000000
       0.723550       0.188776       0.000000
       0.733140       0.229230       0.000000
       0.742730       0.256537       0.000000
       0.752320       0.271793       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.286033       0.000000
       0.781100       0.288789       0.000000
       0.790700       0.292744       0.000000
       0.800290       0.296822       0.000000
       0.809890       0.300041       0.000000
       0.819480       0.303084       0.000000
       0.829080       0.307895       0.000000
       0.838680       0.312072       0.000000
       0.848280       0.315852       0.000000
       0.857880       0.320918       0.000000
       0.867480       0.324996       0.000000
       0.877080       0.329410       0.000000
       0.886680       0.333271       0.000000
       0.896290       0.335585       0.000000
       0.905890       0.338740       0.000000
       0.915490       0.342473       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.338202       0.000000
       0.963520       0.338838       0.000000
       0.973130       0.340369       0.000000
       0.982740       0.342219       0.000000
       0.992350       0.345553       0.000000
       1.001960       0.350201       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.359737       0.000000
       1.030800       0.364069       0.000000
       1.040410       0.368786       0.000000
       1.050030       0.372410       0.000000
       1.059640       0.375640       0.000000
       1.069260       0.378251       0.000000
       1.078870       0.379079       0.000000
       1.088490       0.379980       0.000000
       1.098110       0.379365       0.000000
       1.107730       0.378229       0.000000
       1.117350       0.370805       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.339333       0.000000
       1.175080       0.337300       0.000000
       1.184700       0.335882       0.000000
       1.194330       0.334956       0.000000
       1.203950       0.336073       0.000000
       1.213580       0.338689       0.000000
       1.223210       0.343233       0.000000
       1.232830       0.348241       0.000000
       1.242460       0.351671       0.000000
       1.252090       0.354595       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.357181       0.000000
       1.274190       0.359116       0.000000
       1.284160       0.358357       0.000000
       1.294130       0.357637       0.000000
       1.304100       0.351830       0.000000
       1.314070       0.343534       0.000000
       1.324040       0.330911       0.000000
       1.334000       0.316177       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.129032       0.000000
       1.433650       0.123602       0.000000
       1.443610       0.118825       0.000000
       1.453570       0.118295       0.000000
       1.463530       0.118790       0.000000
       1.473490       0.122225       0.000000
       1.483450       0.127102       0.000000
       1.493410       0.133855       0.000000
       1.503370       0.141419       0.000000
       1.513320       0.149745       0.000000
       1.523280       0.158273       0.000000
       1.533240       0.165908       0.000000
       1.543190       0.173647       0.000000
       1.553150       0.181512       0.000000
       1.563100       0.188073       0.000000
       1.573050       0.194539       0.000000
       1.583010       0.200921       0.000000
       1.592960       0.206940       0.000000
       1.602910       0.213150       0.000000
       1.612860       0.218867       0.000000
       1.622810       0.224352       0.000000
       1.632760       0.228303       0.000000
       1.642710       0.231816       0.000000
       1.652660       0.234246       0.000000
       1.662610       0.235236       0.000000
       1.672560       0.235684       0.000000
       1.682510       0.234740       0.000000
       1.692460       0.231316       0.000000
       1.702400       0.228719       0.000000
       1.712350       0.224922       0.000000
       1.722290       0.221231       0.000000
       1.732240       0.218898       0.000000
       1.742180       0.215672       0.000000
       1.752120       0.211157       0.000000
       1.762070       0.207308       0.000000
       1.772010       0.203467       0.000000
       1.781950       0.202026       0.000000
       1.791890       0.201823       0.000000
       1.801830       0.200069       0.000000
       1.811770       0.192898       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.070711       0.000000
       1.959480       0.075819       0.000000
       1.969510       0.073543       0.000000
       1.979540       0.075685       0.000000
       1.989570       0.078030       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.090807       0.000000
       2.039670       0.091591       0.000000
       2.049690       0.094416       0.000000
       2.059700       0.095322       0.000000
       2.069700       0.096635       0.000000
       2.079710       0.099373       0.000000
       2.089710       0.101561       0.000000
       2.099710       0.104219       0.000000
       2.109710       0.105406       0.000000
       2.119710       0.107814       0.000000
       2.129700       0.111024       0.000000
       2.139690       0.114227       0.000000
       2.149680       0.116206       0.000000
       2.159660       0.117984       0.000000
       2.169650       0.120973       0.000000
       2.179630       0.122938       0.000000
       2.189610       0.125796       0.000000
       2.199580       0.126156       0.000000
       2.209550       0.128310       0.000000
       2.219520       0.128507       0.000000
       2.229490       0.126933       0.000000
       2.239460       0.123994       0.000000
       2.249420       0.121235       0.000000
       2.259380       0.114713       0.000000
       2.269340       0.111306       0.000000
       2.279300       0.107272       0.000000
       2.289250       0.104211       0.000000
       2.299200       0.101312       0.000000
       2.309150       0.098539       0.000000
       2.319090       0.096324       0.000000
       2.329040       0.094549       0.000000
       2.338980       0.090731       0.000000
       2.348920       0.087352       0.000000
       2.358850       0.088550       0.000000
       2.368780       0.084273       0.000000
       2.378710       0.082352       0.000000
       2.388640       0.079079       0.000000
       2.398570       0.079019       0.000000
       2.408490       0.076957       0.000000
       2.418410       0.073065       0.000000
       2.428330       0.069458       0.000000
       2.438250       0.065579       0.000000
       2.448160       0.062663       0.000000
       2.458070       0.064099       0.000000
       2.467980       0.059937       0.000000
       2.477880       0.056773       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
