USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Grass_dry.7+.3green    AMX30 W1R1Ba AREF
copy of splib05a r 12093                                    
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600       0.006384       0.000000
       0.268600       0.007299       0.000000
       0.273100       0.003801       0.000000
       0.277100       0.008422       0.000000
       0.281100       0.005710       0.000000
       0.285100       0.006936       0.000000
       0.289100       0.010695       0.000000
       0.293100       0.009187       0.000000
       0.297100       0.008582       0.000000
       0.301100       0.007174       0.000000
       0.305100       0.012184       0.000000
       0.309100       0.014868       0.000000
       0.313100       0.015890       0.000000
       0.317100       0.014140       0.000000
       0.321100       0.016005       0.000000
       0.325100       0.014601       0.000000
       0.329100       0.015326       0.000000
       0.333100       0.015273       0.000000
       0.337100       0.018708       0.000000
       0.341100       0.017758       0.000000
       0.345100       0.016832       0.000000
       0.349100       0.016883       0.000000
       0.353100       0.020633       0.000000
       0.357100       0.021149       0.000000
       0.360600       0.020803       0.000000
       0.363600       0.022226       0.000000
       0.366600       0.022273       0.000000
       0.369600       0.022859       0.000000
       0.372600       0.023041       0.000000
       0.375600       0.022612       0.000000
       0.378600       0.024328       0.000000
       0.381100       0.024347       0.000000
       0.383100       0.025028       0.000000
       0.385100       0.026072       0.000000
       0.387100       0.026850       0.000000
       0.389100       0.028443       0.000000
       0.391100       0.029947       0.000000
       0.393100       0.031344       0.000000
       0.395100       0.032018       0.000000
       0.397100       0.034573       0.000000
       0.399100       0.035580       0.000000
       0.401100       0.037689       0.000000
       0.403100       0.040090       0.000000
       0.405100       0.042800       0.000000
       0.407100      -1.23e34       -1.23e34 
       0.409100      -1.23e34       -1.23e34 
       0.411100      -1.23e34       -1.23e34 
       0.412800       0.052963       0.000000
       0.415800       0.057290       0.000000
       0.418800       0.061797       0.000000
       0.421800       0.066230       0.000000
       0.424800       0.071179       0.000000
       0.427800       0.075848       0.000000
       0.430800       0.079368       0.000000
       0.433800       0.084580       0.000000
       0.436800       0.088159       0.000000
       0.439800       0.091588       0.000000
       0.442800       0.095222       0.000000
       0.445800       0.098386       0.000000
       0.448800       0.102599       0.000000
       0.451300       0.106418       0.000000
       0.453300       0.108150       0.000000
       0.455300       0.110152       0.000000
       0.457300       0.110909       0.000000
       0.459300       0.112605       0.000000
       0.461300       0.114912       0.000000
       0.463300       0.117915       0.000000
       0.465300       0.118959       0.000000
       0.467300       0.121579       0.000000
       0.469300       0.122396       0.000000
       0.471300       0.124210       0.000000
       0.473300       0.126166       0.000000
       0.475300       0.128616       0.000000
       0.477300       0.129256       0.000000
       0.479300       0.131342       0.000000
       0.481300       0.132072       0.000000
       0.483300       0.133794       0.000000
       0.485300       0.135773       0.000000
       0.487300       0.137459       0.000000
       0.489300       0.138029       0.000000
       0.491300       0.140148       0.000000
       0.493300       0.140866       0.000000
       0.495300       0.143739       0.000000
       0.497300       0.144422       0.000000
       0.499300       0.146697       0.000000
       0.501300       0.147608       0.000000
       0.503300       0.149229       0.000000
       0.505300       0.151260       0.000000
       0.507300       0.153192       0.000000
       0.509300       0.154072       0.000000
       0.511300       0.157030       0.000000
       0.513300       0.158669       0.000000
       0.515300       0.161235       0.000000
       0.517300       0.163496       0.000000
       0.519300       0.165882       0.000000
       0.521300       0.168312       0.000000
       0.523300       0.170849       0.000000
       0.525300       0.173785       0.000000
       0.527300       0.175553       0.000000
       0.529300       0.177201       0.000000
       0.531300       0.180094       0.000000
       0.533300       0.181879       0.000000
       0.535300       0.184108       0.000000
       0.537300       0.185791       0.000000
       0.539300       0.188085       0.000000
       0.541300       0.188442       0.000000
       0.543300       0.190414       0.000000
       0.545300       0.190677       0.000000
       0.547300       0.193258       0.000000
       0.549300       0.192666       0.000000
       0.551300       0.195245       0.000000
       0.553300       0.195174       0.000000
       0.555300       0.197161       0.000000
       0.557300       0.196924       0.000000
       0.559300       0.197930       0.000000
       0.561300       0.199189       0.000000
       0.563300       0.199700       0.000000
       0.565300       0.201053       0.000000
       0.567300       0.200178       0.000000
       0.569300       0.201407       0.000000
       0.571300       0.200898       0.000000
       0.573300       0.201239       0.000000
       0.575300       0.202087       0.000000
       0.577300       0.201705       0.000000
       0.579300       0.204410       0.000000
       0.581300       0.202895       0.000000
       0.583300       0.204425       0.000000
       0.585300       0.204465       0.000000
       0.587300       0.206043       0.000000
       0.589300       0.206598       0.000000
       0.591300       0.207378       0.000000
       0.593300       0.207362       0.000000
       0.595300       0.207805       0.000000
       0.597300       0.207780       0.000000
       0.599300       0.208685       0.000000
       0.601100       0.209818       0.000000
       0.602700       0.210033       0.000000
       0.604300       0.211576       0.000000
       0.605900       0.211105       0.000000
       0.607500       0.211807       0.000000
       0.609100       0.211993       0.000000
       0.610700       0.211830       0.000000
       0.612300       0.212796       0.000000
       0.613900       0.213517       0.000000
       0.615500       0.214369       0.000000
       0.617100       0.213819       0.000000
       0.618700       0.214798       0.000000
       0.620300       0.216344       0.000000
       0.621900       0.215765       0.000000
       0.623500       0.216339       0.000000
       0.625100       0.217953       0.000000
       0.626700       0.218216       0.000000
       0.628300       0.219199       0.000000
       0.629900       0.219193       0.000000
       0.631700       0.220287       0.000000
       0.633700       0.220956       0.000000
       0.635700       0.221193       0.000000
       0.637700       0.222760       0.000000
       0.639700       0.222293       0.000000
       0.641700       0.223882       0.000000
       0.643700       0.223821       0.000000
       0.645700       0.224946       0.000000
       0.647700       0.224740       0.000000
       0.649700       0.225818       0.000000
       0.651700       0.225100       0.000000
       0.653700       0.226304       0.000000
       0.655700       0.227197       0.000000
       0.657700       0.227777       0.000000
       0.659700       0.228360       0.000000
       0.661700       0.228183       0.000000
       0.663700       0.228690       0.000000
       0.665700       0.230092       0.000000
       0.667700       0.229418       0.000000
       0.670200       0.230017       0.000000
       0.673200       0.229958       0.000000
       0.676200       0.231522       0.000000
       0.679200       0.232413       0.000000
       0.682200       0.233868       0.000000
       0.685200       0.236235       0.000000
       0.688200       0.236876       0.000000
       0.691200       0.240445       0.000000
       0.694200       0.243663       0.000000
       0.697200       0.248978       0.000000
       0.700200       0.254979       0.000000
       0.702000       0.259812       0.000000
       0.704000       0.263281       0.000000
       0.706000       0.269330       0.000000
       0.708000       0.272962       0.000000
       0.710000       0.278961       0.000000
       0.712000       0.283656       0.000000
       0.714000       0.290343       0.000000
       0.716000       0.295056       0.000000
       0.718000       0.302220       0.000000
       0.720000       0.308113       0.000000
       0.722000       0.315672       0.000000
       0.724000       0.322500       0.000000
       0.726000       0.330305       0.000000
       0.728000       0.337882       0.000000
       0.730000       0.346409       0.000000
       0.732000       0.353883       0.000000
       0.734000       0.362228       0.000000
       0.736000       0.370111       0.000000
       0.738000       0.378459       0.000000
       0.740000       0.385225       0.000000
       0.742000       0.392960       0.000000
       0.744000       0.399985       0.000000
       0.746000       0.406247       0.000000
       0.748000       0.411501       0.000000
       0.750500       0.417902       0.000000
       0.753500       0.424223       0.000000
       0.756500       0.429581       0.000000
       0.759500       0.434466       0.000000
       0.762500       0.438331       0.000000
       0.765500       0.440010       0.000000
       0.768500       0.442775       0.000000
       0.771500       0.444752       0.000000
       0.774500       0.447708       0.000000
       0.777500       0.448500       0.000000
       0.781000       0.448856       0.000000
       0.785000       0.449564       0.000000
       0.789000       0.451199       0.000000
       0.793000       0.453264       0.000000
       0.797000       0.453721       0.000000
       0.801500       0.453704       0.000000
       0.806500       0.455731       0.000000
       0.811500       0.455998       0.000000
       0.816500       0.457230       0.000000
       0.822000       0.457765       0.000000
       0.828000       0.458285       0.000000
       0.835000      -1.23e34       -1.23e34 
       0.843000      -1.23e34       -1.23e34 
       0.851000       0.462597       0.000000
       0.859000       0.461276       0.000000
       0.871000       0.460674       0.000000
       0.883000       0.462251       0.000000
       0.894000       0.464057       0.000000
       0.904000       0.462412       0.000000
       0.914000       0.461754       0.000000
       0.924000       0.462852       0.000000
       0.933000       0.463487       0.000000
       0.941000       0.460917       0.000000
       0.949000       0.458049       0.000000
       0.957000       0.453683       0.000000
       0.964000       0.451307       0.000000
       0.970000       0.452355       0.000000
       0.976000       0.451251       0.000000
       0.982000       0.451790       0.000000
       0.988000       0.451555       0.000000
       0.994000       0.452700       0.000000
       1.000000       0.453895       0.000000
       1.006000       0.454248       0.000000
       1.012000       0.454308       0.000000
       1.018000       0.457429       0.000000
       1.023500       0.458799       0.000000
       1.028500       0.460344       0.000000
       1.033500       0.460898       0.000000
       1.038500       0.463764       0.000000
       1.043500       0.463340       0.000000
       1.048500       0.464300       0.000000
       1.053500       0.465058       0.000000
       1.058500       0.465307       0.000000
       1.063500       0.465722       0.000000
       1.068500       0.465880       0.000000
       1.073500       0.464843       0.000000
       1.078500       0.466217       0.000000
       1.083500       0.468116       0.000000
       1.088500       0.466517       0.000000
       1.093500       0.465992       0.000000
       1.098500       0.466896       0.000000
       1.103500       0.464643       0.000000
       1.108500       0.466201       0.000000
       1.113500       0.465027       0.000000
       1.118500       0.463968       0.000000
       1.123500       0.463120       0.000000
       1.128500       0.460809       0.000000
       1.133500       0.456769       0.000000
       1.138500       0.450220       0.000000
       1.143500       0.443032       0.000000
       1.148500       0.438886       0.000000
       1.153500       0.434240       0.000000
       1.158500       0.429996       0.000000
       1.163500       0.427503       0.000000
       1.168500       0.426394       0.000000
       1.173500       0.423944       0.000000
       1.178500       0.422315       0.000000
       1.183500       0.421641       0.000000
       1.188500       0.421582       0.000000
       1.193500       0.421197       0.000000
       1.198500       0.420244       0.000000
       1.203500       0.420412       0.000000
       1.208500       0.419450       0.000000
       1.213500       0.419816       0.000000
       1.218500       0.422412       0.000000
       1.223500       0.422186       0.000000
       1.228500       0.423230       0.000000
       1.233500       0.424550       0.000000
       1.238500       0.425385       0.000000
       1.243500       0.426966       0.000000
       1.248500       0.427829       0.000000
       1.253500       0.429769       0.000000
       1.258500       0.430210       0.000000
       1.263500       0.430588       0.000000
       1.268500       0.430437       0.000000
       1.273500       0.430005       0.000000
       1.278500       0.430161       0.000000
       1.283500       0.430327       0.000000
       1.288500       0.429494       0.000000
       1.293500       0.428081       0.000000
       1.298500       0.426594       0.000000
       1.303500       0.425411       0.000000
       1.308500       0.422328       0.000000
       1.313500       0.420236       0.000000
       1.318500       0.416349       0.000000
       1.323500       0.412038       0.000000
       1.328500       0.407798       0.000000
       1.333500       0.402414       0.000000
       1.338500       0.398358       0.000000
       1.343500       0.392292       0.000000
       1.348500       0.385885       0.000000
       1.353500       0.382569       0.000000
       1.358500       0.377749       0.000000
       1.363500       0.373043       0.000000
       1.368500       0.368628       0.000000
       1.373500       0.362218       0.000000
       1.378500       0.353839       0.000000
       1.383500       0.344230       0.000000
       1.388500       0.330863       0.000000
       1.393500       0.315135       0.000000
       1.398500       0.303980       0.000000
       1.403500       0.289755       0.000000
       1.408500       0.278710       0.000000
       1.413500       0.268258       0.000000
       1.418500       0.257993       0.000000
       1.423500       0.251128       0.000000
       1.428500       0.244119       0.000000
       1.433500       0.240863       0.000000
       1.438500       0.237077       0.000000
       1.443500       0.234570       0.000000
       1.448500       0.233315       0.000000
       1.453500       0.233528       0.000000
       1.458500       0.232645       0.000000
       1.463500       0.234848       0.000000
       1.468500       0.232347       0.000000
       1.473500       0.234541       0.000000
       1.478500       0.236154       0.000000
       1.483500       0.239176       0.000000
       1.488500       0.241299       0.000000
       1.493500       0.243926       0.000000
       1.498500       0.246986       0.000000
       1.503500       0.249731       0.000000
       1.508500       0.251863       0.000000
       1.513500       0.254736       0.000000
       1.518500       0.259275       0.000000
       1.523500       0.261188       0.000000
       1.528500       0.265496       0.000000
       1.534000       0.267669       0.000000
       1.540000       0.272127       0.000000
       1.546000       0.274703       0.000000
       1.552000       0.278121       0.000000
       1.558000       0.281766       0.000000
       1.564000       0.282677       0.000000
       1.570500       0.285073       0.000000
       1.577500       0.287786       0.000000
       1.584500       0.291383       0.000000
       1.591500       0.294942       0.000000
       1.598500       0.298149       0.000000
       1.605500       0.302643       0.000000
       1.612500       0.305091       0.000000
       1.619500       0.308878       0.000000
       1.626500       0.311295       0.000000
       1.633500       0.313920       0.000000
       1.640500       0.315484       0.000000
       1.647500       0.316299       0.000000
       1.654500       0.317990       0.000000
       1.661500       0.317306       0.000000
       1.668500       0.318085       0.000000
       1.676000       0.314556       0.000000
       1.684000       0.311752       0.000000
       1.692000       0.311659       0.000000
       1.700000       0.310591       0.000000
       1.708000       0.308885       0.000000
       1.716000       0.301731       0.000000
       1.724000       0.300706       0.000000
       1.732000       0.296400       0.000000
       1.740000       0.297205       0.000000
       1.748000       0.296546       0.000000
       1.756000       0.295425       0.000000
       1.764000       0.290817       0.000000
       1.772000       0.289628       0.000000
       1.780000       0.288307       0.000000
       1.788000       0.291204       0.000000
       1.796000       0.288193       0.000000
       1.805000       0.289357       0.000000
       1.815000       0.290268       0.000000
       1.825000       0.289239       0.000000
       1.835000       0.290342       0.000000
       1.845000       0.289360       0.000000
       1.855000       0.284225       0.000000
       1.865000       0.273634       0.000000
       1.875000       0.253594       0.000000
       1.885000       0.229969       0.000000
       1.895000       0.199168       0.000000
       1.905000       0.175261       0.000000
       1.915000       0.158399       0.000000
       1.925000       0.151798       0.000000
       1.935000       0.152816       0.000000
       1.945000       0.157309       0.000000
       1.955000       0.161174       0.000000
       1.965000       0.171766       0.000000
       1.975000       0.177341       0.000000
       1.985000       0.182117       0.000000
       1.995000       0.188817       0.000000
       2.005000       0.191235       0.000000
       2.015000       0.195304       0.000000
       2.025000       0.192584       0.000000
       2.035000       0.190986       0.000000
       2.045000       0.185459       0.000000
       2.055000       0.182790       0.000000
       2.065000       0.179244       0.000000
       2.075000       0.178631       0.000000
       2.085000       0.180615       0.000000
       2.095000       0.176021       0.000000
       2.105000       0.181267       0.000000
       2.115000       0.183332       0.000000
       2.125000       0.186537       0.000000
       2.135000       0.189686       0.000000
       2.145000       0.194134       0.000000
       2.155000       0.193981       0.000000
       2.165000       0.199599       0.000000
       2.175000       0.201845       0.000000
       2.185000       0.201751       0.000000
       2.195000       0.203583       0.000000
       2.205000       0.205307       0.000000
       2.215000       0.207282       0.000000
       2.225000       0.205628       0.000000
       2.235000       0.199896       0.000000
       2.245000       0.193889       0.000000
       2.255000       0.185317       0.000000
       2.265000       0.183097       0.000000
       2.275000       0.177089       0.000000
       2.285000       0.175336       0.000000
       2.295000       0.174524       0.000000
       2.305000       0.167394       0.000000
