USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Juniper_Bush IH91-4B         W1R1Ba AREF
copy of splib05a r 11197                                    
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100      -1.23e34        0.000000
       0.305100      -1.23e34        0.000000
       0.309100      -1.23e34        0.000000
       0.313100      -1.23e34        0.000000
       0.317100      -1.23e34        0.000000
       0.321100      -1.23e34        0.000000
       0.325100      -1.23e34        0.000000
       0.329100      -1.23e34        0.000000
       0.333100      -1.23e34        0.000000
       0.337100      -1.23e34        0.000000
       0.341100      -1.23e34        0.000000
       0.345100      -1.23e34        0.000000
       0.349100      -1.23e34        0.000000
       0.353100       0.072228       0.000206
       0.357100       0.071504       0.000214
       0.360600       0.070725       0.000225
       0.363600       0.071655       0.000207
       0.366600       0.070199       0.000220
       0.369600       0.070629       0.000302
       0.372600       0.070246       0.000191
       0.375600       0.070191       0.000164
       0.378600       0.069556       0.000220
       0.381100       0.069867       0.000211
       0.383100       0.068550       0.000192
       0.385100       0.069128       0.000249
       0.387100       0.068305       0.000193
       0.389100       0.068360       0.000204
       0.391100       0.068886       0.000217
       0.393100       0.068288       0.000198
       0.395100       0.069186       0.000203
       0.397100       0.068103       0.000363
       0.399100       0.066912       0.000223
       0.401100       0.067885       0.000201
       0.403100       0.067634       0.000177
       0.405100       0.068343       0.000196
       0.407100       0.069165       0.000194
       0.409100       0.068619       0.000213
       0.411100       0.070238       0.000271
       0.412800       0.068630       0.000295
       0.415800       0.069441       0.000358
       0.418800       0.069196       0.000199
       0.421800       0.070215       0.000216
       0.424800       0.070374       0.000197
       0.427800       0.071210       0.000210
       0.430800       0.071225       0.000198
       0.433800       0.072331       0.000323
       0.436800       0.071990       0.000225
       0.439800       0.072633       0.000241
       0.442800       0.074000       0.000343
       0.445800       0.073960       0.000243
       0.448800       0.075109       0.000367
       0.451300       0.075358       0.000229
       0.453300       0.076404       0.000175
       0.455300       0.076855       0.000181
       0.457300       0.077571       0.000252
       0.459300       0.077575       0.000270
       0.461300       0.079410       0.000186
       0.463300       0.079430       0.000189
       0.465300       0.080519       0.000194
       0.467300       0.081363       0.000183
       0.469300       0.081569       0.000179
       0.471300       0.082396       0.000158
       0.473300       0.082816       0.000177
       0.475300       0.083605       0.000171
       0.477300       0.083119       0.000155
       0.479300       0.083579       0.000170
       0.481300       0.083697       0.000258
       0.483300       0.083655       0.000174
       0.485300       0.084271       0.000150
       0.487300       0.084871       0.000176
       0.489300       0.085795       0.000135
       0.491300       0.085771       0.000193
       0.493300       0.086676       0.000361
       0.495300       0.087479       0.000284
       0.497300       0.088498       0.000161
       0.499300       0.089524       0.000252
       0.501300       0.090968       0.000155
       0.503300       0.092457       0.000146
       0.505300       0.094320       0.000169
       0.507300       0.095869       0.000165
       0.509300       0.097828       0.000156
       0.511300       0.100427       0.000137
       0.513300       0.102087       0.000150
       0.515300       0.104911       0.000196
       0.517300       0.108199       0.000183
       0.519300       0.110455       0.000163
       0.521300       0.113995       0.000154
       0.523300       0.117181       0.000138
       0.525300       0.119780       0.000189
       0.527300       0.123600       0.000193
       0.529300       0.126262       0.000162
       0.531300       0.129970       0.000314
       0.533300       0.132262       0.000197
       0.535300       0.135390       0.000303
       0.537300       0.136785       0.000182
       0.539300       0.138768       0.000224
       0.541300       0.140588       0.000198
       0.543300       0.142434       0.000197
       0.545300       0.143867       0.000169
       0.547300       0.144745       0.000230
       0.549300       0.146199       0.000180
       0.551300       0.147759       0.000185
       0.553300       0.148239       0.000176
       0.555300       0.149058       0.000175
       0.557300       0.149978       0.000345
       0.559300       0.149925       0.000181
       0.561300       0.149858       0.000200
       0.563300       0.150118       0.000150
       0.565300       0.149777       0.000192
       0.567300       0.149220       0.000181
       0.569300       0.148786       0.000151
       0.571300       0.147124       0.000181
       0.573300       0.146063       0.000189
       0.575300       0.144798       0.000285
       0.577300       0.143355       0.000166
       0.579300       0.142301       0.000246
       0.581300       0.141986       0.000211
       0.583300       0.140146       0.000219
       0.585300       0.140525       0.000194
       0.587300       0.138635       0.000203
       0.589300       0.138236       0.000195
       0.591300       0.138120       0.000200
       0.593300       0.137028       0.000195
       0.595300       0.137104       0.000155
       0.597300       0.136800       0.000164
       0.599300       0.135731       0.000358
       0.601100       0.135877       0.000234
       0.602700       0.135401       0.000206
       0.604300       0.134112       0.000186
       0.605900       0.133345       0.000209
       0.607500       0.132110       0.000210
       0.609100       0.131255       0.000189
       0.610700       0.130008       0.000191
       0.612300       0.128534       0.000133
       0.613900       0.126969       0.000171
       0.615500       0.125571       0.000176
       0.617100       0.124158       0.000207
       0.618700       0.123269       0.000189
       0.620300       0.122268       0.000166
       0.621900       0.121422       0.000200
       0.623500       0.121310       0.000273
       0.625100       0.120824       0.000215
       0.626700       0.120951       0.000146
       0.628300       0.121078       0.000291
       0.629900       0.120760       0.000156
       0.631700       0.120745       0.000126
       0.633700       0.120776       0.000146
       0.635700       0.120028       0.000173
       0.637700       0.119402       0.000199
       0.639700       0.118155       0.000161
       0.641700       0.116930       0.000174
       0.643700       0.115226       0.000192
       0.645700       0.112809       0.000165
       0.647700       0.111005       0.000181
       0.649700       0.109443       0.000193
       0.651700       0.107456       0.000215
       0.653700       0.107208       0.000203
       0.655700       0.104760       0.000202
       0.657700       0.103494       0.000216
       0.659700       0.101080       0.000346
       0.661700       0.097374       0.000243
       0.663700       0.095412       0.000240
       0.665700       0.092859       0.000209
       0.667700       0.089919       0.000205
       0.670200       0.088073       0.000164
       0.673200       0.086027       0.000193
       0.676200       0.085443       0.000181
       0.679200       0.084536       0.000167
       0.682200       0.085341       0.000168
       0.685200       0.088170       0.000169
       0.688200       0.094879       0.000241
       0.691200       0.108312       0.000206
       0.694200       0.125589       0.000235
       0.697200       0.146862       0.000273
       0.700200       0.173981       0.000230
       0.702000       0.191245       0.000148
       0.704000       0.209581       0.000197
       0.706000       0.228490       0.000147
       0.708000       0.248366       0.000211
       0.710000       0.266795       0.000211
       0.712000       0.287622       0.000153
       0.714000       0.306967       0.000225
       0.716000       0.327258       0.000193
       0.718000       0.345845       0.000252
       0.720000       0.366289       0.000176
       0.722000       0.386006       0.000221
       0.724000       0.405332       0.000206
       0.726000       0.422319       0.000351
       0.728000       0.441245       0.000219
       0.730000       0.457817       0.000348
       0.732000       0.473843       0.000250
       0.734000       0.489454       0.000284
       0.736000       0.500766       0.000240
       0.738000       0.512220       0.000263
       0.740000       0.521731       0.000330
       0.742000       0.531979       0.000185
       0.744000       0.539857       0.000187
       0.746000       0.548001       0.000196
       0.748000       0.553386       0.000242
       0.750500       0.561914       0.000204
       0.753500       0.568103       0.000262
       0.756500       0.573823       0.000334
       0.759500       0.578917       0.000217
       0.762500       0.581707       0.000350
       0.765500       0.586600       0.000222
       0.768500       0.588213       0.000231
       0.771500       0.592353       0.000238
       0.774500       0.592421       0.000264
       0.777500       0.593811       0.000267
       0.781000       0.597014       0.000204
       0.785000       0.599926       0.000244
       0.789000       0.600845       0.000230
       0.793000       0.602151       0.000260
       0.797000       0.604692       0.000231
       0.801500       0.605592       0.000356
       0.806500       0.607179       0.000258
       0.811500       0.608769       0.000365
       0.816500       0.611707       0.000299
       0.822000       0.610958       0.000362
       0.828000       0.612492       0.000236
       0.835000       0.613923       0.000328
       0.843000       0.613914       0.000234
       0.851000       0.613384       0.000403
       0.859000       0.614512       0.000391
       0.871000       0.615549       0.000386
       0.883000       0.615265       0.000287
       0.894000       0.613503       0.000377
       0.904000       0.607716       0.000267
       0.914000       0.603340       0.000180
       0.924000       0.601034       0.000271
       0.933000       0.601035       0.000259
       0.941000       0.592817       0.000252
       0.949000       0.581698       0.000251
       0.957000       0.566648       0.000293
       0.964000       0.558078       0.000366
       0.970000       0.554120       0.000257
       0.976000       0.549196       0.000211
       0.982000       0.548828       0.000192
       0.988000       0.549796       0.000326
       0.994000       0.551414       0.000212
       1.000000       0.555961       0.000225
       1.006000       0.558536       0.000207
       1.012000       0.563131       0.000286
       1.018000       0.565143       0.000218
       1.023500       0.572824       0.000263
       1.028500       0.576705       0.000270
       1.033500       0.580344       0.000191
       1.038500       0.585292       0.000209
       1.043500       0.589329       0.000190
       1.048500       0.592567       0.000265
       1.053500       0.594585       0.000261
       1.058500       0.597941       0.000219
       1.063500       0.600954       0.000254
       1.068500       0.601075       0.000215
       1.073500       0.603409       0.000188
       1.078500       0.602524       0.000230
       1.083500       0.604046       0.000257
       1.088500       0.601144       0.000274
       1.093500       0.601212       0.000263
       1.098500       0.598883       0.000202
       1.103500       0.597198       0.000239
       1.108500       0.592180       0.000236
       1.113500       0.589487       0.000213
       1.118500       0.584305       0.000179
       1.123500       0.578912       0.000170
       1.128500       0.570921       0.000293
       1.133500       0.556811       0.000227
       1.138500       0.534602       0.000174
       1.143500       0.511800       0.000214
       1.148500       0.490384       0.000161
       1.153500       0.473993       0.000233
       1.158500       0.463779       0.000213
       1.163500       0.455256       0.000209
       1.168500       0.447862       0.000252
       1.173500       0.441358       0.000209
       1.178500       0.437615       0.000220
       1.183500       0.430163       0.000307
       1.188500       0.424450       0.000277
       1.193500       0.420880       0.000201
       1.198500       0.419025       0.000220
       1.203500       0.419391       0.000204
       1.208500       0.421901       0.000225
       1.213500       0.425047       0.000235
       1.218500       0.432408       0.000185
       1.223500       0.438239       0.000175
       1.228500       0.444565       0.000206
       1.233500       0.451095       0.000186
       1.238500       0.457982       0.000204
       1.243500       0.462986       0.000200
       1.248500       0.466491       0.000213
       1.253500       0.469558       0.000236
       1.258500       0.471684       0.000201
       1.263500       0.474571       0.000207
       1.268500       0.475488       0.000216
       1.273500       0.475445       0.000188
       1.278500       0.474390       0.000246
       1.283500       0.474942       0.000266
       1.288500       0.471784       0.000162
       1.293500       0.469473       0.000181
       1.298500       0.466577       0.000200
       1.303500       0.461536       0.000178
       1.308500       0.454133       0.000196
       1.313500       0.446248       0.000194
       1.318500       0.436587       0.000190
       1.323500       0.425425       0.000255
       1.328500       0.412134       0.000203
       1.333500       0.400460       0.000229
       1.338500       0.386973       0.000149
       1.343500       0.376605       0.000199
       1.348500       0.364997       0.000218
       1.353500       0.354105       0.000201
       1.358500       0.346071       0.000282
       1.363500       0.338089       0.000271
       1.368500       0.326777       0.000254
       1.373500       0.314828       0.000215
       1.378500       0.298467       0.000192
       1.383500       0.274584       0.000280
       1.388500       0.252154       0.000337
       1.393500       0.226778       0.000243
       1.398500       0.204066       0.000232
       1.403500       0.182823       0.000346
       1.408500       0.163819       0.000261
       1.413500       0.152008       0.000226
       1.418500       0.142326       0.000245
       1.423500       0.134918       0.000265
       1.428500       0.131414       0.000198
       1.433500       0.127523       0.000227
       1.438500       0.124846       0.000304
       1.443500       0.122258       0.000274
       1.448500       0.122338       0.000222
       1.453500       0.121980       0.000305
       1.458500       0.122048       0.000251
       1.463500       0.122614       0.000291
       1.468500       0.124041       0.000258
       1.473500       0.126077       0.000325
       1.478500       0.128804       0.000282
       1.483500       0.131423       0.000312
       1.488500       0.134789       0.000384
       1.493500       0.139261       0.000291
       1.498500       0.142602       0.000289
       1.503500       0.145612       0.000302
       1.508500       0.151751       0.000378
       1.513500       0.154748       0.000358
       1.518500       0.159967       0.000387
       1.523500       0.166308       0.000281
       1.528500       0.168021       0.000221
       1.534000       0.172615       0.000270
       1.540000       0.176422       0.000256
       1.546000       0.180149       0.000366
       1.552000       0.184946       0.000266
       1.558000       0.189609       0.000379
       1.564000       0.193132       0.000245
       1.570500       0.198485       0.000202
       1.577500       0.202611       0.000216
       1.584500       0.207501       0.000249
       1.591500       0.211237       0.000220
       1.598500       0.215330       0.000221
       1.605500       0.219157       0.000239
       1.612500       0.222702       0.000233
       1.619500       0.226020       0.000230
       1.626500       0.227024       0.000235
       1.633500       0.227824       0.000249
       1.640500       0.230285       0.000300
       1.647500       0.231923       0.000263
       1.654500       0.233694       0.000200
       1.661500       0.232707       0.000226
       1.668500       0.232814       0.000283
       1.676000       0.225673       0.000231
       1.684000       0.220410       0.000281
       1.692000       0.214276       0.000341
       1.700000       0.206097       0.000384
       1.708000       0.203773       0.000388
       1.716000       0.195806       0.000292
       1.724000       0.191238       0.000273
       1.732000       0.190937       0.000316
       1.740000       0.191754       0.000384
       1.748000       0.191841       0.000392
       1.756000       0.190860       0.000344
       1.764000       0.187200       0.000380
       1.772000       0.188826       0.000307
       1.780000       0.189233       0.000344
       1.788000       0.193048       0.000372
       1.796000       0.190715       0.000227
       1.805000       0.192325       0.000239
       1.815000       0.193962       0.000304
       1.825000       0.194547       0.000279
       1.835000       0.194375       0.000309
       1.845000       0.191745       0.000278
       1.855000       0.182587       0.000334
       1.865000       0.166225       0.000316
       1.875000       0.138485       0.000298
       1.885000       0.104129       0.000218
       1.895000       0.075040       0.000267
       1.905000       0.057061       0.000363
       1.915000       0.048547       0.000305
       1.925000       0.044271       0.000243
       1.935000       0.044869       0.000255
       1.945000       0.046166       0.000274
       1.955000       0.047754       0.000326
       1.965000       0.051907       0.000252
       1.975000       0.054644       0.000376
       1.985000       0.058602       0.000386
       1.995000       0.063050       0.000391
       2.005000       0.066700       0.000313
       2.015000       0.071451       0.000252
       2.025000       0.076726       0.000379
       2.035000       0.076178       0.000374
       2.045000       0.079710       0.000372
       2.055000       0.080840       0.000344
       2.065000       0.083089       0.000386
       2.075000       0.086340       0.000381
       2.085000       0.086038       0.000360
       2.095000       0.090071       0.000384
       2.105000       0.091873       0.000385
       2.115000       0.093732       0.000386
       2.125000       0.096284       0.000381
       2.135000       0.098374       0.000385
       2.145000       0.099052       0.000383
       2.155000       0.102762       0.000266
       2.165000       0.103526       0.000340
       2.175000       0.105370       0.000381
       2.185000       0.108129       0.000382
       2.195000       0.109489       0.000372
       2.205000       0.112040       0.000388
       2.215000       0.112019       0.000392
       2.225000       0.111163       0.000392
       2.235000       0.105954       0.000391
       2.245000       0.102163       0.000397
       2.255000       0.095398       0.000396
       2.265000       0.090842       0.000396
       2.275000       0.084526       0.000413
       2.285000       0.082336       0.000424
       2.295000       0.074626       0.000464
       2.305000       0.072231       0.000496
