USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
LeafySpurge Spurge-A1-Sep97  W1R1Fa AREF
copy of splib05a r 11284                                    
       0.350000       0.019036       0.000000
       0.351000       0.019036       0.000000
       0.352000       0.019028       0.000000
       0.353000       0.019035       0.000000
       0.354000       0.019070       0.000000
       0.355000       0.019142       0.000000
       0.356000       0.019228       0.000000
       0.357000       0.019301       0.000000
       0.358000       0.019341       0.000000
       0.359000       0.019361       0.000000
       0.360000       0.019383       0.000000
       0.361000       0.019423       0.000000
       0.362000       0.019471       0.000000
       0.363000       0.019511       0.000000
       0.364000       0.019531       0.000000
       0.365000       0.019544       0.000000
       0.366000       0.019564       0.000000
       0.367000       0.019604       0.000000
       0.368000       0.019655       0.000000
       0.369000       0.019703       0.000000
       0.370000       0.019738       0.000000
       0.371000       0.019758       0.000000
       0.372000       0.019766       0.000000
       0.373000       0.019764       0.000000
       0.374000       0.019756       0.000000
       0.375000       0.019746       0.000000
       0.376000       0.019738       0.000000
       0.377000       0.019725       0.000000
       0.378000       0.019703       0.000000
       0.379000       0.019668       0.000000
       0.380000       0.019630       0.000000
       0.381000       0.019604       0.000000
       0.382000       0.019597       0.000000
       0.383000       0.019601       0.000000
       0.384000       0.019602       0.000000
       0.385000       0.019588       0.000000
       0.386000       0.019563       0.000000
       0.387000       0.019530       0.000000
       0.388000       0.019494       0.000000
       0.389000       0.019464       0.000000
       0.390000       0.019446       0.000000
       0.391000       0.019445       0.000000
       0.392000       0.019462       0.000000
       0.393000       0.019493       0.000000
       0.394000       0.019536       0.000000
       0.395000       0.019590       0.000000
       0.396000       0.019655       0.000000
       0.397000       0.019727       0.000000
       0.398000       0.019804       0.000000
       0.399000       0.019881       0.000000
       0.400000       0.019956       0.000000
       0.401000       0.020036       0.000000
       0.402000       0.020129       0.000000
       0.403000       0.020242       0.000000
       0.404000       0.020369       0.000000
       0.405000       0.020503       0.000000
       0.406000       0.020639       0.000000
       0.407000       0.020779       0.000000
       0.408000       0.020928       0.000000
       0.409000       0.021091       0.000000
       0.410000       0.021270       0.000000
       0.411000       0.021466       0.000000
       0.412000       0.021681       0.000000
       0.413000       0.021914       0.000000
       0.414000       0.022163       0.000000
       0.415000       0.022427       0.000000
       0.416000       0.022703       0.000000
       0.417000       0.022991       0.000000
       0.418000       0.023288       0.000000
       0.419000       0.023598       0.000000
       0.420000       0.023922       0.000000
       0.421000       0.024262       0.000000
       0.422000       0.024616       0.000000
       0.423000       0.024981       0.000000
       0.424000       0.025354       0.000000
       0.425000       0.025730       0.000000
       0.426000       0.026102       0.000000
       0.427000       0.026466       0.000000
       0.428000       0.026826       0.000000
       0.429000       0.027188       0.000000
       0.430000       0.027557       0.000000
       0.431000       0.027928       0.000000
       0.432000       0.028296       0.000000
       0.433000       0.028655       0.000000
       0.434000       0.029000       0.000000
       0.435000       0.029327       0.000000
       0.436000       0.029635       0.000000
       0.437000       0.029926       0.000000
       0.438000       0.030204       0.000000
       0.439000       0.030474       0.000000
       0.440000       0.030732       0.000000
       0.441000       0.030971       0.000000
       0.442000       0.031190       0.000000
       0.443000       0.031395       0.000000
       0.444000       0.031594       0.000000
       0.445000       0.031794       0.000000
       0.446000       0.031991       0.000000
       0.447000       0.032180       0.000000
       0.448000       0.032355       0.000000
       0.449000       0.032517       0.000000
       0.450000       0.032668       0.000000
       0.451000       0.032807       0.000000
       0.452000       0.032937       0.000000
       0.453000       0.033060       0.000000
       0.454000       0.033176       0.000000
       0.455000       0.033281       0.000000
       0.456000       0.033371       0.000000
       0.457000       0.033443       0.000000
       0.458000       0.033501       0.000000
       0.459000       0.033552       0.000000
       0.460000       0.033600       0.000000
       0.461000       0.033642       0.000000
       0.462000       0.033676       0.000000
       0.463000       0.033698       0.000000
       0.464000       0.033713       0.000000
       0.465000       0.033722       0.000000
       0.466000       0.033729       0.000000
       0.467000       0.033735       0.000000
       0.468000       0.033741       0.000000
       0.469000       0.033746       0.000000
       0.470000       0.033751       0.000000
       0.471000       0.033755       0.000000
       0.472000       0.033757       0.000000
       0.473000       0.033759       0.000000
       0.474000       0.033761       0.000000
       0.475000       0.033764       0.000000
       0.476000       0.033769       0.000000
       0.477000       0.033776       0.000000
       0.478000       0.033784       0.000000
       0.479000       0.033795       0.000000
       0.480000       0.033806       0.000000
       0.481000       0.033816       0.000000
       0.482000       0.033825       0.000000
       0.483000       0.033829       0.000000
       0.484000       0.033830       0.000000
       0.485000       0.033828       0.000000
       0.486000       0.033828       0.000000
       0.487000       0.033832       0.000000
       0.488000       0.033839       0.000000
       0.489000       0.033849       0.000000
       0.490000       0.033861       0.000000
       0.491000       0.033878       0.000000
       0.492000       0.033903       0.000000
       0.493000       0.033941       0.000000
       0.494000       0.033991       0.000000
       0.495000       0.034054       0.000000
       0.496000       0.034128       0.000000
       0.497000       0.034213       0.000000
       0.498000       0.034310       0.000000
       0.499000       0.034417       0.000000
       0.500000       0.034538       0.000000
       0.501000       0.034676       0.000000
       0.502000       0.034835       0.000000
       0.503000       0.035017       0.000000
       0.504000       0.035224       0.000000
       0.505000       0.035458       0.000000
       0.506000       0.035721       0.000000
       0.507000       0.036016       0.000000
       0.508000       0.036346       0.000000
       0.509000       0.036715       0.000000
       0.510000       0.037129       0.000000
       0.511000       0.037593       0.000000
       0.512000       0.038109       0.000000
       0.513000       0.038677       0.000000
       0.514000       0.039298       0.000000
       0.515000       0.039979       0.000000
       0.516000       0.040731       0.000000
       0.517000       0.041561       0.000000
       0.518000       0.042475       0.000000
       0.519000       0.043476       0.000000
       0.520000       0.044565       0.000000
       0.521000       0.045725       0.000000
       0.522000       0.046932       0.000000
       0.523000       0.048168       0.000000
       0.524000       0.049424       0.000000
       0.525000       0.050697       0.000000
       0.526000       0.051980       0.000000
       0.527000       0.053269       0.000000
       0.528000       0.054559       0.000000
       0.529000       0.055842       0.000000
       0.530000       0.057095       0.000000
       0.531000       0.058296       0.000000
       0.532000       0.059423       0.000000
       0.533000       0.060481       0.000000
       0.534000       0.061477       0.000000
       0.535000       0.062416       0.000000
       0.536000       0.063296       0.000000
       0.537000       0.064111       0.000000
       0.538000       0.064858       0.000000
       0.539000       0.065543       0.000000
       0.540000       0.066172       0.000000
       0.541000       0.066755       0.000000
       0.542000       0.067299       0.000000
       0.543000       0.067816       0.000000
       0.544000       0.068313       0.000000
       0.545000       0.068792       0.000000
       0.546000       0.069254       0.000000
       0.547000       0.069700       0.000000
       0.548000       0.070129       0.000000
       0.549000       0.070544       0.000000
       0.550000       0.070942       0.000000
       0.551000       0.071314       0.000000
       0.552000       0.071649       0.000000
       0.553000       0.071934       0.000000
       0.554000       0.072158       0.000000
       0.555000       0.072307       0.000000
       0.556000       0.072373       0.000000
       0.557000       0.072351       0.000000
       0.558000       0.072242       0.000000
       0.559000       0.072045       0.000000
       0.560000       0.071768       0.000000
       0.561000       0.071420       0.000000
       0.562000       0.071009       0.000000
       0.563000       0.070538       0.000000
       0.564000       0.070009       0.000000
       0.565000       0.069422       0.000000
       0.566000       0.068779       0.000000
       0.567000       0.068076       0.000000
       0.568000       0.067315       0.000000
       0.569000       0.066504       0.000000
       0.570000       0.065650       0.000000
       0.571000       0.064764       0.000000
       0.572000       0.063864       0.000000
       0.573000       0.062969       0.000000
       0.574000       0.062097       0.000000
       0.575000       0.061257       0.000000
       0.576000       0.060454       0.000000
       0.577000       0.059693       0.000000
       0.578000       0.058978       0.000000
       0.579000       0.058309       0.000000
       0.580000       0.057686       0.000000
       0.581000       0.057107       0.000000
       0.582000       0.056571       0.000000
       0.583000       0.056075       0.000000
       0.584000       0.055616       0.000000
       0.585000       0.055195       0.000000
       0.586000       0.054806       0.000000
       0.587000       0.054446       0.000000
       0.588000       0.054105       0.000000
       0.589000       0.053779       0.000000
       0.590000       0.053471       0.000000
       0.591000       0.053187       0.000000
       0.592000       0.052930       0.000000
       0.593000       0.052702       0.000000
       0.594000       0.052500       0.000000
       0.595000       0.052324       0.000000
       0.596000       0.052168       0.000000
       0.597000       0.052029       0.000000
       0.598000       0.051902       0.000000
       0.599000       0.051779       0.000000
       0.600000       0.051656       0.000000
       0.601000       0.051526       0.000000
       0.602000       0.051383       0.000000
       0.603000       0.051220       0.000000
       0.604000       0.051033       0.000000
       0.605000       0.050821       0.000000
       0.606000       0.050583       0.000000
       0.607000       0.050319       0.000000
       0.608000       0.050031       0.000000
       0.609000       0.049720       0.000000
       0.610000       0.049388       0.000000
       0.611000       0.049039       0.000000
       0.612000       0.048677       0.000000
       0.613000       0.048306       0.000000
       0.614000       0.047932       0.000000
       0.615000       0.047562       0.000000
       0.616000       0.047200       0.000000
       0.617000       0.046851       0.000000
       0.618000       0.046517       0.000000
       0.619000       0.046201       0.000000
       0.620000       0.045909       0.000000
       0.621000       0.045647       0.000000
       0.622000       0.045420       0.000000
       0.623000       0.045224       0.000000
       0.624000       0.045056       0.000000
       0.625000       0.044914       0.000000
       0.626000       0.044797       0.000000
       0.627000       0.044704       0.000000
       0.628000       0.044634       0.000000
       0.629000       0.044582       0.000000
       0.630000       0.044542       0.000000
       0.631000       0.044505       0.000000
       0.632000       0.044466       0.000000
       0.633000       0.044418       0.000000
       0.634000       0.044351       0.000000
       0.635000       0.044257       0.000000
       0.636000       0.044127       0.000000
       0.637000       0.043952       0.000000
       0.638000       0.043731       0.000000
       0.639000       0.043465       0.000000
       0.640000       0.043157       0.000000
       0.641000       0.042810       0.000000
       0.642000       0.042431       0.000000
       0.643000       0.042026       0.000000
       0.644000       0.041604       0.000000
       0.645000       0.041175       0.000000
       0.646000       0.040746       0.000000
       0.647000       0.040328       0.000000
       0.648000       0.039928       0.000000
       0.649000       0.039554       0.000000
       0.650000       0.039209       0.000000
       0.651000       0.038899       0.000000
       0.652000       0.038625       0.000000
       0.653000       0.038384       0.000000
       0.654000       0.038170       0.000000
       0.655000       0.037976       0.000000
       0.656000       0.037783       0.000000
       0.657000       0.037573       0.000000
       0.658000       0.037329       0.000000
       0.659000       0.037057       0.000000
       0.660000       0.036768       0.000000
       0.661000       0.036471       0.000000
       0.662000       0.036174       0.000000
       0.663000       0.035881       0.000000
       0.664000       0.035598       0.000000
       0.665000       0.035331       0.000000
       0.666000       0.035084       0.000000
       0.667000       0.034862       0.000000
       0.668000       0.034666       0.000000
       0.669000       0.034495       0.000000
       0.670000       0.034349       0.000000
       0.671000       0.034231       0.000000
       0.672000       0.034141       0.000000
       0.673000       0.034081       0.000000
       0.674000       0.034050       0.000000
       0.675000       0.034046       0.000000
       0.676000       0.034069       0.000000
       0.677000       0.034116       0.000000
       0.678000       0.034183       0.000000
       0.679000       0.034269       0.000000
       0.680000       0.034382       0.000000
       0.681000       0.034529       0.000000
       0.682000       0.034720       0.000000
       0.683000       0.034965       0.000000
       0.684000       0.035277       0.000000
       0.685000       0.035668       0.000000
       0.686000       0.036163       0.000000
       0.687000       0.036789       0.000000
       0.688000       0.037574       0.000000
       0.689000       0.038542       0.000000
       0.690000       0.039720       0.000000
       0.691000       0.041139       0.000000
       0.692000       0.042848       0.000000
       0.693000       0.044902       0.000000
       0.694000       0.047351       0.000000
       0.695000       0.050221       0.000000
       0.696000       0.053533       0.000000
       0.697000       0.057303       0.000000
       0.698000       0.061524       0.000000
       0.699000       0.066187       0.000000
       0.700000       0.071281       0.000000
       0.701000       0.076790       0.000000
       0.702000       0.082699       0.000000
       0.703000       0.088983       0.000000
       0.704000       0.095580       0.000000
       0.705000       0.102421       0.000000
       0.706000       0.109450       0.000000
       0.707000       0.116663       0.000000
       0.708000       0.124068       0.000000
       0.709000       0.131676       0.000000
       0.710000       0.139499       0.000000
       0.711000       0.147548       0.000000
       0.712000       0.155827       0.000000
       0.713000       0.164299       0.000000
       0.714000       0.172919       0.000000
       0.715000       0.181660       0.000000
       0.716000       0.190563       0.000000
       0.717000       0.199688       0.000000
       0.718000       0.209084       0.000000
       0.719000       0.218775       0.000000
       0.720000       0.228776       0.000000
       0.721000       0.239064       0.000000
       0.722000       0.249471       0.000000
       0.723000       0.259792       0.000000
       0.724000       0.269872       0.000000
       0.725000       0.279774       0.000000
       0.726000       0.289608       0.000000
       0.727000       0.299455       0.000000
       0.728000       0.309250       0.000000
       0.729000       0.318898       0.000000
       0.730000       0.328314       0.000000
       0.731000       0.337459       0.000000
       0.732000       0.346309       0.000000
       0.733000       0.354838       0.000000
       0.734000       0.363016       0.000000
       0.735000       0.370813       0.000000
       0.736000       0.378210       0.000000
       0.737000       0.385233       0.000000
       0.738000       0.391914       0.000000
       0.739000       0.398281       0.000000
       0.740000       0.404329       0.000000
       0.741000       0.410043       0.000000
       0.742000       0.415412       0.000000
       0.743000       0.420438       0.000000
       0.744000       0.425127       0.000000
       0.745000       0.429487       0.000000
       0.746000       0.433528       0.000000
       0.747000       0.437263       0.000000
       0.748000       0.440706       0.000000
       0.749000       0.443876       0.000000
       0.750000       0.446795       0.000000
       0.751000       0.449481       0.000000
       0.752000       0.451946       0.000000
       0.753000       0.454199       0.000000
       0.754000       0.456254       0.000000
       0.755000       0.458138       0.000000
       0.756000       0.459883       0.000000
       0.757000       0.461486       0.000000
       0.758000       0.462804       0.000000
       0.759000       0.463662       0.000000
       0.760000       0.463986       0.000000
       0.761000       0.464107       0.000000
       0.762000       0.464459       0.000000
       0.763000       0.465360       0.000000
       0.764000       0.466654       0.000000
       0.765000       0.468068       0.000000
       0.766000       0.469375       0.000000
       0.767000       0.470528       0.000000
       0.768000       0.471525       0.000000
       0.769000       0.472368       0.000000
       0.770000       0.473081       0.000000
       0.771000       0.473691       0.000000
       0.772000       0.474224       0.000000
       0.773000       0.474702       0.000000
       0.774000       0.475145       0.000000
       0.775000       0.475569       0.000000
       0.776000       0.475978       0.000000
       0.777000       0.476374       0.000000
       0.778000       0.476757       0.000000
       0.779000       0.477133       0.000000
       0.780000       0.477503       0.000000
       0.781000       0.477871       0.000000
       0.782000       0.478232       0.000000
       0.783000       0.478579       0.000000
       0.784000       0.478910       0.000000
       0.785000       0.479229       0.000000
       0.786000       0.479543       0.000000
       0.787000       0.479858       0.000000
       0.788000       0.480171       0.000000
       0.789000       0.480479       0.000000
       0.790000       0.480780       0.000000
       0.791000       0.481076       0.000000
       0.792000       0.481369       0.000000
       0.793000       0.481663       0.000000
       0.794000       0.481962       0.000000
       0.795000       0.482269       0.000000
       0.796000       0.482588       0.000000
       0.797000       0.482916       0.000000
       0.798000       0.483247       0.000000
       0.799000       0.483577       0.000000
       0.800000       0.483901       0.000000
       0.801000       0.484210       0.000000
       0.802000       0.484503       0.000000
       0.803000       0.484792       0.000000
       0.804000       0.485093       0.000000
       0.805000       0.485415       0.000000
