USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
LeafySpurge Spurge-B1-Oct97  W1R1Fa AREF
copy of splib05a r 11350                                    
       0.350000       0.021038       0.000000
       0.351000       0.021038       0.000000
       0.352000       0.021044       0.000000
       0.353000       0.021056       0.000000
       0.354000       0.021080       0.000000
       0.355000       0.021119       0.000000
       0.356000       0.021158       0.000000
       0.357000       0.021179       0.000000
       0.358000       0.021169       0.000000
       0.359000       0.021139       0.000000
       0.360000       0.021106       0.000000
       0.361000       0.021084       0.000000
       0.362000       0.021084       0.000000
       0.363000       0.021112       0.000000
       0.364000       0.021169       0.000000
       0.365000       0.021232       0.000000
       0.366000       0.021271       0.000000
       0.367000       0.021267       0.000000
       0.368000       0.021244       0.000000
       0.369000       0.021240       0.000000
       0.370000       0.021277       0.000000
       0.371000       0.021340       0.000000
       0.372000       0.021400       0.000000
       0.373000       0.021435       0.000000
       0.374000       0.021449       0.000000
       0.375000       0.021453       0.000000
       0.376000       0.021456       0.000000
       0.377000       0.021468       0.000000
       0.378000       0.021500       0.000000
       0.379000       0.021556       0.000000
       0.380000       0.021622       0.000000
       0.381000       0.021678       0.000000
       0.382000       0.021712       0.000000
       0.383000       0.021739       0.000000
       0.384000       0.021780       0.000000
       0.385000       0.021850       0.000000
       0.386000       0.021934       0.000000
       0.387000       0.022007       0.000000
       0.388000       0.022053       0.000000
       0.389000       0.022085       0.000000
       0.390000       0.022122       0.000000
       0.391000       0.022177       0.000000
       0.392000       0.022247       0.000000
       0.393000       0.022319       0.000000
       0.394000       0.022387       0.000000
       0.395000       0.022454       0.000000
       0.396000       0.022529       0.000000
       0.397000       0.022618       0.000000
       0.398000       0.022715       0.000000
       0.399000       0.022813       0.000000
       0.400000       0.022908       0.000000
       0.401000       0.022998       0.000000
       0.402000       0.023084       0.000000
       0.403000       0.023166       0.000000
       0.404000       0.023248       0.000000
       0.405000       0.023331       0.000000
       0.406000       0.023419       0.000000
       0.407000       0.023513       0.000000
       0.408000       0.023619       0.000000
       0.409000       0.023737       0.000000
       0.410000       0.023870       0.000000
       0.411000       0.024017       0.000000
       0.412000       0.024178       0.000000
       0.413000       0.024349       0.000000
       0.414000       0.024524       0.000000
       0.415000       0.024701       0.000000
       0.416000       0.024883       0.000000
       0.417000       0.025074       0.000000
       0.418000       0.025279       0.000000
       0.419000       0.025496       0.000000
       0.420000       0.025725       0.000000
       0.421000       0.025963       0.000000
       0.422000       0.026209       0.000000
       0.423000       0.026460       0.000000
       0.424000       0.026715       0.000000
       0.425000       0.026973       0.000000
       0.426000       0.027232       0.000000
       0.427000       0.027491       0.000000
       0.428000       0.027752       0.000000
       0.429000       0.028014       0.000000
       0.430000       0.028279       0.000000
       0.431000       0.028545       0.000000
       0.432000       0.028815       0.000000
       0.433000       0.029087       0.000000
       0.434000       0.029356       0.000000
       0.435000       0.029615       0.000000
       0.436000       0.029858       0.000000
       0.437000       0.030085       0.000000
       0.438000       0.030299       0.000000
       0.439000       0.030499       0.000000
       0.440000       0.030690       0.000000
       0.441000       0.030873       0.000000
       0.442000       0.031049       0.000000
       0.443000       0.031220       0.000000
       0.444000       0.031383       0.000000
       0.445000       0.031537       0.000000
       0.446000       0.031682       0.000000
       0.447000       0.031815       0.000000
       0.448000       0.031937       0.000000
       0.449000       0.032049       0.000000
       0.450000       0.032155       0.000000
       0.451000       0.032259       0.000000
       0.452000       0.032361       0.000000
       0.453000       0.032460       0.000000
       0.454000       0.032555       0.000000
       0.455000       0.032649       0.000000
       0.456000       0.032742       0.000000
       0.457000       0.032835       0.000000
       0.458000       0.032928       0.000000
       0.459000       0.033019       0.000000
       0.460000       0.033108       0.000000
       0.461000       0.033196       0.000000
       0.462000       0.033285       0.000000
       0.463000       0.033375       0.000000
       0.464000       0.033468       0.000000
       0.465000       0.033563       0.000000
       0.466000       0.033659       0.000000
       0.467000       0.033755       0.000000
       0.468000       0.033849       0.000000
       0.469000       0.033939       0.000000
       0.470000       0.034025       0.000000
       0.471000       0.034106       0.000000
       0.472000       0.034185       0.000000
       0.473000       0.034258       0.000000
       0.474000       0.034325       0.000000
       0.475000       0.034385       0.000000
       0.476000       0.034438       0.000000
       0.477000       0.034484       0.000000
       0.478000       0.034523       0.000000
       0.479000       0.034557       0.000000
       0.480000       0.034584       0.000000
       0.481000       0.034606       0.000000
       0.482000       0.034625       0.000000
       0.483000       0.034644       0.000000
       0.484000       0.034665       0.000000
       0.485000       0.034689       0.000000
       0.486000       0.034715       0.000000
       0.487000       0.034741       0.000000
       0.488000       0.034770       0.000000
       0.489000       0.034802       0.000000
       0.490000       0.034840       0.000000
       0.491000       0.034884       0.000000
       0.492000       0.034935       0.000000
       0.493000       0.034992       0.000000
       0.494000       0.035054       0.000000
       0.495000       0.035117       0.000000
       0.496000       0.035180       0.000000
       0.497000       0.035246       0.000000
       0.498000       0.035320       0.000000
       0.499000       0.035404       0.000000
       0.500000       0.035496       0.000000
       0.501000       0.035590       0.000000
       0.502000       0.035683       0.000000
       0.503000       0.035778       0.000000
       0.504000       0.035880       0.000000
       0.505000       0.035992       0.000000
       0.506000       0.036110       0.000000
       0.507000       0.036227       0.000000
       0.508000       0.036340       0.000000
       0.509000       0.036451       0.000000
       0.510000       0.036563       0.000000
       0.511000       0.036678       0.000000
       0.512000       0.036798       0.000000
       0.513000       0.036919       0.000000
       0.514000       0.037043       0.000000
       0.515000       0.037166       0.000000
       0.516000       0.037288       0.000000
       0.517000       0.037407       0.000000
       0.518000       0.037526       0.000000
       0.519000       0.037646       0.000000
       0.520000       0.037770       0.000000
       0.521000       0.037894       0.000000
       0.522000       0.038016       0.000000
       0.523000       0.038132       0.000000
       0.524000       0.038242       0.000000
       0.525000       0.038349       0.000000
       0.526000       0.038454       0.000000
       0.527000       0.038555       0.000000
       0.528000       0.038652       0.000000
       0.529000       0.038746       0.000000
       0.530000       0.038838       0.000000
       0.531000       0.038930       0.000000
       0.532000       0.039025       0.000000
       0.533000       0.039120       0.000000
       0.534000       0.039210       0.000000
       0.535000       0.039293       0.000000
       0.536000       0.039372       0.000000
       0.537000       0.039450       0.000000
       0.538000       0.039532       0.000000
       0.539000       0.039617       0.000000
       0.540000       0.039705       0.000000
       0.541000       0.039794       0.000000
       0.542000       0.039886       0.000000
       0.543000       0.039980       0.000000
       0.544000       0.040078       0.000000
       0.545000       0.040178       0.000000
       0.546000       0.040279       0.000000
       0.547000       0.040380       0.000000
       0.548000       0.040484       0.000000
       0.549000       0.040593       0.000000
       0.550000       0.040710       0.000000
       0.551000       0.040834       0.000000
       0.552000       0.040963       0.000000
       0.553000       0.041097       0.000000
       0.554000       0.041236       0.000000
       0.555000       0.041379       0.000000
       0.556000       0.041529       0.000000
       0.557000       0.041687       0.000000
       0.558000       0.041856       0.000000
       0.559000       0.042038       0.000000
       0.560000       0.042233       0.000000
       0.561000       0.042438       0.000000
       0.562000       0.042654       0.000000
       0.563000       0.042881       0.000000
       0.564000       0.043120       0.000000
       0.565000       0.043373       0.000000
       0.566000       0.043641       0.000000
       0.567000       0.043926       0.000000
       0.568000       0.044229       0.000000
       0.569000       0.044552       0.000000
       0.570000       0.044893       0.000000
       0.571000       0.045254       0.000000
       0.572000       0.045636       0.000000
       0.573000       0.046040       0.000000
       0.574000       0.046466       0.000000
       0.575000       0.046918       0.000000
       0.576000       0.047396       0.000000
       0.577000       0.047902       0.000000
       0.578000       0.048437       0.000000
       0.579000       0.049002       0.000000
       0.580000       0.049597       0.000000
       0.581000       0.050222       0.000000
       0.582000       0.050876       0.000000
       0.583000       0.051560       0.000000
       0.584000       0.052270       0.000000
       0.585000       0.053005       0.000000
       0.586000       0.053764       0.000000
       0.587000       0.054553       0.000000
       0.588000       0.055381       0.000000
       0.589000       0.056254       0.000000
       0.590000       0.057173       0.000000
       0.591000       0.058135       0.000000
       0.592000       0.059139       0.000000
       0.593000       0.060176       0.000000
       0.594000       0.061234       0.000000
       0.595000       0.062308       0.000000
       0.596000       0.063396       0.000000
       0.597000       0.064502       0.000000
       0.598000       0.065626       0.000000
       0.599000       0.066762       0.000000
       0.600000       0.067903       0.000000
       0.601000       0.069044       0.000000
       0.602000       0.070186       0.000000
       0.603000       0.071332       0.000000
       0.604000       0.072482       0.000000
       0.605000       0.073628       0.000000
       0.606000       0.074760       0.000000
       0.607000       0.075870       0.000000
       0.608000       0.076963       0.000000
       0.609000       0.078048       0.000000
       0.610000       0.079132       0.000000
       0.611000       0.080221       0.000000
       0.612000       0.081321       0.000000
       0.613000       0.082432       0.000000
       0.614000       0.083550       0.000000
       0.615000       0.084664       0.000000
       0.616000       0.085767       0.000000
       0.617000       0.086860       0.000000
       0.618000       0.087947       0.000000
       0.619000       0.089028       0.000000
       0.620000       0.090100       0.000000
       0.621000       0.091156       0.000000
       0.622000       0.092192       0.000000
       0.623000       0.093214       0.000000
       0.624000       0.094230       0.000000
       0.625000       0.095247       0.000000
       0.626000       0.096267       0.000000
       0.627000       0.097291       0.000000
       0.628000       0.098321       0.000000
       0.629000       0.099352       0.000000
       0.630000       0.100381       0.000000
       0.631000       0.101404       0.000000
       0.632000       0.102420       0.000000
       0.633000       0.103427       0.000000
       0.634000       0.104423       0.000000
       0.635000       0.105399       0.000000
       0.636000       0.106347       0.000000
       0.637000       0.107256       0.000000
       0.638000       0.108114       0.000000
       0.639000       0.108912       0.000000
       0.640000       0.109640       0.000000
       0.641000       0.110301       0.000000
       0.642000       0.110901       0.000000
       0.643000       0.111444       0.000000
       0.644000       0.111933       0.000000
       0.645000       0.112372       0.000000
       0.646000       0.112764       0.000000
       0.647000       0.113123       0.000000
       0.648000       0.113463       0.000000
       0.649000       0.113797       0.000000
       0.650000       0.114139       0.000000
       0.651000       0.114503       0.000000
       0.652000       0.114898       0.000000
       0.653000       0.115313       0.000000
       0.654000       0.115734       0.000000
       0.655000       0.116149       0.000000
       0.656000       0.116549       0.000000
       0.657000       0.116927       0.000000
       0.658000       0.117275       0.000000
       0.659000       0.117568       0.000000
       0.660000       0.117776       0.000000
       0.661000       0.117880       0.000000
       0.662000       0.117894       0.000000
       0.663000       0.117839       0.000000
       0.664000       0.117736       0.000000
       0.665000       0.117596       0.000000
       0.666000       0.117431       0.000000
       0.667000       0.117251       0.000000
       0.668000       0.117073       0.000000
       0.669000       0.116915       0.000000
       0.670000       0.116792       0.000000
       0.671000       0.116716       0.000000
       0.672000       0.116696       0.000000
       0.673000       0.116738       0.000000
       0.674000       0.116842       0.000000
       0.675000       0.117001       0.000000
       0.676000       0.117214       0.000000
       0.677000       0.117489       0.000000
       0.678000       0.117839       0.000000
       0.679000       0.118278       0.000000
       0.680000       0.118838       0.000000
       0.681000       0.119551       0.000000
       0.682000       0.120445       0.000000
       0.683000       0.121533       0.000000
       0.684000       0.122821       0.000000
       0.685000       0.124323       0.000000
       0.686000       0.126077       0.000000
       0.687000       0.128129       0.000000
       0.688000       0.130506       0.000000
       0.689000       0.133161       0.000000
       0.690000       0.136030       0.000000
       0.691000       0.139047       0.000000
       0.692000       0.142148       0.000000
       0.693000       0.145268       0.000000
       0.694000       0.148351       0.000000
       0.695000       0.151387       0.000000
       0.696000       0.154377       0.000000
       0.697000       0.157318       0.000000
       0.698000       0.160197       0.000000
       0.699000       0.162998       0.000000
       0.700000       0.165706       0.000000
       0.701000       0.168329       0.000000
       0.702000       0.170876       0.000000
       0.703000       0.173351       0.000000
       0.704000       0.175741       0.000000
       0.705000       0.178024       0.000000
       0.706000       0.180187       0.000000
       0.707000       0.182241       0.000000
       0.708000       0.184203       0.000000
       0.709000       0.186089       0.000000
       0.710000       0.187909       0.000000
       0.711000       0.189675       0.000000
       0.712000       0.191394       0.000000
       0.713000       0.193058       0.000000
       0.714000       0.194654       0.000000
       0.715000       0.196177       0.000000
       0.716000       0.197641       0.000000
       0.717000       0.199067       0.000000
       0.718000       0.200475       0.000000
       0.719000       0.201877       0.000000
       0.720000       0.203285       0.000000
       0.721000       0.204702       0.000000
       0.722000       0.206095       0.000000
       0.723000       0.207421       0.000000
       0.724000       0.208652       0.000000
       0.725000       0.209809       0.000000
       0.726000       0.210927       0.000000
       0.727000       0.212033       0.000000
       0.728000       0.213127       0.000000
       0.729000       0.214201       0.000000
       0.730000       0.215249       0.000000
       0.731000       0.216265       0.000000
       0.732000       0.217242       0.000000
       0.733000       0.218176       0.000000
       0.734000       0.219067       0.000000
       0.735000       0.219916       0.000000
       0.736000       0.220728       0.000000
       0.737000       0.221513       0.000000
       0.738000       0.222283       0.000000
       0.739000       0.223048       0.000000
       0.740000       0.223805       0.000000
       0.741000       0.224550       0.000000
       0.742000       0.225280       0.000000
       0.743000       0.225990       0.000000
       0.744000       0.226675       0.000000
       0.745000       0.227334       0.000000
       0.746000       0.227971       0.000000
       0.747000       0.228592       0.000000
       0.748000       0.229204       0.000000
       0.749000       0.229806       0.000000
       0.750000       0.230400       0.000000
       0.751000       0.230984       0.000000
       0.752000       0.231559       0.000000
       0.753000       0.232122       0.000000
       0.754000       0.232672       0.000000
       0.755000       0.233209       0.000000
       0.756000       0.233735       0.000000
       0.757000       0.234238       0.000000
       0.758000       0.234663       0.000000
       0.759000       0.234946       0.000000
       0.760000       0.235061       0.000000
       0.761000       0.235144       0.000000
       0.762000       0.235374       0.000000
       0.763000       0.235878       0.000000
       0.764000       0.236592       0.000000
       0.765000       0.237403       0.000000
       0.766000       0.238208       0.000000
       0.767000       0.238959       0.000000
       0.768000       0.239618       0.000000
       0.769000       0.240161       0.000000
       0.770000       0.240619       0.000000
       0.771000       0.241040       0.000000
       0.772000       0.241460       0.000000
       0.773000       0.241887       0.000000
       0.774000       0.242319       0.000000
       0.775000       0.242755       0.000000
       0.776000       0.243196       0.000000
       0.777000       0.243640       0.000000
       0.778000       0.244087       0.000000
       0.779000       0.244530       0.000000
       0.780000       0.244961       0.000000
       0.781000       0.245375       0.000000
       0.782000       0.245780       0.000000
       0.783000       0.246186       0.000000
       0.784000       0.246603       0.000000
       0.785000       0.247026       0.000000
       0.786000       0.247452       0.000000
       0.787000       0.247876       0.000000
       0.788000       0.248294       0.000000
       0.789000       0.248703       0.000000
       0.790000       0.249101       0.000000
       0.791000       0.249499       0.000000
       0.792000       0.249908       0.000000
       0.793000       0.250334       0.000000
       0.794000       0.250768       0.000000
       0.795000       0.251196       0.000000
       0.796000       0.251606       0.000000
       0.797000       0.252004       0.000000
       0.798000       0.252399       0.000000
       0.799000       0.252797       0.000000
       0.800000       0.253194       0.000000
       0.801000       0.253582       0.000000
       0.802000       0.253956       0.000000
       0.803000       0.254329       0.000000
       0.804000       0.254714       0.000000
       0.805000       0.255120       0.000000
