USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lodgepole-Pine LP-Needles-1  W1R1Fa AREF
copy of splib05a r 11574                                    
       0.350000       0.048453       0.000000
       0.351000       0.048453       0.000000
       0.352000       0.047528       0.000000
       0.353000       0.046497       0.000000
       0.354000       0.045256       0.000000
       0.355000       0.043768       0.000000
       0.356000       0.042265       0.000000
       0.357000       0.041046       0.000000
       0.358000       0.040304       0.000000
       0.359000       0.039801       0.000000
       0.360000       0.039191       0.000000
       0.361000       0.038234       0.000000
       0.362000       0.037120       0.000000
       0.363000       0.036142       0.000000
       0.364000       0.035516       0.000000
       0.365000       0.035131       0.000000
       0.366000       0.034797       0.000000
       0.367000       0.034369       0.000000
       0.368000       0.033893       0.000000
       0.369000       0.033461       0.000000
       0.370000       0.033145       0.000000
       0.371000       0.032941       0.000000
       0.372000       0.032824       0.000000
       0.373000       0.032758       0.000000
       0.374000       0.032659       0.000000
       0.375000       0.032430       0.000000
       0.376000       0.032021       0.000000
       0.377000       0.031561       0.000000
       0.378000       0.031223       0.000000
       0.379000       0.031133       0.000000
       0.380000       0.031220       0.000000
       0.381000       0.031365       0.000000
       0.382000       0.031465       0.000000
       0.383000       0.031478       0.000000
       0.384000       0.031378       0.000000
       0.385000       0.031167       0.000000
       0.386000       0.030956       0.000000
       0.387000       0.030881       0.000000
       0.388000       0.031029       0.000000
       0.389000       0.031273       0.000000
       0.390000       0.031434       0.000000
       0.391000       0.031384       0.000000
       0.392000       0.031198       0.000000
       0.393000       0.031000       0.000000
       0.394000       0.030894       0.000000
       0.395000       0.030886       0.000000
       0.396000       0.030957       0.000000
       0.397000       0.031085       0.000000
       0.398000       0.031222       0.000000
       0.399000       0.031313       0.000000
       0.400000       0.031322       0.000000
       0.401000       0.031286       0.000000
       0.402000       0.031262       0.000000
       0.403000       0.031290       0.000000
       0.404000       0.031350       0.000000
       0.405000       0.031407       0.000000
       0.406000       0.031434       0.000000
       0.407000       0.031448       0.000000
       0.408000       0.031479       0.000000
       0.409000       0.031548       0.000000
       0.410000       0.031662       0.000000
       0.411000       0.031825       0.000000
       0.412000       0.032036       0.000000
       0.413000       0.032279       0.000000
       0.414000       0.032535       0.000000
       0.415000       0.032791       0.000000
       0.416000       0.033051       0.000000
       0.417000       0.033324       0.000000
       0.418000       0.033619       0.000000
       0.419000       0.033943       0.000000
       0.420000       0.034301       0.000000
       0.421000       0.034697       0.000000
       0.422000       0.035125       0.000000
       0.423000       0.035582       0.000000
       0.424000       0.036063       0.000000
       0.425000       0.036571       0.000000
       0.426000       0.037115       0.000000
       0.427000       0.037691       0.000000
       0.428000       0.038272       0.000000
       0.429000       0.038820       0.000000
       0.430000       0.039313       0.000000
       0.431000       0.039780       0.000000
       0.432000       0.040264       0.000000
       0.433000       0.040796       0.000000
       0.434000       0.041357       0.000000
       0.435000       0.041917       0.000000
       0.436000       0.042452       0.000000
       0.437000       0.042957       0.000000
       0.438000       0.043432       0.000000
       0.439000       0.043884       0.000000
       0.440000       0.044334       0.000000
       0.441000       0.044812       0.000000
       0.442000       0.045335       0.000000
       0.443000       0.045882       0.000000
       0.444000       0.046420       0.000000
       0.445000       0.046926       0.000000
       0.446000       0.047402       0.000000
       0.447000       0.047857       0.000000
       0.448000       0.048301       0.000000
       0.449000       0.048743       0.000000
       0.450000       0.049190       0.000000
       0.451000       0.049648       0.000000
       0.452000       0.050118       0.000000
       0.453000       0.050595       0.000000
       0.454000       0.051076       0.000000
       0.455000       0.051536       0.000000
       0.456000       0.051949       0.000000
       0.457000       0.052299       0.000000
       0.458000       0.052601       0.000000
       0.459000       0.052881       0.000000
       0.460000       0.053160       0.000000
       0.461000       0.053426       0.000000
       0.462000       0.053664       0.000000
       0.463000       0.053863       0.000000
       0.464000       0.054035       0.000000
       0.465000       0.054198       0.000000
       0.466000       0.054365       0.000000
       0.467000       0.054534       0.000000
       0.468000       0.054696       0.000000
       0.469000       0.054844       0.000000
       0.470000       0.054974       0.000000
       0.471000       0.055084       0.000000
       0.472000       0.055177       0.000000
       0.473000       0.055267       0.000000
       0.474000       0.055374       0.000000
       0.475000       0.055507       0.000000
       0.476000       0.055655       0.000000
       0.477000       0.055795       0.000000
       0.478000       0.055913       0.000000
       0.479000       0.056021       0.000000
       0.480000       0.056138       0.000000
       0.481000       0.056277       0.000000
       0.482000       0.056429       0.000000
       0.483000       0.056579       0.000000
       0.484000       0.056717       0.000000
       0.485000       0.056855       0.000000
       0.486000       0.057010       0.000000
       0.487000       0.057195       0.000000
       0.488000       0.057408       0.000000
       0.489000       0.057641       0.000000
       0.490000       0.057891       0.000000
       0.491000       0.058170       0.000000
       0.492000       0.058495       0.000000
       0.493000       0.058880       0.000000
       0.494000       0.059324       0.000000
       0.495000       0.059820       0.000000
       0.496000       0.060365       0.000000
       0.497000       0.060959       0.000000
       0.498000       0.061606       0.000000
       0.499000       0.062309       0.000000
       0.500000       0.063086       0.000000
       0.501000       0.063954       0.000000
       0.502000       0.064928       0.000000
       0.503000       0.066000       0.000000
       0.504000       0.067161       0.000000
       0.505000       0.068401       0.000000
       0.506000       0.069728       0.000000
       0.507000       0.071153       0.000000
       0.508000       0.072685       0.000000
       0.509000       0.074336       0.000000
       0.510000       0.076116       0.000000
       0.511000       0.078032       0.000000
       0.512000       0.080073       0.000000
       0.513000       0.082223       0.000000
       0.514000       0.084469       0.000000
       0.515000       0.086819       0.000000
       0.516000       0.089283       0.000000
       0.517000       0.091865       0.000000
       0.518000       0.094543       0.000000
       0.519000       0.097287       0.000000
       0.520000       0.100069       0.000000
       0.521000       0.102873       0.000000
       0.522000       0.105683       0.000000
       0.523000       0.108482       0.000000
       0.524000       0.111245       0.000000
       0.525000       0.113946       0.000000
       0.526000       0.116560       0.000000
       0.527000       0.119071       0.000000
       0.528000       0.121464       0.000000
       0.529000       0.123724       0.000000
       0.530000       0.125840       0.000000
       0.531000       0.127802       0.000000
       0.532000       0.129603       0.000000
       0.533000       0.131247       0.000000
       0.534000       0.132744       0.000000
       0.535000       0.134099       0.000000
       0.536000       0.135321       0.000000
       0.537000       0.136415       0.000000
       0.538000       0.137389       0.000000
       0.539000       0.138257       0.000000
       0.540000       0.139033       0.000000
       0.541000       0.139732       0.000000
       0.542000       0.140370       0.000000
       0.543000       0.140964       0.000000
       0.544000       0.141528       0.000000
       0.545000       0.142069       0.000000
       0.546000       0.142589       0.000000
       0.547000       0.143090       0.000000
       0.548000       0.143570       0.000000
       0.549000       0.144027       0.000000
       0.550000       0.144457       0.000000
       0.551000       0.144846       0.000000
       0.552000       0.145183       0.000000
       0.553000       0.145452       0.000000
       0.554000       0.145637       0.000000
       0.555000       0.145720       0.000000
       0.556000       0.145686       0.000000
       0.557000       0.145525       0.000000
       0.558000       0.145232       0.000000
       0.559000       0.144800       0.000000
       0.560000       0.144225       0.000000
       0.561000       0.143503       0.000000
       0.562000       0.142631       0.000000
       0.563000       0.141621       0.000000
       0.564000       0.140488       0.000000
       0.565000       0.139244       0.000000
       0.566000       0.137899       0.000000
       0.567000       0.136463       0.000000
       0.568000       0.134946       0.000000
       0.569000       0.133361       0.000000
       0.570000       0.131724       0.000000
       0.571000       0.130049       0.000000
       0.572000       0.128358       0.000000
       0.573000       0.126672       0.000000
       0.574000       0.125011       0.000000
       0.575000       0.123397       0.000000
       0.576000       0.121852       0.000000
       0.577000       0.120391       0.000000
       0.578000       0.119016       0.000000
       0.579000       0.117725       0.000000
       0.580000       0.116514       0.000000
       0.581000       0.115378       0.000000
       0.582000       0.114311       0.000000
       0.583000       0.113305       0.000000
       0.584000       0.112358       0.000000
       0.585000       0.111465       0.000000
       0.586000       0.110622       0.000000
       0.587000       0.109830       0.000000
       0.588000       0.109088       0.000000
       0.589000       0.108395       0.000000
       0.590000       0.107750       0.000000
       0.591000       0.107149       0.000000
       0.592000       0.106588       0.000000
       0.593000       0.106070       0.000000
       0.594000       0.105598       0.000000
       0.595000       0.105173       0.000000
       0.596000       0.104790       0.000000
       0.597000       0.104441       0.000000
       0.598000       0.104117       0.000000
       0.599000       0.103805       0.000000
       0.600000       0.103488       0.000000
       0.601000       0.103151       0.000000
       0.602000       0.102780       0.000000
       0.603000       0.102360       0.000000
       0.604000       0.101883       0.000000
       0.605000       0.101354       0.000000
       0.606000       0.100786       0.000000
       0.607000       0.100189       0.000000
       0.608000       0.099567       0.000000
       0.609000       0.098925       0.000000
       0.610000       0.098268       0.000000
       0.611000       0.097593       0.000000
       0.612000       0.096901       0.000000
       0.613000       0.096192       0.000000
       0.614000       0.095474       0.000000
       0.615000       0.094758       0.000000
       0.616000       0.094051       0.000000
       0.617000       0.093360       0.000000
       0.618000       0.092689       0.000000
       0.619000       0.092044       0.000000
       0.620000       0.091435       0.000000
       0.621000       0.090873       0.000000
       0.622000       0.090368       0.000000
       0.623000       0.089922       0.000000
       0.624000       0.089530       0.000000
       0.625000       0.089193       0.000000
       0.626000       0.088904       0.000000
       0.627000       0.088661       0.000000
       0.628000       0.088459       0.000000
       0.629000       0.088296       0.000000
       0.630000       0.088169       0.000000
       0.631000       0.088073       0.000000
       0.632000       0.087988       0.000000
       0.633000       0.087890       0.000000
       0.634000       0.087753       0.000000
       0.635000       0.087544       0.000000
       0.636000       0.087230       0.000000
       0.637000       0.086783       0.000000
       0.638000       0.086208       0.000000
       0.639000       0.085515       0.000000
       0.640000       0.084715       0.000000
       0.641000       0.083815       0.000000
       0.642000       0.082821       0.000000
       0.643000       0.081742       0.000000
       0.644000       0.080606       0.000000
       0.645000       0.079443       0.000000
       0.646000       0.078284       0.000000
       0.647000       0.077152       0.000000
       0.648000       0.076071       0.000000
       0.649000       0.075061       0.000000
       0.650000       0.074133       0.000000
       0.651000       0.073294       0.000000
       0.652000       0.072548       0.000000
       0.653000       0.071879       0.000000
       0.654000       0.071266       0.000000
       0.655000       0.070687       0.000000
       0.656000       0.070111       0.000000
       0.657000       0.069507       0.000000
       0.658000       0.068848       0.000000
       0.659000       0.068134       0.000000
       0.660000       0.067371       0.000000
       0.661000       0.066567       0.000000
       0.662000       0.065727       0.000000
       0.663000       0.064860       0.000000
       0.664000       0.063978       0.000000
       0.665000       0.063111       0.000000
       0.666000       0.062291       0.000000
       0.667000       0.061549       0.000000
       0.668000       0.060893       0.000000
       0.669000       0.060326       0.000000
       0.670000       0.059849       0.000000
       0.671000       0.059454       0.000000
       0.672000       0.059131       0.000000
       0.673000       0.058873       0.000000
       0.674000       0.058686       0.000000
       0.675000       0.058579       0.000000
       0.676000       0.058560       0.000000
       0.677000       0.058621       0.000000
       0.678000       0.058754       0.000000
       0.679000       0.058957       0.000000
       0.680000       0.059253       0.000000
       0.681000       0.059672       0.000000
       0.682000       0.060246       0.000000
       0.683000       0.061018       0.000000
       0.684000       0.062032       0.000000
       0.685000       0.063337       0.000000
       0.686000       0.064986       0.000000
       0.687000       0.067037       0.000000
       0.688000       0.069545       0.000000
       0.689000       0.072566       0.000000
       0.690000       0.076156       0.000000
       0.691000       0.080362       0.000000
       0.692000       0.085192       0.000000
       0.693000       0.090650       0.000000
       0.694000       0.096729       0.000000
       0.695000       0.103406       0.000000
       0.696000       0.110653       0.000000
       0.697000       0.118438       0.000000
       0.698000       0.126712       0.000000
       0.699000       0.135424       0.000000
       0.700000       0.144525       0.000000
       0.701000       0.153977       0.000000
       0.702000       0.163746       0.000000
       0.703000       0.173794       0.000000
       0.704000       0.184083       0.000000
       0.705000       0.194576       0.000000
       0.706000       0.205236       0.000000
       0.707000       0.216043       0.000000
       0.708000       0.226974       0.000000
       0.709000       0.238014       0.000000
       0.710000       0.249163       0.000000
       0.711000       0.260423       0.000000
       0.712000       0.271795       0.000000
       0.713000       0.283273       0.000000
       0.714000       0.294850       0.000000
       0.715000       0.306516       0.000000
       0.716000       0.318252       0.000000
       0.717000       0.330037       0.000000
       0.718000       0.341852       0.000000
       0.719000       0.353693       0.000000
       0.720000       0.365561       0.000000
       0.721000       0.377447       0.000000
       0.722000       0.389326       0.000000
       0.723000       0.401166       0.000000
       0.724000       0.412931       0.000000
       0.725000       0.424584       0.000000
       0.726000       0.436083       0.000000
       0.727000       0.447392       0.000000
       0.728000       0.458471       0.000000
       0.729000       0.469286       0.000000
       0.730000       0.479804       0.000000
       0.731000       0.490020       0.000000
       0.732000       0.499931       0.000000
       0.733000       0.509531       0.000000
       0.734000       0.518793       0.000000
       0.735000       0.527686       0.000000
       0.736000       0.536187       0.000000
       0.737000       0.544310       0.000000
       0.738000       0.552076       0.000000
       0.739000       0.559503       0.000000
       0.740000       0.566593       0.000000
       0.741000       0.573343       0.000000
       0.742000       0.579751       0.000000
       0.743000       0.585814       0.000000
       0.744000       0.591527       0.000000
       0.745000       0.596890       0.000000
       0.746000       0.601921       0.000000
       0.747000       0.606642       0.000000
       0.748000       0.611070       0.000000
       0.749000       0.615205       0.000000
       0.750000       0.619043       0.000000
       0.751000       0.622584       0.000000
       0.752000       0.625844       0.000000
       0.753000       0.628845       0.000000
       0.754000       0.631609       0.000000
       0.755000       0.634152       0.000000
       0.756000       0.636490       0.000000
       0.757000       0.638640       0.000000
       0.758000       0.640614       0.000000
       0.759000       0.642427       0.000000
       0.760000       0.644092       0.000000
       0.761000       0.645620       0.000000
       0.762000       0.647020       0.000000
       0.763000       0.648302       0.000000
       0.764000       0.649474       0.000000
       0.765000       0.650546       0.000000
       0.766000       0.651528       0.000000
       0.767000       0.652431       0.000000
       0.768000       0.653269       0.000000
       0.769000       0.654053       0.000000
       0.770000       0.654783       0.000000
       0.771000       0.655457       0.000000
       0.772000       0.656076       0.000000
       0.773000       0.656643       0.000000
       0.774000       0.657166       0.000000
       0.775000       0.657651       0.000000
       0.776000       0.658111       0.000000
       0.777000       0.658558       0.000000
       0.778000       0.659003       0.000000
       0.779000       0.659437       0.000000
       0.780000       0.659850       0.000000
       0.781000       0.660234       0.000000
       0.782000       0.660601       0.000000
       0.783000       0.660966       0.000000
       0.784000       0.661337       0.000000
       0.785000       0.661705       0.000000
       0.786000       0.662052       0.000000
       0.787000       0.662366       0.000000
       0.788000       0.662655       0.000000
       0.789000       0.662931       0.000000
       0.790000       0.663203       0.000000
       0.791000       0.663473       0.000000
       0.792000       0.663740       0.000000
       0.793000       0.664005       0.000000
       0.794000       0.664270       0.000000
       0.795000       0.664541       0.000000
       0.796000       0.664819       0.000000
       0.797000       0.665094       0.000000
       0.798000       0.665353       0.000000
       0.799000       0.665587       0.000000
       0.800000       0.665804       0.000000
       0.801000       0.666015       0.000000
       0.802000       0.666231       0.000000
       0.803000       0.666454       0.000000
       0.804000       0.666681       0.000000
       0.805000       0.666913       0.000000
