USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lodgepole-Pine YNP-LP2-B     W1R1Ab RTGC
copy of splib05a r 11715                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.042545       0.000000
       0.419190       0.040272       0.000000
       0.428970       0.038200       0.000000
       0.438760       0.038425       0.000000
       0.448550       0.037688       0.000000
       0.458360       0.037505       0.000000
       0.468180       0.037582       0.000000
       0.478000       0.037575       0.000000
       0.487840       0.037232       0.000000
       0.497680       0.037152       0.000000
       0.507530       0.038187       0.000000
       0.517380       0.040948       0.000000
       0.527240       0.045148       0.000000
       0.537100       0.049093       0.000000
       0.546960       0.050998       0.000000
       0.556830       0.052543       0.000000
       0.566710       0.051368       0.000000
       0.576580       0.048663       0.000000
       0.586450       0.048137       0.000000
       0.596330       0.047817       0.000000
       0.606200       0.047710       0.000000
       0.616080       0.046360       0.000000
       0.625950       0.046335       0.000000
       0.635820       0.046500       0.000000
       0.645690       0.045745       0.000000
       0.655560       0.044742       0.000000
       0.665420       0.043165       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.042830       0.000000
       0.685190       0.045378       0.000000
       0.694780       0.056197       0.000000
       0.704370       0.075395       0.000000
       0.713960       0.098028       0.000000
       0.723550       0.125055       0.000000
       0.733140       0.149082       0.000000
       0.742730       0.167012       0.000000
       0.752320       0.177237       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.185965       0.000000
       0.781100       0.188357       0.000000
       0.790700       0.190663       0.000000
       0.800290       0.192933       0.000000
       0.809890       0.194457       0.000000
       0.819480       0.195813       0.000000
       0.829080       0.198267       0.000000
       0.838680       0.200627       0.000000
       0.848280       0.203152       0.000000
       0.857880       0.205630       0.000000
       0.867480       0.207762       0.000000
       0.877080       0.210047       0.000000
       0.886680       0.211538       0.000000
       0.896290       0.211818       0.000000
       0.905890       0.212895       0.000000
       0.915490       0.213257       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.204745       0.000000
       0.963520       0.203052       0.000000
       0.973130       0.204235       0.000000
       0.982740       0.204807       0.000000
       0.992350       0.207173       0.000000
       1.001960       0.210235       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.217952       0.000000
       1.030800       0.221393       0.000000
       1.040410       0.224968       0.000000
       1.050030       0.228197       0.000000
       1.059640       0.230748       0.000000
       1.069260       0.233202       0.000000
       1.078870       0.234555       0.000000
       1.088490       0.235872       0.000000
       1.098110       0.236228       0.000000
       1.107730       0.235297       0.000000
       1.117350       0.229708       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.200255       0.000000
       1.175080       0.198953       0.000000
       1.184700       0.197227       0.000000
       1.194330       0.195722       0.000000
       1.203950       0.196458       0.000000
       1.213580       0.199288       0.000000
       1.223210       0.203863       0.000000
       1.232830       0.209278       0.000000
       1.242460       0.213540       0.000000
       1.252090       0.216858       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.218960       0.000000
       1.274190       0.221483       0.000000
       1.284160       0.221937       0.000000
       1.294130       0.222307       0.000000
       1.304100       0.218543       0.000000
       1.314070       0.213225       0.000000
       1.324040       0.205678       0.000000
       1.334000       0.196583       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.091712       0.000000
       1.433650       0.089288       0.000000
       1.443610       0.087750       0.000000
       1.453570       0.086935       0.000000
       1.463530       0.087023       0.000000
       1.473490       0.089027       0.000000
       1.483450       0.092473       0.000000
       1.493410       0.096285       0.000000
       1.503370       0.100692       0.000000
       1.513320       0.104600       0.000000
       1.523280       0.108342       0.000000
       1.533240       0.112385       0.000000
       1.543190       0.116132       0.000000
       1.553150       0.119125       0.000000
       1.563100       0.122190       0.000000
       1.573050       0.125345       0.000000
       1.583010       0.128095       0.000000
       1.592960       0.131805       0.000000
       1.602910       0.134555       0.000000
       1.612860       0.138078       0.000000
       1.622810       0.141302       0.000000
       1.632760       0.143123       0.000000
       1.642710       0.145555       0.000000
       1.652660       0.145987       0.000000
       1.662610       0.146445       0.000000
       1.672560       0.145643       0.000000
       1.682510       0.144743       0.000000
       1.692460       0.142208       0.000000
       1.702400       0.139593       0.000000
       1.712350       0.136283       0.000000
       1.722290       0.133218       0.000000
       1.732240       0.132408       0.000000
       1.742180       0.132798       0.000000
       1.752120       0.130813       0.000000
       1.762070       0.129747       0.000000
       1.772010       0.128007       0.000000
       1.781950       0.127525       0.000000
       1.791890       0.125943       0.000000
       1.801830       0.125132       0.000000
       1.811770       0.122392       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.060340       0.000000
       1.959480       0.066238       0.000000
       1.969510       0.066252       0.000000
       1.979540       0.068522       0.000000
       1.989570       0.070202       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.075782       0.000000
       2.039670       0.074822       0.000000
       2.049690       0.073455       0.000000
       2.059700       0.072763       0.000000
       2.069700       0.073357       0.000000
       2.079710       0.075012       0.000000
       2.089710       0.074432       0.000000
       2.099710       0.074965       0.000000
       2.109710       0.075073       0.000000
       2.119710       0.075533       0.000000
       2.129700       0.076910       0.000000
       2.139690       0.078545       0.000000
       2.149680       0.079980       0.000000
       2.159660       0.081343       0.000000
       2.169650       0.082778       0.000000
       2.179630       0.084077       0.000000
       2.189610       0.085072       0.000000
       2.199580       0.086638       0.000000
       2.209550       0.088262       0.000000
       2.219520       0.088190       0.000000
       2.229490       0.087462       0.000000
       2.239460       0.083755       0.000000
       2.249420       0.081827       0.000000
       2.259380       0.077490       0.000000
       2.269340       0.073982       0.000000
       2.279300       0.072375       0.000000
       2.289250       0.069273       0.000000
       2.299200       0.068008       0.000000
       2.309150       0.064648       0.000000
       2.319090       0.066377       0.000000
       2.329040       0.064328       0.000000
       2.338980       0.064480       0.000000
       2.348920       0.063022       0.000000
       2.358850       0.062497       0.000000
       2.368780       0.060785       0.000000
       2.378710       0.061227       0.000000
       2.388640       0.059712       0.000000
       2.398570       0.059225       0.000000
       2.408490       0.058353       0.000000
       2.418410       0.057472       0.000000
       2.428330       0.055000       0.000000
       2.438250       0.050742       0.000000
       2.448160       0.049557       0.000000
       2.458070       0.051022       0.000000
       2.467980       0.047875       0.000000
       2.477880       0.050460       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
